Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
La Princess Cafe,"28 Selim Hasan, Al Azaritah WA Ash Shatebi, Bab Sharqi, Alexandria Governorate 5424041",not available,Not available,4.1,551,Alexandria,https://maps.app.goo.gl/jKuF8KmH9Ei5C9xo8,6W68+99 Bab Sharqi,31.210938,29.915937,https://lh5.googleusercontent.com/p/AF1QipMgU4NGyf-pZl_iJFc4UN1v9qer_4QOQskSm6g,https://lh5.googleusercontent.com/p/AF1QipNzWb77mGA7oQcrsg-yyfgP9f-cUPzhaSlzKRwP,https://lh5.googleusercontent.com/p/AF1QipNbY__E4Pkit0PLZbl_xCbVG0kf1ooZIFs26nwI,https://lh5.googleusercontent.com/p/AF1QipNFyXsvRQj1Zxo8grVsvtHbVkdVsg4OMAW4CtXX,//:0,https://lh5.googleusercontent.com/p/AF1QipOXPfzcUWujtV4Y-G4dgs5joxc5JTqe0qTb5O6J,https://lh5.googleusercontent.com/p/AF1QipPXZM88tdSm-ax1WaFg3qJoXhrrk4LR3RHudneW,https://lh5.googleusercontent.com/p/AF1QipP8jdc7wLTMsdtTRt4ylhzRKu5KRCwc0-5Qmz6w,//:0,https://lh5.googleusercontent.com/p/AF1QipPQb6d6XNVoEzrwroARca50HPySRV8MqCvgXcoE,https://lh5.googleusercontent.com/p/AF1QipMhEYNO6GCnpEHjxSOZQT7EqVVvR0P_FzE59U_g,//:0,https://lh5.googleusercontent.com/p/AF1QipNYOKtAFWE6O7uEtortLc5aiQnAcC84SSr5SwmW,https://lh5.googleusercontent.com/p/AF1QipNupjfnWA0xyzcqWWPoPUMkni45RqcWVIEzeuaR,https://lh5.googleusercontent.com/p/AF1QipN75Y600VeowqTY5RmcnHTSxi89cuAKqq7aPcYT,//:0,https://lh5.googleusercontent.com/p/AF1QipMyD36JNRcD1O12GEzBdekO4QWoKsJbGaFE4Nn2,https://lh5.googleusercontent.com/p/AF1QipNBkh6zhU-lxn021_rEuFwBuNtkLkRd6uyXfsud,https://lh5.googleusercontent.com/p/AF1QipPusRWalevt8BTBSm84iZYnisq1karQOAIPoTGT,https://lh5.googleusercontent.com/p/AF1QipOH07QJsQU90UPcYsgUOaEfWEt-U9c1gHjZNu_4,Cafe,Alexandria,Coffee shop
View Cafe,"6WMW+HQC، مصطفى كامل وبولكلي, Sidi Gabir, Qesm, Alexandria Governorate",03 5226001,elmenus.com,4.3,92,Alexandria,https://maps.app.goo.gl/CssrFJuqpP5kuY2K6,None,30.218688,31.476937,https://lh5.googleusercontent.com/p/AF1QipPjfmB1pwvNWiAtDtEQIEFMUzfNpkwM9fvFJBfp,https://lh5.googleusercontent.com/p/AF1QipOfsuUFvIbjfqsWcDTHG6a5whi1033s6GdkEt1H,https://lh5.googleusercontent.com/p/AF1QipMNVaWWetF0wfwkpTLVFDpLDbw-B3pMZvvlduFm,//:0,https://lh5.googleusercontent.com/p/AF1QipNE_zD3tlwY0s3s_Kq-fEnT1ptzfg9lug8bPO8,https://lh5.googleusercontent.com/p/AF1QipNqXJf7zq8tU9FhqEYVFno-ns_qAWsFuzxNpWh2,//:0,https://lh5.googleusercontent.com/p/AF1QipOBwP5QB6xlZ0dxZew1oCexM-3py782P5YYsg8_,https://lh5.googleusercontent.com/p/AF1QipPyP9ucL6vSoqg2hynOjws3uyWwHH2JyfrBnxLK,//:0,https://lh5.googleusercontent.com/p/AF1QipNYiyGZf8ntvHINujtY48TieiOpnEzl9XzWUFo,https://lh5.googleusercontent.com/p/AF1QipOrP5O7rhBIIfwHITKEbabTwna0iUJdf94XR24w,https://lh5.googleusercontent.com/p/AF1QipNbFCtL1TiLK8Ar9iGKiuKnBzMbb3lez99xrcYU,,,,,,,,Cafe,Alexandria,Cafe
Noches Cafe,"43 Abd El-Salam Aref, San Stefano, El Raml 2, Alexandria Governorate 5452058",7X2F+JH El Raml 2,Not available,4.2,59,Alexandria,https://maps.app.goo.gl/dKsoEbPuDPKh2Sm38,7X2F+JH El Raml 2,31.251562,29.973937,https://lh5.googleusercontent.com/p/AF1QipM3V7Au9ZLGY9h5oyeUyQZV49wlj0nNE_fUaL2l,https://lh5.googleusercontent.com/p/AF1QipOV_dKiaqQBm11Yo-PZFDJqXZ5W3BSi6BEpBYBc,https://lh5.googleusercontent.com/p/AF1QipOM4U5GR7e42DWwglDT2hf_O1tdox05W9V26aNb,https://lh5.googleusercontent.com/p/AF1QipO3Y880TYkKOyCQXxp8OSQfw1reVqwoMaBBp7-c,//:0,https://lh5.googleusercontent.com/p/AF1QipPrN-wroKHfW7_P5gme1NkDTTQzVQKrO1HQPNhx,https://lh5.googleusercontent.com/p/AF1QipOXKOXqYuip8XAFCoAhZzCjfbmLDkqPedY3UahD,https://lh5.googleusercontent.com/p/AF1QipM4LU2pFPe5mGd9SZBqC8rJgT8boncNkLKVe-7m,//:0,https://lh5.googleusercontent.com/p/AF1QipNUPLyzfsJxWfgJN3EsPAU85c37FOP72amWGjLG,https://lh5.googleusercontent.com/p/AF1QipNNENqacrdezdTlMFqnZAfykYxAjciNyQS2-qYi,//:0,https://lh5.googleusercontent.com/p/AF1QipMA3vKzX_9TWMo9bSjzqwAyeJFEGZmeYjCkG0_f,https://lh5.googleusercontent.com/p/AF1QipM9jKlMlQ8rc4Q7uIWCkV6Pls7bjVkbpu7gsTBJ,//:0,https://lh5.googleusercontent.com/p/AF1QipPlp7xSbve7f3y3EU3rKnTf_gCcCZ9U4-66AavK,https://lh5.googleusercontent.com/p/AF1QipO-xP6Q8-rIIzZmkJCMzMYOzCyeXhW9ptQZtFNX,//:0,https://lh5.googleusercontent.com/p/AF1QipMocSI1mwlQ6oNClQvlsojJUTzLW3W0cTS28UCk,https://lh5.googleusercontent.com/p/AF1QipOQD3qiOy2Rt-h7rSNnuNOOB24tWFmd4XPvRLRB,Cafe,Alexandria,Coffee shop
Ecuador Coffee (Louran),"52 Al Mesak, As Soyouf Bahri, Montaza 2, Alexandria Governorate 21613",7X3F+28 Montaza 2,https://m.facebook.com/EcuadorCoffeeME/?_rdc=1&_rdr,4.6,704,Alexandria,https://maps.app.goo.gl/1PxiHkem2f2KyCMZ8,7X3F+28 Montaza 2,31.252562,29.973312,https://lh5.googleusercontent.com/p/AF1QipPgfHSLkwSg-Gn8Qz0mMh0mJlOSAZH2AGoRZlA,https://lh5.googleusercontent.com/p/AF1QipNtceGBQ3jA9NNKAB_r6sEHyiv3qHzF5zq4lQVZ,https://lh5.googleusercontent.com/p/AF1QipNFS68ufokFNDeJO9vLGhECmQcvfWjcTRWpCs7w,//:0,https://lh5.googleusercontent.com/p/AF1QipNsaoIijBKyeRZNXHsTb8CUQQxCItlCqIq272Vb,https://lh5.googleusercontent.com/p/AF1QipM6GQH0R-gxIjYqvvbD2f9_9yBRDMetIo0T10OA,//:0,https://lh5.googleusercontent.com/p/AF1QipO9A3ypxAo54BZp2mpmJRt73Zz8S9yJ8HXqLH7g,https://lh5.googleusercontent.com/p/AF1QipPcsP4Mmk95gngN-D4y1b1LHGpRXLjDaqT9z6UO,https://lh5.googleusercontent.com/p/AF1QipPwcp8fsOlMq3uLq1uHzv02KoV19_Uu-UkyDY7-,//:0,https://lh5.googleusercontent.com/p/AF1QipMUXbLpXS-ne21-MR-DPVZb_tNP8yuJDvqi7crU,https://lh5.googleusercontent.com/p/AF1QipOBVJUXGJamz1NBm2Ynq5SWjwNLOXqHzxIlUY3E,https://lh5.googleusercontent.com/p/AF1QipN7uJV72M07SjvJ_c5VAHBLJfYj4itnS9rtR7uD,//:0,https://lh5.googleusercontent.com/p/AF1QipMghL40T4yok_ItHNehIm16YQYTfAAd5rYzU3TH,https://lh5.googleusercontent.com/p/AF1QipN0X2YUOHi8B0Q17J2KX2Tli1PDEYhhDSiNn7lD,https://lh5.googleusercontent.com/p/AF1QipNbRZe-7Md6zvNfXt_ub8DeX8V3feq6HdL8xJuT,https://lh5.googleusercontent.com/p/AF1QipN1k4FBtWQGMEBeiUBKLFGMvMf4vQzFZNvZdyHi,https://lh5.googleusercontent.com/p/AF1QipPXlFAJaurGIKH1MVDNMXoblP0VtW_qAgs3X0oP,Cafe,Alexandria,Coffee shop
Red Rose Cafe,"Green Plaza, Ezbet El-Nozha, Sidi Gaber, Alexandria Governorate 5431116",010 10555558,http://www.facebook.com/redrose.greenplaza,4.5,729,Alexandria,https://maps.app.goo.gl/mmYy8aMTLmZfbU7j7,6X47+VX Sidi Gaber,31.207187,29.964937,https://lh5.googleusercontent.com/p/AF1QipOKkdozQgWoNNrl2HbZMsXtfoQ7Q2xUTqpgFPCN,https://lh5.googleusercontent.com/p/AF1QipNE7gVAo-ltUw_9nVfTXLE-0aVcEG1aLDKjc-oX,https://lh5.googleusercontent.com/p/AF1QipPAHW-ryuLqvk6bW43lcW7Xv_tYPTFgGmQ8ENZm,https://lh5.googleusercontent.com/p/AF1QipPOVB6ker68OBVwZly2dLFyKy1cAWmkhsuveBhE,//:0,https://lh5.googleusercontent.com/p/AF1QipPGYCFzk3ixgtAQsfAAaRMVCa9cfoSYXTTZXifg,https://lh5.googleusercontent.com/p/AF1QipOk706dv9JQP8G6RzPsIZp9zR9vniUnZ4pLfFmL,https://lh5.googleusercontent.com/p/AF1QipOt23JKhD9ICc8GkzcHMt5hrW3Scrr8JqSw8fbp,//:0,https://lh5.googleusercontent.com/p/AF1QipNUOSPkEVn92eWjVXv0EdGco94G4ZS9145pGvXT,https://lh5.googleusercontent.com/p/AF1QipPiUgkrj2SuwqnebWRQA_1sMaJ_tJH12heSSlh9,//:0,https://lh5.googleusercontent.com/p/AF1QipP9ZKBMCL4nEnXqX8xZ3YmbGeqKaAlj5vl6H9aK,https://lh5.googleusercontent.com/p/AF1QipMQM631smgrDX5ehwRS6PQiXKbybCStCzIgy4fU,//:0,https://lh5.googleusercontent.com/p/AF1QipOFb5OIyV3VmDUDg38oVibChFp1Kt9H3COtvYcb,https://lh5.googleusercontent.com/p/AF1QipPU-kHYChStvcDQzyFnG2XQ88OXmBqLhSRNuHvO,https://lh5.googleusercontent.com/p/AF1QipO4ZDYOoUM6le4lQTB1rIcgv3KJYpNDfER_HLtx,https://lh5.googleusercontent.com/p/AF1QipOFi1q0scRhDnYzSEcj2znYPL2cuzl2KzC6H-f8,https://lh5.googleusercontent.com/p/AF1QipOnyIs4G89up8nlHWHug73tZT0AhiqM-3UWazGh,Cafe,Alexandria,Cafe
"Central Perk Cafe, Alexandria","Mohammed Shafek Ghrbal, Al Azaritah WA Ash Shatebi, Bab Sharqi, Alexandria Governorate 5424050",012 00090096,fb.com,4.3,"1,175",Alexandria,https://maps.app.goo.gl/JpPSAE7TkDESDFvNA,6W69+9W Bab Sharqi,31.210938,29.919812,https://lh5.googleusercontent.com/p/AF1QipNc-ASFbR03yqDazA6iK_G0k0VgvoQuuohrc390,https://lh5.googleusercontent.com/p/AF1QipPJmarE9N0IoQeRVOQ0sFkMtJv_8g9DWobPQfy8,https://lh5.googleusercontent.com/p/AF1QipPrZ-wBGYwj-e0jD2oRndns3cCJm-BTfcMqv7Fq,https://lh5.googleusercontent.com/p/AF1QipMp2oAQ1wGVo83p68jHL0xGpOWyfAP249T-Ny_f,//:0,https://lh5.googleusercontent.com/p/AF1QipPNwJA4AasQcSmR6AQURz9_MaaEN8KR4_r7s7eO,https://lh5.googleusercontent.com/p/AF1QipNG9x1JvYM8ycVbvwNnTOO80765-7dC0eIaSlno,https://lh5.googleusercontent.com/p/AF1QipMkBlpD1HnpxQhFQqbnKRcDpl4dhds0jycI_9E0,//:0,https://lh5.googleusercontent.com/p/AF1QipO58lGQn0zP-fWODTPvbSL_EEKjplBj4vf85gCN,https://lh5.googleusercontent.com/p/AF1QipMjF3Zt73u9-DNs1ohd6pCOQBaLVZRLVqVJFusw,https://lh5.googleusercontent.com/p/AF1QipMeHhyFl98RRfwVPTZ5NHePXNBijAGeUlA_p1vc,//:0,https://lh5.googleusercontent.com/p/AF1QipN7urCAFuPBKTkoAC1du1YX6W7Vtajbhc81Az13,https://lh5.googleusercontent.com/p/AF1QipPfsf_POgWR7oxLeigi5Y0zNXXmmOdoLKubCDr1,//:0,https://lh5.googleusercontent.com/p/AF1QipPp_UuJTFs7QPhwT4Vpy-BzIv1FNTputS4xbv2G,https://lh5.googleusercontent.com/p/AF1QipPGkgNOsXivDhv8Hit4a0EhCqfeUyX23d8AlBk4,https://lh5.googleusercontent.com/p/AF1QipOHi_vG8Fqb89BoTf9kbR59T4Bs7IT6aWyiaXwV,https://lh5.googleusercontent.com/p/AF1QipMjPR8xa8XH7wqzYKGscVulpt-Vk8V5MRQvbu3v,Cafe,Alexandria,Cafe
Cilantro Alex Library,"Corniche, Al Azaritah WA Ash Shatebi, Bab Sharqi, Alexandria Governorate 5424020",012 10449909,Not available,4.4,"2,231",Alexandria,https://maps.app.goo.gl/9Xgis6X1Em91S5aN8,6W55+C2 Bab Sharqi,31.208562,29.907562,https://lh5.googleusercontent.com/p/AF1QipNKTpAONCPg0oF3DYc9KjHVEJKpPHgqnnOwAoca,https://lh5.googleusercontent.com/p/AF1QipNAXRatfhx3rJpo8-dlzlBTyOJEMewgar6yyanB,https://lh5.googleusercontent.com/p/AF1QipPqs58NUF_a_CokpNcN2u15RWIjpYJxmq3OdL3w,https://lh5.googleusercontent.com/p/AF1QipP_zbDSz0aTzyOzBhLZ7zcW2M-nC9Jucwr1RgqF,//:0,https://lh5.googleusercontent.com/p/AF1QipPEzMKoVJa2UXc1kGlzrR46mAm9MMAl7zfWM980,https://lh5.googleusercontent.com/p/AF1QipOll4FscmmyBlvhz4iz1mMmWgeWfjAFM_cWDrgG,https://lh5.googleusercontent.com/p/AF1QipNNgiRBRUU32mPoMU7OC3D_Xsx3Wi4hmAeC7wBP,//:0,https://lh5.googleusercontent.com/p/AF1QipOTMak9VWfrnwiREMrCw7F9O-z0Lh8D4xCV8m93,https://lh5.googleusercontent.com/p/AF1QipPLBeKp_a6WPb8XXVuRsG5m52mVHSfv3Rto-wB0,//:0,https://lh5.googleusercontent.com/p/AF1QipMdN6wBwu6E2FwfxT1grzVLMopCVW2-65hd2J5x,https://lh5.googleusercontent.com/p/AF1QipNKOIpy6KokKU-i0V_qoSCdjAes77XQ92G216Me,//:0,https://lh5.googleusercontent.com/p/AF1QipMKS1shG5sOlyvJfHQMCO6JJ5OhLVwSzXD0ZJzF,https://lh5.googleusercontent.com/p/AF1QipP1isf8ZL3240lhUI3WstKijwXatowEE08WrCrO,https://lh5.googleusercontent.com/p/AF1QipM_ueOFBDRYBfmtdbQMyZYe48qN3vOseUXPbN6B,https://lh5.googleusercontent.com/p/AF1QipOcyfvKbKMO-O8ExvBQvDaLsNAGmdr6MdzMV7XJ,https://lh5.googleusercontent.com/p/AF1QipO6PFMLv_glEw8xfofMWz1GCqixmnrvXC3VKEAY,Cafe,Alexandria,Coffee shop
Cafe de la Paix,"6W32+5VV, El-Gaish Rd, Al Mesallah Sharq, Al Attarin, Alexandria Governorate 5373002",03 4868938,elmenus.com,4.1,"1,474",Alexandria,https://maps.app.goo.gl/sp2xSiNQfsttFwY77,None,30.221187,31.482563,https://lh5.googleusercontent.com/p/AF1QipMMakVYq0WiPAeP1u8RITTpT8BfBTG29wouDwF0,https://lh5.googleusercontent.com/p/AF1QipMW5O4un5XWkyYPmnbDYagF3B8Md2dIookpNmrs,https://lh5.googleusercontent.com/p/AF1QipPtvpp3NIXr7RuhcrhfELwbfpiF1LHK0qUF_Zd1,//:0,https://lh5.googleusercontent.com/p/AF1QipMENoKqVxTeDudR9Kb-J_WElCWD6nXFoa2J404r,https://lh5.googleusercontent.com/p/AF1QipPnkGOE576DtKGOH7tAuSfHpCNZXAPXE3XyjAU,//:0,https://lh5.googleusercontent.com/p/AF1QipP2uoCExOLhtCd6JvSGaxSxwdOKC0PHoIL1GJGy,https://lh5.googleusercontent.com/p/AF1QipNzXTSaTOHgZr_wKtNJv1nZ5zAOmx5uxXcMLYXS,//:0,https://lh5.googleusercontent.com/p/AF1QipPsJNDIBg0EsBTgAYojV3la75ilv3QlDXOdyw9T,https://lh5.googleusercontent.com/p/AF1QipNJarfxYF3hexwyJaXwVgbV4i1cvr8wozmuWJr7,//:0,https://lh5.googleusercontent.com/p/AF1QipNfd29bmZL2UKaNZwpDpS1OBClmdDJg-oIlOA3F,https://lh5.googleusercontent.com/p/AF1QipMO_QnbRI14V0jWTYwX615J_ijfN1VvSHl4VBw,//:0,https://lh5.googleusercontent.com/p/AF1QipMnLgscXSbgZuh30d1YR6fS-Ent3I66fef2cRvL,https://lh5.googleusercontent.com/p/AF1QipM0-HQz2aUFACkG9pwyNxMSUt2pjCGbRmJ1emFN,https://lh5.googleusercontent.com/p/AF1QipMjy0Cw7kUgG56GFh5OaAJr_YLFiPJlLd9b22zy,https://lh5.googleusercontent.com/p/AF1QipNSVsn4RcSw2Klsi5gEhkcCOnOQamge6AjBZTda,Cafe,Alexandria,Coffee shop
old street cafe and restaurant,"18 شارع الغرفه التجاريه، الاسكندريه، الإسكندرية 21563 محطه الرمل, Alexandria Governorate 21563",03 4806594,Not available,4.5,922,Alexandria,https://maps.app.goo.gl/rnzJAaiJbUzLswTFA,5VXX+W6 Al Attarin,31.199813,29.898063,https://lh5.googleusercontent.com/p/AF1QipP5O9jEnzekuibo1rv0iFcoMLrlwcNBsgbjs-oL,https://lh5.googleusercontent.com/p/AF1QipNGiEkQ9XCRChoGfKaSQP4RorBt88IVNgnahop2,https://lh5.googleusercontent.com/p/AF1QipMcUwegRRAdRq8-KlCrksK2jyzbzNAaT4OTdXKL,//:0,https://lh5.googleusercontent.com/p/AF1QipO7_aURWG49NduLMUYo9N5IUrs688Bc2t8PsCL6,https://lh5.googleusercontent.com/p/AF1QipOaW-a-dNCCT6Q-gZCZVb9KcLvRjBhjwExEOpKM,https://lh5.googleusercontent.com/p/AF1QipNXtz-aArf6CeePc6nf5wcln_8qAZBXMDuZ6OdY,//:0,https://lh5.googleusercontent.com/p/AF1QipO1PVaaqGDys62p35uLFmqvwt8G0__np7gf57Vv,https://lh5.googleusercontent.com/p/AF1QipOlJveAnOh6rW8WyBN1gsILymMwEjMOZ2DehX-q,https://lh5.googleusercontent.com/p/AF1QipMnZs8NwulP4cRSaXxrYViJ2TZuKY-mnfLaFv0m,//:0,https://lh5.googleusercontent.com/p/AF1QipOD5oBKyOhwUqPEyv3h_NjtZlE2_NwWfglJIVV3,https://lh5.googleusercontent.com/p/AF1QipPcA6kcm8QW3HxtpvOwfW96-M2XCEfjGRGQuHv0,https://lh5.googleusercontent.com/p/AF1QipPE1Kj_mmMG7VPQBFdR5HOlsQkfFyqWBcgKXhE,//:0,https://lh5.googleusercontent.com/p/AF1QipOLYgG2O5zx3a0FdMEYcy8lR47zyPvRsKucKd4,https://lh5.googleusercontent.com/p/AF1QipNAfwGRQsi41McOk7lpvOykT9AsXVmx7N1Ys06G,https://lh5.googleusercontent.com/p/AF1QipP_lEqBDxMVrxOEMGEWcAM2dV1hqRlE2lmLwSJr,https://lh5.googleusercontent.com/p/AF1QipPu03oo4og1SyXDV-OEKxDLJil4RuhR26Ad1rHg,Cafe,Alexandria,Restaurant
Beano's Cafe,"275 Adly Yakn, San Stefano, El Raml 1, Alexandria Governorate 5452033",6XR5+9X El Raml 1,beanoscafe.com,4.3,592,Alexandria,https://maps.app.goo.gl/wcsChhgski3pfoT39,6XR5+9X El Raml 1,31.240938,29.959938,https://lh5.googleusercontent.com/p/AF1QipOaBByiDmHwmYdAw45ZLmPJh9U2aHEZhIcV9hTN,https://lh5.googleusercontent.com/p/AF1QipNQ349PP9-RlCYouTPxG3nFbKYbU-lPEjXH8pmR,https://lh5.googleusercontent.com/p/AF1QipODXlafJ__O06HfRdWRYi0MbHllq5P1c0hZW2Sr,//:0,https://lh5.googleusercontent.com/p/AF1QipNBUHoIMhLlMkCWTAN_dF3TFIsE27oPWFDIvERO,https://lh5.googleusercontent.com/p/AF1QipOdK1n160toNi_iGUSyUclxCw75wMv-woBlxu_t,https://lh5.googleusercontent.com/p/AF1QipPVhUW7wVhx9JOXps_BmEK9oK5Ma5no5Fm07aBo,//:0,https://lh5.googleusercontent.com/p/AF1QipNyhIxeHXNSDN6NDUqW6JIXJZHO3LR-DuPirYO6,https://lh5.googleusercontent.com/p/AF1QipM-j8cfvqtnpr_iAu88PimetII8eKE_FwehmmrT,//:0,https://lh5.googleusercontent.com/p/AF1QipNsSgqM2MyNXYGHLYbynOa99vQfmCK6pdGvv008,https://lh5.googleusercontent.com/p/AF1QipPw2HYowwT3JAp2zPPjqEHQU5C13hrBO75h9uhj,//:0,https://lh5.googleusercontent.com/p/AF1QipOy0oRxpxzPEWTtp8bPfF9m3cixcHFkEeTmTh06,https://lh5.googleusercontent.com/p/AF1QipNSchbNy5qIItiPjROG8qrie_OQcVJHDOGnsJgr,https://lh5.googleusercontent.com/p/AF1QipPu9VtEHlX_ou2JDk-A9w_YSQOdJ6A4mLaeavE,https://lh5.googleusercontent.com/p/AF1QipM0e88curUO-BDHu3O8Z8SbrN7895zkvhj6WpA,https://lh5.googleusercontent.com/p/AF1QipO3BBX-pdBUJQ6eUgeH5OUO71EejELupdlBULzo,https://lh5.googleusercontent.com/p/AF1QipPFD-Hv9VYj6yJlwF7z0JuVUjDyPVf0qJzAPhU3,Cafe,Alexandria,Cafe
