Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Aswan Cafe,"17 شارع الصومال الكوربه, El-Montaza, Heliopolis",011 55722099,Not available,3.8,"5,313",Aswan,https://maps.app.goo.gl/EXgvZojfDZrFh6uF9,38RF+JF Heliopolis,30.091563,31.323687,https://lh5.googleusercontent.com/p/AF1QipMeiO7EF4_9mTxGHJDXF4TRmMhvOSmmqBaMMzc,https://lh5.googleusercontent.com/p/AF1QipNScfJSGWrq_NsX9x1WPKs-_sxRaZMOK6CF0qQ,https://lh5.googleusercontent.com/p/AF1QipPcNZ9Yn3xPMp3yDwqMbJ1iNf1RsSltYmyVuac,//:0,https://lh5.googleusercontent.com/p/AF1QipNjqHCRpZiTUQrjtiBpNyEyZQQqS04ptctzVLmp,https://lh5.googleusercontent.com/p/AF1QipMuqSTCrGbzbKBZ7pbDpioDoeiL30FPDpBdqS3X,https://lh5.googleusercontent.com/p/AF1QipOvYPW-qOmS4j5X4cfavt-sQ8Ty-monqf3TgmEp,,//:0,https://lh5.googleusercontent.com/p/AF1QipOAvHAeJvGrM4hiUe7m-Ywk-CoKwX4rqjv_0wK2,https://lh5.googleusercontent.com/p/AF1QipOdcJJWB9snCmC2X_71nvC8k2S2iy1kKPxk6LV8,//:0,https://lh5.googleusercontent.com/p/AF1QipPyiYkOgbKPY8fM1EaFM6R7eWngg4IuXWeMGrE,https://lh5.googleusercontent.com/p/AF1QipNaADhssXR-bVqCUCnyFk_qnAH8jedDG087KnpG,//:0,https://lh5.googleusercontent.com/p/AF1QipNBaFobg2l2Wglf2TYOvbmY7wV9aO2YOKDlE8Dy,https://lh5.googleusercontent.com/p/AF1QipNdd5PBrEgGYc56Zididxz-_tAOq-F8T2uv6C4,https://lh5.googleusercontent.com/p/AF1QipOBMg8IJ211Bbe2VgS0TPeJ4AXcJLpx6yGDiJE,https://lh5.googleusercontent.com/p/AF1QipMeBrHTBaT6fHVGmUhuxlKw465cdkOZgsV50Ic,https://lh5.googleusercontent.com/p/AF1QipPxcoOGshXyQ20FBObTuoASx-rW9mhGvXJtKAk,Cafe,Aswan,Cafe
Aswan café,"39Al, Al Tanani, Tag Ad Dewal, Imbaba, Giza Governorate",011 53604289,Not available,4.3,84,Aswan,https://maps.app.goo.gl/73nHrJkPzFELFFgj7,36F5+P3 Imbaba,30.074312,31.207687,https://lh5.googleusercontent.com/p/AF1QipMvIjdmprlTojC7gyAnAnZt1tj9vv7_TkZRFwYh,https://lh5.googleusercontent.com/p/AF1QipMPVT3iKRi7i8DTBWADUPz4Zs7RpvYF72GFlFqQ,https://lh5.googleusercontent.com/p/AF1QipPURJCH94yOUuUCWcRt4D1aLajubWu6NYVL8DMo,https://lh5.googleusercontent.com/p/AF1QipOAhU8jD8jk_2I8o3BcINoo1LZN2yfh_S_2cF75,,,,,,,,,,,,,,,,,Cafe,Aswan,Cafe
WAFFLICIOUS FAISAL,"٣٩ شارع الملك فيصل،, Aswan - Giza, Cairo Governorate",010 33502809,wafflicious.com,4.6,22,Aswan,https://maps.app.goo.gl/mEv9DMxAg2t7mTLz8,X4RR+QC Al Haram,29.991937,31.141062,https://lh5.googleusercontent.com/p/AF1QipPvewWwsMXlRQjduSdmvEc20b0kqTsVC2Ws4Wvq,https://lh5.googleusercontent.com/p/AF1QipOzvv1DPjFZmKLrlFWXxC0pw4QnulNrnS-jlNC4,https://lh5.googleusercontent.com/p/AF1QipM9pY7M03HKxXd4nKQ_Fput_4DmuHhBim9dIULY,https://lh5.googleusercontent.com/p/AF1QipPGUPeuHgBB1-ZBUL1jLWAYplkgwMrBD8Ryb5ox,//:0,https://lh5.googleusercontent.com/p/AF1QipOVjFmOlbtAqJNzX3abSfGnGpuD1_yI8DMbR3o7,https://lh5.googleusercontent.com/p/AF1QipPawZZ9-neclJkynwE3tvKuOEB6SnrC4qvifNom,//:0,https://lh5.googleusercontent.com/p/AF1QipPlImOhKOjZFS9vNjTJyvz1ryzl9Ju_I6hyP_g,https://lh5.googleusercontent.com/p/AF1QipM_eSxuahRH3q884ss1ZJ6F0NrIlqBSzjPxG5I,//:0,https://lh5.googleusercontent.com/p/AF1QipObGzoGXso-BkppYEZJMnAaAHW_bMAK7IvuQIBG,https://lh5.googleusercontent.com/p/AF1QipMaHj5s3-hpBennsJ7jeYrTu_N81XcrXMOq0MA5,//:0,https://lh5.googleusercontent.com/p/AF1QipNXxrSWPDiPIeYzhLzoyahk4bXUCJ0lFHAH5Yaf,https://lh5.googleusercontent.com/p/AF1QipNz4ynMx3xU4hOlEu_zd-ffNNYnQIqvAgrcjBpt,//:0,https://lh5.googleusercontent.com/p/AF1QipOdNbq4dXY9ZYIdr_b5sCk00lp9i_aNLXfhAli0,https://lh5.googleusercontent.com/p/AF1QipNrVZ3sUmEdtlLIumYD0H5hn3a3DXuTp9juWwD1,https://lh5.googleusercontent.com/p/AF1QipMqM19Q2CxVFwYS09Zi204wmSLxa48kf3IDE7iG,Cafe,Aswan,Coffee shop
Cilantro Total Gas Station 90 Street,"Total Gas Station⛽-Road 90 st, New Cairo 1, Cairo Governorate",2C8J+VV New Cairo 1,order.cilantro.cafe,4.4,96,Aswan,https://maps.app.goo.gl/wrxNAhn5KgvmAEU38,2C8J+VV New Cairo 1,30.017187,31.432187,https://lh5.googleusercontent.com/p/AF1QipM35V0OM7hXd5SVMYkg1afaQX7AATnCV-x9Wner,https://lh5.googleusercontent.com/p/AF1QipM77f6b8Gj3zo-dBcAVvsLa2kW4N39Pp-RzQCnE,https://lh5.googleusercontent.com/p/AF1QipMdDjWtiNt-rxlPAkB5seOumXbBLHl6SPvMR0wn,https://lh5.googleusercontent.com/p/AF1QipOLaY8ll3imx3xWEqtqMnhjsl1ES5j6bQ9kel95,//:0,https://lh5.googleusercontent.com/p/AF1QipOSSAUNZdjiUbHbIT5dRszRSho2Yah_KcW8FW61,https://lh5.googleusercontent.com/p/AF1QipOaKO5mFbbd8iFUSk7tXHKZy5xqDY6-AW6t9bCg,//:0,https://lh5.googleusercontent.com/p/AF1QipNckAMpnZyq6lXS6BwlgBmuqCRZf2L524VRJ95F,https://lh5.googleusercontent.com/p/AF1QipOrptIEuFzXldIOqpXh1YIMeOHeT1QV7eBHornv,//:0,https://lh5.googleusercontent.com/p/AF1QipPaXrMpGaqSUU7qvUyAMmFBUB4z2gNhTC_c0cjL,https://lh5.googleusercontent.com/p/AF1QipOrobBPWnq2NGTthls1pLDVf6Mj7yI35znVBuJU,//:0,https://lh5.googleusercontent.com/p/AF1QipMzfGhXfk_dn3bZ55D9VVd4cR1HBo7d2aaitUPN,https://lh5.googleusercontent.com/p/AF1QipOEogKhZv0hEy-74DYe02MCgH_5DZ6uWVwrxnaR,//:0,https://lh5.googleusercontent.com/p/AF1QipPCPa6Y6-ZUgzR1t3nnkzdjezmFFbdpewONxdHd,https://lh5.googleusercontent.com/p/AF1QipM0INd5wu4EYCTnoSGWPWeWVRwynKQbRg565y9A,https://lh5.googleusercontent.com/p/AF1QipO1fj0LenKyhbxJneq8bS-2gsYUpLrYJZhQCvSO,Cafe,Aswan,Cafe
Aroma,"الخطار, Abu AR Rish Qebli, Aswan",not available,Not available,3.9,816,Aswan,https://maps.app.goo.gl/kTuiFxgewfr6N5mm8,"4VGW+32 Abu AR Rish Qebli, Aswan",24.125188,32.895063,https://lh5.googleusercontent.com/p/AF1QipOukXh-SyMB94-m8LFSS-3XlsfagDz2dV2zlFJ6,https://lh5.googleusercontent.com/p/AF1QipMcsHtaXoH7GFMVKR7gPV3und5FNkMpBS9WM3yf,https://lh5.googleusercontent.com/p/AF1QipOrQs2tvB9unFtGJjPYngapd5AOAd3lkWUaCdYV,https://lh5.googleusercontent.com/p/AF1QipMsoXtJOawqpem-wy7cubP-aXzuEpSVilfVT2mv,https://lh5.googleusercontent.com/p/AF1QipMaL-Xo-lcifA5BjlIwE3460GC8zH0yez4dV358,//:0,https://lh5.googleusercontent.com/p/AF1QipOsAZpHZKoN_j-YeK46uWj3cMCNKfjmdq34Zl-V,https://lh5.googleusercontent.com/p/AF1QipO7jBtngSCGyHiiAwVcALrNBXBnh_hG7YrHMMlo,https://lh5.googleusercontent.com/p/AF1QipMygh3pYSDfRYYKA6UcfvbM9hyxKGoMVNtvxyMN,https://lh5.googleusercontent.com/p/AF1QipO1aEmmAe3Lso70TpiTCC0Ns14qxlCDgdKhAa7F,//:0,https://lh5.googleusercontent.com/p/AF1QipPbJVqHs6Grh4ZULhATW7bpF3xxk8eK48fbw01B,https://lh5.googleusercontent.com/p/AF1QipOPoIGwGMqU_-XU564DKVP11FNldZV4ZmJbzdgv,https://lh5.googleusercontent.com/p/AF1QipN3kmc8Y_xoxQwxY9OLRbaHo9I-ctYgqq3XaPrv,//:0,https://lh5.googleusercontent.com/p/AF1QipPnIJlZrMBaaGteDZUf3fhzi1iwwlrwIcrvg3vj,https://lh5.googleusercontent.com/p/AF1QipPL7MKiN1yFANCP6InYjMVNQDkWGzSNXN1Ek84R,https://lh5.googleusercontent.com/p/AF1QipPjW0XV4PDfz4fSlUsFY7gr4ymbhfXePtt-QSme,https://lh5.googleusercontent.com/p/AF1QipNFBdvXgOr94qzq7wAO1PK_bON7MOGauyMpdpeD,https://lh5.googleusercontent.com/p/AF1QipMVYq8Xijyh1Z_MatHsVc_UwoVYysPpoSsBk-Ht,Cafe,Aswan,Coffee shop
MAFIA ISLAND - GABBANA TOHAMY,"3VGC+763, Aswan, Aswan Governorate 1231001",011 54302914,Not available,4.8,66,Aswan,https://maps.app.goo.gl/YzaTSmx4EYoJZE1w6,None,30.225187,31.460563,https://lh5.googleusercontent.com/p/AF1QipP-PLCCsCcdM8gABjayQe_uJQUDsCneqxP7cexU,https://lh5.googleusercontent.com/p/AF1QipPd_iP4OoXxdGkMNU_VQRiD2z94s1kc7z3AwEc,https://lh5.googleusercontent.com/p/AF1QipNSd_aH1xnoSLvvYmdThobAT92eVj9KWgXcHVD4,https://lh5.googleusercontent.com/p/AF1QipO1v_37klBMlfjq645_nxqWDSFcLPtwac6h11QH,//:0,https://lh5.googleusercontent.com/p/AF1QipPmJDgfRCoKfG55s7yMoN_QA5sypcxzjoj8tMQl,https://lh5.googleusercontent.com/p/AF1QipNmcQ5yS6okqDKcWSKvF60qXpmtpvH5LEz3W4kW,https://lh5.googleusercontent.com/p/AF1QipMi7V_1OQzCK_TLS6jhN-5UrrtCc1eZNawblMpj,//:0,https://lh5.googleusercontent.com/p/AF1QipOSD5sHvVxtZIRYD4dtViZM8CPLP1XmQEZhqZ8,https://lh5.googleusercontent.com/p/AF1QipO6T4uHooxNxtvtgAAS87VZsqUxJ5Q6A3UKQ-9C,https://lh5.googleusercontent.com/p/AF1QipNnIZV865VqmkXpH7e6Qfsd4taHiMPytSAC-d8,//:0,https://lh5.googleusercontent.com/p/AF1QipOZ_1p5RGB8IE7LNwZOMqY-Ju4Ie-pQb4Eaw46Y,https://lh5.googleusercontent.com/p/AF1QipPJr6SqNjWNQD3dxr3GDxhhNQAc96HywjeTnX5k,//:0,https://lh5.googleusercontent.com/p/AF1QipPpiBKAeWrZAKqN8OeoaEMuMWvOnudC0R5oHQej,https://lh5.googleusercontent.com/p/AF1QipOez2ar9NxdKFIW9vgwSxKCkhEhWtrlkYajaWpv,https://lh5.googleusercontent.com/p/AF1QipPco5uq6sGWLHT2qE9NK7hiX2xMdBFwm0Zqtno,https://lh5.googleusercontent.com/p/AF1QipPGKV7sZqpYkysCcmYtEMUPAukV6fNkYLvdD8uD,Cafe,Aswan,Cafe
LOCATION COFFEE & MORE,"خلف حديقة السلام بجوار نادى الشرطة القديم, Aswan, Aswan Governorate",3WX2+Q2 Aswan 1,Not available,3.7,22,Aswan,https://maps.app.goo.gl/k1ah9EG6D1mRtkob6,3WX2+Q2 Aswan 1,24.099438,32.900063,https://lh5.googleusercontent.com/p/AF1QipNpadTIdgwHTNf4e3Tv5a6kZxNB_c2uZ28CqGOv,https://lh5.googleusercontent.com/p/AF1QipMoThjTQk4q47xXucF2fqZehYdPs7Qus3VBgoNI,https://lh5.googleusercontent.com/p/AF1QipOlWE_ywyS_mRA0zzjm7PZEyuQBmmrbuWwTUUOV,https://lh5.googleusercontent.com/p/AF1QipMAxR5T9YuER55EHf_sniBUsnqF15c6fTF9OEAi,//:0,https://lh5.googleusercontent.com/p/AF1QipM5Fd7izJtMA5sBJM2_a-6NBAxmLV19M-LEfe0R,https://lh5.googleusercontent.com/p/AF1QipPgnfYBNdgoWQr2qBlv4RbQ11kozOVNN2UwtCzc,https://lh5.googleusercontent.com/p/AF1QipMlQdCmy0a3WOGpBcUVoUToj3q6gNN_colwkjhn,//:0,https://lh5.googleusercontent.com/p/AF1QipPCv_oVNvgJRtjdWxQ7_a7izKdCU3XoHKCBIgg1,https://lh5.googleusercontent.com/p/AF1QipM0mnm8vqgyLBUyDwGMR5jcE7PWKK3Zy7ts0ZPF,https://lh5.googleusercontent.com/p/AF1QipM8qWfdyAUiDkmNaZcnlV8gq9sL6u0ijpLdAtdJ,//:0,https://lh5.googleusercontent.com/p/AF1QipN9gjBbZP_9w6S77DnhVLwIUYRfo6ESTqAxq8tj,https://lh5.googleusercontent.com/p/AF1QipMwdruJrlF9SoyMoT1U4e23TPW8BrnjhyYCBQHi,https://lh5.googleusercontent.com/p/AF1QipNW-jRnPzZG6bKhVUs7WTJjrPUuWN-z3oKcI_Ub,https://lh5.googleusercontent.com/p/AF1QipPmKWx_gk93SSD2apxF1Hxc13-taqLILuh_bfNy,https://lh5.googleusercontent.com/p/AF1QipNk0DNFa73D67Dax4NMryp7V_egGrY-k7Hmne8B,https://lh5.googleusercontent.com/p/AF1QipMr4jA2LyxL5ojP4FTn2JabmVlqG6CF78BuuCYc,https://lh5.googleusercontent.com/p/AF1QipO1dHwwWrS0ykDJTDUm1ETu9ulhfNu7_3MrhQh8,Cafe,Aswan,Cafe
Bistro cafe,"بجوار نادي المهندسين, Kornish Al Nile, Abu AR Rish Qebli, Aswan, Aswan Governorate 1240893",011 10893000,https://www.facebook.com/Bistro-Aswan-2254690228115386/,4.4,128,Aswan,https://maps.app.goo.gl/uvMXLZCzLdXqGGux8,"4V7X+MJ Abu AR Rish Qebli, Aswan",24.114187,32.899062,https://lh5.googleusercontent.com/p/AF1QipOR-omuUeXbZ-kHy6T8DgUQaNdSPWKmEGCezslp,https://lh5.googleusercontent.com/p/AF1QipNoeTdBN154-ntvrOXCKlQnd1LzKRq8lZ1eI6C2,https://lh5.googleusercontent.com/p/AF1QipNXqDo2kfqOzpQKHbcGJVGDoQKygR1KWLsQUzsV,//:0,https://lh5.googleusercontent.com/p/AF1QipNxkcxLUcdHwOpfLAvbwv0wOq4QI-GOzDo-WrfW,https://lh5.googleusercontent.com/p/AF1QipMyWF9MY88ifk42_EP75qOA_XEGYBt4nCxdXqJB,//:0,https://lh5.googleusercontent.com/p/AF1QipPQ9WRVvZfFcqMk8288TB9RQIE7fC9db-eXQHcL,https://lh5.googleusercontent.com/p/AF1QipPcf-IiPpfCAGFR7HEkZ_nBbK8-DCY9YxiD1E_z,//:0,https://lh5.googleusercontent.com/p/AF1QipNnEISI7YZ8s1b4bcmDrcfi5RXDpDncZuZQ7Bgf,https://lh5.googleusercontent.com/p/AF1QipM6FyqLNRrPqmqXiqVVHL_TdtJxiHb0Otg0uQOA,//:0,https://lh5.googleusercontent.com/p/AF1QipP71nTfzZJCAkyKMXUoPtFdRmY4S_lXNXt43bEx,https://lh5.googleusercontent.com/p/AF1QipMH7BX58o9_RUI0nNRYskGBfmAtKYOeDmygqgat,https://lh5.googleusercontent.com/p/AF1QipNN69shKXPKuQqsDPBsxV9EbZEV5YCAAX3pfMyb,https://lh5.googleusercontent.com/p/AF1QipN_1k1N9orqVHvQIU_PWlT0goS6ul-Jor7H1T8Y,https://lh5.googleusercontent.com/p/AF1QipNby1A0xgzdifau1kiQYG1Tye4hOc8EE_MJK5_p,https://lh5.googleusercontent.com/p/AF1QipM42nx3llPS5nSh7r9Goly6TAtLOjNzvhMDVZ_W,https://lh5.googleusercontent.com/p/AF1QipMXFO3fDdRP9Jc-1pdNLTE1KTEWSVx5AH8OWD91,Cafe,Aswan,Cafe
Cilantro Total 90,"TotalEnergies Service Station, Street 90, Maadi, Cairo Governorate 4730113",012 01200061,cilantrocafe.net,4.2,635,Aswan,https://maps.app.goo.gl/vexgbr71EYX3mreJ7,2C8J+VV Maadi,30.017187,31.432187,https://lh5.googleusercontent.com/p/AF1QipPSGSoI4EeWyQfGXmrF-YlD1qQNk1hIrO0j-gyb,https://lh5.googleusercontent.com/p/AF1QipNqwQi50LnfyBffHTuV55Q-0oto5-vA_HRYg1qG,https://lh5.googleusercontent.com/p/AF1QipOuwfx3U6EimUb4RdfUKFEwf0rmgqlcHRYmloCd,//:0,https://lh5.googleusercontent.com/p/AF1QipMnYBldKnf9omFuuaaNmSu-DmDUfLxluDWkL0Yv,https://lh5.googleusercontent.com/p/AF1QipOgmrD8cSnsmIywhzEiS-yPPC07gR_UIsm8upVn,https://lh5.googleusercontent.com/p/AF1QipM54cv1OVk-NTaqeOnk2jhAsa6yK8EumSwHiAGP,//:0,https://lh5.googleusercontent.com/p/AF1QipP6hcx8n4XtBepV13rukEXxeXsacZGjMYqXaPhy,https://lh5.googleusercontent.com/p/AF1QipNmyolsjjq7pO4svM4u8ekkCM7tV-5NteO_vdtC,//:0,https://lh5.googleusercontent.com/p/AF1QipNFwrbHNZATzh97qtHxwDdKjBxWNHWKvzAyh8jy,https://lh5.googleusercontent.com/p/AF1QipNsCzajEx0cJS9lvBSyC4BkBx0wokOb9fZE938,//:0,https://lh5.googleusercontent.com/p/AF1QipOsyidWJitDNNOLZQp8cvBn8-8bfzGT7lJJvy8_,https://lh5.googleusercontent.com/p/AF1QipPHIotI_tUNla06k2_PTxynwsqafrjYBiSG1wEP,//:0,https://lh5.googleusercontent.com/p/AF1QipNRaPa3MYEkPe8Ta9rJF2vwwV_kP2NJ81CoOJ3R,https://lh5.googleusercontent.com/p/AF1QipOch15UU3vMrnvKXwbGlkYRzpy-MOj-k3rZiRhH,https://lh5.googleusercontent.com/p/AF1QipN0mKFR7H5Bjf04trFqnfjTt-I-RonZ4J1jIpM0,Cafe,Aswan,Cafe
مطعم ابن بطوطة المغربى (ibn battuta Moroccan restaurant),"بجوار صيدلية ولاء الدين, 10th of Ramadan City 1, Aswan Governorate 7062512",7PVM+9P 10th of Ramadan City 1,https://www.facebook.com/Ibnbattouta.eg?mibextid=ZbWKwL,4.7,3,Aswan,https://maps.app.goo.gl/QWy4AJ4DNoYMYjrZ6,7PVM+9P 10th of Ramadan City 1,30.293438,31.734313,https://lh5.googleusercontent.com/p/AF1QipNVK1GxFLneEn68ZJD-ucxGbjJyMZJWh_iEFf10,https://lh5.googleusercontent.com/p/AF1QipN4Cx_UC8vFOVT7BHSCjKyprfEecjQFWIlGPjAK,https://lh5.googleusercontent.com/p/AF1QipMiWh2ms_mPeQjRincW0JmKAR79bM-mlkDy7Ycw,//:0,https://lh5.googleusercontent.com/p/AF1QipOLEunG8_jMDXgvxJymApu6Z5zjIwFENIvvcVJe,https://lh5.googleusercontent.com/p/AF1QipMxsn7DsBu4dFUP7QHN3Tv4kd3TkzzYVOhhmVND,https://lh5.googleusercontent.com/p/AF1QipP5YVf0x_rh5gc9Cr-W5dRi7Wac47B_Za6fbE5t,//:0,https://lh5.googleusercontent.com/p/AF1QipMc4rFOWttPUaG4ngZ1-mhzqgzFuQP4L_rwnBqx,https://lh5.googleusercontent.com/p/AF1QipPrNSWbKcZrAK-qV0HyZGTglfkg5U18IA0E41JM,//:0,https://lh5.googleusercontent.com/p/AF1QipONbeceqC18jDSSXeclJTgRxBqjNruEPOSL9bks,https://lh5.googleusercontent.com/p/AF1QipPrud-DFgWVunCiVob3SHZdM0TObIAO72LWyG1e,https://lh5.googleusercontent.com/p/AF1QipOPdvmAwGG9Cov0xU8aYx3o2f1jQMErU0Crc8VZ,https://lh5.googleusercontent.com/p/AF1QipNGAmLZ6V8LRSNn5py9RJo0AWPqT4XgsXcXnahi,,,,,,Cafe,Aswan,Restaurant
