Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Coffeeshop company,"Kornish Al Nile (Al Thawra), Asyut 2, Assiut Governorate 2090274",55RQ+XJ Asyut 2,Not available,4.1,962,Asyut,https://maps.app.goo.gl/h5qtnhJHWwc7TCAPA,55RQ+XJ Asyut 2,27.192437,31.189062,https://lh5.googleusercontent.com/p/AF1QipMh_2gh-LhjpLM--Ze3ZC4oJ2Wu7htpyK4ZnTQ6,https://lh5.googleusercontent.com/p/AF1QipNm-J4Af-xCNI979aF4tvLMmStJCeZTMJwUf_8Q,https://lh5.googleusercontent.com/p/AF1QipMTtIZfMCIcYP_hODRi0BgQavPq1Z6rI5Yhimq9,https://lh5.googleusercontent.com/p/AF1QipPQqE9IZSDg7-LOKZWC4j4shnlEBDIl3McEoWdN,https://lh5.googleusercontent.com/p/AF1QipOud7fEZJSFw_npKFaHQBg-zQW3kBWy3Aao9wnk,//:0,https://lh5.googleusercontent.com/p/AF1QipPT0xdAdEe5uhpoySXXnZTHJOeIi5cOh4oV7Tvu,https://lh5.googleusercontent.com/p/AF1QipNEiEqxoAMsEFnMUNgD0WNQRUtS0xPxjkXAloo-,https://lh5.googleusercontent.com/p/AF1QipNKJiWK6hUklWSZqGkY0k_mu6lL6JJU6EnX3wTS,//:0,https://lh5.googleusercontent.com/p/AF1QipNRwzOlrZrQsRq5W9kk7iUSQt39IPyDxUNuVCme,https://lh5.googleusercontent.com/p/AF1QipMawQm05M4uYJLuUTtRmF0nneuMSAQligHMvrNj,https://lh5.googleusercontent.com/p/AF1QipN4a1xEieuahuRRBF8KHtT3FMyNw6-Nw26nNzdI,//:0,https://lh5.googleusercontent.com/p/AF1QipMW_xEH6uCaDm1HlCwEO-Cya9rsG8Ey0luV79Y7,https://lh5.googleusercontent.com/p/AF1QipOjekijqv8AgvLC97ZKkh9KnYmqpgPYLLr_q01l,https://lh5.googleusercontent.com/p/AF1QipM7QvFSh0J36nvpkHwH_FK2COKTLlvy0bS4GkTs,https://lh5.googleusercontent.com/p/AF1QipPpLYKFSF1wn9N8mwyo47aAvEzOLX1pb1W7lOSn,https://lh5.googleusercontent.com/p/AF1QipNyP3F9t_vLr8fF8kYMCGacqfhDGwRzXi8DwszA,https://lh5.googleusercontent.com/p/AF1QipPHBequGr3K2Brvs4qFb2x6uw8wStxLCsOaZSY,Cafe,Asyut,Cafe
Rich Coffeeshop,"خلف مصنع كوكاكولا القديم, Ahmed Ali Al-Oba, Asyut 2, Assiut Governorate 71111",55RQ+96 Asyut 2,Not available,4.8,79,Asyut,https://maps.app.goo.gl/zh4c4DATq5QH9iVQ8,55RQ+96 Asyut 2,27.190937,31.188063,https://lh5.googleusercontent.com/p/AF1QipNDHkX2EWuSx3cSj_hMI2JPNyfvr_eiy-a-33Dh,https://lh5.googleusercontent.com/p/AF1QipPSvD74dE86kYvtw7oxlJ8yuYHZL6iStZsBHaRC,https://lh5.googleusercontent.com/p/AF1QipO6Em9OtQiGHXAGAMprEtf5foMGap5JvQPP2MiV,//:0,https://lh5.googleusercontent.com/p/AF1QipO4LqO9ojyppd_EBEvN7M2Up4e7icbzAdkXSRMA,https://lh5.googleusercontent.com/p/AF1QipOfSh2n8enfyW_JFYZRqy7qvG6fogJBYbNitC9R,,//:0,https://lh5.googleusercontent.com/p/AF1QipN-5wYwhBz47HQBEV5EyE_jGcKNmFYwWW-VfScm,https://lh5.googleusercontent.com/p/AF1QipMTOPR1KX6kUXCi0ynTrHhW8k3BapwqzkXUoK6a,//:0,https://lh5.googleusercontent.com/p/AF1QipMtzjktc6r8RSM7sp6OqGwMwH3NiFKVWSn54R2t,https://lh5.googleusercontent.com/p/AF1QipM8P4xziXkqaLUfs8klGqjSLK6U7Kd8ionDjfWP,//:0,https://lh5.googleusercontent.com/p/AF1QipPnNW4XaRgnh5DFsAst3hl0QadciNAwSIL8weYZ,https://lh5.googleusercontent.com/p/AF1QipN_6lhoncQlrBb2TuJnRRa88WS2eNtnhlhhdM7T,//:0,https://lh5.googleusercontent.com/p/AF1QipPvQua3LlbcppcKHRzN8ZbFpPG_XYjxK3T_metq,https://lh5.googleusercontent.com/p/AF1QipPIJJvRoAOcyb3Yqzrrw5sMtrmm5oAyygpSeuyy,https://lh5.googleusercontent.com/p/AF1QipOZkQVfT98UG2UX_75Gmiwm5NyR_buXm8uefIXa,Cafe,Asyut,Coffee shop
H Cafe,"Al Baquri Mohammed Sayed Ahmed, Hasan El-Attar, Al Sheikh",not available,Not available,4.0,192,Asyut,https://maps.app.goo.gl/upLz1NmJQ5u4ThtK7,55WM+PX Asyut 2,27.196813,31.184938,https://lh5.googleusercontent.com/p/AF1QipNXskZna-oxpOyftc36e1H0OOPAGwUMGT2TR8W8,https://lh5.googleusercontent.com/p/AF1QipMsUkInowTd0BIu7NcV1nGTdXXi_XR-XzfMnkcM,https://lh5.googleusercontent.com/p/AF1QipPWNciI4WP_lPaKI8EG7pTfjzNMjMe-hcFIrJbu,//:0,https://lh5.googleusercontent.com/p/AF1QipM9RNGWwC13uVCk4H0a5kUO4RvLsqBBPMVe5UzB,https://lh5.googleusercontent.com/p/AF1QipOcHsWugnExXnNdhpmRQGOl5xt23owffV2QcW1r,,//:0,https://lh5.googleusercontent.com/p/AF1QipNgEZrn5_ijkAGuBJheT9qzgQgQOe9H_ScdPLWc,https://lh5.googleusercontent.com/p/AF1QipP1qJ_iZbdjtUKxtxhYmqPzNMpBPnOPl8eyobyr,//:0,https://lh5.googleusercontent.com/p/AF1QipM3qJ1XZeaSQwP_NEO3cK89oemnfO81zdnUd4cu,https://lh5.googleusercontent.com/p/AF1QipNWHKdm3WT2c-wkA7Fh2zd4UVPF2XbT8AILp0Qy,//:0,https://lh5.googleusercontent.com/p/AF1QipMNm3Y1Ms-qpzyUS12zGw2YMTd9HxqIgmOa5KGH,https://lh5.googleusercontent.com/p/AF1QipOtZQ94IYV5Wnkg3Fyqu6JCyG_pr94U9U4aDfby,https://lh5.googleusercontent.com/p/AF1QipNRdWxpICPa14WmZaakn7lUnv9NLNUFHvc6NPte,https://lh5.googleusercontent.com/p/AF1QipNdHWXOKaI6zCQH-rhwFDpv2HnrOfLv_uG2sQxQ,https://lh5.googleusercontent.com/p/AF1QipOtnGvT_0jq7sRyEyB_wKszYEUBXeMNa8hgX9Na,https://lh5.googleusercontent.com/p/AF1QipM7TQORBEk0LflBdLZrFPoJwVQOkwsUJkMDS4Nc,Cafe,Asyut,Coffee shop
Kongo Cafe,"شارع التليفونات امام شركه we بجوار, مجمع المصالح، Assiut Governorate 71111",55JP+PV Asyut 2,https://www.facebook.com/kongocafe/?ref=pages_you_manage,3.9,15,Asyut,https://maps.app.goo.gl/Wi4hmVzy4xmYxyD19,55JP+PV Asyut 2,27.181812,31.187188,https://lh5.googleusercontent.com/p/AF1QipMI8vgfUBjTKhoKg56edRhJ-iyxfv6VfL6FO-ao,https://lh5.googleusercontent.com/p/AF1QipNSNsKFBIFFD4eNmHzwhGzZEhU_88ihxyuZQESF,https://lh5.googleusercontent.com/p/AF1QipPZKFXCKvvRt-u7PLqaF48BGSeVDx0N2ri849LF,https://lh5.googleusercontent.com/p/AF1QipP9BqOBVTilLELpyk1-WjN83WVhEmTcBFvARTFo,https://lh5.googleusercontent.com/p/AF1QipN-FnDwqGJ1KJzbGEtSyRggvc1-h4v2yc7a6Ylk,//:0,https://lh5.googleusercontent.com/p/AF1QipNMLRU00iObZyRCOu5S-wGRbIWO6MviDbjGRy0J,https://lh5.googleusercontent.com/p/AF1QipPgextwU9iCedSafe7E06n9ltOUFfG_2wDW3xOx,https://lh5.googleusercontent.com/p/AF1QipM_CR8-2Bk1mlPh9Yn2jZltLvPumsDKocySpxUm,//:0,https://lh5.googleusercontent.com/p/AF1QipNLYFe1b4G2tX6gxaHRhTjwVI89ja-uBQ81UJft,https://lh5.googleusercontent.com/p/AF1QipP6hNrorV4PhNEn0qDVnGk8g09R2Fjgk5FVDKQo,//:0,https://lh5.googleusercontent.com/p/AF1QipOQQOKHCUK2Kq-BDcJBImvN1zPb9pVrpFSrjNoH,https://lh5.googleusercontent.com/p/AF1QipNbiqjOXhId4iLeOG6xJxWQ3avPaZ6IFI6xzcq6,//:0,https://lh5.googleusercontent.com/p/AF1QipPIMDtUZqL28fk1d2E4X6aZGUitMbd-TF-n1pQD,https://lh5.googleusercontent.com/p/AF1QipP5nbEchE4bXVQB2T7-j48P3Jgzc4EMtmjKmU1Y,https://lh5.googleusercontent.com/p/AF1QipNVbjWWqUyX4hYa26fKtuv8dmMp-7-3XNfXgqC7,https://lh5.googleusercontent.com/p/AF1QipNlCnArDcJIA8FcldX_iw8wnbFI4lpvbHwhaV_g,Cafe,Asyut,Cafe
House Cafe,"55QJ+R2P، شارع تقسيم الطرابيشي, Al Walideyah Al Qebleyah, Asyut 2, Assiut Governorate 2090331",010 00009454,Not available,4.0,222,Asyut,https://maps.app.goo.gl/Fkq5pM5a9ebBKs8C7,None,30.218688,31.476937,https://lh5.googleusercontent.com/p/AF1QipPv4UZe_eJTNf_bI8Al-RLTVatd6c5-Y2sbPq_A,https://lh5.googleusercontent.com/p/AF1QipPEwndlafnEgGY_UtoEEEm10-1cuZHA2p2R7Vtd,https://lh5.googleusercontent.com/p/AF1QipOjkO-YxOcf9sy4CkGLkZp6XZBWFHeLzcdxNRVg,https://lh5.googleusercontent.com/p/AF1QipP0v89QKIDXrikrrjdlb0ETJ3-hryIUzBYZKrAo,https://lh5.googleusercontent.com/p/AF1QipNBRfEoGKRMJ313vDjbCwatrMpydxkE904XB7ZQ,https://lh5.googleusercontent.com/p/AF1QipPhhh8qI255BDZozQLPyBsaY5a7fpDxvGCmm9LF,,,,,,,,,,,,,,,Cafe,Asyut,Cafe
Starbucks (Royal Gate),"Kornish Al Nile (Al Thawra), Asyut 2, Assiut Governorate 71515",not available,Not available,3.6,38,Asyut,https://maps.app.goo.gl/Vzjjy4DYK8tQ6VgC8,55QR+VM Asyut 2,27.189687,31.191688,https://lh5.googleusercontent.com/p/AF1QipMhuLJhShztvcBVb6zsMs0vTGbic58G2OhZ7QLk,https://lh5.googleusercontent.com/p/AF1QipOpdKlh9b6ELuISHFH-Pgb-HU1OsuVnhe1b1hzv,https://lh5.googleusercontent.com/p/AF1QipMTOTI5lP_c2n1VvyMTv68Xkl0kJkDqEhy3y1HP,//:0,https://lh5.googleusercontent.com/p/AF1QipNF5iMKHW-R0jLvP3nqMuDpw1WeXHhKmgh2zTaq,https://lh5.googleusercontent.com/p/AF1QipMqaEEAd7rnDC71JRsQ7-32YdmAEkmqF15zMaxT,https://lh5.googleusercontent.com/p/AF1QipMhZ09UwdknTmwga8ei2dQ0lyD1h-DPemc95i14,//:0,https://lh5.googleusercontent.com/p/AF1QipOpzjnOvdoX35UCghEG8FJdrN0EAhpn94lmyVPL,https://lh5.googleusercontent.com/p/AF1QipNrly9Pc40rebpwAyN_TPYM8LTmDdXESWTuKDF_,https://lh5.googleusercontent.com/p/AF1QipMFgI9Jn50MKoy70IRQBl5GDBfYDitvMZkN8DdF,https://lh5.googleusercontent.com/p/AF1QipN9oFTqS3sMGlZircd0Q5uLIUssDsjFgUGT01Jz,https://lh5.googleusercontent.com/p/AF1QipMeNDaUDaWqUlPlLeA6VL9n9OivThm9WaYzkbEW,https://lh5.googleusercontent.com/p/AF1QipPBg3pnOycElYhYPwKOnVHdGLgaSNT6yK-FYbQ0,https://lh5.googleusercontent.com/p/AF1QipO_7nRChvVHVetsxYrOW3oYCC4iyJjDBScvezEp,,,,,,Cafe,Asyut,Coffee shop
Cilantro,"55QR+JFH, Al Hamraa Ath Thaneyah, El Fateh, Assiut Governorate 2090262",010 12768184,cilantrocafe.net,4.2,507,Asyut,https://maps.app.goo.gl/Qm6KvYwsDjmpmFha6,None,30.218688,31.476937,https://lh5.googleusercontent.com/p/AF1QipP09wFHmXLMLWA3NxGMQhRrnyT9qHFffY5puauf,https://lh5.googleusercontent.com/p/AF1QipM8Io_I6-NFEOfyLrZ7JgCArpJaK12h2rXpx8wZ,https://lh5.googleusercontent.com/p/AF1QipMlcaZ0c_pMgM10SPDWnUCZmEG1ckDx-BC2rPx5,//:0,https://lh5.googleusercontent.com/p/AF1QipPKQj2DNHNyASHqmz_rO2si5irEvx4QezJLCOlT,https://lh5.googleusercontent.com/p/AF1QipOeG5yqxWj-Y9Qes45Fsoh0evo5NButF9sPXgP-,//:0,https://lh5.googleusercontent.com/p/AF1QipPH7Z2gBt4V9GJcCYIV06v7so3tpzjzkiGj_TdU,https://lh5.googleusercontent.com/p/AF1QipMqyRkS0vsSi63D3SEBdupCtwHzOa2lzqD3t_9U,//:0,https://lh5.googleusercontent.com/p/AF1QipPahl_VQfHYFSxiD0eFDaJLNaoIJI96F2U5TKx7,https://lh5.googleusercontent.com/p/AF1QipPjs0xhRm3G_qITIyfO6u5ucrX-KD4dUfLYAqX4,//:0,https://lh5.googleusercontent.com/p/AF1QipPiX-8Bni00jK-UmiflzLloZOO2yXDOLUbNHiWn,https://lh5.googleusercontent.com/p/AF1QipMOqVgb6NOgIxKVKuhWlCLqtUoWjf4i7lkWXW0K,https://lh5.googleusercontent.com/p/AF1QipMN-VUY8XGL8sl6PNw0x2XGVewgSgL4oRGJ5dEg,//:0,https://lh5.googleusercontent.com/p/AF1QipNuZuRY7B8B-v4Mt2wkaq2unmHtLZYGjmG7wiM6,https://lh5.googleusercontent.com/p/AF1QipPOokOuaB11Z1Cv3CEkiUgTAodBpqJ4CHyWTOJP,https://lh5.googleusercontent.com/p/AF1QipPbwBU5rNp05zgvCLqpM-Hl8tp-s0tJ6uXNWXoB,Cafe,Asyut,Cafe
Siuuu PlayStation &café,"سيتي بجوار مطعم الباشا بعد سيراميك الدكتور وكشري الميدان, شارع, شارع السيتي, شارع سيتي الأول, Asyut 2, Assiut Governorate",55JH+X8 Asyut 2,https://www.facebook.com/Siiiuuu7/,5.0,18,Asyut,https://maps.app.goo.gl/cNdQYuzmKfZzX6tE8,55JH+X8 Asyut 2,27.182437,31.178312,https://lh5.googleusercontent.com/p/AF1QipPS7cldMenRXqJthKiOKNaKljibL8k0HEf-7-Jq,https://lh5.googleusercontent.com/p/AF1QipMxxXNLJiGQQ6SSH-6Ylq8Z0neFW69qen95I-Xk,https://lh5.googleusercontent.com/p/AF1QipOec0uLyUl4XY2LbZJro68V8SNcZj-CG4VPtAE1,https://lh5.googleusercontent.com/p/AF1QipO5IIPaMPKISHIxiGp9IeA4qs1tjI00PC_UWgkW,//:0,https://lh5.googleusercontent.com/p/AF1QipP3iSYjkl3oODZXL85kC9fxGUdvrBSPn-cZHuF4,https://lh5.googleusercontent.com/p/AF1QipNtD0T0Zcn-vaYiWerF6VGTzf0qBP-mvAGXaOzq,https://lh5.googleusercontent.com/p/AF1QipOzdmDByf4AZkd5aZnKpkoiqmexHnCpqr20YaGo,//:0,https://lh5.googleusercontent.com/p/AF1QipPYo39-tg2dqDV0mc0U1wm9Y3UgpyoThQvNN35r,https://lh5.googleusercontent.com/p/AF1QipPnnGq4NM0BcX6z-vQYZsjBc5nrvkcQodmWYJAW,https://lh5.googleusercontent.com/p/AF1QipNQ2Jlb2dWPSDn_rHJ25rSHlM2RaqdsfP2pWlu0,//:0,https://lh5.googleusercontent.com/p/AF1QipNshIrT2yBzijezuFuvrjHrymVLmCEvMtjpijs4,https://lh5.googleusercontent.com/p/AF1QipONIsrUdsdNUYOEqhWYe5T9GbG96qeyYqnvgIdT,//:0,https://lh5.googleusercontent.com/p/AF1QipNJgwKm4QFu15WEMJjN02tdYIZYfNHdQCCvXZ7v,https://lh5.googleusercontent.com/p/AF1QipNK90B8g5uRo0kDpx3aBHUeZn-9kfPhBI7N4PRL,https://lh5.googleusercontent.com/p/AF1QipPAqLij-rpttiyAYqXFInVafbNzEPD6-nR9xLiE,https://lh5.googleusercontent.com/p/AF1QipPYdDl7S7wp-bv_t21otjkYO5sxjm7ds_rpNhgx,Cafe,Asyut,Coffee shop
Champions Ps & Cafe,"Mahmoud Rashwan, Al Walideyah Al Qebleyah, Asyut 2, Assiut Governorate 71111",55RJ+C8 Asyut 2,https://www.facebook.com/Champions-PS-VR-549607268742030/,3.9,26,Asyut,https://maps.app.goo.gl/dWaJowPDjSRu5aPA9,55RJ+C8 Asyut 2,27.191063,31.180813,https://lh5.googleusercontent.com/p/AF1QipOMKhROl-3UlUqVd2JhtafRtNbmzhuaWfMdTQd_,https://lh5.googleusercontent.com/p/AF1QipMBAcFlnSt6451Yj4FFkHgbpD0ytsf7B1Tus2VV,//lh6.googleusercontent.com/D1YMwIz3O1uvJEffKAmkVK-Rts_PZhzYGKUuPHZXk7zsuwBd-Om941kux-NBYPQv,//lh6.googleusercontent.com/L_is6Rg8KuwSioH-w5f8ojpQDzkewtJGRgoxMzeXUfhHxzczbvHd43lzVyOzmvDV,https://lh5.googleusercontent.com/p/AF1QipPJHo2eL5zgFCk62DIxrZBnCRdcAgGU5bu9ECXU,https://lh5.googleusercontent.com/p/AF1QipM1Nug5TDojGcsyzwXOmsTICM2ZWAc2MAoZH8ky,,,,,,,,,,,,,,,Cafe,Asyut,Cafe
Capitano playstation & cafe,"ماي جيم، Unnamed Road, الحمراء الثانية، قسم ثان أسيوط، أسيوط سيتي خلف كافتريا الفيشاوي أمام",55MH+6C Asyut 1,Not available,4.6,77,Asyut,https://maps.app.goo.gl/E84YYoNM3GZyAHt56,55MH+6C Asyut 1,27.183062,31.178562,https://lh5.googleusercontent.com/p/AF1QipPtQMUwQwVEs7Om660hOym5oaV55JYzIXCWhKRJ,https://lh5.googleusercontent.com/p/AF1QipN1qteS3CyL14DMXCm199Ywyne7eESdGJvVxD8z,https://lh5.googleusercontent.com/p/AF1QipNTb1B-iNp9vCwWmJRY1jHc3EPg63WCOLagei8x,https://lh5.googleusercontent.com/p/AF1QipMElpA16Y7iGWCeLZu_1TrCoy8ATE1IRJp9m8aH,https://lh5.googleusercontent.com/p/AF1QipPF2H1rdQTcRyzZn3R0saq5rR5fzBX65qLQ53Y7,https://lh5.googleusercontent.com/p/AF1QipOUjS4vtuEismlMhr0Oo7Uc32TLguBqnIzTLesO,https://lh5.googleusercontent.com/p/AF1QipP2dLIixxViba2ExsQf5Tcj3wbrOB3u0JZRhpqd,,,,,,,,,,,,,,Cafe,Asyut,Cafe
