Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Stones Cafe,"أبعاديه دمنهور، مركز دمنهور، أمام مجمع الكليات بجوار كشري, Abou El-MAGD, Beheira Governorate",045 3282071,Not available,3.9,58,Beheira,https://maps.app.goo.gl/PwcYY6DjsEiPCCnf8,2CQH+PR Damanhour,31.039313,30.429563,https://lh5.googleusercontent.com/p/AF1QipOk6Tg_LxfZ7sPs44zW3WNk9ZXhAzHbM5Xuh3gq,https://lh5.googleusercontent.com/p/AF1QipMUHmuLH2HjUt49s-zI0nuvS8sDkFFm2G6ogZrc,//:0,https://lh5.googleusercontent.com/p/AF1QipMTj5Uv8bSMXViPvdFpPfsgSQPcsP1bxAsodphz,https://lh5.googleusercontent.com/p/AF1QipPof6hWbKph3-71mQf0faPfo3WR-5SptSmIVqjh,//:0,https://lh5.googleusercontent.com/p/AF1QipOknr9Gx1hVuR395HD2Ey_lHPoGVDz26kZo__EQ,https://lh5.googleusercontent.com/p/AF1QipNaqYbVJuw8axrapohWjrEXw4sHL4-0RKizsdmI,//:0,https://lh5.googleusercontent.com/p/AF1QipNNb9IctKffM9RocfmVL_wjy77aXUF63dpe4_9V,https://lh5.googleusercontent.com/p/AF1QipOKl0yegl6Dr9BvGNiIiwaB0DwTaLEP_SMZe_QV,//:0,https://lh5.googleusercontent.com/p/AF1QipNXvShS5pS4Z4NJ2E0SfC6gj_exWjXNRj4NImB1,https://lh5.googleusercontent.com/p/AF1QipOnR2_gzQ7qQLKHiUt9GbMqIG8YRaNHeHMkU3a7,https://lh5.googleusercontent.com/p/AF1QipMFFfvmbSgdHqCiX67lu8lLJPiLj-GGa5mHEbEZ,//:0,https://lh5.googleusercontent.com/p/AF1QipNFcVX63DqSmVt3_bDw770xJOY11weess4eEB5R,https://lh5.googleusercontent.com/p/AF1QipO59jvcjrdgKYLOcjvxp1zH7W1ZmaOUv9XxkiY8,https://lh5.googleusercontent.com/p/AF1QipMfljKTNRvH6ufTrnSdV4eNoIY8gdV8-2_MUjC9,https://lh5.googleusercontent.com/p/AF1QipP2K00iObiymzAzzq4tNCfEb9V4YUX6H-rdzbMZ,Cafe,Beheira,Coffee shop
Bonjour Cafe,"علوى تحت الكوبرى الدولى فى وش مجمع كليات (المجمع النظرى, Abadeyat Damanhour, Damanhour, Beheira Governorate 22511",010 66806167,instagram.com,,,Beheira,https://maps.app.goo.gl/fzVmubyGbF86RNG8A,2CQH+HC Damanhour,31.038938,30.428562,https://lh5.googleusercontent.com/p/AF1QipPm9U8VQNc9Xl1zJSTU-UuOVmEB582v2sNvUqd1,https://lh5.googleusercontent.com/p/AF1QipMjGRayjRJCGrNAcWnhnuHSd47jnYFW8h9hEezK,https://lh5.googleusercontent.com/p/AF1QipMAUDoqGp3g9-SzWrNW0POGavKYZm3OuQxiR6Cz,https://lh5.googleusercontent.com/p/AF1QipPuzWON39ckE9KNtNzwcAoexd-fGYK0frisGwFl,//:0,https://lh5.googleusercontent.com/p/AF1QipPeaKNWZq_RlP-b_dSRDdfb3Cwx_AyfPMlLkCJF,https://lh5.googleusercontent.com/p/AF1QipM0NDvxupjGU7_3gkiqdKFHjk6sJz_VMaBNluqK,//:0,https://lh5.googleusercontent.com/p/AF1QipPVPtQ61xdRWcMVpTGlt3WVFW8QGcd_YBErt6Qe,https://lh5.googleusercontent.com/p/AF1QipNmdfU7tb-d1C5KrKnowlcfzYSa8Pf5-eDY29zh,//:0,https://lh5.googleusercontent.com/p/AF1QipNK0XuAz8iji5_SSBatzp8u06sbLLqzJBIT8Cc1,https://lh5.googleusercontent.com/p/AF1QipMVcFRndL7nVOm1aBKUGYre0qPi1mv3AuXWrwhZ,https://lh5.googleusercontent.com/p/AF1QipOaopyYsKmVoIBUXrEK8WuJg97qxUydqQHt0tcq,https://lh5.googleusercontent.com/p/AF1QipMwAxjibt_VPLNiX4ZZHK6FYnxyv2Vm_XRBoqiW,https://lh5.googleusercontent.com/p/AF1QipMF3hgfIGk4u3YB-wyeQiYmI5gEc6E4od-vLTZ9,,,,,Cafe,Beheira,Cafe
PALACIO CAFE,"2FQ5+2GQ, Galal Kretam, Qortasa, Damanhour, Beheira Governorate 5841060",010 11344953,https://www.facebook.com/palaciodamanhour/,3.8,72,Beheira,https://maps.app.goo.gl/PsmuCPoSdq4Q9W9f6,not available,31.036938,30.459437,https://lh5.googleusercontent.com/p/AF1QipP4B971rEGmmmmvBnVCxNWHUxoEm74BdRqgnVD6,https://lh5.googleusercontent.com/p/AF1QipPSVSaZl1TBPUWo9Ymvs0BDNkhmePDv8Ia11wh-,https://lh5.googleusercontent.com/p/AF1QipO2pGuzpUeu4Y0ab4_HK8dwRCZA6hWw-RGl0YlU,https://lh5.googleusercontent.com/p/AF1QipMs4_-riQ9qxq6Z1kLCzyke6JFd8VddR1RIje5c,//:0,https://lh5.googleusercontent.com/p/AF1QipP-WBY4Jy5L7rcwlNYk6N-jAE1S0LDuWNiR8Lp1,https://lh5.googleusercontent.com/p/AF1QipNgyGMUXBTcfIFb-nXsAuzIcoXlTgpggu_cNbjG,//:0,https://lh5.googleusercontent.com/p/AF1QipOCeOwAsGOsepquyqxNkaaP-PDtYNSIVwmplBgb,https://lh5.googleusercontent.com/p/AF1QipOH5PEvF8MqM2MfvwPdL3RF_8W4nAuMuPqXezuq,https://lh5.googleusercontent.com/p/AF1QipObwSnORXibV8iIzx-R31SQTjgjxDy1XDR5dgff,,,,,,,,,,Cafe,Beheira,Cafe
Mix Cafe,"بجوار توكيلات توشيبا، شارع عبد السلام الشاذلي برج الأنوار, Beheira Governorate 22511",010 18711186,Not available,4.0,474,Beheira,https://maps.app.goo.gl/jmEdMyvHxnQcLYKL7,2FM2+2M Damanhour,31.032562,30.451687,https://lh5.googleusercontent.com/p/AF1QipMlx_y9xcJRc_TO6eMkITDdDtURJI0odu2sJP5E,https://lh5.googleusercontent.com/p/AF1QipPXZ0BNKTNw6PBZBGmPl6ZHLmwb2p2gLsvqlppp,https://lh5.googleusercontent.com/p/AF1QipNsUqCZiCEnPWLGY6lYRQVwaJlvbJAoisvqskQu,https://lh5.googleusercontent.com/p/AF1QipN4xR2F1FelfHMYVDuF7SV3TMlSkyLmt9n2G4Lk,//:0,https://lh5.googleusercontent.com/p/AF1QipO7JdWH_eIPnU5Gjxo_3phgerIpzYbDQT-ToLJZ,https://lh5.googleusercontent.com/p/AF1QipO0RAHU0c6GichUsQZ_d1qPYifYPWwM9Qh15Ned,https://lh5.googleusercontent.com/p/AF1QipMmjoiWszeiGhvZgR_bAVWWd6I27gctMfT0wJW0,//:0,https://lh5.googleusercontent.com/p/AF1QipP_aT-3NwhsqcJfXzw2YPRBY-juTbV3rrw8jgKR,https://lh5.googleusercontent.com/p/AF1QipPirxsZFB24V57bzuWdaTDC4jg8Hbx3xBGZzBdY,//:0,https://lh5.googleusercontent.com/p/AF1QipPMJtkd49vJLWHGPDBwA1L7bcsgt_QgkyojIa0N,https://lh5.googleusercontent.com/p/AF1QipPSm9vEKhd-xnayuVt54gtU1lGEXay6aMXu2eZJ,//:0,https://lh5.googleusercontent.com/p/AF1QipO5a7940KGMyaV55kjzVX9vKyyzki0Qs_6clMGG,https://lh5.googleusercontent.com/p/AF1QipMCrAHE2mDLyGyIjLX21wqfSqKhI2_ROIdNEJZ0,//:0,https://lh5.googleusercontent.com/p/AF1QipOyUSDjrklh3oydtsNVbLBj-DCnSJR9f3ig0t9A,https://lh5.googleusercontent.com/p/AF1QipPEkVkk_vUdDPUQCEyYbBvDVWZMHHMtC_Ws5rfQ,Cafe,Beheira,Cafe
Arabica Cafe,"2FR4+7QF, Othman Ibn Afan, Qortasa, Damanhour, Beheira Governorate 5842230",045 3344404,https://m.facebook.com/Arabica-Cafe-116340975668838/,3.9,52,Beheira,https://maps.app.goo.gl/zzEK2MjoFXY8rZNx6,not available,31.041812,30.456313,https://lh5.googleusercontent.com/p/AF1QipPbOvg-Rb3oyzC133pYrGpKwGMVSm59mmC_eUF5,https://lh5.googleusercontent.com/p/AF1QipNYSevfIrRZ4C-sLP61vFHjlQjPHCF0k0eEztFt,https://lh5.googleusercontent.com/p/AF1QipPcxl4gHiNPXVtjc5W5tG8gpjVDr85azzcZ9TJr,//:0,https://lh5.googleusercontent.com/p/AF1QipN46f3R2RHOw2jV8GtxCgGZrA6kkK4OibanSqVS,https://lh5.googleusercontent.com/p/AF1QipO5iwcU32kQs6c6MDhoBVz0lvDkKdisbm0798zb,//:0,https://lh5.googleusercontent.com/p/AF1QipMv0oiYWuaUXD0x4sYrJ6c6Hy5FhevT5_Tlctsj,https://lh5.googleusercontent.com/p/AF1QipP2g3rdL21ECgynKycBGJRTnOvcpyYoc3npChRW,//:0,https://lh5.googleusercontent.com/p/AF1QipOBNajjNOTuT1yC8V6mkHkeC61TEQ9DhFxk0E96,https://lh5.googleusercontent.com/p/AF1QipOKOKo2MkCy19Jq1RkSd19S9GTbmp71iTPBvkeI,//:0,https://lh5.googleusercontent.com/p/AF1QipOtSvTalmDZYd7_DHGn68My1dYVH9GIHwppM-Jj,https://lh5.googleusercontent.com/p/AF1QipMPLFMI3MzLwePaOVkH7osc775gmd6fvORZ-ozh,//:0,https://lh5.googleusercontent.com/p/AF1QipNKTW9K4Xy7VyI7J8Sx0EEs8X25pTYnunmd6aht,https://lh5.googleusercontent.com/p/AF1QipNAc0P2cvaOyR1WXOm9VnWzUNJaqbq8jn8mVNP2,https://lh5.googleusercontent.com/p/AF1QipNGt-09qB5T_sMqcBPAs0oxFX3inYVudFcLa88Y,https://lh5.googleusercontent.com/p/AF1QipPAHeG_HRnwlPsO5cQSUVony2kErZGyxiub7piZ,Cafe,Beheira,Cafe
Alexandrian Cafe,"2FJ5+FFP, Shagarit Al DOR, Qortasa, Damanhour, Beheira Governorate 5841008",010 05676268,Not available,3.8,451,Beheira,https://maps.app.goo.gl/rB9yswMGsTNxcgjA8,not available,31.03125,30.45875,https://lh5.googleusercontent.com/p/AF1QipPwZw-1FippdR1uYNH1e3NvCaq2kTrcgCbfl6s_,https://lh5.googleusercontent.com/p/AF1QipOCNr7WBwTXz7T5kcj8W2ssZi91cLBp2HEfoHtC,https://lh5.googleusercontent.com/p/AF1QipNsaFgyeaFWIAJ6X5vgJPohCoYtn4YHAzQho1fT,//:0,https://lh5.googleusercontent.com/p/AF1QipN369y7HZff2v6cfTaPKjt58rXnc6a6Ap35Erxr,https://lh5.googleusercontent.com/p/AF1QipNBAa4s8_EqQBLgbaavdATiGGm_rPSe3Gwu1TlR,//:0,https://lh5.googleusercontent.com/p/AF1QipMD346DqcXXMrgImjSGs-CYvx4DjgBcTPdYxsGU,https://lh5.googleusercontent.com/p/AF1QipO0XZ3oirSNtRArM1upzsOQrHkUFCJtY7xWuXii,//:0,https://lh5.googleusercontent.com/p/AF1QipPdY7Sn4cnUwpR8RVPd_Z4AvqmyQqVXXhO8mGp7,https://lh5.googleusercontent.com/p/AF1QipMpF3b3ARlsR75cgRN592x1SZSLo85qXyUWC6TC,//:0,https://lh5.googleusercontent.com/p/AF1QipPSVC_L1O34A8tcafiQu9yOfWvsVQu4mxOyVcI6,https://lh5.googleusercontent.com/p/AF1QipO0DH2f_3F6ol9jorGnUSU602IZcXGir1tYceLz,//:0,https://lh5.googleusercontent.com/p/AF1QipMCj4rD3NAofqEEL9hRsUKaoAUEVOOEfXGPmCAd,https://lh5.googleusercontent.com/p/AF1QipMH-mxBZBGpoVPO1SRU5_QT0bgMoQNOOnW_5GOv,https://lh5.googleusercontent.com/p/AF1QipNOgxItcanEkUkP0a46wL6Jbji8Gp1iPolqg2Cv,https://lh5.googleusercontent.com/p/AF1QipME9KDxqWWD2vYjlJtz_OSUV3m7vCzGnEFO4yR0,Cafe,Beheira,Coffee shop
Prisca Cafe,"2FP4+GJW, Nawar Shobra, Shobra, Damanhour, Beheira Governorate 5841060",not available,https://www.facebook.com/Priscacafe?mibextid=ZbWKwL,4.6,5,Beheira,https://maps.app.goo.gl/h89EbUhngWMWcRTu6,not available,31.036313,30.456562,https://lh5.googleusercontent.com/p/AF1QipNCwqaZFAzuBoWbZvD-9wVbkqo87zENL3RW9yMF,https://lh5.googleusercontent.com/p/AF1QipPIQxNfqzpr4CgUI13vc3lmC4Zpz919NgaKQ37K,https://lh5.googleusercontent.com/p/AF1QipPOd-qqxRruyNBu49-f-zGN8lw-sUR97sY6CfUn,https://lh5.googleusercontent.com/p/AF1QipOI1e3PXN0F10PS0XYGLTzg0QiMhpq_aWJQ00Sb,https://lh5.googleusercontent.com/p/AF1QipP62nr839Uio-T_PzoZ8g3DmKFKZE4MOWyZfyo6,https://lh5.googleusercontent.com/p/AF1QipPryg-NE8YlplPKY84Avc0vh27Pgnw7AFNfXShu,,,,,,,,,,,,,,,Cafe,Beheira,Coffee shop
AROMA ORO coffee roastery,"شارع Abd El-Salam El-Shazly, Shobra, Damanhour, Beheira Governorate 5841324",045 3366999,https://www.facebook.com/AROMAORO/,4.5,145,Beheira,https://maps.app.goo.gl/5BtsXVbWDdoS5MmT7,2FR5+7G Damanhour,31.040687,30.458813,https://lh5.googleusercontent.com/p/AF1QipOKxu2ELIZLk0hZJvGnHkHuI4P-RBMEh3kCqsn6,https://lh5.googleusercontent.com/p/AF1QipNttwLRVfonXg0q-UuofCBqpC25Gle_rz92LeDc,https://lh5.googleusercontent.com/p/AF1QipPMlUNaFpg2rdfcvLJxYWBgwa8WuVr3XVsY9vOM,https://lh5.googleusercontent.com/p/AF1QipM8OrnYQXmCdgzxhrHTpIzR6TfZbkpvNWlERKJd,https://lh5.googleusercontent.com/p/AF1QipPz3DTccN4WT7oKtj1eJZHlTqF44igTaWzACZyz,//:0,https://lh5.googleusercontent.com/p/AF1QipO2soUBeCBfoUHHpi7HN3G5CatqEGi_D0Y4GJpS,https://lh5.googleusercontent.com/p/AF1QipPoDUVRS96BkwZBTMUq3T7EKCkntBkcfCMC6oeV,https://lh5.googleusercontent.com/p/AF1QipOcDXPY2tO0TpfPX1OYKNCdIisac6BPtjLlcMW-,//:0,https://lh5.googleusercontent.com/p/AF1QipMpk8LiK5sfTFAQI_LBtCU8puz4qhJ-zvoqEPcp,https://lh5.googleusercontent.com/p/AF1QipPJ7RLse-ZdzmPzynLDPkbo6-sKAVh3Mhc901ZL,//:0,https://lh5.googleusercontent.com/p/AF1QipMsCdMetmas8GvmTHbTTP-wu3fqdUPsEVbi3r1X,https://lh5.googleusercontent.com/p/AF1QipNz0tVB1Jd08etXGVP_4GgusoVzJ29BWzHmwehD,//:0,https://lh5.googleusercontent.com/p/AF1QipP_qjbK-kod9LeJi9IdKuI0axgI21GzhphQoUWr,https://lh5.googleusercontent.com/p/AF1QipPxPQDqGqldXHPz5yLBAP3SwN9bXezLErdO6dFv,https://lh5.googleusercontent.com/p/AF1QipNrpKpGstgdxT3N9Y4ciOIbF240TkiwaeGo7CmO,https://lh5.googleusercontent.com/p/AF1QipOUHQ714UW0aD_KQueipE94thRAz5mgg2_I1WO-,Cafe,Beheira,Coffee shop
Latte cafe,"البحيره / دمنهور / ارض ادمون اخر شارع جامع عطا يمين ف تاني، شمال",010 05834699,Not available,4.3,29,Beheira,https://maps.app.goo.gl/3veBBaFjaHEH2oye7,2FV3+CX Damanhour,31.043563,30.454937,https://lh5.googleusercontent.com/p/AF1QipMRXUD4Qx940oyobPkTVQTCprJQDkLdn_yf9eir,https://lh5.googleusercontent.com/p/AF1QipNFXUFS1yUbakEYZDblHwT0PDfktj0nu4Cwmo7x,//:0,https://lh5.googleusercontent.com/p/AF1QipNdDcxL8qtEV7blmXyQBVwGE0lf3V40NnD0xHeA,https://lh5.googleusercontent.com/p/AF1QipMy4SyxxRK0rOJ7hOXG77o0BSjgi2L7lPRIZBdL,//:0,https://lh5.googleusercontent.com/p/AF1QipOL_NoXtITT7JKZ0qQd0a0AaxqGijY00ugVk7yY,https://lh5.googleusercontent.com/p/AF1QipOd8WAUKFNnzbZJM2OovoaCy5KsHoDOuBxkvtvn,https://lh5.googleusercontent.com/p/AF1QipMPvXoVWp_DLMznnMWS_ST3fdQDSu-r1Psx1qR1,https://lh5.googleusercontent.com/p/AF1QipOKOlcaSdUU7pIgrfXHZ-P_vnDlFMKpYhBuvKR1,https://lh5.googleusercontent.com/p/AF1QipPrySuadLgTYkGDj_SmX-fSYZpUZ7Eid_Ciw2mz,,,,,,,,,,Cafe,Beheira,Coffee shop
Queen Cafe,"2FP4+6RP, Tor Sinaa Rd, Qortasa, Damanhour, Beheira Governorate 5841038",not available,Not available,4.0,231,Beheira,https://maps.app.goo.gl/tDAVwDYyKTw7QM2m6,not available,31.035688,30.456812,https://lh5.googleusercontent.com/p/AF1QipNmhwpiZwN_y8LggS9qaEpAS2BeifFWn1EbxXAp,https://lh5.googleusercontent.com/p/AF1QipPilsTRwZieirRmIVbM1O4JFzhRC-acO0vdpPPu,https://lh5.googleusercontent.com/p/AF1QipPeth5w54a6IJ3TNq3OhN7rrN5wl_OlWw2q9vdc,https://lh5.googleusercontent.com/p/AF1QipMXC9n6O0b5HUt7pdjB4i99WLFpRmAxVkJXF3JC,//:0,https://lh5.googleusercontent.com/p/AF1QipOPu1vLs7_TGdEGzo8gFG17E4B6Oq423kdrXxJD,https://lh5.googleusercontent.com/p/AF1QipM_5T1rYAceWExicfxZZvTPK6k80DlaKPK-xZQ8,//:0,https://lh5.googleusercontent.com/p/AF1QipOTgcCXTsG9QMJlRcXVwSMl-MxUW090qvlyz_L9,https://lh5.googleusercontent.com/p/AF1QipMXF3Dgp-BW5RSvcqE6NnFvd0IT9ODbXYAMMaEp,https://lh5.googleusercontent.com/p/AF1QipNBOfDv4p_3w4qK2M_1S-kBKSlOcm5Qiyo9zwpX,//:0,https://lh5.googleusercontent.com/p/AF1QipNs1O4r2H5YRidSY3Ov9w_UtxKILNiRZ1VvSqpX,https://lh5.googleusercontent.com/p/AF1QipPXQMSNlYnwj1CSyOWvv_njKjpYxnxr18TahoeZ,//:0,https://lh5.googleusercontent.com/p/AF1QipMQojapDwlG8Ify8RaRrcVDiJ6owVV4KOfE5tuN,https://lh5.googleusercontent.com/p/AF1QipO0IgzzFlkKZ0hH3alVpTv3eeKP9zRK8567JxOW,https://lh5.googleusercontent.com/p/AF1QipMQq2fL5dTGNZ2gDg141w3pNjH2FybcvB5g9Vo_,https://lh5.googleusercontent.com/p/AF1QipMtBnqbkDrRa2xjXVOu0OZ9DL-ps-7KTJMm2zwc,https://lh5.googleusercontent.com/p/AF1QipN394qH9WY9ACifwRVEVm4M5nYMSm-gI-CGcqRj,Cafe,Beheira,Coffee shop
