Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Sanhok Cafe,"34C4+2QC، قسم بني سويف، مركز بنى سويف،, Qism Bani Sweif, Beni Suef, Beni Suef Governorate 2721114",015 52006595,Not available,3.7,6,Beni Suef,https://maps.app.goo.gl/hNDfCtUg2N5h2xYy7,338X+CP Beni Suef,29.066063,31.099312,https://lh5.googleusercontent.com/p/AF1QipMungbynbv7MDv5hCJvC2OCxi0dbbrgAPJ6-IZA,https://lh5.googleusercontent.com/p/AF1QipNwZ583z5uNLf9VeF24SvWCZLXRt72k-1U_GEjJ,https://lh5.googleusercontent.com/p/AF1QipN_rg3JDb0pG9ySNbefmmO_dwNcc7yxZsB0__hl,,,,,,,,,,,,,,,,,,Cafe,Beni Suef,Coffee shop
ديسباسيتو بنى سويف - Despacito BNS,"بني سويف -شرق النيل -امام كليه التعليم صناعي, ️الفيوم دله بجوار بنزين الغاز وبجوار ستديو مودرن, ‎مول اب تون المنيا الجديده بجوار طاوله, المنيا 38 شارع الجمهوريه خلف البنك الاهلي متفرع من كورنيش النيل, بني سويف كورنيش النيل بجوار الرقابه الاداريه, بنى سويف - الفيوم - بنى سويف شرق النيل - المنيا - المنيا الجديدة, Beni Suef Governorate 62764",010 00206914,Not available,4.3,285,Beni Suef,https://maps.app.goo.gl/1WwKRnzryzxyPZEP6,24R6+R8 New Bani Suef,29.042063,31.110813,https://lh5.googleusercontent.com/p/AF1QipM5QE9Tg7BJgB1Udk5DpIjboH-SUSVNhr8t3BZL,https://lh5.googleusercontent.com/p/AF1QipNnQKRDD3-eNCzxScnHRzby4fqa0gNLgRq5j7Iy,https://lh5.googleusercontent.com/p/AF1QipP6X8plAB77DAfKaBm-vF-1s1Cx7giLIEsm4-UC,https://lh5.googleusercontent.com/p/AF1QipPcE_DOYJqHkGAsfPKDjHoFBVK2gXAGoo6vQJmO,//:0,https://lh5.googleusercontent.com/p/AF1QipOTcwqeePo0AiucSWZX6Mi_yii3JF8f956cV9ZS,https://lh5.googleusercontent.com/p/AF1QipNQm2e1RTbDG1LzRq9AVNVRmS2zPYWzabqUPGTg,//:0,https://lh5.googleusercontent.com/p/AF1QipMKNqx2y9OrA96-aS7iCrP0AwkMd-stKh1iZEiS,https://lh5.googleusercontent.com/p/AF1QipNSGGSSNU5jRxVqC6ifHDNofnr1mN6kIoNmkA-D,//:0,https://lh5.googleusercontent.com/p/AF1QipNLuaIlRPFF8bNZ-_WVobzYz-zVkbkU1C7RKBOH,https://lh5.googleusercontent.com/p/AF1QipOrNkJ5mE3eQPQOyfOQnSmx5SO9rc6OJd-prLt1,//:0,https://lh5.googleusercontent.com/p/AF1QipOgxYt4OjJ4Yvea8wRMQujzhxKjpa8Deexop2A0,https://lh5.googleusercontent.com/p/AF1QipPflP9EyzDBlvKNOfEk_2dBwO7rHTwpoUU218Fh,https://lh5.googleusercontent.com/p/AF1QipObnMp3mPf_6YCRw-dbS4ac_5dHJiEGu4eHj3Sj,,,,Cafe,Beni Suef,Bakery
Revera Cafe,"Unnamed Road, Bayad Al Arab,, Qism Bani Sweif, New Bani Suef, Beni Suef Governorate",not available,Not available,3.9,215,Beni Suef,https://maps.app.goo.gl/1NmwngC3FLuJuUXeA,24Q7+M6 New Bani Suef,29.039187,31.113062,https://lh5.googleusercontent.com/p/AF1QipO3vcwJ9B4jEDtG9dg4iAjC76CDporjkkuElbx9,https://lh5.googleusercontent.com/p/AF1QipNjpGx2ID6_fmrVfuFykVaayg1OfpWxpQEA70u2,https://lh5.googleusercontent.com/p/AF1QipPLRAnocMDMX9Tw2IirMrb4_Pm9H36kWjFJYuUO,https://lh5.googleusercontent.com/p/AF1QipPLYsOHl38OVKRMnn4nIwczLdZlh6PeXeRDiFGk,//:0,https://lh5.googleusercontent.com/p/AF1QipNDvWmFMGrAPeXxtqql0l5xm5-wz7cUx3ImMBmK,https://lh5.googleusercontent.com/p/AF1QipO-u4ffr2EHgDzqym8g46L0hOQXECdoIzYkhd3Q,https://lh5.googleusercontent.com/p/AF1QipM94kHqtuL7hgMemQyDwMTnBs6y1OBwnx5Cn7R7,https://lh5.googleusercontent.com/p/AF1QipNsrIRT3dM1NWnQLvi-I4FqgvCM_NyWa1jAKjKC,//:0,https://lh5.googleusercontent.com/p/AF1QipOc39CkZRWczZwN2URvQqX8vNf4gE2w-ob3CUA1,https://lh5.googleusercontent.com/p/AF1QipOcAtiP6CGT-y4U3RlAHkflFLh81yQHNm7dcV_6,https://lh5.googleusercontent.com/p/AF1QipOx2b7aYknRgdR2pgi-6aoho1F8tkMfQtspdp7r,//:0,https://lh5.googleusercontent.com/p/AF1QipMEHbRKlTfCvjdto66XyZwq16zmf07UMWK_tAXE,https://lh5.googleusercontent.com/p/AF1QipPBcleTb_S6DlA3Z3JvTSzf-xoFSUxdWWurc1Dj,//:0,https://lh5.googleusercontent.com/p/AF1QipPbxkmdSOcisb63WIiY-w0vSsbfoZOap3ca992r,https://lh5.googleusercontent.com/p/AF1QipOYUlmlVswh3mi2C4PzaEbfTH4KxFxu-W0miN6s,https://lh5.googleusercontent.com/p/AF1QipPrdV_IaU8DVrdA5sO-2ROuPvlIDmskjaDexBpC,Cafe,Beni Suef,Coffee shop
Mazag coffe,"Aziz st, Qism Bani Sweif, Beni Suef, Beni Suef Governorate 62521",010 29221839,Not available,4.3,51,Beni Suef,https://maps.app.goo.gl/9q3pzqpHax9ynE39A,34G2+MM Beni Suef,29.076687,31.101687,https://lh5.googleusercontent.com/p/AF1QipM8REOXxuPS00P0Furk5dPukIoXlTHDXi9vYGXw,https://lh5.googleusercontent.com/p/AF1QipNIompB_HASjesxBhtr-hX0rd3PPfQY_vu7BHcx,https://lh5.googleusercontent.com/p/AF1QipPlQ-iAdF3oTzWG40fI-7Gk2KGpnFHcqTVpe4_B,https://lh5.googleusercontent.com/p/AF1QipPOedYLu_9iNEWQ_BhIpSgC8VWswprbb86vQDev,https://lh5.googleusercontent.com/p/AF1QipMqKCyFgDxRjfoShN-Q4oZ0WNqWlLK7huVuGrYA,https://lh5.googleusercontent.com/p/AF1QipMy7jT2bOx7qKZUVRz5LTk-2-3NP2kp08IJqQTV,,,,,,,,,,,,,,,Cafe,Beni Suef,Cafe
Midtown cafe,"Fawzy street, Qism Bani Sweif, Beni Suef, Beni Suef Governorate 2721010",012 02119028,Not available,4.1,36,Beni Suef,https://maps.app.goo.gl/sZV2SiFyRoXk65kj8,3472+GV Beni Suef,29.063812,31.102187,https://lh5.googleusercontent.com/p/AF1QipO7gI8cYwuOj67V4UpSAbO1RFX-8pwi_w1SbuDW,https://lh5.googleusercontent.com/p/AF1QipOfdI3Yn_Orkl1YEwa74V2TPPom1bJQyciGKR3a,https://lh5.googleusercontent.com/p/AF1QipOigsK-CKz5mELjxgnrUDyY96CoMF0YpgqXYLbZ,//:0,https://lh5.googleusercontent.com/p/AF1QipNrD0x6kR5i0rnuf8eJvGv1uUrnYGM-NKm0k-p-,https://lh5.googleusercontent.com/p/AF1QipPePK_zbOMlltCjaFtTlkAWgZQZ14k4ET_gAi_W,//:0,https://lh5.googleusercontent.com/p/AF1QipNWo7r1KgsMMkO9R4X2aY9rWnqd-6gftfBrOTv-,https://lh5.googleusercontent.com/p/AF1QipME8sWZM0H9D4OmOL4LVy-bSw1tViNZyqLr4ONl,//:0,https://lh5.googleusercontent.com/p/AF1QipM_dbmAVJwQstvfvmDW1MIfJT5nO4KhPrjIW_oI,https://lh5.googleusercontent.com/p/AF1QipNI6NPIeQ4tfvsB-t8LNRZlHrigBAJwNi3cwunH,//:0,https://lh5.googleusercontent.com/p/AF1QipNxDRumOLqpiLSz4bqL78C677sK1jeqHFOIIIcY,https://lh5.googleusercontent.com/p/AF1QipMskXO-d3jJ_QC9_MZh4AWM-RMvlc9BA39MKJLy,https://lh5.googleusercontent.com/p/AF1QipP3Z0OPiGd2QMcwC-akGJ6Je1E2onSc4wzYWpZc,https://lh5.googleusercontent.com/p/AF1QipN9HORYtt0-hN8o7Cuq-tB2uMmYoJiLsYHSZn0P,,,,Cafe,Beni Suef,Cafe
ركنة كافيه,"3495+3PM, طريق الكورنيش، قسم بني سويف، بني سويف، محافظة بني سويف،،, Qism Bani Sweif, Beni Suef, Beni Suef Governorate 2721081",not available,https://www.facebook.com/Ruknuhcafebns,4.0,39,Beni Suef,https://maps.app.goo.gl/q77A3hrRbpc3nn1C7,not available,29.06375,31.10625,https://lh5.googleusercontent.com/p/AF1QipO2T_cZJ6CriMmBikDfflLgTku4_BQgIMxqyJZ_,https://lh5.googleusercontent.com/p/AF1QipNs-rlxHN3henkEkMSXUSo4iNY7hAl1_ZaoagMK,https://lh5.googleusercontent.com/p/AF1QipNIHdhOuasxmWSx_hmjRYuEP1cfnR0HaHoFRnke,https://lh5.googleusercontent.com/p/AF1QipMw8-7HiayPfyoKqsNDBDqROpXkpVxGjkT9WULk,//:0,https://lh5.googleusercontent.com/p/AF1QipMMP06DCyGlZ2QNz4yHYuQ2qdA3nK1C1UyWqALu,https://lh5.googleusercontent.com/p/AF1QipPcLkp68sAhJYLA0XJIDxIcEp1Ux0Hb38j1IZ9Y,https://lh5.googleusercontent.com/p/AF1QipO2VsIxvuboP1KYkD0_JtycoGl60fZD0jgGvOin,https://lh5.googleusercontent.com/p/AF1QipNjtfB1XOqwNfLaTekuVELhphjvo9JX6RWrFlWu,https://lh5.googleusercontent.com/p/AF1QipMFI8bAE0jemYZ3-DXJ20lEzwKJ7TmPRUX1ur7s,https://lh5.googleusercontent.com/p/AF1QipNiMYey5LQMoUHQ-3UXKR44ZkR5MpX30VMA6f1_,,,,,,,,,,Cafe,Beni Suef,Coffee shop
Camp,"34H7+H23, Unnamed Road, قسم بني سويف، بني سويف، محافظة بني سويف،, Beni Suef",not available,https://m.facebook.com/CAMP.GameZone/?tsid=0.4629849992419247&source=result,4.2,56,Beni Suef,https://maps.app.goo.gl/jm5F4t2JGGG61ZYr9,not available,29.078938,31.112563,https://lh5.googleusercontent.com/p/AF1QipPsfHGblQzgYFfzDqoSBA8Pr9s2TD5uZ45iMcJL,https://lh5.googleusercontent.com/p/AF1QipPZTGZazlTiRnCJuTAg2ukjUEqpT2BtR1irAhrs,https://lh5.googleusercontent.com/p/AF1QipNsK8TqbuF70r7ginNdkFC0pbInIvaW0rlsr3-U,//:0,https://lh5.googleusercontent.com/p/AF1QipNQmEXnsFIEKg8VMrflyNwY7ReTl5-9kxXLeFCl,https://lh5.googleusercontent.com/p/AF1QipOYUSQEJbFntLiYamquqz1C-x1z2T-LxJWMUWfS,//:0,https://lh5.googleusercontent.com/p/AF1QipOKjXgMhmiao6_0xN2YKSfvIH1gGFRmVJb-B-78,https://lh5.googleusercontent.com/p/AF1QipNs1nH0J5pJJ7mlGlF_c-s4EgDpXMq0fLLNCUJq,,,,,,,,,,,,Cafe,Beni Suef,Cafe
Antika,"كورنيش النيل, Qism Bani Sweif, Beni Suef, Beni Suef Governorate 2721484",010 50388751,Not available,4.3,33,Beni Suef,https://maps.app.goo.gl/bn5K3jfDjQGZrj7u5,34H7+J2 Beni Suef,29.079062,31.112563,https://lh5.googleusercontent.com/p/AF1QipML3_ZcW7UmibQXg4bBrHSzyRRkSQd33R3PNWKu,https://lh5.googleusercontent.com/p/AF1QipNoeTwZXT3ReLDgLfWk-WrZg8MWCB9-_5rZ9W62,https://lh5.googleusercontent.com/p/AF1QipNPygLCrV3i0Ao6GCKmD59OgokkmF5dHoFDCYcR,https://lh5.googleusercontent.com/p/AF1QipNTbe5kNCWWib4dGnozn12K-nQeuaR-jc3xgPEB,https://lh5.googleusercontent.com/p/AF1QipOTGaPyD7Fa5LTIFBONJwFFRmxnyI91eEGwFaj7,//:0,https://lh5.googleusercontent.com/p/AF1QipMU7On2JqqWwmwvtW5fkE_Lpg0J9B2He22Bi2br,https://lh5.googleusercontent.com/p/AF1QipOiTC4p3lVr_hNt9z1v9g2FGBEXzH4K0QkLt_ZU,https://lh5.googleusercontent.com/p/AF1QipMQL3MfnxjGSm4hZpwj6Pr-pES6DFWjhRkQpt_t,//:0,https://lh5.googleusercontent.com/p/AF1QipNL3xQOJpslehgAok0G50QPAapmbZ4IYtAj5Qxy,https://lh5.googleusercontent.com/p/AF1QipMsy_u5CYuMQvFxl6TWLJfYf7GjTUdGxpvdHsyW,https://lh5.googleusercontent.com/p/AF1QipPXqc4VkYaeNXzp_dCvSTBSKL4mV9F1bulZRJOp,//:0,https://lh5.googleusercontent.com/p/AF1QipO0SvC1wl8FvSMuiXFa7xuf2417Quuc8dTobA4m,https://lh5.googleusercontent.com/p/AF1QipM90CyghG8INIZIVgMUOS6EapwfqpMEncelbxmR,https://lh5.googleusercontent.com/p/AF1QipNh5Ee0UwUou8uiSWecF4fjIHqn4V7-d14n36zu,https://lh5.googleusercontent.com/p/AF1QipMH2oyIyHQYgwShBQ0tjZlefR9aP1ve5AkD35eK,https://lh5.googleusercontent.com/p/AF1QipMaOJ_I4NTmPpF64QbHU_oQT_v_v3f1EvfjqmfM,,Cafe,Beni Suef,Cafe
كافيه BON,"3496+V5G, Unnamed Road, Qism Bani Sweif, Beni Suef, Beni Suef Governorate",not available,Not available,3.9,14,Beni Suef,https://maps.app.goo.gl/5Bbk5Lbwno5usFTq6,not available,29.069688,31.110437,https://lh5.googleusercontent.com/p/AF1QipOQnTcMLNGPdkCxvbdpaPazh3ac25msaHpN2lGw,https://lh5.googleusercontent.com/p/AF1QipO0m2n-MmBB7ohpu1K44n3yuoTVlu3c2g1d1hiI,,,,,,,,,,,,,,,,,,,Cafe,Beni Suef,Cafe
PIPE SHOP EGYPT,"339X+V9M, بنى سويف،, Beni Suef, Beni Suef Governorate",015 01890572,Not available,5.0,4,Beni Suef,https://maps.app.goo.gl/toB7kkEaQmXhu11C7,not available,29.069688,31.098438,https://lh5.googleusercontent.com/p/AF1QipM1TrsL75nh_3QMiGRk7Cq5di6DFK6_nGbUqq-6,https://lh5.googleusercontent.com/p/AF1QipO_Paf0l7dOJZndz3ARRHOT_4h-ezkl6udND4DS,https://lh5.googleusercontent.com/p/AF1QipOo55f3v9Bj3CUOy7rbOEdt8E-OeV86t6uV4lK2,https://lh5.googleusercontent.com/p/AF1QipNzWQOAragZ-LRjtXCGqQRP2HFDxb0-bY23g-T0,//:0,https://lh5.googleusercontent.com/p/AF1QipOnLia6tsFIkZ2ebh0RKsPysjetQGta4iw8xnkj,https://lh5.googleusercontent.com/p/AF1QipPgNRtGlpn2nz6nLiyhT5E5_mOJ2Rre4TtaOmhA,//:0,https://lh5.googleusercontent.com/p/AF1QipOZtXSKl-3_jnVVGYCKU7NFupQvUNIqUsOaghfM,https://lh5.googleusercontent.com/p/AF1QipOWpqXe8cu5UIoP2fJ_T8-GHcDH5ScpQuoG1KZR,https://lh5.googleusercontent.com/p/AF1QipMXTqZLhZZ1i60Gojk0oLGXio8YrscHTSxCoN2p,https://lh5.googleusercontent.com/p/AF1QipMek9GLqSlwzGWUrsvHt0kX5dOWI6GcO1a34Dt7,,,,,,,,,Cafe,Beni Suef,Coffee shop
