Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Cafe Corniche,"Corniche El Nil, Semiramis InterContinental Cairo Cairo القاهرة، 11511",02 27988000,ihg.com,4.3,264,Cairo,https://maps.app.goo.gl/ERDFf8mbpULPQAqL7,26VJ+3P Qasr El Nil,30.042687,31.231813,https://lh5.googleusercontent.com/p/AF1QipMcvhNcuA7UGar4E-x_VI7HvH7e15nar9SgjQfQ,https://lh5.googleusercontent.com/p/AF1QipPZPLMelks7s5IScsNf2xb8daa8t_fAJzWd-nvS,https://lh5.googleusercontent.com/p/AF1QipN08VF5J24r7M-dm7BgIo7uvAa9KiubGYqrKKnw,//:0,https://lh5.googleusercontent.com/p/AF1QipMNuJQ9ztNYHZ5d1GVc9NrbTrzfD5_XG-3SIyL1,https://lh5.googleusercontent.com/p/AF1QipPes51a_ria0dZo5e4A3D0oKGErgJpzpqsFCDLX,https://lh5.googleusercontent.com/p/AF1QipPHnnp9bYXh-qWo5T7q4zll2ER4_lh-EtEXWl7f,https://lh5.googleusercontent.com/p/AF1QipOmIUoqKm8vL2k5m3KAUIs78dIsDxZV5glEQUQe,//:0,https://lh5.googleusercontent.com/p/AF1QipPODRTbpJ_6oVP_OAAp4YNgMivjZ3n1LniZSZ94,https://lh5.googleusercontent.com/p/AF1QipNigxCmw4Exsn79fYUleZOIf_bXf91TErWvADrE,https://lh5.googleusercontent.com/p/AF1QipNhPNf1L6vLt--c0pLGEmGSVVh6gePzyJH8NG93,//:0,https://lh5.googleusercontent.com/p/AF1QipPtnAd2io1qx_Gp1_jy8oGPQFmNYJk092bjqisP,https://lh5.googleusercontent.com/p/AF1QipNNyYXFKhmihlbW_pTb1Szkx2NiuiMgTpHf479x,//:0,https://lh5.googleusercontent.com/p/AF1QipPTaenjavdJhXbhCLr9BE0FLIepqKf18QUshFfu,https://lh5.googleusercontent.com/p/AF1QipP31Vll-ozRnlrQwKdBBRmVKf82ZDF3Lnlng_Lk,https://lh5.googleusercontent.com/p/AF1QipM-acw7revemQC0Q6u3PZl_Py-Pnlr389BA0eOM,https://lh5.googleusercontent.com/p/AF1QipPcIlHX6pMBXxAWO9HeGMJGJOgpkB-fPz5TtVMV,Cafe,Cairo,Cafe
The Jungle café,"7 شارع عماد الدين، عرابي، الأزبكية، محافظة القاهرة‬، Egypt, Cairo Governorate",011 19884447,Not available,4.4,547,Cairo,https://maps.app.goo.gl/F7g95HegMd1tUWsM8,363V+PQ Al Azbakeya,30.054313,31.244438,https://lh5.googleusercontent.com/p/AF1QipMJsTYKJTXZ5HqffmUOJsSP_3vygLNMIlipZaxv,https://lh5.googleusercontent.com/p/AF1QipPL0-CcEzqy3AjOOvf3C7tDO00IyDYexooQmlz4,https://lh5.googleusercontent.com/p/AF1QipOo1KFDs2Rk3SOU1aUrlBF9Fh0bmCidQsE7qrJ_,//:0,https://lh5.googleusercontent.com/p/AF1QipNjsaUCyLMEW4WRPzwGrgONlCURZK1bmutCGmBT,https://lh5.googleusercontent.com/p/AF1QipNxxOrw4ZnOhGKY98bsoHfTMiI3OfyXUnUnqpyk,https://lh5.googleusercontent.com/p/AF1QipOmE2vK9pXy6PIFLJCP5bMEyPxFUyDgtVg-mWrL,//:0,https://lh5.googleusercontent.com/p/AF1QipMzMhrH9xviqZrS_JrPzmm6cw5u319xiq4h7oa2,https://lh5.googleusercontent.com/p/AF1QipMPZA4D6kkxcYmmFujQOrcPjVIk30sYw3FW39S3,//:0,https://lh5.googleusercontent.com/p/AF1QipNG6W2ybOG7Zr4SySJFGXd_zsYq-_50yBvBDdtv,https://lh5.googleusercontent.com/p/AF1QipPA_jS8UNOL8JhK7kBJorsvoV53OpSutSsz3TpT,//:0,https://lh5.googleusercontent.com/p/AF1QipNB7udi44r1qKwoDVMpHAl8NCNFNPPXf1buNIWo,https://lh5.googleusercontent.com/p/AF1QipOaccJ7J55vOMqgXLeSulnlQXEQI805lxtM6Gno,,https://lh5.googleusercontent.com/p/AF1QipNT4CDSVOov0kHyT0Sifo5irHdxIYtpA65oRE59,https://lh5.googleusercontent.com/p/AF1QipNBQFMNm8MBua2VpvsjSki4FTdGp18hGRaLta-w,https://lh5.googleusercontent.com/p/AF1QipNpZalq1SJnv2-AW8UY8iHidovkaggEUqk-1Pzo,Cafe,Cairo,Coffee shop
Pottery Cafe,"Om Kolthoum Tower Hotel، 5 Abou El Feda, Zamalek",02 27357974,Not available,4.0,"3,048",Cairo,https://maps.app.goo.gl/CaWwkWiKEBKJCMML6,3678+Q9 Zamalek,30.064437,31.215938,https://lh5.googleusercontent.com/p/AF1QipOHtMyenPcyhc17IX6Di0nG4uuI2aDugKOBRq3s,https://lh5.googleusercontent.com/p/AF1QipPZUbGZnO-ckfpO8dLVTd5RMmEiBBkx5ZGMk17x,https://lh5.googleusercontent.com/p/AF1QipNy5Bs9eCQDFNFYVUtNgY3YXXzfj_8gGR71Iput,//:0,https://lh5.googleusercontent.com/p/AF1QipMvp1EZ6loTZJuaISmRLnhWCXjc7z9hpdTU0Fe2,https://lh5.googleusercontent.com/p/AF1QipO21juhipPHQ-L4H1t02JCdrqMTWj-Gt9ypPNI4,//:0,https://lh5.googleusercontent.com/p/AF1QipNpU7TftIgsmQoJ6tS5pOfqHkjzu3BxDv0m07G2,https://lh5.googleusercontent.com/p/AF1QipPNQssGpNzCzXV31SDcY8hiHI7vJeZ5H84crjIh,//:0,https://lh5.googleusercontent.com/p/AF1QipP8kpHU7K0ralY9EIlTBammD2MzFwXUns0ijC8,https://lh5.googleusercontent.com/p/AF1QipMsi-xG2fxiz9ImUT76h19k2yNe6pLPhJDgmV04,//:0,https://lh5.googleusercontent.com/p/AF1QipM9veXW88El483IjV9qvcmYykXBgXIVaGddRtxk,https://lh5.googleusercontent.com/p/AF1QipNNrYraOVlZI29-CVtOb5UeJwJ9a2bmfYRxyLUr,//:0,https://lh5.googleusercontent.com/p/AF1QipOnqA4TUqOiCXWcY21h7wsCF1N3_ikqcIMFOwhE,https://lh5.googleusercontent.com/p/AF1QipM3sMGviEl4OzHj1x48wCTaVpQpL3PnfUjEsyM,https://lh5.googleusercontent.com/p/AF1QipOtw2sOcvkJ-XQQQDjAfbKlgczh2nK8inhLmU9z,https://lh5.googleusercontent.com/p/AF1QipPzK5_wXxwKdhMs1BZHM7t_ZUjec82Rr9TvAGby,Cafe,Cairo,Cafe
Khan El Khalili Restaurant et Naguib Mahfouz Coffee Shop,"5 ش Sekat Al Badstan, خان الخليلى، El Gamaliya, Cairo Governorate 4331310",02 25903788,w.facebook.com,4.3,"3,964",Cairo,https://maps.app.goo.gl/W9qprN1UGWuT1Nv36,27X6+6J El Gamaliya,30.048063,31.261563,https://lh5.googleusercontent.com/p/AF1QipNZk8rg32FvorMRSSWjM9PY7S3S2X9n8H5wQ2Mv,https://lh5.googleusercontent.com/p/AF1QipOgRhKilDWfdbS1kiiqVVU82K_v8jUxK6TIWF3t,https://lh5.googleusercontent.com/p/AF1QipPy20mnJ9ZyMu51sHmdhNpMp1YU980UwShs4jTA,https://lh5.googleusercontent.com/p/AF1QipOC4kxgwtqB9iD-Gp__1y3-rEiM0I4Fnq_s1C6w,https://lh5.googleusercontent.com/p/AF1QipP_TyfuPENDMQs8cSfKw1G0z2pHFXQkIRnQ8cds,//:0,https://lh5.googleusercontent.com/p/AF1QipO_Giu_IGU8qrkOauWXyi4phMDDNW_uspNRy0tu,https://lh5.googleusercontent.com/p/AF1QipOLh8_617SQCT1WI2cB9FR-r4Cus3drS4zEm_sP,//:0,https://lh5.googleusercontent.com/p/AF1QipMtQO7iZPRRc_fCgQMlcYdt5HUeGaqToeP2PraQ,https://lh5.googleusercontent.com/p/AF1QipP5tfFEEQxC5ZwEgErbYfZGLv7T2OPC5cDR1hU2,https://lh5.googleusercontent.com/p/AF1QipMoYpHgQeIsRQBFM5M8Yb9zS8tKtAXcLNDH3boK,//:0,https://lh5.googleusercontent.com/p/AF1QipMPAYe7zSc3OjdteIBitoKXOO_iGZzTc_Sxwr9C,https://lh5.googleusercontent.com/p/AF1QipMMPFVbHmsh_JExhYgLc3G8Qb4ssKAbPHGsRJrd,//:0,https://lh5.googleusercontent.com/p/AF1QipNWQ-py57VBCZ8TmexK6lsPSiaGlZTKxuKy0Ejn,https://lh5.googleusercontent.com/p/AF1QipMnkSSPccbU5Rt4oW2cNeKtTt-WWlOQCxAG7k6_,https://lh5.googleusercontent.com/p/AF1QipP1PUU4HrSl09jT4hdi03aX8tMEBbnPq30c8GR1,https://lh5.googleusercontent.com/p/AF1QipPVo-k1PGaH_YFGCV8n61xE0157ZpJklTtgv2ZQ,Cafe,Cairo,Cafe
Osten Coffee Bar,"23 Hassan Assem, St, Zamalek, Cairo Governorate 11724",011 49069993,osten-coffee-bar.business.site,4.5,177,Cairo,https://maps.app.goo.gl/uoRgZeipxqCFEWFw9,366C+JR Zamalek,30.061563,31.222062,https://lh5.googleusercontent.com/p/AF1QipPHuCc0sNPEVleVqXpYN7D57pxahuKrr13Lfn7J,https://lh5.googleusercontent.com/p/AF1QipOSNnr3p6jAWkAyh4rou46wcNiTQIahmGeOpMGj,https://lh5.googleusercontent.com/p/AF1QipMOJftbkukqLVNcttKt7LAS9QzxBhbdOF6wmAI0,//:0,https://lh5.googleusercontent.com/p/AF1QipOilEgjFiPWbfXK3n8wrl2-hwNmIYCG7cOaoDLx,https://lh5.googleusercontent.com/p/AF1QipPPHeSIo_7fD5QgY5fbCLnwWqaeX06LcEEuTHWv,//:0,https://lh5.googleusercontent.com/p/AF1QipPtfFEhPh3R-SItb4pni-73HZi8SUYsmZ_YfhON,https://lh5.googleusercontent.com/p/AF1QipMT1XNL_UzvOuiDYc1LOkAnRmBgrKjbfQd9HLTe,//:0,https://lh5.googleusercontent.com/p/AF1QipMU3XCHhHjZ1eX01MZSZIAQ6-kwuzBHf7wjnpYv,https://lh5.googleusercontent.com/p/AF1QipMMLjkSAcQ6g19-6FsvtVOZXTPEpEgVa-SuKvmk,//:0,https://lh5.googleusercontent.com/p/AF1QipMqBJXmUU2JPpItGmFedUoLZIMKQ_oEuLBpObcB,https://lh5.googleusercontent.com/p/AF1QipORBACGUaqeQHJsy2Lt3bfxgJabxEAZFANnCuYW,//:0,https://lh5.googleusercontent.com/p/AF1QipN8juFiT2XYieLt51TbtBOvF1q7sbaMQIz6XRI_,https://lh5.googleusercontent.com/p/AF1QipPlQzKLf7D3ZCEHwdO-AHsCdTmCoFAXfbgW0Am0,https://lh5.googleusercontent.com/p/AF1QipPlddzYOJbYf3HAZ5K_bjDmojEsFYaAHGUgnQT-,https://lh5.googleusercontent.com/p/AF1QipPxZDqt-E2PevdaejJoBZO-rBLnX7qKFBkrVMdO,Cafe,Cairo,Coffee shop
Café Greco,"64 Rd 9, Maadi Al Khabiri Ash Sharqeyah, Maadi, Cairo Governorate 4212011",02 23809326,https://www.facebook.com/Cafe-Greco-184582971646024/,4.5,"1,599",Cairo,https://maps.app.goo.gl/gcN3YcdruqJQraAe7,X746+7H Maadi,29.955687,31.261437,https://lh5.googleusercontent.com/p/AF1QipNHPPtJIdobtuSd-AA7UMsR16UM2HYITRBgoANp,https://lh5.googleusercontent.com/p/AF1QipNR_z-zcnVWjld0G9PaXt3ulQxj-qTihTxPxPzI,https://lh5.googleusercontent.com/p/AF1QipORqdDpMUBOsHP7S4WnsHkDAkOWYwGZYeRJRiWn,//:0,https://lh5.googleusercontent.com/p/AF1QipP_8TpOTrNJMWCe4pyVtxJRg3rqol3dmwVwt5N5,https://lh5.googleusercontent.com/p/AF1QipOqdcA49M13HGOooRnMd5lliPsv8-mPrdzBO3jg,https://lh5.googleusercontent.com/p/AF1QipOdrqA8ydIK-b7h91wDSUIliNToG-pJOsDF9H8C,//:0,https://lh5.googleusercontent.com/p/AF1QipO51HluagF8of73X_-rEKe3fcKpjaRWo7OHgWyN,https://lh5.googleusercontent.com/p/AF1QipN2j9zf_CHgWXiOb3aF_1xuCDMsL12adSppECRz,//:0,https://lh5.googleusercontent.com/p/AF1QipOQC3jFHuWi5pgg_9GEuXmDf3yj1hhIVX-RA0Zr,https://lh5.googleusercontent.com/p/AF1QipOtGLNMHYj9_I10ip4qoh6kVxvoJkpe7N-4ugT5,https://lh5.googleusercontent.com/p/AF1QipMBX1HNurinox5IIoB4tZvg5pRFsUXnNkb1nCtD,//:0,https://lh5.googleusercontent.com/p/AF1QipMpuxYTHMwsvtAXDxhcAHfiy5pAzP_gBl4KYbLZ,https://lh5.googleusercontent.com/p/AF1QipN-1MSU-OnJPOcnXQU1Bd2O9c2OVW9V0upX4Cza,https://lh5.googleusercontent.com/p/AF1QipPO9JPR5zlfVFBviyiG-_v7dynnq0ZOPeVeZMH1,https://lh5.googleusercontent.com/p/AF1QipNyyBuuU92fg0I-v2UuWYGcsb0Rhwq6_-SQyGMx,https://lh5.googleusercontent.com/p/AF1QipPhuhDZMitc-J-QPvIuWxK4JlHApdzZD21AJl0T,Cafe,Cairo,Cafe
Beano's,"49 شارع محمد محمود، تقاطع, Al Falki",02 27948807,beanoscafe.com,4.2,"2,327",Cairo,https://maps.app.goo.gl/rhGSpJdu7giXWSae8,26VQ+8P Abdeen,30.043312,31.239312,https://lh5.googleusercontent.com/p/AF1QipOjvYqXBGnWAitFrqll1NemLO4Nd8Gc63JasOU,https://lh5.googleusercontent.com/p/AF1QipPoPRrYRJ8wNywiQjNIllTVrJOaRSf8Makn1PKZ,https://lh5.googleusercontent.com/p/AF1QipMMtTKJp4nrqkjQyQiyGXF7Mnzo6OBTov6kXWDg,https://lh5.googleusercontent.com/p/AF1QipNbFZEiYa_CQ_PCSzQFFC_xvsggrlw3z_yEr_2n,https://lh5.googleusercontent.com/p/AF1QipMfy1qqZDLjxDfHpwfYp-KOenaDeSLy28KrWwHl,//:0,https://lh5.googleusercontent.com/p/AF1QipPkn5WWvLrBac7xBmfu4c8zpIaq6YzO_ZZy7eZX,https://lh5.googleusercontent.com/p/AF1QipMf86LAecGDWcov4gqRKkB5a3DtEiYPsBWv388L,//:0,https://lh5.googleusercontent.com/p/AF1QipMwfbBDDyhfpsWQ-OFux4ZPaqph8cIGA5KqzMeK,https://lh5.googleusercontent.com/p/AF1QipOreU-YAgS2FgXbdMYnqJh0-OaFAQubEroQgUQ3,//:0,https://lh5.googleusercontent.com/p/AF1QipOnnV2D9oUpuFtYhEUoSjt4kuk4ohkuoTa7ZCE,https://lh5.googleusercontent.com/p/AF1QipPmwjm6PBCP165Q1Ig8SOqi4EDgSrGaxtduhKc2,//:0,https://lh5.googleusercontent.com/p/AF1QipO5mIcAcEwyTVsCPxrTdlJ_sxmBKqU6_ufT4CXr,https://lh5.googleusercontent.com/p/AF1QipM1ZIbK2_rn6YTKxK5hXEz_75PzD-6nd2UfriA5,https://lh5.googleusercontent.com/p/AF1QipMBZEZksCY-kJN1Ke3CE0ZwQzlWoJAjbPNyOj4D,https://lh5.googleusercontent.com/p/AF1QipPCeVm3oXeQOzXxrO3PF_ZN1wcmtUAPinP4zdmi,https://lh5.googleusercontent.com/p/AF1QipMpiEq1I1BaSNd9x38cP4Qo30IqNKCVDAN1zngx,Cafe,Cairo,Coffee shop
Holm Cafe,"14 الشيخ المرصفي، عمر الخيام، الزمالك،, Omar Al Khayam, Zamalek, Cairo Governorate",010 21100462,holmcafe.com,4.6,"1,749",Cairo,https://maps.app.goo.gl/qW8YQBGs4E9MSDj18,364F+H3 Zamalek,30.056438,31.222687,https://lh5.googleusercontent.com/p/AF1QipNextvsOI7CzNWTbyMgQgcA_1NW5XV3vYbLMNF0,https://lh5.googleusercontent.com/p/AF1QipO17QhfDHVXRdNH6XqXcXJn8m9R19l8zqMnN5Qa,https://lh5.googleusercontent.com/p/AF1QipPj-xVGWVWj3Zz-jdgRuaimdH00mExQP5wxmGdu,//:0,https://lh5.googleusercontent.com/p/AF1QipNNa3VidHV-3l2wYjVM16G83eiJ51gl9uRa5Tww,https://lh5.googleusercontent.com/p/AF1QipNaX12BM8x1wqiOJm-H01Me-7_-yxkMvx-u5Y4l,//:0,https://lh5.googleusercontent.com/p/AF1QipOEjjDtnD5x6lFwc6PW6Mt2eOBqg2U35s254b4,https://lh5.googleusercontent.com/p/AF1QipPD-KtPZx6bePlfxI63acPRTXVO5Fxmq9FeKSgM,//:0,https://lh5.googleusercontent.com/p/AF1QipOT1AJZjZhRhVKF3Q4SOpoFuG_Zq-tl08B0_CDs,https://lh5.googleusercontent.com/p/AF1QipPBp3vcOw6dfbvnqvxsWnaZUUVllU7u9hKHOkX2,//:0,https://lh5.googleusercontent.com/p/AF1QipN3uUsXdCRoMh70IzU_tVY4moYK2Q10I-0GV-om,https://lh5.googleusercontent.com/p/AF1QipO_QDYOKH8kCZFHvtH7Z1sDI8VYDir7nTeLOUys,//:0,https://lh5.googleusercontent.com/p/AF1QipMoqm63zHf2o0EuJTf-j1H80ypdwiJ63uyce7b0,https://lh5.googleusercontent.com/p/AF1QipPDRPcRjmNiDaEJDBEETAc4GrlMCIqqXKSR5wnN,https://lh5.googleusercontent.com/p/AF1QipMiXCr6cIzrpcqaquLpVoP_g9Q0y3QnZmLQTHA7,https://lh5.googleusercontent.com/p/AF1QipM5jDtM4lQKYMeNvj3gCjurOOEaEr6v9PB1SDeA,Cafe,Cairo,Cafe
Oldish ( Restaurant & Cafe ),"خلف الجريك كامبس، 20 Mohammed Mahmoud, Abdeen, Cairo Governorate",010 60119488,https://www.facebook.com/oldisheg/,4.2,"5,585",Cairo,https://maps.app.goo.gl/JpL3qTaNFBTXxLxUA,,30.225187,31.460563,https://lh5.googleusercontent.com/p/AF1QipOpwQUJMXoNmlmm0y_rTN1Ok8l6mLvwVLebW5ez,https://lh5.googleusercontent.com/p/AF1QipPHKXMOB-7mN8AtggtTLcq8ZwJB2DdZMzoAAHVs,https://lh5.googleusercontent.com/p/AF1QipN2s-CSXge9LgyZsVcMhksfP73ZqRSS5fA6GQgo,https://lh5.googleusercontent.com/p/AF1QipMjuy470GFZCKAXSUIOa2ND3POEbRzxYTe_S3Md,//:0,https://lh5.googleusercontent.com/p/AF1QipOxJBSjVChZxh5r7O8qBUa25ihEQSccVTQrgPTi,https://lh5.googleusercontent.com/p/AF1QipNpW2uJosYT5-lYiDh-TiTeEYPHi7NcF6cy52nT,https://lh5.googleusercontent.com/p/AF1QipOponlB-gTfQ_wgjHGc4ySZ4cCH-r090P6PHxSX,//:0,https://lh5.googleusercontent.com/p/AF1QipMHva3Kcbat60fHR0HmYxURWuDsB4ZL6DIyGcmH,https://lh5.googleusercontent.com/p/AF1QipNJaHvTtPiXooKc91n8EA9Bd4OgAYvjF5Td_9_J,//:0,https://lh5.googleusercontent.com/p/AF1QipMZJLgp5TkwER6BNDf-IJUUsqJRzpWlFrCZzXk5,https://lh5.googleusercontent.com/p/AF1QipOGGkgG0lrSnyuGr2pfWDzdrXyJvLFuGmIke9fP,//:0,https://lh5.googleusercontent.com/p/AF1QipOzqWBMj4gWtlea3L3PWmXnbx9lelGY9RGQLXSk,https://lh5.googleusercontent.com/p/AF1QipNMwTYjmZGqGxcW8UJ1TLC_CACEF4hRaeVSZH_x,https://lh5.googleusercontent.com/p/AF1QipNdNJWF1osKDc_rrALd7lba0w1ic9_1PKaIzK9c,https://lh5.googleusercontent.com/p/AF1QipNcO-RwPTdXjxCBprRbPKPFrRMKg5jybWORak4i,https://lh5.googleusercontent.com/p/AF1QipP8B5jWGi7jy9BVnIDn9UeXwqMc60MYgazHTeIf,Cafe,Cairo,Restaurant
Beano's Cafe,"8 Al Sheikh Al Marsafi, St، Zamalek, Cairo Governorate 12654",02 33001887,beanoscafe.com,4.5,"1,987",Cairo,https://maps.app.goo.gl/nDSKrGhogb2KxXQ79,364F+X4 Zamalek,30.057437,31.222812,https://lh5.googleusercontent.com/p/AF1QipNT2kEILzrKXXxGnxAZrtm0JTw3OgKzqdF8u387,https://lh5.googleusercontent.com/p/AF1QipNBZ2e5G1JWUIkqU8tu39hYR-Y94bIuiVStEIP8,https://lh5.googleusercontent.com/p/AF1QipPc9hc9bCKrc6vBOykGg-80cL_OglbKpheBBb0R,https://lh5.googleusercontent.com/p/AF1QipPUYNwqFwtH0QHoBJwzUrFDMf6FyJkcAhLjURUE,//:0,https://lh5.googleusercontent.com/p/AF1QipNI7zZ6Yr7wQoaYRmYYkQJ5zrkUYzkl-hxRTU4P,https://lh5.googleusercontent.com/p/AF1QipN9dtnR5LmtEpUD_v6qcK5tjgrDw_p0ZUAnWNHT,https://lh5.googleusercontent.com/p/AF1QipOJPUEUizwbHg4G5HGvcAB8VZV4CBxQUWt-II8l,//:0,https://lh5.googleusercontent.com/p/AF1QipOdgHl296xSHgVb5Crd6T0HbvFjEyePUwX1ACk,https://lh5.googleusercontent.com/p/AF1QipPotF4pcSPwBVEdzEsjNVPpHhzPeI10Ld3yDMIx,https://lh5.googleusercontent.com/p/AF1QipNT6_dzUVX-b-niZlkErm-SUUeSwTojmdCSti-V,//:0,https://lh5.googleusercontent.com/p/AF1QipNC_9_Cx7FIxJhLo3J4iJsk2r1M1kegN3OJRJrl,https://lh5.googleusercontent.com/p/AF1QipO7g_Ma0h_QO_KdwM3AiV7NK7ObPyVIirl6p1oe,//:0,https://lh5.googleusercontent.com/p/AF1QipMoW1Am1Dkuo1k2iqPQszYLjExjNM_QgQbPxwyX,https://lh5.googleusercontent.com/p/AF1QipNAVEg1ngedeeL-2XBIA14y2YPqrDEkBW1JNv8K,https://lh5.googleusercontent.com/p/AF1QipNjIcw8xbmIiIM00KXT1uQsaZqVluuRRbU7E_N8,https://lh5.googleusercontent.com/p/AF1QipONJl7HvQSXBYxlYRx_hdOx5syXh6n21otmT99n,Cafe,Cairo,Coffee shop
