Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Boulevard cafe,"Elmashaya, El Mansoura 1, Dakahlia Governorate 35511",29W2+4Q El Mansoura 1,Not available,4.4,290,Dakahlia,https://maps.app.goo.gl/hFW9WJCutLmCZLWE7,29W2+4Q El Mansoura 1,31.045313,31.351937,https://lh5.googleusercontent.com/p/AF1QipNOEw8zMcGVfdvy2f_nBGOA8an24xOM7TflJTZh,https://lh5.googleusercontent.com/p/AF1QipOSV3XgTeIO2yJMJaE_LCO9WLqOokn4sGiZMTUx,//:0,https://lh5.googleusercontent.com/p/AF1QipOEd5tuDJf_AD_NY7ByDWMZuZ_Pidt1dmVUUoO2,https://lh5.googleusercontent.com/p/AF1QipMoVOvKvjIpx47gU8LD5hXODClPtPtoY0lx_-Bx,,//:0,https://lh5.googleusercontent.com/p/AF1QipP4UoVRB1IQciDbWm0972WuoH4lCHgMpEjbazOE,https://lh5.googleusercontent.com/p/AF1QipPSddh9tptkOw89pk35GQdaOY4q_OlrXJ82IZ5h,//:0,https://lh5.googleusercontent.com/p/AF1QipNjsY3ymoC-nBKJkYxQAIFM4f8cKXCkuahfRiiH,https://lh5.googleusercontent.com/p/AF1QipPQ8YLbSBH0efatBqb1m9MlQEF3DUdBjErcTB8m,//:0,https://lh5.googleusercontent.com/p/AF1QipP4YWCHp9XJTORW5thOICM70YOAC_L-51iMwr0o,https://lh5.googleusercontent.com/p/AF1QipNqvseffBXvsEHWgjc1o45u-f75Tj3VTxSvxPZc,//:0,https://lh5.googleusercontent.com/p/AF1QipMr5alsA1LJ27y_rtCfpPkUzQUVF_79MOdStioG,https://lh5.googleusercontent.com/p/AF1QipMOBq-xq2PJIfU9NwkFO-q1SMzCcLPa2UidOBd9,https://lh5.googleusercontent.com/p/AF1QipOOejZJURunOEKEaDVMc6Fs3rU0xDP_N3OkFBdF,https://lh5.googleusercontent.com/p/AF1QipOqRC77C4sV4FR8FwDhmCtbwEr5GGU31d4I1vo1,Cafe,Dakahlia,Cafe
Vip cafe,"Damas - Al Mansoura, Mit Fadalah, Aga, Dakahlia Governorate 7534301",010 07747257,Not available,4.7,22,Dakahlia,https://maps.app.goo.gl/sRPne8Vwy9MmjrpV6,V859+J8 Aga,30.859063,31.318312,https://lh5.googleusercontent.com/p/AF1QipPBrWheS_88jOnRqmDZgUUq5mjz1jPK7W-58NZ2,https://lh5.googleusercontent.com/p/AF1QipNrmmJJgsba9GGsVzajitoN5YvBoAdk-4eHv7cT,https://lh5.googleusercontent.com/p/AF1QipPcWftMW7UqWJnwnHQuEzl2oe1Am31pJ9C38B9G,//:0,https://lh5.googleusercontent.com/p/AF1QipPGZVTmrmTq7G728a263fwjtSPn_C8CvRvLfb5I,https://lh5.googleusercontent.com/p/AF1QipOfH2NiKtyCqTJajhalMHXRY5fzlikrrk7TI39L,//:0,https://lh5.googleusercontent.com/p/AF1QipPAJUymYKbei8a5bT38GsrSvqg4FYiAH7R1pbLz,https://lh5.googleusercontent.com/p/AF1QipPtVCM2_2nsVT-xXpfhCjblTUJcfzJyAlZ2mjuN,https://lh5.googleusercontent.com/p/AF1QipP_FlI9BscMLzwPOExF5CNq3LhploIQ6XrFSAVc,https://lh5.googleusercontent.com/p/AF1QipOm1OepYI8uxVgX6wZ_yMrvQnQiYBQSD0nyGIQ6,https://lh5.googleusercontent.com/p/AF1QipPP-JGT_n-APesZcJoGW01-eZD90qvP9DmEb8TY,,,,,,,,,Cafe,Dakahlia,Cafe
VERT CAFE,"Al Mashayah Al Sofleya St, Mit Khamis WA Kafr Al Mougi, El Mansoura, Dakahlia Governorate 7650043",011 11697169,https://m.facebook.com/Vert-Cafe-102553962104093/?ref=pages_you_manage,4.3,50,Dakahlia,https://maps.app.goo.gl/5fugzV3k5u15iZtz6,29W7+98 El Mansoura,31.045938,31.363312,https://lh5.googleusercontent.com/p/AF1QipOup2zh67nDhCkJo9YgjHsT1fyCdzutBJJpOEqo,https://lh5.googleusercontent.com/p/AF1QipMbAkJc27aB9qfyRpttj_v08o14HVyHcPFOhg4V,https://lh5.googleusercontent.com/p/AF1QipN_3b9qOuD_C228At1fO6CNnjmYRd6UYMj_caqC,//:0,https://lh5.googleusercontent.com/p/AF1QipNytwmxBaxJbhpdZFx9MfNytBDp0ww-XzQ9tzyl,https://lh5.googleusercontent.com/p/AF1QipNFcoguzIKlx7c4v5aBtbaPqGciGlArphfE00fn,//:0,https://lh5.googleusercontent.com/p/AF1QipOx04oXlVHFjw93tLm5XY3wZRqv36HnFtwzOw2I,https://lh5.googleusercontent.com/p/AF1QipMHZJuzRzT8XyBsAW_Q8X8mcwomDEPQ8oUMyUIg,https://lh5.googleusercontent.com/p/AF1QipMRdvYDOtIVpNqhoSlzPwFMd36VhNvMUDNjxkAB,//:0,https://lh5.googleusercontent.com/p/AF1QipNwArVC49sLvvg_Ov4p33iE5ZBTH2wWn8xScBAF,https://lh5.googleusercontent.com/p/AF1QipPd6OdVobJbHzCW3WvCPryx_vYFWk7RDyFgtcwN,https://lh5.googleusercontent.com/p/AF1QipNLktg51LYJ-x6XJqsbJ8A5NK2U2-dURe4iOlAz,//:0,https://lh5.googleusercontent.com/p/AF1QipOgDci_UoHnWyM6-Eo1Zyp-nk23zx4ciHUErL4Y,https://lh5.googleusercontent.com/p/AF1QipPm-W2PX-V5CeD23GVFkEmCeGv7eSN_NhCGdz6F,https://lh5.googleusercontent.com/p/AF1QipNQ9-1iNAcL0xn6sBO4bQIeCuwzJHApP-RSm8q8,https://lh5.googleusercontent.com/p/AF1QipP4ez2ad66pWp9wjDiDKLKwfgGJt7yct5U3bUeW,https://lh5.googleusercontent.com/p/AF1QipMSU3JDT8c-G4qU0F-5QNsSgIRAxN1qBH65Nanf,Cafe,Dakahlia,Coffee shop
Barista market & cafe,"دائري المنصوره امام مدرسه الصفوه و مصنع رفعت علام, Dakahlia Governorate",29CC+43 El Mansoura 1,Not available,4.8,10,Dakahlia,https://maps.app.goo.gl/btEWq8Ss8MxtKiWx5,29CC+43 El Mansoura 1,31.020313,31.370188,https://lh5.googleusercontent.com/p/AF1QipPMXecOazXSrbfeY-oCDvvZZEEImDF-NjVSGg9v,https://lh5.googleusercontent.com/p/AF1QipPa0rWv1NlcaqqlYFjtyrXR8lOQeMeaPllZtbCk,https://lh5.googleusercontent.com/p/AF1QipPHeybTAJU7vAKCxwTimImURTvj6ebf34ZTXYy8,https://lh5.googleusercontent.com/p/AF1QipMBlmTwObXqB6YLQgN-br6lEdfd5OFCnmPxK_qm,//:0,https://lh5.googleusercontent.com/p/AF1QipPWLg_gOHRbFHqD3YGINsta-hWFAEN5P8g3ArpO,https://lh5.googleusercontent.com/p/AF1QipPIqHKp4IQs-quqpEtOt5wBQAdZwXclekJwUjEs,https://lh5.googleusercontent.com/p/AF1QipPVrVi07xks487okx0rB37hej46EiKbzATo_M4t,https://lh5.googleusercontent.com/p/AF1QipMiBU2LrLkXCc3oQlBBX39GP4DgP8t8WLsbsLC_,,,,,,,,,,,,Cafe,Dakahlia,Coffee shop
Laguna cafe & restaurant,"29Q4+588 Elmohandes, Ahmed Al-Hoseiny Eid, Mit Badr Khamees, El Mansoura 1, Dakahlia Governorate 7650030",010 00022537,http://www.facebook.com/lagunacafe1,3.7,3,Dakahlia,https://maps.app.goo.gl/9WENHcU6f9N5ppDf8,not available,31.03875,31.35375,,,,,,,,,,,,,,,,,,,,,Cafe,Dakahlia,Coffee shop
Hassan cafè,"R7M7+PRM, Mansoura - Mit Ghamr Rd, Tanamel Ash Sharqi WA Izbat Al Atrebah, مركز أج، Dakahlia Governorate 7530747",not available,Not available,4.1,27,Dakahlia,https://maps.app.goo.gl/EHngspYWtf5V3TqD7,not available,30.83125,31.26375,https://lh5.googleusercontent.com/p/AF1QipP-gGoCCj_Quervn7gXN7currmRQuzbC0qzv2EH,,,,,,,,,,,,,,,,,,,,Cafe,Dakahlia,Cafe
Q cafe,"Hay elgam3a, Ring Rd, Mit Khamis WA Kafr Al Mougi, El Mansoura 1, Dakahlia Governorate 7650001",29P2+57 El Mansoura 1,Not available,4.6,41,Dakahlia,https://maps.app.goo.gl/JfWpS2Gtoahtpa5h6,29P2+57 El Mansoura 1,31.035438,31.350687,https://lh5.googleusercontent.com/p/AF1QipOvC3PbXagVPVAmLrJaDYKt9Y49w1PEEgt5j45d,https://lh5.googleusercontent.com/p/AF1QipNqbbWyXyGNj1bYojcSsrT85xHmxiqcm4MthW3-,https://lh5.googleusercontent.com/p/AF1QipPqedlxGEnHJ7qtsHKtEmdGxM6GipvE9-KVILFB,https://lh5.googleusercontent.com/p/AF1QipMDkGsQ7hhTShfdqhYao7NuTm6L-Y6ErLMySfN_,//:0,https://lh5.googleusercontent.com/p/AF1QipNlZWFN7_kO4MapXniiMjM3egxQxl0snmeFKX_c,https://lh5.googleusercontent.com/p/AF1QipPvLEk9sy9HPdynv9mnU4AnLbdKH9q7KVNnrlmJ,https://lh5.googleusercontent.com/p/AF1QipOWD0zfYzoZWp4kCCKzsYjy7yYEhQatyhmXD0gm,//:0,https://lh5.googleusercontent.com/p/AF1QipOeyxW5PRRRpQ1W5-czHsJzYvR_gCuHtCCmEqYY,https://lh5.googleusercontent.com/p/AF1QipMY2z5JiH7S5W9ebofyei2nexFS5whjjGLwuDOF,//:0,https://lh5.googleusercontent.com/p/AF1QipObwm1qGm5ePFevG5jjR1MRxSGdAuKGjfYtAFVM,https://lh5.googleusercontent.com/p/AF1QipM0lcIWR65Q2BIdjl62eHsiIsIZ6FuM4Nqs53OK,//:0,https://lh5.googleusercontent.com/p/AF1QipO6l5a7ip_HRLlQmOyZwRQ8LU6hIBcKd2U8UtFV,https://lh5.googleusercontent.com/p/AF1QipNrgRQLVQe5LAuTvTWUo0giNnQQOpJkCxdl4Dji,https://lh5.googleusercontent.com/p/AF1QipOCsmzA3PGvoPIw5ScnHoA454J9dEIoonBCk6Yn,https://lh5.googleusercontent.com/p/AF1QipM0xjvOmpFsMVjC7WGDWwtSxYJ_iXHNSbZVA1n9,https://lh5.googleusercontent.com/p/AF1QipMHEaojE-J84LHAZrOSx8FSza-DQNdTDPfsZ5yr,Cafe,Dakahlia,Coffee shop
Beetless Cafe & Resturant,"29P2+2FP, الطريق الدائرى، ميت بدر خميس، المنصورة، الدقهلية،،, Mit Khamis WA Kafr Al Mougi, El Mansoura 1, Dakahlia Governorate 7650002",010 17557333,Not available,3.9,21,Dakahlia,https://maps.app.goo.gl/GbkvVq7z9i1EQyXJ7,not available,31.039437,31.350062,https://lh5.googleusercontent.com/p/AF1QipNIGiwVwIwRdoawQG0s7AIuTqEK_gcUnx0b8N8S,https://lh5.googleusercontent.com/p/AF1QipNxU7ulSmYNm_ZVA6VjSOWSYpg9Zqf9hAiWMhG8,https://lh5.googleusercontent.com/p/AF1QipP-MVJEbnDcYFnqBo2mNOU5optXB5e8Wvr6TgKN,https://lh5.googleusercontent.com/p/AF1QipNgOtgC3CwEDGneFCNY34yZ4o-gOrLpXcoJMk2b,//:0,https://lh5.googleusercontent.com/p/AF1QipNsBu4L2TD9O6ImzFJwZTdCrLOyX-AQSc1oNMfM,https://lh5.googleusercontent.com/p/AF1QipPeY04_IN7PKCw4SjQkn8WM0mianqzdEiPKMIPp,https://lh5.googleusercontent.com/p/AF1QipMKIkjafde79Mrbt-hePWn8_JdL3sS7lTHcOozi,https://lh5.googleusercontent.com/p/AF1QipOrz6fJtjoAbSxurhauMmJTmIizDb3e3noXGcOK,//:0,https://lh5.googleusercontent.com/p/AF1QipPKwlNZ3GXrh_Nuqg3qdwA12BJFbhPpDFYaF8Vw,https://lh5.googleusercontent.com/p/AF1QipO6EzQdF8Dt3mGtu4kU_W1rAvtCgBWYWHBRbfn0,https://lh5.googleusercontent.com/p/AF1QipN6R2wK5mx8PFWO0QAMABiq4-U2t23lCvDE1Lrb,//:0,https://lh5.googleusercontent.com/p/AF1QipOyznHhmCmZ8OV4zAp1aoPdmvyUPBLXfouJWIKK,https://lh5.googleusercontent.com/p/AF1QipNP5TQ5b6oOnFCMA8AE76fyv-UjQf5Rqk7M6kjv,https://lh5.googleusercontent.com/p/AF1QipOc76wrfJHaqwNWbi0aoXNMmsj4jNgR0KthVvg5,https://lh5.googleusercontent.com/p/AF1QipOXq7UoAHJ5cxLFku5s9W9hum70OjRjML5j_5BC,https://lh5.googleusercontent.com/p/AF1QipO3D8ifex6YLr6O6iJ97XiW_CDfxxzaz4scXQW_,https://lh5.googleusercontent.com/p/AF1QipOGx0a9wLp5onul9Hwwl8dj_JTSFJEO3hwmwtes,Cafe,Dakahlia,Coffee shop
Fidel Castro Cuban cafe,"شارع المحطة الدولية،, Mansoura Qism 2, El Mansoura 2, Dakahlia Governorate",29WV+3P El Mansoura 2,Not available,4.3,161,Dakahlia,https://maps.app.goo.gl/bEiCHL9cVDAVc3Qg6,29WV+3P El Mansoura 2,31.045187,31.394312,https://lh5.googleusercontent.com/p/AF1QipMdv-iVQKGfRrKXF3Zv8H-gVxzjrhaOy816O_XE,https://lh5.googleusercontent.com/p/AF1QipPazkrI2jZgHC2nBZpncTuQR5oK3YK0vgBGg1OH,https://lh5.googleusercontent.com/p/AF1QipOHLDwXQ5qx4IgSg4DFaRMXiG7d0_huBB767-vu,https://lh5.googleusercontent.com/p/AF1QipPYf7KSnDO7oSdDD1BGqK01giThA3LJRkkc5OjH,//:0,https://lh5.googleusercontent.com/p/AF1QipNPJJudo9dKsx-JD9rFOzfCwDfM6jU7j3md67ZP,https://lh5.googleusercontent.com/p/AF1QipOEVYerLLQ-FrOw4xfyJLoRQDrl-lkq2flI9gwu,https://lh5.googleusercontent.com/p/AF1QipPkQ3cZWm0QFZssuWaf25EO4r7lKxgeRDioQngi,//:0,https://lh5.googleusercontent.com/p/AF1QipPo537MERHp-qmqJXbm51ca5BVGn96NhyGcuGp0,https://lh5.googleusercontent.com/p/AF1QipMhKCY2AfI7BTag7W4IGxMagcZcBCSKUWS_lRA2,https://lh5.googleusercontent.com/p/AF1QipMCiYH-ONQ8-AXJQCrFHsZmSU3hPTn7iCoBJrA,//:0,https://lh5.googleusercontent.com/p/AF1QipM5wuqBEguhXBon-ZJnCvzQ2JrtK2EsJOBfb0au,https://lh5.googleusercontent.com/p/AF1QipPNq-eUGGpJi6OUSmBsK7zkV30_4dG783xS6Wa0,//:0,https://lh5.googleusercontent.com/p/AF1QipMLOR5QSs-aVUzPQQ8jX0DMRtAE9pMD3WHfA8cc,https://lh5.googleusercontent.com/p/AF1QipOpVQHDcRDKsTHJI1fpSwYZKAbjrrjTpLhezgT-,https://lh5.googleusercontent.com/p/AF1QipNh0xzRttI-Zx5P7ClJ6ysLjmRPzhyHhdRp5CGX,https://lh5.googleusercontent.com/p/AF1QipPxTBauAQBaCJRc5wSbsW7Ng3xlkOOLnhP_94DY,Cafe,Dakahlia,Cafe
La dolce vita,"29Q2+J5M, Ring Rd, Mit Badr Khamees, El Mansoura 1, Dakahlia Governorate 7650010",010 93888391,Not available,3.9,961,Dakahlia,https://maps.app.goo.gl/t92kZKSdJDA7BrQu9,not available,31.039437,31.350062,https://lh5.googleusercontent.com/p/AF1QipOUKftZiPJPK_B_ip_vv_oqeXqC78Xfh92wF_MK,https://lh5.googleusercontent.com/p/AF1QipMcsfU31QNw-dg7OBwMLs4eQzGf4Zw62TXYRl7S,https://lh5.googleusercontent.com/p/AF1QipMVTgGi2vDTy8ylUJU9Rfl6J8moe8754KZPIv6f,https://lh5.googleusercontent.com/p/AF1QipMtu1ocIJ8PbIgYi9jbGQTKF0cXgsK19mJjv_Nj,//:0,https://lh5.googleusercontent.com/p/AF1QipONIijPLL5rV8g8nLFruZthMmK7GQ5FVWs3QK8M,https://lh5.googleusercontent.com/p/AF1QipOI8nR_aFJcG6_GQbxDMgpbZp5DNoKcWAnqtozs,https://lh5.googleusercontent.com/p/AF1QipPtfsbtB4OWaLvhq0jUQPSR18ic45at5Gjsq_E,//:0,https://lh5.googleusercontent.com/p/AF1QipOaeOWLrnob3Eny_M3DI6t5lkN0bTqViC2Jnz2C,https://lh5.googleusercontent.com/p/AF1QipM0H1apvFDmo50tQA8iNxvcWKcgulbnD3iUnJyc,//:0,https://lh5.googleusercontent.com/p/AF1QipPlGvRPXpZgT4kxSWNda_55Ha0OWA1OmrhQCkRr,https://lh5.googleusercontent.com/p/AF1QipMaG5YY1Mtvgb0ukkN4h6ptC66rdgdsJLwHs0ua,//:0,https://lh5.googleusercontent.com/p/AF1QipNXnyAzw613xXySnM1Vz2oUy_2mX8k5HLwlGy3d,https://lh5.googleusercontent.com/p/AF1QipPibSCsdoQ-L0BQglHxTP_3Ge5Mg9A1mQTahPU9,https://lh5.googleusercontent.com/p/AF1QipPuEGmH3XaOAZR4UH7GP62BaYjvDiFDJJ7tEpL3,https://lh5.googleusercontent.com/p/AF1QipOSqDNQ6AvmdA6QTypi2Gd1SXhtOBVQMvS1Zh1d,https://lh5.googleusercontent.com/p/AF1QipMJgl5n66C7DVzLaH9UdbL3pcICqK-0tUZ5u2h1,Cafe,Dakahlia,Cafe
