Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
سيدار كافيه,"Alsohbagya, New Damietta, Damietta Governorate 8022316",not available,Not available,4.1,136,Damietta,https://maps.app.goo.gl/G9Cr7zth7QcUTDk77,CMG8+F2 New Damietta,31.426187,31.665062,https://lh5.googleusercontent.com/p/AF1QipPANkIr8oSSEUvXavdSLohl5RaOrA4N6E_TzW6F,https://lh5.googleusercontent.com/p/AF1QipMwdLbXbWXYzgRdk9_849gmr-uSd2sNwyI13LPd,https://lh5.googleusercontent.com/p/AF1QipOl-IS0vKnLOIlmK_ofQ05rcUATTxbF4TgWVZCJ,https://lh5.googleusercontent.com/p/AF1QipNK_Rsb_31bHzZPg0L8CtnCmOVEDlZrm5FVUV_n,//:0,https://lh5.googleusercontent.com/p/AF1QipMPd9RBZGtz9HtiurMM9NcefSo43OiPRA3XQpOv,https://lh5.googleusercontent.com/p/AF1QipNbmSdZg3Fr_6RO1AO4nNLpD9HH31JGGVBLiglb,https://lh5.googleusercontent.com/p/AF1QipPUm6095-_WMy_Nut_D_OSWBE_87FhwkIxsXMMP,//:0,https://lh5.googleusercontent.com/p/AF1QipNKnOndu0B0rvywqzGq3PoFf0qhb38T9K2V4wQp,https://lh5.googleusercontent.com/p/AF1QipOw0ofU3UE9qX2TfyXtpjAaP7cgXJfVgGvE6jpB,https://lh5.googleusercontent.com/p/AF1QipNv02qQ3a3EJPo9pKxU6LH12-73RjAHxybXJpsa,//:0,https://lh5.googleusercontent.com/p/AF1QipMZR1k5JzOhfzbff9jMSd7cZcwJzBW6lyzkf3a5,https://lh5.googleusercontent.com/p/AF1QipOAOD8E-lkCteEE-I2SadM99u-TVZDBGEDDB-o_,https://lh5.googleusercontent.com/p/AF1QipOjyE_ii45lgEL0ODJbqC1aWPK70ih-XztBnCMT,//:0,https://lh5.googleusercontent.com/p/AF1QipMAYNmkN62Y0ep8ZN7RS3DASy8X-DOGW49XYNI5,https://lh5.googleusercontent.com/p/AF1QipOi-EnphcNwy_4rVESh_dqTQ_g1IPOS9P2DVneE,https://lh5.googleusercontent.com/p/AF1QipMcjp4iVcNDr0UZJWirj3M1Er0lMsKBVSQ2aHA7,Cafe,Damietta,Coffee shop
COVA CAFÉ,"CMR9+Q7, Damietta El-Gadeeda City, New Damietta, Damietta Governorate 8024721",not available,Not available,4.4,139,Damietta,https://maps.app.goo.gl/KoEYj9yCNqPYg7Na9,not available,31.441938,31.668188,https://lh5.googleusercontent.com/p/AF1QipPK4wRe5C1pdoazGwnoQ2fiP29hsuSaKOI6MPe4,https://lh5.googleusercontent.com/p/AF1QipNY9H5QbKtKd-DHvbAvaPC4cCn3lKBG3TFo4xm-,https://lh5.googleusercontent.com/p/AF1QipNVx-uYsQt9BHu-OAeubwSPAZ37eAoPOn8Z5iwW,//:0,https://lh5.googleusercontent.com/p/AF1QipNeSoehNN5RvTlOk287XWSwQ_z1CH9zZrQ8t_yc,https://lh5.googleusercontent.com/p/AF1QipOwK0XyfVU_nmEaiqh6EJRBgworo2RnvdzgGVhe,//:0,https://lh5.googleusercontent.com/p/AF1QipNbo3mGEJ1BsASeEQPsGAWad9C0AreMv0JejV_y,https://lh5.googleusercontent.com/p/AF1QipOORnjCtjLm65nWfi-NuhFxYpa5r3InwtGLeNtI,//:0,https://lh5.googleusercontent.com/p/AF1QipNOj1mTcGBO3FnasQAqxA9GEPo9tnWx1FXVrHiM,https://lh5.googleusercontent.com/p/AF1QipPCIxogeBccN8xKwBSAEndBO5IJ9kQrWgxJs3nn,//:0,https://lh5.googleusercontent.com/p/AF1QipPkDB_tAh5coSzr_FoYtdy4VHqaNL1KO6Inovlk,https://lh5.googleusercontent.com/p/AF1QipMnqrVxsX2NHiQkpRizJzsmN8sLdQi-ChXvmEaE,,//:0,https://lh5.googleusercontent.com/p/AF1QipMuTtNYIx9UoB3TSBjrI5HvCTe-mBejTOsdaE4L,https://lh5.googleusercontent.com/p/AF1QipPGZf-1pNUU1RzqTwPpWzUyBbRFBHvstSkakYow,https://lh5.googleusercontent.com/p/AF1QipOw_lBOd5EwLBe7LL_yMOiVyLTMCtVwcvEizZUl,Cafe,Damietta,Coffee shop
Bonjour Damietta,"طريق دمياط الاسكندرية،الطريق الدولى الساحلي،دمياط, Damietta El-Gadeeda City",not available,Not available,4.4,556,Damietta,https://maps.app.goo.gl/UwF7BeLRWmmvLUCU8,"CHP8+GM Damietta El-Gadeeda City, Kafr Saad",31.436312,31.566688,https://lh5.googleusercontent.com/p/AF1QipNxxmHY0-8oFqGMoyJ1Z5iocfGe9mRYS1OUvn5e,https://lh5.googleusercontent.com/p/AF1QipMSUslfDh1QgxrqCQ1lQzu9b-cRtbbwatJ4qItA,https://lh5.googleusercontent.com/p/AF1QipNAOo4njO3nyOCl31oP7oEcLLSAFkE5eRDYttYL,//:0,https://lh5.googleusercontent.com/p/AF1QipO6fbCHYlJpk7eJame7wnk_UptC-W1LpELg51_o,https://lh5.googleusercontent.com/p/AF1QipNgku3zkQ84gj2Ptr_NPdvgXNMx4jZRygbddAnA,,//:0,https://lh5.googleusercontent.com/p/AF1QipOkofqdEEDEwDH2kNDk9FpAHO-RPu_CF5vEA00c,https://lh5.googleusercontent.com/p/AF1QipNnJtly4MfJxSqnlKew9OqMRB28N_lOrcvtH8iH,//:0,https://lh5.googleusercontent.com/p/AF1QipOSJul85duC6oqL86kchi9_1-s9L9vgAQeU2ZRw,https://lh5.googleusercontent.com/p/AF1QipNCkKQo2dRWVUAFlzTcwKb1w77nYkQ-ilBDSUYT,https://lh5.googleusercontent.com/p/AF1QipO5l-5EWbLAtcvyYISKolnmrgkioOpYpKmO1tB_,//:0,https://lh5.googleusercontent.com/p/AF1QipOBc_6-5Xm9kFPVVE22lAUJds2WQP1NgtA9nnCj,https://lh5.googleusercontent.com/p/AF1QipOmJWwkaIGfgQhdm8_0trlRSqZ3iJUSLMVOQhvI,//:0,https://lh5.googleusercontent.com/p/AF1QipPAEgbbemDNCnFuTHIPB1Uf7tmAFQf_ljkIQ93A,https://lh5.googleusercontent.com/p/AF1QipOCcduYg13TAAgB1Yi1fQ6VESdx5a4zqOYsDQUV,Cafe,Damietta,Cafe
Cactus Cafe,"CMQJ+P78 البنك الاهلي, Damietta El-Gadeeda City, New Damietta, Damietta Governorate 8025011",010 26311053,Not available,4.5,52,Damietta,https://maps.app.goo.gl/dgz9HkBJ3UpRiy248,not available,31.439312,31.680687,https://lh5.googleusercontent.com/p/AF1QipMbFT-GrzUqG12iw_sPhUJiRalnUR_ETtcY7KCg,https://lh5.googleusercontent.com/p/AF1QipPbbvOCt2DsS4n25gPHlGvmXSKPoQFWU0O9723c,https://lh5.googleusercontent.com/p/AF1QipMyINtOYPN__24EEjqw_OyROCujtqeUzDfqy3fj,//:0,https://lh5.googleusercontent.com/p/AF1QipMnAT5sTr6cf_cGT-3eYKduUnPdS_gbh0ikFhRm,https://lh5.googleusercontent.com/p/AF1QipNjwU1-79Y8SIhKMo5UO8K22L6VLXGQstetVuMN,//:0,https://lh5.googleusercontent.com/p/AF1QipNP70FLHu0Sow7VlDGYmEK5v8SH14g2A4DKlC4i,https://lh5.googleusercontent.com/p/AF1QipMGYcKxKhEHzDHhTETA9UNYBqYKK1rlQFZKXu6H,https://lh5.googleusercontent.com/p/AF1QipP-A0HcNe3SntkV2RnKGYidHNGx0KiVlHEfZ4Rl,https://lh5.googleusercontent.com/p/AF1QipN-NUqaYgEXB9RNTR_UuRqIqAp2ffMPVVGe-2Zy,https://lh5.googleusercontent.com/p/AF1QipO5ffHX6T3Y8oFcLNGQ87WjFeXh2Idn7RpARv_K,,,,,,,,,Cafe,Damietta,Coffee shop
MYANO cafe,"CMPG+QGX, Unnamed Road, Damietta El-Gadeeda City, New Damietta, Damietta Governorate",010 01223343,Not available,4.0,227,Damietta,https://maps.app.goo.gl/qr7R1Uy7aVgaaB8K8,not available,31.436937,31.676313,https://lh5.googleusercontent.com/p/AF1QipNwrF1DMGU7AqhBn7azWzlkpzj5F5V4yuVYpEFT,https://lh5.googleusercontent.com/p/AF1QipOJglBkgHhNluRpiKVqBZNMCiw4P5z1kBGb2zA,https://lh5.googleusercontent.com/p/AF1QipNXb5Bm5s3FXw1Np9B8TwnUji0Xi7XiVK3oFplj,//:0,https://lh5.googleusercontent.com/p/AF1QipPP0wBuuag3peN_xfJgwH7N8LzRvMqdSv0v89QZ,https://lh5.googleusercontent.com/p/AF1QipPsqPrjyfSj7sq5l0hoIrYzxyBwohSAWWqAuNY,//:0,https://lh5.googleusercontent.com/p/AF1QipP-LuGf0RPbD9JrSLD6Ech07erbFFo4nsL06-eW,https://lh5.googleusercontent.com/p/AF1QipNIfNtB4lusp4QuuV7wgVKCiEaXBtc91RayLmY,//:0,https://lh5.googleusercontent.com/p/AF1QipOwyxMGDwJcYUpswmSbIjbeBaIjmiJwMIHNC90m,https://lh5.googleusercontent.com/p/AF1QipNErWBu1IKOZCzGDYwifH7CEh4h4onCeRIks0fm,//:0,https://lh5.googleusercontent.com/p/AF1QipMiLjXeZ5Nc6gR16SYX7r0xwtA7LbEBNhRvqP3w,https://lh5.googleusercontent.com/p/AF1QipOdJ5qBNPXIt5om-SS_nuV53qKYiYhj9wu-1IGN,//:0,https://lh5.googleusercontent.com/p/AF1QipNL1Zmrx1BWe0zsRhwD53FxEV58cMwp6SsoWvb8,https://lh5.googleusercontent.com/p/AF1QipPVWeF9IPruepQVgxbuBxrj503YT3bksB7cUAGD,https://lh5.googleusercontent.com/p/AF1QipNkozkFV7z7EUesqfI5J3zaXbh2VB8VBIDJZw5Q,https://lh5.googleusercontent.com/p/AF1QipOmQYFQOAIuwxUQH1JCbreHE2sAKVGS4ENnBoPY,Cafe,Damietta,Cafe
Paulo cafe,"Damietta El-Gadeeda City, Kafr Saad, Damietta Governorate 8025002",not available,instagram.com,4.5,217,Damietta,https://maps.app.goo.gl/6jjhYDARfrZU4rTX9,CMPH+W9 Kafr Saad,31.437312,31.678438,https://lh5.googleusercontent.com/p/AF1QipN64Zfe5rMe8fMczvPyaGvaD2rMX1EtC8JiB4gD,https://lh5.googleusercontent.com/p/AF1QipOd3LWFlrAwvkI4BWYMbsJa9N3qlJB-V5LhXTLl,https://lh5.googleusercontent.com/p/AF1QipOchUQDCuKMwDDTlWfIoAxd-Lo1njDUgI-5tNs9,//:0,https://lh5.googleusercontent.com/p/AF1QipOJY75R353Jq95bb6iI9BcT7Li6Xz6H1XfQBdr8,//lh3.googleusercontent.com/Ggkbgey6F0RMGtd_S1DU5mUkPgy-HH_5jHR4I-JXBDaMKKvSWlr8YZ9M_TQuS24,//:0,https://lh5.googleusercontent.com/p/AF1QipOPkn-bO5map2uNkB1xsNpNtkd5b3ilnyAzKOT5,https://lh5.googleusercontent.com/p/AF1QipM7u-ZKHmvy0dBSsd_avCAUNheH4H5eyRauKM7x,https://lh5.googleusercontent.com/p/AF1QipO8-oMhhec3rTq_FsECPM-U6bR8-X11oqqX86hE,//:0,https://lh5.googleusercontent.com/p/AF1QipOUA1xJf29t-Pd_x9_DtmubzKvCurGF593XfAES,https://lh5.googleusercontent.com/p/AF1QipP2CtRUzPAxBi9YOGg-o91IMFztt6nbUuRihPWP,//:0,https://lh5.googleusercontent.com/p/AF1QipMeBQtoMryzCtJLE2Zb3XFD1d2VM1aVpH2D1fnX,https://lh5.googleusercontent.com/p/AF1QipPc75DT0jb-HcnSriKug_pip1sBgKwgtXjmag1h,//lh5.googleusercontent.com/057lJGOIrwfwC81wK6qVY-IcI-Add2tckeEYYr7GWCiHh1tCF8K1saD3ADnUtDoM,//lh6.googleusercontent.com/ONqm13KBzu2AmHuoFbWEmeHn-m284xASPx22PQVF_tJFPuk3nTxxJB_R7TOXCE49,https://lh5.googleusercontent.com/p/AF1QipM15uXP8N502Bt-U2TX07CyFYyxqiQw3ScxBJym,https://lh5.googleusercontent.com/p/AF1QipOTeXxSQXUTDx4h8r_e9OGMnA0K3GIC7KU_QKFz,Cafe,Damietta,Espresso bar
Zayed Coffee (Central Area Cafe),"المنطقة المركزية مدينة دمياط الجديدة، 34517",010 03219497,Not available,4.2,"1,116",Damietta,https://maps.app.goo.gl/c2S9grtJN8PczN6z7,CMQG+VC New Damietta,31.439687,31.676063,https://lh5.googleusercontent.com/p/AF1QipP-ViwzV-zmJhLypDBlHUGdq0FfMa1jaHrr8YRh,https://lh5.googleusercontent.com/p/AF1QipN3j081ykutSLQAuempTCA2OP9Gt0enuxce-_Kz,https://lh5.googleusercontent.com/p/AF1QipP6Eru1aEk_STaZOb2fKzqm25A7HHVq07EeD5oE,//:0,https://lh5.googleusercontent.com/p/AF1QipNSECc_WYv3qfycn-TBQX20t3AN5juENdPezuH9,https://lh5.googleusercontent.com/p/AF1QipMWiOAI9LBewGodPmm-T2PcTccSMJ31BPxq3Lry,//:0,https://lh5.googleusercontent.com/p/AF1QipPGGKNQgB8LuMJrPv-kyhdUwaIMZ6TLG8W84oZj,https://lh5.googleusercontent.com/p/AF1QipOY0WiwVRzhCCfCjwsN7G3iividvUHKhxpp2kNR,//:0,https://lh5.googleusercontent.com/p/AF1QipNitCV-ZIX2OGDqwE8d_nNFHAAnMsiFIlagSBS1,https://lh5.googleusercontent.com/p/AF1QipPdW1wsevJxPxV1XZR1w4ucpHzYWcvbmH-S57ZD,//:0,https://lh5.googleusercontent.com/p/AF1QipMqb0Rz249oGWT8-ty7sM10Z51JZglt_AW3jjU,https://lh5.googleusercontent.com/p/AF1QipMYa6GCN4VEfloAOm-mNLCZ5j6fSh9IagELTOPL,https://lh5.googleusercontent.com/p/AF1QipNIqchmy8mutlIVRlGh7_oC8wLUrq0vMLVDT1Y,//:0,https://lh5.googleusercontent.com/p/AF1QipN00DHJqseQZhY4VFS4aoQRhuZy9HCCGNpzj0Rm,https://lh5.googleusercontent.com/p/AF1QipNB9ZEoKIXEMRSs-wcOL4p7-ooQMY2zACc0CLo,https://lh5.googleusercontent.com/p/AF1QipMy_ywc5EiPSewoSZ2vr4DVCTmOzMvyJy8LUMly,Cafe,Damietta,Coffee shop
spark hangouts,"CMX8+88G, الحى الخامس، مدينة دمياط الجديدة، كفر سعد،،, Damietta El-Gadeeda City, New Damietta, Damietta Governorate 8024813",not available,Not available,4.2,26,Damietta,https://maps.app.goo.gl/ivMAbB2MepQivFwv7,not available,31.448313,31.665813,https://lh5.googleusercontent.com/p/AF1QipMa_zn87Ml_u5ujjp8eQeGY4Kw0cO8aNCENY1aM,https://lh5.googleusercontent.com/p/AF1QipO9yrVlWQinnrv4b91iY24l0M_FyzLW4ad2-EsF,https://lh5.googleusercontent.com/p/AF1QipN9aI2G4085TQoH92YSCD48Bm0ytQT5H5G4PQYV,//:0,https://lh5.googleusercontent.com/p/AF1QipP9Ar8xlKDVPdDsUtWpBw0ImrjP79f7CuVnT3qo,https://lh5.googleusercontent.com/p/AF1QipMHrEMoQfeWU34FPFNKb0fD0tLEbKpe6qwiJo0k,//:0,https://lh5.googleusercontent.com/p/AF1QipMqpSjhg16wMibqoZAh1eJ9Pq27dq99Im25Lskf,https://lh5.googleusercontent.com/p/AF1QipO8a-ejLuAt7gl_2dxT06MvTwop96d9Np8Vp8e9,https://lh5.googleusercontent.com/p/AF1QipPHkeatxRNxduAnL57NKvRvtlbP6tvtAhamG5_4,,,,,,,,,,,Cafe,Damietta,Coffee shop
White Lounge Cafe & Restaurant,"المنطقة المركزيه بجوار العيون الدولي, Damietta El-Gadeeda City, New Damietta, Damietta Governorate 34325",010 26610000,white-lounge.cafe,3.7,38,Damietta,https://maps.app.goo.gl/GUJKDyZ6JfeQQ7EFA,CMQF+9F New Damietta,31.438437,31.673687,https://lh5.googleusercontent.com/p/AF1QipOM1gxlyq8XAim81S5NEfjcHx7Ab7zCr0cH1M-q,https://lh5.googleusercontent.com/p/AF1QipOfEkFYX15VjAflDK0V_wmXAvkhYH6LShNa4P2n,https://lh5.googleusercontent.com/p/AF1QipOkQ7o__4_2HJ9H1X4NOQ5RLvbQPlMvxLdtrNvr,https://lh5.googleusercontent.com/p/AF1QipNmnrqqLMQI57WxYdTu8FKvIKD0ecbSML52ACzS,//:0,https://lh5.googleusercontent.com/p/AF1QipM8AYpVCrVmgrOB56oIdECM9idTMiq5W_9oYWR9,https://lh5.googleusercontent.com/p/AF1QipNdgD51Fdinpn_Xwidp9gfd0jNmrTtXMgr4pGKf,//:0,https://lh5.googleusercontent.com/p/AF1QipOq8KwB2sWbIBAbBpaoPfl8AiMJ1MjroWEo30_M,https://lh5.googleusercontent.com/p/AF1QipOBlNxbmnUdFCHjAIbP2nxBydqyn_MtSpCxkUEl,//:0,https://lh5.googleusercontent.com/p/AF1QipPZA6d0ypkUGPysaqrxF92XDaxcQJnM_hP_O5ST,https://lh5.googleusercontent.com/p/AF1QipNh2ia5GjL0zFIZZ1n7Tql4zVwoMb5xbMu7Q3yP,//:0,https://lh5.googleusercontent.com/p/AF1QipPa568F6AfexiDXo73Oalu4A5-jvatABJ1qegt0,https://lh5.googleusercontent.com/p/AF1QipOoaMvcml73sM3Jt5lbBBPCBBvxAcl4VTBaGv4n,//:0,https://lh5.googleusercontent.com/p/AF1QipM57FbWvew2zSrn809bOi4cKM4qyH-oHHdARZcg,https://lh5.googleusercontent.com/p/AF1QipNBDeGq71hrmsVi0yieBJOMIDvfS6GN7cPMSCHW,https://lh5.googleusercontent.com/p/AF1QipOMbk5Q0a8UE1WFVUCeh8mKKeBtPChzJwLyNnhd,Cafe,Damietta,Cafe
Boulevard Cafe,"Damietta El-Gadeeda City, New Damietta, Damietta Governorate 8025101",010 80424349,Not available,4.5,37,Damietta,https://maps.app.goo.gl/YDRDBSkcZvhE9stA7,CMRG+59 New Damietta,31.440438,31.675937,https://lh5.googleusercontent.com/p/AF1QipPXeYCdogf-uW0UMxNNwYaIxwvaWyZhhZ49ocXC,https://lh5.googleusercontent.com/p/AF1QipPK0Cfwu2TpfoBID6MSZY16bTfTARpDHmrazXxF,https://lh5.googleusercontent.com/p/AF1QipPMVECh45CuIhQUmxjniT6qdSK5CeR8mlqEzubo,https://lh5.googleusercontent.com/p/AF1QipORsYwQcqXAmOQ7elv3H-ltx6nbmUxSQ-llBgdD,//:0,https://lh5.googleusercontent.com/p/AF1QipNVUtHpdXHFUJHjSickkLUXo7zcwp1HIzTg00i8,https://lh5.googleusercontent.com/p/AF1QipOFy0Gi2rrxUtZ1jKYqTNY0WEF9NnBFi2SM82kh,https://lh5.googleusercontent.com/p/AF1QipMXN-NH_jP6s2wuhuJ6MWi13xmECPa0RW35zAEW,//:0,https://lh5.googleusercontent.com/p/AF1QipMfICd0CejMlo318NgfSvVsDLAO0MtXv2_J-N5S,https://lh5.googleusercontent.com/p/AF1QipOc9cxTeqXjvbaGUHP-mq1-1XdJUm4KEyT3JID1,//:0,https://lh5.googleusercontent.com/p/AF1QipOw88DaUUiTjtokh5wks4ZdiMT-7tmriOqgsczH,https://lh5.googleusercontent.com/p/AF1QipMIIh6eTBlQV7f-hXIQeM7vzSjutla0-3DcNkz2,https://lh5.googleusercontent.com/p/AF1QipNMZkvUKCiADFa_MoTfn76nnAoNNME1wt2305AX,//:0,https://lh5.googleusercontent.com/p/AF1QipMQzNjL4qqs9Bc8U3KZ54t_k2SD7rkG2XVMBcYC,https://lh5.googleusercontent.com/p/AF1QipOeSRC89eHpuHktA1IeyOSEg7A31W1QUlabfiK8,https://lh5.googleusercontent.com/p/AF1QipOZa4-_iahRa0VjuYEQFAJSnWdj5p5O-SWJQHGJ,https://lh5.googleusercontent.com/p/AF1QipOJhEopjQ1uucLVzY7dPDbKP8eJoLHT59vPXezA,Cafe,Damietta,Coffee shop
