Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Fokas Cafe,"8VH5+78C, Saad Zaghloul, Qesm Al Fayoum, First Al Faiyum, Faiyum Governorate 2934255",010 20402231,Not available,3.9,410.0,Fayoum,https://maps.app.goo.gl/xutbSFTE8NHpRF9A9,None,30.218688,31.476937,https://lh5.googleusercontent.com/p/AF1QipOQJFVTjszkE9cM-sAeIVEEqYUUKm6Ib8oxdQ6b,https://lh5.googleusercontent.com/p/AF1QipN3h73nEcDN7dvwNadi09KhlfuqyNjt5j4Dh109,https://lh5.googleusercontent.com/p/AF1QipMk4-sPAyQnzTdFoSv-PRy_yWkO4lKjAW1bQ0-t,https://lh5.googleusercontent.com/p/AF1QipNanlpGf84v-4q31e7pk2EsRu0J4jZ8deX7wza0,https://lh5.googleusercontent.com/p/AF1QipMeBy-Qs_6wx6hAOMuPXOihXCFOC6F9UNhX14CJ,//:0,https://lh5.googleusercontent.com/p/AF1QipN4zpuPLoHPe6YtBUX7hQryqI4e8nxGTaCS1jTD,https://lh5.googleusercontent.com/p/AF1QipPYFHo2cBEhCahjusIPPnKfBonU5C6ByldjYPCW,//:0,https://lh5.googleusercontent.com/p/AF1QipMQv66poXDvGwpYURAJiLrARxLgkcbtdB3MVT-s,https://lh5.googleusercontent.com/p/AF1QipOC3oQEiwfhkBBtEhZWRRTLMTi9jm6YxiUtHkK3,//:0,https://lh5.googleusercontent.com/p/AF1QipNh4_geNLVG85IwM7UR2P3PFYE5yYm3iV_VK5AI,https://lh5.googleusercontent.com/p/AF1QipOvUM7mGSLj9S7HoJ8bY8BXnhSyuP-PelT0t6f1,//:0,https://lh5.googleusercontent.com/p/AF1QipMzdtfwPAJI5JVPxVLiEf1EhrEmkJiZq6kOWUbB,https://lh5.googleusercontent.com/p/AF1QipNMvimVxQov3xAmAp1EQq5Uy--znELoFeWhV_HA,https://lh5.googleusercontent.com/p/AF1QipP3atuAhWCBPW3UTYHmpdZ2oKsYabPVwOQ9o8kF,https://lh5.googleusercontent.com/p/AF1QipNCkE2N7_iibK8rFORzBiWkSYW9fC02hpMweF4o,https://lh5.googleusercontent.com/p/AF1QipMurZMp4kZWn18stDWlutaBIP1xh0EQfkxlsH36,Cafe,Fayoum,Coffee shop
New Tunis Cafe,"Youssef El Sedeeq Center, Qaroun, Youssef Al Seddik, Faiyum Governorate 63511",010 95481535,Not available,4.8,5.0,Fayoum,https://maps.app.goo.gl/uzF6C5vDcyx8xtJm7,CF2P+FQ Youssef Al Seddik,29.401187,30.486937,https://lh5.googleusercontent.com/p/AF1QipPNYJYYVLUs5Fm3ur0bcVaENdMgVtSSABt6g__L,https://lh5.googleusercontent.com/p/AF1QipOFZI3invMs_dEv6wW-moF74yLkKYO1EdGSZHg8,https://lh5.googleusercontent.com/p/AF1QipNTfp5D3JcY9OqKYiGYhn-eANIzoQyMlqTFT4Gx,https://lh5.googleusercontent.com/p/AF1QipMu4FZ5IrChH90U4X12-dC7rT1Ft43O79ou5RFC,https://lh5.googleusercontent.com/p/AF1QipPMieILIv3Ce-zQVraNSEW05B6zIUTTQ96tAERX,//:0,https://lh5.googleusercontent.com/p/AF1QipOgZWeAoLs0xPvdI59sit0oGrll9aYt0JmaeFU7,https://lh5.googleusercontent.com/p/AF1QipMxgzNUlesZZMq1UPUOcEY6LKLE0MvZEH1qimBh,//:0,https://lh5.googleusercontent.com/p/AF1QipNj4-NmqL7SMntdViuZ4941DnNNZ8Ak7wMvNZn_,https://lh5.googleusercontent.com/p/AF1QipOQEpBFuVi1ci_VM1Q70Fc-urkYKbA4G4z4LJJb,https://lh5.googleusercontent.com/p/AF1QipNfmiZc75Nm8qiVwYoVJLY-AK9LbUMTTls3HyIs,,,,,,,,,Cafe,Fayoum,Cafe
Mazag Coffee,"Gamal Abd El-Nasir, Qesm Al Fayoum, First Al Faiyum, Faiyum Governorate 2934372",010 90555598,Not available,4.0,191.0,Fayoum,https://maps.app.goo.gl/iF1mUAitF7Jfg3kG9,8VF5+24 First Al Faiyum,29.322563,30.857813,https://lh5.googleusercontent.com/p/AF1QipNwzHOZ46Y5Y1bNCXLoDBpvjd4WpBzqbu841gF2,https://lh5.googleusercontent.com/p/AF1QipP9twbe-IV0fWd9t0r1AsUDBC7B7YmjedT34vYF,https://lh5.googleusercontent.com/p/AF1QipO4ykQHfA8yiAfjlO1cLDLBH3vLCrnxjptc0Wqz,https://lh5.googleusercontent.com/p/AF1QipOx17LmHieBDFqZbciGHsIzFBVT_mlJNy3v4NFj,https://lh5.googleusercontent.com/p/AF1QipNdDJLCjx0f6LWsg1GiPXOznyIXJ0iLpKu7Hw5o,//:0,https://lh5.googleusercontent.com/p/AF1QipNM3c77HgNMVYYL4TYyJWIUiQ2CFUocNGoSCuWD,https://lh5.googleusercontent.com/p/AF1QipPnFIoih2GPgvDbuMm1pkwUzQ6jHDIIAqAE1RuN,//:0,https://lh5.googleusercontent.com/p/AF1QipOTMsJk_C22RvFtl-OaobbkWK_NnpmpeToe--Ho,https://lh5.googleusercontent.com/p/AF1QipOajwUyVAeo34MBP6QNPFff2hiPX1tEBHycrOcC,https://lh5.googleusercontent.com/p/AF1QipO1jScAaeOEhnYJXdTjRCvrJnPBSz2dQ6ywdyrz,//:0,https://lh5.googleusercontent.com/p/AF1QipMwdNP6h5nmVii97lvD8N-PkAYONi6G3spNabPF,https://lh5.googleusercontent.com/p/AF1QipPn1wcNB6mYfOpr7J7wT_7F0slQqc9G67j3OT3Q,https://lh5.googleusercontent.com/p/AF1QipPekKNafwWumF2BN1elCIiWTLOPfcpXb2oOE1OP,//:0,https://lh5.googleusercontent.com/p/AF1QipNJRA1TMEjJxO-am4ICHC_iJBLvODHZMX2qjgAZ,https://lh5.googleusercontent.com/p/AF1QipPAKw72pUYc2UjTQM0kfJZ4DQeKg3vIV7PRGB7N,https://lh5.googleusercontent.com/p/AF1QipPJHjWAP0_gmWpGPcjcwzMdYYVxllgSjdh1qX42,Cafe,Fayoum,Coffee shop
OASIS CAFE,"8VF5+24H, Qesm Al Fayoum, First Al Faiyum, Faiyum Governorate 2934372",not available,Not available,4.1,36.0,Fayoum,https://maps.app.goo.gl/ngsLvHP6MxmSwZHL8,None,30.218688,31.476937,https://lh5.googleusercontent.com/p/AF1QipMAobnTwDrWBrxLfHbP2iGkTpTv21XPCjHro54T,https://lh5.googleusercontent.com/p/AF1QipOyGTfUoWjS5lnemQRlj15nMPntpNdh-H_4PlWO,https://lh5.googleusercontent.com/p/AF1QipPBLLJ_KAnEKCTswb_BBRY_SdiiosY0h7EYkWj_,//:0,https://lh5.googleusercontent.com/p/AF1QipOaUzRe6Ma54gB3DBZua847DkDB9hagmBUiEjje,https://lh5.googleusercontent.com/p/AF1QipOS5fjW9uFnrQdz4FqiJrVA16ehuPNCooFoj6DQ,https://lh5.googleusercontent.com/p/AF1QipNYvZz_wGDWFKWv1AEkoeurhHkGpu4dgXVR5Bf_,,,,,,,,,,,,,,Cafe,Fayoum,Coffee shop
Araby Café,"Gamal Abd El-Nasir, Qesm Al Fayoum, First Al Faiyum, Faiyum Governorate 2934372",010 67728277,Not available,4.8,4.0,Fayoum,https://maps.app.goo.gl/6NhEieHfxFcNQDMD6,8VF5+H7 First Al Faiyum,29.323937,30.858187,https://lh5.googleusercontent.com/p/AF1QipPwo4b80npxI1L9oQgYAS6SnmpPrM-9xf-TK5Uj,https://lh5.googleusercontent.com/p/AF1QipPIGG-xJ5tZLyCa0IWvzwCq7oqMSR9KmHwIEI0q,https://lh5.googleusercontent.com/p/AF1QipNJJUNIxqctIQEEtW68MA0Ht7AFyh0IdBs6wW_5,,//:0,https://lh5.googleusercontent.com/p/AF1QipPsfEJa_K5qxrx3vjxSdgLLLOhgvQzykBP2r6Xf,https://lh5.googleusercontent.com/p/AF1QipMxXYgs3xONbFkA3o05Js5jg47RfIDBtC0l4Ewf,,,,,,,,,,,,,,Cafe,Fayoum,Coffee shop
Para bebidas (cafe & restaurant),"8V72+27G, Gamal Abd El-Nasir, Qesm Al Fayoum, First Al Faiyum, Faiyum Governorate 2934302",015 57474100,Not available,4.0,58.0,Fayoum,https://maps.app.goo.gl/ecpLhFVy6XrFkkZi7,None,30.218688,31.476937,https://lh5.googleusercontent.com/p/AF1QipPZBRofKnX2RJN7NGOoPMS24IgDBAm8C8QrJWGv,https://lh5.googleusercontent.com/p/AF1QipMbYAdtFK8X58ucscdf5Y5WzWdKy4i73S69cUa6,https://lh5.googleusercontent.com/p/AF1QipO23_AMO54jcXlr4RzcRzHLN29TU3TwAXaMve__,https://lh5.googleusercontent.com/p/AF1QipMoSzRWu9W05yUCp4OI_vAH8OzpAY5rEnFLWTHt,https://lh5.googleusercontent.com/p/AF1QipP7dn4j0YBM7hW1V0FZPP_rD3VNSPLQeOl0u4Nz,//:0,https://lh5.googleusercontent.com/p/AF1QipMzKTpz_oCzifcqh5EPZK9h2u4gphbIDp9djQpB,https://lh5.googleusercontent.com/p/AF1QipNde8P9FSZoQI9F7oBSMfnburRbXkuhMkogJiul,//:0,https://lh5.googleusercontent.com/p/AF1QipO8RV6AgXcUcUszmp3GBw9K3qXzA-J36Yv4QnmX,https://lh5.googleusercontent.com/p/AF1QipM1iNQ2gU5RRK0SH0aKwHoF2r6lV4ku4wf82217,https://lh5.googleusercontent.com/p/AF1QipMNf6e32mKKiwQFZhikzOY9depP4_e3G5bc7KDO,//:0,https://lh5.googleusercontent.com/p/AF1QipMNvVBNngZ6rEHGl7WzRZw9KrBt0hUQ6JSxAcGY,https://lh5.googleusercontent.com/p/AF1QipOzbHRZdK8OapAobQPTxxDbEOoJ602PCrReLVk6,//:0,https://lh5.googleusercontent.com/p/AF1QipPi_6B6IaS-4DIFY7Dg6RHCwsLqgelxZvNLJNwp,https://lh5.googleusercontent.com/p/AF1QipMF-skQ9QdHDmvzCV9YcNNkJbt-DJAQN0OTPsTM,https://lh5.googleusercontent.com/p/AF1QipP_wGAyU5dI6XfWpdS5r9c_nuvIqlaJtEfuJVpv,https://lh5.googleusercontent.com/p/AF1QipOMC7nR1NWPgT2kaAlhmiV0AA3oUBKUuqlnPhw-,Cafe,Fayoum,Cafe
ميكاتو كافيه - Mekato Cafe,"8R7R+W9J, Qesm Al Fayoum, First Al Faiyum, Faiyum Governorate 2933184",010 06268546,Not available,4.1,179.0,Fayoum,https://maps.app.goo.gl/j83XoefEpXvSTpeR7,None,30.218688,31.476937,https://lh5.googleusercontent.com/p/AF1QipOCqMXvg8J0WQdoiMYkrL4B1WtZ5jFWhwzn5azB,https://lh5.googleusercontent.com/p/AF1QipP94VTU_N-bHmVLji9JBFncu3sF0U_g4tnO-nBr,https://lh5.googleusercontent.com/p/AF1QipMYfHy-IE3ZEmga_gOGCeH2853CbxCjMo4KnCXS,//:0,https://lh5.googleusercontent.com/p/AF1QipMtfyE4MlT0OUTjCBY3PUGi0OO-APQHykUiTH7q,https://lh5.googleusercontent.com/p/AF1QipPGEEFo5lBCoblk_DI8n9OxmhAr3akQNSLTZTgc,https://lh5.googleusercontent.com/p/AF1QipMOrxrkNPxLSifF4w0Cpcm-pSYngn6wxbwoXL_c,//:0,https://lh5.googleusercontent.com/p/AF1QipM_UpkyGW_YB67T3cZRc_WfLQF-Ys_mBvpe-h-R,https://lh5.googleusercontent.com/p/AF1QipPHry0xcgogG8vEz8kxlG9tqpdQmkvD-VVqiFWc,//:0,https://lh5.googleusercontent.com/p/AF1QipOZ-p7-iT5yhtqRzbrIjwh1tpRvCkASmKa6WiP4,https://lh5.googleusercontent.com/p/AF1QipN2C51Bj3IU_1WK7WTAHVDxcDI3Ve4QcH9nQZr_,//:0,https://lh5.googleusercontent.com/p/AF1QipNQij5ADVRP6wdkAoqe1ecGII1hSBkAEXsf99Cn,https://lh5.googleusercontent.com/p/AF1QipORUTWII-5cvlIOSmRIsekG79v3ZPgYTxuU4SoE,//:0,https://lh5.googleusercontent.com/p/AF1QipOJQGTvXA58C51ZuK8EQpbPgGZ14gxTNtHQA8Rd,https://lh5.googleusercontent.com/p/AF1QipMWVbZPU5ZpM9BMSP6w7Tz1RfjTAdVYSYIEbH_b,https://lh5.googleusercontent.com/p/AF1QipPB1rOkyjHN9Rqj84-bQ8SrVWWyfPew1SEJxYRG,Cafe,Fayoum,Coffee shop
Arabica,"Madina Munwara Building, Gamal Abd El-Nasir, Qesm Al Fayoum, First Al Faiyum, Faiyum Governorate 2934372",012 03058173,https://facebook.com/Arabicacoffeandbakery/,4.3,323.0,Fayoum,https://maps.app.goo.gl/qj9mTMNWJiGF3qZW6,"8VF5+25 Qesm Al Fayoum, First Al Faiyum",29.31125,30.85625,https://lh5.googleusercontent.com/p/AF1QipNbNW6PBwRczcDlg9Y7ig-XrXNor4XYHojp3cCT,https://lh5.googleusercontent.com/p/AF1QipMrygRy9NSAwxRH9ww6nlVstdQ4M0sfwDPJCdjA,https://lh5.googleusercontent.com/p/AF1QipMVNMre7BzmQKW6OocLmec5xtOI4vLl91P0_cwM,//:0,https://lh5.googleusercontent.com/p/AF1QipO-x-hf8ORHxq-ckpVYDkdaYJJjzb5awNlBDMyM,https://lh5.googleusercontent.com/p/AF1QipN2P7Ewz5G_q0RgFQViVB6ziR9vEWueyNFv3amE,//:0,https://lh5.googleusercontent.com/p/AF1QipNWsBrzA89OKohZqyL_RIUIk22pRR6qAUannZ7X,https://lh5.googleusercontent.com/p/AF1QipPp6qbfNHE9Qvk6fD1mOoKZRTjkaxylyzQq7I3h,//:0,https://lh5.googleusercontent.com/p/AF1QipMqGPLP_atAxMO3-uGDS5qJrJT2hnSo72pndvjj,https://lh5.googleusercontent.com/p/AF1QipNCvL6A-UttjD1p-thd4xwrUAtbcbFg5Y0Pb9Oq,//:0,https://lh5.googleusercontent.com/p/AF1QipOvqyGpSThlEXQrkIajV_yetVU32syh-4qSxbLe,https://lh5.googleusercontent.com/p/AF1QipO5SQssGVUGfWptS1bWEichJD3ANu1ZTZurGslG,https://lh5.googleusercontent.com/p/AF1QipM7iUGktptc3RLNGZGMTxvMgHv3k0W05TPhceeu,//:0,https://lh5.googleusercontent.com/p/AF1QipPolNtFHvwJDB4QeB_SwLaq_oN7SGqDSeUgXG1p,https://lh5.googleusercontent.com/p/AF1QipMBHpDraxLa-SlfmgD4XtQH4IvIzC5FRfNx-SWO,https://lh5.googleusercontent.com/p/AF1QipNUuPZ9SAxVaEPwYdSBqUzI-onmt0VM10UEvzJ7,Cafe,Fayoum,Cafe
Dark Cafe,"بجوار مستشفي الحياة، شارع جمال عبد الناصر, Qesm Al Fayoum, First Al Faiyum, Faiyum Governorate 2934253",010 18107071,http://www.facebook.com/Dark.cafee/,3.7,90.0,Fayoum,https://maps.app.goo.gl/wboZzdNTEec44BWV7,8VF4+7X First Al Faiyum,29.323188,30.857438,https://lh5.googleusercontent.com/p/AF1QipOOFMGviYp1-LXTdWBfcMAE0hH1BDdAf8WzwP5H,https://lh5.googleusercontent.com/p/AF1QipOmQOo9TZrJcs9n2BiHM42ii81uzuGghGCD7U8z,https://lh5.googleusercontent.com/p/AF1QipO4SOE_eUISZ6jMjDvF7Y1V24CFNl4skxj_8j4H,https://lh5.googleusercontent.com/p/AF1QipNzVzXLZuZFAC4GzDESbx5KBiQCJr8H-J_q2DSk,https://lh5.googleusercontent.com/p/AF1QipNc9ldnQeCTyHAP4Ptmgjz5WOYxZNlWqJvPP647,https://lh5.googleusercontent.com/p/AF1QipO7JpDeaPqc-RX0RobHFGn4J06TD8kudhqp03yP,,,,,,,,,,,,,,,Cafe,Fayoum,Coffee shop
Fouad Plaza,"Dala, Qesm Al Fayoum, First Al Faiyum, Faiyum Governorate 2934253",010 64530054,Not available,3.9,74.0,Fayoum,https://maps.app.goo.gl/ECp9yRR2fCdtzoFy5,"8V94+R6 Qesm Al Fayoum, First Al Faiyum",29.31125,30.85625,https://lh5.googleusercontent.com/p/AF1QipNpLnINvq5hTCClS6Z3Y1sAlgL8KiIn5rgELMy0,https://lh5.googleusercontent.com/p/AF1QipNG4FtLRyktHxinyvRGYKfwTxcEFuULP9Us7z0H,https://lh5.googleusercontent.com/p/AF1QipPsVjWsGy-Ygjno38g3-5TjIkzTyF-Cg9En1nHq,https://lh5.googleusercontent.com/p/AF1QipP-XkLhwfAOkLEs7NyWy08fpz5bahp7dlSDzwHx,//:0,https://lh5.googleusercontent.com/p/AF1QipMGfCGzkkJDTcXyB_zlJPQSyVsCO1L5e8JWg0O6,https://lh5.googleusercontent.com/p/AF1QipO5Ktulfon5teXexkSdm9PoACjtG-OEKY7F41yg,//:0,https://lh5.googleusercontent.com/p/AF1QipPeGTz4A-d_ilKtJJWFXzXRXrxEjykJdS0kh6SD,https://lh5.googleusercontent.com/p/AF1QipM5vrX7CU7kdBn1aEg56H-6Smtb5T3mGQSFmzZF,//:0,https://lh5.googleusercontent.com/p/AF1QipO6vgY2KWJrCYNJI1c-k-1k3VdZcMcTQCRtMcqk,https://lh5.googleusercontent.com/p/AF1QipNo2RuQB40NJg3n_8MCJLp3vDAOyiNpj_hSm3Ty,https://lh5.googleusercontent.com/p/AF1QipPUxyfiPQ8qR3r9poVT6mvHRyZ_M7Hi33Ip6sTN,https://lh5.googleusercontent.com/p/AF1QipO123Pt6ACIgb-LRGd99GDh0hQIwSbNz2AKMlYF,https://lh5.googleusercontent.com/p/AF1QipMbz6dKqaXPj42lcmXPKwiJK3p14JUSkOxerMKF,,,,,Cafe,Fayoum,Coffee shop
