Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Hekaya coffe,"67FC+2RM، كفر الجرايده - بيلا، كفر الجرايدة، بيلا،, Bila, Kafr El-Sheikh Governorate",015 53527934,Not available,4.0,4.0,Gharbia,https://maps.app.goo.gl/jATH9Tj38imL3Ld57,None,30.218688,31.476937,https://lh5.googleusercontent.com/p/AF1QipOPmjnrEOmc6Bc0lxIwJQR_IFXstzNLZZqT7ucU,https://lh5.googleusercontent.com/p/AF1QipMcQO-V6WQxF8ZpIj0lKia98Na5A909ehCEzwIH,,,,,,,,,,,,,,,,,,,Cafe,Gharbia,Cafe
Sa7eb Elsa3ada,"6983+HG9, Al Ganabea, Belkas City, Belqas, Dakahlia Governorate 7721101",010 91253221,https://www.facebook.com/sa7ebelsa3a/,5.0,3.0,Gharbia,https://maps.app.goo.gl/F3zthmdy9s7eM2aSA,None,30.218688,31.476937,,,,,,,,,,,,,,,,,,,,,Cafe,Gharbia,Coffee shop
Sikka cafe,"Nassar Corridor, El-Gomhoreya, Belkas City, Belqas",010 97359721,Not available,5.0,2.0,Gharbia,https://maps.app.goo.gl/jSqk38Y6nFczkvfy6,6984+8M Belqas,31.215812,31.356687,https://lh5.googleusercontent.com/p/AF1QipOqZ0ZlaQJvrJeN0VGQyx9EZnqHePEDtJCBXUf2,,,,,,,,,,,,,,,,,,,,Cafe,Gharbia,Coffee shop
كافتريا ابو احمد,"69PG+J5F، السماحية الكبرى، ،, Belqas",not available,Not available,,,Gharbia,https://maps.app.goo.gl/hdscWBwFsUZJZNCC7,None,30.218688,31.476937,https://lh5.googleusercontent.com/p/AF1QipMMRXXsTqxZCbY0YVXZY_whTBxg1PyfvtrymMYW,,,,,,,,,,,,,,,,,,,,Cafe,Gharbia,Coffee shop
المزاريطه,"Qetaa AZ Zaweyah, El Hamool, Kafr El-Sheikh Governorate 6945603",010 92036162,Not available,4.3,8.0,Gharbia,https://maps.app.goo.gl/BffEPWXPXkrF7Nvq7,86G5+JC El Hamool,31.326563,31.208562,https://lh5.googleusercontent.com/p/AF1QipNeoC6aLqazwt6p1fspAD9i3u7g3-qQ0zpJidDg,https://lh5.googleusercontent.com/p/AF1QipO-g4xGqXeQOG5D4LZyHKJbqtFotglrq59e6Yby,https://lh5.googleusercontent.com/p/AF1QipOyqsFCXNjUi8ysEJ4TzfTdcUnL2FyG4Y_JhXC4,https://lh5.googleusercontent.com/p/AF1QipPgs-DcnNi11hvnSQ-rZTKFu7oqleXLyQbCQyXK,https://lh5.googleusercontent.com/p/AF1QipP95wUUEtyZmzk-f_vqOe9YSvFi-40bDZHKwOk7,https://lh5.googleusercontent.com/p/AF1QipPesoFkFF-fpRlsYzsLsOL-QJ4m5nqntKl7Mo3m,,,,,,,,,,,,,,,Cafe,Gharbia,Coffee shop
Mo'Ka caffee,"6352+946, Sidi Ghazy, منشه، Gharbia Governorate 6878512",not available,Not available,,,Gharbia,https://maps.app.goo.gl/Kb2RjmU1Zu2HZn9WA,None,30.218688,31.476937,,,,,,,,,,,,,,,,,,,,,Cafe,Gharbia,Coffee shop
Cafe Chino,"موبينيل، بلقاس خلف بنك مصر بجوار فرع, Dakahlia Governorate 35631",010 00731270,https://www.facebook.com/cafechinoo/,,,Gharbia,https://maps.app.goo.gl/3T9qjhSXbaXZXQCv6,6984+FM Belqas,31.216188,31.356687,,,,,,,,,,,,,,,,,,,,,Cafe,Gharbia,Cafe
سهارى كافيه وبلايستشن,"68F8+X68، كفر الجرايدة-بلقاس، المعصرة، بلقاس، الدقهلية،, Belqas",012 07796465,Not available,5.0,2.0,Gharbia,https://maps.app.goo.gl/YzN5u9yYioRPVTno6,None,30.218688,31.476937,https://lh5.googleusercontent.com/p/AF1QipPGohYragjQCAn4jFNeuVcPAKxVmvAiIkwm1QOW,https://lh5.googleusercontent.com/p/AF1QipOQALRckSc3V0JvS81RYjtytHpZqp6WWw0K6OvK,https://lh5.googleusercontent.com/p/AF1QipPIbbYc0wxJdpa1NbEtqpAuAbp2nCIzMgRbXNww,,,,,,,,,,,,,,,,,,Cafe,Gharbia,Coffee shop
بلايستيشن بيس بيبو,"أوسكار، النصر، الحامول، كفر الشيخ، شارع",010 14051403,https://www.facebook.com/profile.php?id=100067084141343,3.5,4.0,Gharbia,https://maps.app.goo.gl/rdUHsx8C56Ua2rCS7,8563+M2 El Hamool,31.311687,31.152563,https://lh5.googleusercontent.com/p/AF1QipMxlD18kSmrbM_ZANEcaf4gJKC4ip3ukVi-kGB9,https://lh5.googleusercontent.com/p/AF1QipOZKAY7tDwzO4ss_5vvxY6D4rnglTmkVvVUC8EU,https://lh5.googleusercontent.com/p/AF1QipPjZEO1kUtfPVOXe379HhW4f79CMp8JQja2TH9J,//:0,https://lh5.googleusercontent.com/p/AF1QipOQTUiWV957N41iCclfyI5vdy0PzeWgNdEA3W8j,https://lh5.googleusercontent.com/p/AF1QipNXi0N9XLpeb4n5xLcymEUtN1bUdgmi4lqOkUIz,https://lh5.googleusercontent.com/p/AF1QipPIQEtCfdUkUBp1Efw8RIMgVPu2rcy8fX4vPmbx,//:0,https://lh5.googleusercontent.com/p/AF1QipP1tGCmPp_LgmQsX9nzcBAjSm3tmrQ5pW_vjSuc,https://lh5.googleusercontent.com/p/AF1QipNXQKd6HwfDqWeKkZGGAdHJXsXlmb-lwgPKS3NW,https://lh5.googleusercontent.com/p/AF1QipMjw4Gtv7McgSZik7chpCTR7g2MqBhrrnHZ306T,https://lh5.googleusercontent.com/p/AF1QipMf0ijkQyNO3J7CqTEj5GBIjMBW3Qjlqwl_SZJt,,,,,,,,,Cafe,Gharbia,Coffee shop
كيفى هنا- Kify Hena Cafe,"6985+C2Q، شارع الحرية، مدينة بلقاس،",010 32542955,Not available,3.6,8.0,Gharbia,https://maps.app.goo.gl/TMmiLgpBHQvKZnjg6,None,30.218688,31.476937,https://lh5.googleusercontent.com/p/AF1QipO--ZxqWQYJnNgrbO1vsf86WtV_ip70I_zSDp_Q,https://lh5.googleusercontent.com/p/AF1QipNcKMegsDRfjuP32CMmgN83dblfkFRxDJbJ_I5d,https://lh5.googleusercontent.com/p/AF1QipNRojgwQyoDoEAHhw-SMLlRy1lEwDlqU9Vz1AvV,,,,,,,,,,,,,,,,,,Cafe,Gharbia,Coffee shop
