Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Beano's Cafe,"14-16 Mossadak, Ad Doqi, Dokki, Giza Governorate 3751133",not available,beanoscafe.com,4.3,555,Giza,https://maps.app.goo.gl/eGEV25Xi7WBnU8zt7,26R5+3M Dokki,30.040188,31.209187,https://lh5.googleusercontent.com/p/AF1QipMG_8xlegxKA1eI2XWy2q6YpRg5azB5xW1JecAJ,https://lh5.googleusercontent.com/p/AF1QipMFu0Kh3Mdh2F8vs6tImk5G-mW-Wf77g2p51suF,https://lh5.googleusercontent.com/p/AF1QipNUCYzw49yeJcAqUeS73-p9rDhKm1gXCUNGHpkn,https://lh5.googleusercontent.com/p/AF1QipOoYoBhFpgFE704_XJvLHc3bm0LHkVCEdHZkwxX,//:0,https://lh5.googleusercontent.com/p/AF1QipMnl6OBO1zM0PFmr7l9Ww6LYsFJxQIezsrleFKg,https://lh5.googleusercontent.com/p/AF1QipO_DY2pUiSZBeiztkwimNc3XRZU2bNA5nKt1763,//:0,https://lh5.googleusercontent.com/p/AF1QipPIMTXkhVJJ5Qr2MwrHjaUAweZiqAPKYQoWBEep,https://lh5.googleusercontent.com/p/AF1QipNoT61GsG5YxYlORPIWy8m27JRMcnjmP8c7ZzXr,https://lh5.googleusercontent.com/p/AF1QipNskwrJ5F73ObMl3nrGbAOfO7aGpiu9pF4_9w3G,//:0,https://lh5.googleusercontent.com/p/AF1QipP3vcifoaBwOTDuUcI33uyAGIKwaJrPWzfhawFz,https://lh5.googleusercontent.com/p/AF1QipM5rTJiIiNJW2ss2nzFfIBCASxn92xzHc65RXwx,//:0,https://lh5.googleusercontent.com/p/AF1QipMPGVBYOCs3m_Ular_8PRi2OEPFIQj5q9L5DcY1,https://lh5.googleusercontent.com/p/AF1QipPY12ucdQ9Kwe3_KI8Ll1zmQyGBq-Irs_YixLqd,//:0,https://lh5.googleusercontent.com/p/AF1QipMhb3e57ghdL6d_epId2y60LgHt0TAIZZKqPFrd,https://lh5.googleusercontent.com/p/AF1QipO7-6qXfDlP6l8NM6unzTadnXlAKc0lFdUV6tY6,Cafe,Giza,Cafe
The Place,"62 El-Hussein, Ad Doqi, Dokki, Giza Governorate 3751062",not available,instagram.com,4.7,43,Giza,https://maps.app.goo.gl/N8pWnTjajqLQYDRdA,25VX+HJ Dokki,30.043937,31.199063,https://lh5.googleusercontent.com/p/AF1QipNAL81HWPOdDKwASvyt8WTrXMRd7KSXv1Qk_FHC,https://lh5.googleusercontent.com/p/AF1QipPE_iwkBKVlhOHz78uS_I0Ic4BxqwPqrcRhvutX,https://lh5.googleusercontent.com/p/AF1QipONbITlh-2s4_noV9zEXizhUM7Dwg0zvchPutQl,https://lh5.googleusercontent.com/p/AF1QipNbL1Qy1yLACz22J-lwmufb9ar34_Mnv2tqDkH9,//:0,https://lh5.googleusercontent.com/p/AF1QipOHUC5UEmNp2xn92ILM48ZgbMkIegHVMzl5CPUz,https://lh5.googleusercontent.com/p/AF1QipPnJBDWnLSsYmQdepGMM1MUuzQBUTudfDBtcgWr,//:0,https://lh5.googleusercontent.com/p/AF1QipPvTylWb-iwZbobiMJnjI1ExXrQ4OGo1OynGB0l,https://lh5.googleusercontent.com/p/AF1QipP8XBqI15kk-vsWH260OfAIXXWmznhzpXHg1nqQ,//:0,https://lh5.googleusercontent.com/p/AF1QipPv4M5SYUczlzNhevKsWwauySGK9KjLeDC9aGzu,https://lh5.googleusercontent.com/p/AF1QipNAU6U3lK48Y37q3rgenr5a-P66o8pdZL4QURA,//:0,https://lh5.googleusercontent.com/p/AF1QipNsuQilOgPdpt7dWOry8nBH_sdnOqFqcDz-kSn1,https://lh5.googleusercontent.com/p/AF1QipMC0Q7y3FLRqOEd6WO_PJEe5FAdo8r3Acu4vvOK,//:0,https://lh5.googleusercontent.com/p/AF1QipMKcMJE9mFfMKFn8dgBc4KzvmOczNL6XQaUfrX6,https://lh5.googleusercontent.com/p/AF1QipNyMumQHlWH9z4eP45EoMcdjw2UP19qlWtp-p9x,https://lh5.googleusercontent.com/p/AF1QipPR_lotYLRY1rVAZUu7oWzDBzyQuJ0sUXRN-PI,Cafe,Giza,Coffee shop
Geo Restaurant & Cafe,"30 ش الاسراء, Lebanon, Giza Governorate",03 3455342,https://www.facebook.com/Geo.restaurant.and.cafe/,4.1,815,Giza,https://maps.app.goo.gl/wAaqzE3se31gPnfH6,355V+HP Agouza,30.058937,31.194313,https://lh5.googleusercontent.com/p/AF1QipPfZEL9kjEnU0EWGQ-YYgTzkLYvjLDjqOvPhEQ0,https://lh5.googleusercontent.com/p/AF1QipNOvLJ6runyCQMs9y1Mq1GG8Dfl5FeMlXaH6NJC,https://lh5.googleusercontent.com/p/AF1QipMirGSUWXCLroYYP6YBi-Mp7KuTQSS3iKfUts1w,https://lh5.googleusercontent.com/p/AF1QipPGHAcQeennl2UTxzIRwxMCm2aDyziht1PJQGFY,https://lh5.googleusercontent.com/p/AF1QipMjatEnstm0Zu3Zpt7VWASP_mTX0Z1hkRABqTJs,//:0,https://lh5.googleusercontent.com/p/AF1QipPkBp1dO4BbZVkh0nQZ3c8OF4I6fDM9l_tSmGXW,https://lh5.googleusercontent.com/p/AF1QipNaMj8QxW9jyOE0KCKDMTahteRNwkZf6ry2fck3,https://lh5.googleusercontent.com/p/AF1QipPGeAYV5Dpa5FLpBx7CSRwv0hmbDH-c-m5-TidQ,//:0,https://lh5.googleusercontent.com/p/AF1QipO_ieGieoEhWld7_IwzVt2aFUYmO2enwUmuVNtM,https://lh5.googleusercontent.com/p/AF1QipOBuPWsuaekB9bsuIPGmWQ3j7XyC63qg-hVrhCs,//:0,https://lh5.googleusercontent.com/p/AF1QipOOB1wkHjnYxrkUfiO17r8aMdzCURX9VnFy4FOl,https://lh5.googleusercontent.com/p/AF1QipMj-AFqMfkHPSy0LxkrD3AyPxpQ9IK0i48WNVec,//:0,https://lh5.googleusercontent.com/p/AF1QipMEv0JQ85LbTNTQ2BjQP9l097DgbRKQq6ZFH-NZ,https://lh5.googleusercontent.com/p/AF1QipPIxjVuSOTwhwyzzeYn6kahHiCNYR7eFJyb4WzU,https://lh5.googleusercontent.com/p/AF1QipMcAaYuViymZNsd7UEPGxF9KWGpkUXH5T2j032-,https://lh5.googleusercontent.com/p/AF1QipO76gS1lh_c3eXPlyG4j7joBG5IB9okCUJKEQ-I,Cafe,Giza,Coffee shop
cafe sara ziyada,"126 Abd El-Fattah Azam, Rabaa, Al Giza, Giza Governorate 12211",010 66544870,Not available,4.3,8,Giza,https://maps.app.goo.gl/sjo7UrqczTubymob8,2626+4G Al Giza,30.000312,31.211312,https://lh5.googleusercontent.com/p/AF1QipMtrZoHhBloDR7eq_PqV6Q14MNmMeewsbqrEvM,https://lh5.googleusercontent.com/p/AF1QipNJKkziFEECdqFj0grgNmgnzZfwyuWZWsi8UQI,https://lh5.googleusercontent.com/p/AF1QipNwxzRGaFyL-qr_v7BnzKDFHWwxVIWJbhNoeIA,//:0,https://lh5.googleusercontent.com/p/AF1QipOdkfgaIthaUYY_dGlbBU4otZUoF8ziZmbkcvQ,https://lh5.googleusercontent.com/p/AF1QipML36Fo9DAdYH4XZ7JMTw765kvjh7QCIp0PQNY,//:0,https://lh5.googleusercontent.com/p/AF1QipMey2rM7vzzDvWfkcsRbK_dqZB_wLqEE_QVFu4,https://lh5.googleusercontent.com/p/AF1QipNhx13jHzSH0kU9R8_FmYJGKeTulNy5PzXTqPM,//:0,https://lh5.googleusercontent.com/p/AF1QipOQJO1IcKGo-wUllch9Dr7ngTl31eZpoBLe-xg,https://lh5.googleusercontent.com/p/AF1QipOhd8Y9h2xFsa5d_vRxfM2NzFbj87-NjiSEDD0,//:0,https://lh5.googleusercontent.com/p/AF1QipM73351yxghW8CC2AWOp8CeEC69XdNNIz3fnuM,https://lh5.googleusercontent.com/p/AF1QipO8QmIeBr753cyvRtMuMugPOzcy1IqBSybme34,//:0,https://lh5.googleusercontent.com/p/AF1QipOi6ZqD-hzpryGtwx3aAzNF_QpfYG4RlrwS36M,https://lh5.googleusercontent.com/p/AF1QipOeUwWDDUFHKgs2KuajZ9DW-Zjh2AKyNdOD4ck,https://lh5.googleusercontent.com/p/AF1QipMiuut3d4EFD87MWpY9-Xs_ECeJv5t-YauiCjw,https://lh5.googleusercontent.com/p/AF1QipPc5HexY2zg4ToiRQfi3O8eKA54S5E3aV6e1bA,Cafe,Giza,Coffee shop
Strella Coffee,"26V6+4GM, Ad Doqi, Dokki, Giza Governorate 3751255",not available,Not available,3.9,62,Giza,https://maps.app.goo.gl/rQdmoReGnhEenZh1A,None,30.218688,31.476937,https://lh5.googleusercontent.com/p/AF1QipMtIV8B30SWVXiLNgpI0wenBPayxzL3MIeDvNU,https://lh5.googleusercontent.com/p/AF1QipNufn5ngk4TJXWzVX3OOuAnk9zRbcGJPEi7QzN8,https://lh5.googleusercontent.com/p/AF1QipM742KiplsO9f5zk5c5CZEYqkiQCJ8B6ul3mtqz,https://lh5.googleusercontent.com/p/AF1QipP677Kowz9LqYABiZu6Ur_vKo5oC88sZNqz_3w,//:0,https://lh5.googleusercontent.com/p/AF1QipMkPQY9exrxj3ndbSR2LRn2wWbReNtUeQIweSTb,https://lh5.googleusercontent.com/p/AF1QipNrUuJ-CH7wueVo89xZzOGGbDSwXIHvJIgvd203,https://lh5.googleusercontent.com/p/AF1QipM_bF7o2xyktruA7dW-JrgJZzqZJqXD05wgsjYK,//:0,https://lh5.googleusercontent.com/p/AF1QipOOYackW2-TJQXNLvpGGCiM6cGZNhEgQp9ZqT8,https://lh5.googleusercontent.com/p/AF1QipPbu_W0ABmvlDhZ304jJ2xXq7MFPJlsa3dOUho,//:0,https://lh5.googleusercontent.com/p/AF1QipMz0andyDTqWJLOqvZRauJqDkylX4kZMBRMJmMz,https://lh5.googleusercontent.com/p/AF1QipPEthXzmDJjEMJ3EMLGlUE_4cnCoSxpXSIp0gk,//:0,https://lh5.googleusercontent.com/p/AF1QipPuxYUcBErl0qbU01hNY7ggsopf7RHmJJPkTLoq,https://lh5.googleusercontent.com/p/AF1QipOaDHB461av9dkeU2m1t5smxRirSLebtXHgMszg,https://lh5.googleusercontent.com/p/AF1QipPcEvVwrFWI26OuDMik_xhNV_YVQOKIgc6A-5Tu,https://lh5.googleusercontent.com/p/AF1QipMUo0j7SYsFRyu_jeKMtAMWu5tmWLlZCsqx91_m,https://lh5.googleusercontent.com/p/AF1QipO-KygZLpUhR8IB7TJitc2t1oAXApa4f69fFr17,Cafe,Giza,Cafe
Tak3iba Cafe & Restaurant,"El-Ansar, Ad Doqi, Dokki, Giza Governorate 3750020",02 33352158,Not available,4.0,230,Giza,https://maps.app.goo.gl/Hh9CUy4We73WnhDd6,26M2+2C Dokki,30.032562,31.201062,https://lh5.googleusercontent.com/p/AF1QipOv1YTDknZcdQ3vxc-UX0JTQagM_6eTrXfkafii,https://lh5.googleusercontent.com/p/AF1QipOcyjeLs5GGm0RRyFvY_dktNdtqjPQtp_yyIXlG,https://lh5.googleusercontent.com/p/AF1QipN2bmfK3a465KbimjO802CYYfclMCTq5oIjcJP-,https://lh5.googleusercontent.com/p/AF1QipN1Bq5TrvI8HmvgjtdaWbaxruPsiOqn2eCq1nQk,https://lh5.googleusercontent.com/p/AF1QipO-gvAqkDHsmRJMuV1xOQjLSBcYq8Meha-T55CN,//:0,https://lh5.googleusercontent.com/p/AF1QipM4zFb7_tIoc_A5ZXz6DFzGY59WsCBqtzojIfsx,https://lh5.googleusercontent.com/p/AF1QipNX4-6z77mwT7myK3GZNA4JSuFETj-orrSi9dLp,//:0,https://lh5.googleusercontent.com/p/AF1QipPLmDk9N3WGslM71MH-M3yUVpe4aikVD2WEeDsY,https://lh5.googleusercontent.com/p/AF1QipMrYuCh_7GE-cDWHHtPbhXfSQq1B7AaJqu3K6o5,//:0,https://lh5.googleusercontent.com/p/AF1QipPWSRxc_8Sw9Qv_Ko3vO2OOZ4x1pU660hL0krts,https://lh5.googleusercontent.com/p/AF1QipPjU7TlGvsrEROjNgynYzX5B6L-FDoduizngOUU,//:0,https://lh5.googleusercontent.com/p/AF1QipO2QotYjCm67DewGOeDrkc6ZcahCDviPJ6CVobU,https://lh5.googleusercontent.com/p/AF1QipOh-NdIPpBGUv4SGQ8KT_UsjzL-LcxARh3be5_l,https://lh5.googleusercontent.com/p/AF1QipPSBkt_Wa4tst0YAnQWKxVWdptZ8MSKErd6hKwE,https://lh5.googleusercontent.com/p/AF1QipNVnWroJIx5svvdcmtGc_Hf305j2jU7mU-iCakP,https://lh5.googleusercontent.com/p/AF1QipMtQ-J_CDigK7m1SJrdUEFYUNv9rtq5qt4CqVri,Cafe,Giza,Restaurant
Nile Cafe,"Gamal El-Deen El-Banna, Kafr Nassar, Al Haram, Giza Governorate 3550144",011 40074695,Not available,4.3,487,Giza,https://maps.app.goo.gl/AqHndgsyvAEEaAdM9,X4WV+3Q Al Haram,29.995188,31.144438,https://lh5.googleusercontent.com/p/AF1QipOwIiBZkf2dkE5qZwt8q9K7qMBgTLlGTL9diiJO,https://lh5.googleusercontent.com/p/AF1QipOy6FYAOEh4aT6c_SXxPD-A0SmIEVe-tKlEL4Rl,https://lh5.googleusercontent.com/p/AF1QipP5Rq4Gc81msHb6uiweIIJwXLTAMxLrkdq163_c,https://lh5.googleusercontent.com/p/AF1QipNDDEGX5jGCgc9Tl1Ok7awjijwY3vgLYNq2Emwr,//:0,https://lh5.googleusercontent.com/p/AF1QipMypNSsr7Qw7QRLisPB_6CWeqRJMvOFGkbPqutu,https://lh5.googleusercontent.com/p/AF1QipN5iPEgiDLEsh0pfrw8cNG-2jkobZPi7RkHj0S2,https://lh5.googleusercontent.com/p/AF1QipOeTy_e76-0aEge7Qo-fvDxPTa4NMhyCL0KeuHe,https://lh5.googleusercontent.com/p/AF1QipNJbrKhf4ReoCzqpOo3mOn6tIUNvYw9Nt08L16f,//:0,https://lh5.googleusercontent.com/p/AF1QipOxUQcHl6gmFnVNL0Mw_ZQFPGBeoNplT1low7AI,https://lh5.googleusercontent.com/p/AF1QipP9DfBwFza7H6E4n-eNijFqRVuUS3cHJVTUWFrA,//:0,https://lh5.googleusercontent.com/p/AF1QipMHOGUfEmlCxCAiIsCXbZWbmplNcjUvjef0GOqT,https://lh5.googleusercontent.com/p/AF1QipNsdXGEAZfyG1nql2ALnzQo1D9z6NnRTlGMxaID,//:0,https://lh5.googleusercontent.com/p/AF1QipM3M8hpuPDx-s6D_-5n_bLVNkUBAshj3FvklXJY,https://lh5.googleusercontent.com/p/AF1QipP2_nCbTFYSe5ttn6dqw-jtWJyqtRc3O9cNuiAr,https://lh5.googleusercontent.com/p/AF1QipNghFImgqtnkdegV3v-B7EIHbcW37Wx0IE6y4X-,https://lh5.googleusercontent.com/p/AF1QipMdTaUox_-vND3mgI5tSdKoOvoxJt4-qvqhyEpJ,Cafe,Giza,Coffee shop
Tabalina Cafe,"14 Abd El-Aziz Selim, Ad Doqi, Dokki, Giza Governorate 3751320",011 14422881,elmenus.com,4.2,194,Giza,https://maps.app.goo.gl/Jm2uwEMXKgVzHZtH7,26X4+F2 Dokki,30.048687,31.205062,https://lh5.googleusercontent.com/p/AF1QipNR6j0m1MdV2wAoFD4cdNSbgCTyCJS6R9-5fOUF,https://lh5.googleusercontent.com/p/AF1QipMyd-yOqkR-9FoOFPzrpF6Gveo_WD-mm5pVOqAj,https://lh5.googleusercontent.com/p/AF1QipMGd-JNupgkA59s7X3sxtkt_4C5jMjgvVGpSF3g,https://lh5.googleusercontent.com/p/AF1QipPqNvA8aQsXZpi_JuF4d0C0b1O2v9IJw8zaBgPK,https://lh5.googleusercontent.com/p/AF1QipOMQOC-G05s7wyRvT7hNafyPHDQr6wFhAA-BL-K,//:0,https://lh5.googleusercontent.com/p/AF1QipOyhzIQ0SXSM9csbLVo9DPUscW7Gxt4ubRtY1Ku,https://lh5.googleusercontent.com/p/AF1QipOF83BZdw1i-AJKH1p3QpH4tJo6ag7pX_bQlGXU,https://lh5.googleusercontent.com/p/AF1QipMIBQ9eHANF4kJlgbvK9rAeL4RVsghXbf_ZO841,https://lh5.googleusercontent.com/p/AF1QipNnNXuHLex2oUdXfCZxqc3u_Mtlak0ZIbsIOgaG,//:0,https://lh5.googleusercontent.com/p/AF1QipP3HzcpzmGnZit-9VqEwsakTCIUxz74k49Z4Ffs,https://lh5.googleusercontent.com/p/AF1QipNSKDdxC_zZDwYYx7hfu78o2BxV_3umBP2ahAH4,https://lh5.googleusercontent.com/p/AF1QipMBS_Vjfd3qZdCYKueiBpI44uDaH-u0vTCtOnRp,//:0,https://lh5.googleusercontent.com/p/AF1QipPBE7zcUdeUoqYWVWhorYb65ernExgDM0kj3MlP,https://lh5.googleusercontent.com/p/AF1QipOTAIARJD7nn9LD1qiQAkCyPO7y5CAmniiYS2AE,https://lh5.googleusercontent.com/p/AF1QipPZAfm816w3YOsQAvYQjR71_M7u99NPEMWxEzi9,https://lh5.googleusercontent.com/p/AF1QipMorJS88UspitiAJsJUEa9j1dBfpaAK4arWbHba,https://lh5.googleusercontent.com/p/AF1QipPxze9zWRqUubL7ihedlrqti-djIuuf_qLVFIsL,Cafe,Giza,Cafe
Second Cup Mossadak,"26R6+666, Mossadak, Ad Doqi, Dokki, Giza Governorate 3751134",012 22327885,Not available,4.2,666,Giza,https://maps.app.goo.gl/1FuDgdmyk9EJ9H5C9,None,30.218688,31.476937,https://lh5.googleusercontent.com/p/AF1QipP7Y2s9auN2Vt5jSA10KwUMGbRvyGlZXb6eTXHN,https://lh5.googleusercontent.com/p/AF1QipP5mvDaA1udsZPNbNRILlQAlI--3wEEkNy4A5EN,https://lh5.googleusercontent.com/p/AF1QipM0DdgIOvsvqpcX3yH9wSbve-wgaZMx5kUXBPVi,https://lh5.googleusercontent.com/p/AF1QipMztEyWCO9UN6cMQXxuHOKpjHpSWtihgwJVtxUz,//:0,https://lh5.googleusercontent.com/p/AF1QipO5QPm-HQJcRUaqxX-LK31s_8LnPfKFxQniGA9Y,https://lh5.googleusercontent.com/p/AF1QipMMGnzkn-fJf5Bk_Omg0i3bpLWRnOyNJkYetEeX,,//:0,https://lh5.googleusercontent.com/p/AF1QipMNcA1D9JpERHqiI9dXnlSz1mYsPvwQ9Kiyr08w,https://lh5.googleusercontent.com/p/AF1QipOJaqTs8_Qrk17m-NUU_p7TFHFJRwrHXFXtlCbk,//:0,https://lh5.googleusercontent.com/p/AF1QipMQRx7XtoTxr0TLQtkRc6_kwkYVftZZMzdDVXZy,https://lh5.googleusercontent.com/p/AF1QipNJYbCTYZC0XGy4igVb_pUJeWYCEheclWMiRG3_,//:0,https://lh5.googleusercontent.com/p/AF1QipMWwyScrykLV1gayOrYcMV81lP13HiSpSU6HIfD,https://lh5.googleusercontent.com/p/AF1QipOMS0hXU-5xoLuWiDAVe4Yr9EdKyDnRtpwMbzvM,https://lh5.googleusercontent.com/p/AF1QipMHro5qA-rrTBAVmNYkdj67R354uZBdjUaaNnz7,https://lh5.googleusercontent.com/p/AF1QipMBRVug3-R2KEG7chersI3WsHqSC3ib3NeNIOFt,https://lh5.googleusercontent.com/p/AF1QipNXLDI8wJBm8qlWuqTy9Xzb0c9cvt6OWh5i9s3s,Cafe,Giza,Coffee shop
Dialogue Cafe,"56 Lebanon, Mit Akaba, Agouza, Giza Governorate 3752402",02 33421018,Not available,3.9,276,Giza,https://maps.app.goo.gl/dwnQaD7oMYYJawqh7,355V+CF Agouza,30.058563,31.193688,https://lh5.googleusercontent.com/p/AF1QipPoR034cBm9QoOjAKZkFxBK5o8wlUQgBg0j2lhm,https://lh5.googleusercontent.com/p/AF1QipNeosRIs4Ame9EHn2mYbYvRXp2v0igcRe9mVPCI,https://lh5.googleusercontent.com/p/AF1QipNU75Lctq70ZCj_R3X3SssnE7DcGbEmHVuBZpDa,//:0,https://lh5.googleusercontent.com/p/AF1QipMY-XU58RzhWYVW0DK_oQuNvAreZXzfCQD_cMqi,https://lh5.googleusercontent.com/p/AF1QipMMmVnOxC2H9H7bgfhMQ8TWFiPYmoGd4RRXMdz-,https://lh5.googleusercontent.com/p/AF1QipOBxIFNWm6VDnb0iHi7tyS3pSqkN8x-2U_-qAZK,//:0,https://lh5.googleusercontent.com/p/AF1QipMHpT9KmKLgTne83zRe9b2OSfOmZuXUz1yHdgQI,https://lh5.googleusercontent.com/p/AF1QipOaNtqwQHnZd1b9gP0Uiyfyoy5G53SmJoR5QXM,https://lh5.googleusercontent.com/p/AF1QipOgvc5jKEz4E4rsggfc1DpFzdt35ywVZJgJ1AlK,//:0,https://lh5.googleusercontent.com/p/AF1QipOdSXrjZZ137weocqDnG4O8uqo10-mdZFeCd1pT,https://lh5.googleusercontent.com/p/AF1QipNmEaXUOW2kFW61A0OxQz-GVt5o26IaXhO2zW3e,//:0,https://lh5.googleusercontent.com/p/AF1QipPMK8BOOXwKaWcndyoHm8gl7TwbTToJz9zuJ_T_,https://lh5.googleusercontent.com/p/AF1QipObX53s_eKDVHO3sDIQyIiu_oZZ-UzwSfSdGnnE,https://lh5.googleusercontent.com/p/AF1QipP8CEng9LvLk5TGoKN0SN5QvfoibGUoxuxdwOek,https://lh5.googleusercontent.com/p/AF1QipNRuS9oFmXVCfMHODbnDAVFZudOwKtQmyq_8Ml8,https://lh5.googleusercontent.com/p/AF1QipO7atuafu9IGHz_30KP_khTTi-2kMLoXiXWRkeS,Cafe,Giza,Cafe
