Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
FRÍO Café,"Shbeen st El Sheikh Zayed Ismalia Third, 41511",J73F+VG Ismailia 3,Not available,4.4,437,Ismailia,https://maps.app.goo.gl/qBHV6HhVv1NG7UNa7,J73F+VG Ismailia 3,30.604687,32.273812,https://lh5.googleusercontent.com/p/AF1QipPZe02KAWzzu4FeA_XdNKOYwzOLn_wt_D4mWZaE,https://lh5.googleusercontent.com/p/AF1QipMHh5R_cs6Yj6QOBusb88VKZvNQBkQG0o5B7hBU,,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipN_TmhVLzjhWlsPKhK8ICcvHWfvLytXYfjWyZKe,https://lh5.googleusercontent.com/p/AF1QipMuKGl-izSDnyCbNJuDtN-v2bFKfyQaGTOIXU1Q,https://lh5.googleusercontent.com/p/AF1QipPwhoOU0nky_2yFYYqKVU3AOIKJ9_tT7QtyBrv2,Cafe,Ismailia,Cafe
Noi Café,"J73F+P2M, Nasr El-Deen, El Sheikh Zayed, Ismailia 2, Ismailia Governorate 8363641",not available,Not available,4.6,178,Ismailia,https://maps.app.goo.gl/qe5eG1fwuveB6mqp7,not available,30.604937,32.272688,https://lh5.googleusercontent.com/p/AF1QipM3MQA4Ggs9bNZpqrP5JGO6Tb6kY4Yi4g5AOLxn,https://lh5.googleusercontent.com/p/AF1QipNtWkBnVhtTqssVzT_1-v9tPHaJLFIP-YSJM8n2,https://lh5.googleusercontent.com/p/AF1QipOkvKd5YZEnEMQrH3xf_3f8cnUOu0r0WiAt9r77,https://lh5.googleusercontent.com/p/AF1QipN7gknOdOD-cihjZSxbEQ9w12pN3WukfmNj3KCE,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMEk3m5pf7bNsowuWfH1aTEtAUknJKzSaUn8-y4,https://lh5.googleusercontent.com/p/AF1QipPVk7uNyyZHr6mM_M2N7EJxFLdyR4qxT_suF1SQ,Cafe,Ismailia,Cafe
STOP cafe & more,"El Sheikh Zayed, Ismailia 3, Ismailia Governorate 8365122",J75Q+J2 Ismailia 3,Not available,4.4,22,Ismailia,https://maps.app.goo.gl/wP9UfTHy2M6jQ2bK9,J75Q+J2 Ismailia 3,30.609063,32.287562,https://lh5.googleusercontent.com/p/AF1QipOiQ83PuixPzruhn0G2gY0l0cev_Ij_N19NMSAl,https://lh5.googleusercontent.com/p/AF1QipOzRXYPCMDLv2hmSYnes7nJ-BFZ0ZrGycmOl9BL,https://lh5.googleusercontent.com/p/AF1QipMdM0NXDwWizHUymtseIlSF9_TLdu5XsbcIjM5A,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOuq16eAzEdFsGUxczPSo0a8_zMPtwBoczwpnSj,https://lh5.googleusercontent.com/p/AF1QipNeMTwccguROMyup-tLj7cpZWRvaySd0ILLZcRL,https://lh5.googleusercontent.com/p/AF1QipMZaILzED_TeL9qfyTsnHHPAJN7wJ0AI6tlT943,https://lh5.googleusercontent.com/p/AF1QipM9nhoGbTGsZL34d1CM0XUFeExVCQ706Og0AMDu,Cafe,Ismailia,Cafe
Fi cafe,"Fi cafe , El Sheikh Zayed, Ismailia, Ismailia Governorate 8367410, Ismailia, Ismailia Governorate 41516",010 14946878,https://www.facebook.com/profile.php?id=100086290616120&mibextid=LQQJ4d,4.8,12,Ismailia,https://maps.app.goo.gl/jgjiWzjinHbecHTh6,J76X+9P Ismailia,30.610937,32.299312,https://lh5.googleusercontent.com/p/AF1QipMzu0u_zisV7dCIsRoqtD3Mn90q1zMFf16MCiZP,https://lh5.googleusercontent.com/p/AF1QipOnP_0ZzR3mawZ2PIfGJhVcbJvp1_qULJ0xkQLP,https://lh5.googleusercontent.com/p/AF1QipMDJbeIg53fqXQKxnnPcuM9uqAgmptTMXU4Xysk,,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNrJGPszHWljH9n1UYE3L3BAN9l9-N83XiarcGZ,https://lh5.googleusercontent.com/p/AF1QipOg5c7jWMDy9kECifpedROKU9tWhXiG_jOyZYUi,Cafe,Ismailia,Coffee shop
SEO CAFE,"J79Q+8RM امام ابو عماد, السابعة ارض الجامعيات ناصية الابراج, El Sheikh Zayed, Ismailia 3, Ismailia Governorate 41511",015 54322191,instagram.com,4.3,47,Ismailia,https://maps.app.goo.gl/knGYe2zrrfaYxsqK7,not available,30.617812,32.290563,https://lh5.googleusercontent.com/p/AF1QipPqxqyqczBufSyB0MhEXej8ipX6tEe42K_Kakhu,https://lh5.googleusercontent.com/p/AF1QipMHZt7hliUwrGiOlGpPtN6rcpi2GiSbnMffA9-D,https://lh5.googleusercontent.com/p/AF1QipOYLQHgFsrKvb0v4z2cipWCJJLpFJRHWmhuDaRu,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPSUOuXBlCe9BwVM6kxBW47XBIBF38c1senlw6v,https://lh5.googleusercontent.com/p/AF1QipO-By4lAh9vwSt8O_NRVF7gy-UAjwV81xU8UJb8,https://lh5.googleusercontent.com/p/AF1QipMf6ik45x2ij_YctoVLwkrw94bAbYPxqku7j8TC,Cafe,Ismailia,Cafe
Flavor Cafe,"خلف نقابة التطبقين امام حديقة، الطائف, Ismailia Governorate",J72G+67 Ismailia 3,Not available,4.0,43,Ismailia,https://maps.app.goo.gl/FfNGYtVhy5s6s9yg9,J72G+67 Ismailia 3,30.600563,32.275688,https://lh5.googleusercontent.com/p/AF1QipOshMubHOUEiHk89VLTm-3syl4dNQgfGfdNJKW4,https://lh5.googleusercontent.com/p/AF1QipNkwnt8-ouPxLg7eISN72eBty1JYajiRwMkFWRr,https://lh5.googleusercontent.com/p/AF1QipPgjBr3JGjfctRRKLS08i8saKESfY0NLc5SoWHP,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOJ6FlCgQCeslmmPsx3sABiXHge_w8niqrkXKYR,https://lh5.googleusercontent.com/p/AF1QipPD7VJGMmPZBT1k0pAMYml6fuuPyvfmkvA0OPpS,https://lh5.googleusercontent.com/p/AF1QipN4MnVDBHGfC_DkDeWvxHfOJRrUFhYBpxeT476z,Cafe,Ismailia,Cafeteria
Sebrtaya Cafe,"H7WH+44F، بجوار السلاب للديكور وبركة للبصريات، شارع عبدالسلام عارف، اخر طريق الكاكولا, Ismailia Governorate",012 11137979,http://www.facebook.com/Sebrtaya.cafe.dessert,4.2,376,Ismailia,https://maps.app.goo.gl/eAPMhzc3a6A5fatr7,not available,30.595188,32.277563,,https://lh5.googleusercontent.com/p/AF1QipPr9DWcZnJNCgteAWR00RKJavObGOgDB2byrYJd,https://lh5.googleusercontent.com/p/AF1QipPL9gYy2bneAnV786pjfxRpR-cTH5yKqdNJAiGP,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNisaBisaSwsKR0tMPDW5sNyNtrszTp-gK80uDi,https://lh5.googleusercontent.com/p/AF1QipP7roOmBbi9IOLdXKx_5i0Qo1Jsp2YzYiia0ElY,https://lh5.googleusercontent.com/p/AF1QipPly0vMzAM5FH9WQdowwMvZqKYIHQvxaqpNY7s,Cafe,Ismailia,Cafe
Urbano Cafe & Restaurant,"El-Shaikh Zayed, El Sheikh Zayed, Ismailia 3, Ismailia Governorate 13176",J77G+78 Ismailia 3,https://www.facebook.com/urbano.eg/,4.2,714,Ismailia,https://maps.app.goo.gl/nQ4WhyE2FEy1ahzNA,J77G+78 Ismailia 3,30.613188,32.275813,https://lh5.googleusercontent.com/p/AF1QipMa7j1pTzTp-KXZJTXyrM4reFQqhLtp6FwQL5C3,https://lh5.googleusercontent.com/p/AF1QipOPbgU7xu3CnpgHYqt8DqoYdccN3l3ws5xuHN9M,https://lh5.googleusercontent.com/p/AF1QipPFXoP0HGqBPljEVNarU8lKM0k8HzwuO07UPmh2,https://lh5.googleusercontent.com/p/AF1QipP8tfWik5U0hPnXYestG3hDZRfQXaGvUdY_9EJ1,https://lh5.googleusercontent.com/p/AF1QipOAzoqQmcCiB3u4W6e938nllnEghJKhv1mrRC6t,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMO3Pd8GJrrtIe69KDIj_sorzBd5ezAjeWKqQcV,https://lh5.googleusercontent.com/p/AF1QipPM8s5ofxu5k679sqSNT0ngIqQXn7o5xPjKlIrZ,https://lh5.googleusercontent.com/p/AF1QipOK7xx51rVvjLxl6HqksqbI8Q6OHuNixvix9rpK,Cafe,Ismailia,Izakaya restaurant
"Mercure Ismailia , cafe","H7MQ+X2X, Al Temsah, Ismailia 1, Ismailia Governorate 8361101",not available,Not available,4.5,11,Ismailia,https://maps.app.goo.gl/anxt32JLnWKCFFRj7,not available,30.584938,32.287562,https://lh5.googleusercontent.com/p/AF1QipM1JIGvO7VxROUiJ5Bzp7RBeBhNb0MYkasyfLsg,https://lh5.googleusercontent.com/p/AF1QipMJpCo5GFSBJyyE94RE43pHvXELl16jjRIQyAOj,https://lh5.googleusercontent.com/p/AF1QipPc8CH47fFoK8kaYBVM-Ugri7Par8otWEWzCvu-,https://lh5.googleusercontent.com/p/AF1QipPc3kjt8OOj4XIykq-ildQvdvK0WdHDf_8Zvn-e,,,,https://lh5.googleusercontent.com/p/AF1QipMR2FCu-91UqOw8CGyAzhb2s8xJPaBhoI71zZXW,https://lh5.googleusercontent.com/p/AF1QipPexzq1EPVV8xunqofhNAKpIgjeAZNA5JVlR-ls,,,,,,,,,,,,Cafe,Ismailia,Coffee shop
le café crochet,"El Sheikh Zayed, Ismailia 3, Ismailia Governorate 8367414",J872+CP Ismailia 3,linktr.ee,4.4,234,Ismailia,https://maps.app.goo.gl/PfECneRxUFFX7fst8,J872+CP Ismailia 3,30.613563,32.301812,https://lh5.googleusercontent.com/p/AF1QipOBlWf46Zb_R08PfQCDBXHcG-SfvaTEOaU2lDf7,https://lh5.googleusercontent.com/p/AF1QipPz1-NwYap_gAZxbIC2dWyPxYYygWVTZJoKn3h0,,,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMSoX4XWrFWcxcpzxVGKoqzKmEsSOuM-dXoKt_G,https://lh5.googleusercontent.com/p/AF1QipMnY3Y8nX0fFKZK5Y-o78siawxhg6sfphv0_pis,Cafe,Ismailia,Cafe
