Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
ANDRIA CAFE,"4X63+C3X, Qism Kafr El-Shaikh, Kafr Al Sheikh First, Kafr El-Sheikh Governorate 6860427",010 08646414,Not available,4.4,40,Kafr El Sheikh,https://maps.app.goo.gl/ksFicgsDsdL3H9t67,not available,31.111063,30.952688,https://lh5.googleusercontent.com/p/AF1QipMToi1HXvDltyaD_xvd2_XKClwm8v2wLw7h-SW_,https://lh5.googleusercontent.com/p/AF1QipOywExDIoEfgGSyY-vr6wij01DRsg3y5pqK7UTh,https://lh5.googleusercontent.com/p/AF1QipO1d5jnw4VBhh9yX9t371Lgr828OFkrxuC7qCAI,,,https://lh5.googleusercontent.com/p/AF1QipN9KqbeoMRP9B8HUSqb1nLbnAMSnoPxTcztIC1F,https://lh5.googleusercontent.com/p/AF1QipN_ke7HXLLTWqa8Bm4dXarhTsQ1C2HSbA9F47hl,https://lh5.googleusercontent.com/p/AF1QipPcffXFD4FfpPb-jcnAELq4iwWvDOletno3rToI,,,,,,,,,,,,,Cafe,Kafr El Sheikh,Coffee shop
Bellissimo,"4W6X+7MQ, Qism Kafr El-Shaikh, Kafr Al Sheikh Second, Kafr El-Sheikh Governorate 6860530",not available,Not available,4.4,25,Kafr El Sheikh,https://maps.app.goo.gl/qGfpSj6Pdc992f19A,not available,31.101250,30.933750,https://lh5.googleusercontent.com/p/AF1QipPCyxtZ-78sc7duoFVX3vHrd6WB2sSNILCQkrXC,https://lh5.googleusercontent.com/p/AF1QipMVTBWxKxTReevc7tVbABhoXEorsEQb2z9PxxcS,https://lh5.googleusercontent.com/p/AF1QipNbMhH9B7uEMF_-Ui4l05HmepH1HfhUOwpOWjiI,https://lh5.googleusercontent.com/p/AF1QipPRvtESH5eWzK4PPzffmy4gnzgpQZ6NsEAaNiAE,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMcSYl3mmpTBP9jcspQg8ux8vY5m6qViFtag13P,https://lh5.googleusercontent.com/p/AF1QipMA9vccM-F16Yr5IfmQPhsl0c735dy7ia7S55ro,,,,,,,Cafe,Kafr El Sheikh,Coffee shop
Old Street,"عمارة 21 El Khalifa El Mamoon, Qism Kafr El-Shaikh, Kafr Al Sheikh First, Kafr El-Sheikh Governorate 6860507",not available,https://www.facebook.com/oldstreet.kfs?mibextid=ZbWKwL,4.5,2,Kafr El Sheikh,https://maps.app.goo.gl/GHXhUZuJYyd9XckK6,4W6V+Q8 Kafr Al Sheikh First,31.111937,30.943312,https://lh5.googleusercontent.com/p/AF1QipO2gthfpcV3kGW16PZLZlV1ZD-ANWZDUzJbIvzf,https://lh5.googleusercontent.com/p/AF1QipMqZFkU2cO6OMiL4nqjloQ2EINuFB5TFDY0g72-,https://lh5.googleusercontent.com/p/AF1QipMLwq-h_6j0Wk9NDcdG1Kgk8iRQ2qhvwCS6sLU0,https://lh5.googleusercontent.com/p/AF1QipNizEkChgI8zZ81cO1TweYafcbq3aICMYbx7va9,https://lh5.googleusercontent.com/p/AF1QipMuefCpwl-X3XxKloBQDfILVKPJjEvucmC9hzrp,,,,,,,,,,,,,,,,Cafe,Kafr El Sheikh,Coffee shop
Al_husaineh mosque,"الجامعه العماليه، امام, Kafr el-Sheikh, Kafr El-Sheikh Governorate",not available,Not available,4.4,17,Kafr El Sheikh,https://maps.app.goo.gl/5AmvPqnamoafCKfK6,4WCJ+HG Kafr el-Sheikh,31.121437,30.931312,,,,,,,,,,,,,,,,,,,,,Cafe,Kafr El Sheikh,Coffee shop
Laliga Cafe,"Kafr Abu Tabl, Kafr el-Sheikh, Kafr El-Sheikh Governorate 6860123",010 22055193,Not available,4.7,74,Kafr El Sheikh,https://maps.app.goo.gl/mRy3dD3W2DMSqBR87,4W2V+6R Kafr el-Sheikh,31.100563,30.944562,https://lh5.googleusercontent.com/p/AF1QipP7vSX_xm6NnMUvIldYyHjtoGIlSdBVRJT1DVP_,https://lh5.googleusercontent.com/p/AF1QipN1uZkJZBsEyKEJNoh6vFaJRUOWk-irof4jt-bC,https://lh5.googleusercontent.com/p/AF1QipMod31Mmqq7yZw1tzU-m7bNecgn0FXss-QZsa-4,https://lh5.googleusercontent.com/p/AF1QipNe7iWc4bkFeTs0QAU4UxXchar8nGgiWaGHE_vO,,,,,,,,,,,,,,,,,Cafe,Kafr El Sheikh,Coffee shop
VENOM,"كفر الشيخ ال 47 خلف حلواني العسكري, Kafr Al Sheikh First, Kafr El-Sheikh Governorate",015 53602323,Not available,5.0,1,Kafr El Sheikh,https://maps.app.goo.gl/qezaxMZw4ov1Po9s8,4W9X+MP Kafr Al Sheikh First,31.119188,30.949312,https://lh5.googleusercontent.com/p/AF1QipPDD85nZSaAHHfLxqy09DdGwCAp-6Q1uk4pm5TX,https://lh5.googleusercontent.com/p/AF1QipPOVZzvjC4Kcc7LrM_e8K2dvlEBA4AMgTQsiS7P,,,,,,,,,,,,,,,,,,,Cafe,Kafr El Sheikh,Coffee shop
BELLA CIAO,"4W5V+PCC، بجوار مستشفي الصدر",not available,Not available,5.0,3,Kafr El Sheikh,https://maps.app.goo.gl/KbP6zDJC3VS1ebpy8,not available,31.109313,30.943562,https://lh5.googleusercontent.com/p/AF1QipNySWQMud7W3vB-nrzCA6EQ7Yhg9SteouMg2fd4,https://lh5.googleusercontent.com/p/AF1QipNjNTfFD7gZXZGTfC4aTSL1KH_exGS2_51Z02Qt,https://lh5.googleusercontent.com/p/AF1QipMSTx4Ep5Rt2dp3IeWlGk47tCS7z41f-OH7xgPE,https://lh5.googleusercontent.com/p/AF1QipNjiaullvYS22uaa3E9h92ub38CrXk8xBw32V_Y,https://lh5.googleusercontent.com/p/AF1QipNcmqz5luXuseSxA14IBNWvKs3goVn1vP_fywpJ,,,,,,,,,,,,,,,,Cafe,Kafr El Sheikh,Coffee shop
Emad Afandi عماد أفندي,"Khalifa, Qism Kafr El-Shaikh, Kafr Al Sheikh First, Kafr El-Sheikh Governorate 6860503",010 10100567,emadafandi.com,4.7,33,Kafr El Sheikh,https://maps.app.goo.gl/ZHumAjofPKa6tvdU7,4W5V+J3 Kafr Al Sheikh First,31.109063,30.942687,https://lh5.googleusercontent.com/p/AF1QipOeJ_tXQu69cDoNZzjUezW7HYOe_kAHAhPkGncB,https://lh5.googleusercontent.com/p/AF1QipPqzQm-sju_hY06roxJURD-pWxSa3JoMXAUI3ZM,https://lh5.googleusercontent.com/p/AF1QipMPbAGQRzWt4IbOg-MraBJZomk6n3wc9yWedCGG,https://lh5.googleusercontent.com/p/AF1QipPMxpRL-8MXB-AdnMde05JZElg-kstkdlYOv6Ic,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOiit2D5EsYRCa1-nUw22NBm93apKRb7whQtLbf,https://lh5.googleusercontent.com/p/AF1QipPKEo3HP9GhnWxDv5sGiDWulliUCYUFnOckby3b,https://lh5.googleusercontent.com/p/AF1QipPPtE9LD4G_zr2HDY_i4CRyQ7x6SAyUHR076BwM,Cafe,Kafr El Sheikh,Coffee store
Joe's Café,"4W6W+3W8, Abo El-Alaa El-Maarry, Qism Kafr El-Shaikh, Kafr el-Sheikh, Kafr El-Sheikh Governorate 6860510",not available,Not available,3.8,38,Kafr El Sheikh,https://maps.app.goo.gl/ntiUyr2oWK7AsHbS8,not available,31.110062,30.947063,https://lh5.googleusercontent.com/p/AF1QipPP4ZSt4DWs6t1DcKDfA6esQ1XLuoCQzU6gIk4W,https://lh5.googleusercontent.com/p/AF1QipPDUenIugFjWASN12pd1MCBxrGP0tcbjFLPEGGF,https://lh5.googleusercontent.com/p/AF1QipMah3PEeq1kNL3BN4Mf8w9gQrjsYaJnPaFhTlfX,,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOENflcdlPdd14Jmc1XirjEztjW7rVHfTTUHPbs,https://lh5.googleusercontent.com/p/AF1QipMlxtLqcVtMF8DG8gPOnar-Duaw6xoEk0Kp_8Kn,Cafe,Kafr El Sheikh,Coffee shop
Calvin playstation & cafe,"بجوار اسماك النجار وحضانه كيدز اكاديمى، منطقه هيئه قضاء الدوله _شارع ماك للسجاد, Kafr Al Sheikh First, Kafr El-Sheikh Governorate 33512",047 3139070,https://www.facebook.com/profile.php?id=100089812502868&mibextid=LQQJ4d,5.0,1,Kafr El Sheikh,https://maps.app.goo.gl/4Ub3Jw6rsbNVPvzL9,4WCV+HG Kafr Al Sheikh First,31.121437,30.943812,https://lh5.googleusercontent.com/p/AF1QipNA0P3xW063O1hkl0n7pXxSLDI30Gdqv9hsCdMq,https://lh5.googleusercontent.com/p/AF1QipOzeNpj8veB5_yE0PL3Pp5XAMj5mcb3l3nLTb5L,https://lh5.googleusercontent.com/p/AF1QipO2RpkijukXQmrNsBI7BVTrE6TYNBJMn2ipGfO0,https://lh5.googleusercontent.com/p/AF1QipNnXRIb50vH9f0kO4yGrHI6wzJaYT_ZJe_PFtYQ,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOLhec0jxYBMAu7yBo4tivwEPlMOEnmxlBD2YmY,https://lh5.googleusercontent.com/p/AF1QipMyzmwnPgNQkJiFmRf0nd9YURaga2LYBDfmkwZk,https://lh5.googleusercontent.com/p/AF1QipODaheaDsJnf_2tfnzeiP-RPOOhBU0D3wqLFd2e,,,,,,,Cafe,Kafr El Sheikh,Coffee shop
