Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Maxime's El Saltana café,"Luxor City, Luxor, Luxor Governorate 1362001",010 66388187,Not available,4.4,584,Luxor,https://maps.app.goo.gl/ZbBRkLf4cCZExvtP6,"MJMJ+V3 Luxor City, Luxor",25.684688,32.630187,https://lh5.googleusercontent.com/p/AF1QipNHF6CyZfIjD9rV9CKYHFx8FANBtSClhZ2jz0Ep,https://lh5.googleusercontent.com/p/AF1QipMfXzJ6UeE-tIuggnchszBCeJfsffk2XU3-GCnD,https://lh5.googleusercontent.com/p/AF1QipOgS0J43f08SsI637fQffRMTXa-8NSbcAdN-kwF,https://lh5.googleusercontent.com/p/AF1QipPphj7P8mzvrgYy3D2t73gjGC8iSHmI8rWDFUXs,//:0,https://lh5.googleusercontent.com/p/AF1QipOllJM57izppHbc2tu_UjFtInx8irdKJwEZdppT,https://lh5.googleusercontent.com/p/AF1QipMsWGiYWOq_XNkIKYgrL-8-nVhOU74-9j7w3GgK,//:0,https://lh5.googleusercontent.com/p/AF1QipPcDiSg97NPHSqfohaBfHL3kdzzoZZH10YnJj88,https://lh5.googleusercontent.com/p/AF1QipMI5cOwNk5v0y2-SVdtmcmhYpg4U3QTtsgs2sCb,https://lh5.googleusercontent.com/p/AF1QipMhu5MiuFMv7pdzKUsrCgs-JhrCvfYogjJRyuVp,//:0,https://lh5.googleusercontent.com/p/AF1QipMcqo_KUlXZp3HSKvcUs312rdSdRdamBm2OdVfY,https://lh5.googleusercontent.com/p/AF1QipOyZLgO44dZmxGYP_eiLWI8eJe-V7hY6Ig0rPBS,//:0,https://lh5.googleusercontent.com/p/AF1QipM0uWYx8kW0uwzzHPqFsJlD2f0BV0AZk0PEYZwL,https://lh5.googleusercontent.com/p/AF1QipMZjd0arEn5up-6APCSrLBtHx7bZYrMZQD9mR89,https://lh5.googleusercontent.com/p/AF1QipMjKr1SsgN8SLoPSgIXOhRMje2ADfVHI-y7NmrU,//lh6.googleusercontent.com/BPtt7YsEosfQ9qUKnJ3IFOQU5KDjKLDX5DzmTIzgp6aGShWxhMqiTjyhXILAc_mn,https://lh5.googleusercontent.com/p/AF1QipMO-1HRfMYU1L8JZHCFX7ghc_iE3nY_Bnd4yWMp,Cafe,Luxor,Cafe
Sunset Cafe,"Kornish Al Nile, Luxor City, Luxor, Luxor Governorate 85951",012 88140140,Not available,3.5,42,Luxor,https://maps.app.goo.gl/FEfV6VKi4Q2F6cnS6,PJ4V+P3 Luxor,25.706812,32.642688,https://lh5.googleusercontent.com/p/AF1QipMZgJEIaT8Spmn7McH03NN3K6RY1lqDG-0SBfTV,https://lh5.googleusercontent.com/p/AF1QipMyx_1b0h2bMKO8bvGEhG_SAqSwenDCgOZxJ8Dh,https://lh5.googleusercontent.com/p/AF1QipPNE5t2o94zANOrJ-Wv6bcjWf-LsGTMO3uHhNiM,https://lh5.googleusercontent.com/p/AF1QipMDNeNUYQJvdTu-inzZo7l6djKZTNsd4u7ARxvq,https://lh5.googleusercontent.com/p/AF1QipNFj26TJj03rTar_oGpf4za4W32F_f0m6g4Fj6R,//:0,https://lh5.googleusercontent.com/p/AF1QipN_LKHgnvSfdcMpJLloWl1vsKeRHKXz_p54K3gJ,https://lh5.googleusercontent.com/p/AF1QipO5aXfL89t0gGgWF4XIOavi3Zh0Peq4PfApEyLt,//:0,https://lh5.googleusercontent.com/p/AF1QipO12qror3AAhRxgk8TpYGjKglidOhbbhymCadU0,https://lh5.googleusercontent.com/p/AF1QipPe9HtqyoJJXHjKZ3miBh7tcrnGYmSzT-fiW-NG,//:0,https://lh5.googleusercontent.com/p/AF1QipPZGcehobok4OaCkMqWbVfoS8PjFXuU_bnCS9Ai,https://lh5.googleusercontent.com/p/AF1QipNWYykle4l1g46-NTEaRk8CDJZ72r4WFQGqpjc_,https://lh5.googleusercontent.com/p/AF1QipPuhyyCR63Hngo5iajol7NwdZWswsKFo75IOLDY,//:0,https://lh5.googleusercontent.com/p/AF1QipOCS5QEU7DqxC5-qzlvslZhIyUV1nrmBFo6Ys2B,https://lh5.googleusercontent.com/p/AF1QipOmgPGYFNjafwR-3dP3bT6jH5RzFH2GZGGkNcae,https://lh5.googleusercontent.com/p/AF1QipMUxLPKW07SIUF9cFgvyO0tzb3U8yKHiqWdBn67,https://lh5.googleusercontent.com/p/AF1QipMozCdrnN4Y_t9mJTBpWhEqUW1B3kxpF4D1J7Mq,Cafe,Luxor,Cafe
رمالة - Rmallah cafe - coffee & cookies,"MJQP+543, Gazirat Al Awameyah, Luxor, Luxor Governorate 1362104",010 30400120,Not available,4.7,104,Luxor,https://maps.app.goo.gl/4vWvCY7fXuxMkb3c8,None,30.218688,31.476937,https://lh5.googleusercontent.com/p/AF1QipMaO_Nw54dK0hoazL4SFUKkTxzHA1jv_g6JKT65,https://lh5.googleusercontent.com/p/AF1QipP2figTfJ8CH7xK3NL56W4ip7FEGkhBjjwUgJVv,https://lh5.googleusercontent.com/p/AF1QipN2l-LhHdpw4rvCSbxgfmXVbnqgvzTWyqhSr8si,//:0,https://lh5.googleusercontent.com/p/AF1QipP6PIZz-xA21jk94m2xA22I-1vuaJIovWWuNgpr,https://lh5.googleusercontent.com/p/AF1QipNt1xetCUiGLg0-Vcbi4RkHxLcKFdN-o9Ca_Fz7,//:0,https://lh5.googleusercontent.com/p/AF1QipMYxvrE219PCF06Q3VLIYrt-OGKCBDwKeM5BDuS,https://lh5.googleusercontent.com/p/AF1QipPAIIEqhzX5vf93m8ml_DcXV-9W6PpOyLsnxZp3,//:0,https://lh5.googleusercontent.com/p/AF1QipM4WD441dCi7HY9rYaK_-AnzzwXaHl5q60dUTHJ,https://lh5.googleusercontent.com/p/AF1QipPf5C53AvCw2QGzDE9sDtsYxec81SGGBb7-DcO3,//:0,https://lh5.googleusercontent.com/p/AF1QipOsAR-n9apK7onfGAYluAC4szjPqyxVznhLNnkQ,https://lh5.googleusercontent.com/p/AF1QipOe1zCsZfg8uk6sidh1G1hUKCD656TmFig4bXN2,//:0,https://lh5.googleusercontent.com/p/AF1QipO6LI3qqSvUFJVi5zORgizOgVmVmstFS2cS8jt_,https://lh5.googleusercontent.com/p/AF1QipOsriwFp-lAdhSEF5bAYAjq8fDLvlu_-6buUhQh,https://lh5.googleusercontent.com/p/AF1QipP2ENGGUL2rPvzzi_Yp7GGCwffzsERFPwFZ582-,https://lh5.googleusercontent.com/p/AF1QipOCqvnB3JvH9uzTF_thF1P9uiNfO5lh-Xa3o5dl,Cafe,Luxor,Coffee shop
"Café & Restaurant Maratonga - Medinet Habu, Luxor","Unnamed Road, Al Bairat, Luxor, Luxor Governorate 85958",010 32248447,wordpress.com,4.7,286,Luxor,https://maps.app.goo.gl/28hdvaPHBCsh2S657,PJ92+7W Luxor,25.718187,32.602312,https://lh5.googleusercontent.com/p/AF1QipPfRMB2tZY70ijkWgjKiaEIM1B18ltmyp_WKyG9,https://lh5.googleusercontent.com/p/AF1QipNGwf4BcjmcbBNH_EG7mrYUVHIOw6a4YUPp3bpX,//:0,https://lh5.googleusercontent.com/p/AF1QipPhmaVBRpoZFWpcsm0pxEOtWn80vdsVvcUZ8AJk,https://lh5.googleusercontent.com/p/AF1QipNir3lGah-OPGGWwmT7qQn_MLb2idx7rvp83jM-,https://lh5.googleusercontent.com/p/AF1QipND79iggd3R4FNW-zbbBDayoVUDFc9FMajd0b9e,//:0,https://lh5.googleusercontent.com/p/AF1QipOLPRm-fIB2p1FouinQ5WPiaEofDmgEr2ouklgd,https://lh5.googleusercontent.com/p/AF1QipMrTkuWFiTFI3Ya6wAEgTYXUxRNjEbez4x49lXX,//:0,https://lh5.googleusercontent.com/p/AF1QipPywQsMuuRDt-s2JUiL_WIhp7zXltX-XFDj9HBn,https://lh5.googleusercontent.com/p/AF1QipNxykmUNY9Bej0k0qAWT061WBrJFrDTcgYg6Unt,//:0,https://lh5.googleusercontent.com/p/AF1QipPfOP6sdqoZ0v3akB1daRhsMRFxB9nBFhfZrkjJ,https://lh5.googleusercontent.com/p/AF1QipN8VFNan8UVzMdMGWKDXmTkJuaJDIzHVmqQIu4S,//:0,https://lh5.googleusercontent.com/p/AF1QipMdXgOzsqaHAahZjA6vwzUQfuzR1IivySoEAb8d,https://lh5.googleusercontent.com/p/AF1QipMwdv-pV1DSfqfnq4R27ICPHePcH_txL6-40joh,https://lh5.googleusercontent.com/p/AF1QipOsurDNXJU7V_BiVAlYh99kc-0BmEMAzoBI-N6q,https://lh5.googleusercontent.com/p/AF1QipNKQtESyfNBL6xmIm_c1ixRFa2xxG_VLQseALcm,Cafe,Luxor,Restaurant
Moscow club,"MJRM+CJR, Gazirat Al Awameyah, Luxor, Luxor Governorate 1362105",010 03331715,Not available,3.7,23,Luxor,https://maps.app.goo.gl/cT4YWZyJZXjbSSuy6,None,30.218688,31.476937,https://lh5.googleusercontent.com/p/AF1QipMWGMq1R1HdHLKfko8-C0VRhKvy4pad8gpY8bcG,https://lh5.googleusercontent.com/p/AF1QipMvfHsJui-_kTOI-tbEo6hu8_PCMhBjzuv5q71R,,//:0,https://lh5.googleusercontent.com/p/AF1QipPomtnNYsZWX_WS19VPI9s8Ad7TJm8I_qayP-S3,https://lh5.googleusercontent.com/p/AF1QipMOOOBW0Pho5CjpfubO6eBkMzTR9ffG4ki63TzY,https://lh5.googleusercontent.com/p/AF1QipN3ucAHyhJVBZVGC1aXDiuyZmJx7gQIhqScg05z,//:0,https://lh5.googleusercontent.com/p/AF1QipMvJBQyI5Jx45O9gaF-ueVHHkFnj2ib1nwXRe6J,https://lh5.googleusercontent.com/p/AF1QipMgPGn2ncY5yeaQw5dcZUbmOr-LJvwxVm-EyOYC,//:0,https://lh5.googleusercontent.com/p/AF1QipN89Ild9SsBYtuFLfDxVeorRdKgFo7vwPNi5lgY,https://lh5.googleusercontent.com/p/AF1QipPdtAZgVJHmTUWqqWNqZLzZjzhRmEX8Ovs-NFZw,https://lh5.googleusercontent.com/p/AF1QipPREvyHPFuaGWsDsPO2y4uroF8rHYwm29Gjp0RF,https://lh5.googleusercontent.com/p/AF1QipN_Zl_REHTeHhCyijeLfoUWAtij5gSGQc46CLZJ,,,,,,Cafe,Luxor,Coffee shop
Café Latte,"Mabad Al Karnak, Luxor City, Luxor, Luxor Governorate 1362410",011 44280711,Not available,3.7,76,Luxor,https://maps.app.goo.gl/W1bczKtBUChVcXAa8,MJXQ+9X Luxor,25.698437,32.639938,//lh6.googleusercontent.com/JoPa4FeArbYUtXZtvcE_xhYWMKNLie8-K8VLLGr1KqyUB7mqhFgXGtVyVm0Nos0,https://lh5.googleusercontent.com/p/AF1QipMIlaFo53MlcqQuBSCDZsxGS-qVwl4rVNgcH4kL,https://lh5.googleusercontent.com/p/AF1QipM69tAEplPEKUmti_RJyAUytdKBNLcTmXpx01bn,//:0,https://lh5.googleusercontent.com/p/AF1QipPs_3mucrigc0ZgAb1MERxThcqOOKvfaDJyeMwb,https://lh5.googleusercontent.com/p/AF1QipOkDrEbAynyMYab-B-eGEADvWMOWP8NQF_QMEEo,https://lh5.googleusercontent.com/p/AF1QipNfbObkiCR2ggU3V9Q4sC89mUR9Xq1RmQBwmoV4,//:0,https://lh5.googleusercontent.com/p/AF1QipOlMOREQ8yZBJCgyK1XErnQFRLdG-HppmFYm9Ap,https://lh5.googleusercontent.com/p/AF1QipO6uQYsl1U6811M18lIpEswzf2Sm7WqwztRN9vR,//:0,https://lh5.googleusercontent.com/p/AF1QipM3Ay9ur9ZS5fTB0RwwgvF7bNNKLZr-il3aesAJ,https://lh5.googleusercontent.com/p/AF1QipPVCnD_PlAFZbSE_p3-UicmMGipZoJgdN3YnyY-,//:0,//lh4.googleusercontent.com/kaUJzK-_vac203ZOSfCZ9JtkRvcoXL0hkuD1SUWG57uxjmIoK1LSyJCNIOiYhHnY,https://lh5.googleusercontent.com/p/AF1QipNimmPaNC2ttsy00mKyghWD4oSM-s3tNJNXx4K4,//lh3.googleusercontent.com/IwRkWgPHfCWJFr7SGSc1YVOc4HIwnTFst6mvRzahxdMH78J2t4JEim4pwbKKr29wcg,//lh6.googleusercontent.com/jjX4uZUNcZhDQV5BeBVZZi3z4vZ6TGSDOgY107SZcExDbjvtVChXAWjndig3kTq3,//lh6.googleusercontent.com/H0Jr05oZkEbNGVu2ZB3-t8m4wvoUPg1mHIda7ijEfuU4HfcSahjqBjmkLqtJxnv2,https://lh5.googleusercontent.com/p/AF1QipOzrNTrry9TIDDMULKX96fGZN6fI1jk2RFKGFpT,Cafe,Luxor,Cafe
Bahary Cafe,"PJ2R+7XV, Luxor City, Luxor, Luxor Governorate 1362432",not available,Not available,3.9,48,Luxor,https://maps.app.goo.gl/MZyU1Y195Nfjxxhg7,None,30.218688,31.476937,https://lh5.googleusercontent.com/p/AF1QipN7INHiU-rAZnhB6tYm-GfgO72Ohv5ThIzZV7nN,https://lh5.googleusercontent.com/p/AF1QipNdHvtdi2_VzanUgLmjUBzlrBiSgPmedN6Tl1ur,https://lh5.googleusercontent.com/p/AF1QipMgmkToKiWWhgZpcu7xihJwz4R3x4RVeNhRCLyW,https://lh5.googleusercontent.com/p/AF1QipOL6SrYvigG-vG2Dt2ay7bRpZI62A1sjNnzrt1Y,//:0,https://lh5.googleusercontent.com/p/AF1QipNFI_TIENCjB2W4bSbI4yszcnHnLOG_aX-nsaj7,https://lh5.googleusercontent.com/p/AF1QipPVANBXdw5aevsSCx0H_eg6VApz98xGrBeGArPt,//:0,https://lh5.googleusercontent.com/p/AF1QipODREKum90nHkMeVWxGmUcNaRSzdSu8g6Qj-JcX,https://lh5.googleusercontent.com/p/AF1QipOgM57p99S3C6zc3HMdcJrj9ep8rr-iRvoySPO3,https://lh5.googleusercontent.com/p/AF1QipP5O5_E0MYSZhPMLmsClbDQJAeuLG8IAmLvoS5r,//:0,https://lh5.googleusercontent.com/p/AF1QipMb0H9DZzVLUXJxggOPdz3uGrTfl86e_EZNDu6e,//lh5.googleusercontent.com/3tNrDzsfMrLjcb7j7SxCknz4YuZyB3sj8_2xGz_apdudV7B3kb4WHyQMt5oNWgyK,//lh6.googleusercontent.com/LgdxR1IDDvovfhEbros7D1lLkc-Bb7XBN_WRQvQkU_p0s42nD6gtQvRZA7SabvCP_w,//:0,https://lh5.googleusercontent.com/p/AF1QipMgfTab-nbHptN1wv1bY4ZiLrRm9q2IkhNmfDZB,https://lh5.googleusercontent.com/p/AF1QipNQT7LTF1RwMplUpfVUezNtW6amqv6C6l7tv92B,https://lh5.googleusercontent.com/p/AF1QipMtE69DbGloIjBYjCO-wHuUky7kggydJjf2Jk6f,https://lh5.googleusercontent.com/p/AF1QipMzFXltdmiy8ESABu4pmIZ0cZsxGRCYLtZvm1vT,Cafe,Luxor,Cafe
Aladdin Cafe,"MJPQ+74R, Al Rawda Al Sharifa, Gazirat Al Awameyah, Luxor, Luxor Governorate 1362234",011 19994146,Not available,4.1,160,Luxor,https://maps.app.goo.gl/PEzX85Gr8dK1kzZ98,None,30.218688,31.476937,https://lh5.googleusercontent.com/p/AF1QipO0biuKyiGJ19I6PSpKWqgKgyly0N6zlk9B5IXW,https://lh5.googleusercontent.com/p/AF1QipMg3w9W-YT1hNNkEjc5EAF4imNgHAxIb7L_YTNx,https://lh5.googleusercontent.com/p/AF1QipMgJzHoKsT8jx9BXru39VKpmV9iZ3kYu-4bvhmE,//:0,https://lh5.googleusercontent.com/p/AF1QipNutcm9sAGycsCDMhzmZ0wNcykuYK2o-uFQEfwD,https://lh5.googleusercontent.com/p/AF1QipPcG3mmILkOcMbUn5P0-A_0nkFIXf5lccpNSspo,https://lh5.googleusercontent.com/p/AF1QipM0-6fEU07fy3yPyMsSyLVTYINqrxKHvGLPPEBj,//:0,https://lh5.googleusercontent.com/p/AF1QipP5UbQZ7XLF0nCgu1owLWAroRt7ycfGj1f66gaL,https://lh5.googleusercontent.com/p/AF1QipOwvQzYS4uYpwl9XScG9VfYWQTAgcjifzugfxdt,//:0,https://lh5.googleusercontent.com/p/AF1QipOoQnF5z-qtS0y7NKzhY1bCc9xUvyG1HeO9Y8Ki,https://lh5.googleusercontent.com/p/AF1QipOeVBTbqNk-OyHao4kKcP2idpgAzITjNlC-nrpw,//:0,https://lh5.googleusercontent.com/p/AF1QipOtuBjVvt-tL5pRW7GxaTM3eQvAkyzQVitg9FaN,https://lh5.googleusercontent.com/p/AF1QipOEe5TPAIFbKIifs7cGFh7ElSzZMbPNbUEM2BrK,https://lh5.googleusercontent.com/p/AF1QipOes_uAmkbpyRxzTMzyKYteD0IaGggB0SKg1X_W,https://lh5.googleusercontent.com/p/AF1QipNlOdUUDq81H3tdwSVpMtcpFIAhz4EqUbi5mtOa,https://lh5.googleusercontent.com/p/AF1QipPFJOT4zs5IbPz4N4HFxLRhjtZjvDV2i03M-9eu,https://lh5.googleusercontent.com/p/AF1QipNUKEDgLib6i9oV8wqdFFZQBM6rXtqqFITNaZEd,Cafe,Luxor,Cafe
Luxor train station cafe,"MJWV+FVP, Luxor City, Luxor, Luxor Governorate 1362367",not available,Not available,3.2,37,Luxor,https://maps.app.goo.gl/v7zb9Cu2a7gkaxMe9,None,30.218688,31.476937,https://lh5.googleusercontent.com/p/AF1QipMXtBRbQVVWxi5gmaKmmOCepYLBjnWXrnAlrBtL,https://lh5.googleusercontent.com/p/AF1QipMyaldjNlDBQ1owWLzM0W3XIl7j8wwR8RnVJOc,https://lh5.googleusercontent.com/p/AF1QipNJldajGp1JYpMOaixjZHv0AK9Og_suULSY01_t,https://lh5.googleusercontent.com/p/AF1QipP01o9DVNiDErPD649ingRzeDs6rz6DqWvM-YAr,https://lh5.googleusercontent.com/p/AF1QipOruFKJYrYPL3Y0DpMQPeTjf275eWJ3JVzVRqrb,//:0,https://lh5.googleusercontent.com/p/AF1QipNBhB0QVT4jbDi8lf_e2XGb91ApIadMvumBZ2BZ,https://lh5.googleusercontent.com/p/AF1QipNaagneJkd3Ow4u1XpGEgLYLmlo3YHqjx5k84gr,https://lh5.googleusercontent.com/p/AF1QipNYbR2aZ3qMMiUA3R2YLRfzd_z9ii5iPGvYNqqP,//:0,https://lh5.googleusercontent.com/p/AF1QipO9ph9PblwYtTPVAWKjmsQEG5br_CgaShwxLdHg,https://lh5.googleusercontent.com/p/AF1QipPPp-VrXzFShsMyFPWykrV-IduSQxsMxJFM6oo2,//:0,https://lh5.googleusercontent.com/p/AF1QipOE1kvp8iBBjRX2Oao1S4__blElMaxbNzdIB1c0,https://lh5.googleusercontent.com/p/AF1QipMEVt14wTx6Ut3Ss8mW-GKGxkhbWu484esuP9-Y,//:0,https://lh5.googleusercontent.com/p/AF1QipM3NnrTCHphSF3Y-IPIgZhNAqZ-leo9llYAE8IC,https://lh5.googleusercontent.com/p/AF1QipOnwUbSRMsrZErVIqpo5C0XIKjgi4Tptf7SPLWd,https://lh5.googleusercontent.com/p/AF1QipMe4Y9loEMpQW7KufDf8BdMKadlBALxc-rSuPSf,https://lh5.googleusercontent.com/p/AF1QipMUbtYaDu6EqTF1SwUBa6CJLFeoM6yZrD3iakOS,Cafe,Luxor,Cafe
Sky Roof Luxor,"MJVR+H2M, Luxor City, Luxor, Luxor Governorate 1362331",not available,Not available,3.4,39,Luxor,https://maps.app.goo.gl/7NKjrNuiMDdHnWsu8,None,30.218688,31.476937,https://lh5.googleusercontent.com/p/AF1QipP0fl2JWnw6fHmVpulaUEFqBOcPbRU36PV_LoRQ,https://lh5.googleusercontent.com/p/AF1QipNEM6Gc6kqcaaItvHbk_0wlcb9LkVDHcsy0lPui,https://lh5.googleusercontent.com/p/AF1QipMNePZvcYyvZRthguV8fspk7V_rtJsevo0xwAOO,//:0,https://lh5.googleusercontent.com/p/AF1QipOJPYIz86Drhf5fOqL8O_I3Yvs8ZWP8aH0UuhnW,https://lh5.googleusercontent.com/p/AF1QipO1HVVxVeNIXDw_ZqzThSm74dxkWTrBHPbhK6DO,https://lh5.googleusercontent.com/p/AF1QipMJvtAD9babepQZcdQ1yklp5xUEw5lyoq6_7_W8,https://lh5.googleusercontent.com/p/AF1QipP_RP4MqUnplbBvCRRgJIv5Md3DEEsktVV6WzGJ,//:0,https://lh5.googleusercontent.com/p/AF1QipOP0--RA6e9i5-gYBgzCYVhX-YcZjk-pDH6hpK7,https://lh5.googleusercontent.com/p/AF1QipN64EyVkKuFn1qdrRZ-eLHYpOxxZuWmi96mRNx2,//:0,https://lh5.googleusercontent.com/p/AF1QipMCa0xb_5SHHgKbECbWlRC3LBKCsAWvMqCTqnoC,https://lh5.googleusercontent.com/p/AF1QipPK7szEsZX9RuIodOQxOr6ztWLhwfsuA2UuEHBj,https://lh5.googleusercontent.com/p/AF1QipM0HBhlUg3Gi3dYKD9gkLO7sGWz6yj0ftK1skhS,https://lh5.googleusercontent.com/p/AF1QipOqy0k_ZDCoT-kHw7N3EIFbxaJ1uvmbTBhf-BWR,https://lh5.googleusercontent.com/p/AF1QipOg0ZkiWFCiYeN0jJu0WNbwCuNOe9Nqra-pvntw,,,,Cafe,Luxor,Coffee shop
