Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Night & Day,"EL LIDO، MARSA MATROUH، Marsa Matrouh Governorate 5054832",046 4930243,Not available,3.6,52,Marsa Matrouh,https://maps.app.goo.gl/AbyuywTRWXqqiyeCA,not available,31.354188,27.241062,https://lh5.googleusercontent.com/p/AF1QipP_SnxDZY5a3e_PYxkQzuHsczPAoP471JyyNz4,https://lh5.googleusercontent.com/p/AF1QipO_dluK8PsWEVh00Xjd4mdq0XO45sfXtIjspSA,https://lh5.googleusercontent.com/p/AF1QipMiHXPg4rtnNVSzCUR-EjmnclsThdMER-gsjqtO,//:0,https://lh5.googleusercontent.com/p/AF1QipN4xbe_fJ9riElNotbFXMWMre7Jrvuj_zDJOQJX,https://lh5.googleusercontent.com/p/AF1QipPtCs6G7SIP5IEIWWaA0Dk-4cZkVtRufF1mAlU,https://lh5.googleusercontent.com/p/AF1QipMocFpIxTSK9Q8AnBVn3eS_L3BV8KH-5jSMnHNz,//:0,https://lh5.googleusercontent.com/p/AF1QipMND9sQPGHxRCGJiIipplnksZnwR149HWw9nAxx,https://lh5.googleusercontent.com/p/AF1QipP9nWBa8hi0QkU5945x7gGADBnyokPMeWRIR58,//:0,https://lh5.googleusercontent.com/p/AF1QipPIAwJ2AnBJpwnKMXhCJWpusd5So1mnqktaokc,https://lh5.googleusercontent.com/p/AF1QipOfPp2EZpHY0IWJtQWy2c_PfUVSkLl4CQWOJjo,https://lh5.googleusercontent.com/p/AF1QipM9tI1dtpxQOdho0fdXvI5a1udASbhXoLeLKSFv,//:0,https://lh5.googleusercontent.com/p/AF1QipOCVQXF0-tVIA64DfZtcU5idZsRNQP3IPylJHY,https://lh5.googleusercontent.com/p/AF1QipNMhjnxLmSkUIxAW8yqqmWtMyNYzlzCE8hnE_aQ,https://lh5.googleusercontent.com/p/AF1QipMyogBLSXBWTn9AzT2UUIspqytkMNiEgJ917Qw,https://lh5.googleusercontent.com/p/AF1QipOviAr_mSevBCsUkwcPE6kEToUpbhdEJ6Tz_ibW,https://lh5.googleusercontent.com/p/AF1QipM5uFQ7zW_cgoBeGte69UIKRBkmhCJfchJ45T7y,Cafe,Matrouh,Cafe
كافيه الشلال,"كافيه الشلال, Mersa Matruh, Marsa Matrouh Governorate 5057016",012 86101469,Not available,4.0,"2,391",Marsa Matrouh,https://maps.app.goo.gl/UmQ5gHJCqz9pa5aJ7,not available,31.357188,27.245312,https://lh5.googleusercontent.com/p/AF1QipMAoF-o2ImYsj3w5hei9I_Mcy65xHrQts9Z-6Ff,https://lh5.googleusercontent.com/p/AF1QipNeCFlEZ3MHs_1WHbJpBIQqC278cDsmf59SqNqF,https://lh5.googleusercontent.com/p/AF1QipPUjT7P0wDtenzKCl8-GrnjXXEx6FKLUtT6ustp,//:0,https://lh5.googleusercontent.com/p/AF1QipNyHXgGddSzssfeyba5f4JAsS_4t1NRPZFg_Q-T,https://lh5.googleusercontent.com/p/AF1QipOUz835pzu6nU0G_EZkLBaeZcumLsKykQ8ok7Jj,//:0,https://lh5.googleusercontent.com/p/AF1QipOC4QDxWEPoUlaC5_eRqg9Cp_iolmdjvI_PcGND,https://lh5.googleusercontent.com/p/AF1QipN-DsUG7vDlWf8MacjaqVA5AYcEkKtnE5E0MVea,//:0,https://lh5.googleusercontent.com/p/AF1QipM2NtF2x2VDjqF655ryZrFhQ6K8B2pZ6ECqfZEk,https://lh5.googleusercontent.com/p/AF1QipOljiCTSK6Vis19qBL5mVjaBCHpU2d-oSqXz-tv,https://lh5.googleusercontent.com/p/AF1QipPXl_kQViqOQGysdO8_8X4dxekEcoftmnWKJ7kC,//:0,https://lh5.googleusercontent.com/p/AF1QipPJd8kL5_Z84FOB5NX_sPRQELLkllN882mpnXY0,https://lh5.googleusercontent.com/p/AF1QipOzjmk_uuPpediw8HV8PrOMwoXaU_XQ5b2e2g5W,//:0,https://lh5.googleusercontent.com/p/AF1QipNYdx4cNLtnjJuqxD8QnSrfCEkgiTp_rFGNB7Km,https://lh5.googleusercontent.com/p/AF1QipM2TR4M8zGXT-0qwQxF5O09SSy21LELkVMrKIfS,https://lh5.googleusercontent.com/p/AF1QipOyG9WDVTX8EHIfEiy1e_XqybJ_e2gtnNGECHNl,Cafe,Matrouh,Cafe
Costa pino Caffe. - كوستا بينو كافيه,"965G+96G, Mersa Matruh, Marsa Matrouh Governorate 5052943",010 91155884,Not available,4.1,348,Marsa Matrouh,https://maps.app.goo.gl/yZjndbybWYKdTeUo7,not available,31.358438,27.225563,https://lh5.googleusercontent.com/p/AF1QipNy5oe4xnWpHm3FX3WSo44PGEGVeEyjmRHsGz_g,https://lh5.googleusercontent.com/p/AF1QipOz4vyKO7FxP85aF-r9MtDajRgnicZlFaG6mN_8,https://lh5.googleusercontent.com/p/AF1QipMRt1FP89vzF1JAEG8VbbfLcbFl_eeEtmUZ0CEp,//:0,https://lh5.googleusercontent.com/p/AF1QipPtBvUe_NwTQX-r3nRNUQ_cVVLz74LNzhIFslNK,https://lh5.googleusercontent.com/p/AF1QipOexetI5izuWobhjTSdA3vqf0fZWBv7mx3DU5xt,https://lh5.googleusercontent.com/p/AF1QipMv7R8MUszT8wEvZThDPh2TnD87jZw29-1R8h4M,//:0,https://lh5.googleusercontent.com/p/AF1QipOfFwxuB4-ystXa5vSpA69Way_UzK6I5k2F4xYs,https://lh5.googleusercontent.com/p/AF1QipPWMT0Pg_Y1an5PIobCAUt8wrRPGNcWs6ce58Sr,https://lh5.googleusercontent.com/p/AF1QipNxdkUPvHZtp1bIFBF8kyNI2d97FbJF1KzY7EJx,//:0,https://lh5.googleusercontent.com/p/AF1QipMPrvdB9O6Tp0pfKaSrXsm9mWSWFoCyTsedwMpa,https://lh5.googleusercontent.com/p/AF1QipNnj8QGL7aYG9L_bII8tgnvwdEecMQ4eUbMC9KQ,//:0,https://lh5.googleusercontent.com/p/AF1QipMeKh_BNz-yJDS17rwJB02WcE_Dk-rIMrPKbval,https://lh5.googleusercontent.com/p/AF1QipNbbrpdEdwuHmKY6YZV4IzcokrDOayCJ8foIB7u,https://lh5.googleusercontent.com/p/AF1QipP8XABNug9p3aI1NSSHAHKhXt3xC_nNPVgEFp24,https://lh5.googleusercontent.com/p/AF1QipNGvGRypK5uspITw4ZJOKASntg1NgDWMNJjwgwD,https://lh5.googleusercontent.com/p/AF1QipOfZtGmqNhxsRd15cRyv9RzclOoBkbq3Z4sKvGo,Cafe,Matrouh,Cafe
ELwaly Cafe,"Tamear Al Saharai, Mersa Matruh, Marsa Matrouh Governorate 51512",010 33314045,Not available,4.1,488,Marsa Matrouh,https://maps.app.goo.gl/UmZYeyLpkhFiCoQU6,not available,30.218688,31.476937,https://lh5.googleusercontent.com/p/AF1QipOqNW-0yMxit2jAwZMBKlMmRPHULg_35S5QR145,https://lh5.googleusercontent.com/p/AF1QipMj2uZ3ZQE2tpol4P4lyV3pE82ry2lm02_MPpZS,https://lh5.googleusercontent.com/p/AF1QipOUYPd0YTdeO9KnSWykWD8LIeMsS0gMFJsnFhnd,https://lh5.googleusercontent.com/p/AF1QipMOSk9Lt4CdcEyMRn31Hy2EM3ugMgTrTOeN0VlT,//:0,https://lh5.googleusercontent.com/p/AF1QipP8HygBF0XdtM7M1GkVuMr2EjyFrJxjT6mcVrzO,https://lh5.googleusercontent.com/p/AF1QipOvNBp4xQmrrwWHkCOgVhV88Hn8--Gc00no_2uD,https://lh5.googleusercontent.com/p/AF1QipPpEmzTVRWzA5S_nBvtmOFCYUlZuLRHldh8fqE,//:0,https://lh5.googleusercontent.com/p/AF1QipPQx7VqNA5UtoghB2jcGAumGe6zwnMMYALIS9GN,https://lh5.googleusercontent.com/p/AF1QipONTtTWtDiDabrxwHn1AJuWAKV3D46RBZnl4qXt,https://lh5.googleusercontent.com/p/AF1QipNTIpPX0-6G_mXDh9yVARJVotwkOo_G0mfo2AdZ,//:0,https://lh5.googleusercontent.com/p/AF1QipMUAXhO_mkrKB0FVvHt7JfS7EukazW_jTOuUEoH,https://lh5.googleusercontent.com/p/AF1QipMaCI8QXwwdJvbw3191yA0JJvdLgdwAUesiEQnx,//:0,https://lh5.googleusercontent.com/p/AF1QipO6FYariwE7NcmtH8nBN37-gbXcBoJVB4rOpGnT,https://lh5.googleusercontent.com/p/AF1QipOfueQCYr8-0HkLd6q2IzHW4OcMMQFsPDoOdN8,https://lh5.googleusercontent.com/p/AF1QipO3gHsZQ94ASpQImErfob-B7peRfL9uN-o1Kg4T,https://lh5.googleusercontent.com/p/AF1QipNK5Ub5wlZ9Tfw1MEXJGw5j5dpiZ6bz8tksEt6J,Cafe,Matrouh,Coffee shop
Hub Matrouh,"مرسى مطروح، قسم مرسى مطروح،،",not available,https://www.facebook.com/HUB-Matrouh-%D9%85%D8%B7%D8%B1%D9%88%D8%AD-104882588593866/,4.5,13,Marsa Matrouh,https://maps.app.goo.gl/hZJHhyVFJ6bbfzGVA,not available,30.218688,31.476937,https://lh5.googleusercontent.com/p/AF1QipPsYz6RT1zgkXJfVSYZJ_sj-rBkY-HadW3beTEf,https://lh5.googleusercontent.com/p/AF1QipPCrzqaoy43wxOH9MaZlwbaz9HO1W-m0LbW3srt,https://lh5.googleusercontent.com/p/AF1QipONG8U99Vhoe5_avMiH0WQ2HlRIZLH7qDoQGeC1,https://lh5.googleusercontent.com/p/AF1QipPtzNPhSYQSGt3DbBaLgGN7KEDc0ccVq0UULXea,https://lh5.googleusercontent.com/p/AF1QipMLsa0_4TL5JOy1B7mTVy6j1hPAP4zgmInXJvL1,//:0,https://lh5.googleusercontent.com/p/AF1QipPhbVEerUaR5WqtpK8pLI3sfVN7NmFqNCEvRfMs,https://lh5.googleusercontent.com/p/AF1QipMGjh2tG5ZiXVYG9s21Kx2P9BgX9q9TGphE6OCr,https://lh5.googleusercontent.com/p/AF1QipMtFJqftRDZhSKxqvnLwd2zZiKgQ5SFOawE5pDd,,,,,,,,,,,,Cafe,Matrouh,Coffee shop
Cinnabon Matrouh,"963H+5G2, Al Galaa St, Mersa Matruh, Marsa Matrouh Governorate 5052930",not available,Not available,4.3,73,Marsa Matrouh,https://maps.app.goo.gl/ytDjvA4q69uCZood7,not available,31.352438,27.228437,https://lh5.googleusercontent.com/p/AF1QipP-EeXffcAHrCB__oZ15W4DttwU4xLfsSzk3NoO,https://lh5.googleusercontent.com/p/AF1QipOox-itDNllKx8nzHedesAj2JcUkQEJnS55iK5F,https://lh5.googleusercontent.com/p/AF1QipPJadxvRrMSG-tkZ7_-2bNJz4W6xD_iR4hcWoD4,https://lh5.googleusercontent.com/p/AF1QipOp6j0-GM5co0M7PmcolCROMb_sauZo7Vovlvlf,//:0,https://lh5.googleusercontent.com/p/AF1QipO3qV9oTh6rg-L0rZS0zUw2ACDuGC7qx91T18M8,https://lh5.googleusercontent.com/p/AF1QipN3FifHzGb04JUlDfqSZ9Zwfb7bHt4U2F9a3NYS,https://lh5.googleusercontent.com/p/AF1QipMVXw39PI5AcSKtsJQQ1qrifGdrClWp8179kGk9,https://lh5.googleusercontent.com/p/AF1QipNxVigHRbnYj9ZpZPhJPQUjW7-HFvuhBTnNu1wv,https://lh5.googleusercontent.com/p/AF1QipOKdlpCPfzkFK5tfjG5zLzPfN1y3piB0TyoPyDL,https://lh5.googleusercontent.com/p/AF1QipNFDmHM26mjLG3tferJfoaNiezNvI9Ry32h016t,https://lh5.googleusercontent.com/p/AF1QipP19KmYvyVPuoATsX-ZCwj-VeiP-LRTSDM5D2m_,,,,,,,,,Cafe,Matrouh,Coffee shop
زيزنيا كافيه,"963V+W3V, Zaher Galal, Mersa Matruh, Marsa Matrouh Governorate 5057008",not available,Not available,4.0,319,Marsa Matrouh,https://maps.app.goo.gl/878aFJp81FkE5TSp6,not available,31.354813,27.242938,https://lh5.googleusercontent.com/p/AF1QipMaMj5WDq4rDpnZUtpP0GkbWAKZR4MPrGP-G9tq,https://lh5.googleusercontent.com/p/AF1QipPB8d4u0rkw6fnaaIadCgua1L9yGcSEUxBGq5mh,https://lh5.googleusercontent.com/p/AF1QipOD5nOe_SYAOa4GYIWVLcKR9qYICLAROIH3bhFG,https://lh5.googleusercontent.com/p/AF1QipO5cCS-al18f_ugaWlOEgLChCNLMbXBH41G-tAQ,//:0,https://lh5.googleusercontent.com/p/AF1QipMLd9YyVDouc_7O6lADKrYwqTD_gUwJh54KwWWr,https://lh5.googleusercontent.com/p/AF1QipOz-5gi7bV68KWAQhAAEFscQ-FIeaido66p-Y2s,,//:0,https://lh5.googleusercontent.com/p/AF1QipPQHFkRySsnMvq9wEC7H7IQBn-AGyMY9A3qqgjY,https://lh5.googleusercontent.com/p/AF1QipM7KhDLLlpdkXWNUc7BJ0WrIVMh0eqWvYxJvRTn,//:0,https://lh5.googleusercontent.com/p/AF1QipM9k0oyV1q0BNcJFNa_0Z5kwxr-uiezDMkyrovw,https://lh5.googleusercontent.com/p/AF1QipPXhi5RIbvd3Y74gZM4i2rSUeYO713VMhLloANv,//:0,https://lh5.googleusercontent.com/p/AF1QipM_YvOr77Gu2l2QY3CJU_EHAxz305aul53YjUYH,https://lh5.googleusercontent.com/p/AF1QipPRxMwBdHHjl2vUAnI5jMp88d5s259e3U0qGhw1,https://lh5.googleusercontent.com/p/AF1QipMDjUl7Oc9W8vPS8e3xIJlSzCP6FJUSRrr_42Z1,https://lh5.googleusercontent.com/p/AF1QipNI_jFuaxb52q53hrICbSvpMQlEJFXq68H-nWyd,https://lh5.googleusercontent.com/p/AF1QipNa0Pj6jxtpz-y-LzzPWtI1t0JoP7IfoD10s2Hf,Cafe,Matrouh,Cafe
Two zero seven 207,"963P+HQH, Shokary Al Koatli St, Mersa Matruh, Marsa Matrouh Governorate 5054882",010 11274125,Not available,4.6,24,Marsa Matrouh,https://maps.app.goo.gl/YkUVyMHX7ADB4xYE9,not available,31.353938,27.236937,https://lh5.googleusercontent.com/p/AF1QipMjyfbvEKfJ4fdhSnV6SGZ5qEegpUXvwI5rOsB6,https://lh5.googleusercontent.com/p/AF1QipO4ABf2NkKv7dQF8Aw9_-nFlBqv-lOZHdYC85Xr,https://lh5.googleusercontent.com/p/AF1QipPTL5zYpwjorYpS6ZF389jKacTKokqG-yXYU6GO,//:0,https://lh5.googleusercontent.com/p/AF1QipPX27NQLJ2IcsDRdhoXai8cg7NZZyrBSupRiWmd,https://lh5.googleusercontent.com/p/AF1QipPWfCqND-_0ja2wn4UM7ez1zkX6tSz_wq_5KmNs,//:0,https://lh5.googleusercontent.com/p/AF1QipP0vBqt1QQdxIknSWUaPNB1Qc44e7a_z4sruEdO,https://lh5.googleusercontent.com/p/AF1QipOEUGt9eEwa6WMaIInP2ucRt22JjASwxJ8YeHrq,//:0,https://lh5.googleusercontent.com/p/AF1QipPJkQzwAYadzv8A3lUUyZnl2dw2R1wf2VuRezM2,https://lh5.googleusercontent.com/p/AF1QipOuG4EiC6mTJZGNMvigeeO0dUkYoEntbBPbJR9_,//:0,https://lh5.googleusercontent.com/p/AF1QipMKM0xumfZTybmrq8ThkLf5QI6Evfl0r3QNh8Z5,https://lh5.googleusercontent.com/p/AF1QipMgdXVkbumrVPEICn6xZVeleFeSyLezvBAhyA60,https://lh5.googleusercontent.com/p/AF1QipMI9VzUy3Db4n53fo-tu8ZpV0NYOSzuZgOyhQVm,//:0,https://lh5.googleusercontent.com/p/AF1QipPWQAXeEw7cIjjpCPsHEObxM7pVwbckZO01PvZF,https://lh5.googleusercontent.com/p/AF1QipMW_KjXY8kD0T5rPBLJ4kwY7nz5cbJV9IUxUDBu,https://lh5.googleusercontent.com/p/AF1QipN0POLweJWJzbT_Z1d1JR2aLC1838esIk6hO1Sq,Cafe,Matrouh,Coffee shop
Grand cafe,"شارع الشاطئ بجوار نقابة المحامين قسم مرسى مطروح،, Marsa Matrouh Governorate",015 55441234,instagram.com,4.9,23,Marsa Matrouh,https://maps.app.goo.gl/UyPwPNg5wz47t1zY6,not available,31.356437,27.244563,https://lh5.googleusercontent.com/p/AF1QipN4jXfqj19-JwX5jhAB5FVx8aPDhLeXAkXuh7Fn,https://lh5.googleusercontent.com/p/AF1QipP2rILekopEBUOVN8hC36oj82maIBWJbYaCKzxo,https://lh5.googleusercontent.com/p/AF1QipPyXiDq5V5d9OiorvUQkY-VAmjdIsP_wVUmdRD-,https://lh5.googleusercontent.com/p/AF1QipN86kF1yYPLi_X3qHsvU7Sk7gwC3zM75-H5g3ld,https://lh5.googleusercontent.com/p/AF1QipO7mWyPhvmL-R5NyHtHO4Cez-qwezyjNXTBmCFF,https://lh5.googleusercontent.com/p/AF1QipPiqdiGKGLa1PrU4B64hlboy0quyhNXsEFD-dfH,https://lh5.googleusercontent.com/p/AF1QipMn1-DlQKuncQbJyQRglyge4y0UXEKdnb5kUOfp,,,,,,,,,,,,,,Cafe,Matrouh,Coffee shop
Cafeteria Elbasha,"963V+98P, Zaher Galal, Mersa Matruh, Marsa Matrouh Governorate 5057010",not available,Not available,3.9,111,Marsa Matrouh,https://maps.app.goo.gl/RpS5SyFV3GSRVcwB8,not available,31.353938,27.242938,https://lh5.googleusercontent.com/p/AF1QipPZp3HRcSyUCZTbB_LjTN06bJdyzC2nf3pdw_sk,https://lh5.googleusercontent.com/p/AF1QipNiGZL7lFbdvJoHeYvhDD3Y3XfETPxr5idIOB2Y,https://lh5.googleusercontent.com/p/AF1QipPvgbLmNvq95TJzijFzpqQwM0QYH5JbKWVHZ5Xl,https://lh5.googleusercontent.com/p/AF1QipOs3n9SndzmVz6SbkAUw_tbfbd5alsomswqSleD,//:0,https://lh5.googleusercontent.com/p/AF1QipPR-Fg_MLZZ6V-7vmvQQyVMlp8EttKOyeIA517U,https://lh5.googleusercontent.com/p/AF1QipOg4BJ2YU89tevKzo-Av3zeyPF_pjAoRIP3emIl,https://lh5.googleusercontent.com/p/AF1QipP6GA_59hDIYEmHyEECApdhWSfy985exmXsRE5g,https://lh5.googleusercontent.com/p/AF1QipOnZoiHeYOEWHre27SeINxuNSegoces6xskOhjf,https://lh5.googleusercontent.com/p/AF1QipOK27-lcMDpboKHVN4nwLPOSRc1b30j4Fng9ZAX,,,,,,,,,,,Cafe,Matrouh,Cafe
