Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Makanak Cafe,"4P7X+4R4, Taha Hussein, Qism Minya, Minya, Minya Governorate 2451176",010 09222510,Not available,4.3,921.0,Minya,https://maps.app.goo.gl/UgsYpMd1Qd9MP1Aj8,not available,28.112437,30.749563,https://lh5.googleusercontent.com/p/AF1QipMFTs1IK4ulhHrXDVX5MpD3qfSozE67tAH5THMf,https://lh5.googleusercontent.com/p/AF1QipMsKtJapA1v77lNgc9D_7YVZx8jK3bKWxAv5GW1,https://lh5.googleusercontent.com/p/AF1QipNrAH-SdZDScTHkXKBeL3E6L6GFGUTzThj-7Pd8,https://lh5.googleusercontent.com/p/AF1QipMzQLcG8QsiTztk8n9nWYmxf8hdA9W7pbUBubWh,https://lh5.googleusercontent.com/p/AF1QipOfzSN4aN8zIBHrckijK10BaKEKrC3r7yD0sAn5,//:0,https://lh5.googleusercontent.com/p/AF1QipOpaQxAm5vZ_cKuQMV0c8PN6fFu5r-WvznrSMVb,https://lh5.googleusercontent.com/p/AF1QipOYT-ozXgGkfbDmQ2d_Jh2MeQI7k_B8F5PWCnj1,https://lh5.googleusercontent.com/p/AF1QipMXPhbfzAr5bskPk53wWzsS0a0mdbp7i8MLzUqH,https://lh5.googleusercontent.com/p/AF1QipNnH28NeYmUv_HovsX1h2prk9psjTiNDjfvJJn1,//:0,https://lh5.googleusercontent.com/p/AF1QipPdqOhfnwsMcDSiSRcust4mMVr5e_nP_8Koxqqk,https://lh5.googleusercontent.com/p/AF1QipMzeqFj8ddA01EJUhwDZ7fWJmd0O6OnNunvX4WF,https://lh5.googleusercontent.com/p/AF1QipM6uuoIX7Nbcw6oeQqW-Sf0akB1qEXwnSdONEs_,//:0,https://lh5.googleusercontent.com/p/AF1QipPWYQWrVXV_CnZGdoxa7J5SwOqDAU-nCC4EcdNM,https://lh5.googleusercontent.com/p/AF1QipNc3jU3cn2Ml6Axe88lWJlO2XhJzRcWNgBGHJax,https://lh5.googleusercontent.com/p/AF1QipO_CI57Ej3msRveWxGAB8OtmgWiywzKc-XTcUG_,https://lh5.googleusercontent.com/p/AF1QipPuHCD4_TN9PNrkdFiOeD3eYFSQR4VCmF_OOaxT,https://lh5.googleusercontent.com/p/AF1QipPK5mvNYah2sp5k9RhtR6UPRoepZua750mWuhRO,Cafe,Minya,Cafe
Cezar Cafe,"Kornish Al Nile, Qism Minya, Minya, Minya Governorate 2451173",not available,Not available,3.9,662.0,Minya,https://maps.app.goo.gl/r8rizFqMYck6NAaL8,4Q34+58 Minya,28.102938,30.755812,https://lh5.googleusercontent.com/p/AF1QipOX2JgLERP5i47G6daUEklfqLNziIArwhylb5We,https://lh5.googleusercontent.com/p/AF1QipPNmZrDjd9E5_W3rwXjSCT5VFy3VZxs0lmK15LQ,https://lh5.googleusercontent.com/p/AF1QipPQ8ekjxMCxr3kDaqugMFVGkzLHFcdag7stWkKL,https://lh5.googleusercontent.com/p/AF1QipPEvQskJJATjvNs5bLTJqv-jxLJHGahEG4zZRXW,//:0,https://lh5.googleusercontent.com/p/AF1QipNx_GLG3Rr3q3wjSw7tl9gIWq6Nbmj_EyIYwbFQ,https://lh5.googleusercontent.com/p/AF1QipOzKi7ifsWzGeiDOWviPoZ_PTx7WLIQ6wWa0fIB,//:0,https://lh5.googleusercontent.com/p/AF1QipOKC5Dy4P5N1C8hzkygndvkceQ9qZNMH_dThohc,https://lh5.googleusercontent.com/p/AF1QipPw49JrHD4oCRaj0RYJ1fsLjOReDSOF_wdiqtP8,https://lh5.googleusercontent.com/p/AF1QipO4KlqGs5pOLFJRGKUGvnrkcHib1DsykkIreSpB,//:0,https://lh5.googleusercontent.com/p/AF1QipNYb_RA3LEjnNDDwp3ykE3RKNPD4i0cxnA2ERTm,https://lh5.googleusercontent.com/p/AF1QipPL13G_dBx1-uz8EbAQ1WOa-Zr0fCECZw21ZFpj,https://lh5.googleusercontent.com/p/AF1QipNt-8Vx4wctAUU1-O5oWojNlwPTV18FBwogxzwB,//:0,https://lh5.googleusercontent.com/p/AF1QipN1hxg2dAGVLcRhdbTcpWdlsmpdULdwnHO1tBhW,https://lh5.googleusercontent.com/p/AF1QipM5eRmB46jYOuVRecbxXCuAEtHprMyY0u8OUV2Z,https://lh5.googleusercontent.com/p/AF1QipOOp1V1yLOA1aHFudYQegVAxmjGewqNPih9TX0r,https://lh5.googleusercontent.com/p/AF1QipOJWkPK38Ha37hhf2XDftPRJgm6pDw7O_aSTNRa,Cafe,Minya,Cafe
كافتيريا برج العرب,"قسم المنيا, Minya, Minya Governorate 2411005",not available,Not available,3.9,37.0,Minya,https://maps.app.goo.gl/Ke9LaTucDRGZnqyT9,4G3H+45 Minya,38.102812,20.527938,https://lh5.googleusercontent.com/p/AF1QipM11VDNjQeZ_9s_QQulOu_PnHQ-l93bTqtNrbMR,https://lh5.googleusercontent.com/p/AF1QipOaBNrm8I9k2BoPoBz8GVc2jqwbhTdH_rTM1T_1,https://lh5.googleusercontent.com/p/AF1QipMiGKnFb1YCdmkj36kQjOHnvJ2JS0vlIwJrM37v,https://lh5.googleusercontent.com/p/AF1QipPtoR8-tGMuv6yktpRXZXfZO2hFJkM5y0C0sYgk,https://lh5.googleusercontent.com/p/AF1QipOFnCBq3u_v4rknx6NM0FxZgfS_z0Hrvew9n-Xi,https://lh5.googleusercontent.com/p/AF1QipO8Spu2Me8dfMPXXfbJx0oEqiAXWSp4I8npg6bZ,,,,,,,,,,,,,,,Cafe,Minya,Cafe
Paccino's Coffee,"Taha Hussein, Qism Minya, First Al Minya, Minya Governorate 2451141",not available,Not available,4.2,462.0,Minya,https://maps.app.goo.gl/vNa6Ltw5eSD8yYWa7,4Q52+W7 First Al Minya,28.109812,30.750687,https://lh5.googleusercontent.com/p/AF1QipOF-j8TkCr9lkq8Ts-tFWVD62wKYzZ99AZh1slK,https://lh5.googleusercontent.com/p/AF1QipOM9h_oAD0DmquuE3nD8H0yx5F58IRaT9Mp_PJ8,https://lh5.googleusercontent.com/p/AF1QipOK5mj8qXS3xeXTCz2yUWWghpntesTxQt3huIPf,//:0,https://lh5.googleusercontent.com/p/AF1QipNdjdVjjYQ6btq5peUVjnI3MSnsqGSqyWzxyGvQ,https://lh5.googleusercontent.com/p/AF1QipPAObAlNh-UEcfgi6A7MURRu3QjpqkXhbsKp9Ev,https://lh5.googleusercontent.com/p/AF1QipPHBei6tIHjl7fJ8qy8SxZPXh_g7TP03WGvJkL4,https://lh5.googleusercontent.com/p/AF1QipOJGNOX23WyemRfPVHlaC0hMpQAmCiq-CbYSTKB,//:0,https://lh5.googleusercontent.com/p/AF1QipMyu-zLtHiubKHfZY9mAVPhwO3IxUnTAvgSQHbi,https://lh5.googleusercontent.com/p/AF1QipNMZ5ISplTVGHYnnNPJGvs2IfsUy5fPcod0tz_M,https://lh5.googleusercontent.com/p/AF1QipOb3oJx_mryR8dS9uDhLkOAikMOSCzgFNiKylV6,//:0,https://lh5.googleusercontent.com/p/AF1QipOTmM37MeRcc-HdFJlRbha8zLDAF-WIp4RE9FXH,https://lh5.googleusercontent.com/p/AF1QipPQ62oYr1s4JL83BurVnuIMS8sm7Ev6LQWsfiVm,//:0,https://lh5.googleusercontent.com/p/AF1QipPSAvK_-D-_UR0cF1xav0Fm-T7REhqXAlfslsUS,https://lh5.googleusercontent.com/p/AF1QipNHoXlZeEm-FAX70mHDH5wXgDPTfw7bVKcWC07f,https://lh5.googleusercontent.com/p/AF1QipOGy1qEmzxB6nIWwzuroPYtnhyS4bovQfD04N6r,https://lh5.googleusercontent.com/p/AF1QipPu2IpaTvfZ04YWpG3849BkeDN9LbNYqU2MMjkd,Cafe,Minya,Cafe
Mix Cafe,"4P8V+WC9، الطريق العمومى، ارض شلبى, Minya, Minya Governorate 2431415",086 2319978,Not available,3.9,179.0,Minya,https://maps.app.goo.gl/vDf6LJhpSEi5yPBa7,not available,28.117312,30.743563,https://lh5.googleusercontent.com/p/AF1QipPwt1rhbrSIrUPFxciJdS3YotWC78r958Xp9lk0,https://lh5.googleusercontent.com/p/AF1QipOErj7MsPNZ3XgPRGXUIGwNRrdg0uL9A5dSi4zL,https://lh5.googleusercontent.com/p/AF1QipOLWJO_4d9M-Hbd8XGph-WDTEv9wAPbSLUPhO5D,https://lh5.googleusercontent.com/p/AF1QipNe_ehsGh8RhgdwoLpSVvLIEx-D48Lj_fqXcii1,,//:0,https://lh5.googleusercontent.com/p/AF1QipM0ae4Wl-QmuXg6utAMaOeQ_QRodajm3_wodN4Q,https://lh5.googleusercontent.com/p/AF1QipOzih593pVq5DHZy7TMHvRgiM6FNurcgsOU22lW,//:0,https://lh5.googleusercontent.com/p/AF1QipO0j7ZdSMe-T6fOIXQEBsjMqYPz7ZxaihGrE-3M,https://lh5.googleusercontent.com/p/AF1QipPBMxtCQo2kgyvV--0YaUSpAKN_LGoq-zp6ZLd8,https://lh5.googleusercontent.com/p/AF1QipOdZAIJwzPgtZLineMZJJA1bZx2slEGV4KB5fQD,//:0,https://lh5.googleusercontent.com/p/AF1QipPLzmYmdymG4dmPf1lDf8JonDlucWJJYMgRysiz,https://lh5.googleusercontent.com/p/AF1QipO-mqImXqTegArw_kmCMo0A9wXfaODlgd3OtrkM,//:0,https://lh5.googleusercontent.com/p/AF1QipOwnDJ_GsbvrDkm45EgFYyXEyZoqyk63GWFHKI4,https://lh5.googleusercontent.com/p/AF1QipOpS96pnQngD4X_8peXgnO9knln7OJoWeXZwUch,https://lh5.googleusercontent.com/p/AF1QipPbXpeUYCzMfh4i055iuo2IjAJ8CtpKqWwZ8lIP,https://lh5.googleusercontent.com/p/AF1QipM-kEnjs1WBRNxtVpVGc87YsafpJNrw9lX2vo2e,Cafe,Minya,Cafe
Vibes Cafe & Restaurant,"3RW2+6CV, New Minya, Red Sea Governorate, مدينة المنيا الجديدة، المنيا،, New Minya",012 70907064,Not available,3.5,15.0,Minya,https://maps.app.goo.gl/hUGQSaZZiX5Mav7w9,not available,28.095562,30.801063,https://lh5.googleusercontent.com/p/AF1QipPatGAobKZyT8fv1LKxRsQys_X5Nn0s_HhAZOLs,https://lh5.googleusercontent.com/p/AF1QipMwhFyz5KHnzlZs2aNL7JXqCof8QbSR1mMDypWQ,https://lh5.googleusercontent.com/p/AF1QipOtfa1gkd17xZAqSDuQa_fs1if7VtpqbYUTJ72V,//:0,https://lh5.googleusercontent.com/p/AF1QipOnlFQfSuRaDy0HVAEHyBJCeiD-1evXzMSHEV7T,https://lh5.googleusercontent.com/p/AF1QipNsc4NK-WbpVSZogb3s59nWXwXlrZSTvILF_l8O,,//:0,https://lh5.googleusercontent.com/p/AF1QipMcDBOhCTMUQJnAWNDotx1yUoIkzd834hJX2sIQ,https://lh5.googleusercontent.com/p/AF1QipN6BBOfNzgy2ReDylmywuvbKz81a6wxP6IBE-YH,https://lh5.googleusercontent.com/p/AF1QipP3GoD6PSlacQxcoBd5i_BMdWd855CnfuLPdKUP,https://lh5.googleusercontent.com/p/AF1QipNtx_pAu-zswKIrJZdxFnaIaccksx8qf008zxNO,,,,,,,,,Cafe,Minya,Restaurant
بن العسكري ELaskary Coffee,"بجوار البان الكرمة ومصوغات العمدة, شارع Ibn Khasib Rd, Qism Minya, First Al Minya, Minya Governorate 2451123",012 71051047,https://www.facebook.com/elaskarycoffee?mibextid=ZbWKwL,4.2,80.0,Minya,https://maps.app.goo.gl/MMhsSFmZgJW4WrDk7,3QX4+Q5 First Al Minya,28.099438,30.755437,https://lh5.googleusercontent.com/p/AF1QipPd_lHR9lDYNvZCebv1qTmT8z62TDxL0778FpL1,https://lh5.googleusercontent.com/p/AF1QipPF-vceBnar4QshPKG6tRpBMWtBd_L40RXh9GIf,https://lh5.googleusercontent.com/p/AF1QipOuMHvxoLl9vZldHQl64Q8PMqFN7Vz_Sfe5kh2h,//:0,https://lh5.googleusercontent.com/p/AF1QipOsb1hlloJMh8o0DBxCgfXLI6SYasfIp_2rNORt,https://lh5.googleusercontent.com/p/AF1QipNR_lxDZQOdbfiHA58yUHOJlnKwLMPjd4pdyBTK,https://lh5.googleusercontent.com/p/AF1QipObIYsywrfKfUmNCVoHtOrdn9w6qNIJ1HQvqKY5,,,,,,,,,,,,,,Cafe,Minya,Coffee roasters
MaFia Ps4,"3QP7+FPC، شارع الجراج، مساكن أرض المولد، قسم المنيا، المنيا،، قسم المنيا، المنيا،, Third Al Minya, Minya Governorate",010 07168581,Not available,4.2,5.0,Minya,https://maps.app.goo.gl/98m6YynY8VVbyPu58,not available,28.085563,30.764437,,,,,,,,,,,,,,,,,,,,,Cafe,Minya,Cafe
Paccino's Cafe,"3RW4+3F4, Unnamed Road, New Minya, البحر الأحمر 2460566",010 33777117,Not available,4.3,567.0,Minya,https://maps.app.goo.gl/qs5Lo9N3Sx3fpcdJ7,not available,28.095188,30.806188,https://lh5.googleusercontent.com/p/AF1QipM606dn7ep_YtqlySEME_q3lV_oH-inA37gRT1K,https://lh5.googleusercontent.com/p/AF1QipNkmj-CzO6kqhI5rVsajOiP5DFnGqMp65ZvDncA,https://lh5.googleusercontent.com/p/AF1QipOOzBCRf3dmt6H2XQ6cj4JkYZX4dU7_k2ZWzgSs,//:0,https://lh5.googleusercontent.com/p/AF1QipPa4GE_Wu_Dd-wCirsWoN5_sX1S_yd_LlNC3eL1,https://lh5.googleusercontent.com/p/AF1QipNwSndeHq6_Kgri3KrUPrshTA7UQrBSeqLP5Q6J,//:0,https://lh5.googleusercontent.com/p/AF1QipMT1xo4p29kyGJnlGUROwr_yetpKcfU0YAQPDLX,https://lh5.googleusercontent.com/p/AF1QipNcLjK__hdyDoDPWUS1z6b7SHSqnaFOd61bLy_-,//:0,https://lh5.googleusercontent.com/p/AF1QipNUKT5F8SkcxL-O9eSBO95TqUUxsqcEAlM5LJ8J,https://lh5.googleusercontent.com/p/AF1QipPdOml95J1ZY5vGShdqwe7pqOuFIXETtZBsLe9F,https://lh5.googleusercontent.com/p/AF1QipPnP9XisEjiQva-lNsHJuJ4TsE-CBRqv53Mvzs-,//:0,https://lh5.googleusercontent.com/p/AF1QipOf_cJVAtBu035wyRqh6R3Up_uAElkxPIX2NVFB,https://lh5.googleusercontent.com/p/AF1QipMfEGYOStPPtanuhRHoPdIJJn0TPzhqLtXpFM0g,//:0,https://lh5.googleusercontent.com/p/AF1QipMj5tqcRjbuqplrS7Z0xThLboqyjqm8yyCmavBs,https://lh5.googleusercontent.com/p/AF1QipPzqnIchubDL1u8SMul8P4nxJizUtmeI42r11ZQ,https://lh5.googleusercontent.com/p/AF1QipNXETNSwBQBgGF81LW_1JwrVYPkWjiWF6WzWFBd,Cafe,Minya,Cafe
Tablia Cafe كافية طبليه,"4Q42+6M9, Qism Minya, Minya, Minya Governorate 2451135",010 24169848,Not available,3.9,285.0,Minya,https://maps.app.goo.gl/ikRtVKSkChuz5PPT7,not available,28.105562,30.751688,https://lh5.googleusercontent.com/p/AF1QipNGaqXr-Y9mBuwrBwhfp42pPXSPrKv9ro2bF5u3,https://lh5.googleusercontent.com/p/AF1QipPku8x4i4gbvAWYJLhUL98fAQhlq91irMBYsn7L,https://lh5.googleusercontent.com/p/AF1QipOU1f99cNcYbGCrAcIsKQWkTG9uRYPZ2mmPoMig,https://lh5.googleusercontent.com/p/AF1QipOf5m1DmAl0QmtmnHPL-1zINLsDGkWbwFTo8G_z,https://lh5.googleusercontent.com/p/AF1QipNAdBdWIgER-n9pn4ML0fwonN_Q-GI0wMf8IAPV,https://lh5.googleusercontent.com/p/AF1QipPmccKGLIp2FmOHDCNzkN415qtj5pz_LJi8YJBm,https://lh5.googleusercontent.com/p/AF1QipPI2-tDa8GH9xFrhhRSxBtnF6ZF2od7v0rVsMsk,,,,,,,,,,,,,,Cafe,Minya,Cafe
