Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
كافتريا الشيف (ضى القناديل),"El Sadat City, Menofia Governorate 6012142",010 08803469,Not available,4.1,9,Monufia,https://maps.app.goo.gl/Udxmd3EnFe958QPb9,9HQ8+HQ El Sadat City,30.388937,30.566938,https://lh5.googleusercontent.com/p/AF1QipNwz-fdSnMASub6Sq5ToVwp8HLBfi2k3Xq7dgx9,https://lh5.googleusercontent.com/p/AF1QipO8Fj3fFUu0dtP9nFXWugOsHx07JpaI8Jqz2Rr_,https://lh5.googleusercontent.com/p/AF1QipPbXq9F8Xqd8H-dtY38AP_vvMDq32Jq6WOQ7J3d,https://lh5.googleusercontent.com/p/AF1QipOkx-HT25Qaka6ragKM4sEXXrJ-vpSLsLpzHcti,,,,,,,,,,,,,,,,,Cafe,Monufia,Cafe
آدم كافيه,"El Sadat City, Menofia Governorate 32897",010 69333352,Not available,3.8,223,Monufia,https://maps.app.goo.gl/xQje9xS8q4YSrzaE9,9G95+G4 El Sadat City,30.368812,30.507813,https://lh5.googleusercontent.com/p/AF1QipPJn_YiXut-ItkUywsPypvVELK1zCpQAQUv-DXr,https://lh5.googleusercontent.com/p/AF1QipNKC1CSAIr_iNcXM4ugiUff3fx4PcT7SNyNTNax,https://lh5.googleusercontent.com/p/AF1QipPA4s6kbqEdh96gUuhX1p-bmx04jYcAjy3YCdNl,https://lh5.googleusercontent.com/p/AF1QipMvpzi3kAcr34RL4RnqMdgv6dzEFqaknDROblge,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPSG1VfXsQv5BeISVPoWSs687fLkNbEbBbgjD3I,https://lh5.googleusercontent.com/p/AF1QipPmIbG5Mm0cqc5ABfbKhzE4SmcDVJfeS49ak8Cf,https://lh5.googleusercontent.com/p/AF1QipN_b3vTj8MmZwFXtFhyCE4BoEGuOYpF8MCd9x3B,https://lh5.googleusercontent.com/p/AF1QipPqkIzpbS1yB4ABFU5gIleE0M_kAS_WzVMMqPft,Cafe,Monufia,Cafe
Oasis Restaurant & Cafe,"9G67+6H2, El Sadat City, Menofia Governorate 32897",011 20300311,restaurantguru.com,3.9,153,Monufia,https://maps.app.goo.gl/hTjAm6pCTRjczbjN7,not available,30.360563,30.513937,https://lh5.googleusercontent.com/p/AF1QipPj7B4nJowV0WTE7cRkLNT-cYjIs6dEU0ds3CaY,https://lh5.googleusercontent.com/p/AF1QipP9zo8fmWg27CXe9zzNjxABJ1cPTTta56zweUWh,https://lh5.googleusercontent.com/p/AF1QipPFWUQY__1FRmbgKVcmh5RTPlEpQFZ1QZam26K_,,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPjF9l4e8JXyuvsHqcx-WFEjfo6kNQk7YLfLTAc,https://lh5.googleusercontent.com/p/AF1QipN8eFe3CVPV5tqj0NTq9-ko0v_7WfxmKF1l8Lxv,Cafe,Monufia,Izakaya restaurant
مطعم فول وفلافل الرحمن,"9G9M+C4G, El Sadat City, Menofia Governorate 6010781",not available,Not available,,,Monufia,https://maps.app.goo.gl/pCbmxm8dCQw93hpe8,not available,30.368563,30.532812,,,,,,,,,,,,,,,,,,,,,Cafe,Monufia,Breakfast restaurant
مطعم فلفلة,"9G5M+P3X, El Sadat City, Menofia Governorate 6012103",not available,Not available,4.5,2,Monufia,https://maps.app.goo.gl/eyADTrTgvRLZ6vE1A,not available,30.359313,30.532688,,,,,,,,,,,,,,,,,,,,,Cafe,Monufia,Breakfast restaurant
Euphoria Lounge,"مول سفن ستارز، مدينة السادات،, Menofia Governorate",010 50006426,euphoria-lounge.com,4.3,322,Monufia,https://maps.app.goo.gl/vVgkwm2XXxxyE3BL8,9FFX+5X El Sadat City,30.372937,30.499938,https://lh5.googleusercontent.com/p/AF1QipO0IWU_GTwMupWyP9tlCNNWUj78rFC4m_Us-bqI,https://lh5.googleusercontent.com/p/AF1QipMibVNbjTJ76CcV-dtyxDwWZigTmKzNSsA-jT3A,https://lh5.googleusercontent.com/p/AF1QipOqmJWVmSzdwLVDXmq2DPrz6zOcZLiL02oW7aXm,https://lh5.googleusercontent.com/p/AF1QipNUzs_RGko-hJe1N1iHQH-oN2nO69KAD_A14XeK,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMPjeOPWr3LkFzOCv-Q21Mu38iOxAb7umKcyi6b,https://lh5.googleusercontent.com/p/AF1QipODHgkVvkI-zvLIwyfFkVX6Y-wNG8T992anzCSt,https://lh5.googleusercontent.com/p/AF1QipPIdboVWXT-d1lDOi9nX8BC-4pyCP2VA-D-NXbx,https://lh5.googleusercontent.com/p/AF1QipP2ulI_AVXyHwkN_qO4Pk9SDg6p6BiDCEB82hzO,Cafe,Monufia,Fine dining restaurant
FOREST,"9G72+H82, El Sadat City, Menofia Governorate 6010330",010 03718384,Not available,4.3,58,Monufia,https://maps.app.goo.gl/SER6gMUTTf44x3Gd7,not available,30.363937,30.500813,https://lh5.googleusercontent.com/p/AF1QipMYO8gMoTA1mbbCh7UrPwOWPH-LcETnxVkp29kI,https://lh5.googleusercontent.com/p/AF1QipMBPoVNRXxQeG9o5kyYnEIKRVVk7oRUlPmhGeMC,https://lh5.googleusercontent.com/p/AF1QipP5j616KR1xa-_3_86pzeSxuTERdmCKn7YvlyD1,https://lh5.googleusercontent.com/p/AF1QipP5T4Rsd2Dj-J05i3LMBs8zk9qSx9CeQTaROFvC,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOhhBah42IC71AsbLyvwMzpPDWBTy4LEOvaNK3Q,https://lh5.googleusercontent.com/p/AF1QipPo4pfiae9KpHNpQnyRbnkE0G2GbdDBprNXLH0j,https://lh5.googleusercontent.com/p/AF1QipNquVWv9HSRM-6LuUPeIZv7sazQsG7usLhlxqBu,Cafe,Monufia,Restaurant
master alex,"99VG+2RF, El Sadat City, Menofia Governorate 6010020",not available,Not available,4.7,3,Monufia,https://maps.app.goo.gl/Fk6RV2PYQzG1WWkW7,not available,30.392562,30.377063,,,,,,,,,,,,,,,,,,,,,Cafe,Monufia,Restaurant
مطعم الريس,"9GXQ+MR8, El Sadat City, Menofia Governorate 6011531",not available,Not available,5.0,1,Monufia,https://maps.app.goo.gl/VaoJRSxiCVQ6fWDL8,not available,30.399188,30.539563,,,,,,,,,,,,,,,,,,,,,Cafe,Monufia,Breakfast restaurant
كفر جعفر,"شارع أبوبكر الصديق, El Sadat City, Menofia Governorate 6010420",not available,Not available,,,Monufia,https://maps.app.goo.gl/r5xXYSGs86WGzoKf6,not available,30.202312,31.457313,,,,,,,,,,,,,,,,,,,,,Cafe,Monufia,Restaurant
