Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
قصر الشوق كافية,"Kharga, The New Valley Governorate 1342124",not available,Not available,5.0,2,New Valley,https://maps.app.goo.gl/hegXLXN1LzDYpwPK7,not available,30.202312,31.457313,https://lh5.googleusercontent.com/p/AF1QipNl8vkixW5TB99RwLQkWk5zZTx8kPVl3SzkDEmQ,https://lh5.googleusercontent.com/p/AF1QipPjx0CMIghwDCqyX0rxFWhbkmKYcZwVulEm1XE-,,,,,,,,,,,,,,,,,,,Cafe,New Valley,Coffee shop
كافيه قتة,"9J53+RF5, Unnamed Road, Kharga, New Valley Governorate, Abu Simbel, 1211160",not available,Not available,4.9,30,New Valley,https://maps.app.goo.gl/QW29ZjeiUTWKnBo46,not available,25.359563,30.603687,https://lh5.googleusercontent.com/p/AF1QipOamQEv9DBqKyUaJwjneKy99AxKk6MHXajNkyZD,https://lh5.googleusercontent.com/p/AF1QipOfQ718rryO3-_KlscAh-7HigRpn0du3AYLQsK9,https://lh5.googleusercontent.com/p/AF1QipNnMcAOMmkbqKBwUj1B6V7eRHykqFlwsM6yNS7W,https://lh5.googleusercontent.com/p/AF1QipMH5C1-tEN2lECPK6ogGcfZKYPaQ7yvKyZzfPyw,,,,,,,,,,,,,,,,,Cafe,New Valley,Coffee shop
El Hayat Cafeteria,"HWQP+6WQ, قسم, Al Wahat Al Dakhla, The New Valley Governorate 1035280",010 00706176,https://m.facebook.com/profile.php?id=1071408062945614,4.1,27,New Valley,https://maps.app.goo.gl/snRiuWkACnZ1SVxQ9,not available,25.588062,28.937312,https://lh5.googleusercontent.com/p/AF1QipPaNO_Zj689FpR2ZM2mO8oLODna38Xh9yvK-bLA,https://lh5.googleusercontent.com/p/AF1QipMBSUokpwesatkBmBK_7RLnIr7NenO02d6UJ9lp,https://lh5.googleusercontent.com/p/AF1QipMyZYwXzocc3SgHeDx2hiik8cQl8pm3_Ffj4Mkt,https://lh5.googleusercontent.com/p/AF1QipNLpec1UQGx9PQxUGQpMwWAHNEmYcfpjKRp_Ggn,,,,https://lh5.googleusercontent.com/p/AF1QipNWk1PpzytqUpNQ3GGUgf9o0mCXzT_J7__jtBur,https://lh5.googleusercontent.com/p/AF1QipPyjTBvS1cLEOfzKHyIoa_MZVcj5pMQ9QIwRazr,https://lh5.googleusercontent.com/p/AF1QipM6fZSKR4frmi4BsZPoclJeca5FvxhNkI1aM0b0,,,,,,,,,,,Cafe,New Valley,Cafe
قهوه 9*الخير,"CH2M+HWV, Aswan - Abu Simbel Rd, Kharga, New Valley Governorate, Abu Simbel, 1211382",not available,Not available,4.5,143,New Valley,https://maps.app.goo.gl/Vkq2cRCuMgX2saQq6,not available,22.401438,31.584812,https://lh5.googleusercontent.com/p/AF1QipOA_9CHXXWRysSyaC_LK9LN66jz58DjZrTX3_hU,https://lh5.googleusercontent.com/p/AF1QipOIXpfkOxiWJlGLqSD4-Aq1Db0IKy3B_cAk9J2r,https://lh5.googleusercontent.com/p/AF1QipNZduGdiy9F_OlrinCvkS3Va7K7CTrQAFTP9CFe,https://lh5.googleusercontent.com/p/AF1QipNL7NKC6D66kimiY88EgPmVxD3v56DZG5e4YpLQ,https://lh5.googleusercontent.com/p/AF1QipOMnTpa0dKbHIx_Z659Ht6ehPiLL_fi2-kswQWT,https://lh5.googleusercontent.com/p/AF1QipNTrhZEbYgGkQTmlUR3clj1f0k3CNhfciTyqFNj,https://lh5.googleusercontent.com/p/AF1QipM1PXPFd0kyOcuxwyW5WFlOU4aG1bA2-lX_R4n9,,,,,,,,,,,,,,Cafe,New Valley,Cafe
Valley of the Kings Cafe,"25QG+8VR, Nahia Drain Rd, Saft Al Laban, Imbaba, Giza Governorate 3713746",010 68713116,Not available,3.9,546,New Valley,https://maps.app.goo.gl/nHPujoY4aNCwCA8e6,not available,30.038438,31.177062,https://lh5.googleusercontent.com/p/AF1QipO5LxYPeRhS7f0KjKZVx_ScyEs_Nxp8x_GCOAtX,https://lh5.googleusercontent.com/p/AF1QipP97RjT4nP_R7tG4petnGoS5bAw0Jcx32FTOVRv,https://lh5.googleusercontent.com/p/AF1QipO_Qr5FMuk-_JLLwTAOKbRHk4HvKYJPQlIwSFZp,,,https://lh5.googleusercontent.com/p/AF1QipPx4bc454QWB5g5sw2bLOT9howt3E70YEDK_PEd,https://lh5.googleusercontent.com/p/AF1QipMB3I12-4Vp7ydiqrUxovGtQ3ZM3PwgSgB41mZG,https://lh5.googleusercontent.com/p/AF1QipP-Vl7RXYfk3oafA2_ya2Mr6aP6OK3PceYkJZfL,,,,,,,,,,,,,Cafe,New Valley,Coffee shop
Seventy one restaurant & cafe,"2243+JHC Royal Valley, التوسعات الشرقية, First 6th of October, Giza Governorate 12577",not available,Not available,4.6,45,New Valley,https://maps.app.goo.gl/K8yMkHYp7qx1wGDB6,not available,30.006437,31.003813,https://lh5.googleusercontent.com/p/AF1QipORhFbPab2_zzExZS9RAndva129lZBhbaWq1A9J,https://lh5.googleusercontent.com/p/AF1QipMb74BvZlb5FtzxKQPeF3aArcvTnLUTff79J4U2,https://lh5.googleusercontent.com/p/AF1QipO_n2SGBQF7jx2FpuVU00tiB4lIw4K8_xFn-VXa,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNDxDHWxlK2_Xrq-Zjd0gNVWfyAuRIsSAcbGqGZ,https://lh5.googleusercontent.com/p/AF1QipPhqt-NSnHgYjt5RirZt3AeBFIP3dYNI7TvJJhH,https://lh5.googleusercontent.com/p/AF1QipOzywahozNYdcxpzuWa-hsB-nVS7Kimn7qjN46i,Cafe,New Valley,Cafe
Dunkin' Donuts Moon Valley,"Moon Valley, S Teseen, New Cairo 1, Cairo Governorate 4726423",2FGQ+2R New Cairo 1,Not available,4.4,"1,568",New Valley,https://maps.app.goo.gl/a4Cq6523L3i5eFQV7,2FGQ+2R New Cairo 1,30.025062,31.489562,https://lh5.googleusercontent.com/p/AF1QipNwbb1gRk2iEKBbuI4fz40LY68g-2OF5Ud-tsON,https://lh5.googleusercontent.com/p/AF1QipO_WHOkfnomBoAag8pnccieQZI4JI87VCJ5OGk,https://lh5.googleusercontent.com/p/AF1QipOJ1fGpy2S8rEuyYzdgOYSZJG73x-IofpjKMzFx,https://lh5.googleusercontent.com/p/AF1QipMDRcVPOHM21u1PmMrq_s0b_ME5FY-kc6gE6Quo,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPWcSVVpeBa4ZJL9LuFvhVM5wkdSaNWreU3hBqv,https://lh5.googleusercontent.com/p/AF1QipNyg4OHo_ndxcfmFhy21JyaKxbj1mdtPoLimp_Z,https://lh5.googleusercontent.com/p/AF1QipP4vxYo3bqFuZ59zwBydqj9hgBkOTVxttbIKGLT,https://lh5.googleusercontent.com/p/AF1QipNQRlBsoH9rSyqklN0I47-nseVWZTEymUa4hfxL,Cafe,New Valley,Donut shop
Cafe Business VIP,"FXXR+CWW, 60M, قسم الواحات الداخلة، The New Valley Governorate 1034360",not available,Not available,3.8,34,New Valley,https://maps.app.goo.gl/TE16mvqFFLZdefPE6,not available,25.498562,28.992312,https://lh5.googleusercontent.com/p/AF1QipNiPm38JZCVGw7qffhcYH9mNpSKWceIosujI97Z,https://lh5.googleusercontent.com/p/AF1QipN04Tz3uMclEoI59kdA_4w74sDW-95kgkVYcQKE,https://lh5.googleusercontent.com/p/AF1QipP0aTzjtQIK_dyWDWvsLNuYHX6UEKjxAT-M3LfE,,,,,,https://lh5.googleusercontent.com/p/AF1QipMgqcy4MuulM5-3cWDgLtIubuO_V4OFHpzdhSvT,https://lh5.googleusercontent.com/p/AF1QipM4LM1rhG5cTPSCsqYAYZLz6RR5H9kQhPmtmY6C,https://lh5.googleusercontent.com/p/AF1QipPgfMdv0_1f6WJKN5B9AUU0MjZSaNts3e9BMMEM,https://lh5.googleusercontent.com/p/AF1QipMxGNLwbz-GlvCbYOnMks7w2o0KSFRvetF5IDX3,,,,,,,,,Cafe,New Valley,Cafe
Dunkin Donuts - Galleria Mall,"Galleria Mall, South Teseen St, Near AUC, Cairo Governorate",2FFQ+XJ New Cairo 1,Not available,4.2,119,New Valley,https://maps.app.goo.gl/2ietGLKM7sRyp8at7,2FFQ+XJ New Cairo 1,30.024938,31.489063,https://lh5.googleusercontent.com/p/AF1QipNSk6SCip6FQVLjuRKKu0jJMVoLiyEatXQGTqx_,https://lh5.googleusercontent.com/p/AF1QipMvsBxuvLhTPTuQf5UrgkDijlDdqJRBG2BjswkT,https://lh5.googleusercontent.com/p/AF1QipOEiukdm9o8vo2XsvtNtNzhMnXNmg-tGmmolF_x,https://lh5.googleusercontent.com/p/AF1QipNfbohxgQ2-oNh7ABK8D7EAIxWaC6pmoWtn3Mt4,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOf_GZd60l2CXBJ9RGfUSEI5zu1foAqeqUhuSMd,https://lh5.googleusercontent.com/p/AF1QipPVIoRMMDcaamUNALfi5k12a61NI05EEIo4fdAq,https://lh5.googleusercontent.com/p/AF1QipMo1JZvNiQFhMHkAeOyFAs8aRi46_vZl-uTVUbF,Cafe,New Valley,Donut shop
مخبز الشيماء,"HWJP+9MV, قسم, Al Wahat Al Dakhla, The New Valley Governorate 1035010",not available,Not available,3.8,22,New Valley,https://maps.app.goo.gl/CJ59mqT4zL3RLWaKA,not available,25.580937,28.936687,,,,,,,,,,,,,,,,,,,,,Cafe,New Valley,Bakery
