Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
coffee 77,"شارع يسري بكير, Qesm Thaleth Al Arish, North Sinai Governorate 45511",012 12345973,Not available,4.5,4,North Sinai,https://maps.app.goo.gl/icR6rPPRcYsC5seh6,4RH3+Q7 Qesm Thaleth Al Arish,31.129438,33.803187,https://lh5.googleusercontent.com/p/AF1QipNvEX7yq3WZPMkHpQhxVckXuzVlZKLgR2x-0Tr0,https://lh5.googleusercontent.com/p/AF1QipNu6Kj_BKe3a3XMaPgslR5CzAw2l6fvKl76_orG,,,,,,,,,,,,,,,,,,,Cafe,North Sinai,Coffee shop
Younis,"4QVW+2Q9 قسم ثانِ، القرش, Qesm Than Al Arish, North Sinai Governorate",012 77233921,Not available,4.0,29,North Sinai,https://maps.app.goo.gl/V5cUGNjpyPucmxVUA,4QVW+2Q Qesm Than Al Arish,31.142562,33.796937,https://lh5.googleusercontent.com/p/AF1QipM82OxMqQp7kn_-4LeSd9r6s2U4wGKWU1ZENLFo,https://lh5.googleusercontent.com/p/AF1QipMbLcvZZ_vMDh1ZKPJO23R9ZU_cvir32zo2jW0l,https://lh5.googleusercontent.com/p/AF1QipOrnWl-o6kv7s6I0h2JL8UX_obh-lRGDjaVJSrF,https://lh5.googleusercontent.com/p/AF1QipPH8YEmB_WS2dJp27QKaxLiyw97JdqEQXR6l6hg,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipM88cCKFqlFZmd71uOc7uOiaRUIEl4WMf6a2xlv,https://lh5.googleusercontent.com/p/AF1QipPOT-WBOEy7Lx4zBmAm73z_DtdUC-KDq4lrdPLC,Cafe,North Sinai,Coffee shop
ELfardous Coffee,"شارع 23 يوليو, Qesm Thaleth Al Arish, North Sinai Governorate 8954758",011 46783052,Not available,5.0,2,North Sinai,https://maps.app.goo.gl/p3KHvU87nCNVZyaEA,4RH3+6C Qesm Thaleth Al Arish,31.128062,33.803562,https://lh5.googleusercontent.com/p/AF1QipNPZP0B-ZUok5f2HWczsuJnntzgE_wY3adGBVvK,https://lh5.googleusercontent.com/p/AF1QipOreeBbjJA7V3hT4hwTD-qnS-jgKs8R9DDPGjlv,https://lh5.googleusercontent.com/p/AF1QipONX2oq83-fFzc_4qa6oq2G1ROIzYHYiQMVBlvA,https://lh5.googleusercontent.com/p/AF1QipOqE187UzE2iRwbVSgUHf-m5fVU8qzlFQCMmwQy,,,,,,,,,,,,,,,,,Cafe,North Sinai,Coffee shop
Voodoo,"4RF2+WW9, Qesm Thaleth Al Arish, North Sinai Governorate 8954746",010 90004520,Not available,5.0,5,North Sinai,https://maps.app.goo.gl/xjQaSQLbgC51LJna9,not available,31.124812,33.802312,https://lh5.googleusercontent.com/p/AF1QipM2NRtVWn2LEUqWHQ15M2lFFwvf7GgUJnNlgWHF,https://lh5.googleusercontent.com/p/AF1QipN7MHN-pZ2XpJRdepkHRCFpyDdAmRT32Ly5M1Gl,https://lh5.googleusercontent.com/p/AF1QipNS_fdvfv3WwJKvWK230zlKsJg62sTi3cBmJNQv,,,,,,,,,,,,,,,,,,Cafe,North Sinai,Coffee shop
Godzila Camp,"كورنيش البحر, Qesm Thaleth Al Arish, North Sinai Governorate 45511",010 62188974,Not available,,,North Sinai,https://maps.app.goo.gl/MqZEM96oP87N778u7,4QQJ+69 Qesm Thaleth Al Arish,31.138063,33.780938,https://lh5.googleusercontent.com/p/AF1QipPuEg6wf-wA9iPs_3xtHyyARNSIBT_EYReKOMOr=w408-h725-k-no,,,,,,,,,,,,,,,,,,,,Cafe,North Sinai,Cafe
Avocado camp,"ساحل البحر, Qesm Thaleth Al Arish, North Sinai Governorate 45511",012 89304739,Not available,4.4,38,North Sinai,https://maps.app.goo.gl/NsSnFRUrsvgJdjs7A,4QQP+WG Qesm Thaleth Al Arish,31.139812,33.786313,https://lh5.googleusercontent.com/p/AF1QipPpy-G0LKgN4Ka6aJNqtiy7NHtc1USEsM52CZDe,https://lh5.googleusercontent.com/p/AF1QipP7dakYvfaX1By2bBpfR_KGK_256eCreG1Exj5U,https://lh5.googleusercontent.com/p/AF1QipPhXHfVt-Em4T3T7Q0TDpjtVzg65G31MURuEcFI,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipO3-DRT-sjdEmul2Xg6O-ATVqgekpRnYybDbYMW,https://lh5.googleusercontent.com/p/AF1QipNhLdV0_pe_OeDNxQLmzdYEXtDOi2GT9jSDM5uX,https://lh5.googleusercontent.com/p/AF1QipO8zM5OBIesVQT3xLa49_hZZ2nJACYXfRk1aW8w,,,,,Cafe,North Sinai,Coffee shop
Hashem Cafe,"4RH4+44V, Qesm Thaleth Al Arish, North Sinai Governorate 8954813",010 05294070,Not available,4.1,44,North Sinai,https://maps.app.goo.gl/SojeVA55UXSQ3Pfk7,not available,31.127812,33.805312,https://lh5.googleusercontent.com/p/AF1QipMkPrzQGwo1PgzcmV2nbSkqGeavEvRbxRtG_eJh=w408-h725-k-no,,,,,,,,,,,,,,,,,,,,Cafe,North Sinai,Cafe
Maxel cafe,"مول الحسناء بجوار كوداك, Gandel, Qesm Thaleth Al Arish, North Sinai Governorate 45511",011 22816881,instagram.com,5.0,3,North Sinai,https://maps.app.goo.gl/kF1qDhRwS1ZFWVZh9,4RG4+C2 Qesm Thaleth Al Arish,31.126062,33.805062,https://lh5.googleusercontent.com/p/AF1QipMkJ3If-Kk1cSnspWQV9Qdi3XlcpJLPgFyJQsh5,https://lh5.googleusercontent.com/p/AF1QipOEzGtk4aXoFoF9teH5huuQvkPJ5DrSCgO3kQcT,https://lh5.googleusercontent.com/p/AF1QipMZpce_NZ8HhMgiF5793PvVd-PqG7pdeOMbgujX,,,,,,,,,,,,,,,,,,Cafe,North Sinai,Cafe
Kajo camp,"ساحل البحر ، نزلة شهرزاد ، بجوار مسجد الشهيد محمد سمير شراب, Qesm Thaleth Al Arish, North Sinai Governorate 45511",010 96901307,Not available,4.8,17,North Sinai,https://maps.app.goo.gl/6yGnU8ua3nPDbnA16,4QQM+JG Qesm Thaleth Al Arish,31.139063,33.783812,https://lh5.googleusercontent.com/p/AF1QipNk6_r71qYlgP-F7b7AVQC9ISq0uGSl0XmbnEp7,https://lh5.googleusercontent.com/p/AF1QipP7cCE-P2GC5aqi5QbcI4c8dZ_mSn8B2c--21aT,https://lh5.googleusercontent.com/p/AF1QipMvIyjsJ-7prqmabNIJDiPLf8jtZ2rXsF_NLCLj,,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNMpejxCVJCFxLz9ZH2MGnDRJYHtRvIlAJrgk-L,https://lh5.googleusercontent.com/p/AF1QipMM0QAtN9ofeO7NKwg-JAkrdz39dRzyIYx6GKYA,Cafe,North Sinai,Coffee shop
مطحنة بن العقيد,"4RH3+W2Q، قسم ثالث العريش، شمال سيناء 8954762،",not available,Not available,4.3,7,North Sinai,https://maps.app.goo.gl/fyi5fwzCsouTNGtZ6,4RH2+VV Qesm Thaleth Al Arish,31.129688,33.802188,,,,,,,,,,,,,,,,,,,,,Cafe,North Sinai,Coffee shop
