Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Port Said airport cafe,"76JV+82X، مطار بورسعيد الدولى، طريق دمياط، حى الضواحى، المناصرة، بور سعيد،, El Manasra",not available,Not available,3.0,1,Port Said,https://maps.app.goo.gl/DskqiKDr7i79GjDH8,None,30.218688,31.476937,,,,,,,,,,,,,,,,,,,,,Cafe,Port Said,Cafe
Hero Café,"77CQ+4XQ, Port Fouad City, Port Said Governorate 8562504",012 24171219,Not available,3.9,868,Port Said,https://maps.app.goo.gl/KChQ2h98pBMdtAic6,None,30.218688,31.476937,https://lh5.googleusercontent.com/p/AF1QipPUTE0LE8SopVOTul3ns6RdIYiDepca46duf-Sl,https://lh5.googleusercontent.com/p/AF1QipNtG7xBFSxTOfIhnJ7dU5uj0BtpPbWjK0FLwtPr,//:0,https://lh5.googleusercontent.com/p/AF1QipPieWJ92QH4ap5FTlSV3zWqfo7ifuG7am8gyQI,https://lh5.googleusercontent.com/p/AF1QipNsbMYfxaH-8RZVF3HvRCMd0MGGxA6Kw61iT4nE,//:0,https://lh5.googleusercontent.com/p/AF1QipN9a4QZ1gJ5twWK-DyFdXwB8DTpad4txdHFydGb,https://lh5.googleusercontent.com/p/AF1QipMquQAeidhGWXdCwel_IUEnplj-KJWbDyepnESt,//:0,https://lh5.googleusercontent.com/p/AF1QipOG2x8f5868XSY0BxOZ5orHko-RuSZySw07G_mk,https://lh5.googleusercontent.com/p/AF1QipPbNBwGtXYsmKWdLN4gcU3N7if8HBqJY6_X3k49,//:0,https://lh5.googleusercontent.com/p/AF1QipOyIPigeEPjTg-flw7qtJiwAESQFjEWaSonlT8O,https://lh5.googleusercontent.com/p/AF1QipNI3k3QFnEaUCVW6TxPXe6l83xRwia1qmwODvec,//:0,https://lh5.googleusercontent.com/p/AF1QipNDEe1-vrodFpgfm6sGqzqYQ4DicKNh1qlcHbWv,https://lh5.googleusercontent.com/p/AF1QipPqdwpPHxc91JIbr24uRJKT1ARSbsoCwMO_8E4K,https://lh5.googleusercontent.com/p/AF1QipNQugbeZR_yCupNp7TQTT5qEroKbB3B62Btoi7y,https://lh5.googleusercontent.com/p/AF1QipM53LDhANujTO9-jtIi2jrpguMQvRzFflqygD7d,https://lh5.googleusercontent.com/p/AF1QipMhKlHGZNO_w0D2DNjV03sNRMUrBK7-WqVR6Snc,Cafe,Port Said,Coffee shop
O'cafe portsaid,"77FM+VM6, El Manakh, Port Said Governorate 8563102",012 24453227,Not available,4.3,6,Port Said,https://maps.app.goo.gl/ePX1C8dNUxFHfYtu5,None,30.218688,31.476937,https://lh5.googleusercontent.com/p/AF1QipPudhGczZATGsxusJ1qDJQVFIcfJvtw0qHTBkxm,https://lh5.googleusercontent.com/p/AF1QipNPPuIRMIM61mR5hO5wX-bQt804chtyOgyhYHec,https://lh5.googleusercontent.com/p/AF1QipMmew57u3xUaAXeYcKmv0G-jC7uxKhrvgj2FjxP,https://lh5.googleusercontent.com/p/AF1QipMeZa7dJ2mKvW07iYRIFiQJr2ilkVwW1GGOK-OI,//:0,https://lh5.googleusercontent.com/p/AF1QipO0gL-V5ZnNqEi2Ozv4P5yLEmHU6WrK1oAJMytG,https://lh5.googleusercontent.com/p/AF1QipP5d_zQZDmPv3AdErx06KT4LjCVSkew_RQ0YrVt,https://lh5.googleusercontent.com/p/AF1QipO81n5iECJHAg63iP2PVn6iaT6qyoSbdSmq2DMG,//:0,https://lh5.googleusercontent.com/p/AF1QipOEY-Qb9T4eOWcMwvMjEKr4PVDHE-X1Q5VGpyxH,https://lh5.googleusercontent.com/p/AF1QipNR3o339FM-9UGVXYvfRb_vqRSNt5vwA_EJkdPo,https://lh5.googleusercontent.com/p/AF1QipNYWr9tXaiu0iFioBgsBr1xCoUlSbj1CxJH3bhY,//:0,https://lh5.googleusercontent.com/p/AF1QipPjGMmI5BL4fYTHJiuq1ZBqtcMSKqFPnUSNwSob,https://lh5.googleusercontent.com/p/AF1QipNcbVLnL-6jdPi0G4aMpCZix833sofGCAT7ZyP3,//:0,https://lh5.googleusercontent.com/p/AF1QipPhPeiD7F8brOVAMVIm4wjMuVBmEh9k3KhKr40x,https://lh5.googleusercontent.com/p/AF1QipMyIvi4DI6_9yT1ZRZPRI5_73Wg0RmDsPewinOa,https://lh5.googleusercontent.com/p/AF1QipMFwZvifbsN_ZTrY2chcznJxLXUHVOCgqUItF4U,https://lh5.googleusercontent.com/p/AF1QipMTPs3LYoyrDdXjk7K_BweAwIoNm9I6x6epQas6,Cafe,Port Said,Coffee shop
Doaya Coffee,"Portsaid, Port Said Governorate 42612",012 89332016,Not available,4.3,3,Port Said,https://maps.app.goo.gl/pgAimJdgfVUoYwKU7,934F+VV El Manasra,31.357188,32.074687,,,,,,,,,,,,,,,,,,,,,Cafe,Port Said,Coffee shop
Central Perk Cafe,"23rd of July street, El Sharq, Port Said Governorate 8574107",066 3411131,https://www.facebook.com/CentralPerkCafeEgypt/,4.3,999,Port Said,https://maps.app.goo.gl/QijRvUSn8hVQ4kWJA,7886+PX El Sharq,31.266813,32.312438,https://lh5.googleusercontent.com/p/AF1QipMY75qhZt8oP6-F61jSFoKYEAB2alL5QRmqKsnN,https://lh5.googleusercontent.com/p/AF1QipMq3OYjCdORUTWNgvUYHQ0LdAz-G8oVFU4geTEP,https://lh5.googleusercontent.com/p/AF1QipPHYEXZAXxHgzDLFX_Q_Yn44jovvOSGY5lhk211,https://lh5.googleusercontent.com/p/AF1QipPtgiIs_hp003paLnYljZrXhrYCwludIEazJk39,https://lh5.googleusercontent.com/p/AF1QipN34Rnbag0z3uyOHnh7bi2oxA0YjUTYm7pqT8BC,//:0,https://lh5.googleusercontent.com/p/AF1QipNWPpDZY7q2U6U_sTxRSbP352hfMC7a5IM-kNdF,https://lh5.googleusercontent.com/p/AF1QipPe7t1xIYTP1djExCEsEZoa4MCfMQEd_XiS0QvW,https://lh5.googleusercontent.com/p/AF1QipMiOhwbgLk8BFnE2BSkZt6qu8Fl86tTKE4ubVUM,//:0,https://lh5.googleusercontent.com/p/AF1QipOqDyUbhtcbozfN7vs5ELaqEzZK32MPfAukeN_E,https://lh5.googleusercontent.com/p/AF1QipOhSCQzHHjevMfPv109Zu6Z55gZBLHEcOBzsm8D,https://lh5.googleusercontent.com/p/AF1QipPM5QQnurUCzXPb9zBDAQC_8WALLhNWghQEnWOL,//:0,https://lh5.googleusercontent.com/p/AF1QipMX-yG55wlVWz2yvEZIiJBdSor96eYoKE_Kctcl,https://lh5.googleusercontent.com/p/AF1QipPEABzV93L59i_mmaMz7qwR4hUJ67nh6autlTcx,//:0,https://lh5.googleusercontent.com/p/AF1QipN9FTAlmeDhqtjOl25GcxR1m1UQ6fJ9iDcN5WIX,https://lh5.googleusercontent.com/p/AF1QipPAxiS82YVK_sbhtN9JfPxLMFV5Bxv6oPH1RChb,https://lh5.googleusercontent.com/p/AF1QipMKkPQDmLXsG1MnXSq5vGu_0cj6IjTbh5qlIAtO,Cafe,Port Said,Restaurant
Davinci Cafe & Art Corner,"78F8+3CW, Port Said, Port Fouad City, Cairo Governorate 8575202",012 11120281,https://www.facebook.com/davinci.pts/,4.0,94,Port Said,https://maps.app.goo.gl/nFmnLQbeWbpbUq7Z8,None,30.218688,31.476937,https://lh5.googleusercontent.com/p/AF1QipNFJBE1VbYaouegPmShC_efouyDMtgQNWnVOOOx,https://lh5.googleusercontent.com/p/AF1QipMQ7MrZo3NJ2L-pPo_qQqQXrdYGjKzLd_ltpCju,https://lh5.googleusercontent.com/p/AF1QipO83XF_uvKU-q5Mee12e82AnWXbdAv4IHz0-94w,https://lh5.googleusercontent.com/p/AF1QipMxUTyU_Enxm-ynO3rBuj2um5-85Z2YqC0tEflK,https://lh5.googleusercontent.com/p/AF1QipOABm-np34qQMFUuJ1DpZ45RtH0HgP53EggrbTH,,//:0,https://lh5.googleusercontent.com/p/AF1QipPZ6L4poE9Sh1uazx_Tm6U4tVFBeeQDonsDsHYu,https://lh5.googleusercontent.com/p/AF1QipNjOrYjk9jhhu4PVQmI9-vOGj_Z-2XXqAQRdlEP,https://lh5.googleusercontent.com/p/AF1QipNha1KMDRPXoHE9qXT6wD7GjV42912kLh-bs7vs,,//:0,https://lh5.googleusercontent.com/p/AF1QipPAmU9FfWBZpcvjqFUYHcS7SuL2fEIqSYI3Zx9t,https://lh5.googleusercontent.com/p/AF1QipNlnecalP7mIkP4TgaQwi3burccaeucAocJ8-5g,//:0,https://lh5.googleusercontent.com/p/AF1QipPiYhupNYAvUN32uXyVs8WknKWSkhXbEYqt7r2K,https://lh5.googleusercontent.com/p/AF1QipO36M76oYGuIMXsS4AJ5x-8sleaqJJ2qB3l6-nQ,https://lh5.googleusercontent.com/p/AF1QipOrZMv00eLSncpQVFXVIHe8f8fTnBdyeU0176QX,https://lh5.googleusercontent.com/p/AF1QipMDKwx5MtsGiVHIdo6jCy0tdQensg7QGTifymVx,https://lh5.googleusercontent.com/p/AF1QipOKR8kc3DQ9a9m6Y4hQJp8c5eMbBElMvt0CyZbh,Cafe,Port Said,Coffee shop
Porto said Caffe كافيه بورتوسعيد,"84J6+W4Q, El Manasra, Port Said Governorate 8530321",not available,Not available,5.0,1,Port Said,https://maps.app.goo.gl/JR4WKSwXBtxyqyXj8,None,30.218688,31.476937,,,,,,,,,,,,,,,,,,,,,Cafe,Port Said,Coffee shop
K COLOMBE CAFE,"أحمد عرابي، بور سعيد، portsaid، 42511",012 21433464,https://www.facebook.com/K.Colombe1,4.7,9,Port Said,https://maps.app.goo.gl/bCyYnTWcfEMuqg6Q6,7886+7H El Sharq,31.265687,32.311437,https://lh5.googleusercontent.com/p/AF1QipN-4A67vJ9rgcT-BqTJ7dt1nZ1NlqVq5mRRpj6B,https://lh5.googleusercontent.com/p/AF1QipPC1RKNYudn0F4M9-DN0c22aT7AJ3ZtPyp-T6Vo,,,,,,,,,,,,,,,,,,,Cafe,Port Said,Coffee shop
MAD CUP CAFE&Pastry,"٢٣ شارع, El Sharq, Port Said Governorate 8574120",012 76950124,instagram.com,4.6,56,Port Said,https://maps.app.goo.gl/LKJtPxeaDpZWrzoG7,7896+39 El Sharq,31.267688,32.310938,https://lh5.googleusercontent.com/p/AF1QipOjGNL8i-V5SeU2lT4XyhdcuJe5T-uHGsfByJtD,https://lh5.googleusercontent.com/p/AF1QipPhySWKJhKAHbDodDKD6L_Aet1Nz2SIdmyAgNzP,https://lh5.googleusercontent.com/p/AF1QipOj1fdtW5QZLnrGozJr2Q4hVZax3xEE9X7vq7eN,//:0,https://lh5.googleusercontent.com/p/AF1QipOgl-wFyZaqp3x2dpHiZ_r1oFgRRQRh-ClA-qmw,https://lh5.googleusercontent.com/p/AF1QipNLj8xQgTGPZbeqg58XLccQ3TxfsCitaTYZTmx_,//:0,https://lh5.googleusercontent.com/p/AF1QipOzR9FHZW1Hvtruhn-QUw1VqosH6velxyThD29p,https://lh5.googleusercontent.com/p/AF1QipOuQkd4BSPlBGI2aJ9Tltsi1D4Wn2KZmD0y7QMd,//:0,https://lh5.googleusercontent.com/p/AF1QipNpAXpo8hTvI4BJMFSk3EIIUNiK2wgWMSyNhIuV,https://lh5.googleusercontent.com/p/AF1QipNRGVWhTOmhK-Giqcv2DOK4CTcaJU5sP30e4f01,//:0,https://lh5.googleusercontent.com/p/AF1QipP0wE6m79qXEjtSakHEyBDie_K1QTV4Z20i19l1,https://lh5.googleusercontent.com/p/AF1QipM40p5yk-0X6CRftDcJIbWo8xYQbU7AdDT2BBST,https://lh5.googleusercontent.com/p/AF1QipPeBThdfD1qi0g-76m2DKvk9GT4TtNyqCW51l00,https://lh5.googleusercontent.com/p/AF1QipO0PhnsgxWHjkHtMHV-RsuNi9xOc4h80ZDQNlpW,,,,Cafe,Port Said,Coffee shop
Brooklyn’s,"صلاح سالم و, Abd El-Salam Aref, El Sharq, Port Said Governorate 8574002",012 02425555,Not available,4.8,167,Port Said,https://maps.app.goo.gl/n57fzks85noHJcLg7,7885+P8 El Sharq,31.266813,32.308312,https://lh5.googleusercontent.com/p/AF1QipODOtwTXe8yAkX_9Ki6GIJZTpvH-iwF4L3gDMUc,https://lh5.googleusercontent.com/p/AF1QipPAcTJbIKm1KAZVSyDnvGWMVb_weZoETJsTNzCt,https://lh5.googleusercontent.com/p/AF1QipPBZvmn0A6eMTPLfYs1h0vUU459aTeGiJYTOvwV,//:0,https://lh5.googleusercontent.com/p/AF1QipOUosUhISXPONPtyune7pAnCRu_uGguyLOsJFK7,https://lh5.googleusercontent.com/p/AF1QipMfI7iXDJZ1Tphgb_Gz8mBVFdAVvLXTtLItEbBC,//:0,https://lh5.googleusercontent.com/p/AF1QipNmCH-1J-yf8cydBtP6ZGXVaaEcKhbkzW8UIux_,https://lh5.googleusercontent.com/p/AF1QipMFy3va-tfpPwPcIJwmQNdAqkPJc3EVV0vwiKMt,//:0,https://lh5.googleusercontent.com/p/AF1QipMsx_fh1G4QmMzqhCZe96jponMGJkaWRUDTbVTk,https://lh5.googleusercontent.com/p/AF1QipNU1xBu8DLgDyGQUUc96413IwSI373JWMY_NbXi,https://lh5.googleusercontent.com/p/AF1QipPBjErrgmrJVsprJDgKSF2RX8ztGVjnR2StvUTP,,//:0,https://lh5.googleusercontent.com/p/AF1QipPKhHSHJRkwF9MorzFY4GCc_YhBRfZh1ue2D2LR,https://lh5.googleusercontent.com/p/AF1QipOFdYOISSTZ-FefHQzPZTb2RAu72I0caKwkQy-u,https://lh5.googleusercontent.com/p/AF1QipOsmGRCIhvi3q6kU4sR9n3TkXMyOme7S00_WDJW,https://lh5.googleusercontent.com/p/AF1QipN_n9JX_fKSkqX-rsrZsSxR9DsGJmZdefHf3U7I,https://lh5.googleusercontent.com/p/AF1QipMeJQxz7ZawZqeimhO53Z7deIVJfuyyXucJF1Yt,Cafe,Port Said,Coffee shop
