Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
THE BEST,"56H9+29R مدينة قليوب قسم, Qalyub, Al-Qalyubia Governorate",not available,Not available,5.0,6,Qalyubia,https://maps.app.goo.gl/c5hb8jrrts5zvnof9,56H9+3G Qalyub,30.177687,31.218812,https://lh5.googleusercontent.com/p/AF1QipMm6W6n1Zy9ptMoQv4suh9LSikngU3EafJBDHSM,https://lh5.googleusercontent.com/p/AF1QipM7PG9TTqSs6UbvvxKcw2PnNcgByR-wlyetBWaH,https://lh5.googleusercontent.com/p/AF1QipPHRAZXSfmafIGScPZAb1jgEuYiNhqMf1wbWJ1S,https://lh5.googleusercontent.com/p/AF1QipMOXxrXyLTXqqOIiOFtLXchlEfDoyF80xFd1-VQ,https://lh5.googleusercontent.com/p/AF1QipNsfKHbEKkQccb4A5U_mL68P53kPvXj_Lj4k348,,,,,,,,,,,,,,,,Cafe,Qalyubia,Coffee shop
بن العزيز,"56J9+839, Qaluop - Al Kanater Al Kheireya, Madinet Qelyoub, Qalyub, Al-Qalyubia Governorate 6320852",not available,Not available,4.1,312,Qalyubia,https://maps.app.goo.gl/81iasZ7PiavUsJGy7,not available,30.180937,31.217188,https://lh5.googleusercontent.com/p/AF1QipNAx_9FAv2rIT5ZMfL1L1PQH9C3QxRUE4GXhD_n,https://lh5.googleusercontent.com/p/AF1QipPt74-d7bSuZ2PLd4sseVQvNpfssLjoTREen7Lb,https://lh5.googleusercontent.com/p/AF1QipP_ej4Ouuw11n0bhuXlgue-G3liExcw6OXIKxdz,https://lh5.googleusercontent.com/p/AF1QipNmmLdQ7jukZuFF2XpsdIEuBF2xb-E-C_3TqzYn,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOoCTxz7qsQZvPrl2GziyqWxTMf1_e8B1i7kZqH,https://lh5.googleusercontent.com/p/AF1QipPccPzacfDhsoq6_FNc2MEwrekYLCY-_SIPh3O9,https://lh5.googleusercontent.com/p/AF1QipMrig6KM6l8GKbHGOazqlXZUGQUew8GUNwXTr2b,Cafe,Qalyubia,Coffee shop
Welad elbalad cafe,"46WM+2J4، المدارس، ميت نما، مركز قليوب،, Shubra El Kheima 1, Al-Qalyubia Governorate",not available,Not available,5.0,1,Qalyubia,https://maps.app.goo.gl/ZQSn6Ep9HjzMeHAe8,not available,30.144937,31.234063,,,,,,,,,,,,,,,,,,,,,Cafe,Qalyubia,Coffee shop
Expresso Cafe,"8 طريق الأسكندريه الزراعي، مدينة قليوب، قليوب، القليوبية, Qalyub, Al-Qalyubia Governorate 13611",not available,Not available,4.1,159,Qalyubia,https://maps.app.goo.gl/kyMmZHhtUSLELyqU8,56JF+RJ Qalyub,30.182063,31.224063,https://lh5.googleusercontent.com/p/AF1QipMgS_qegaXhpR3cM-ceW-Yhm4HGGVfvIyjJeTQl,https://lh5.googleusercontent.com/p/AF1QipOUSTO_7djNbu39fh0HDMKcLSHBjVBQCwz1MwgT,https://lh5.googleusercontent.com/p/AF1QipMJ8_pPVzo1v_5s_Px_2_t3A5sgsWRbgxdydyLt,https://lh5.googleusercontent.com/p/AF1QipPeHoOH5RUHT8abKRY9O3ztHaZrOmbwel-GZLqE,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPgKAuOfIU_2ZRoff6EltJEoFOlZvbnDu_fYSCl,https://lh5.googleusercontent.com/p/AF1QipMMOTBwxcqRqyAlCsVyd5HEjBS0W0YWqiBq8gp2,https://lh5.googleusercontent.com/p/AF1QipMWncfaecC2ZK0V_lW9hXcr1vkBYu7DSl0p6WFx,Cafe,Qalyubia,Coffee shop
KING ELL3pa,"Kom Ashfin, Qalyub, Al-Qalyubia Governorate 13111",011 24467689,Not available,5.0,1,Qalyubia,https://maps.app.goo.gl/LZWjHkkabW16hrE36,57H3+H5 Qalyub,30.178937,31.252938,https://lh5.googleusercontent.com/p/AF1QipMDa3a226bBxiBReQgmcWdlPHUF6sIt-Hqe2L0_=w408-h408-k-no,,,,,,,,,,,,,,,,,,,,Cafe,Qalyubia,Coffee shop
قهوه لمه الحبايب,"طريق حلابه - الصباح, Sanafir, Qalyub, Al-Qalyubia Governorate 13634",010 60727951,Not available,4.6,18,Qalyubia,https://maps.app.goo.gl/ZawpTdCcKEPB6vZo9,653V+9F Qalyub,30.203437,31.193688,https://lh5.googleusercontent.com/p/AF1QipOo-XgF3EAP_OYaAucNgfBL19GPXwhAyPqdIdLY,https://lh5.googleusercontent.com/p/AF1QipManK512F90r5CelrnvMou8KR1Ew5IgRe0bHqZg,https://lh5.googleusercontent.com/p/AF1QipMT0ApzEzwlReX3FuigmAhlZmgG7avS173sRmbv,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMzd39vfy32DFQEOKEroa6pPx5_3cj6f7tw6I38,https://lh5.googleusercontent.com/p/AF1QipMBtEqO2tQZ-We7qEkq3gk-QlltQbfWgWh_Pd6O,https://lh5.googleusercontent.com/p/AF1QipMGgqrGB-5oDl9kkScVWDBeNEJmxRGBsDYNatQ5,Cafe,Qalyubia,Coffee shop
Waha cafe,"56J4+4C6، شارع الورشه قليوب البلد , مدينة قليوب، قليوب،, Qalyub, Al-Qalyubia Governorate",not available,Not available,4.6,23,Qalyubia,https://maps.app.goo.gl/BAQ6nBCzScuRqYNr9,not available,30.180312,31.206063,,,,,,,,,,,,,,,,,,,,,Cafe,Qalyubia,Coffee shop
Elvilla cafe - الڤيلا كافيه,"منطي، قليوب،،, Manti, Shubra El Kheima 1, Al-Qalyubia Governorate",46PW+QV Shubra El Kheima 1,https://www.facebook.com/Elvilla-cafe-101599468948678/,4.1,76,Qalyubia,https://maps.app.goo.gl/7ESQWWLCoqoZUg1f6,46PW+QV Shubra El Kheima 1,30.136938,31.247188,https://lh5.googleusercontent.com/p/AF1QipO7nU_1ZZpfdtq6croP1sR_XQj9a3IBvYdEl12F,https://lh5.googleusercontent.com/p/AF1QipNGktkhgs8Fr8UMLPD4X91LgMonRIIa6WpJvfBg,https://lh5.googleusercontent.com/p/AF1QipO6rApAQZP6p7ZwbjalJZHTBuRg4Oy3rOyd8agb,https://lh5.googleusercontent.com/p/AF1QipPiTcqqMoebGiGInWTgAokOr2zTlrNA4EHqdt0F,,,,,,,,,,,,,,,,,Cafe,Qalyubia,Coffee shop
كرملا كافيه,"56J6+74X، شارع العاشر من رمضان, Madinet Qelyoub، قسم تاتي, Al-Qalyubia Governorate 6320543",012 86510448,Not available,5.0,1,Qalyubia,https://maps.app.goo.gl/Rd3XRnTButgYk56K9,not available,30.180687,31.210313,,,,,,,,,,,,,,,,,,,,,Cafe,Qalyubia,Coffee shop
كافيه كابتن حسن دسوقي,"668P+47W, Kafr Ramadah WA at Torgoman, Qalyub, Al-Qalyubia Governorate 6318164",not available,Not available,,,Qalyubia,https://maps.app.goo.gl/WrxmoeNSqDLrkj9q7,not available,30.215313,31.235687,https://lh5.googleusercontent.com/p/AF1QipMuwauyHmNMpScrwX1_sGNf3nxwYPP6VnxZsDg1,https://lh5.googleusercontent.com/p/AF1QipO_YTH8ht-qr7oVDWXY3rP_n-YEqYJyZ-ZF2J1f,https://lh5.googleusercontent.com/p/AF1QipOkOqAeXVQ8rk80OriARTOMdiQogrJpFPWr4iHO,,,,,,,,,,,,,,,,,,Cafe,Qalyubia,Coffee shop
