Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Day cafe,"5MGR+W5F, Nagaa Hamadi - Qena, Qism Qena, Qena, Qena Governorate 1466003",not available,Not available,4.8,132,Qena,https://maps.app.goo.gl/r6NeKnBwvpTSjHJL9,not available,26.125000,32.475000,https://lh5.googleusercontent.com/p/AF1QipOY84jsVvwF61I0IxMUDdwIMlWxs8QMv4CWjoZH,https://lh5.googleusercontent.com/p/AF1QipMVIjTwf4req-HEJBNtH_7BHECoXCiAIeUkZhMB,https://lh5.googleusercontent.com/p/AF1QipPqqYuRP4uU1Ybuxh7FNL2szlJ40erqSt_i-Qch,,,https://lh5.googleusercontent.com/p/AF1QipMOwXgXtp7SC3DitIineqdz1PdoCFK6RLf6SgnT,https://lh5.googleusercontent.com/p/AF1QipOxAScGDxAzYh1tF7a_5CmDy3FZXPvG7lWB6TNh,https://lh5.googleusercontent.com/p/AF1QipNhOlSjmV6ucDmnaHMzgvqd1gePaMvsM6R8El-o,,,,,,,,,,,,,Cafe,Qena,Coffee shop
المشربية,"5P53+38X, To Awled Amr, Qism Qena, Qena, Qena Governorate 1456027",not available,Not available,3.9,665,Qena,https://maps.app.goo.gl/6yKSyNvpb3guCxRy7,not available,26.157688,32.703312,https://lh5.googleusercontent.com/p/AF1QipM5LxH6QusL6eyFcsGlEaOCqjhRyRA7z33Y93E1,https://lh5.googleusercontent.com/p/AF1QipPaeHplcQjGN9Rz1VtT_9l9o9Nl4aMBVnXYea6U,https://lh5.googleusercontent.com/p/AF1QipOliyyTnwe0WbzYeFPde3lTMJM7cgTdJb7kMoiR,https://lh5.googleusercontent.com/p/AF1QipMmj-xqQBlp_PZo3HZ-BzVRjILCKdcUvPx2JKKA,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPKe-JuKZVb1SFnOcWJA7P92dEkUDMPrwTCnz67,https://lh5.googleusercontent.com/p/AF1QipNXbE1_T7CMmL44hiu6XLEkPfPUr9aktNEUE-Ny,Cafe,Qena,Cafe
المضيفة كافيه,"5M67+53R, Dandarah, Qena, Qena Governorate 1455705",not available,Not available,5.0,1,Qena,https://maps.app.goo.gl/BoW7qVRVFX1eheHw5,not available,26.160438,32.662688,,,,,,,,,,,,,,,,,,,,,Cafe,Qena,Coffee shop
4u,"5J8W+MXR، وسط القرية، دندرة، مركز قنا، قنا 1455784،",not available,Not available,,,Qena,https://maps.app.goo.gl/S3CN7JNXDcnNwbbx8,5J8X+C7 Qena,26.166063,32.648187,,,,,,,,,,,,,,,,,,,,,Cafe,Qena,Coffee shop
اولاد الجرف,"5M2C+W9P، قنا، قسم قنا, Dandarah, Qena, Qena Governorate 1455215",not available,Not available,,,Qena,https://maps.app.goo.gl/3pGkfndUcfMBhM2R8,not available,26.152313,32.670938,,,,,,,,,,,,,,,,,,,,,Cafe,Qena,Cafe
RED CARD PLAYSTATION,"5P48+529, Al Mostashareen, Qism Qena, Qena, Qena Governorate 1460340",010 02532555,https://m.facebook.com/red.card0/,4.3,150,Qena,https://maps.app.goo.gl/PgRYudgKGWH3t8go7,not available,26.156188,32.714562,https://lh5.googleusercontent.com/p/AF1QipOcAvHLc_zRk_nOXJ7YYQW7fsRKh34Pmn7el-GR,https://lh5.googleusercontent.com/p/AF1QipOz-6mahPU2awdNYyBDlisiR4phPnE6HkUN5xqy,https://lh5.googleusercontent.com/p/AF1QipO5sd9j5b1ebFWCQ8kNbjsFSWUqksWSl5FKOqk,https://lh5.googleusercontent.com/p/AF1QipPQAOMf056-7QD1p6k4J5QjOwDNfnPE98lo_IvC,https://lh5.googleusercontent.com/p/AF1QipMNenIGtqt1cAZUtP7ex4sB4HJBSHgpVcCsQ3qk,,,,,,,,,,,,,,,,Cafe,Qena,Cafe
كافية الكرنك,"5P53+2RV, To Awled Amr, Qism Qena, Qena, Qena Governorate 1456027",010 65268196,Not available,3.8,116,Qena,https://maps.app.goo.gl/BJ6DbXc2NB265ynd9,not available,26.157562,32.704563,https://lh5.googleusercontent.com/p/AF1QipNq7r-tMNPMI77S_30GzFMnGZqZWRuSslF7uJeE,https://lh5.googleusercontent.com/p/AF1QipMoAPKVY0MYFmGh2f7yMM7JkZw1817vAIWRoCPX,https://lh5.googleusercontent.com/p/AF1QipMWnKECQJ_ej-YO7r98c3sxm_pHPmhFqHu7utiP,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNLW-xx2JPiFjOga10byNOdKSw_ZG1TIEKoU2Nn,https://lh5.googleusercontent.com/p/AF1QipMKePnqswMZjbldI7uIML1cVrQTsyEYNTK5Njla,,,,,,,,Cafe,Qena,Cafe
قهوة الف ليلة و ليلة,"4MVX+W5H, 60M, Dandarah, Qena, Qena Governorate 1455502",not available,Not available,4.1,248,Qena,https://maps.app.goo.gl/QyMz8eNYE4K6KoL37,not available,26.144813,32.698437,https://lh5.googleusercontent.com/p/AF1QipNbpNxfsOJA5hmG0qLMa_igjeU1d49znad0nyiF,https://lh5.googleusercontent.com/p/AF1QipP_F_546sMrTlY-wv82qTrmoBNkl7CCjYNltTYw,https://lh5.googleusercontent.com/p/AF1QipPEH0FAYokCBl2p3HbxT5W0Eqn7v6eJYuBFGXLs,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMYENkGWrJgHWD7N5j15rSBI1zaSQ4jXubH6c0s,https://lh5.googleusercontent.com/p/AF1QipNz9BRHITeprrNR4swRjBw_u-1FkEt8Bup1n5wl,https://lh5.googleusercontent.com/p/AF1QipMZZqrHRlnjpii9Dkh1glsUOtyJdayKreydF7uG,Cafe,Qena,Cafe
PS CLUP CAFE,"بجوار السمرى للاسماك، قنا - المنشيه أمام، مدرسة الزراعة",010 63827177,Not available,4.5,48,Qena,https://maps.app.goo.gl/A4edzASWZZ4efLDWA,5P66+H2 Qena,26.161437,32.710062,https://lh5.googleusercontent.com/p/AF1QipPUFG_LWdLqnSiTLToLatyN3sdlncL5eiidg85p,https://lh5.googleusercontent.com/p/AF1QipOxvsGnqqchTemnHyFgFdBudw4lpxzNkh2lHdA6,https://lh5.googleusercontent.com/p/AF1QipM7vDEkMSYY5fPdPvAhg9Z8sGNF1-euQesX3H_B,,,https://lh5.googleusercontent.com/p/AF1QipM4ncJn1j7WQ-YCByoralbDefZ4adIuiFSkA2K3,https://lh5.googleusercontent.com/p/AF1QipNUtM3XieTGvEGtsJUTAlLLYZFDvT4fWTjPo8Q,https://lh5.googleusercontent.com/p/AF1QipNEW8Z0EjaQPoM_ve8gGa0wOh0T371fhKIIIYn5,,,,,,,,,,,,,Cafe,Qena,Cafe
كوبري دندرة,"5P34+P87, Qism Qena, Qena, Qena Governorate 1460305",not available,Not available,,,Qena,https://maps.app.goo.gl/jZWJHRx4zQprjWk16,not available,26.154313,32.705813,https://lh5.googleusercontent.com/p/AF1QipPxcm_l8QmXTUVIZ9UIpV4TtPKNE3dKXi7_f4o,https://lh5.googleusercontent.com/p/AF1QipMBR0CWukYy0WL1FoDIcU9eqCvfmK_DBcksdlzd,,,,,,,,,,,,,,,,,,,Cafe,Qena,Coffee shop
