Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Winter Palace - Elite Cafe,"ElKawther, Hurghada, Red Sea Governorate, Egypt Hurghada 1, Red Sea Governorate 1962735, Red Sea Governorate 84511",5RWF+5J Hurghada 1,winterpalacecafe.com,4.8,219,Red Sea,https://maps.app.goo.gl/ZT7ZxEAsiCXB1TmC6,5RWF+5J Hurghada 1,27.195437,33.824062,https://lh5.googleusercontent.com/p/AF1QipPSKv7_LiQxfHYYmwkb2SHLWR7wvq3vAGX18139,https://lh5.googleusercontent.com/p/AF1QipMujg99JpOpg3plbrECPuDRcBL7SlNY98a3vOpB,https://lh5.googleusercontent.com/p/AF1QipMcMPRUlE9M90_cZyR4V408bczYMvZSZ2BhOBqr,https://lh5.googleusercontent.com/p/AF1QipPwp_rNmGz2_5tQweHSIpfvPof2aCtmCvz28iLX,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOFtGN2XYbyOa6dsINQZ-r4Q0mw6H8YgxGPI4XW,https://lh5.googleusercontent.com/p/AF1QipN7Z-axq7YKrlxbXMtyLDD1pW59o0OG0S_mZk4e,https://lh5.googleusercontent.com/p/AF1QipMfgbdIvUTDfIISVaIX9o6QLsvET8Jbb25IWjOU,Cafe,Red Sea,Coffee shop
Quattro Market & More,"الممشى, Touristic Villages, Hurghada 1, Red Sea Governorate 1962751",5RRJ+3V Hurghada 1,Not available,4.7,29,Red Sea,https://maps.app.goo.gl/e1J1XqZ1JpGMQn6GA,5RRJ+3V Hurghada 1,27.190188,33.832188,https://lh5.googleusercontent.com/p/AF1QipOuKSUNZe-k234fvgElqp8U98K-EyaBSOtz7QhN,https://lh5.googleusercontent.com/p/AF1QipNpiVZctSY2RX6jZAhme7A9eyFECXx84Oxn-laS,https://lh5.googleusercontent.com/p/AF1QipMIOII6UuR9PKxlZCRpMiQ0rhZm3Csmcz0SN4Pl,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOxZDNTcybMOE6aqid7pneazy0v5VXBQm0Yj1Yo,https://lh5.googleusercontent.com/p/AF1QipPYdyUQwEROFfuAKnFUB6QdI0p6-YHvu_Ht2pUF,https://lh5.googleusercontent.com/p/AF1QipPDBUCqXRzOmMJAT5PI14kmIQYsZ19VoK-FhhkQ,https://lh5.googleusercontent.com/p/AF1QipOL91qHz_jipVa5OD3wdn5mO_PC1TTr-nrKS-s9,Cafe,Red Sea,Coffee shop
Coffee House,"7R47+57F Bank Masr, Hurghada 2, Red Sea Governorate 1973410",not available,Not available,4.6,59,Red Sea,https://maps.app.goo.gl/dHMpRRUSGR4pjjBq7,not available,27.255313,33.813063,https://lh5.googleusercontent.com/p/AF1QipNl62ULR9uJbMXZE6-XhJzG65o6rlVrVBzQFYBA,https://lh5.googleusercontent.com/p/AF1QipN-Vp1xmRiDaRdKm_Qi_wVXFkBBvnRFOUuLVvMI,https://lh5.googleusercontent.com/p/AF1QipNaHHTBpD9iX40CWqaE6T4LhOLUiDzXTghK6bE4,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPrtsshqlm6of2Nnns_8023NPJJ60vK3y6-feEE,https://lh5.googleusercontent.com/p/AF1QipPI_gHrC4MDKC4kRBMEV_39dStO6r0jHaOohKWc,https://lh5.googleusercontent.com/p/AF1QipPyTu3BekflDBxEJrX3UFUDgjRdTAXLV1OOlXoD,Cafe,Red Sea,Coffee shop
Hug mug,"6R6Q+R7W, Hurghada 1, Red Sea Governorate 1964602",not available,Not available,4.7,81,Red Sea,https://maps.app.goo.gl/juARNzNxZMUYCiB79,not available,27.212063,33.838188,https://lh5.googleusercontent.com/p/AF1QipNLzOBbS7b7yoEbWv3yoFzqib-zEmyw1Ui9f5Ft,https://lh5.googleusercontent.com/p/AF1QipO6TYRD1OLn5hqHcjnv6olu3OMJ3pAUpFusnydq,https://lh5.googleusercontent.com/p/AF1QipMcLM71TPqsBm8b1ejwNo2kBD2ahMDb9dsyp5nw,,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOTP4cODFxoCvK-fEG1m1c-6h5TK8oLVd3iSLYV,https://lh5.googleusercontent.com/p/AF1QipNQzITL-6pEPw2M_KWXywqvkH7_L-UE0q04uh8,Cafe,Red Sea,Coffee shop
Scorpio,"El-Bahr, st, Hurghada 2, Red Sea Governorate 84511",7R5F+V4 Hurghada 2,instagram.com,4.8,30,Red Sea,https://maps.app.goo.gl/GaCHNXAs6wZNvRVdA,7R5F+V4 Hurghada 2,27.259687,33.822812,https://lh5.googleusercontent.com/p/AF1QipM-IcEnPnmVo4MfZpwoU0TDhkWdzeXySbjYQuM-,https://lh5.googleusercontent.com/p/AF1QipMUeZCXQEL7vOs2e6LkgRnYp6yJbPiI3cEW4RuA,https://lh5.googleusercontent.com/p/AF1QipN3ML3wInrWDLvSk7n1a6TCFil6fQAe6xziSJXy,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNnAV_YC6gDl7RsgKClWxuDzl4Ni0b9S0t6Dx8n,https://lh5.googleusercontent.com/p/AF1QipM2lFBeqg-gTterigTv---6CtUnUlHg9KxS_b8R,,,Cafe,Red Sea,Cafe
Gusto cafe,"Mina Nageh, Hurghada 2, Red Sea Governorate 1973525",not available,https://www.facebook.com/GustoRestaurantandCafe/,4.8,41,Red Sea,https://maps.app.goo.gl/7XYJhYCeW43wpJUv6,7R56+5J Hurghada 2,27.257937,33.811563,https://lh5.googleusercontent.com/p/AF1QipOYcfnyHuCmteEXCSGlvdiNxTxfuaSTF-wRJEWy,https://lh5.googleusercontent.com/p/AF1QipNj5XJx632FJHZ5x3yt7deBFvI3GfBlZdkjiNwJ,https://lh5.googleusercontent.com/p/AF1QipM9TfubcEbxfi2SNsb1ehJRAKieFTQKJkrBeG0y,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMJltzImx5ouJUJLYQQMCnERAcYbTBcekFHbcns,https://lh5.googleusercontent.com/p/AF1QipO7apWIH5BN2eGYb1VTO3NzOzXm6wvO1GwGnpyn,https://lh5.googleusercontent.com/p/AF1QipN1yZOMn6Gd8NpwSusHCozjzpI3s6qLTTSpo8tQ,Cafe,Red Sea,Coffee shop
Rosta Cafe,"5RWR+GJC, Hurghada 1, Red Sea Governorate 1963504",not available,Not available,4.7,6,Red Sea,https://maps.app.goo.gl/vNg6mrQJxLnMmWuz8,not available,27.196312,33.841563,https://lh5.googleusercontent.com/p/AF1QipNGDw9CBSolVflk76F0HUIHziT2DbK1feISGKGI,https://lh5.googleusercontent.com/p/AF1QipPKjg-oMsuoVNrLHwB7DAyyC56kekXWPjFU-C5O,https://lh5.googleusercontent.com/p/AF1QipNnsVgyYxf-85ZghQKV1bYEjpUujzGt6rtwcmnU,https://lh5.googleusercontent.com/p/AF1QipNE-MdF-8ElWeSF_i0OkYA-wTgR6HOLOonloElh,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPhrD4hxJ2xfw2rVHdumn6uSeOgm8BPHtghxQCW,https://lh5.googleusercontent.com/p/AF1QipOetdshVSgDt27gZVakSto8bZXqGV96Klq3wDQT,https://lh5.googleusercontent.com/p/AF1QipNqgzWPcf8m3aNhdbl82GN3zc8VdvVySWse2VyN,Cafe,Red Sea,Coffee shop
Family Cafe,"Unnamed Road, Hurghada, Red Sea Governorate",not available,Not available,4.3,13,Red Sea,https://maps.app.goo.gl/v89cvHwPGn8THWnN7,7PXW+XF Hurghada 2,27.299937,33.746188,https://lh5.googleusercontent.com/p/AF1QipPNF5ThlCxTacTYBXL6BodWtAzpkEX-lfR_IsXD,https://lh5.googleusercontent.com/p/AF1QipP_u_GZzSa1nSn9UtT4h2Q7x4icPo8KEP3U0ngK,https://lh5.googleusercontent.com/p/AF1QipOkiPJT2q4PbSewDd18ggETkza-BSuRjvztUomW,https://lh5.googleusercontent.com/p/AF1QipO12f3R77VXKN48nzUNDhgh1Tt9bEN7vL7Mlnfw,https://lh5.googleusercontent.com/p/AF1QipNG1OQ_eGTPz2GJjrdd4Pv5Ge8vbEJxKOGPXJGP,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipO4CqJF8pUMYyWz5okQlnV_MWE8eGrtXwrd2j75,https://lh5.googleusercontent.com/p/AF1QipMQCBQF8RuEgS8imWSmlH5dilGb2CEx9Dqm_lzx,https://lh5.googleusercontent.com/p/AF1QipMFMnjWH89I8Ta-vdvYnIWcNTfTF2QPN5KRtNP0,Cafe,Red Sea,Coffee shop
Coffee HUB,"6R2F+RC2 New Kawther, Hurghada 1, Red Sea Governorate 1964002",not available,Not available,5.0,1,Red Sea,https://maps.app.goo.gl/8BKdtuzZo3DSxWJh7,not available,27.202063,33.823563,,,,,,,,,,,,,,,,,,,,,Cafe,Red Sea,Coffee shop
Venice Café,"5RRJ+R5H, Touristic Villages, Hurghada 1, Red Sea Governorate 1963101",not available,Not available,4.4,18,Red Sea,https://maps.app.goo.gl/LiKN7JMXtxCSFcnf8,not available,27.192062,33.830438,https://lh5.googleusercontent.com/p/AF1QipNxBAjjWZIHtPvH-pScq_f5eEd2l4JKsZV13YQe,https://lh5.googleusercontent.com/p/AF1QipN9x5CylLLhWa3crifwnm6FbOg2CMXakU6E7FsR,https://lh5.googleusercontent.com/p/AF1QipNO5my7u35qMVIjJbJTdQcZ35Uk6dc8GhksE97N,https://lh5.googleusercontent.com/p/AF1QipMVcahaRikr_ru80W2HxNukHPC8B4wAGo-lEzU,,,,,https://lh5.googleusercontent.com/p/AF1QipMSH0vlhqthyqzPRBKjsUla1ip6isPKueUYN8E,https://lh5.googleusercontent.com/p/AF1QipMxq31Ad2_vgmSLIpESDtwIDVBlYLWzsAe9G62s,https://lh5.googleusercontent.com/p/AF1QipOAXI7Fi3y_pgc2Nj55cu_vX-CPV-NUwSGw8ejK,,,,,,,,,,Cafe,Red Sea,Coffee shop
