Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Enjoy cafe,"Abd El-Moneim Riad Rd, Kafr Ayoub Soliman, Bilbeis, Al-Sharqia Governorate 44621",010 13011272,Not available,4.7,21,Sharqia,https://maps.app.goo.gl/PiJxLfimkRD1pMMk7,CHCC+QV Bilbeis,30.421937,31.572187,https://lh5.googleusercontent.com/p/AF1QipNryd1UykvJdDDbY16fFqCZ55e0pryb4wRK5vBS,https://lh5.googleusercontent.com/p/AF1QipNN4-XFSK4my3yLHZ3k0snPSdDSuWZ9PDtD7Jhw,https://lh5.googleusercontent.com/p/AF1QipO88tlsTpX2F3vwTMq18ZM1uIT0zwxrVEv3yQHa,//:0,https://lh5.googleusercontent.com/p/AF1QipM2sBJkynEcZ2jelFSatCIHPAwHkBuXKEkj-bQX,https://lh5.googleusercontent.com/p/AF1QipMmG2KGT1-pSODhuDnVRiAady4qvLGRwu8Agj--,https://lh5.googleusercontent.com/p/AF1QipPMZC-iwOrTpCDSt_goUk7s9L2oIeihliV-hIZ8,,,,,,,,,,,,,,Cafe,Sharqia,Coffee shop
كافيه مشربية العجوز,"HG6R+5MW، حسن أغا - الغار, Shobak Bastah, Zagazig, Al-Sharqia Governorate 7142136",not available,Not available,4.7,36,Sharqia,https://maps.app.goo.gl/ij7onT6FZv5EG1Pa9,not available,30.560313,31.542187,https://lh5.googleusercontent.com/p/AF1QipMXf_oMRpwQPtdPOySxBVuqsCE1UKSvxU4CH3xt,https://lh5.googleusercontent.com/p/AF1QipNhuxucRBFthQNVQL4bqW3jJvKlgDTMZoUGN3V4,//:0,https://lh5.googleusercontent.com/p/AF1QipM7etawz-m141TqX_PT8SkRVTluJf83VPi7uSxF,https://lh5.googleusercontent.com/p/AF1QipMZ6oXCaqW1miRQt78-c45topCecFERjwjIEbTV,//:0,https://lh5.googleusercontent.com/p/AF1QipPY4jyAYPSW23JDP031kSpKIWYoqyGXwY09uxpT,https://lh5.googleusercontent.com/p/AF1QipPWCjN7CqaaVMgbj5K0FfnNOdir0vMcaFwmZl-a,https://lh5.googleusercontent.com/p/AF1QipOoqaopuFAisV2TBjfAkX_StvPRS-Q68ZA6vXMV,https://lh5.googleusercontent.com/p/AF1QipPpWrJMeAa6fBow8GLPOoODwnDo2XkHeoqIPGHP,,,,,,,,,,,Cafe,Sharqia,Cafe
Flowery Cafe,"خلف مدرسة الثانوية بنات الجديدة, El-Mansheya, Al-Sharqia Governorate 44621",015 01668830,Not available,4.4,38,Sharqia,https://maps.app.goo.gl/zJ6Nfn66PBHiGwtC8,"CHC6+8X El-Mansheya, Bilbeis",30.420813,31.562438,https://lh5.googleusercontent.com/p/AF1QipO5p2TGfkZiPsknTB4Izg89MVD5_fOw0wN5Ex_Q,https://lh5.googleusercontent.com/p/AF1QipMCOWioJK-sFO06zNEWWSf7rKZasaqK8-I0XeII,https://lh5.googleusercontent.com/p/AF1QipO2dQiTEuXrOz3w3WohlWl7AUgkuAwO-cS3fLoc,https://lh5.googleusercontent.com/p/AF1QipMfcbB6OpLLP7VQXiGZun9Sc3g2acIrkQamz4TC,https://lh5.googleusercontent.com/p/AF1QipPR-YSKUb4977o9b3tVw-R57XAiRg427xK0s2T7,,//:0,https://lh5.googleusercontent.com/p/AF1QipM0Rai-QDSJ9_EPmbW2RycE99LhfilJSrYTPKgX,https://lh5.googleusercontent.com/p/AF1QipNHI3MKBawlfxcZippYxrHGg6iCw4zcmmWLfcBG,//:0,https://lh5.googleusercontent.com/p/AF1QipPHB1_iozIC7QSL_sZnGMLmbrhB45Be0h8eQsEj,https://lh5.googleusercontent.com/p/AF1QipOS_Nh_ph2Yjanv9M_vOqugAQGXLzgznpdm9wv4,https://lh5.googleusercontent.com/p/AF1QipPwxV_x7rthtuC8U8wHvpK0QsrOruFdSL0rkZdN,//:0,https://lh5.googleusercontent.com/p/AF1QipO1OJoxGcvAJ9mG3K7lFwwf8-rC3Ogchgf-cy4M,https://lh5.googleusercontent.com/p/AF1QipP4A_UrCDRp0BfJui6SNn4n9Eo5txmJsKBOaoBO,//:0,https://lh5.googleusercontent.com/p/AF1QipOExHPHJMcr_vudrrJ-oDRPF3Upjs_HvXa0LPfP,https://lh5.googleusercontent.com/p/AF1QipN6wjO3CGiiRJS3m3bPwv9oyE47PVLP5YoBTnhI,https://lh5.googleusercontent.com/p/AF1QipPwPVADHcPHcXfZV_du4jO21DFF7cTb6yMZOEsT,Cafe,Sharqia,Coffee shop
Mokka cafe,"CHC8+VQ7, Kafr Ayoub Soliman, Bilbeis, Al-Sharqia Governorate 7043470",010 25004576,Not available,4.2,38,Sharqia,https://maps.app.goo.gl/VSbLCocUBsnLmeRWA,not available,30.422187,31.566938,https://lh5.googleusercontent.com/p/AF1QipMCdEeNda-ORLVf_t4F60skbP4NmQfCSxkO_VJc,https://lh5.googleusercontent.com/p/AF1QipOoXJyAuqNMnsfX0wkZ6UO_KQ9Sx5FJ7Kli7RSV,https://lh5.googleusercontent.com/p/AF1QipM19bWXMyFxExqq-Ol5HAnUMxDxh7PC5g4zDCSG,https://lh5.googleusercontent.com/p/AF1QipP-w0bZvwL8zmQ2w-Riz5YEjygnux-DtIAngZ5I,https://lh5.googleusercontent.com/p/AF1QipPjuvK66wVQ3LUXK_nWkzaOsOBXzZDJ1FN3k-DH,//:0,https://lh5.googleusercontent.com/p/AF1QipPwM6u0kX5BKRhzU3_GwJ2NaV-ju6oBYkhGXqeo,https://lh5.googleusercontent.com/p/AF1QipN5_Q4AMM1o2fY7d4eglh7mx-tj9jiS1cqMiaDD,https://lh5.googleusercontent.com/p/AF1QipNDK2So9eQpvjeGwSeO6OUh_F1CT_GcQ1SOPV7Z,//:0,https://lh5.googleusercontent.com/p/AF1QipOJKFwmls7-cBhzVUL1FUfgrvXxiDwPDDlIiAjh,https://lh5.googleusercontent.com/p/AF1QipOOBuj6CEWkMJSQ_GsJbWe2ScYl2RWai106zd2Z,https://lh5.googleusercontent.com/p/AF1QipN-W63RMFIYn42OwJjJBHxftYKM5St10zeO9nn2,//:0,https://lh5.googleusercontent.com/p/AF1QipOW-7IQ9uVlONWGgXbWnwimGOCmPqh89slbaQHI,https://lh5.googleusercontent.com/p/AF1QipM8eGEjxOCz6KvQF6zTm0Ly73GkF_hCGTDhlgN8,https://lh5.googleusercontent.com/p/AF1QipM2-SpEqAD5UW039e6qzDJiwnX2yblT0CQ6Ud0T,https://lh5.googleusercontent.com/p/AF1QipP9PNpKPVJDE6WYYwf8lsm-YRLtfVImEcSix3Mh,https://lh5.googleusercontent.com/p/AF1QipNu4YkpQ2u6A5MaPqcWnN8eNGEXqAb5Dzy6m_tv,,Cafe,Sharqia,Cafe
كـافيه السـاقية PS4&5. Cafe,"897X+H3G, Al Munir, Mashtol Al Souq, Al-Sharqia Governorate 7020373",010 19198881,Not available,5.0,1,Sharqia,https://maps.app.goo.gl/5uM37vqaN8ofwEAg6,not available,30.313938,31.397687,https://lh5.googleusercontent.com/p/AF1QipPq0OldceUXUoyNIGs6sNhReS6ZIvvjDnkzQp6X,https://lh5.googleusercontent.com/p/AF1QipOdRe6dyVANvIca4QidC5o71IwDaYjBihwQKLqN,//:0,https://lh5.googleusercontent.com/p/AF1QipPlfk1zwwETY0YrKAupYMZWQ19cGw-QSEwMY42W,https://lh5.googleusercontent.com/p/AF1QipPeAnPQdzkpIzwAzGGpEwr3keC7BraJ_HoUfNT9,,,,,,,,,,,,,,,,Cafe,Sharqia,Coffee shop
Moca coffee,"ميت جابر، مركز بلبيس،، ميت جابر، مركز بلبيس، الشرقية،",010 29392850,Not available,3.8,53,Sharqia,https://maps.app.goo.gl/7rug59b14rgRUUQm6,FF43+53 Bilbeis,30.455438,31.452688,https://lh5.googleusercontent.com/p/AF1QipMjPU5KL26z_oSJESWT1be9ketNgJLDIhboIGrQ,https://lh5.googleusercontent.com/p/AF1QipOB05_LhLLYgM5423KBRkn9Ra8pYzuFE2IusEd0,https://lh5.googleusercontent.com/p/AF1QipMTVnxf60ITCuHPeSrfT_7Z-Z71VQlo6k3CCZvO,//:0,https://lh5.googleusercontent.com/p/AF1QipMpo68yhiqkpLxax6LDZ0Pxa-QFOCtgA2vrfmna,https://lh5.googleusercontent.com/p/AF1QipOFnAnooTtH_HNXbecYvRX07zh2_LpsmiGckZAq,//:0,https://lh5.googleusercontent.com/p/AF1QipMOdm3c2TnTVwpzeulyD-ljCoDPtVzYFl14ELym,https://lh5.googleusercontent.com/p/AF1QipPkx2Bs0D2ilRindfa4uFCMV1V8dQiI7pszMSrt,https://lh5.googleusercontent.com/p/AF1QipPKA_rhph8cV4fLgc2qkPRj1cZG0zgbOF_aVGpf,https://lh5.googleusercontent.com/p/AF1QipMAdbvDQYayh0gHK8Qa1xGy9nHmLOz3VkRKGZqd,https://lh5.googleusercontent.com/p/AF1QipN1ZfCvTB9WlR9ZFyLxd7icXdI9bqhih8RYRcSk,,,,,,,,,Cafe,Sharqia,Coffee shop
Shams Cafe,"CHC6+WWH, Belbes, Bilbeis, Al-Sharqia Governorate 7043114",not available,Not available,3.8,79,Sharqia,https://maps.app.goo.gl/ynXntFdowE98s4C5A,not available,30.422312,31.562312,https://lh5.googleusercontent.com/p/AF1QipNh1YPKRO1-Ov-kGolT97cwm9kUDDVVlW8mv7uH,https://lh5.googleusercontent.com/p/AF1QipNK_5wkErFM5dtcT-5smPmuxNI0jK8X8dgQkDqJ,https://lh5.googleusercontent.com/p/AF1QipPWEUn8CuyfW6_pOptJPn_La7R0FzCk4fxqgNw_,https://lh5.googleusercontent.com/p/AF1QipNgUSMlynV_zuzk0su7Ur8V2PkPfd4HNAd9yfE4,https://lh5.googleusercontent.com/p/AF1QipNuxVPOMTcYqkqKmA5okZSfpLnUaqgsAWXDCkZo,,,,,,,,,,,,,,,,Cafe,Sharqia,Cafe
لا يوجد,"Bahnia, Diyarb Negm, Al-Sharqia Governorate 7200712",011 43039993,Not available,4.1,17,Sharqia,https://maps.app.goo.gl/EmeBG59aF1Kje6xx6,M9QM+3C Diyarb Negm,30.687688,31.383563,https://lh5.googleusercontent.com/p/AF1QipOt3ZgSM_s0gUDqftUebdyXyk1iO3hsOgxxXPMM,https://lh5.googleusercontent.com/p/AF1QipPB1G78-Vu8MEDH_C5cglAyySRpKL3WPSegyd1f,https://lh5.googleusercontent.com/p/AF1QipNQ7mVImuggdWLv8eZDWukxBdpJ694N72RpTyLF,//:0,https://lh5.googleusercontent.com/p/AF1QipMnxZ-Yef7b4xS_GOU3-O-CD5goSlG1cOGlrwp2,https://lh5.googleusercontent.com/p/AF1QipM-FwjxPnRxEBOc5P1kSMQpJdK7KtTv-ZomETrD,//:0,https://lh5.googleusercontent.com/p/AF1QipOAv8_GkJl5oTrxdOYvNQHQgW_S4MqG3RJWSq9a,https://lh5.googleusercontent.com/p/AF1QipOjY1urwmc0hzaOIpQULh4KS6VmoWOgbZPis7gR,https://lh5.googleusercontent.com/p/AF1QipNgI_cNVU6W9eCjDXGDMT43UzPy0uxbEijt4V6w,,,,,,,,,,,Cafe,Sharqia,Coffee shop
كافيه كل الناس,"CHFC+4G8, Kafr Ayoub Soliman, Bilbeis, Al-Sharqia Governorate 7043456",010 60926241,Not available,4.3,49,Sharqia,https://maps.app.goo.gl/6PRf4TDXKBo2UBRu7,not available,30.422812,31.571312,,,,,,,,,,,,,,,,,,,,,Cafe,Sharqia,Cafe
مكاني كفيه,"Harayah Raznah, Zagazig, Al-Sharqia Governorate 7143251",012 25283162,Not available,4.2,60,Sharqia,https://maps.app.goo.gl/etpXPqS5t59duBZs8,JG4P+78 Zagazig,30.605688,31.535812,https://lh5.googleusercontent.com/p/AF1QipOHZ9_sjhYQT4oAxcN1jUpy9Xs-o-Yf5e6nNr3E,https://lh5.googleusercontent.com/p/AF1QipPF7bktwdGDift9YzmCFMiWrefG4jfZkNfwTGy2,https://lh5.googleusercontent.com/p/AF1QipNNIsciSJ3F4MaaXU0dec9qF8nxPvRw_cph24kD,//:0,https://lh5.googleusercontent.com/p/AF1QipNVQVgO0eC0Op4axO5ZsKB6MEvSKVlKAZiacR_a,https://lh5.googleusercontent.com/p/AF1QipMLkanogi-riPZb1bODAvvmc05Ag_4L5WsMvJTu,https://lh5.googleusercontent.com/p/AF1QipNV94o-7eNbYCYvWrDBIng55ikUG6THCR1Of1uO,//:0,https://lh5.googleusercontent.com/p/AF1QipNsVROodGTd4pKQeVoD_N7Q2miQOVn7Tdx1fRh2,https://lh5.googleusercontent.com/p/AF1QipP8KfwYDDbmu81NmlznNYuR46sRq4_2nLzzpQMU,https://lh5.googleusercontent.com/p/AF1QipNr448HxZwHZw3kJvrNkl_aM4IwVETtBFm53RuO,//:0,https://lh5.googleusercontent.com/p/AF1QipPwCSp8uHDNC1xYo-HUF6MDpamj-w5oaOfcBFEO,https://lh5.googleusercontent.com/p/AF1QipOC2VsZDOcQSBPZ99CXegpx285pYTB6TFXcEJP2,//:0,https://lh5.googleusercontent.com/p/AF1QipM2rMnrkzOi0i8EDxyFQOhXFjEAk9TwgeZe9Upd,https://lh5.googleusercontent.com/p/AF1QipMGA_6DsX-j9TypBlxbSPsguYJgSd1LU8K5d5sc,https://lh5.googleusercontent.com/p/AF1QipN6AYO_NJXxsep7j7gi-0-r9b7DRFNJec0WL_eI,https://lh5.googleusercontent.com/p/AF1QipM4D-YC6J52tKf0ZKD5YBBC-x1eIbvQ7eW8prRV,https://lh5.googleusercontent.com/p/AF1QipOtt9DiZw0H1DXQQqHJ7BWJdR3EQzM4aOUtGojl,Cafe,Sharqia,Coffee shop
