Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
مطعم حمدان,"5C9R+9W2, Al Monshaah, El Munsha, Sohag Governorate 4650143",not available,Not available,,,Sohag,https://maps.app.goo.gl/AxkonBAAMe6h2uXy6,not available,26.491250,31.781250,https://lh5.googleusercontent.com/p/AF1QipMDI0a405SN9PFzWiFZFPeUILwbHUw0jSGp1Zo3,https://lh5.googleusercontent.com/p/AF1QipO48XuMebTOXr45EWXZ1S0X7OLU1nMWSly7Jqpv,,,,,,,,,,,,,,,,,,,Cafe,Sohag,Restaurant
Abna Sohag Cafe,"6-4 الخليل إبراهيم، بركة النصر،, Al Salam First, Cairo Governorate",not available,Not available,4.1,10,Sohag,https://maps.app.goo.gl/mjMs6hacsEjpiE9k6,49WV+47 Al Salam First,30.145313,31.393187,https://lh5.googleusercontent.com/p/AF1QipNESQJ7VT3hRNDa56ceMA-p0WtlBB-DYkAC5ZkS,https://lh5.googleusercontent.com/p/AF1QipPmRl1vyf4JlNdhcWhKvACC95FAUo74uSw0d8jA,,,,,,,,,,,,,,,,,,,Cafe,Sohag,Cafe
Abnaa Sohag Cafe قهوة ابناء سوهاج,"243W+2G6، المشربية, Atati, Al Haram, Giza Governorate 3553212",not available,Not available,3.8,33,Sohag,https://maps.app.goo.gl/uqtQ4rfhW1aPFxgQ8,not available,30.001688,31.145313,https://lh5.googleusercontent.com/p/AF1QipNAnrE9XH0ZHDy9CiiDGJhnnb6nhdlk6yENgSQ2,https://lh5.googleusercontent.com/p/AF1QipM7Fgz6jWgumbmyA-ZMQhPJvx_yqQXtcAdmsOSs,https://lh5.googleusercontent.com/p/AF1QipPPq1fyLOS9Zs3OqcEFrFDzMyrheWe4k1Le_TuZ,https://lh5.googleusercontent.com/p/AF1QipPtUYP0MRocqhIyKfJXHwq87h9fCbJVlKCXKrMD,https://lh5.googleusercontent.com/p/AF1QipO12Oe390cxLpry900X6UF6m4N_NhFdHeRYIXdz,,,,,,,,,,,,,,,,Cafe,Sohag,Cafe
نجع الحاج حسن,"PJ6P+7VC, 75M, Saqultah, Sohag Governorate 1833537",not available,Not available,5.0,3,Sohag,https://maps.app.goo.gl/bJnacJ93qdmdXN3w6,not available,26.575000,31.775000,https://lh5.googleusercontent.com/p/AF1QipOL8tajnABiBySEhdOO9vhPSabqIBnIPUV4R57W=w507-h240-k-no,,,,,,,,,,,,,,,,,,,,Cafe,Sohag,Coffee shop
الرائد كافيه,"HMHM+934, Awlad Naseer, Sohag, Sohag Governorate 1697041",not available,Not available,4.4,53,Sohag,https://maps.app.goo.gl/dchMFWQUdcSR8LGDA,not available,26.578437,31.682688,https://lh5.googleusercontent.com/p/AF1QipPylkizCg3QIzTODpm9YVXqpuQ596NHpqoZyobZ,https://lh5.googleusercontent.com/p/AF1QipOfDkvCIUvB4PSuDO5uymhd3L55vVtn0GLKfZfA,https://lh5.googleusercontent.com/p/AF1QipOrNBvVXoD3Jci4Fe7u69RuwYIKAYbEFHrVHxAU,https://lh5.googleusercontent.com/p/AF1QipOawpGwlGkWQBWkuGZsDMVRVRcCAo9ggYiIhbLz,https://lh5.googleusercontent.com/p/AF1QipNUZmC6g-mflT-__yOuMUYN-3EgrzH5tEVhoo8Z,https://lh5.googleusercontent.com/p/AF1QipN-3z106iEDt8R0vDlv4Hnhimy6uaNUK3hFNary,https://lh5.googleusercontent.com/p/AF1QipPp2EpJumvbt1vXkuc8rIjcYkyMUB3ouCa2wNBt,https://lh5.googleusercontent.com/p/AF1QipM0fEQ1T6mPosoxJWpNI2L5d27ubj_FBM2nbSJG,https://lh5.googleusercontent.com/p/AF1QipNwym4lCLvkFRFNQXP6O1kQpfmugV7Xamm-yFfu,,,,,,,,,,,,Cafe,Sohag,Coffee shop
Joy multi,"M5VF+GRQ, Sohag Desert, Sohag Governorate 1850110",012 08085610,Not available,,,Sohag,https://maps.app.goo.gl/hi5KXy1s4UdM3dvE8,not available,26.693812,32.174563,,,,,,,,,,,,,,,,,,,,,Cafe,Sohag,Cafe
Playstation EL MONTKHAB,"شارع 15،, Qelfaw",093 2109909,https://www.facebook.com/profile.php?id=61555823424022&mibextid=9R9pXO,3.0,2,Sohag,https://maps.app.goo.gl/fUYfXUnrGdoyGD9P6,"HM7R+44 Qelfaw, Sohag",26.562812,31.690312,https://lh5.googleusercontent.com/p/AF1QipMD4JmswOJULKdwM81nPMar1FNyeNKWPcAYVyzX,https://lh5.googleusercontent.com/p/AF1QipNxqhafqOBcMjYOP3GqnjQnNzpEW-siG0tkYIzU,https://lh5.googleusercontent.com/p/AF1QipOBPwDIBbjbDfeeUGcr5nb7-s1PQEEhULSpZWGY,https://lh5.googleusercontent.com/p/AF1QipMy7E2WvKLWVa7wFu99SS0xasnLnL6cQ5ED974-,,,,,https://lh5.googleusercontent.com/p/AF1QipM6kaNLdUZ1hpbovWVxSvWyN0ppw-j20b_X7JNh,https://lh5.googleusercontent.com/p/AF1QipPTMy5ichETpkwItg9ZF93ZW58qPTEfQKfk-yyx,https://lh5.googleusercontent.com/p/AF1QipNih17ABfq41cUOV-gl7OoZOrr_fgI0MLGZF_d0,,,,,,,,,,Cafe,Sohag,Coffee shop
كنكة كوفي بار,"HM6X+457, شارع عمر افندى ،امام سوبر ماركت زادك،،, الكبش، قسم ثان سوهاج، سوهاج،, Sohag 2",not available,Not available,4.3,6,Sohag,https://maps.app.goo.gl/QWrcfp7BbTDFRaXM6,not available,26.560313,31.697938,https://lh5.googleusercontent.com/p/AF1QipN8DjZF7HVY0Uyk8h1pczX3E-T7Ya_RKHe-5sUh,https://lh5.googleusercontent.com/p/AF1QipMyAWV8OvjwA3fixkIP6Wl9YcVPTWA8T176EiVY,https://lh5.googleusercontent.com/p/AF1QipP5rj0IaT25yDV6ijH6gZtn5ll15XaAXfn5TGyV,,,,https://lh5.googleusercontent.com/p/AF1QipOxh3oEKQ8exJ0vfzH9UXc7K0EU1vE8WbT0Vcxu,https://lh5.googleusercontent.com/p/AF1QipNPkavL3U2EO4_MKYy6Dh4Zum_BeEvPy057ljjm,,,,,,,,,,,,,Cafe,Sohag,Coffee shop
ميكانو كافيه,"شارع عبد الحليم محمود, Qelfaw, Sohag 2, Sohag Governorate 1682031",010 69815874,Not available,3.8,33,Sohag,https://maps.app.goo.gl/sTkFoiaFGpzSvq2E8,"HM7R+J7 Qelfaw, Sohag",26.564062,31.690688,https://lh5.googleusercontent.com/p/AF1QipOitP8hrYzt6-hdvnkPqFIkYiKTYIaLFp8vidmZ,https://lh5.googleusercontent.com/p/AF1QipNurwkjjaskRq-O89iXVU6vdFZ0qEQqODgq_qms,https://lh5.googleusercontent.com/p/AF1QipPhtIgwE_88KGF6ZQrKKFDfDCFWXb5OssqgkVQu,https://lh5.googleusercontent.com/p/AF1QipONgcUbi0knUVZhpI7FlJ8qE5eMBsZ0Pc-HlrBG,https://lh5.googleusercontent.com/p/AF1QipOFD35MNJLpFgNHi5dVOVEG4-20QJdLe_c1Xpzm,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipP2tv9SkzBElnK0U0kv3jmS07-IjwlQuJEvyta3,https://lh5.googleusercontent.com/p/AF1QipNOuvyO1P6DLV7TWZrf0uoM3hdXwKXJ3EwqWy0C,https://lh5.googleusercontent.com/p/AF1QipPdfU9a9Qj1Zn41KPSUbnsQvf7UniIdVbH0751M,https://lh5.googleusercontent.com/p/AF1QipO14i1nykoNED9EQdjmcQR40QGuEwGN9k4twGZH,,,,,Cafe,Sohag,Cafe
Tip Top,"HM6X+G66، شارع النهضة, Al Kabsh, Sohag 2, Sohag Governorate 1683033",not available,Not available,4.2,11,Sohag,https://maps.app.goo.gl/DjHYLJLBEuVAs1U7A,not available,26.560812,31.697938,,,https://lh5.googleusercontent.com/p/AF1QipMphmSpipzQpPzPNCE40Kb5VrS3yyXHn0J7XxjT,,,,https://lh5.googleusercontent.com/p/AF1QipPKzHcb1P2-SjKmNl0HddoDLh_8kYszIXe-RL2Q,https://lh5.googleusercontent.com/p/AF1QipPPmN6KNaNy0Cp7AJKqfBG_VvKP2I_o503adoDf,,,,,,,,,,,,,Cafe,Sohag,Coffee shop
