Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Sea Soul Cafe,"FGX9+JRF, Dahab, South Sinai Governorate 8772524",not available,Not available,2.3,9,South Sinai,https://maps.app.goo.gl/3dVU3ScejckpRzym6,not available,28.499063,34.519562,https://lh5.googleusercontent.com/p/AF1QipPMmpEVCyynyj0s6fvN7PUy9XTMmpFmnJ8g8oMa,https://lh5.googleusercontent.com/p/AF1QipMUMq29Q0Kd2UtjoDQQGQg9rlqPy923iiALAj2O,https://lh5.googleusercontent.com/p/AF1QipNT0HOQSV5VSD81vrJbf5nvEdJXSBiPull0lpbR,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPlTHM_RdMOy2dVEchqARzCThPAZLeDrxOWzbY,https://lh5.googleusercontent.com/p/AF1QipOP2RfUWFN5mb9RPdIVL87QdD5JinNCwrYNpyg,https://lh5.googleusercontent.com/p/AF1QipNWUBLvTNgIiZw1OVVzY79FWGNiLemeaMcmYUs,Cafe,South Sinai,Coffee shop
PlayStation Cafe Dahab,"المشربة, Dahab, South Sinai Governorate 8772510",not available,Not available,4.9,20,South Sinai,https://maps.app.goo.gl/s2kkfcaMYLxW6yZy9,FGV7+6J Dahab,28.493063,34.514063,https://lh5.googleusercontent.com/p/AF1QipO9-OLdkq3v67yFrnFLHvWiy8teVrAmOYbtQLLU,https://lh5.googleusercontent.com/p/AF1QipP4dUDL1yTCUdlA-j2lgO8-iqpJBqYNhTug8yQN,https://lh5.googleusercontent.com/p/AF1QipNCjztBRbThzhfYC2Y8IVz1vhegR8EZtFl47l9K,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOkwCpl8Pb5-akrrtPokdsLvk0ZA52u3OXQc5tv,https://lh5.googleusercontent.com/p/AF1QipN09AD5G8QKwWdFCuSzRhUwvUMBolEcwR0svAq9,,,,Cafe,South Sinai,Coffee shop
Happy Land Cafe and Restaurant,"002, Dahab, South Sinai Governorate 46617",011 15042638,Not available,4.5,35,South Sinai,https://maps.app.goo.gl/FfvEdjJ92KfzUUx86,FGR8+FH Dahab,28.491188,34.516437,https://lh5.googleusercontent.com/p/AF1QipO8Zfi-S-t4otM_IVhGaNBfT9EXXgwHZWsCq1n-,https://lh5.googleusercontent.com/p/AF1QipOdG2ARLa0wfjkp8YKwDW-4ZNzQj3FZb1t05Lyf,https://lh5.googleusercontent.com/p/AF1QipMZrkomnhBJIInRREDkYspjqA7SB7AvFYHWdsbI,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPgBBpiBOkUjJmDCABYidwJA4jYt26Yg0meSiMn,https://lh5.googleusercontent.com/p/AF1QipNaSBpv30l2XtMumXvzvVFmO8sk52rt9F7OI2FF,https://lh5.googleusercontent.com/p/AF1QipMJ0JrKNjL2KhgBns7q2p6i_LmcvEJreeldAZXr,Cafe,South Sinai,Izakaya restaurant
Coffee Land,"FGW8+9RM, Unnamed Road, Dahab",not available,Not available,5.0,9,South Sinai,https://maps.app.goo.gl/Hkc9rUVFU2dAf6ac7,not available,28.495938,34.517063,https://lh5.googleusercontent.com/p/AF1QipO52oXXqZGfbHTPjLOAUllJHIYzeSQVIYquB85B,https://lh5.googleusercontent.com/p/AF1QipN_gRG3BrAcpMJ_BjKQr01xbJKxtyoORWVNk4EQ,https://lh5.googleusercontent.com/p/AF1QipPSWtTFeYICK6qsUn0bqmhi7fI1MkAjniKBTjL7,,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPCneFtb6LaIyTtXIP8FFVpZQ4yJc75j-Il-K6u,https://lh5.googleusercontent.com/p/AF1QipMSdHUzSHMeH4_WJzWwon_Q-Zq-GqNthJc4ltqi,Cafe,South Sinai,Cafe
Arabian Tea & Coffee,"GG38+Q5P, Dahab, South Sinai Governorate 8772440",010 50335649,Not available,4.9,15,South Sinai,https://maps.app.goo.gl/gs1DyvhynvrrpJmF9,not available,28.504438,34.515438,https://lh5.googleusercontent.com/p/AF1QipPSO2-4799kp5Hm4JK7ONaK5zN3Dz_Wm4b9MezZ,https://lh5.googleusercontent.com/p/AF1QipMkhFuiHjUDjYyY4-iNajkC7mnAvbnz2EsyBqsD,https://lh5.googleusercontent.com/p/AF1QipOwhu5FCUAW-gLZOYA_D0GpudqlLWHF1OBvJW_7,https://lh5.googleusercontent.com/p/AF1QipOEsTGnFIvfrfpcoHd9sly6W416O3IRDTtBuSuf,,,,,,,,,,,,,,,,,Cafe,South Sinai,Coffee shop
The Boot,"GG38+9VV, Peace Rd, Dahab, South Sinai Governorate 8772610",not available,Not available,,,South Sinai,https://maps.app.goo.gl/nUCEUBURAjjnmfuF8,not available,28.503937,34.517187,,,,,,,,,,,,,,,,,,,,,Cafe,South Sinai,Art cafe
S,"El Masbat Street, Dahab, South Sinai Governorate 8772301",not available,Not available,4.5,37,South Sinai,https://maps.app.goo.gl/vGN4tvdcHHcf3ZYg8,FGX4+VG Dahab,28.499688,34.506312,https://lh5.googleusercontent.com/p/AF1QipMEldSaCWyQHhDS4UJXskGrZgJuloPAbT_HfDqH,https://lh5.googleusercontent.com/p/AF1QipOsHtliH29wDieJwOxhFwUjChWiMTnvJ9u3YDJY,https://lh5.googleusercontent.com/p/AF1QipPr4w1xSOPEb8s-go1FWixCjHAio91XLxk9Iii4,https://lh5.googleusercontent.com/p/AF1QipPOj5w875TaqQKF5Qsus2o9kY-m_wTHf1T2e8gz,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPNHnv7bOLwlGKI4DD71kJ11x0iPfPHHmSPWeK0,https://lh5.googleusercontent.com/p/AF1QipOWwLyyY4hwP4KDXaArNzp1WOfGkEMJ4WVHMeOy,Cafe,South Sinai,Coffee shop
Costa Caffe Dahab,"GG57+MC9, Dahab, South Sinai Governorate 8772464",010 11658949,Not available,,,South Sinai,https://maps.app.goo.gl/F4iVzh1MYLcwWstP7,not available,28.509188,34.513562,https://lh5.googleusercontent.com/p/AF1QipPGUTBOhrnzCObEMstBWwDPq5SU_YclHd0Gvfp8=w533-h240-k-no,,,,,,,,,,,,,,,,,,,,Cafe,South Sinai,Coffee shop
Peacelovecoffee,"Saint Catherine, South Sinai Governorate 46617",010 00522841,Not available,5.0,9,South Sinai,https://maps.app.goo.gl/jhXJcDhWETG9REKT6,FGV8+GW Dahab,28.493812,34.517313,https://lh5.googleusercontent.com/p/AF1QipNkXJtclyzZZKW_LKVoKBUasafUYUHnJJNYLsgQ,https://lh5.googleusercontent.com/p/AF1QipNtmOKY6PUkbUWB0jp47Vj1Dik_WI6YPqhEmdEL,https://lh5.googleusercontent.com/p/AF1QipNU4NSz7gUsvY6eqDI--z2VohGxqX9D76GCrr9R,https://lh5.googleusercontent.com/p/AF1QipNALuldwilT2dQ8aT2kmoivSBGFYk1riwA08zdG,https://lh5.googleusercontent.com/p/AF1QipPvZAo02hGcEMsFhhZTCFSHWyWjVl6wvkdyzko1,,,,https://lh5.googleusercontent.com/p/AF1QipMdvhrjAVe8zqgklY5SNSikIAa_htv_NUON7LXt,https://lh5.googleusercontent.com/p/AF1QipPR9wcZWOubRajsi842jz-pGRk16Dtd-8GPuytA,https://lh5.googleusercontent.com/p/AF1QipPLQ86EoZ7SSe4hBe6hFtd3fdTXy8ySGD9iHPGs,https://lh5.googleusercontent.com/p/AF1QipN8xKHlHbbxcdlKAdN-y3wu_eyPT_623IYPpA3E,,,,,,,,,Cafe,South Sinai,Coffee shop
Zain Cafe&mart,"الممشي السياحي المشربة, Dahab, South Sinai Governorate 46617",010 70610495,Not available,4.0,2,South Sinai,https://maps.app.goo.gl/U7iKyWJzaDuk8KrR8,FGV8+QJ Dahab,28.494438,34.516562,https://lh5.googleusercontent.com/p/AF1QipNmiMGY17jdhAne1fgUFghcjPJABAmtgV3WbeVL,https://lh5.googleusercontent.com/p/AF1QipPfogxQXbUM8pXxWKWGCDaNjiBGcxfyH2Qciui0,https://lh5.googleusercontent.com/p/AF1QipPNPijiP574iqZLbjsHOa1CT7GIFaP6j__LocjD,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNvbo1BtzfQh-g3cNp71KLn3MGGvviuTNCzT3Ks,https://lh5.googleusercontent.com/p/AF1QipNtZJjSUuQ5ZziOS2_H9L6Rija97np09ElGpuT_,,,,,,,Cafe,South Sinai,Coffee shop
