Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Drop Café,"XGJC+39V, Unnamed Road, Faisal, Suez Governorate",010 30433755,Not available,4.8,24,Suez Canal,https://maps.app.goo.gl/jTDA4PFtD6Wuy8EZA,not available,29.980187,32.520938,https://lh5.googleusercontent.com/p/AF1QipMk11ifwqeBYFXqXOIw7T2Rzjj7BwnUXv1wAz5S,https://lh5.googleusercontent.com/p/AF1QipOO67L5Mn8Tp4u-g8sAEFVxfzR56agh_0no_HoS,https://lh5.googleusercontent.com/p/AF1QipOOAADN2HuHm5PTH6xHz4uTmXnRFfNVPId9xghw,//:0,https://lh5.googleusercontent.com/p/AF1QipPLWdQHizo2OBiqEJ8wCP2J7wigjapkrbjOakgP,https://lh5.googleusercontent.com/p/AF1QipMkOeWDp9qoVAxDA8Si8obXminkmVhgEPcjQAK8,https://lh5.googleusercontent.com/p/AF1QipOttBi-dlw5NDYYIQ3qbR7MhFClQDTg4CxuJwV6,//:0,https://lh5.googleusercontent.com/p/AF1QipPPCP8cF27-veJ2P1Twg1HDbKl6u8GMxk6T9njP,https://lh5.googleusercontent.com/p/AF1QipPI3ZGFN1QidIJm_03cFwOOvdBdlhoXMCCgrAx8,//:0,https://lh5.googleusercontent.com/p/AF1QipMuQOf9aS3esVx0SZ4ZIMxfXMXvSDNuEMQ_3uIV,https://lh5.googleusercontent.com/p/AF1QipO8edN9DRFlSUqfdH_JX1l6dmgh1sfNx2OXWTM7,//:0,https://lh5.googleusercontent.com/p/AF1QipOLT1m4c-BTvYcOJXIXG3PVEx3nx_rvACR3c3B2,https://lh5.googleusercontent.com/p/AF1QipPsU3lnvjI4a8zlhlnKcfBbXbRTkuHCRtGZHnq8,//:0,https://lh5.googleusercontent.com/p/AF1QipPmVUaDoIfahxxfTYTgJguECi8nk2MDWZ_BTdOx,https://lh5.googleusercontent.com/p/AF1QipPo9TAjMwvJYE0HRVVl8k9NnNQjYr-QlLrTfSYs,https://lh5.googleusercontent.com/p/AF1QipP6kNqBu8z5kjskCKE2sf1KwxBSnSnnCWtCocp0,Cafe,Suez,Cafe
Malika Café,"الكشافة البحرية بالسويس, El Hogag Valley St, Suez, Suez Governorate 8140020",015 51660330,Not available,5.0,22,Suez Canal,https://maps.app.goo.gl/QdyaoaDfEx4CU8Fj7,XG5P+7H Suez,29.958188,32.536437,https://lh5.googleusercontent.com/p/AF1QipON3FVkI5a5Y4x8hSUItm4kVvXqA0BtZ_TINAVq,,,,,,,,,,,,,,,,,,,,Cafe,Suez,Cafe
NICE MART,"XG7R+R26، الملاحه، المحروسه",not available,Not available,4.5,12,Suez Canal,https://maps.app.goo.gl/3c47J2E5LEVLtccb8,not available,30.218688,31.476937,https://lh5.googleusercontent.com/p/AF1QipMyb8mDNVaMjH-LI_kkGvqT3A2NBlzUGOHV-nhL,https://lh5.googleusercontent.com/p/AF1QipOeqmJtQKDRSM5orVW1skZv4IAgaglPFtyfBTZX,https://lh5.googleusercontent.com/p/AF1QipNy_sJ4J2R4TTmPdD8Hu34eIcZONBv_dP-wXoa0,https://lh5.googleusercontent.com/p/AF1QipMY-3TSRryV8WqI6M7TJ4UgTb5ISWcNLJXYbhkT,//:0,https://lh5.googleusercontent.com/p/AF1QipO1XwH_M9ivM4hN9f8nAPnhVeR-TthSdwdMWbIG,https://lh5.googleusercontent.com/p/AF1QipOr8Dg1CsNyAfs178uAyIc2QYgVzsu3UZvJcpbp,https://lh5.googleusercontent.com/p/AF1QipP3sPas3dEytXEr4QOmKNTvp5XUp1-Cu1izu9ZV,//:0,https://lh5.googleusercontent.com/p/AF1QipNPwaSxRsFuvz8B_MntwNNfjh3LlLl07d8FmqTU,https://lh5.googleusercontent.com/p/AF1QipP0j15Js0KU6-z3ib7FPoE7XH2pmYUE-ANOB3F7,https://lh5.googleusercontent.com/p/AF1QipP5H_Xcv3KJzFY1fk_MU3tqgX7Kn-KUhARfWP59,//:0,https://lh5.googleusercontent.com/p/AF1QipM0bDq4AV8KDKMfUOlRRvBYNZqX4ysMkFkambwK,https://lh5.googleusercontent.com/p/AF1QipPBkILrqqxg4sPOUhgYc9yzPjJkxDH0n2TngM0H,,,,,,Cafe,Suez,Art cafe
ع الهادي,"فيلا 1, Attaka, Suez Governorate 8136201",010 99409453,Not available,4.3,75,Suez Canal,https://maps.app.goo.gl/nZZ434z7ZXXoDe2J8,"WFRJ+9G Al Semad, Attaka",29.940937,32.481313,https://lh5.googleusercontent.com/p/AF1QipMFqsvpRSZ12DWLddi9r9Q2V_-aQEK0Dd_oSnCe,https://lh5.googleusercontent.com/p/AF1QipOoDVs4IprBI9x3No_UJuyn_qe1CVxfjZ49KrKY,https://lh5.googleusercontent.com/p/AF1QipM4H9iZa1_O9AylRPV_bfm6Opbv70u4nAF64fuL,//:0,https://lh5.googleusercontent.com/p/AF1QipNMxnqIH0EnqlBRECKUPvaSs7ciNRtZgoJYivTR,https://lh5.googleusercontent.com/p/AF1QipMufMck4HkrkFypXi1qpXdtwIB1QctrX620VKhn,//:0,https://lh5.googleusercontent.com/p/AF1QipN88B1t4aj4jLDqoyTjVwti5TJUFMzX8-l2zOCm,https://lh5.googleusercontent.com/p/AF1QipN_9mlXbAuLo2LWFu-jqqSFwgOGYTcD9noPU5_g,//:0,https://lh5.googleusercontent.com/p/AF1QipPvgUxqE1IW3_pZyhcsqHBKfF45ArBzOZ0KKp6O,https://lh5.googleusercontent.com/p/AF1QipNmODe2DD8AC3n4XBBwpa3G2bSC3eCY37m3T-v3,//:0,https://lh5.googleusercontent.com/p/AF1QipPKvue2UE3W56nQAsKmQ6atrK43kiZIPeF8tMUj,https://lh5.googleusercontent.com/p/AF1QipO0Lz4BaeYkcL_gbcL_c__a5HZoue8QDiOyPjVl,//:0,https://lh5.googleusercontent.com/p/AF1QipPKqOFffko6WbR6ZfmuyDmrhKp2u59fp8PZXqif,https://lh5.googleusercontent.com/p/AF1QipNJkqHNHooQzGAZ0DeEin-rJzf5mb9WuqUgLtPd,https://lh5.googleusercontent.com/p/AF1QipMkbVEg5jHQLssEFtrRAbjZmy5sf9FbO_9ByKiu,https://lh5.googleusercontent.com/p/AF1QipOxRhP2qmcgiYk_KljPRhGMEDqW5jranGbrmjDi,Cafe,Suez,Cafe
Euphoria Suez - يوفوريا السويس,"الملاحة الجديدة، اخر شارع الفلل عند ميدان مصر الجديد (ميدان الزراير سابقا, Suez Governorate",010 63484940,https://www.facebook.com/groups/285431702469838,4.4,205,Suez Canal,https://maps.app.goo.gl/GvKst15zPMGJ8Uv26,XG8Q+53 Arbaeen,29.965438,32.537688,https://lh5.googleusercontent.com/p/AF1QipO731b8IgwDMbV6P0GhTfoqcgKneGtOjmt3iiQy,https://lh5.googleusercontent.com/p/AF1QipNlp_FkZ6M8JcIIeO7A1OZzRIJdWursMr3nc6z2,https://lh5.googleusercontent.com/p/AF1QipPgNsnIWcIRKNeCn0ZOjza6Lr1pSnVIWZkJSqaI,https://lh5.googleusercontent.com/p/AF1QipOsJVRB4i2FD_P5_XJgsxp4v2CbRDMjNRdHVEhX,https://lh5.googleusercontent.com/p/AF1QipNNJPvTSB1VFPvz064w7xQh89251EX5DBrjPZI6,//:0,https://lh5.googleusercontent.com/p/AF1QipOYvVIkojq7uaiaWpeh5EA5lmcHS4-1MzGURAd8,https://lh5.googleusercontent.com/p/AF1QipP0KgUpf3p56OTKqD8vnH9th8heM_Z3a9KVCtpB,//:0,https://lh5.googleusercontent.com/p/AF1QipPv0jOmdUFGpQ-8ne7tjLIu-nXGb4H-ZHX6DsFj,https://lh5.googleusercontent.com/p/AF1QipPA_mXQj1EYaPlIb1VFaFb7vGd2fomJqzZxzSsI,//:0,https://lh5.googleusercontent.com/p/AF1QipPMfAYf_rG4CJRgHqKqPpqCOsrUyU3TatkF2sWZ,https://lh5.googleusercontent.com/p/AF1QipPsmYQFZ4nJSZBVlc3srPxKEGU_Lj2od8jWNQBb,//:0,https://lh5.googleusercontent.com/p/AF1QipMSCEG_iZyu7G0MwZBmyLvEetZ7nqU4GFgvrRFM,https://lh5.googleusercontent.com/p/AF1QipM00VPpeV_3x8pLjEPFkYjkFKaXq5G_SpUk5krP,//:0,https://lh5.googleusercontent.com/p/AF1QipPkYr6KZIpqpFWGLKgoAUNoZ0Ijh5GSTxzCrrKg,https://lh5.googleusercontent.com/p/AF1QipPe4G5w5jkZ-oNAt1jisfKENwzGcqn6kFrSn8KV,Cafe,Suez,Breakfast restaurant
Nostalgia Café,"Suez, Suez Governorate 8140101",010 97027127,https://web.facebook.com/%D9%86%D9%88%D8%B3%D8%AA%D8%A7%D9%84%D8%AC%D9%8A%D8%A7-%D9%83%D8%A7%D9%81%D9%8A%D9%87-Nostalgia-cafe-1683667198581419/,4.3,103,Suez Canal,https://maps.app.goo.gl/MHcyrzxJaQo4q4Xx8,XG4R+P4 Suez,29.956812,32.540312,https://lh5.googleusercontent.com/p/AF1QipMyaVxtenLzFvGYHz0CEevd3lqfwno6cYUU5Y6d,https://lh5.googleusercontent.com/p/AF1QipM5DieSTHoVlzEA8DZAsn3I7NzmBpHPXVb6D6Hw,https://lh5.googleusercontent.com/p/AF1QipNAwZtcWy3yaJfAwYhOgB4OP5b-bGxaVsee5eUO,https://lh5.googleusercontent.com/p/AF1QipNOrgS3gY5QGbOfpWtAqfBK7VBHnLoxg2TEoP9w,//:0,https://lh5.googleusercontent.com/p/AF1QipPpy0rVOWi92rBMnOeEIE9-kghd9-JDtBbqq8zC,https://lh5.googleusercontent.com/p/AF1QipOnPjc2en8CT0Srx-dkq2uHtTJ0LoGyk2UkYyH2,//:0,https://lh5.googleusercontent.com/p/AF1QipNb8jSik8myJpWb-LYNO45P-SX4H6A0eh1Q1D7D,https://lh5.googleusercontent.com/p/AF1QipNGxEgJHyeFK-_l5N0yZ97fPBdgbCHX3mCcbpGD,//:0,https://lh5.googleusercontent.com/p/AF1QipORJLPU5YGBnpnavVnj4hHRkXxJD9qgRlcwU3cS,https://lh5.googleusercontent.com/p/AF1QipM4MrQuA-DF58zgwc4qxtSsc0AkTE4gVdjM5Ejh,//:0,https://lh5.googleusercontent.com/p/AF1QipPb28nbhr0l0sbfiuaJEfzUHM7BNj5DtL7HjQVF,https://lh5.googleusercontent.com/p/AF1QipM5pd_vSymLx2DIiPnGRWDYuNbD76RCDyl_oUfW,//:0,https://lh5.googleusercontent.com/p/AF1QipOfG7NzU46_IOanErUSLl4OEp2Q7A90Xwe4V2k9,https://lh5.googleusercontent.com/p/AF1QipMZRfx_COBzgjYR3diI4cKJ1xW6DVhx-0goqMHx,https://lh5.googleusercontent.com/p/AF1QipNUNHrWi8nVi1c0dz5pXIe0yvoSbwROeLtyCJCx,Cafe,Suez,Cafeteria
Z Mart,"XG9F+XX, Faisal, Suez Governorate 8151042",011 23787717,Not available,4.6,81,Suez Canal,https://maps.app.goo.gl/cV6fwMC89r5URRLk6,not available,29.969938,32.524938,https://lh5.googleusercontent.com/p/AF1QipM_jysv_fM-IkBzWyXjfo_PmSNXasbWEuVG66YY,https://lh5.googleusercontent.com/p/AF1QipPWhIBATfdzOcBbEPrlZdvaOlS8llHaLFcXkRhm,https://lh5.googleusercontent.com/p/AF1QipNXCkl-4YZcRkIQP0DUSApqx_DvYam_A7bo9uxd,//:0,https://lh5.googleusercontent.com/p/AF1QipM5Ln3GLt8E3TLmF7S82zVVd_nZ5jBDe8FMiXA9,https://lh5.googleusercontent.com/p/AF1QipOtRqTNznJBBdThQPpqdwoS1AL2WKf0u_zUo79e,//:0,https://lh5.googleusercontent.com/p/AF1QipMZWGZoN5Rtxkmj4HvTfoFnhxCv_F6nyTXxOvHn,https://lh5.googleusercontent.com/p/AF1QipMoRTD0CHER3o0xmxXwhZuIr84w3yy00Gfm_8SQ,https://lh5.googleusercontent.com/p/AF1QipNaXxYMylX3feLbmVNQ_PDuZ_tChNmTzpcoT55T,,,,,,,,,,,Cafe,Suez,Coffee shop
جواهر البن,"مركز الاسعاف الطبى, Suez, Suez Governorate 8141001",062 3433301,Not available,4.0,642,Suez Canal,https://maps.app.goo.gl/JfBBx9CBSVmwYqhn6,XG7R+V2 Suez,29.964688,32.540063,https://lh5.googleusercontent.com/p/AF1QipNQeNgTpdmnllubv5dPFSEnBI4l_Sw70vymmd71,https://lh5.googleusercontent.com/p/AF1QipMoj8BTMgbzus3bfB74PzcxOkOAclOc4ENBlYlm,https://lh5.googleusercontent.com/p/AF1QipOztmy5XNCemPK5n1QUgC3ksj5FQapk5S5oy8FV,https://lh5.googleusercontent.com/p/AF1QipPpfai1UbadX0prWMwljLOvDnyGUN_se4UKncQt,//:0,https://lh5.googleusercontent.com/p/AF1QipNGex6Hl1XqSShJ2HDUZp7FfG89VQ3FRf6_SOje,https://lh5.googleusercontent.com/p/AF1QipPktBkDF2lkH0Lyy55RtBvzsLBtG5FQf9JOqv-p,https://lh5.googleusercontent.com/p/AF1QipPSFOqE88R8r7qrhdUiLL9Mj0nlG8HTcNu5mDzU,https://lh5.googleusercontent.com/p/AF1QipMOYsfAOfzYu4xmbXTRcWMPoeOW_vm2gODhhxPt,//:0,https://lh5.googleusercontent.com/p/AF1QipPIbUH7yDsBnu9nIh7wCpNFbFSP0gP3LmVocOw4,https://lh5.googleusercontent.com/p/AF1QipMTh7VC-G8sxJVAO1oOnrX8a5GoCZv1XfzcAnOC,//:0,https://lh5.googleusercontent.com/p/AF1QipMoG93bxd0yxdi2UFdHHYTah2PW6d28z1jhKukV,https://lh5.googleusercontent.com/p/AF1QipMG1cDcZclEbxSAR3vtFTt7ejL7yOeA18totSjh,https://lh5.googleusercontent.com/p/AF1QipMdbwSAH_v6XHbBLt1qEc7KXI-zCMH4V5-W72LQ,//:0,https://lh5.googleusercontent.com/p/AF1QipO33En14M-aJq_GDMvxUEIoly_Ckhk3CVzo-iit,https://lh5.googleusercontent.com/p/AF1QipOxpfFoMdI2B-hsD4unDnXAxwmYxV_SMfklM63D,https://lh5.googleusercontent.com/p/AF1QipP3i9BtcOnoYqj5_TCflyi7S_TUFtlsxVQAkfSu,Cafe,Suez,Cafe
Fox Cafe,"XG8R+F9H, Suez, Suez Governorate 8141002",not available,Not available,4.0,391,Suez Canal,https://maps.app.goo.gl/PCJX6zbTdd6yz5Yo6,not available,29.966188,32.540937,https://lh5.googleusercontent.com/p/AF1QipNwqbpJPOT7ReY7ytucPY1WoFfS2vkcfWgn9PtF,https://lh5.googleusercontent.com/p/AF1QipMhuIUmu73iN8EwMQ64Pi_WUaMSCGMVtD7zuH2e,https://lh5.googleusercontent.com/p/AF1QipNQJZYig45WJgkLdBhYoq4EpArDi6EplFeCT9Wg,https://lh5.googleusercontent.com/p/AF1QipM_j2OybxthmsTzjnHmGfOkUmLssGlt2tKIgrIb,//:0,https://lh5.googleusercontent.com/p/AF1QipOHNC2zLOIWMibbbUwFYhma960LMguHrsZjUHnJ,https://lh5.googleusercontent.com/p/AF1QipMzYMQwL1e9ZtJc8ZfXE0xBv2FyC3ZXrITPbYwU,https://lh5.googleusercontent.com/p/AF1QipOsBTl3uudRbgGFDJ_6xxb3RJHnQjBliu-ehchl,//:0,https://lh5.googleusercontent.com/p/AF1QipOEmlQ3wOtcv51Y8EaWqcfB5x91Ol4BrHbDX6hz,https://lh5.googleusercontent.com/p/AF1QipO9GcFuowdDpIoHAgSKye8lhxtLi8u_wP6cB3hA,https://lh5.googleusercontent.com/p/AF1QipPzgd1Uheci_CtGya8AK6wELc3OkznwBYXVvbBv,//:0,https://lh5.googleusercontent.com/p/AF1QipN0afiSFLlgHw6OwIB_dUOcXt70rYHA18zTPdzb,https://lh5.googleusercontent.com/p/AF1QipM0k9XiWckhk0z_bVLIbnUluiKfcgoskf5Q9wL3,//:0,https://lh5.googleusercontent.com/p/AF1QipNNbDTg6_r0o8CiBivulzvFxI6ZvGM8BHmAdxE,https://lh5.googleusercontent.com/p/AF1QipNl4xnCK0RmHrNd-x3z9cgkbVcAzoseJvWkVIBu,https://lh5.googleusercontent.com/p/AF1QipMRbkNC90KxJovYsC8Fjzuse9y0FziPyiEpJo2n,https://lh5.googleusercontent.com/p/AF1QipNM05zEOs1Og4Ydkjpw8JV7o_fn6BCFbcqfJZQT,Cafe,Suez,Cafe
Elsuez Pastry & Cafe,"Coffee House, كورنيش السويس الجديد، _، Suez, Suez Governorate 43511",010 01805771,Not available,4.6,224,Suez Canal,https://maps.app.goo.gl/bRgrepDcptvZQHth6,XG4V+6G Suez,29.955562,32.543813,https://lh5.googleusercontent.com/p/AF1QipOTebLQdg9UpPb8SJYFfc8P9eo52w0S-8uzyU4V,https://lh5.googleusercontent.com/p/AF1QipN9DDEKbgOmLNwltB1yMxVmQsLgqxnCnEcmt4oZ,https://lh5.googleusercontent.com/p/AF1QipO_befJSF54EiyuYyckBNqbGSSdPCdr-S_q2AXi,//:0,https://lh5.googleusercontent.com/p/AF1QipNqaNnlYNoEs-uPSH9lEbuJZImyybHNRSQZON4b,https://lh5.googleusercontent.com/p/AF1QipMeZdb6PNPgrUjRTgm16vQ0OxIR-1a18hvxaVg7,https://lh5.googleusercontent.com/p/AF1QipPC2mc5BG7n0HlgeTGSQP9Yt_LhsC3YDrRp0v4l,//:0,https://lh5.googleusercontent.com/p/AF1QipOVQOOuqbkueNUnB8YppqI-uwvBm5qlWbvjfqIA,https://lh5.googleusercontent.com/p/AF1QipPFHdkvxEoZeTxM29lGzimqoLER9uh6ykRnN1WT,//:0,https://lh5.googleusercontent.com/p/AF1QipNyOHJfwjHq9W55sIWuZPLc-DofNrNebvgxJGeo,https://lh5.googleusercontent.com/p/AF1QipPiwDNnFZMuLVCU99P0ax9EVssHT1ic68yq9lDR,//:0,https://lh5.googleusercontent.com/p/AF1QipNJuMEcmqbvBcsV-9dAyvwt8yjiNt0xQPixX_7b,https://lh5.googleusercontent.com/p/AF1QipPPUM7avNGUQtoiV4rMk4fcxv-DdAXP0tLJuQeC,https://lh5.googleusercontent.com/p/AF1QipNH8ptMXgzSHsD08FIUon86sdjQEWCW1JWs5HUG,https://lh5.googleusercontent.com/p/AF1QipOv2SMsvwnHZwNJk-hkGkCRKstOUcvVp3vVi7Ky,https://lh5.googleusercontent.com/p/AF1QipMh5-hVe2bCtUl1rbWJIYWUfQHongBe7KedSupA,https://lh5.googleusercontent.com/p/AF1QipO89oGer0PIzFY4HZ6ojKVRRLgLc9RV0INRFV-K,Cafe,Suez,Pastry shop
