Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
City Centre Alexandria,"Cairo Alex Desert Rd, Qetaa at Tarik as Sahrawi, Moharam Bek, Alexandria Governorate 5258730",03 3970008,citycentrealexandria.com,4.6,"31,506",Alexandria,https://maps.app.goo.gl/fAw5XCGaj7mrm4jK9,5W8M+J9 Moharam Bek,31.166562,29.933438,https://lh5.googleusercontent.com/p/AF1QipOuH_OVjXNWwsRefKEBF6i1h9FGRVSlUqODkCJM,https://lh5.googleusercontent.com/p/AF1QipNGWSiR8IRSXGXmzlFZZLez_hhvsaEL-HCVmH8t,https://lh5.googleusercontent.com/p/AF1QipMvOxCcZimk9i6StYAahhy6lAEwFkCEhSKS8pkt,https://lh5.googleusercontent.com/p/AF1QipPPcYGHFoA6lDNiRCgvw5u0Zq9EM7BnC7b5FTGN,//:0,https://lh5.googleusercontent.com/p/AF1QipMVEn5dqjcFWMuTX3_KSXO5w-6Ur_OYtsux_oX9,https://lh5.googleusercontent.com/p/AF1QipOknp4zrnfw8EqzVJ5raNxu6nO06l90BQSEjIE6,//:0,https://lh5.googleusercontent.com/p/AF1QipNTjrylq8zgX9QAD0EPk9e6E4_ak7ZxqDjdrTBI,https://lh5.googleusercontent.com/p/AF1QipOMas4mKgvZ7Kye3BY9-34XDGusiAJTHAJbnxT0,https://lh5.googleusercontent.com/p/AF1QipPf5aeeQjoL_9F8UL1gnJLPLCr3YF47I0qzUfk6,//:0,https://lh5.googleusercontent.com/p/AF1QipPJaZAaTN6tgo0yFk157F8aPwERKY_DULc-EkCH,https://lh5.googleusercontent.com/p/AF1QipMJ8UQxQQjb45_rIkov1J0bOrKnSh1jAF8HUfc_,,//:0,https://lh5.googleusercontent.com/p/AF1QipOmnmxdZ2HNRsPfE4vA_vVRjFy_3-KxmNbS9yvF,https://lh5.googleusercontent.com/p/AF1QipNNibf3JHC_-tcH7lnDo90MfmTglw7z65jyml55,https://lh5.googleusercontent.com/p/AF1QipNAmaln5Y1YJUTYL9mvflvPVEply-XCakSwcKMa,https://lh5.googleusercontent.com/p/AF1QipPDTblJmk-M7RUyFuJttFNq8eagWdU29ZCEGmhH,Malls,Alexandria,Shopping mall
Green Plaza Mall,"14th of May Bridge Rd, Ezbet El-Nozha, Sidi Gaber, Alexandria Governorate 5431116",03 4264612,greenplazaeg.com,4.3,"23,303",Alexandria,https://maps.app.goo.gl/Eu36uz7LLRz2VyxF9,6X47+MX Sidi Gaber,31.206688,29.964937,//lh6.googleusercontent.com/2UMfv7fktek0nH5Em5MVsg5s49mMhOv2zOqMZtFEHAo4Fq9eJ3cIo4jxb3L-P1M,https://lh5.googleusercontent.com/p/AF1QipPHXv9p1EYbYmEBeB8z8SqM35-YPjCoAo4M9SFV,https://lh5.googleusercontent.com/p/AF1QipOzkLAG5KY5S4VuOHCYVjqOrteZSg5gr2e2wvyX,https://lh5.googleusercontent.com/p/AF1QipMUzdemXR_QPaXayKf-bedvIPCkDu4t54ChO08,https://lh5.googleusercontent.com/p/AF1QipOyKE0UWQQ4potWHBK_B9Nols0acD4d_JZ5OktG,//:0,https://lh5.googleusercontent.com/p/AF1QipOvtk8zjFPk4VHIwEGZztVl_A4hqehBuiF9-bph,https://lh5.googleusercontent.com/p/AF1QipNQD399onF5PH8BYG3lRFqB9V8W5K1WPJ99rHKH,https://lh5.googleusercontent.com/p/AF1QipOi9T_Q1-F9_1ryBLvnK66GZ2iWmWZebhxrYDyu,https://lh5.googleusercontent.com/p/AF1QipN0ocINH9GNhj0ebJ3YLbgMEFXiuUQFmFPN1WZa,//:0,https://lh5.googleusercontent.com/p/AF1QipM5day4jfhD9YlDzecerix39dCcCtaNPetbWSe6,https://lh5.googleusercontent.com/p/AF1QipMLgcquNJ6Q-VHHatENAdapU2Bb4FxiQxsv8jS5,//:0,https://lh5.googleusercontent.com/p/AF1QipO7TBXdxmaM06aTo8geIjjokiFQTTZYd04C0k_R,https://lh5.googleusercontent.com/p/AF1QipNxpUl9b9sU_ZltYxU0_JQyds8jvlGoTLgL0GuR,https://lh5.googleusercontent.com/p/AF1QipPLXmA0z6IrqAevUBB8FwQSdIyI895w2f29d26X,https://lh5.googleusercontent.com/p/AF1QipObu1jKDU_WAc7kTnBDkYjx6H4UTMDk0daGt6pq,https://lh5.googleusercontent.com/p/AF1QipNCph7auNIiZxWEfV08KJCJA_MuplikW53nLqxN,https://lh5.googleusercontent.com/p/AF1QipOxY44klgvp05L9FF1worpjbDR_eh8ABtRwd0XL,Malls,Alexandria,Shopping mall
San Stefano Grand Plaza,"El-Gaish Rd, San Stefano, El Raml 2, Alexandria Governorate 5452053",not available,https://www.facebook.com/a2daysan?mibextid=ZbWKwL,4.5,"31,638",Alexandria,https://maps.app.goo.gl/UF5gAtahbhM6GXbJ6,6XW8+89 El Raml 2,31.245812,29.965938,https://lh5.googleusercontent.com/p/AF1QipPruj1k-a_KYH-zH4ZKL4HcuTgUE8dnOoVtQwbM,https://lh5.googleusercontent.com/p/AF1QipMjQd_oQm6oY3YkcyKUgCbRcugOaPtbGnGae-eQ,https://lh5.googleusercontent.com/p/AF1QipN5Q_KpgzvWwRY8DyJD2egtMKrzlS7Z3Ck2nIcl,//:0,https://lh5.googleusercontent.com/p/AF1QipPy9qTLSmKILkMDA8VdSxWGp0zHnuiIYWgLMVXV,https://lh5.googleusercontent.com/p/AF1QipMphZoHWUkyVfEBcGoeSW9YMyKFsLljESmvGJ32,https://lh5.googleusercontent.com/p/AF1QipPOOTLxZ62CITe1UxXcZSXs39Wam-MWxto2T9F9,https://lh5.googleusercontent.com/p/AF1QipOeXNVqXwxdUXoQE4bCKJuWs_43D7UYeezjazed,//:0,https://lh5.googleusercontent.com/p/AF1QipNxz0uwwyyVn0mIaL7y2otGeEZq0wIPMXhBA2Va,https://lh5.googleusercontent.com/p/AF1QipMV0cC-wtByZcJMO0V93DI0ooSfGcleh1Z45CiW,//:0,https://lh5.googleusercontent.com/p/AF1QipP3PmxS3ScrOrG5lQGf5kaxXCHLZF1CO-gTBws1,https://lh5.googleusercontent.com/p/AF1QipMZo0O0whB76QpUQ_xLxAv7qg6ebwoK0MC8cJi7,//:0,https://lh5.googleusercontent.com/p/AF1QipNgzWEpmKe67GTu40HHudjpsQIj3QqgljiSyoO9,https://lh5.googleusercontent.com/p/AF1QipM2M20Llu4NUINnfb-CRIaExtXndHwBg_gIgxMR,https://lh5.googleusercontent.com/p/AF1QipNmqvLxAEzzMM82QwmRpI81OKuAb0QVxInrdewj,https://lh5.googleusercontent.com/p/AF1QipNTqPq3S1Cf9P8wxx3vlllgOpec8aiNR1tL_aav,https://lh5.googleusercontent.com/p/AF1QipPr_lhpR6hm5yRbvR9NobDf6L3dyNIPJqlL8eV3,Malls,Alexandria,Shopping mall
Matajer Mall,"51 Mohammed Fawzi Moaz, St، Sidi Gaber, Alexandria Governorate 21648",not available,Not available,4.4,508,Alexandria,https://maps.app.goo.gl/ZiwRK2GEHafFDygv9,6W6Q+HG Sidi Gaber,31.211438,29.938812,https://lh5.googleusercontent.com/p/AF1QipOtVERKwXofQrhznMLbJVOh20nTG7gTCaWP8pmP,https://lh5.googleusercontent.com/p/AF1QipPHjd2LGXnQC1LSdq4xPdpHqTHiJfEOsY6TDA5Q,https://lh5.googleusercontent.com/p/AF1QipOd4DInlLQvMM-OtOMUMBp9RxfUOcnN5K09xmoA,//:0,https://lh5.googleusercontent.com/p/AF1QipNpOUXueh1B0oQ0nb89DOdTOZHLrADGbDysoC0l,https://lh5.googleusercontent.com/p/AF1QipNClvuMmV7eVrvgoLsh114seksDNZ_n643uM-Wo,//:0,https://lh5.googleusercontent.com/p/AF1QipMvrYfr2_RGf07kp-Xhe9Bh6uO0ADXrZXB8Yla_,https://lh5.googleusercontent.com/p/AF1QipN9UUKTctZnNntLfx9u7qczpPVE0bNBjD6gwTaJ,//:0,https://lh5.googleusercontent.com/p/AF1QipMzelPXLArw1SDOhwjL4GRQ8T2INsWYhxuURzfX,https://lh5.googleusercontent.com/p/AF1QipM7vbBwWqun0IGORlFGr_pfBMIpK_NOnRNEN_ob,//:0,https://lh5.googleusercontent.com/p/AF1QipOEzX5EkWCHrOW07EJI95iz_bhzWXVs6C2zZas,https://lh5.googleusercontent.com/p/AF1QipPe32HWqw0l5iMURsmdCDoxJraVz3VUClxhC5wZ,//:0,https://lh5.googleusercontent.com/p/AF1QipOjDsaR2ksuqMBmjFMkLDk2SsBzdeVVVeZKMWk,https://lh5.googleusercontent.com/p/AF1QipM-RpxNU9c5izIMP6RKbtutL0QXIOpMfDMUNSNS,https://lh5.googleusercontent.com/p/AF1QipMSjJvPvfj8FvpQLlA2kYbeh6aioH5a1niwTPEx,https://lh5.googleusercontent.com/p/AF1QipNWiYX3UPMetGZq3sTeLt6h8DQNOUscA-sc4BA,Malls,Alexandria,Shopping mall
San Stefano,"12 شارع محمد أحمد عفيفي، سان ستفانو، قسم ثان الرمل،, San Stefano, Alexandria Governorate",not available,Not available,4.5,"2,591",Alexandria,https://maps.app.goo.gl/wkweMS6kg91fkas76,"6XW8+6J San Stefano, El Raml 1",31.245562,29.966563,https://lh5.googleusercontent.com/p/AF1QipM-QJ-QmWP7nPyVKaFXZrbg5WPapmiHUTdem4-Z,https://lh5.googleusercontent.com/p/AF1QipMb39fCsRDzqJ-OEtD079ki40yfEgkezlORHQ3O,https://lh5.googleusercontent.com/p/AF1QipO1SRFqMmFhIZ6dXLPmGJ3cOce984JioyYdxNyn,//:0,https://lh5.googleusercontent.com/p/AF1QipNFTvW087WyKJTufJq8Ks5IlQNwUElEM02jl704,https://lh5.googleusercontent.com/p/AF1QipMMpQSXQ1LE_yKfA3DGrtDhG0iKhQ5mEb4hsVUl,,//:0,https://lh5.googleusercontent.com/p/AF1QipMlui0ViIi7hxQKyYU86qaI4JoUsONUqBd2oLUA,https://lh5.googleusercontent.com/p/AF1QipODjnI571znHdgrr601vQtNLqeT1jp_GqCsqknc,//:0,https://lh5.googleusercontent.com/p/AF1QipO0QEBhGviXrn6gTQfpeVgMTMxXQlVAnPhHfMDG,https://lh5.googleusercontent.com/p/AF1QipOSvV4A7s6_j5sTNtovWEf4FgKUeeDpispK5xE5,//:0,https://lh5.googleusercontent.com/p/AF1QipO7RxZDC9nhXQIR0Gci1E3BVM2PeEO2kbyuXiIy,https://lh5.googleusercontent.com/p/AF1QipNl9RqNBf9cgEIiqkRlhmdXKZnzuzphmneEP-fJ,https://lh5.googleusercontent.com/p/AF1QipPz-1yBucJ8prhgxVjXwKemEXgakPNKHfuht9RB,https://lh5.googleusercontent.com/p/AF1QipPfpciZBpM4XfW-cGZcovTZAVy9LT4KEEc--bC0,https://lh5.googleusercontent.com/p/AF1QipNS0H1ZHXo3AtITyF4oNhulgEkZMB9H0hhetkEM,https://lh5.googleusercontent.com/p/AF1QipOqNPZKQdgK66rkc7mokRud3f3StBBzlM-Bt8CG,Malls,Alexandria,Shopping mall
Alexa Tower,"55-57 شارع صفية زغلول, Al Mesallah Sharq, Al Attarin, Alexandria Governorate 5372031",not available,Not available,4.1,199,Alexandria,https://maps.app.goo.gl/5R4YQsA7qygH94yc8,5WX2+QV Al Attarin,31.199438,29.902188,https://lh5.googleusercontent.com/p/AF1QipOOTAM2b8nXVCsTM28_rRBlH27RGmqeGWTjO8xx,https://lh5.googleusercontent.com/p/AF1QipONEaErPYpARl3jLviBBt0Ov4y5xOg8ynRkxVX3,https://lh5.googleusercontent.com/p/AF1QipNjOt434QH-NeEYUlHVn-jhG54as21B3JMHEWVf,https://lh5.googleusercontent.com/p/AF1QipPZ9Kwe6srVHpA6s4uwvoPnC_zjkjt8Rltjc5Ey,//:0,https://lh5.googleusercontent.com/p/AF1QipPGjMYTTizI7DHDDENLC6bumTJBv7lrr2jxmisR,https://lh5.googleusercontent.com/p/AF1QipP5MYWteHx16N-CZxnk-lHZ-4NLUXqdZ-nDYOVR,https://lh5.googleusercontent.com/p/AF1QipPUC-rVdXqA5Sj-A6wTetkRvVpBXjiOk41zJOkg,//:0,https://lh5.googleusercontent.com/p/AF1QipM1-5fyuTH7eGqX4ViTiDNBGqJlFoa52dM7EXkt,https://lh5.googleusercontent.com/p/AF1QipMGXnhbWmopuvRQvvC5lViWtAe9OFBE9nSUoU0B,//:0,https://lh5.googleusercontent.com/p/AF1QipPC5RI037k0_8KTnF0IPS_va3Bfwd6xep4dMArL,https://lh5.googleusercontent.com/p/AF1QipNwGiVVsDP4SM_VRfoLvyWt4if-hjsgE7QvbAdP,https://lh5.googleusercontent.com/p/AF1QipM9tYkE26k6JauZfVGu8j4nZzMEVFwLzarUe879,//:0,https://lh5.googleusercontent.com/p/AF1QipMW2MD3IlSCi0KDTkxnWKpHnYaCo1shOdV3IgcU,https://lh5.googleusercontent.com/p/AF1QipNwijQEtvYMIjtMoAcTdZhhQSvRtoJRO-_oTYP3,https://lh5.googleusercontent.com/p/AF1QipO92Se3PlAZzaqSiIJn2wF9fwB5Kusf9maXYyko,https://lh5.googleusercontent.com/p/AF1QipNWRVxF-m0vhRxuB8AxoQsCZWNHvHTLSOV7MZKu,Malls,Alexandria,Shopping mall
The Walk,"166 El-Gaish Rd, Sidi Gaber, Alexandria Governorate 21523",012 20419887,Not available,4.2,24,Alexandria,https://maps.app.goo.gl/HHgwcTLt5FAaEEhh6,6WHQ+X5 Sidi Gaber,31.229937,29.937937,https://lh5.googleusercontent.com/p/AF1QipO8xzA2NMyksvdM_mTJWhw2bew5ooypRhu09KVC,https://lh5.googleusercontent.com/p/AF1QipPpEI2Y6YbeIzte0sAT093W0s88nrjrlQxLEKk3,https://lh5.googleusercontent.com/p/AF1QipMnVkptDZKa64SeohzW6ZxZ6-n9Y_D6cW5jZReX,https://lh5.googleusercontent.com/p/AF1QipO3k7LtNf8JgvgKZJkk4LAMpoL0R-4yIBA4czW3,https://lh5.googleusercontent.com/p/AF1QipMEAJ9cpLA_-8drY86zhmh-OVnJJ83Skl8EmBGz,//:0,//:0,//:0,//:0,//:0,//:0,,//:0,//:0,//:0,//:0,//:0,https://lh5.googleusercontent.com/p/AF1QipOsinRoOQVkD6Ay8f4VYsXg3SoYdvvINruRKZpp,https://lh5.googleusercontent.com/p/AF1QipNOJTPzhwZFHrETAHlripZRaGsqTwRIthrJj53l,https://lh5.googleusercontent.com/p/AF1QipPN5sx0SlP111Vh4NersdJSS_YB9GNDe176MGwJ,Malls,Alexandria,Shopping mall
Designia Mall,"5WFJ+67R, Unnamed Road, Qetaa at Tarik as Sahrawi, Amreya 1, Alexandria Governorate",not available,Not available,4.5,784,Alexandria,https://maps.app.goo.gl/sfLKbkhC9za8aZqF7,not available,31.173063,29.930687,https://lh5.googleusercontent.com/p/AF1QipNBccckXqAOPdnq6FJboliixySEmDAIxn2yPzZa,https://lh5.googleusercontent.com/p/AF1QipPYfB9QnL2TOSEtE_3hZTiPUfEUmiSOHrlPc56_,https://lh5.googleusercontent.com/p/AF1QipN7S-SSqOkQKxwz8f00h3Isnf5pXrgCxjLjPO4v,https://lh5.googleusercontent.com/p/AF1QipNM80Fv7YKo5moR8ZiPUwEQ5Gf00G3qD0M25P89,//:0,https://lh5.googleusercontent.com/p/AF1QipMSHgMMR84BhqGkaqqDRq06DzFAeTwMr3sP3Lvq,https://lh5.googleusercontent.com/p/AF1QipN9b-EngT7nKRxa0-O88TugX_k9e6SzGUb3cDse,//:0,https://lh5.googleusercontent.com/p/AF1QipOWu93g53dqbYXPyV7Jvd7HTZF-wI8MmAhLZgvx,https://lh5.googleusercontent.com/p/AF1QipP06pAzsprPmmsMo-l9ezRtY4qzIz8lCK8-KH0_,//:0,https://lh5.googleusercontent.com/p/AF1QipMjwd_uqP-39qnFNm32jXJi8Jl--lv3sZwRIGC4,https://lh5.googleusercontent.com/p/AF1QipPKdxPFZ9IMboMw950kNsTj7svJcg8ylsBXZcKX,//:0,https://lh5.googleusercontent.com/p/AF1QipMhmKakxjBq3szAZtmn3-SWOPsCLaDarJ4ddlC-,https://lh5.googleusercontent.com/p/AF1QipMuIHg_jRLL-4uE28PnD9pSV0fPdn4WOMlxNCqI,//:0,https://lh5.googleusercontent.com/p/AF1QipNbML8Y3RcOLY4futhRD6ILUvXQDpYSzRPZPFbx,https://lh5.googleusercontent.com/p/AF1QipNi9VKyEbSTkvTRAUsDEIqE-TQaQr6h5WHoiSj1,https://lh5.googleusercontent.com/p/AF1QipMMbU17w4Fy127ETQoIB2w7gaaCnV99ATzrpCSW,Malls,Alexandria,Shopping mall
Carrefour - City Centre Alexandria,"Carrefour Alex City Center, Qetaa at Tarik as Sahrawi, Amreya 1, Alexandria Governorate 5258730",not available,carrefouregypt.com,4.5,"52,408",Alexandria,https://maps.app.goo.gl/dE13njVE7LxQZddq5,5W8J+XM Amreya 1,31.167437,29.931688,https://lh5.googleusercontent.com/p/AF1QipM4IvpxR9UGIMLrNZbIKm-_wK3ba7NWP5P7oFDf,https://lh5.googleusercontent.com/p/AF1QipNYf0-3_YmHMhJivtkBgejdToahLO3saT3yr7Pl,https://lh5.googleusercontent.com/p/AF1QipO4rSr3hBrabDjovbEw9Oc_-b0gVJMyfJrWzrdT,//:0,https://lh5.googleusercontent.com/p/AF1QipM0Xrwq26bN9ouZNuDoVCrPNZla2po8hoV69B0R,https://lh5.googleusercontent.com/p/AF1QipPQq1djsKHuGuah1Ph_Ad-wOgcEsA6WPu1EXnzP,https://lh5.googleusercontent.com/p/AF1QipNAc7fqgUKdiYeIoDGtfLEPYEWBdVPEOmzSxOJk,//:0,https://lh5.googleusercontent.com/p/AF1QipNATqVBmvQT6zPWKYWBc3CxphKy4nwxn6XlHxdE,https://lh5.googleusercontent.com/p/AF1QipOnb0pZH5RsUKeoEl5uzKvLYEFXQBwZF-MutTam,//:0,https://lh5.googleusercontent.com/p/AF1QipMHJXJ1qzhhbM8en8C4msTDlOnHhyHDn2AdpyEX,https://lh5.googleusercontent.com/p/AF1QipOM2zGkGpPqD8cs3LSlww6_xEdxcrL5REAENj52,//:0,https://lh5.googleusercontent.com/p/AF1QipOjnAqHyoKt0JrJsp4F8eTuQGY6EkAAYEj2F1tJ,https://lh5.googleusercontent.com/p/AF1QipPe41YOsWEWAi3LrbPTU-0atnFqSPNUSkQtSXqb,https://lh5.googleusercontent.com/p/AF1QipMNV4CzXs_gWU7OsyhxwmRmLRPWz7O0lX_2msen,https://lh5.googleusercontent.com/p/AF1QipMHVE2t-njaVlCNmCCGfpVfxc6xh__ePiCIx15N,https://lh5.googleusercontent.com/p/AF1QipOZkjrUbgsiTQIKXxMCqqiTlq7uZIctSEzxIB4c,https://lh5.googleusercontent.com/p/AF1QipPmokegMgc-g_ArnnJ3N6XIPun5d3fIpbVHOw0r,Malls,Alexandria,Hypermarket
City Light Mall,"El Qasem, السيوف شماعة، Third Al Montazah, Alexandria Governorate 5515140",not available,Not available,4.1,"7,440",Alexandria,https://maps.app.goo.gl/ZDocmKzosN2msx81A,6XWV+HF Third Al Montazah,31.246437,29.993688,https://lh5.googleusercontent.com/p/AF1QipPkize4SCgrmpg7mCIX7l4LXB8-pS3BnBeZyroS,https://lh5.googleusercontent.com/p/AF1QipOQe3h7nxiH7kNEj2tTKuCwhvghbwUDYAfTKrQO,https://lh5.googleusercontent.com/p/AF1QipOTWBLrBI3RdfunbeJOH02HQTGkWCaX03jjZ7LD,//:0,https://lh5.googleusercontent.com/p/AF1QipNmxhgz_g8RA68-pZwS5tHBoJaf0wLvlyNhATAm,https://lh5.googleusercontent.com/p/AF1QipPdpr-Fs5bHKELTAwLqeEGSmaDC1p1HYLlDeuya,//:0,https://lh5.googleusercontent.com/p/AF1QipNcAXH0CdIYyiv9-4q9OLMQr8Bk2CFFWD0IX3Vk,https://lh5.googleusercontent.com/p/AF1QipOefciy3MAKnjR9VoHwMYF74txNvDuC49f8MzF2,//:0,https://lh5.googleusercontent.com/p/AF1QipMS_y9ffr15FNfPoCIu4GGHAEXdr40zhc_Hvt7D,https://lh5.googleusercontent.com/p/AF1QipPq4hhlldw6Tv8W0DH4cS-LD9Tg9R3_OrM0jMUV,//:0,https://lh5.googleusercontent.com/p/AF1QipN42fsKWyyyui_jf6jljXHC4kM-OydJX88_FrSH,https://lh5.googleusercontent.com/p/AF1QipPySYv-GeO3-TC5Olc-GnsfYsLd9bqq-kZ8BhZz,//:0,https://lh5.googleusercontent.com/p/AF1QipNS-2A96759wZpPTr_gF0rFK2XB66iE_gBDUy-J,https://lh5.googleusercontent.com/p/AF1QipNSgNxfgytIb8WlPeq0Bi7YV0nWiCTHtJIA7Qc,https://lh5.googleusercontent.com/p/AF1QipMtetVjHnjEXnxziYsvvusj_0CsylM9r3nC3wti,https://lh5.googleusercontent.com/p/AF1QipOdIxk9ZhfdUtTOn_kMhIg3EoEULJOnrj8NKW4B,Malls,Alexandria,Shopping mall
