Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
ASWAN plaza hotel and mall,"Kornish Al Nile, Sheyakhah Thalethah, Aswan, Aswan Governorate 1242803",3VWX+X8 Aswan 1,Not available,4.3,"1,352",Aswan,https://maps.app.goo.gl/iL8vUipiNzgrDPS96,3VWX+X8 Aswan 1,24.097437,32.898313,https://lh5.googleusercontent.com/p/AF1QipPMaSPB7g_m8BeSJ0rbaU4saKh9oV0waU0Z4wZF,https://lh5.googleusercontent.com/p/AF1QipN3Ef4jKpxG1IbIRdPP-Xp0DX-XMfElnFehBM2d,https://lh5.googleusercontent.com/p/AF1QipNk8C6jhxrJRPijhXBEf1cYDSZzilIFilKah00R,https://lh5.googleusercontent.com/p/AF1QipP9GTuwZB5Jy9LsA7LnoJDltwyqIrao5WtNOoyO,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOADtxth2FnHd0US3s8zsrV0PJIxHUCXU21wdFh,https://lh5.googleusercontent.com/p/AF1QipNqfNrh0cZrr0Y2BoLN-A0pytm8Tdq2i1-aoX3O,https://lh5.googleusercontent.com/p/AF1QipOszFPbt7pvFByvsTCji7qWgjmtYMXfhmLW-dg9,Malls,Aswan,Shopping mall
مول فرست اسوان mall first aswan,"3VWX+PP7, شارع ابطال, التحرير, Aswan Governorate",097 2490298,Not available,4.0,60,Aswan,https://maps.app.goo.gl/ajSWULdWvmcj2VSG7,not available,24.096812,32.899313,https://lh5.googleusercontent.com/p/AF1QipMJD8MhH-aY4oEWPYyL16GsK5T9E4XvH-mFnfjp,https://lh5.googleusercontent.com/p/AF1QipNOzAqnYHv1WsW39B8tKEaxZhsMINXfCKTAmzWt,https://lh5.googleusercontent.com/p/AF1QipNwfCfkJl_RnGg_mijf39xopfppZ7GwkPF1sC6H,https://lh5.googleusercontent.com/p/AF1QipNciV47DGKGI1BApA2k1qQX8IzBhmjC9pPffCs,https://lh5.googleusercontent.com/p/AF1QipOScG2JCcGAHfxwASh3kBt-bGjiCeEMSHOTcM_e,https://lh5.googleusercontent.com/p/AF1QipObPYFm9bh6U9GrsUjWftpMAzk5G5FTmhkXqHOt,,,,,,,,,,,,,,,Malls,Aswan,Shopping mall
المول الأول بالصداقة الجديدة,"3WWJ+MM6, Sheyakhah Thalethah, Aswan 2, Aswan Governorate 1248001",not available,Not available,3.6,148,Aswan,https://maps.app.goo.gl/3WP3a6qr1XoUjAvQ8,not available,24.096688,32.931687,https://lh5.googleusercontent.com/p/AF1QipNcawqYG543_-aqU3MKyFctMfqdCSHxswSnStIR,https://lh5.googleusercontent.com/p/AF1QipMN6azGxZJEhidack775CHTnyNWeOzQZjCmQRa6,https://lh5.googleusercontent.com/p/AF1QipPfHskEBJXymiSLR6W8inXSc6L17K7n2ek46THC,https://lh5.googleusercontent.com/p/AF1QipNHwF-nD4ReaT14xtSVFYL367pzFfkhvXuOK9AA,,,,,,,,,,,,,,,,,Malls,Aswan,Shopping mall
الفا مول,"Al Matar, شياخة ثالثة،، قسم أسوان،، Aswan Governorate 1242860",3VVX+4C Aswan 1,business.site,4.1,79,Aswan,https://maps.app.goo.gl/bbE94mWpn36TfZzi9,3VVX+4C Aswan 1,24.092813,32.898562,https://lh5.googleusercontent.com/p/AF1QipMX8_iY-S8Pk66QbnKS1AmK-Yo9aDcofAPiqxzf,https://lh5.googleusercontent.com/p/AF1QipMQ1g4RO8Z4hN2TZr7efTOumuJPm-DaN8Sk8PnF,https://lh5.googleusercontent.com/p/AF1QipPHtpFe_wUk2z906Ocb4eUxKWh90uwmT84NiAWR,https://lh5.googleusercontent.com/p/AF1QipMKTEqs3VUU-_dARHZ6brvCFI9nnNU8KZtuOwWb,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMfJERDVbvWu83sDBwIwFA1TYZ7crN_xjvQNU-Y,https://lh5.googleusercontent.com/p/AF1QipPtf5WKFLEMvdZGK-sTGe0u8cG3qRyh-Inms-li,https://lh5.googleusercontent.com/p/AF1QipPVsAGU3fwpytTU3SeJKNrJiFCYb5UeAcOtVxXw,,,,,,,,Malls,Aswan,Shopping mall
مول الجيش,"3WQ3+3C7، ميدان الزلابية, Sheyakhah Thalethah, Aswan 1, Aswan Governorate 1242751",not available,Not available,3.5,477,Aswan,https://maps.app.goo.gl/fswUXdjQrTMCu8Lr9,not available,24.087688,32.903562,https://lh5.googleusercontent.com/p/AF1QipPWOvIdzPSp-FkszRv5s0UkIyly_ruXHzmTATc6,https://lh5.googleusercontent.com/p/AF1QipPMuwhG0G4CXHLcXBey17etSK8WNLsAZukwpPIC,https://lh5.googleusercontent.com/p/AF1QipNuxWjF-na720w60EPwIja0e0xZsqpwJfYBcrlq,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPDOl9AldEX-Lakte-WYCGZKZtz5fcE4SoUJIeA,https://lh5.googleusercontent.com/p/AF1QipNCu4pbRyVrRXrona8APGZyrtT5oUggT3eyKDU9,https://lh5.googleusercontent.com/p/AF1QipOqp8uxwhZu2mgjd7_S4kyr3P7mNLxgi-e4dChg,https://lh5.googleusercontent.com/p/AF1QipPDt_otQKOm9rjlAgcBUMP40jTLYxMRLUo6ruJC,Malls,Aswan,Shopping mall
Elhakeem Mall,"مول الحكيم, El-Sadat, Sheyakhah Oula, Aswan 1, Aswan Governorate 1242102",3VJR+9Q Aswan 1,Not available,3.4,211,Aswan,https://maps.app.goo.gl/qnGKWmeas1TvxqGd8,3VJR+9Q Aswan 1,24.080937,32.891937,https://lh5.googleusercontent.com/p/AF1QipMPaoo63ZsjyAMyNanI98gR0KJLodeELGVz1Kpi,https://lh5.googleusercontent.com/p/AF1QipPfnWZ17an7qOY6GmkjmhjmLPG4YLulNG3bKWMD,https://lh5.googleusercontent.com/p/AF1QipO7YEF7SACdB76wp9kR1uQ_eBDjfynF8XrjjDf3,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNj39XDT8VkpptS0frUtQM6tIhUn_M9lv6B0DXp,https://lh5.googleusercontent.com/p/AF1QipNK_jtQAKxDhZ0xzI77f8suD4QR93iAcNwm-Ja3,https://lh5.googleusercontent.com/p/AF1QipMy7vv3fEoElH-vUYd5tgD1j9U1Av8ldP70Mxj3,Malls,Aswan,Shopping mall
Sama New Aswan City Mall,"5VJ2+G5P، الكوبانية، قسم أسوان،, New Aswan, Aswan Governorate",010 97232674,Not available,3.5,21,Aswan,https://maps.app.goo.gl/gut8TKXXQaTTHLLm7,not available,24.181312,32.850437,https://lh5.googleusercontent.com/p/AF1QipMfELdUNjhM8WXFoyjLjASOsY0z6hLPXcyeuYPR,https://lh5.googleusercontent.com/p/AF1QipNSEhZUuimy4-3FFvRigJQxut7sY_T4Gin09IZF,https://lh5.googleusercontent.com/p/AF1QipMIARu3W5xJNoZ67r3WsuugwO60i_RaWHUwr6w,https://lh5.googleusercontent.com/p/AF1QipOrXVXDhjy6alzQKjIU9Gi3VAekE0wQQhFz48RA,https://lh5.googleusercontent.com/p/AF1QipN0pi8UHWjMIILmbtJqFZJ6Sku7Zm1cB1rOMq8I,https://lh5.googleusercontent.com/p/AF1QipNPYm8nhBvMq3ElYxvlnQFV3wg81WLSf6dnwE04,https://lh5.googleusercontent.com/p/AF1QipOpz_ASRJryG3be5uJNZb2JWNl0pOMLgnzOemft,,,,,,,,,,,,,,Malls,Aswan,Shopping mall
Ava Karas مول اسوان بلازا,"3VWX+XFM, Sheyakhah Thalethah, Aswan, Aswan Governorate 1242803",012 23801238,Not available,4.1,16,Aswan,https://maps.app.goo.gl/55rWSR3rboucHk4k7,not available,24.097437,32.898688,https://lh5.googleusercontent.com/p/AF1QipNrbhu9OBSkM0SFryjtX0Fxe1l-T3q4dta30pHl,https://lh5.googleusercontent.com/p/AF1QipMVN89PsWwkhJcW3k-Gj6L3GiF4F_517SLOgseL,https://lh5.googleusercontent.com/p/AF1QipM3E-F9jY-eTqTRdrNSb4PLY0wzpzMBO8bzhKs9,,https://lh5.googleusercontent.com/p/AF1QipOaSZRCU75IbknO1XW9eR59WBMA8ZOcRt2eJC0L,https://lh5.googleusercontent.com/p/AF1QipPKa1nH_YCqhMnh7KcHzaSd5mx___P9btl3mPAE,https://lh5.googleusercontent.com/p/AF1QipMsoeEonHnIQ66kibB9t2kxi4q0Udi_uJT6INOw,,,,,,,,,,,,,,Malls,Aswan,Shopping mall
مول سيتي سنتر,"3VPX+RFP, Dr Abd Al Rady Hanafe', Sheyakhah Thalethah, Aswan, Aswan Governorate 1242704",not available,Not available,4.0,2,Aswan,https://maps.app.goo.gl/JCLj3VUkMA5we88eA,not available,24.087313,32.898438,,,,,,,,,,,,,,,,,,,,,Malls,Aswan,Shopping mall
محلات الحاج بدرى للاسمدة,"MWWX+22V, Cairo - Aswan Eastern Desert Rd, Markaz Kom Ombo, Red Sea Governorate, Markaz Kom Ombo",not available,Not available,5.0,1,Aswan,https://maps.app.goo.gl/xZzmh2N341DDQupG9,not available,24.474562,32.946438,,,,,,,,,,,,,,,,,,,,,Malls,Aswan,Shopping mall
Nasser Sporting Center,"3VVW+7MM, 30 Kornish Al Nile, Sheyakhah Thalethah, Aswan 1, Aswan Governorate 1242802",011 10123346,Not available,4.1,"1,005",Aswan,https://maps.app.goo.gl/PZVxFWPYE9DZwUt79,not available,24.093313,32.896687,https://lh5.googleusercontent.com/p/AF1QipPgPFG_d91EWtDdW7YnphvCLWk6ITCWdQ6i34Ix,https://lh5.googleusercontent.com/p/AF1QipO4xEdJjgPm8nAa7LyGivZXKdKd1SbFCcGxP3eq,https://lh5.googleusercontent.com/p/AF1QipM0THD4Qz7ipaXIraJWNIFkjD5SABLK7sLupr1E,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipO_6nuPHhjLH5_GewntLi8p3epFWYaODLIoffsf,https://lh5.googleusercontent.com/p/AF1QipNb6YOUJiAlzmy_unMZyUI-_0TfNowtgOF1Dhs0,https://lh5.googleusercontent.com/p/AF1QipPA0b1AtvK05avh3GSksFWdFf8P6IAknG07UYcW,Malls,Aswan,Shopping mall
مول أسوان الجديدة,"5RPR+2WC, New Aswan, Aswan Governorate 1251025",011 54570410,Not available,4.4,25,Aswan,https://maps.app.goo.gl/HU5zZfC6FBZWEFpT9,not available,24.185063,32.842312,https://lh5.googleusercontent.com/p/AF1QipMIjD3BGWBDeThf2cnOcp3RiwX-eeSFR7IqVdUL,https://lh5.googleusercontent.com/p/AF1QipNA3KF-kM3ls9mATHqf5k2e0TAgdHiTcDse85R-,https://lh5.googleusercontent.com/p/AF1QipOkCu-hn3X6KxQ0amWC7rjV38xf9_q3pLrpYguF,,,,,,,,,,,,,,,,,,Malls,Aswan,Shopping mall
