Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Mall wast elbald asuyt,"شارع محمد, توفيق خشيم, حى غرب, Assiut Governorate 71511",55JP+M3 Asyut 1,https://www.facebook.com/profile.php?id=100086647974939,5.0,1,Asyut,https://maps.app.goo.gl/gayRg2MvQezBeHYL7,55JP+M3 Asyut 1,27.181688,31.185187,https://lh5.googleusercontent.com/p/AF1QipM1cvB7UASjHd9F7jrx6gonBNEz4Xu4EKyhnI7Z,https://lh5.googleusercontent.com/p/AF1QipNIg1adB3adzvzs1LPimT16AWCgruKSZoysigB1,https://lh5.googleusercontent.com/p/AF1QipNerq8eWE3j0QOQ9CaRU7RaJFGFhq-vjDzwK7px,https://lh5.googleusercontent.com/p/AF1QipPCTconGJsoMOKpxdQeEm-2NqGCvKpVky3RpJkl,,https://lh5.googleusercontent.com/p/AF1QipORHawexWcv205Lv_5-n88EAaPfhf0MfsKAZQ7a,https://lh5.googleusercontent.com/p/AF1QipNb0i1EfEm4MCAhL463TNNGgrLMpm3dNhvtHGjw,https://lh5.googleusercontent.com/p/AF1QipPogRz_yG31UUUfvz1Rvt3gs0gKyv4h6kKnIpyT,,,,,,,,,,,,,Malls,Asyut,Shopping mall
شركة الايمان للدعاية,"أمام الشهر العقارى أبوطويلة, Al Mohafza, Asyut 2, Assiut Governorate 71511",55PQ+VJ Asyut 2,https://www.facebook.com/El-eman-338858352976791/,3.7,21,Asyut,https://maps.app.goo.gl/UXaucQErzpALg6Ce7,55PQ+VJ Asyut 2,27.187188,31.189062,https://lh5.googleusercontent.com/p/AF1QipNy7BtY-VBdLpSoBi28R-YlDIF909WxzewHqRbD,https://lh5.googleusercontent.com/p/AF1QipMQuoeaIPO_2wjKq6QRq4NMpB_1WtnLx3QfySeG,,,,,,,,,,,,,,,,,,,Malls,Asyut,Shopping mall
El Watania mall,"El-Gomhoreya, Asyut 2, Assiut Governorate 2090271",not available,Not available,3.7,625,Asyut,https://maps.app.goo.gl/eZ3Gvgzrkw58m65c9,55RP+QG Asyut 2,27.191938,31.186312,,https://lh5.googleusercontent.com/p/AF1QipOF0FlEig0YA8QvsGCP1p_e4H1Qif-ptAOSPZjd,https://lh5.googleusercontent.com/p/AF1QipPVQRhgKi3Y1rVRYLARxYTf39vBgZzIx18iwNtD,https://lh5.googleusercontent.com/p/AF1QipNugWILvTaB9CxwOXOfmdbl5VGlgWpckPBVCs39,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOzN4pVAgdx7s77cLioNObdPkcDFTaxpxJ506Xn,https://lh5.googleusercontent.com/p/AF1QipP65m2KYP7_1CShcDZhVdJdZPK5G-1ffyKrXiyk,Malls,Asyut,Shopping mall
ٍSednaoui Mall,"55JP+CQR, Aswan Western Agricultural Rd, Al Hamraa Ath Thaneyah, Asyut 1, Assiut Governorate 2073067",011 46162444,Not available,3.8,413,Asyut,https://maps.app.goo.gl/yjx1TipXHsitGFsJ7,not available,27.181688,31.186563,https://lh5.googleusercontent.com/p/AF1QipPpXYgsb9YjAh-cpYHleRvgez87hOr5BKNslZcQ,https://lh5.googleusercontent.com/p/AF1QipMm7wq45SlgbFclZEVSE2xxN_kiMOhhmK1cXkgc,https://lh5.googleusercontent.com/p/AF1QipOU5dVFl-KHl5Y8PWomdZ1CsKMCAKvDD3Gthg3_,https://lh5.googleusercontent.com/p/AF1QipPaNmZGyX62DzXPrKP9alSBNcGRt8THPP3swXCB,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipN5oazR3g3lXeAwTLwEjM9zXOU3Y_AuLSVuXS-G,https://lh5.googleusercontent.com/p/AF1QipO7xKoBrSjvnh4B9ctdYThE3UAmPvn3sabNOlDU,https://lh5.googleusercontent.com/p/AF1QipMrfBRENcoJZ-qqTVnrYJ-pzRd06ulrXduU41wG,Malls,Asyut,Shopping mall
روكيت سنتر,"55HP+6HW, Habib Basha Shonoda, Al Hamraa Ath Thaneyah, Asyut 2, Assiut Governorate 2073012",not available,Not available,5.0,9,Asyut,https://maps.app.goo.gl/XEaG2x7cSf7FZdq88,not available,27.178187,31.186062,https://lh5.googleusercontent.com/p/AF1QipOv3di7jrQ3lSs0UYHDaOKlcgbNcYc2YeCVazZv,https://lh5.googleusercontent.com/p/AF1QipNnPvQpljlwsm2JMVw0r7ncb0GtoAHrBF05DFpH,https://lh5.googleusercontent.com/p/AF1QipOv9AG9Ae6oif44YHBfLPHqS2NZoDttIqEHMRfZ,,,,,,,,,,,,,,,,,,Malls,Asyut,Shopping mall
مول وسط البلد,"55JP+P3F، شارع محمد توفيق خشيم حى غرب, Al Hamraa Ath Thaneyah, Asyut 1, Assiut Governorate 2073068",not available,Not available,4.5,4,Asyut,https://maps.app.goo.gl/DUk46StXXkKsb2A99,not available,27.181812,31.185187,https://lh5.googleusercontent.com/p/AF1QipOUfKW75ydto9JeIvBQ4Nvrlk5OizDw17vEMLL6,https://lh5.googleusercontent.com/p/AF1QipOXqsxjmmu-WbNxR-obCXRj77VV_ekGU4SUN9EE,,,,,,,,,,,,,,,,,,,Malls,Asyut,Shopping mall
Commercial Center Assiut,"55JP+975, Al Hamraa Ath Thaneyah, El Fateh, Assiut Governorate 2073067",not available,Not available,3.6,91,Asyut,https://maps.app.goo.gl/sX85EC6KRvpBzPfW8,not available,27.225000,31.225000,https://lh5.googleusercontent.com/p/AF1QipOVLDaC5JVjUcUu0chIBPZzV6791Ymipbe5dIzy,https://lh5.googleusercontent.com/p/AF1QipOcSgQpGQ7SkkBgpDVbSnLglLHCnVAMdNBBDlSn,https://lh5.googleusercontent.com/p/AF1QipNS-42wE2l5FiNPT_D4Nc7NKqdfQEOqhyM7SI_T,,,,,,,,,,,,,,,,,,Malls,Asyut,Shopping mall
Caesarea Assiut,"شارع القيسارية الرئيسي, Al Hamraa Ath Thaneyah, Asyut 2, Assiut Governorate 2072177",55GJ+G9 Asyut 2,youm7.com,3.9,348,Asyut,https://maps.app.goo.gl/mV96vkYPeGpGw2Dm6,55GJ+G9 Asyut 2,27.176313,31.180937,https://lh5.googleusercontent.com/p/AF1QipNZ3tjtjW0KCMwqWRVSi9iVl4cY5Ko_NJBBkO2p,https://lh5.googleusercontent.com/p/AF1QipMfZdjP0wqFSMWfzANSc_AZj18VCQKS4-t4omKP,https://lh5.googleusercontent.com/p/AF1QipPfCmb7pC3uTLtfy9XRVgbDY5Phedsex9RK5ZAX,https://lh5.googleusercontent.com/p/AF1QipN6AidympV9FEYD_aEitIZy2UElgsRnNe82ReFP,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMH914lHlEXe30cObmd_sSekLIxCRXYKu7t968B,https://lh5.googleusercontent.com/p/AF1QipMbN5t_8RSposcF2Bgqh7AB8bEnOtmajs6EQIut,https://lh5.googleusercontent.com/p/AF1QipO4j_PPJvslEDD_vyCaW2JCUoPSLPQJX2ReJpPE,Malls,Asyut,Shopping mall
Barakat Plaza,"Al Mesaha, Al Hamraa Ath Thaneyah, Asyut 2, Assiut Governorate 71111",55PP+3Q Asyut 2,utopiasys.com,3.8,498,Asyut,https://maps.app.goo.gl/aTv16bX1QBWYH5B6A,55PP+3Q Asyut 2,27.185187,31.186937,,https://lh5.googleusercontent.com/p/AF1QipMsKiVG-p5XBDRky5mLm4wdQ5cAg3LpSTs-zGXq,https://lh5.googleusercontent.com/p/AF1QipM6RLhQNElad52Mu6qIarmB84gS-mGkRGJQuiTp,https://lh5.googleusercontent.com/p/AF1QipPJ94LiUH9lpTS73Hfdfdy5cGXssjdzG-KJzSUu,https://lh5.googleusercontent.com/p/AF1QipPNO7MDe_JGac-OpwSLuzVvQRQ4lNNnUJ8gXFNx,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPYRJ5gMNBP5KicNTJvsTKujHhA5duk_wO8ldZB,https://lh5.googleusercontent.com/p/AF1QipMEsjH8fQfuVJuj3NrnZnq9FSL5xD8E4u_5GlRg,Malls,Asyut,Shopping mall
المصطفى مول,"55JM+RVC, Youlio Farouk Sbekn 26, Al Hamraa Ath Thaneyah, Asyut 1, Assiut Governorate 2073023",088 2367141,Not available,3.6,417,Asyut,https://maps.app.goo.gl/tWzkHngGZU35kb5p8,not available,27.178750,31.181250,,,,,,,,,,,,,,,,,,,,,Malls,Asyut,Shopping mall
