Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
sky mallسكاي مول,"2CHX+PP7, Qortasa, Damanhour, Beheira Governorate 5842101",010 95175476,Not available,4.0,49,Beheira,https://maps.app.goo.gl/C1NcgtWQUUD1FMqc6,not available,31.029313,30.449312,https://lh5.googleusercontent.com/p/AF1QipOzz56OvWkn9ADNF7fwMfzf98-nViIVNrS4VU-X,https://lh5.googleusercontent.com/p/AF1QipOGSMBBirdOpltli-PHtKZAD8zauXc0frrxF2Hm,https://lh5.googleusercontent.com/p/AF1QipPC-jj8TcZhsPeYoMy_5vOIR_OfS1SH19w1iHw8,//:0,https://lh5.googleusercontent.com/p/AF1QipOi0NOJlZArwIJk-SntVj1OuA2JtVfqdGWWV7zw,https://lh5.googleusercontent.com/p/AF1QipNan5Bo-IIjlLK7uyYQ0WRyE925Frmmn776eRlq,https://lh5.googleusercontent.com/p/AF1QipOhEajpMqJUpULUlUOBjp1lddTR-j-HHVhix2oM,//:0,https://lh5.googleusercontent.com/p/AF1QipOn0LoeJu30ZIqjKKCxlyrNKMOXbGZnBFkJWn_k,https://lh5.googleusercontent.com/p/AF1QipNOsYMRQJdcTPlcsoFy09SKff18H9j1MTKUIKgc,https://lh5.googleusercontent.com/p/AF1QipOx1lHxYhteoq85PzGMeKLAHhCWcM89kjvJEy8y,//:0,https://lh5.googleusercontent.com/p/AF1QipOejEUik0rMzWN-i8oUUH85ZPVMHE2EPw-f63RO,https://lh5.googleusercontent.com/p/AF1QipOsipViRedRz3PlO9cMV9ci5HD_HxueNYPO1Ysl,https://lh5.googleusercontent.com/p/AF1QipNBUAtzQs54vOSuYfp8pMryIwiFU4KEWbIIlgOL,//:0,https://lh5.googleusercontent.com/p/AF1QipOYUA8PWyIxr-0i-noTT-cjFCAplA_suKnP0bAr,https://lh5.googleusercontent.com/p/AF1QipOHM88N60cRdNNTps8KWx-ROOj7pwW8AC-4q8pA,https://lh5.googleusercontent.com/p/AF1QipO1XnAA7Jxj2mzu42KWv56pGbJO1nRQwUSA15JK,https://lh5.googleusercontent.com/p/AF1QipPSZLIN5MjxZUYEjymyKsJh2czJCNzuJEo2R-X7,Malls,Beheira,Shopping mall
Alassema mall,"2FC6+8Q9, Naqraha, Damanhour, Beheira Governorate 5840020",010 00211768,Not available,4.0,5,Beheira,https://maps.app.goo.gl/JDgJJtoFxUiV2Mn89,not available,31.020812,30.461937,,,,,,,,,,,,,,,,,,,,,Malls,Beheira,Shopping mall
El Bawadi damanhour البوادى فرع دمنهور,"2FV4+MMM, Hasan Al Bana, Qortasa, Damanhour, Beheira Governorate 5842234",not available,Not available,5.0,2,Beheira,https://maps.app.goo.gl/PhwudfRSx4LnCD867,not available,31.04375,30.45625,https://lh5.googleusercontent.com/p/AF1QipMPwA6hMG_XZTwiAcBhPvtT_vrHKw6S3DqRYcGy,,,,,,,,,,,,,,,,,,,,Malls,Beheira,Shopping mall
سبلاش Splash,"محل سبلاش❤️-سيتي مول-شبرا جوار جامع الاتوبيس, Beheira Governorate",010 60168940,https://www.facebook.com/Splash.coo,4.0,51,Beheira,https://maps.app.goo.gl/uBmuLoqiD3AxE5FUA,2FM7+CJ Damanhour,31.033563,30.464062,https://lh5.googleusercontent.com/p/AF1QipOsw6WUOAT784WN99nP7GuJwtQThNf0mIukildd,https://lh5.googleusercontent.com/p/AF1QipOwBpHNmNYVcaeJ_C2lSsb0O2lNAq_LJU9G4qf4,https://lh5.googleusercontent.com/p/AF1QipPH0f4hh7Am86buKtDtehifUlibRRNBeo0rPaLy,//:0,https://lh5.googleusercontent.com/p/AF1QipN7nXKncj0hNccRTicXT_fMNF032xwEsLLgz6zN,https://lh5.googleusercontent.com/p/AF1QipNG5hsjnn12l9TscOVWCYOFnEZ_K5lXUwWtiWgE,//:0,https://lh5.googleusercontent.com/p/AF1QipOjDm3giOxsUoEryKoKSzp4Wp_nBs3PG5QMUyin,https://lh5.googleusercontent.com/p/AF1QipPMaP6OUWgzmZKZJbDV7fedypVvdvCNptMrjku5,https://lh5.googleusercontent.com/p/AF1QipNTo4c90PKDM58kggzjcT6xH9MFNV-O6csg2RAW,https://lh5.googleusercontent.com/p/AF1QipM4dcO0W1HIe8uruk_WCjR47REo883IiLgdSAQ_,,,,,,,,,,Malls,Beheira,Shopping mall
مول العروسة دمنهور,"2FPC+R3G, Al Dabteya, Tamous, Damanhour, Beheira Governorate 5843164",not available,Not available,3.6,44,Beheira,https://maps.app.goo.gl/f67TLJwnYHbcnEE48,not available,31.037438,30.470188,https://lh5.googleusercontent.com/p/AF1QipODOpqOJ3zT9H__s6koNOKXtyi6zYkWSWyh-B3K,https://lh5.googleusercontent.com/p/AF1QipNwVuEpB2PffCK6MjSnll0brsA_CoB6SdHeCGQl,,,,,,,,,,,,,,,,,,,Malls,Beheira,Shopping mall
VIP Heights,"Algomhuria Ahmed Zweil - Al Andalos, Naqraha, Damanhour, Beheira Governorate 22516",010 04400079,http://www.facebook.com/VIPheights,3.7,15,Beheira,https://maps.app.goo.gl/62mx2Ub16psCiizy5,2FW8+FG Damanhour,31.04625,30.46625,,,,,,,,,,,,,,,,,,,,,Malls,Beheira,Shopping mall
شركة التوزيع الذكي للاستيراد والتصدير فرع البحيرة,"Al Markaz, Monshaat Al Habashi, Damanhour, Beheira Governorate 5832465",010 91504051,smartdc.com.eg,5.0,2,Beheira,https://maps.app.goo.gl/D9iAo8PMkqjNaMam8,2F5G+X5 Damanhour,31.009937,30.475437,https://lh5.googleusercontent.com/p/AF1QipO_P-FzN6nopx_hs167SNgNgz4oIZ2xTxDg5LXA,https://lh5.googleusercontent.com/p/AF1QipPIk-pvJLqpakwCx3JmApjKeDAhF1xJrmsd9iNf,https://lh5.googleusercontent.com/p/AF1QipNZ0x4ArOPsKE3HB8fsMdaM4FNEGwAEpk4DelLd,https://lh5.googleusercontent.com/p/AF1QipNNSSqgbgo8xK97TUoVp87doPCp8yCCP4SQMX_c,//:0,https://lh5.googleusercontent.com/p/AF1QipPkfKrk4tHf2QNUozMQ3X0Xk4fvEJ34WEvnFJmD,https://lh5.googleusercontent.com/p/AF1QipPcnvxGzkDvos1uOnQV_Y4ane0RnrBt0I1lMVJ-,https://lh5.googleusercontent.com/p/AF1QipM3jxmPuEjzv5sBZgBxvgC0JI1qzOdZ2ZyXs979,//:0,https://lh5.googleusercontent.com/p/AF1QipN1pYyLlro8FauwL9kG5YO6HFp7w2RlCH-teVri,https://lh5.googleusercontent.com/p/AF1QipOo8z7OpoZL_D4LvQA-iT5TDv5EoIbgD1Mc9kYj,https://lh5.googleusercontent.com/p/AF1QipNq9ebwJEnYCBTdHQLxicTLqr73Z83e2uVeAwAu,https://lh5.googleusercontent.com/p/AF1QipOJJ64TtUpEOdpuOshYzAYeaqEf4wPK6wOMAs0B,https://lh5.googleusercontent.com/p/AF1QipNrL35M8Yk7wgqpE3fBT-bgqZ2WKaS0U0kgqbKF,https://lh5.googleusercontent.com/p/AF1QipM2b4X2bIpeE7UpbLhSmiQdqLvGloGM4dDuOUu8,https://lh5.googleusercontent.com/p/AF1QipNNFMxAmZX77NxmQiHxy4wu_yOmRf_H8bRh3I42,,,,,Malls,Beheira,Shopping mall
مترو,"Al Safa Ahd Al Marwa, Qortasa, Damanhour, Beheira Governorate 5844031",010 91909282,Not available,3.7,80,Beheira,https://maps.app.goo.gl/wyEt5sbNfbXEXN9W8,2FV7+7J Damanhour,31.043188,30.464062,https://lh5.googleusercontent.com/p/AF1QipPagLwp7zp81-i2x5baL-E2ZO6keUZhMibJTXEP,https://lh5.googleusercontent.com/p/AF1QipNEdSpaoiLvFRaNBGroMJEi0Qn7kFK7OqlzJd1Z,https://lh5.googleusercontent.com/p/AF1QipMD5jHP5EBohZGQGKRSoQna11CYH4Haoi2OtEPb,https://lh5.googleusercontent.com/p/AF1QipNkOgjYgqtIZeP-9He4NFwrbt01kFiv2Dz6rgQV,//:0,https://lh5.googleusercontent.com/p/AF1QipObbwlAskIafxRq5I0LWXhqNTzKu1QnryV2plTX,https://lh5.googleusercontent.com/p/AF1QipPnk6OtvLcKPcG8uWtEDKfRGorOqIxCnOoLCE3y,//:0,https://lh5.googleusercontent.com/p/AF1QipPeS929X6lole70VpAxS_UXcdpcXN2pS63wDUxJ,https://lh5.googleusercontent.com/p/AF1QipMTtUbw9v_iTECKmrs18hmrC2lOuYVe6RTfTYux,//:0,https://lh5.googleusercontent.com/p/AF1QipNvg9neZArfsEYzYtMxMgjKJnEfRbb1uKtgS-jM,https://lh5.googleusercontent.com/p/AF1QipPlIoARD2IJ5QLmGhf1mvLHAWTueYD4JMMh6nlO,//:0,https://lh5.googleusercontent.com/p/AF1QipOFqs41uInJnUWcckZXMx9pfZZfCvrtnDds8sED,https://lh5.googleusercontent.com/p/AF1QipPIW6ZLlAJgpSLTBts8ZfC4GM36i2no811etJrr,//:0,https://lh5.googleusercontent.com/p/AF1QipPzyK-bdY6n_I4SRKO7YsBg8IGtAf5ynXY91rER,https://lh5.googleusercontent.com/p/AF1QipPD1BULgMu4OJQTu7AtlxSut8su6HkTZFvSY72d,https://lh5.googleusercontent.com/p/AF1QipOIzedZy_cz3C0tsENqXxBPdNvwt4-mhxqbHK3h,Malls,Beheira,Shopping mall
تشاو مول,"2FW8+G4C, El-Orouba, Shobra, Damanhour, Beheira Governorate 5844035",010 93676757,Not available,3.8,176,Beheira,https://maps.app.goo.gl/x3AnAonKddqA4VD58,not available,31.046188,30.465938,https://lh5.googleusercontent.com/p/AF1QipNNAPOz71UgEWLnHfIu6IUnCrxnZRlTpzLNWrkT,https://lh5.googleusercontent.com/p/AF1QipOEG7zfJ7GY_B0qkfGlbVzAq8ODFEyF1TjOQed9,https://lh5.googleusercontent.com/p/AF1QipOSM96JZ-cN9m458aDEGdGnEUByd-Bfo3Feg0w8,https://lh5.googleusercontent.com/p/AF1QipMFP1JshdKvglCbGLR-dXRqsSZ_CKSauUQmwtSH,,,,,,,,,,,,,,,,,Malls,Beheira,Gift shop
Elite plaza,"3F28+8H, Izbat Ad Darawish, Damanhour, Beheira Governorate 5845171",not available,Not available,3.1,17,Beheira,https://maps.app.goo.gl/95VV8u9GXnZmg7A8A,not available,31.050812,30.466437,https://lh5.googleusercontent.com/p/AF1QipNyMNF9Pmr8OyJxOkt0DW1ZaVDrM84G8k_2i6kX,https://lh5.googleusercontent.com/p/AF1QipMzM01U23GJWuFsqYm0oIF6_XmLJf2boxQPRNtD,https://lh5.googleusercontent.com/p/AF1QipPDh0LDbHgPJcGk3Wzk__JniRE5ddhPfsIeosNM,//:0,https://lh5.googleusercontent.com/p/AF1QipO6Kb_Uo-LaO9J4Y1DBoYb3GlpMYw8MTXrl2o7M,https://lh5.googleusercontent.com/p/AF1QipNfC2EkF13-vASVfPc551SHnodvDEgg3lHjItcR,//:0,https://lh5.googleusercontent.com/p/AF1QipO8LmgkdsZwezqp0FYtv0qwA5ZHQOPQrxJmAaix,https://lh5.googleusercontent.com/p/AF1QipNLeQ9sai4KsDxPQ79yaWmM27JElZSNGdiwvSHy,//:0,https://lh5.googleusercontent.com/p/AF1QipOY1Kj0SIARahS7aP8fYeDGty3KldraE-0fY03U,https://lh5.googleusercontent.com/p/AF1QipN_e4CM2UWQSaO_voWbqQNq3Re3ocRkYqYUIE8Y,//:0,https://lh5.googleusercontent.com/p/AF1QipOq-vhbSHXKCo_MOkiKaCapPp4uWRrWQyYxSEyI,https://lh5.googleusercontent.com/p/AF1QipOr_9MLiLVy4BUMWQ7-uVl5qjJbwpMr1LBCUP52,https://lh5.googleusercontent.com/p/AF1QipN3uv37X2xjFHwED6_POzVi4BdCW9pWt8GGTVwo,//:0,https://lh5.googleusercontent.com/p/AF1QipMfso-rkyuVXuWZhHe8ucRIroeJbzWlqVxuXmOO,https://lh5.googleusercontent.com/p/AF1QipNe4UpNQRvW1_PNV7FDuimT1ROomvvNdrHaOze5,https://lh5.googleusercontent.com/p/AF1QipMzPacwo49joN6RUQn6P8OjxgE1qHN8Aw_H4DwM,Malls,Beheira,Shopping mall
