Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
سيتى هب مول cityhub mall محمد الدهشوري احدي مجموعة شركات ثقة الدولية,"بجوار مبني المحافظة، كورنيش النيل, Qism Bani Sweif, Beni Suef, Beni Suef Governorate 62511",010 80596903,wwe.thiqagroup.org,4.2,9,Beni Suef,https://maps.app.goo.gl/L3ZvitdDvP45BFqK7,not available,29.062438,31.102063,,,,,,,,,,,,,,,,,,,,,Malls,Beni Suef,Shopping mall
Acadia Mall,"24P7+Q9V, Qism Bani Sweif, Beni Suef, Beni Suef Governorate 2730431",010 13535894,Not available,3.8,101,Beni Suef,https://maps.app.goo.gl/hG8TSoj9R8TTEC3v7,not available,29.036938,31.113437,https://lh5.googleusercontent.com/p/AF1QipOl5P2KSPLjgLsXLOQq40BNlkjxiDGhlciqbY2M,https://lh5.googleusercontent.com/p/AF1QipNf6azKEImSofmZq-N_Tkr12Dn8IVHq764LfnG7,https://lh5.googleusercontent.com/p/AF1QipM75t3vHnl5PMzFUpwRViS2_hXp2N22o6Ao5J3Q,https://lh5.googleusercontent.com/p/AF1QipPnTyViAgnjk7rIT2Ledjas7Yo1DaHj0Ouk-boa,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPw4tnTSaRA4BUDRraDsPZUwt_VtsP6AqhXOvyf,https://lh5.googleusercontent.com/p/AF1QipOi2ZpXcPRRzIvtZy671I5QQ_iym2AVr0dlEdwn,https://lh5.googleusercontent.com/p/AF1QipMF7lummeVC1wVj7y1k6O32rBZUpv4lNqthGFI4,Malls,Beni Suef,Shopping mall
مول عرابي,"33CX+V5J, Qism Bani Sweif, Beni Suef, Beni Suef Governorate 2721501",not available,Not available,3.3,203,Beni Suef,https://maps.app.goo.gl/bhmwSFv7JQsahuu36,not available,29.072187,31.097938,https://lh5.googleusercontent.com/p/AF1QipOxd0j1uvOI8NE-iL527Fh8KB_iTHJTTou9V_Ht,https://lh5.googleusercontent.com/p/AF1QipMttoLg4vb7X9OQnlk_xfeOfCIwNrQ4xBlBlMQu,https://lh5.googleusercontent.com/p/AF1QipOa9psatY2wiAMP6airQlVbHoD67YjGHdpnmtTe,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOm7-gdtmWq-dgL-_vZQmOC708D4PYEHdhzOkEo,https://lh5.googleusercontent.com/p/AF1QipMM0wHUOjCfcBQbIoJDIVQwo8bVvVk0tEsg5W4x,https://lh5.googleusercontent.com/p/AF1QipPIjQ2dRxeOuRqXZOEYR7JO2YeNpFEZDMUA7rX3,Malls,Beni Suef,Shopping mall
Everest For Paints,"24Q6+6G2, Unnamed Road, Bayad Al Arab, Qism Bani Sweif, New Bani Suef, Beni Suef Governorate",011 43366487,Not available,4.8,5,Beni Suef,https://maps.app.goo.gl/ASCyFhvLxLesZKpn6,not available,29.083750,31.096250,https://lh5.googleusercontent.com/p/AF1QipMO4eq-0k7J63JxmwfvrBsdRVX9UfgFGzPUajeW,https://lh5.googleusercontent.com/p/AF1QipOAn9YBdiZBoOFexeoBKcZWamxGAaKIKKXERV1T,,,,,,,,,,,,,,,,,,,Malls,Beni Suef,Shopping mall
AMS,"3492+F29, Fawzi, Qism Bani Sweif, Beni Suef, Beni Suef Governorate 2721055",010 62058336,Not available,3.8,59,Beni Suef,https://maps.app.goo.gl/bk8mWJGJJDJ82Vtt6,not available,29.068188,31.100062,https://lh5.googleusercontent.com/p/AF1QipP19_07Fe3AXKQLizRYLAyutOz5Gr6wsuef1Dqr,https://lh5.googleusercontent.com/p/AF1QipOSGdkjcWGjG_eyTyBdL8pr0cIVohFD2u35Me1E,,,,,,,,,,,,,,,,,,,Malls,Beni Suef,Shopping mall
بيور للعطور,"Dr Ali Shafei, Qism Bani Sweif, Beni Suef, Beni Suef Governorate 2721507",012 89983325,https://www.facebook.com/groups/1929634467052336/,5.0,2,Beni Suef,https://maps.app.goo.gl/ngogcPCw9cAyKN3o7,,30.221187,31.482563,https://lh5.googleusercontent.com/p/AF1QipPD3ih3uCLbtxdHiQYsGN8_MsMuzj5iyZCDSmUL,https://lh5.googleusercontent.com/p/AF1QipOLphmj3Xd2TFkm6f6jqU4Li8vysQwisr1MVMCX,https://lh5.googleusercontent.com/p/AF1QipPQGs1T5E9BdMHvlsiIIzR5RlXiWVfX1xsjn3Zl,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOrdR_T2rSNeCyy2qtrbjaxxYc4zWMfoLKROOq6,https://lh5.googleusercontent.com/p/AF1QipOdNRVam5a3Kc0yGeResdXM-Ppj7zi40mQD33gi,https://lh5.googleusercontent.com/p/AF1QipOlOUlBojbY7uSnFg-EKANMznNEdYEV_YsMFH8N,,,,,,,,Malls,Beni Suef,Shopping mall
سنتر الجامعه,"24W4+2XF, Kornish Al Nile, Bayad Al Arab, بني سويف،، Beni Suef Governorate 2716788",010 69648487,https://www.facebook.com/%D8%B3%D9%86%D8%AA%D8%B1-%D8%A7%D9%84%D8%AC%D8%A7%D9%85%D8%B9%D8%A9-2430985643835302/,4.7,3,Beni Suef,https://maps.app.goo.gl/BsKPxSEzMGEwUCaaA,not available,29.044938,31.107937,https://lh5.googleusercontent.com/p/AF1QipP4NctGT0uuYXbQ7re0-IwHxAZmtyls345ieoGt,https://lh5.googleusercontent.com/p/AF1QipNnCoyH_RYDo6LNSoeGkWdlWnMHuAN2334I42YG,https://lh5.googleusercontent.com/p/AF1QipOCLAUThPMEtAmW9bG73EzZrqdluQycNXt5HQl0,https://lh5.googleusercontent.com/p/AF1QipMIL38p3upFJpl0qrcgPXR660os7M5NFAHP23qV,,,,,,,,,,,,,,,,,Malls,Beni Suef,Shopping mall
كرنڤال بني سويف,"صالح همام، قسم بني سويف، بني سويف، محافظة بني سويف،, Beni Suef Governorate",011 20294279,https://www.facebook.com/mahmoud.alamir.1,4.0,14,Beni Suef,https://maps.app.goo.gl/Gy4cHwMpU5P8Sxpc6,3494+P3 Beni Suef,29.069313,31.105187,https://lh5.googleusercontent.com/p/AF1QipNVm4yvdOpCZMh7QoUtSxc8DZf8ZIvdAQKx1RXk,https://lh5.googleusercontent.com/p/AF1QipPdbT2QlsS5iZQRvE6yjmfkXx-guYd4GLMQWBp5,https://lh5.googleusercontent.com/p/AF1QipPu7KbiMzZSrjs4_FV6OPwlmJ3hTjALBO5WFMwO,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNP_WymlPGt82_XlAkKxS9qDEIo0P0H7fqDaJBo,https://lh5.googleusercontent.com/p/AF1QipMoasoMjie2v5SncYekSv2CHPLYBU2twdj-1Z5Z,https://lh5.googleusercontent.com/p/AF1QipO_shwsMzUY4Yx5KOYE9MazELC6qbHH_1NDSRBE,https://lh5.googleusercontent.com/p/AF1QipMfnIRwgd0F0vVSnMeqsFzCZr7iWV6vhuNWEGHO,Malls,Beni Suef,Shopping mall
مول المحله,"24Q7+XPP، بياض العرب، بني سويف،, New Bani Suef, Beni Suef Governorate 2731004",not available,Not available,5.0,1,Beni Suef,https://maps.app.goo.gl/LNiRjgpoDARKZ8f16,not available,29.039938,31.114312,,,,,,,,,,,,,,,,,,,,,Malls,Beni Suef,Shopping mall
الدولى لاعمال الالوميتال,"3424+C26، بني سليمان الشرقية، بني سويف،, Beni Suef",not available,Not available,4.7,3,Beni Suef,https://maps.app.goo.gl/zZQRqa5JSQ2TcwJ37,not available,29.051063,31.105063,https://lh5.googleusercontent.com/p/AF1QipPScctULin3hn4lsKrgTkl-W3tCsYi-5ixdi4mX,https://lh5.googleusercontent.com/p/AF1QipNwTQWnXedcFtjzV7AHfL3-CnYeYEv71tQ2DHry,https://lh5.googleusercontent.com/p/AF1QipNsv1gthL9t0TaTretobcr7nUO3kTEWzYBjIX_F,,,,,,,,,,,,,,,,,,Malls,Beni Suef,Shopping mall
