Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Cairo Sales Stores‎,"354X+JQV side, 86 Shehab Street, Wadi Al Nile, Gazirat Mit Oqbah, Agouza, Giza Governorate 3752530",02 22906677,cairosales.com,4.2,"3,559",Cairo,https://maps.app.goo.gl/LyXJEcCncHWfRcWV9,not available,30.058312,31.200063,https://lh5.googleusercontent.com/p/AF1QipMpA_nYjsQw4EihFzq5RFNU9tt52qR230oAZzWz,https://lh5.googleusercontent.com/p/AF1QipMEiGieJRjYOSZ42bQ1a5Sz7Kb6_4kaUSns_Ura,https://lh5.googleusercontent.com/p/AF1QipPZ9GRjg9H2o0oJB5qG_4y6SaIBmbW5lXkB1Kqo,,//:0,https://lh5.googleusercontent.com/p/AF1QipOGEUsECgqE62xKDfYr3Zx-f8m0TtSxVpRSxist,https://lh5.googleusercontent.com/p/AF1QipOq3sFEqoCXvSAHdbBjh3HlkL6Wpi9mSRpSBK4,//:0,https://lh5.googleusercontent.com/p/AF1QipOEUpOFlqxsutqrbZWRgyy3dyyovYuJiplwB07-,https://lh5.googleusercontent.com/p/AF1QipNYZ44S1g9fcLWcMxxwZKpdYZxJB7xrJTkiGZjC,https://lh5.googleusercontent.com/p/AF1QipNRA6ceno8n6Y-lnr3tTMpLuX9teVrfEq5XdQx_,//:0,https://lh5.googleusercontent.com/p/AF1QipN6q3GUI1tsbyena8pC1yisO_1u-LYrz8Gm2WXa,https://lh5.googleusercontent.com/p/AF1QipMUQ40HjxbeFXSqoBmde0Yq4tR801SNMxF-goDJ,//:0,https://lh5.googleusercontent.com/p/AF1QipOgYRgCbRpZiDugrarQ1hqWHnv4ienN4uf3EplK,https://lh5.googleusercontent.com/p/AF1QipN0EQ5BU4HaZlNOTXkLSMEJyTXZ0CNMsIg6aaHG,https://lh5.googleusercontent.com/p/AF1QipNF6JcLhyW75uejCdPPUXXbBzWE75d-bLzUHSt9,https://lh5.googleusercontent.com/p/AF1QipPuattBoiwry9DwNM_i9gE3rTMcdh7UjGGO74wE,https://lh5.googleusercontent.com/p/AF1QipNIdY-XjMcb3RrNyEfUX3Xe5xhM_eoyiTOQnvZv,Malls,Cairo,Appliance store
Citystars Mall,"City Stars, Masaken Al Mohandesin, Nasr City, Cairo Governorate 4451620",02 24800800,citystars-heliopolis.com.eg,4.5,"131,119",Cairo,https://maps.app.goo.gl/AfrFX7EUDxVeQgkk9,38FW+56 Nasr City,30.072938,31.345562,https://lh5.googleusercontent.com/p/AF1QipNuz2_iEYFHtSCZA9DWVU7ikYM9NKlYZGLIdCFW,https://lh5.googleusercontent.com/p/AF1QipPmJYVtUht1bQMMrCr8fT5g7ffjckcxkcZXF4C4,https://lh5.googleusercontent.com/p/AF1QipPrFYCcSG7x7Ux-sW5CsusX752TX1Oa3KLynQA7,https://lh5.googleusercontent.com/p/AF1QipO5EYycgL4ul6-ebhhtUlZjf3vZL0n9ZTn5FYZq,//:0,https://lh5.googleusercontent.com/p/AF1QipMCJtOxuhutAMtLi_R_jGWXzqpYVJG3S1nGzb-7,https://lh5.googleusercontent.com/p/AF1QipO86rcdqgF9Q-gQmC0IzNEog0DwmScB-6Fqhg5K,https://lh5.googleusercontent.com/p/AF1QipMFKJ7G_c6jzP0b_eKw2R_Gc1eMP_Wyzqt0YUfy,https://lh5.googleusercontent.com/p/AF1QipMZ8F3MosuhEiW1ECUd8mZyPU9ScSryig1VY9bD,//:0,https://lh5.googleusercontent.com/p/AF1QipOykkFmtUxYzCNbmvqcverEJeurrulxqr-sBPrI,https://lh5.googleusercontent.com/p/AF1QipN430LNXzrnM6BxOhKAbKnB9xbASl1WuI7cqHin,https://lh5.googleusercontent.com/p/AF1QipNa0ZOSlZ5GKUrr5WIJJ0Kmkb8qDjnKPMOAFF2T,//:0,https://lh5.googleusercontent.com/p/AF1QipMM69L9g0fhe662OWoDKJOf1CpRcTCumFDtKf9s,https://lh5.googleusercontent.com/p/AF1QipMhBS4vXX74YQ-UkxILvFS5xj-59lBOlBM3DrpT,https://lh5.googleusercontent.com/p/AF1QipPEFcyMIbrwYFTiBZvHVfm3FBv--wjWDBCBfvAt,https://lh5.googleusercontent.com/p/AF1QipM9LZcxVy4EJGRAJx8uRw3s_uyQ6ezZpO6Ggnhp,https://lh5.googleusercontent.com/p/AF1QipPA8PU55xVkoEkED7ZkiB-DrHcwZj0PTJ8n47a_,https://lh5.googleusercontent.com/p/AF1QipOt7jK8FdstChqLIff2TBnLDof-8GTOBLmuHv7w,Malls,Cairo,Shopping mall
Talaat Harb Mall,"Talaat Harb, Marouf, Qasr El Nil, Cairo Governorate 4272146",02 25745617,Not available,3.9,"21,395",Cairo,https://maps.app.goo.gl/suVKSHWN9XSaM5gQ7,362R+32 Qasr El Nil,30.050187,31.240063,https://lh5.googleusercontent.com/p/AF1QipNJ1vyj0SfS1JGTS6DqHXBzSOFXOf2N1lMarXPl,https://lh5.googleusercontent.com/p/AF1QipPYp3qedbiVCINyTLhIdnxnNkzrnHKzJxXOQpdl,https://lh5.googleusercontent.com/p/AF1QipO-e6_LB_BQ1S7omKcLhEb4XbZ_l9EIe_OQoin2,//:0,https://lh5.googleusercontent.com/p/AF1QipP3BQcPBAhSfWtA5mplW3s4PitXnG8GBikNtqWc,https://lh5.googleusercontent.com/p/AF1QipN0vFuxYpeRtr6ffh67Okv8q_fXqWruRWCMJnWw,//:0,https://lh5.googleusercontent.com/p/AF1QipMDlr_D7NUXU9ri3c41SDSaHX8uobkPH54vMdXI,https://lh5.googleusercontent.com/p/AF1QipMy3c2FyuSFxVTO695LG2ukJYWb-yHtVcmrS9Et,//:0,https://lh5.googleusercontent.com/p/AF1QipOEt8JCBupdJ_cLyY_Rh7Fcbdj7agnV97VjLiH2,https://lh5.googleusercontent.com/p/AF1QipO_b4lunuF2bJHmNvTn5ENMjvUsgT80WXPoBq_7,,//:0,https://lh5.googleusercontent.com/p/AF1QipPp6fuGziA_mfK66cmP3qjwGzKivpVXiv4ljhgK,https://lh5.googleusercontent.com/p/AF1QipNMRDo7UafcEjmx_FrAZ6VZKGLUj3LBBPU3MwLw,//:0,https://lh5.googleusercontent.com/p/AF1QipNVbz_I0R48F0TeT3SCm9jbKe384N8ULwfqP3-z,https://lh5.googleusercontent.com/p/AF1QipPt2KOaheDBfKKmkxAfh_hQiB5Y3sGfEUREXiDc,https://lh5.googleusercontent.com/p/AF1QipOEKwZQcZ_Nd7PY7ja9fVsAn4b5bKPaEdBo3P7T,Malls,Cairo,Shopping mall
Downtown Katameya,"Area A-City Center, hk٥5th District, Road 90،, Cairo Governorate",2C87+V4 New Cairo 1,katameyadowntown.com,4.5,"33,755",Cairo,https://maps.app.goo.gl/b59Sgh4yVAZ3QdRm7,2C87+V4 New Cairo 1,30.017187,31.412813,https://lh5.googleusercontent.com/p/AF1QipPWgWtgSfRSmLeozuD_10Uzl3uLkyNULd9jWC4O,https://lh5.googleusercontent.com/p/AF1QipMk7E3ZX6tvpv312K4dIJ4cWhWJyuXR_5v1kX4S,https://lh5.googleusercontent.com/p/AF1QipNyh93UWrci9EL6UgqkZ1U9oyqoJmfc6F_dFfUS,https://lh5.googleusercontent.com/p/AF1QipNn7k0qtEp6O2T5GYCGb9a_OAwRSJh-UUBE0Qiw,//:0,https://lh5.googleusercontent.com/p/AF1QipPguumrrJSw9c2_rEnlSSrNw4xG063JWitsVUEd,https://lh5.googleusercontent.com/p/AF1QipN4XzLI07PiIg1GaztwYQweVkhZzn2-2otubyyi,//:0,https://lh5.googleusercontent.com/p/AF1QipOpYlVfsrOPJvcfvgRInd_1q2g18QkzRJS-8S0i,https://lh5.googleusercontent.com/p/AF1QipPWmPnF_3WCs6Qw4S8AI5CZNgeBO6AIg6aTzTN2,//:0,https://lh5.googleusercontent.com/p/AF1QipNYvGDPpKV3elLPzv0Xc6kvT_FKpuGqqnGJALo,https://lh5.googleusercontent.com/p/AF1QipNNdbd3Ea1Sv1wTdgZrZEf4Cu5FM70Fxbzzmmfp,//:0,https://lh5.googleusercontent.com/p/AF1QipM4DfdU23m27Evt-0SpCNhyv2oqRbtiDJuxR0qC,https://lh5.googleusercontent.com/p/AF1QipN-YOvi6oWhE7o27JnnFGJtcdxCh2QCo5OZ-N7D,https://lh5.googleusercontent.com/p/AF1QipPzd525vT7n93_rv1FC1Jw92IpXr4op3ZKJ--tp,https://lh5.googleusercontent.com/p/AF1QipNJil8sl5CR17LZDsI--bQ77_ypgfvtj6r-EhfR,https://lh5.googleusercontent.com/p/AF1QipNyLPysIp2I2ivfK0vf9rVQ7dEMmQkFdTorbyfj,https://lh5.googleusercontent.com/p/AF1QipOE2ELYSf360betvGDRKQV72TYxwpJpCCjLF9uB,Malls,Cairo,Shopping mall
Genena Mall,"Al Manteqah Al Oula, Nasr City, Cairo Governorate 4450143",02 20820621,genena.com,4.2,"31,195",Cairo,https://maps.app.goo.gl/Hh9p9Yzee7UXyYtU9,386J+6Q Nasr City,30.060563,31.331938,https://lh5.googleusercontent.com/p/AF1QipPId1Q_x6l_Ivo0yZZvFGsEDTKXnBA-0YAEkLT4,https://lh5.googleusercontent.com/p/AF1QipMZg_D1VdHQi_OYKKCp6u8z-wzam_E5Tx1Q9y_B,https://lh5.googleusercontent.com/p/AF1QipPhUqADjnnD2_e8GsvJl_WnXoQyQcqYO-MlGzBw,//:0,https://lh5.googleusercontent.com/p/AF1QipPHFgwBNioPKBsXUYgXsC4hxM5qU2TD1Ri0I_E,https://lh5.googleusercontent.com/p/AF1QipP5uVrXPPqcW1r0KvM2YpICCTth7iBD3y3oWXyz,https://lh5.googleusercontent.com/p/AF1QipOa0aRmDt8eXN9GhtsWr1HbZXtZzYLk7dqpEf_f,//:0,https://lh5.googleusercontent.com/p/AF1QipMoCSK9EpqOyRcr0YlgoxS7Un-PbRbAuIPQx0qU,https://lh5.googleusercontent.com/p/AF1QipNAG2fPTaYMD78f5YnaXy9pICpl1Mv4uPpwAG7v,//:0,https://lh5.googleusercontent.com/p/AF1QipPSPHOJD3v3eXwlp7klcgthAZ1iVL9Iib9SCPla,https://lh5.googleusercontent.com/p/AF1QipM46BwWo_hDvfJcAh-1U22yKGeOx_55T3mG31mw,//:0,https://lh5.googleusercontent.com/p/AF1QipN58DUoi_nz8ej1ssft0eBLnlguBsx6SJWJFmQb,https://lh5.googleusercontent.com/p/AF1QipNVK15w8AP4pTpXcGHZcwC0BUJ66hqYtrKZnf7r,//:0,https://lh5.googleusercontent.com/p/AF1QipMbk7JCy80_OUWcu_0_zhl-MLF8mMBrVEpIJuX4,https://lh5.googleusercontent.com/p/AF1QipPg0uLAHjPcBIQrEDaYBUtX_JjlA3EYfj8hTzoG,https://lh5.googleusercontent.com/p/AF1QipMSAWhLX0KKqVfdBAnFrBUAMPblBurxEXWkqmtu,Malls,Cairo,Shopping mall
Arkadia Mall,"مبنى الإذاعة والتليفزيون المصرى،, 4 Nile Corniche, El Nile, Cairo Governorate 11672",010 14229686,arkadiamall.com,4.0,"8,887",Cairo,https://maps.app.goo.gl/RkwsRqyKyxh5S397A,369G+VX Bulaq,30.069688,31.227438,https://lh5.googleusercontent.com/p/AF1QipPYnp0G_-LIQDxX-4nH2SxsaqdF3uKYkrlrlNE5,https://lh5.googleusercontent.com/p/AF1QipM07--5fGEqqyLZ67nOtQg6FtoC6unNVFmb2kd_,https://lh5.googleusercontent.com/p/AF1QipNxGLsRcfaMi1Kzr_LnxlOjtQzAyPDjUapvr9Vr,https://lh5.googleusercontent.com/p/AF1QipPcfgDTu-PJc4eX6tpxnHV0e5SfT5fETAuXuNpf,https://lh5.googleusercontent.com/p/AF1QipOMraAjR9Y9fofx4uR-FD0tpgAa7iuYLqwnsUBS,//:0,https://lh5.googleusercontent.com/p/AF1QipNGYKhFCrQ70Rer750IwzzPvYJ1hpaqMfz3xoEb,https://lh5.googleusercontent.com/p/AF1QipM_aLTh85QhzpX2fn08AF4Ug7pyuixnNVsy06ry,//:0,https://lh5.googleusercontent.com/p/AF1QipMiIzeyhO_t0cKhzEklWmRTIhZ5PJYSsMVDbfWp,https://lh5.googleusercontent.com/p/AF1QipMq5xonjix7u_TzRN75qpUKSSm5_cfAmtyE5POv,//:0,https://lh5.googleusercontent.com/p/AF1QipO9t9IxvJFCxZ9C8oQxJGNewasn4cCRtSLmqRrE,https://lh5.googleusercontent.com/p/AF1QipMGi7VVNC-g9kmne6NHV8eNWr7BchSYEyebe5LE,//:0,https://lh5.googleusercontent.com/p/AF1QipPYqT0XhGsGWkxANSpVw1dIYkhkR4UGPwQLSEcp,https://lh5.googleusercontent.com/p/AF1QipNSyxmSdHf5EW4j5N0QM8XGuTxeX-3Key83TLOE,https://lh5.googleusercontent.com/p/AF1QipOO98lnHksG9RrGfAV7Jy4hq6y4nzKRDX_JnRmG,https://lh5.googleusercontent.com/p/AF1QipOox8PPeAnW--PPATOjLOaw5_vum0ZxXHGdBSj6,https://lh5.googleusercontent.com/p/AF1QipPEF1Wicaz6WBL83S9Fc5p3jEV6mSe3m-ZHjdvt,Malls,Cairo,Shopping mall
The First Mall,"35 Giza Street - Inside Four Seasons Hotel, Al Giza, 11432",02 35717803,firstmallcairo.com,4.4,"2,951",Cairo,https://maps.app.goo.gl/PAkkrDogJM1R4ztU8,26F8+MV Al Giza,30.024188,31.217188,https://lh5.googleusercontent.com/p/AF1QipNSUEnWlyroqqZo6TuBnUHSCMc8yB4963EtShR9,https://lh5.googleusercontent.com/p/AF1QipNXrrGnWYEQ6waJ_jtb6u8EAGn2cjAipP3eBGW9,https://lh5.googleusercontent.com/p/AF1QipN3AbaCUN9_UrWGoIVrQhZ3_yj2bbYGVlzIP0B_,https://lh5.googleusercontent.com/p/AF1QipMSSlf8mK248eD-pjIe2j2GC3KMu7jPIfkmcKLm,//:0,https://lh5.googleusercontent.com/p/AF1QipOHRtdOttLQ4Cy61g4eC_tq9I2K6TtOuqNbmfCW,https://lh5.googleusercontent.com/p/AF1QipOuAHEsYOwB0l354PP6Rdtf4rOLpc6esdrMUCPX,https://lh5.googleusercontent.com/p/AF1QipOD7Cmm8L-xqjFKnGkPubix8cK2h8Mq1jhqP78N,//:0,https://lh5.googleusercontent.com/p/AF1QipPn4QTLh5OaUT0eHe-NAUalb1iqEuBoF8bT5E3a,https://lh5.googleusercontent.com/p/AF1QipOxltcE9VtyBAoFV0fsakxrOUs5cHYgL1IGMx6t,//:0,https://lh5.googleusercontent.com/p/AF1QipNU68zsFSnNFUMTtmZOR8_sytnNPXYZxvZEz0k7,https://lh5.googleusercontent.com/p/AF1QipM2AFPshFLby7axUu1OmrEQYvAERNmQZb9zuYyz,//:0,https://lh5.googleusercontent.com/p/AF1QipPTZPakhd1n7NKXhjjhYV0612icuDoakGr79TVK,https://lh5.googleusercontent.com/p/AF1QipOQMgH_VrqkdT44t_ssKr6qVd_m9bdtRFdDLfeN,https://lh5.googleusercontent.com/p/AF1QipOAtzJCSNCLG1VwhtM2baVv8SOSPPFHF6_XSBKB,https://lh5.googleusercontent.com/p/AF1QipMK3bjixKjbquMOSiKQlY7yInzycZD0Png3WfAM,https://lh5.googleusercontent.com/p/AF1QipMnzBrvE4C4qpm9cHMHlco5lpk97mSp8QwMmU6w,Malls,Cairo,Shopping mall
Cairo Festival City Mall,"Ring Rd, New Cairo 3, Cairo Governorate 4730020",2CH5+G2 New Cairo 3,festivalcitymallcairo.com,4.6,"6,833",Cairo,https://maps.app.goo.gl/RThqRn1Ao8kkcQcDA,2CH5+G2 New Cairo 3,30.028813,31.407562,https://lh5.googleusercontent.com/p/AF1QipN-LU6L3zNjnEZ07v-ED4hL7UusmGQg3bZmMucJ,https://lh5.googleusercontent.com/p/AF1QipOKeLuzAdWDvPdNAy23UzoUCsKkx57idjFHVTk,https://lh5.googleusercontent.com/p/AF1QipNTYj6VT4ie7VTSE0YAYW-d61zco_9GQi3BhecC,//:0,https://lh5.googleusercontent.com/p/AF1QipOfLcdR3UumbljS6DgLaqIfP1sSbgdSSfNYbKTJ,https://lh5.googleusercontent.com/p/AF1QipMUcHWWWBe7P0xgoRMK8XMmDA5-LzbL2mTUZWKy,https://lh5.googleusercontent.com/p/AF1QipM8GYJ7d_0q0e5ZK2OnqoEOOOv6JGo-Rw6aHoHi,//:0,https://lh5.googleusercontent.com/p/AF1QipP-94BmuHNMh28zFd_5zSYxUBVdUIUcp068kSO6,https://lh5.googleusercontent.com/p/AF1QipNJ2rx40ChvTEzj0fTRVpJbfQklpzL6Po06vjqm,//:0,https://lh5.googleusercontent.com/p/AF1QipPpaq-OUc-FfRvpiu5MpzFu12LBVjg1q2RWlAKN,https://lh5.googleusercontent.com/p/AF1QipOn58bkcirMlPXe7oox7n_COVbH6oozrmqm6WYw,https://lh5.googleusercontent.com/p/AF1QipP37JmpGH2AXi-ka2wVdp67vcH8h6X67UrrenjP,//:0,https://lh5.googleusercontent.com/p/AF1QipPxCHQHa7bRPD7LRTNepKSW_Dl38ZU62wb63x2p,https://lh5.googleusercontent.com/p/AF1QipPKqvDT_FaI8ValQvRMUZe4xSY7IBcG9gDmc8W9,https://lh5.googleusercontent.com/p/AF1QipM6tArOi9NIdg1leY2WxG1vDupmuGdDAhFk1Lhk,https://lh5.googleusercontent.com/p/AF1QipMAaUz9Xilt8xL4Tv7EpCXc64_iY41ycrlAQLC9,https://lh5.googleusercontent.com/p/AF1QipO605z_9_od6WjSm6NNNLEEa77iHHW0pxIMf5qL,Malls,Cairo,Shopping mall
Almaza mall,"Passage Inside Almaza Airport, Sheraton Al Matar, El Nozha, Cairo Governorate 4472001",02 25998260,citycentrealmaza.com,4.6,"44,848",Cairo,https://maps.app.goo.gl/dox1aHeJbU169mxy6,39J7+7X El Nozha,30.080687,31.364937,https://lh5.googleusercontent.com/p/AF1QipMrbLtDFNnZSJ2QcgrT6lPUzwDLlf7QESreaIf_,https://lh5.googleusercontent.com/p/AF1QipMkPFquf08gNGwopooweexpWo1cXswk_Y2fcXjH,https://lh5.googleusercontent.com/p/AF1QipObie8H5hRuHDRt-Wz3f-Foe9XZu6PyU_JCOUNj,https://lh5.googleusercontent.com/p/AF1QipOiKK72CJKKlbP73lSAJ4m70VntqRmz0OJNl-0W,//:0,https://lh5.googleusercontent.com/p/AF1QipNODPrv_YW0nrwG8uNt1OwztNVjkcik6T6snOcq,https://lh5.googleusercontent.com/p/AF1QipMazg5z4fMQ-uEy_ncjy0F5A2w201WjAb3VFirj,https://lh5.googleusercontent.com/p/AF1QipMvTLweIaF-3c2k5NZSlgcT4gPMmL1M_iGip5ye,//:0,https://lh5.googleusercontent.com/p/AF1QipOT2HujFqA-6I6uL5hIlZkqJIvsZP-9xl_ZXFfA,https://lh5.googleusercontent.com/p/AF1QipP6l0q3YRy0SsTcOHiAc7efhBHPeEwUtPMN3YD3,//:0,https://lh5.googleusercontent.com/p/AF1QipM9G0q_QW47o59PDaGrmSHRdkCyHwjlqQI6MRIZ,https://lh5.googleusercontent.com/p/AF1QipOb8tt1-RIPAUVceYF4LcVRmKHjIW5UJS59GYi8,https://lh5.googleusercontent.com/p/AF1QipNa1Jy2e6SKcsQwjzX4lGdvdnixt_QQl31YRX2o,,//:0,https://lh5.googleusercontent.com/p/AF1QipN31NHhLdXrOAg6INeZ360PqCyOkmzLZW_nQEXX,https://lh5.googleusercontent.com/p/AF1QipPB0ahyF4rcUgrFEJcbIlSxeDdro5etPj2phevz,https://lh5.googleusercontent.com/p/AF1QipPRJECGUgO6gfQDd0CggVYBy3xZP0APo4TKijmY,Malls,Cairo,Shopping mall
Galleria Mall,"26MG+GPM, Abdulaziz Al Saud, Old Cairo, Cairo Governorate 4240303",not available,Not available,4.1,137,Cairo,https://maps.app.goo.gl/pHBAHuTsWz39x9QM8,not available,30.02125,31.22375,https://lh5.googleusercontent.com/p/AF1QipOJQrerqmsXNUV-9HNGeUN6ccWJcSlljRqBoDbD,https://lh5.googleusercontent.com/p/AF1QipO_x6B_Ksga7EjOLRnCTx7fhV8ehJfjFyXKLeVL,https://lh5.googleusercontent.com/p/AF1QipN8eb7bHZbPaS4TjC6nb02iHXVB_-s_RIISkwvJ,//:0,https://lh5.googleusercontent.com/p/AF1QipOmgEtVMdIK75xPaPaO4r-FJQ8ni6xxSwAVikaq,https://lh5.googleusercontent.com/p/AF1QipM_FmGdD9NOTKNCkNYRzVn7Y4pnfbnII1N7FqCQ,//:0,https://lh5.googleusercontent.com/p/AF1QipMJ6oVqT7d0nDgPLtYJkbBdA56a03AvK63RzZeT,https://lh5.googleusercontent.com/p/AF1QipOLb2Z9qmhxlIOCJ4DSCY7-31b-trKNXeVszYgO,https://lh5.googleusercontent.com/p/AF1QipM1C8LGgDriDS4-zZjVR8cOW_LqV_dwj7WWDw2I,//:0,https://lh5.googleusercontent.com/p/AF1QipNRt1SeCxlSxj7LsRTiqInlFKKB2CgZUK6Rapky,https://lh5.googleusercontent.com/p/AF1QipO9RLaXSghMe0HhH5m6b6bi2XHuaslVP1eEwg9x,//:0,https://lh5.googleusercontent.com/p/AF1QipPU2IfBMljMLYJCKkGBS_NsPDqeBD48Nqe8W8El,https://lh5.googleusercontent.com/p/AF1QipNsQ9-CTyuSB0Qd_k8asSdbtLthyZTenqiHFOcL,//:0,https://lh5.googleusercontent.com/p/AF1QipOkT4rVVSZbkfbyl_ZeaZpD2rRZrNTZS_lU9M-2,https://lh5.googleusercontent.com/p/AF1QipMg-GjSL4udf4KrzSv5AU14_QU0jl66msE4M7lE,https://lh5.googleusercontent.com/p/AF1QipOozzioQax3rWPxsGkKe0usDQPC7DWrZrIv5fvE,Malls,Cairo,Shopping mall
