Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Al Gama'a Plaza Mall,"Gehan Al Sadat, Mansoura Qism 2, El Mansoura, Dakahlia Governorate 7650145",not available,https://www.facebook.com/MALLAlGAM3A/,4.1,"4,810",Dakahlia,https://maps.app.goo.gl/si2oLHQXAkskE1Mn6,29P6+XF El Mansoura,31.037438,31.361187,https://lh5.googleusercontent.com/p/AF1QipOaPaXAVG85GkcPCFE_8ugxqI3UrmFhvakZOiiX,https://lh5.googleusercontent.com/p/AF1QipOMTkZnyhxc2_GQu2BsfDaDXzRn0WVT6le53CkR,https://lh5.googleusercontent.com/p/AF1QipMwpTWhPpG2l3ZGl5JUO6kaj7qIdkILgZtZfdO4,https://lh5.googleusercontent.com/p/AF1QipOkg9VY_N5YCeMDwUzJwrT30BGr3EN41BqJPgJc,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOwY29X_XGgLdCPURj7DJbGSJyQWCZsAojOjkds,https://lh5.googleusercontent.com/p/AF1QipO-S600rWsr4eQXlFwXms5tgabC2JC2Ydg_GXIT,https://lh5.googleusercontent.com/p/AF1QipNB1yxmDamgafj_zEaxKDk6L7i6xNlMM2tyNJe5,Malls,Dakahlia,Shopping mall
مول أبراج,"29HF+22Q, Abdo Al Saedi, Mansoura Qism 2, El Mansoura, Dakahlia Governorate 7651030",not available,Not available,4.0,461,Dakahlia,https://maps.app.goo.gl/QwPpkj9iTvvoHpwa6,not available,31.027437,31.373312,https://lh5.googleusercontent.com/p/AF1QipPSWuTmlZujwFf4lCgkMNeMJSGBLyUcBr4v6rOL,https://lh5.googleusercontent.com/p/AF1QipN36hQTYssNABLv8IIZeNqW3N2dJ7vHAOeK1tuk,https://lh5.googleusercontent.com/p/AF1QipOuT2CqlUbbb2oG5amQP0rzb1_O1JQJVo9ZhmDs,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipM2LRmWBKleXSnBd8hNOZHPfOuRGlv0QzQ1uutX,https://lh5.googleusercontent.com/p/AF1QipOBAhBPQ2zFiJ-sY10tnGNKz29mlRgn-3CP7_XF,https://lh5.googleusercontent.com/p/AF1QipNofFofvWXYDqfNeq9YlhonWisG483eIEpVPOmj,https://lh5.googleusercontent.com/p/AF1QipPYdLclqkM8kfDdb6HNmfh9Zr2mjXNFdtgUxFVb,Malls,Dakahlia,Shopping mall
Mall of Mansoura,"39C5+XF9, Mit Al Koramaa, Talkha, Dakahlia Governorate 7621210",not available,Not available,4.1,25,Dakahlia,https://maps.app.goo.gl/MC8qzELXUpT8xvYs5,not available,31.072437,31.358688,https://lh5.googleusercontent.com/p/AF1QipMZ5D_b37-7uh0ov1qHPoRfipQNyi964T3FktaW,https://lh5.googleusercontent.com/p/AF1QipNnUiHJaSfz6-uoLRTmn5cIk2D5Y6O9ZK_rS50j,https://lh5.googleusercontent.com/p/AF1QipN17JxMDlBcilNWQRALnudDAxUs2ftBqRM8Phpg,https://lh5.googleusercontent.com/p/AF1QipOe4T4FjNStJvQVEqHFwjqN3ZO-IMV1eY0H-yEQ,https://lh5.googleusercontent.com/p/AF1QipMzR06teY3sN5uWZjRzfQsXbMvAt8rB9yP5U6xx,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPWmJf_9MJ5FBU_aw8jlelTinIvy60U4a-DiALd,https://lh5.googleusercontent.com/p/AF1QipMH0tKn80UdGu2OPCsCYc8G4eCMEzgW94ofyUh7,https://lh5.googleusercontent.com/p/AF1QipPGw65iEzoWGCVnCruPrmEXpvnmb5QblXMN3ftB,https://lh5.googleusercontent.com/p/AF1QipNKnzM5qV3n53Yujwqh38JapkiqAE61gGD0E4v_,,,,,,Malls,Dakahlia,Shopping mall
MALL GAM3A PLAZA,"29P6+XHJ, Gehan Al Sadat, Mansoura Qism 2, El Mansoura, Dakahlia Governorate 7650145",011 11156859,Not available,4.4,25,Dakahlia,https://maps.app.goo.gl/xG94a3iMdYMC7WKE6,not available,31.037562,31.361187,https://lh5.googleusercontent.com/p/AF1QipM_2Zf3wyiMqlEHGF4y3BN3Q6bCeFZBwO4gd_j9,https://lh5.googleusercontent.com/p/AF1QipNAEO2pJpyQ9pojWco7zbGBYMTWyD1UpyOPDh18,,,,,,,,,,,,,,,,,,,Malls,Dakahlia,Shopping mall
Sun Mall,"Abd El-Salam Aref, Mansoura Qism 2, El Mansoura 1, Dakahlia Governorate 7651202",29HG+X8 El Mansoura 1,Not available,3.6,"2,362",Dakahlia,https://maps.app.goo.gl/CzYkDch7G6i9a6R78,29HG+X8 El Mansoura 1,31.029938,31.375813,https://lh5.googleusercontent.com/p/AF1QipOTnKZUS21yGvqJjHQfixs6ueDSndpuoFtr5qRB,https://lh5.googleusercontent.com/p/AF1QipPJ2Q-2nRyhmgxvYbDRreKGupbf-iNjOau3UMuM,https://lh5.googleusercontent.com/p/AF1QipMg353wnss0etD1WEBWv4w7pH-has4nkriRoW1R,https://lh5.googleusercontent.com/p/AF1QipOIghWNI9P8Oyh9NFz0uoa-S4cYJCk9roQfzsxB,https://lh5.googleusercontent.com/p/AF1QipP2i4fthchBaVew6RE6nJptlcjrUex_vmb8vyUq,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipN1xRYNvb_PboEWq6_SKZi4eSryEAtBr_WGv7Dq,https://lh5.googleusercontent.com/p/AF1QipN6-lg-0XFP6af28ovZ7mTtcJd7kO_Ho5k0dj6K,https://lh5.googleusercontent.com/p/AF1QipP-OglXYz8jAmp_1SLXbvVR1qu-P3Be-9XWCqfE,https://lh5.googleusercontent.com/p/AF1QipPLCersAGfIvQf0gDVNuYI2Z7CfqgfuYrfnPBup,Malls,Dakahlia,Shopping mall
مول المشايه الجديد,"29W7+GM2، شارع المشاية السفلية، ميت خميس وكفر الموجي، المنصورة، الدقهلية،، اول المنصورة، الدقهلية،, El Mansoura 1",not available,Not available,4.3,13,Dakahlia,https://maps.app.goo.gl/YZKj5CwXhMcdi7teA,not available,31.046188,31.357687,https://lh5.googleusercontent.com/p/AF1QipOTBxKV3tEQ1dlpNWhgINqXCSzM_kJwpE8Zzvy3,https://lh5.googleusercontent.com/p/AF1QipOipStoMayK-rWbgGoUJfgmnS3BbeItj0q2kur5,https://lh5.googleusercontent.com/p/AF1QipObA_L2TP_PGHYzVcQQ6yl8L6Y8xwj9q4stPkz8,https://lh5.googleusercontent.com/p/AF1QipMxcdIxHaXwmMGSWtXUFM7w8t0cjGMvHmYvvir9,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPwGODOMka4oEUtHKo82xvIqfbWfpdUfVEc6-xv,https://lh5.googleusercontent.com/p/AF1QipNc3lBY3qRpxNSTfaLZTil5RzOjrOzBFFJ7zj1K,https://lh5.googleusercontent.com/p/AF1QipPwgzIkV1W3dwC0oduFZ9dnfDm4Zg2KirFYrGhH,https://lh5.googleusercontent.com/p/AF1QipOR2wfICN3GvwqQYotrIXB_A3Z9N2U8tgcTeyMi,,Malls,Dakahlia,Shopping mall
مركز النصر الرياضي,"29Q3+8W5, المهندس احمد الحسينى عيد، ميت خميس وكفر الموجي، المنصورة،،, Mit Khamis WA Kafr Al Mougi, El Mansoura 1, Dakahlia Governorate 7650010",not available,Not available,4.5,2,Dakahlia,https://maps.app.goo.gl/ofr8BtLESKswDd4G7,not available,31.038750,31.353750,https://lh5.googleusercontent.com/p/AF1QipNgr7EHsvbO2bmfZP8X1u1lU_5aRZY15x2K8LTG,https://lh5.googleusercontent.com/p/AF1QipMNfi4ZGkWVZYk1wPUlhnB97s59rGaB0k6a7LHv,,,,,,,,,,,,,,,,,,,Malls,Dakahlia,Shopping mall
كارفور المنصورة - الفرع الثاني,"29Q4+63C، المهندس احمد الحسينى عيد، ميت بدر خميس، المنصورة،, El Mansoura 1, Dakahlia Governorate",not available,Not available,3.8,286,Dakahlia,https://maps.app.goo.gl/4dV3ThDmqoRdNP8h6,not available,30.251438,31.460563,https://lh5.googleusercontent.com/p/AF1QipOvJqKkQKD6dplxS5RCUf0W8dUqbosdLSFQLjCN,https://lh5.googleusercontent.com/p/AF1QipP5_Ph2PTQdDY9yqXglLiLmO7QVb7Ri8SPL4GrT,https://lh5.googleusercontent.com/p/AF1QipMXV9dqSd3HkSwwbX9n-mQ-Z3HN0XTacRZzz179,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOKz9ly_TWxAiFioLK1paP0CK5-V9ZV_OMQWlEr,https://lh5.googleusercontent.com/p/AF1QipMCMDSEoqmH7vj7v7konxZd7Ddi97F53GJ-dxRl,https://lh5.googleusercontent.com/p/AF1QipPFUMHBJbzbGZfI-l27Dhl4M2o1zbvV2aeNJAWW,Malls,Dakahlia,Shopping mall
مكتبه تولي,"Khaled Ibn El-Waleed, Mansoura Qism 2, El Mansoura, Dakahlia Governorate 7650103",010 22594441,Not available,5.0,5,Dakahlia,https://maps.app.goo.gl/gnxrr5zjS9VujUdx6,29M5+C6 El Mansoura,31.033563,31.358063,https://lh5.googleusercontent.com/p/AF1QipMHS_FI9aEKsl0fYu_lBpUBAQgpwSIYVDXWFHTm,https://lh5.googleusercontent.com/p/AF1QipPFcAXu7cTxoJnt89rQeUrEKAbzYkExw9gz8PKu,https://lh5.googleusercontent.com/p/AF1QipO9Nk0MgatbLmTKFCwtjvANKSy21T0s_NcIgqeU,https://lh5.googleusercontent.com/p/AF1QipPOfxrJX2QpP8lZhmztKzPiw2Lro9788jQ8-yI2,,,https://lh5.googleusercontent.com/p/AF1QipOGN_fylUvj59qrjYpH3W8AkhsTuf6F58o4VOd5,https://lh5.googleusercontent.com/p/AF1QipOi-5OmbA2K0D70M8rSDCFRrof43LkEckNdzRDy,https://lh5.googleusercontent.com/p/AF1QipP3cNYqRDr0hu5XLKPee8Z-8LSNWCa8VukPttvU,https://lh5.googleusercontent.com/p/AF1QipNtILEOaHDU7Re1Ba_sd4gyyI8tsItASeRY3bzt,,,,,,,,,,,Malls,Dakahlia,Shopping mall
بالطو,"29V7+XHF المشاية العلوية أمام مستشفي الجامعة الرئيسي, El Mansoura 1, Dakahlia Governorate 7650044",015 55594970,Not available,5.0,1,Dakahlia,https://maps.app.goo.gl/ibHPNsUMpXhqPDw97,not available,31.044438,31.363813,,,,,,,,,,,,,,,,,,,,,Malls,Dakahlia,Shopping mall
