Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
جاليري الخديوى,"Qism Damietta, Second, Damietta Governorate 8054012",055 5888558,https://www.facebook.com/%D8%AC%D8%A7%D9%84%D9%8A%D8%B1%D9%89-%D8%A7%D9%84%D8%AE%D8%AF%D9%8A%D9%88%D9%89-561794670983097/,5.0,3,Damietta,https://maps.app.goo.gl/twYZezAigVkQxJoj6,CRH4+43 Dameitta Second,31.427813,31.805188,https://lh5.googleusercontent.com/p/AF1QipMyZQ-ps7T9QCr8HbhJJlpOuskA7qkEhCXlahay,,,,,,,,,,,,,,,,,,,,Malls,Damietta,Shopping mall
Sunset Mall,"FM6Q+4M9، مدينة دمياط الجديدة، كفر سعد،، مدينة دمياط الجديدة، مدينه دمياط الجديدة، دمياط،, New Damietta",010 97323497,https://www.facebook.com/sunset2.compound/,3.3,3,Damietta,https://maps.app.goo.gl/TnHE46QtHgXWvCF16,not available,31.460313,31.689188,,,,,,,,,,,,,,,,,,,,,Malls,Damietta,Shopping mall
Al Safwa Mall,"al safwa mall, Qism Damietta, Damietta First, Damietta Governorate 8041025",057 2285355,Not available,3.8,"2,260",Damietta,https://maps.app.goo.gl/Rq8Hfr8V35PrEch67,CQ7X+PR Damietta First,31.414313,31.799563,https://lh5.googleusercontent.com/p/AF1QipOhTGJe2aZ1z12-QCCcraD8EFzu0bqUOWhiEe8u,https://lh5.googleusercontent.com/p/AF1QipNW70Rc64CIeQ7bZUeAydXTdEbYtZNuYmoVfvKw,https://lh5.googleusercontent.com/p/AF1QipMcf4yayhPqCXI2gITaYoRXINEo4VVKScZ3ZPzr,https://lh5.googleusercontent.com/p/AF1QipN_8JWXOFn03wksFetUZEXqIYBt-Mhpw0h6g-qt,//:0,https://lh5.googleusercontent.com/p/AF1QipMxbkI7hav_aAFVAXuk2gUHB2Ydg57ILtc4T6Ug,https://lh5.googleusercontent.com/p/AF1QipOM3q83hRVoQDtpiQUq7lruxDUGQjutPdEQaAjt,//:0,https://lh5.googleusercontent.com/p/AF1QipNiI-fIcZp0EPsRuln8NLisq3JZKCwBS8pKYnbG,https://lh5.googleusercontent.com/p/AF1QipN26E4upgam9eORhEvvcOIC-EV57i9R8A9rH120,https://lh5.googleusercontent.com/p/AF1QipNhBNPEe8Cjpw5RSACoaxlB8ir6TR2ByHqE1fbG,//:0,https://lh5.googleusercontent.com/p/AF1QipNi8Ag6wy9IdBzlIwMBUive4dF-cOj2cS_S3U1y,https://lh5.googleusercontent.com/p/AF1QipPBOZLbYIWw0fvnYg0CHiuY1WzUNNXJ8pt-8VyK,https://lh5.googleusercontent.com/p/AF1QipM-uGTctFnVa5PY4XeGX4uKgKrsTta9qoK4JqCw,//:0,https://lh5.googleusercontent.com/p/AF1QipOBEX-VZTDTLtPTeYGxj_Tu_brrr0ke1dtyMoQ0,https://lh5.googleusercontent.com/p/AF1QipPXUZsxZTllhwQAEDrrt8b30k03pVdgVIVlSudL,https://lh5.googleusercontent.com/p/AF1QipPswGhNcaADE3gB8YJMCU6KaXxewP6AXlZx_Oqw,https://lh5.googleusercontent.com/p/AF1QipOGU9kxHpAyya3ITROO5E-bpG7mfD7osl0Kl0tK,Malls,Damietta,Shopping mall
مشرفة بلازا Musharrafa plaza,"CR57+GR8, شارع مصطفي مشرفه كوبري المعلمين بجوار ماركت كازيون، قسم اول،, قسم دمياط، دمياط،, Damietta First",not available,Not available,4.3,28,Damietta,https://maps.app.goo.gl/vR7gaWpfACJ17vsv6,not available,31.163063,31.932938,https://lh5.googleusercontent.com/p/AF1QipNMiQniNgClQfFM11o_Zrt-9aGP_wML4yXJjLh5,https://lh5.googleusercontent.com/p/AF1QipOCx4NHdFoiGRLvZdBFSYhxMgTOm9zc88W4Vs9I,https://lh5.googleusercontent.com/p/AF1QipPYW2HRXtpndlGRDIGhfsU9v5rXywyg-fwdmrpl,,,,,,,,,,,,,,,,,,Malls,Damietta,Shopping mall
مول الحمد,"Damietta El-Gadeeda City, New Damietta, Damietta Governorate 8025002",010 17707647,Not available,3.9,59,Damietta,https://maps.app.goo.gl/hN9Sdnb1J45po7m49,,30.205813,31.432812,https://lh5.googleusercontent.com/p/AF1QipPhJMZ6BR5G9FDNkku9MincFiy8oLx17rmyRx4G,https://lh5.googleusercontent.com/p/AF1QipNEwa1ly0HBgsBsgo_xNAr_B4iz20SqVZNYV9SJ,https://lh5.googleusercontent.com/p/AF1QipMb4HYG7Hdlnx0NJZ4-l3q3auruvfZjYboj4arW,https://lh5.googleusercontent.com/p/AF1QipOhUrJAbSgYPB3nrBBjF1P2HCrY4Q7NxD0odcQo,//:0,https://lh5.googleusercontent.com/p/AF1QipN-r0Mwi6x_HK4O6d7PDSHHLDqrjoB83d71oNQX,https://lh5.googleusercontent.com/p/AF1QipOcQE8VwgEYm4Qx8wonEd1kMycM78pMPF7jH7Zn,https://lh5.googleusercontent.com/p/AF1QipOgab8vJ75ZSvsxotQLmCVklkfeYAvcfEWyTQ9B,//:0,https://lh5.googleusercontent.com/p/AF1QipN5NLt51M1guX9t6FcSUKMC6iGIrCLXixUU0DOe,https://lh5.googleusercontent.com/p/AF1QipP6FvS2GBDCAtq9_E5acAcSgD2Tbk2FuLPrVlWL,https://lh5.googleusercontent.com/p/AF1QipN7jTbNre6ggBQP_vOPxyE9rm1SjOD5dsCyH_Nb,//:0,https://lh5.googleusercontent.com/p/AF1QipOTimAZOd2eta8QcV_C9qT_DOiiLsv-sj2jwWe-,https://lh5.googleusercontent.com/p/AF1QipPDbmftDOB2qXLLl10D8PZZwIuoa5NBNpTK8F4r,https://lh5.googleusercontent.com/p/AF1QipOhLtlW1SGOeA7hOipi8jWXRq7-tRD9EvSUwoLF,https://lh5.googleusercontent.com/p/AF1QipPUfcEWWS7i3Eo4PyjR0_9OW7JtHOrjdnzvLCJU,https://lh5.googleusercontent.com/p/AF1QipOzAFv7wBujbKN9cYgRmQcyoeQW1Fv3xbCvtyOt,https://lh5.googleusercontent.com/p/AF1QipNRSWnT1YagD6stHXDbM3zA_s9XVF9-0_9BFtBq,https://lh5.googleusercontent.com/p/AF1QipMCdb7Sn5ancocpm2kLn299W--CVeCWjqntgLaG,Malls,Damietta,Shopping mall
City Grand Mall,"CMPH+JCR, Damietta El-Gadeeda City, Kafr Saad, Damietta Governorate 8025002",057 2409576,Not available,4.0,"1,409",Damietta,https://maps.app.goo.gl/pY3PSJ19SzeGHzrp7,not available,31.436563,31.678562,https://lh5.googleusercontent.com/p/AF1QipO-Xnxb8nXv58na36abaRmule5ik1mQPHs44kRn,https://lh5.googleusercontent.com/p/AF1QipNK8PYLou_9qY2S1CkZovvBp-WHnRnzZBEuXijF,https://lh5.googleusercontent.com/p/AF1QipPAFbt6IXw-Hr3ozCB6cEPHL770JvJiMh06SHMr,//:0,https://lh5.googleusercontent.com/p/AF1QipNVnchhKY-QxW-YvZMEKlbPgf807-4Wtor-IVe5,https://lh5.googleusercontent.com/p/AF1QipPzE-Vcmw2iSnle7TCJ8ytGJhTEpMTpBFCCGHfL,//:0,https://lh5.googleusercontent.com/p/AF1QipOPlMm-Md_dDCJNO4yV828yEICMfkmuIL8V13KF,https://lh5.googleusercontent.com/p/AF1QipOBKuLZxi_0tyEq7YuDXnoiGQOzMo92_n6vWu4R,//:0,https://lh5.googleusercontent.com/p/AF1QipOdT15Fc4Oe31g6H72HfOPT2Dar5pCGxEPoofmY,https://lh5.googleusercontent.com/p/AF1QipPTUTlxEgLT_j-4MVxc6jftZMzWxGX4bCSZKGDK,//:0,https://lh5.googleusercontent.com/p/AF1QipOnmpIT9cGaVq-nIJ8zp5ZscvLJO8_7RHZO3Jbt,https://lh5.googleusercontent.com/p/AF1QipNk-9NGZKKtHxs-CmunB67gCMwYFH_sULK0k52u,https://lh5.googleusercontent.com/p/AF1QipPlQ46UW7U-ofyVpWJ3qNTx5WdTCdAz0ezU4KqG,//:0,https://lh5.googleusercontent.com/p/AF1QipNNG9MCoQw1WNi6Yfgk0wpfJiBZl6gntGfI1RqJ,https://lh5.googleusercontent.com/p/AF1QipMp9fsoEavKETIsVGBjlVjuYxd_EVK1gxLIoHHQ,https://lh5.googleusercontent.com/p/AF1QipP5P-5Uj_rcPwFtQoFy4wKNfdaUDEnuL8vAA2yB,Malls,Damietta,Shopping mall
سما مول,"CMJM+QWM, New Damietta City, مدينة دمياط الجديدة، مدينه دمياط الجديدة، دمياط،, New Damietta",010 90755770,Not available,5.0,1,Damietta,https://maps.app.goo.gl/6dmt9EbvQdozENYA8,not available,31.431938,31.684812,https://lh5.googleusercontent.com/p/AF1QipMf6wv2sYzJbBL2Ii_SgHokX6RRPCGIMLlVExow,https://lh5.googleusercontent.com/p/AF1QipMK_LKDFhpp81W3c06usgaC-Ppjd4ebOQM3KTIs,https://lh5.googleusercontent.com/p/AF1QipOzZnwDSqbn_phPshOAejwoj2QdynuOGar58O45,,,,,,,,,,,,,,,,,,Malls,Damietta,Shopping mall
Hady Mall,"CMRH+965، مدينة دمياط الجديدة، كفر سعد، دمياط، أمام بنك الاسكان والتعمير دمياط الجديدة",010 00001608,Not available,3.7,"1,743",Damietta,https://maps.app.goo.gl/864yHvNWw6F7FcD99,not available,31.439937,31.677563,https://lh5.googleusercontent.com/p/AF1QipOcxHJt8EiPGjmPNszCORUWZfQkl05WljP4vhlM,https://lh5.googleusercontent.com/p/AF1QipPJC8y2caiPCFCkkr_hoYij5u4x0cBr1uDgYQcl,https://lh5.googleusercontent.com/p/AF1QipPEQRp_Ph5_ZHfglFDjbEbNPn-eFATuah98aSFs,https://lh5.googleusercontent.com/p/AF1QipPuH47vFcWBnXtObF-YIFI1foyPSIZrCMLfO0_d,//:0,https://lh5.googleusercontent.com/p/AF1QipPkgDkIKIqqtNiTBeNef8qBC7AO-uByf89JRPLK,https://lh5.googleusercontent.com/p/AF1QipPqUai-PqU73f8SFlFA6MioGN6q8YfjiVBYrtsT,https://lh5.googleusercontent.com/p/AF1QipO19mv8pPnG3lF5vtPPcWyGzf_lKqY55u2HbFeR,//:0,https://lh5.googleusercontent.com/p/AF1QipOA-DJcy7yAsIlLXbIBjSIdStYj-OsJAHfCtP2b,https://lh5.googleusercontent.com/p/AF1QipOjMceDqWTRxZaQkER6FtLF3Gw_Jil2Qrh7rnPD,https://lh5.googleusercontent.com/p/AF1QipPE7zgpBVw6SOTL_yMy91NWhyNLSFOetTNYetkW,//:0,https://lh5.googleusercontent.com/p/AF1QipO-Tglf0H1EOyuoC137Pr4pbM1vWZMsfD3SjwQO,https://lh5.googleusercontent.com/p/AF1QipMmqlSi3ZguxdDgOD9wPqKzzKsLzGQxL0NfJPyR,//:0,https://lh5.googleusercontent.com/p/AF1QipOUDqbFepDw5siaYW9EyFWxszPWPJniZAVQ8vxZ,https://lh5.googleusercontent.com/p/AF1QipOV4pnLXhYks7jewkPD9Vlnssv-JztBb5Sq9aKx,https://lh5.googleusercontent.com/p/AF1QipOUR2DBvxdfPfAdiMdfZ_lO_p6oPQnD4sx0KJS-,https://lh5.googleusercontent.com/p/AF1QipOzkkvFR_HfjhHCfhQAIFp8eHuxbfyAIQnydKpa,Malls,Damietta,Shopping mall
مول زهران,"Qism Damietta, Damietta First, Damietta Governorate 8040330",012 29722846,Not available,3.6,"1,376",Damietta,https://maps.app.goo.gl/UDooyEG8yYRUUNxC6,"CR66+7V Qism Damietta, Damietta Desert",31.410688,31.812188,https://lh5.googleusercontent.com/p/AF1QipPMCTCGgvJe-27OwAD2hVkDee7w1mHRX-mT8Fz6,https://lh5.googleusercontent.com/p/AF1QipPh6fhbHsEATDFp6wHQfmadMmczA506TUWF3zN0,https://lh5.googleusercontent.com/p/AF1QipODNtwr4gjPyoL1BlKS_QYagLGdn2G9IdudODxV,//:0,https://lh5.googleusercontent.com/p/AF1QipNyponpiV4SnI3TowHHi69ad1opC9nemawHaMkR,https://lh5.googleusercontent.com/p/AF1QipMOhg6Ndw9IpV7UEGFd7G2_XhPyypYWnfOMhER5,https://lh5.googleusercontent.com/p/AF1QipN3NKRk0ayr473T7w53PTWEQJ5FCRDX0MeXisgr,//:0,https://lh5.googleusercontent.com/p/AF1QipNNSQbjQ7-8i0NO3ZMpls2LECjEGfghSzJyh4I,https://lh5.googleusercontent.com/p/AF1QipMZw4x-uP4vY42gYHUnQb6yDyq3ZWBENA3Pk7rJ,//:0,https://lh5.googleusercontent.com/p/AF1QipOTVMp8PN-M1r4lXSXpmoHNj1ype7b0EWQVU749,https://lh5.googleusercontent.com/p/AF1QipOqWLyZDOvLxxilHE-OrCcFwK9xkdnmun0SSltE,//:0,https://lh5.googleusercontent.com/p/AF1QipP57RTy7jSWz_2OipHuPw25QuvQvNvneCQl3qAy,https://lh5.googleusercontent.com/p/AF1QipNB3kOkS6rdQH4n1afpk_F9GtA76xkI1F__vri7,https://lh5.googleusercontent.com/p/AF1QipMZR-7uf7hD1GqYKkDsvluYnwkgqNqiIFha328q,https://lh5.googleusercontent.com/p/AF1QipNHCMv0eOoJZvv0OVWsO0W95wH0xZ70uk7ccfJk,https://lh5.googleusercontent.com/p/AF1QipOTj_ICEa9T3pp50JkYzOcQx7Iba48ccGOq4zua,https://lh5.googleusercontent.com/p/AF1QipMsM8TuRwA1gRY2tyD6D1ljC-a9w71vlwzdNkV4,Malls,Damietta,Outlet mall
Panorama Mall,"FM4X+48H, Damietta El-Gadeeda City, New Damietta, Damietta Governorate 8026203",not available,Not available,5.0,1,Damietta,https://maps.app.goo.gl/2RK5gqc4EkS11W4Y8,not available,31.455312,31.698313,,,,,,,,,,,,,,,,,,,,,Malls,Damietta,Shopping mall
