Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Turquoise Mall - Fayoum,"Port Saeed, Qesm Al Fayoum, First Al Faiyum, Faiyum Governorate 63512",015 01308805,fb.com,3.7,197,Fayoum,https://maps.app.goo.gl/2GeMWwSRbfxuMyWq7,8R5Q+M5 First Al Faiyum,29.309188,30.837938,https://lh5.googleusercontent.com/p/AF1QipMmgufULnnUDLUfNwpEVdX91ZQRI5D8ttqHCWNn,https://lh5.googleusercontent.com/p/AF1QipPRp00itB8gYex5K0-WcxRzKym_LrE-TRAAVGmJ,https://lh5.googleusercontent.com/p/AF1QipNEWL32-vUIbqWonVsucJ39MtAfWEui9-FrTmDP,,,,,,,,,,,,,,,,,,Malls,Fayoum,Shopping mall
سيتي بلازا,"شارع Ahmed Shawqi, Qesm Al Fayoum, First Al Faiyum, Faiyum Governorate 2933180",010 28422304,Not available,4.1,115,Fayoum,https://maps.app.goo.gl/wtPLueXpg6uzdxYe6,8R6R+R8 First Al Faiyum,29.312063,30.840812,https://lh5.googleusercontent.com/p/AF1QipNpHFC5yA1qH5nMN1iaGZIMHstbvl85htfRRysa,https://lh5.googleusercontent.com/p/AF1QipObVzctPI7DrJPCTEZXRmb-eYTBpvF5JBY-f5QI,https://lh5.googleusercontent.com/p/AF1QipPqtiLaW9qXVbtQ2Na5gDlPSeo7qjjXpqpbux0M,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOmvE4y6uPosU2Az1tPyq2H6gACetf5KBUDq2tj,https://lh5.googleusercontent.com/p/AF1QipMohFr_gJfQ1_i_mIULc1BioEqsj4F5T2fND-6k,https://lh5.googleusercontent.com/p/AF1QipPkqsSfaS-_bbAM7Mtafc9PzIDy51ZCROf9YYTY,https://lh5.googleusercontent.com/p/AF1QipMpd4sQ9bQ57AWmKGap33Uj7VSsz6zGjh1YbjmI,Malls,Fayoum,Shopping mall
Fayoum Commercial Center,"8R4V+VCF, El-Qady Kamal El-Deen, Qesm Al Fayoum, Second Al Faiyum, Faiyum Governorate 2922442",010 03646369,Not available,3.7,30,Fayoum,https://maps.app.goo.gl/QaBSWMsAqwqmDxCPA,not available,29.307187,30.843562,https://lh5.googleusercontent.com/p/AF1QipN1o8PPRv76QCSUmVvIAZ1Le5N4IjWM06DGE7u0,https://lh5.googleusercontent.com/p/AF1QipN5C4iAQC4nb7COt7yaFbwch8RddpcPtraqNOFu,https://lh5.googleusercontent.com/p/AF1QipNZ1PZeWe5DPT5vyS-w4bFoB2Msrux3Pvi9JucG,https://lh5.googleusercontent.com/p/AF1QipPUUUJRw_1cjxorLmufnDlkJwEMo6U22LkzJ1Xy,https://lh5.googleusercontent.com/p/AF1QipMRc0ePn0hCem_DZHrQuWoE9JDdFO3V2eAmXcjL,,,,,,,,,,,,,,,,Malls,Fayoum,Shopping mall
احفادابوالحجاج للمسامير,"7RQV+QF5, The Ring Rd, Al Eelam, First Al Faiyum, Faiyum Governorate 2942213",not available,Not available,2.7,6,Fayoum,https://maps.app.goo.gl/PbpaUrcufzbed8pG9,not available,29.331250,30.866250,,,,,,,,,,,,,,,,,,,,,Malls,Fayoum,Shopping mall
اولاد ابو كرم,"8R3M+8HQ, Adli Yaken, Qesm Al Fayoum, Second Al Faiyum, Faiyum Governorate 2922201",012 27785988,Not available,3.8,61,Fayoum,https://maps.app.goo.gl/gGdAH2pVZypcspMPA,not available,29.303562,30.834437,https://lh5.googleusercontent.com/p/AF1QipN6CR0nCWBKv3ImZkLi4-ZNE0AilR2_5YiPxer1=w408-h544-k-no,,,,,,,,,,,,,,,,,,,,Malls,Fayoum,Shopping mall
ams number one,"8VC4+PQ5, Gamal Abd El-Nasir, Qesm Al Fayoum, First Al Faiyum, Faiyum Governorate 2934253",not available,Not available,4.3,4,Fayoum,https://maps.app.goo.gl/D73XDt4gu1bPJa337,not available,29.321250,30.856250,,,,,,,,,,,,,,,,,,,,,Malls,Fayoum,Shopping mall
مول علاء الدين,"Moussa Nezar, Qesm Al Fayoum, First Al Faiyum, Faiyum Governorate 2930356",084 2364035,Not available,3.7,407,Fayoum,https://maps.app.goo.gl/tGYkWN7ecPraQfrZ7,8R6R+47 First Al Faiyum,29.310313,30.840688,https://lh5.googleusercontent.com/p/AF1QipOzzdXjGmnnDyaH02MzUKFwtE9KZGKoUHzaw3_G,https://lh5.googleusercontent.com/p/AF1QipMbeK8lSApw1ZeY-JaLFLZ39vMqfX2SspOUlncv,https://lh5.googleusercontent.com/p/AF1QipOFSpWVkSsGpEFHsk7pEaNG8CBpRAAcBY25U8Mp,https://lh5.googleusercontent.com/p/AF1QipPHMb6uzs3qvXpYUFDnkf2lcZgjSwptaBOZrIsZ,,https://lh5.googleusercontent.com/p/AF1QipPDWdnChczXNRgAVX2EXpEY6__9lCV8StuAHOU3,https://lh5.googleusercontent.com/p/AF1QipOgaHFmjT9Oa1KqQJk71quntwOXu0lgELo0fass,,,,,,,,,,,,,,Malls,Fayoum,Shopping mall
معرض ابوالدهب للتجارة والتوزيع,"9R92+FJ3, بحيره قارون_الفيوم، بني صالح، الفيوم،،, Bani Saleh, Faiyum, Faiyum Governorate",010 07089894,Not available,5.0,5,Fayoum,https://maps.app.goo.gl/mwQK8dDK2iE757ae9,not available,29.358750,30.803750,https://lh5.googleusercontent.com/p/AF1QipOYdjaZ63QYhvCh0b7PSYOmUMrPmQ9XrmoJxmRK,https://lh5.googleusercontent.com/p/AF1QipOdgujhAR6B8X6Zq7iDEyt0RSDdbDzk9-Wi6fYr,https://lh5.googleusercontent.com/p/AF1QipP879b8v6nSGAm9DZRU_hC36H6KF0N_CPqwlZxm,,,,,,,,,,,,,,,,,,Malls,Fayoum,Shopping mall
كيمان فارس - الفيوم,"كيمان فارس, Zawyet Al Kerdasah, Faiyum, Faiyum Governorate 2945224",not available,Not available,3.7,121,Fayoum,https://maps.app.goo.gl/TN64oGcCVmvkfjfS6,8RMG+66 Faiyum,29.333062,30.825563,https://lh5.googleusercontent.com/p/AF1QipOFP33D_uKnKoXg7qJLRRm-ENQvdcSJGwhaDnNj,https://lh5.googleusercontent.com/p/AF1QipNRgJRr_A90yj_lwNMUfrrRogBQr3pUugUw-p-T,https://lh5.googleusercontent.com/p/AF1QipONax3lBWZk1XM2trFYhrY1Z28x5q6CG0SybdXX,https://lh5.googleusercontent.com/p/AF1QipM6Qw_WJu30Ravx4npzELETR00mJTbdQdO1E19a,,,,,,,,,,,,,,,,,Malls,Fayoum,Shopping mall
AL-Nasser Center,"شارع البوسطة, El-Gomhoreya",not available,Not available,3.9,"1,002",Fayoum,https://maps.app.goo.gl/VqWRBwzbYAYqhjGq6,8R4X+H9 Second Al Faiyum,29.306438,30.848438,https://lh5.googleusercontent.com/p/AF1QipNNuKDA2js07n9i1G4MP7VDRIm8N09Ez-xkTmAg,https://lh5.googleusercontent.com/p/AF1QipORk2Cj58XRgXvUTOSnKIJ-7v4OKd7HtzSF4mqi,https://lh5.googleusercontent.com/p/AF1QipPszwd7wmauYTrqjoaL6tQMWBTJwlhGzq0m3vBY,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNh5xwrR4mBY9Xznsm6StG4KvYMYohs7isTNPxB,https://lh5.googleusercontent.com/p/AF1QipNqCLSYw5HG_1B16eL6zLBMEhZKpV6HWbVkPAyc,https://lh5.googleusercontent.com/p/AF1QipP-auBlcCCFZ1mnylweDvqPWl_5EXZvmaUzaCgb,Malls,Fayoum,Shopping mall
