Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Mall of Tanta,"Mansheyat Al Awqaf, Tanta, Gharbia Governorate 6646940",not available,malloftanta.com,4.4,"7,642",Gharbia,https://maps.app.goo.gl/BbymMj2Ka2iEvEJK7,R2R9+G4 Tanta,30.841313,31.017812,https://lh5.googleusercontent.com/p/AF1QipOlTIf1dmBRmAymBmXSItca2c-qFasrjhP4ypvJ,https://lh5.googleusercontent.com/p/AF1QipNk4A2XIUZTP5Uivrx5kR7soOaAIV6N4pB-q6JZ,https://lh5.googleusercontent.com/p/AF1QipMPJzjVOLB3FdPeIFxjNfAIETDC3DSalfvXahuy,https://lh5.googleusercontent.com/p/AF1QipMFs37FhBgx6nL6Cn7Z1FVCVZgZ3OyYVOqn1A-c,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPZ9L24vXvTXk9hH0Yf7EoFuOG_HLTduxRPkngH,https://lh5.googleusercontent.com/p/AF1QipM0Ecki--4BSER8AXX-jr9Pvhw2H8h0PQPS3xZw,https://lh5.googleusercontent.com/p/AF1QipPssJX1w3iGEEwqLbm6K0lbedAQ07gtKwPuVnAD,https://lh5.googleusercontent.com/p/AF1QipMayCnOw08XvStyv4sxDj4SI65I5ENLM7Dd1lsl,Malls,Gharbia,Shopping mall
Orouba Mall,"R23F+96M, Tanta - Al Mahallah Al Kubra Rd, الكبري, Tanta, Gharbia Governorate 6647103",not available,oroubamisr.com,4.1,306,Gharbia,https://maps.app.goo.gl/RsMV8p5QGDytf3678,not available,30.803750,31.023750,https://lh5.googleusercontent.com/p/AF1QipMiBHuH2HhimligI3MsiQUjIEOKYl7fDLA32ZiT,https://lh5.googleusercontent.com/p/AF1QipPD8yELfN9p7qEYO4cwRUDH1hC0OqkZMulMaFkf,https://lh5.googleusercontent.com/p/AF1QipMiTQyOgJ2yZ6rMp6cLgAx1sJVkJsJw0LvNj2OS,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPaKFmDvTvCI6dPrhShQI-nkKnTwY5weCXOBXYh,https://lh5.googleusercontent.com/p/AF1QipMPWgSyn3tVOvefP7Hi58uxHwMcMdEOT1eTfCTS,https://lh5.googleusercontent.com/p/AF1QipN6ZMEf5u4DBWZe2p87jxOn-C9-DWeUGKDcCGBd,Malls,Gharbia,Shopping mall
شركة النعيم للآلات الزراعية,"QXR3+R95, كفر الزيات, Tanta, Gharbia Governorate 6640420",012 75882665,Not available,4.5,6,Gharbia,https://maps.app.goo.gl/ATFVpykoRW4Pm9HN9,not available,30.792063,30.953437,,,,,,,,,,,,,,,,,,,,,Malls,Gharbia,Shopping mall
Tanta Town Mallاول البحر,"Tanta Qism 2, Second Tanta, Gharbia Governorate 6632055",040 3411754,Not available,4.1,66,Gharbia,https://maps.app.goo.gl/aJDHGhx13rQEJSKz7,Q2P2+96 Second Tanta,30.785938,31.000563,https://lh5.googleusercontent.com/p/AF1QipOCy1A7tM4b4I9dVuFl24yvaYiwz8vD15Pxbz5x,https://lh5.googleusercontent.com/p/AF1QipOAt5CTcnT9ctYp_VMf_PdCHiOHyWQTorvh9O8j,https://lh5.googleusercontent.com/p/AF1QipO2LT69vD1qKeur7hjbwoF8hNy6LLgcuwl-CVc,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOeTGHlB_t-VkMcVyljGq-olPiqA_VO-PmsYIJx,https://lh5.googleusercontent.com/p/AF1QipM1cF2o0fXx8V4N9nGaLw80RhOUEPzxq0h-ZKle,,,Malls,Gharbia,Outlet mall
Cheval Mall Tanta,"الأستاذ, Tanta Qism 2, Tanta, Gharbia Governorate 6634002",012 07386660,Not available,4.0,608,Gharbia,https://maps.app.goo.gl/Z1C7eP8C577nn3YUA,RX4W+X3 Tanta,30.807437,30.995188,https://lh5.googleusercontent.com/p/AF1QipO6F4A2UtM9oma4of_VNP_e9D0aqDyxq6VmMCLr,https://lh5.googleusercontent.com/p/AF1QipPKhatZYS69_kWtxcgexE-eD3HowBE5w9D9Yn8,https://lh5.googleusercontent.com/p/AF1QipM-LDEfLGik31DCj8cpM9TEqw7n_E54H3rQ0oUQ,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipP_81VMaE_MlpR5tPqk0vpTkhin-ABp6jnM1uY0,https://lh5.googleusercontent.com/p/AF1QipNpg3uW5a9gKEi4trzbR2i2AD0LUMdrmqMVlhv7,https://lh5.googleusercontent.com/p/AF1QipMLQFw_rqZSsXXDDDw5AWjHano7SsNRmfmLGIFl,https://lh5.googleusercontent.com/p/AF1QipNWhcU1GtC-FAtmHJeCOUPhzOV4UBYwwhy87T4f,Malls,Gharbia,Shopping mall
Delta City Hotel,"شارع النحاس، Tanta (Part 2, First Tanta, Gharbia Governorate 6623299",040 3417058,Not available,3.6,"1,126",Gharbia,https://maps.app.goo.gl/RLDnaPfDhPAvodYb8,QXVX+W3 First Tanta,30.794812,30.997687,https://lh5.googleusercontent.com/p/AF1QipOoegEzNGQvk2qzYQ7zn36lxUlJjSKpi9qWklCb,https://lh5.googleusercontent.com/p/AF1QipPZDX0bcTOR9FAXjg7FsrzEPakhmj3Espkrd-8M,https://lh5.googleusercontent.com/p/AF1QipPLqJncLiUXqmaVXoX2x7-EH9wddny5YieVCVB4,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNFX4G-8BuAL6luBERFAIDrXarwX5WzrNwAeYTV,https://lh5.googleusercontent.com/p/AF1QipPH90rqm8kj1b13jmlgxkIu5_7Gr6YxoLX7tebx,https://lh5.googleusercontent.com/p/AF1QipM1oboAgNo5u_ZzWpAy1X64EWhPE9bBYV3BYBS1,Malls,Gharbia,Shopping mall
شركة أشرف الأسباني للمفروشات,"طريق المحلة - طنطا،, Sabarbay, Tanta, Gharbia Governorate",012 29561171,Not available,4.5,11,Gharbia,https://maps.app.goo.gl/3xC98jggBXA9oHxf6,R26J+V9 Tanta,30.812188,31.030938,https://lh5.googleusercontent.com/p/AF1QipNdltLpoTr-8clURKsyOm8-YILmo5dHHHfSpkBb,https://lh5.googleusercontent.com/p/AF1QipNgIlclsRArrkecg0XUZKKqp4tQ8R55m1AroS5s,https://lh5.googleusercontent.com/p/AF1QipOd1LTXlVQ19_O1asFBCmjoI-ooukapwaa0TcmK,https://lh5.googleusercontent.com/p/AF1QipN0C2QjU-FK-rEQUg0s6z3OsO57nUu9dcRQEoei,https://lh5.googleusercontent.com/p/AF1QipOHvtRxoGgbM7h7h84y5TIfNi78LENZpx-lrfwh,https://lh5.googleusercontent.com/p/AF1QipMqSDX3jGFHJi7ZTG-rLOzxpvwuZOheBknZGx0D,https://lh5.googleusercontent.com/p/AF1QipMyjQA-sy7UXcfebOQOMGJq4M36BbOdUnion9yw,,,,,,,,,,,,,,Malls,Gharbia,Shopping mall
سيتي مول,"سكة طنطا، المحلة الكبرى (قسم 2)، المحلة الكبرى،، المحلة الكبرى (قسم 2)، ثان المحلة الكبرى، الغربية،، طريق طنطا - المحلة الكبري, Gharbia Governorate",X554+MX El Mahalla El Kubra 2,Not available,2.7,3,Gharbia,https://maps.app.goo.gl/FytTCmKwhKy4UUzV9,X554+MX El Mahalla El Kubra 2,30.959187,31.157438,https://lh5.googleusercontent.com/p/AF1QipNbMEijZTQnVTN_8RnBeNb8XIQ6H3zmaNXRSQw,https://lh5.googleusercontent.com/p/AF1QipN977blJxhlJ4snJxysKuar9u2hNu_m5HQxYkk,https://lh5.googleusercontent.com/p/AF1QipM6gKZz4_Bso3AGjyafhFzJ2gCMoMecrlYFKLg,https://lh5.googleusercontent.com/p/AF1QipOqJyAdJAK1x6J_dKVddjowVl2XAFjhm2AoDzQ,,,https://lh5.googleusercontent.com/p/AF1QipN7e8T4_I1OAVgl3Ts_7Lxt0pmlQFKf2Atru_Y,https://lh5.googleusercontent.com/p/AF1QipP22ey57yFXBuYXwyWx2aOlk6vRGOU9qKbJ1cbr,https://lh5.googleusercontent.com/p/AF1QipOOe4b5QhO-jQcOXEY2nwZJkIe5fnjJ5IRLgjM,https://lh5.googleusercontent.com/p/AF1QipMApMyCKXSDQtptPoE8oyUzmFdCZZcnlFhYAXs,https://lh5.googleusercontent.com/p/AF1QipMHjJECNacXHy5x0awr9BVDVAd0vUKeaZ3voQI,,,,,,,,,,Malls,Gharbia,Shopping mall
عالم حواء,"Elhayatem, Al Hayatem, El Mahalla El Kubra, Gharbia Governorate 31812",012 01747791,Not available,5.0,3,Gharbia,https://maps.app.goo.gl/nZN1C78btm1a6qHAA,W474+W6 El Mahalla El Kubra,30.914813,31.105562,https://lh5.googleusercontent.com/p/AF1QipO7b05p0BxwcJM_6d7m2Zxr-o8KsxdNGRN-3PLH,https://lh5.googleusercontent.com/p/AF1QipPsi4AjLOe_3I9ZXd2FCJfA2VOmUxn9Wj-bkFf8,,,,,,,,,,,,,,,,,,,Malls,Gharbia,Shopping mall
برج قرطبة محب,"Q2W4+W2H, Tanta Qism 2, Second Tanta, Gharbia Governorate 6632551",not available,Not available,5.0,1,Gharbia,https://maps.app.goo.gl/QWJzyqW1GrSP82ux9,not available,30.797312,31.005063,https://lh5.googleusercontent.com/p/AF1QipNwyPsd_rzX5VqMVgWkTFGkMoqDY2tyZdywt_n_,https://lh5.googleusercontent.com/p/AF1QipOoOdfB3wnT3cSlNWdtkX43FKITi2iCMLhJ0J1z,https://lh5.googleusercontent.com/p/AF1QipPU-BzZWHuQAAwyfzdpdBjhbutLYZl3Vqa0b4g0,,,,,,,,,,,,,,,,,,Malls,Gharbia,Shopping mall
