Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Mall of Egypt,"El Wahat Rd, First 6th of October, Giza Governorate 12573",02 36120084,mallofegypt.com,4.6,"65,586",Giza,https://maps.app.goo.gl/BptyvVXmx5xQGdhr7,X2C8+XH First 6th of October,29.972437,31.016438,https://lh5.googleusercontent.com/p/AF1QipOOwGHZh46jj-BAn4QwOldCF9e2XIeR9JWhTnBG,https://lh5.googleusercontent.com/p/AF1QipMxxzzdNV8qozm4UVLEHYcaHFfBFy158hTRa0i3,https://lh5.googleusercontent.com/p/AF1QipOUePoGw9mfyF76zCkAFmbpDkNzpC7qCT_iMMs6,https://lh5.googleusercontent.com/p/AF1QipP2qShFzWYD59vuXSMUZj7gKrf4dFeYySgkCAcH,//:0,https://lh5.googleusercontent.com/p/AF1QipPNQiHNZsZDADhZ9XzTMW-SP1fJH5yNWWzRxgKn,https://lh5.googleusercontent.com/p/AF1QipNHJK8LMSjmUjzLBewJNzYYCOali8wsnRTMJexb,https://lh5.googleusercontent.com/p/AF1QipNIfaRU7_DhzIwUPAfCPPhk8aFRyhsj92KSAen1,https://lh5.googleusercontent.com/p/AF1QipM0y680z3aQZmJMnounGFBQP_iDjFrwW4vn6L-B,//:0,https://lh5.googleusercontent.com/p/AF1QipNAtZDCmycFkoBPKSqQjsQYItEBKX8Y6tesuhRR,https://lh5.googleusercontent.com/p/AF1QipOIVCCNtg5g094YCOLM7k9QE09VP1Gixau72j1r,https://lh5.googleusercontent.com/p/AF1QipOB-T7nWnKS8WQ78vei96FFpF6lvd1HSqMqTBuY,//:0,https://lh5.googleusercontent.com/p/AF1QipPoZ4dfHE7FDLp0tat92f52G87jCiMw95WOwh33,https://lh5.googleusercontent.com/p/AF1QipPgTtTaGNUpce6pruAKNkxjZiHQsddsJy1MMwXe,//:0,https://lh5.googleusercontent.com/p/AF1QipOA5WgbURsb5FUMYMDdCOf0CASg9YxdG7aVPNiq,https://lh5.googleusercontent.com/p/AF1QipMuruzBrcCVBdNnfTii61ZJB-yEHMJK5BGHQmne,https://lh5.googleusercontent.com/p/AF1QipOOeJzi2Uz0JcrtI3u8TD-Ma1_IWDRvuGTJqFOn,Malls,Giza,Shopping mall
Mall of Arabia,"First 6th of October, Giza Governorate 3236020",02 35353121,Not available,4.5,"69,695",Giza,https://maps.app.goo.gl/Tb789kXyy8r1tZVm8,2X4G+J5 First 6th of October,30.006563,30.975437,https://lh5.googleusercontent.com/p/AF1QipP-iYmN2f6MiOEwdhynmsbGIUOzh0HNbendOh79,https://lh5.googleusercontent.com/p/AF1QipOuXNEzoIlc_XjcIde-VJhyWLhVX4GOpbtVzG-c,https://lh5.googleusercontent.com/p/AF1QipN8LA22M2Bsl8u7MnxC9RKZREJlEuP7oelt08YW,https://lh5.googleusercontent.com/p/AF1QipMw9fIupEnkNXCW8zw-Sj7d-haw6YuMPRjC_Smn,//:0,https://lh5.googleusercontent.com/p/AF1QipPyyqgx2uhejSEiIlzJYQMHg3tqCk0nM1IEiNt9,https://lh5.googleusercontent.com/p/AF1QipPVP3bmbgS9duR7DTF0ME-lNbOuvokxToTJS5hd,//:0,https://lh5.googleusercontent.com/p/AF1QipN3EXJG9GFhStHj0FudmOFtyJVfBv4ryl9KR9p6,https://lh5.googleusercontent.com/p/AF1QipP_06iQUP_OEFWYzCpibieQLmyO02iorNNww2gV,https://lh5.googleusercontent.com/p/AF1QipObO-CGFGEcEazwscCwycRHCeYUC0W3W3Ns122l,//:0,https://lh5.googleusercontent.com/p/AF1QipPWwcvhribZKezxJOKu93VT3gvb5Qejh3b9US9K,https://lh5.googleusercontent.com/p/AF1QipMrcmBv6o8Zv-Aaxm_TpgqwtJ5YIrdHKnR0wL2S,https://lh5.googleusercontent.com/p/AF1QipMV7ATWGdjvkAy9nYmy15n720ZGpIwPiWjSHZxe,//:0,https://lh5.googleusercontent.com/p/AF1QipP3E4fPt7rvtZUKLz8viy4mwrm_rZUqlht5Qd8f,https://lh5.googleusercontent.com/p/AF1QipOJh8ro_p6DWMy_s3a6iTE5K-C4-cKWfC1CtTJM,https://lh5.googleusercontent.com/p/AF1QipOXio3Td4HeYufwlbaU8cUcAeD3mEPeM9xDjUlN,https://lh5.googleusercontent.com/p/AF1QipOyhKO3EdwKxfdmBXFtMIzvKkgXr8zXLfeHXxY_,Malls,Giza,Shopping mall
Dandy Mega Mall,"Dandy Mega Mall, 28 Cairo - Alexandria Desert Rd, Kerdasa, Giza Governorate 12677",02 35390932,dandymegamall.com,4.4,"34,789",Giza,https://maps.app.goo.gl/zZbwteQJxVEQywvY9,327G+CW Kerdasa,30.063562,31.027313,https://lh5.googleusercontent.com/p/AF1QipNQ5Iv2hfB37FAD0Oj_d4VGM_zgtpsHNorqTT9L,https://lh5.googleusercontent.com/p/AF1QipNcUrpHutG_k41F_9O3oLZfiNZRKUJh8UShhsKa,https://lh5.googleusercontent.com/p/AF1QipPQPs6ZNvG00KKWMIua1uR7ghuVFtnArPzykxxh,https://lh5.googleusercontent.com/p/AF1QipOMGsRNWqYoXFGLLSVGhy2F4T4PzUe-GrYk_ju8,,//:0,https://lh5.googleusercontent.com/p/AF1QipPSZhtT1CbWBCeg_sHCZuitjB9PWhA6CqTchILM,https://lh5.googleusercontent.com/p/AF1QipMk4ie3YN-hsf1QvzIWdISwRnNuHWhqohmHaGk,https://lh5.googleusercontent.com/p/AF1QipMKOAhr8DVnFWbHDBM5OE_cAlCeDx_e7UmZMCEQ,//:0,https://lh5.googleusercontent.com/p/AF1QipPZd4TMnAn2tldi3FWuaIV3TY9pfk-bZq3nGDOb,https://lh5.googleusercontent.com/p/AF1QipMUJyS86F7OtaabIriID2bLsf4GbXEvVfx8PSQW,,//:0,https://lh5.googleusercontent.com/p/AF1QipO9Er6uC9cL-vDOvNsuRk7g0fA3TasgFtx5bwdp,https://lh5.googleusercontent.com/p/AF1QipMfk5XpqKUaeAPi-1aM0sF0KmbH8WfsT2SylxNQ,https://lh5.googleusercontent.com/p/AF1QipPeik1Ogct6R5Kai39DyG-sGFC8Nz7LJi6VHzYc,https://lh5.googleusercontent.com/p/AF1QipO0kbcV8zwuiaGKBPbAFDSWyHxtiO0Ha3HSBJxP,https://lh5.googleusercontent.com/p/AF1QipNrpuHX9lqvjxhC7O4sMaWEBMwKwGK4iVIZ06Kj,https://lh5.googleusercontent.com/p/AF1QipNrny6KM5sBkO-O5i-sj9cz94R5la_Jva0cTao2,Malls,Giza,Shopping mall
FYVES Mall,"Waslet Dahshur Rd, Second Al Sheikh Zayed, Giza Governorate 3242501",not available,Not available,4.4,136,Giza,https://maps.app.goo.gl/VwC6VLrpuyqePYbNA,2XV3+78 Second Al Sheikh Zayed,30.043188,30.953313,https://lh5.googleusercontent.com/p/AF1QipM4-iEQXM7VT6wT332BLEN4YuVREIh_XP1qEN-s,https://lh5.googleusercontent.com/p/AF1QipNIppziuVt4ht1qI0DarQmA-Crs7bDQx6WsAMmx,https://lh5.googleusercontent.com/p/AF1QipOzkfbvMO15QMLbdRKny_9lPAjEdxuR_DPO74Mw,https://lh5.googleusercontent.com/p/AF1QipMS5SGkYxi9qw1eoZaTfxQuWWsXlO6wjSojihrZ,https://lh5.googleusercontent.com/p/AF1QipMztksnrT_KGZzCFP76pWLikQwOTstJu64RBbgA,//:0,https://lh5.googleusercontent.com/p/AF1QipMoBLMT8r15Ny3INxJPw20JlYruluc7XPTS-x2A,https://lh5.googleusercontent.com/p/AF1QipOX38d1-pIw0_DTJLKGB6F0GpGGQ8qTL0S9OMy6,https://lh5.googleusercontent.com/p/AF1QipMSyME-e-wjk4sI8SwAY7cb_TCBCXbEOoWMID61,https://lh5.googleusercontent.com/p/AF1QipMmjHhbwzurc_FVKVaTSbdxlxF-TNHwQlC1HSVk,//:0,https://lh5.googleusercontent.com/p/AF1QipPFbxCjy2SI5mwXH3cGzfMMURBzW7Jli8ab4koo,https://lh5.googleusercontent.com/p/AF1QipOfu9t2yYFHfCIE0Jheiy_TXdMAcbaTzLO09g4-,//:0,https://lh5.googleusercontent.com/p/AF1QipMkXQKmcMUoKPwdGzlB7fynpo1Byd7KKnF9KXHn,https://lh5.googleusercontent.com/p/AF1QipPMZ69hCr7ySxR0bfr5mpiLFYOywIakC3ixhGQv,https://lh5.googleusercontent.com/p/AF1QipMLRFBjeRLxLwcN8okUzXRofmpeDvyX7wA3ltu0,https://lh5.googleusercontent.com/p/AF1QipPRmkV3xeDKBAMBSzjTV9hZvNWu8TPpwKHeMo66,https://lh5.googleusercontent.com/p/AF1QipPypyRGrdRSvM6tMvDLQJURKjOkbXeYaL4qa69R,https://lh5.googleusercontent.com/p/AF1QipPfy2tRWmLCq_EfA04VXkhws9ju921rtESEow1f,Malls,Giza,Shopping mall
Royal Park Mall,"October, Giza Governorate 3248401",not available,instagram.com,4.2,18,Giza,https://maps.app.goo.gl/UeWqJ1Fpmgm1TZxu5,22PJ+84 First Al Sheikh Zayed,30.035812,31.030313,https://lh5.googleusercontent.com/p/AF1QipOIu-4hOqfojvk54-uAcLTqhJ1u7vLOJbCABXC6,https://lh5.googleusercontent.com/p/AF1QipNKbbn0xieWGcOA-mKzvIZjrmcvcMYBfvaKb8q-,,,,,,,,,,,,,,,,,,,Malls,Giza,Shopping mall
Eden Plaza,"Eden Mall, الجزيره، St, First Al Sheikh Zayed, Giza Governorate 12588",011 53030305,Not available,4.3,406,Giza,https://maps.app.goo.gl/hciAuSEkQoy7KPyZA,2XGR+34 First Al Sheikh Zayed,30.025188,30.990313,https://lh5.googleusercontent.com/p/AF1QipPUwZym3TcniRZoapC9ToL7cOrCWnGTZqEDdaMw,https://lh5.googleusercontent.com/p/AF1QipMwIZXGJjEObdsYD3x-Yc8Dis18LdvxGe8v8hzz,https://lh5.googleusercontent.com/p/AF1QipNk0yuQCMmIt19M-VBgF3td7_0ahyxKFWnStGU6,,//:0,https://lh5.googleusercontent.com/p/AF1QipPnMqxGPTqEw4Qpj2ZeQkL-Z1U1GjJvFIv5xDQZ,https://lh5.googleusercontent.com/p/AF1QipONGu0x1eFI28XKIEfjCqjXbAVLs_ApmxJTX-q_,//:0,https://lh5.googleusercontent.com/p/AF1QipM_NY7qBOR-uwM9yWQeFMOvM2LYaW6l59qTC5UN,https://lh5.googleusercontent.com/p/AF1QipOmRLy4QW2aPar3_U-j797hWyfuxb8O2FqmlPGH,https://lh5.googleusercontent.com/p/AF1QipPytxNfBEou6lRNIgnOvviXZbA4DyKlfjHGA6aB,//:0,https://lh5.googleusercontent.com/p/AF1QipN-oqbWJnyMTXZgTuWm-WBEXiAE08dWeHeN3td-,https://lh5.googleusercontent.com/p/AF1QipPby9BxEmLhPDGQiVvVDPKIoE1QxifYdodcqsEz,//:0,https://lh5.googleusercontent.com/p/AF1QipOYeb07MthfD6NWmxtCbKGv11IYLbZHC1pRJtG2,https://lh5.googleusercontent.com/p/AF1QipOlV5x0oyLkcGUTy_zTcQA829VlmX6Q3bvecKQ6,https://lh5.googleusercontent.com/p/AF1QipMFF4bfK4wMl3Y7Cd_EoAxzBYQH2_LfXJF_0WhF,https://lh5.googleusercontent.com/p/AF1QipPtbYt66wJmAri9RX5zdCrt_bFUHkEeYGYoloJE,https://lh5.googleusercontent.com/p/AF1QipMoi13A1tFlvk77KEUlzUlSEf2MAM4geQ3TZsou,Malls,Giza,Shopping mall
West Yard,"2X7G+QJ, First 6th of October, Giza Governorate 3231801",not available,instagram.com,4.4,152,Giza,https://maps.app.goo.gl/qCB1GHVpkFqbCJfZ9,not available,30.014437,30.976563,https://lh5.googleusercontent.com/p/AF1QipPdo1XXeoqzDGYvwdIRifi1HI1xn-CAuwpzrqac,https://lh5.googleusercontent.com/p/AF1QipPz4YV0Vrrrqd0EpWFXvLrrvhr3-OkgcaowS8VS,https://lh5.googleusercontent.com/p/AF1QipOpb9SpUA1K-z2vRIa49OP5E7I2wrk4_DEyrW66,https://lh5.googleusercontent.com/p/AF1QipN32x3XU2Bwve7opEdKTn3EBY3XD6p-bv2zPN35,//:0,https://lh5.googleusercontent.com/p/AF1QipPfN_UxPDN8dADZib_LfyisVhwGTtt87hoLcN9B,https://lh5.googleusercontent.com/p/AF1QipPN6dku_CZwfHeTWxW6I2CTH5iLjPWNTCFAc1Vk,https://lh5.googleusercontent.com/p/AF1QipPyMEg91TdYeOPmR63U5diSXgXIrz4E4-tFAW49,//:0,https://lh5.googleusercontent.com/p/AF1QipMGTgtz1GocfryJj5iM2FjAzi0Kp2IrFWcuim9e,https://lh5.googleusercontent.com/p/AF1QipMGL_LWlqbeUdT0ZJXmeElknjUTIalc1BMrerEm,https://lh5.googleusercontent.com/p/AF1QipM2iVid1MOmEqt04qkyr7OZJq8DoKAzhNX0d9u0,//:0,https://lh5.googleusercontent.com/p/AF1QipO9R1YusFA-jGbvWWnjkXFnQ5_jvdEtWjC5cmAD,https://lh5.googleusercontent.com/p/AF1QipNUrTIoH3aVj9v7PaBPlgFCWoXqDMloYl5shCSu,//:0,https://lh5.googleusercontent.com/p/AF1QipOjkb2LBEquzt43BZX-sHNHq-W_KwGYqhnqg6nd,https://lh5.googleusercontent.com/p/AF1QipMFKeLYPsbtI9d7nFULVJBGU4FvmpfgY_BnRxG1,https://lh5.googleusercontent.com/p/AF1QipO7QLxNfc08PoHsK0HhB9yc_ualzQKkH3bOLB_H,https://lh5.googleusercontent.com/p/AF1QipPF1rI2rcE_QDg7U9gKl4y_wuOjk7OYBe2aS9Lf,Malls,Giza,Shopping mall
West Square,"Sodic West, West Square, Beverly Hills, Giza Governorate 12588",010 33995233,westsquaremall.com,4.5,"1,524",Giza,https://maps.app.goo.gl/eUUJQUs1ysPPXJyk8,3W5W+XQ Second Al Sheikh Zayed,30.059938,30.946937,https://lh5.googleusercontent.com/p/AF1QipPT5ELfjK6rnJDF_EncbBJqEoLsjst5m_DzxmY3,https://lh5.googleusercontent.com/p/AF1QipOnT6ozKrq0HP0H461e_uCObX5mP7S4_Of938z7,https://lh5.googleusercontent.com/p/AF1QipP4fxjzRj3k9PUW9_28Wc6ec-0ofTraIj3OIqQF,https://lh5.googleusercontent.com/p/AF1QipPm2wRl17KHVsfnkQ1zbs9BxheqlX42tI_yb5vz,//:0,https://lh5.googleusercontent.com/p/AF1QipO36atbFAUEvCLQ1p0XMX3MamAYm3YUBnBVDIY,https://lh5.googleusercontent.com/p/AF1QipPOjKgzFY1ySNLmbPPLd5YRfzgNTy7_fwL3dFol,https://lh5.googleusercontent.com/p/AF1QipPfyXjV9hZYrvYWcAwXvaKBvkiX76kP2qB-QDCG,//:0,https://lh5.googleusercontent.com/p/AF1QipOplZtgyRKGCdX9mR4NqSvqhSu_0pRBU3aEZuz9,https://lh5.googleusercontent.com/p/AF1QipMX4h9Hq7C-seQsCw7lVNicmT3js5KqCQ8d0kOS,//:0,https://lh5.googleusercontent.com/p/AF1QipPk3GeFDn1OPuvE_momOLYnuvSZuq3eb1jzJ1RB,https://lh5.googleusercontent.com/p/AF1QipM3Ka4NRhAyb8gRMCMhO7iQeq0evNm4_UiSaX-s,//:0,https://lh5.googleusercontent.com/p/AF1QipNF7CNfyOkI-wMyhrKSLcHyRrjNmuh63U90R3Sx,https://lh5.googleusercontent.com/p/AF1QipNKh9G-IJFQGuJxGEpyO8U9W0c2-AffOcHHo0sA,https://lh5.googleusercontent.com/p/AF1QipPHeom1KsCnKyEefruaqR7XkK2bD_aXMRl_DTua,https://lh5.googleusercontent.com/p/AF1QipM3arWt-SL5E6ZHw_dTjXxCEueJommolb60NDa8,https://lh5.googleusercontent.com/p/AF1QipPvERzgvw64OPznaTYgEPEg1UR5nZAod0K9mlco,Malls,Giza,Shopping mall
Makan Mall,"2XR4+92Q, Second Al Sheikh Zayed, Giza Governorate 12588",010 06146369,Not available,4.8,13,Giza,https://maps.app.goo.gl/87SNhrMKXzfLfd8B9,not available,30.040937,30.955062,https://lh5.googleusercontent.com/p/AF1QipNpsZW_1bFIDAI_dCijv18SIbNBUKCpx1zwG-bs,https://lh5.googleusercontent.com/p/AF1QipOJa2TA9VCPiynSDNjW-UXmmRtYiUIeunWgz7ks,https://lh5.googleusercontent.com/p/AF1QipPSrpKV0r9eR1-6S6SFqS0ssZvypCscz_cSaOvl,https://lh5.googleusercontent.com/p/AF1QipNr6fwczXgwNZZ-ELI59XtRNyMX1c63xTTfc2Tj,//:0,https://lh5.googleusercontent.com/p/AF1QipNgstIV1EasKWlJTXEoIVatsPqdJ9TL3BYRlyku,https://lh5.googleusercontent.com/p/AF1QipNZFRQnxNiPE0rPlJlMHU8bm3SPkzZDmu21MVnd,https://lh5.googleusercontent.com/p/AF1QipM7OFdR-9T0_JEu_KnqVgT2kFvosTalL4LHifjA,//:0,https://lh5.googleusercontent.com/p/AF1QipMKR8IR31L80jXqt-y3-HllxXCyJ8wS4Dx2qFoI,https://lh5.googleusercontent.com/p/AF1QipPZh9wSezY5g_VqmcT4gBMnq-3MghbfjgASvpCD,https://lh5.googleusercontent.com/p/AF1QipO9qwYRtJw7r3MmmaVi9Nqq1Fq8xe4XoKzRbwY2,,//:0,https://lh5.googleusercontent.com/p/AF1QipO0LYI_eRtn4YzcJQ4JNa3B6JVMzUUeqV-r4J4W,https://lh5.googleusercontent.com/p/AF1QipMpRr25BMTPqQ7DoYs4d4V9Oy6VnQ2xKX_7wviN,https://lh5.googleusercontent.com/p/AF1QipNEqwnBIxeH9_weJG5K5dfbGsqPuPxa2YMcTT8e,https://lh5.googleusercontent.com/p/AF1QipNzVKQosmTQy9RUemqWX5GqrSW9cYbuu3smY5b7,https://lh5.googleusercontent.com/p/AF1QipNmZBTrnKgHdzdSsJVyi3mSWIpNYa-RwLSmgHxI,https://lh5.googleusercontent.com/p/AF1QipM4eFndw7MGNltI5qTWH5d-M7mTpkPuLWFB-PlA,Malls,Giza,Shopping mall
Grey Square Mall,"XXPV+X7F, First 6th of October, Giza Governorate 3237221",not available,Not available,4.0,39,Giza,https://maps.app.goo.gl/rLTFjTGrMDT1LYAn8,not available,29.987437,30.993187,https://lh5.googleusercontent.com/p/AF1QipO6v2U5AxeAqvTH4MYyjWwRMFDaJ724DmIvslTZ,https://lh5.googleusercontent.com/p/AF1QipPcZLoEnRL_7V7XNzujF6U6UpU-EOuoLLxP32ey,https://lh5.googleusercontent.com/p/AF1QipNF4j1aFlOUEodo3aFQVmSk-Y-nJSeXi6CM9rsa,https://lh5.googleusercontent.com/p/AF1QipMBhAhHYKy2Ih1qJkib0pgS-OP-HTm1f5sAe6Pj,https://lh5.googleusercontent.com/p/AF1QipPBy-gjwaAdKK5wYYn0JjbESTy3Y6lZMJESFzVs,//:0,https://lh5.googleusercontent.com/p/AF1QipM4acQnZCLDeKNVtLF1TS7T1U1-sWkLv5SCRKEm,https://lh5.googleusercontent.com/p/AF1QipPDB_zgAu02wjLilA-RC5O1EujZgUxNBP-kfYVP,https://lh5.googleusercontent.com/p/AF1QipNETwXfkjAdUSdWcnyCoqg_TpS9VcAk8KTX3gbQ,https://lh5.googleusercontent.com/p/AF1QipOpMKU9Z76fxrKKmeS8AWfleIE-gYJH7i3wy64D,https://lh5.googleusercontent.com/p/AF1QipMxYdHTHn1o8g7ppBmMDkjeXGHb-p7-I9IkO5Ot,https://lh5.googleusercontent.com/p/AF1QipOCmza7PVCiqaOsLvPpzBeKlo1oSgrda2nEhDDz,,,,,,,,,Malls,Giza,Shopping mall
