Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Emaar Mall,"H7RG+QX2, Al Temsah, Ismailia 1, Ismailia Governorate 8361303",011 21742666,Not available,4.1,28,Ismailia,https://maps.app.goo.gl/mZjAfNq2Mk5j9JCS6,not available,30.591938,32.277438,,https://lh5.googleusercontent.com/p/AF1QipOZTH3r3lIIP79wjLecGy0fJX_gYEuUONpKwjhO,https://lh5.googleusercontent.com/p/AF1QipMy2m2JgUcvSLI6i_C3-ChRxM4vmMyLhBeQCSn4,,https://lh5.googleusercontent.com/p/AF1QipNvtLI6apWaBBQBud31T6Sf--G4WL8JiWbXozbr,,,,,,,,,,,,,,,,Malls,Ismailia,Shopping mall
Hyper Ismailia,"Ismailia, Ismailia Governorate 8362240",not available,http://www.facebook.com/Hyperismailia,4.0,119,Ismailia,https://maps.app.goo.gl/zuo3uH49feXAxg8f8,H7X7+23 Ismailia,30.597563,32.262687,,,,,,,,,,,,,,,,,,,,,Malls,Ismailia,Shopping mall
سوق الخضار,"J78Q+JQM, El Sheikh Zayed, Ismailia 3, Ismailia Governorate 8367011",010 15550205,Not available,3.7,3,Ismailia,https://maps.app.goo.gl/MYBUHpTc3Bubgupz6,not available,30.616563,32.289437,,,,,,,,,,,,,,,,,,,,,Malls,Ismailia,Shopping mall
قطوف للمنظفات ومستحضرات التجميل,"J779+5RV, العشريني, Al Tabakh, Ismailia Governorate",010 18148726,Not available,5.0,6,Ismailia,https://maps.app.goo.gl/BynRfGVt7NqFPcjC6,not available,30.612687,32.267313,https://lh5.googleusercontent.com/p/AF1QipOAzXSQ-A3cl1xg8Z_7q5lxGS9ZwaEckEYQyIp2=w408-h252-k-no,,,,,,,,,,,,,,,,,,,,Malls,Ismailia,Shopping mall
Al Omr Mall,"H7VG+C7R، السلطان حسين, Al Temsah, Ismailia 1, Ismailia Governorate 8361308",not available,Not available,4.1,43,Ismailia,https://maps.app.goo.gl/6nZ6Xm4yZB1MKzyN9,not available,30.593313,32.275688,https://lh5.googleusercontent.com/p/AF1QipO_n4Pn_OUlM15cljSwbdK9XPNw9xvu-u5-iYCy,https://lh5.googleusercontent.com/p/AF1QipNOOj2Ab-sWsoFloi13zyx-oIqOqTqgkq-CxnhN,https://lh5.googleusercontent.com/p/AF1QipMDrpJfTsKtPqVo8Q_Ej9b78MvFXz3CyaxapFnY,https://lh5.googleusercontent.com/p/AF1QipORAje6uu5CHXDieb0uvxSPRureSftyAOmj_rcz,,,,,,https://lh5.googleusercontent.com/p/AF1QipNaAjD5wrn2P7T9wr4LohgEhprYgMweTlMmeOS2,https://lh5.googleusercontent.com/p/AF1QipMGCDeZh-yxyIHPBUJSng8PaLbWz5gGhaCHeUVv,https://lh5.googleusercontent.com/p/AF1QipOIQil-fL5O8KSqVOG_91lOXbnu2UPSbwAuU4EX,https://lh5.googleusercontent.com/p/AF1QipMm2uQTXs22lpnWeb-HctrbTuPAmh41qc_zylwj,,,,,,,,Malls,Ismailia,Shopping mall
الطوخى للاجهزه الكهربائيه,"El-eshreni, Al Tabakh, Ismailia Governorate",J765+8P Ismailia 2,Not available,5.0,2,Ismailia,https://maps.app.goo.gl/Tkbsrven2fQ6Eis86,J765+8P Ismailia 2,30.610813,32.259313,,,,,,,,,,,,,,,,,,,,,Malls,Ismailia,Shopping mall
La galerie mall,"Street No.6, Al Temsah, Ismailia, Ismailia Governorate 8361101",011 58899704,Not available,3.0,2,Ismailia,https://maps.app.goo.gl/zk43Qw2NK1SDKZA78,H7PR+J4 Ismailia,30.586562,32.290312,https://lh5.googleusercontent.com/p/AF1QipMM2Cm4jiDQP39_fm0Z9kZaKXOWUV30dsLXDMj_=w408-h408-k-no,,,,,,,,,,,,,,,,,,,,Malls,Ismailia,Shopping mall
Fffggh,"J72G+G75, Nakabet Al Mohandesin, El Sheikh Zayed, Ismailia 3, Ismailia Governorate 8364112",not available,Not available,4.5,2,Ismailia,https://maps.app.goo.gl/Q32P6FRPv7xRzpbz8,not available,30.601062,32.275937,https://lh5.googleusercontent.com/p/AF1QipOfYXXhkLV-u-Wlrvc5vSh-Bd8ESfJgSKWGAL5L=w408-h884-k-no,,,,,,,,,,,,,,,,,,,,Malls,Ismailia,Shopping mall
السهم الذهبى للتجار والتوزيع,"167 المنصورة سابقا،, Ismailia 2, Ismailia Governorate 8362452",J736+Q6 Ismailia 2,Not available,5.0,3,Ismailia,https://maps.app.goo.gl/6xtxAunKW3uwYBhK7,J736+Q6 Ismailia 2,30.604438,32.260562,https://lh5.googleusercontent.com/p/AF1QipNbqoDpevDDUjDJ5n62Z71feTJl1926nUV1Nj0w,https://lh5.googleusercontent.com/p/AF1QipNPOayBvV2Du23fyBYs47cA4Fc4GLWR6PIFWI7u,https://lh5.googleusercontent.com/p/AF1QipNk7zguQpfptLc7TOjnB_b7ek1q4que6KMOd1V0,https://lh5.googleusercontent.com/p/AF1QipO6m05l0h4QNGd0LfU8yxoMPtww7rCH95pFFGb2,https://lh5.googleusercontent.com/p/AF1QipMh8Ce7knWeEAEmO5GRUMO3DtP7dQO44X1W0k7I,https://lh5.googleusercontent.com/p/AF1QipO5TD39xsAJM8VJzPUpdoBC7MOoHE7se6oZmEW3,https://lh5.googleusercontent.com/p/AF1QipOk_IZD0u3j6bnwNf8h_3OBvQOv7XIpyADLs_7L,,,,,,,,,,,,,,Malls,Ismailia,Shopping mall
مارادونا ستورز MaradonaStores,"Maradona Squre Arayshiat Masr, 41511, Ismailia, Ismailia Governorate",064 3144441,maradonastores.com,4.0,"1,380",Ismailia,https://maps.app.goo.gl/vMZtBQiA333Z7Q358,H7W9+54 Ismailia,30.595438,32.267812,https://lh5.googleusercontent.com/p/AF1QipOuB9e9hy9rZRSuSgTjOk4ZaeJM-qjSiXUrV7Zc,https://lh5.googleusercontent.com/p/AF1QipOhM9DQaAFIs8DHx_vCJ5PzBEPt7o7LaLe-p1D9,https://lh5.googleusercontent.com/p/AF1QipNmW4aeE7bGQn7k7WpUU5Go9ZcNQY2JXssw1KID,https://lh5.googleusercontent.com/p/AF1QipNMJDNxPxfsrjed36aLMFC1BKZ2MugwfO_GdjyI,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPgD95Ir5MiXWqY1ssxt2WzNsFjojwepZ1hsM4P,https://lh5.googleusercontent.com/p/AF1QipOW8BsURQmVAOU7OvpvhhNCMOzXSzEk7JbLE14C,https://lh5.googleusercontent.com/p/AF1QipNKu1xF0WogL9kHlu07fWltuGTQmVxnP6j3YCaK,Malls,Ismailia,Shopping mall
القزاز,"J764+R42، Unnamed Road, Ismailia 2, Ismailia Governorate 8363734",012 79546161,Not available,4.4,5,Ismailia,https://maps.app.goo.gl/6uhJ7nK3rdKjrxk46,not available,30.612063,32.255313,https://lh5.googleusercontent.com/p/AF1QipNybFyuoprBIUvAqn8UeSfZs8iZ7PRpEe_cSiQs,https://lh5.googleusercontent.com/p/AF1QipMhdxxMDsdHUIHCjW8ditxBmAYkdPDJEirZOYjd,,,,,,,,,,,,,,,,,,,Malls,Ismailia,Shopping mall
كورنيش البلاجات الجديد,"H7HC+GF7, Ismailia, Ismailia Governorate 8356363",not available,Not available,4.2,264,Ismailia,https://maps.app.goo.gl/Fhar4vjhbHNKAAD58,not available,30.578750,32.271250,https://lh5.googleusercontent.com/p/AF1QipNDSVIpZwbpHfzf_3_y8kRQOgBSA07QHFXcy2DZ,https://lh5.googleusercontent.com/p/AF1QipMKcjTbGKVr4ndwRmD2RFInOsXrLFfCi_v1MGV4,https://lh5.googleusercontent.com/p/AF1QipNE_PKzxZ_o13E1PRboAhSJNIH6bkCcCAo4uR9g,https://lh5.googleusercontent.com/p/AF1QipM5ktmcuTIbYewtrc2Ik1KYbnI2EeLHrLlxRQpm,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipP3HkbuF8sFazu2rCxT9Fn4vFEY5SLbln8CkhpK,https://lh5.googleusercontent.com/p/AF1QipMXP25_QfOPLe7kLNdfy6lyG8Uba-rGYgA-WEjs,https://lh5.googleusercontent.com/p/AF1QipNZSJIcymrm-umJ3b7s9Eehe5chxjWAnFtsEJaM,Malls,Ismailia,Shopping mall
المالح للتنمية الزراعية,"H7WC+HHW, Ismailia 2, Ismailia Governorate 8363155",not available,Not available,5.0,1,Ismailia,https://maps.app.goo.gl/KWT3L5ibW9AyGhPk7,not available,30.596438,32.271438,,,,,,,,,,,,,,,,,,,,,Malls,Ismailia,Shopping mall
الريان لخدمات المحمول,"77 Alexandria, Ismailia 1, Ismailia Governorate 8360128",H7Q7+QC Ismailia 1,Not available,,,Ismailia,https://maps.app.goo.gl/JXMjm3JiveSERaZ68,H7Q7+QC Ismailia 1,30.589438,32.263562,https://lh5.googleusercontent.com/p/AF1QipP3Ye4--F_nnRvXmz8XJJRIuJkimxyAUhgDTcm4=w408-h306-k-no,,,,,,,,,,,,,,,,,,,,Malls,Ismailia,Shopping mall
السهم الذهبي للتجاره والتوزيع بالاسماعيلية,"Sayed Al Gabalawi, Ismailia, Ismailia Governorate 8354442",not available,Not available,5.0,3,Ismailia,https://maps.app.goo.gl/genYt3udZg4k56YP6,not available,30.566562,32.255187,,,,,,,,,,,,,,,,,,,,,Malls,Ismailia,Shopping mall
