Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
مول وسط البلد,"4W5Q+M7R, Qism Kafr El-Shaikh, Kafr Al Sheikh Second, Gharbia Governorate 6850357",010 07171833,Not available,3.7,19,Kafr El Sheikh,https://maps.app.goo.gl/AkFUFxURSdEn2TT7A,not available,31.109187,30.938187,https://lh5.googleusercontent.com/p/AF1QipP7P6LWgSnfpmrUkXCjztc8mrKpEkvEZcmuWxT3,https://lh5.googleusercontent.com/p/AF1QipPGUKm9O0IWEgpTcOOsoQ9RziJiqOiutOg-TQp4,,,,,,,,,,,,,,,,,,,Malls,Kafr El Sheikh,Shopping mall
جرين بلازا مول,"4W6Q+7G6، مول، جرين بلازا, Kafr El-Sheikh Governorate",03 4264612,https://www.facebook.com/new.greenplaza/,4.7,3,Kafr El Sheikh,https://maps.app.goo.gl/tiQ3ao1unVF4zMrr6,not available,31.110687,30.938812,https://lh5.googleusercontent.com/p/AF1QipNqGVn-i56TTnYwkrUquBRkvUMnttk_rJtP6O77,https://lh5.googleusercontent.com/p/AF1QipNcpcytn1ANzT94V3z6SEHGQoXRmJRUBdlmP0gW,https://lh5.googleusercontent.com/p/AF1QipNEsQseHSsSOfpuxkLnUlnMOKVCf_h_A4Pr-dR3,,,,,,,,,,,,,,,,,,Malls,Kafr El Sheikh,Shopping mall
Phố đi bộ Bạch Đằng,"5X5Q+9W7, Kafr Al Merabein, Kafr el-Sheikh, Kafr El-Sheikh Governorate 6878220",not available,Not available,4.5,6,Kafr El Sheikh,https://maps.app.goo.gl/xS9G2YW941ZZbsQ2A,not available,31.158437,30.989812,,,,,,,,,,,,,,,,,,,,,Malls,Kafr El Sheikh,Shopping mall
أسواق البحَار بكفر الشيخ,"كافيه نابولي، تقسیم النيابة العامة بجوار مستشفى تداوى خلف, Kafr El-Sheikh Governorate",not available,Not available,5.0,1,Kafr El Sheikh,https://maps.app.goo.gl/hejZ9sqmG3NWiHkTA,4X52+MJ Kafr Al Sheikh First,31.109187,30.951563,https://lh5.googleusercontent.com/p/AF1QipOQypM42_jxcExAOAM7VCb9-xkSZBKXkTvZo4y4,https://lh5.googleusercontent.com/p/AF1QipM-cgb22p_b9u4-6jaqCSuJNOYe-Knt07urE7Ga,https://lh5.googleusercontent.com/p/AF1QipOkMXcKw4EP1meBDXv1O_hbJHtUbSsIsVhcsDAC,https://lh5.googleusercontent.com/p/AF1QipPfVUbaetV0nB_zFSZV_Jq1zm6VMvpg6h-zXMp_,https://lh5.googleusercontent.com/p/AF1QipMAXjrRAqvUvcYKHv66Cu08CQyRWXj1PQ6xslo1,https://lh5.googleusercontent.com/p/AF1QipPIICt9MdlvEwVCq_wYASOixX2YQgvr-j-98yDZ,https://lh5.googleusercontent.com/p/AF1QipNrhEVYEPm_UsWqxM0Y8ezexDOOOkgXGbDMqoaq,https://lh5.googleusercontent.com/p/AF1QipNyocKsRIc74mw5dcpVRHRfH6NB89bnyEhAds94,,,,,,,,,,,,,Malls,Kafr El Sheikh,Outlet mall
Shaheen stores,"126 El Khalifa El Mamoon, Qism Kafr El-Shaikh, Kafr Al Sheikh First, Kafr El-Sheikh Governorate 6860503",010 09080770,Not available,5.0,3,Kafr El Sheikh,https://maps.app.goo.gl/xPMhF55dxorkLSoH7,4W5V+W5 Kafr Al Sheikh First,31.109812,30.942937,,,,,,,,,,,,,,,,,,,,,Malls,Kafr El Sheikh,Shopping mall
الكيان للامنيوم,"4W5J+5H6, Qism Kafr El-Shaikh, Kafr Al Sheikh Second, Kafr El-Sheikh Governorate 6850216",010 68797437,Not available,5.0,2,Kafr El Sheikh,https://maps.app.goo.gl/yX6EhZqva3ybQ4iz9,not available,31.107937,30.931438,https://lh5.googleusercontent.com/p/AF1QipNcsRLhlXgv5R10AQwpbKZqbMCts_z9Ah3qnznn,https://lh5.googleusercontent.com/p/AF1QipMlybQniESNdJrfwgPE9o_RNa1rfBOK0zClNSlB,,,,,,,,,,,,,,,,,,,Malls,Kafr El Sheikh,Shopping mall
Emad El-Deen market,"شارع الضرائب, Qism Kafr El-Shaikh, Kafr Al Sheikh First, Kafr El-Sheikh Governorate 6860654",010 11134529,https://www.facebook.com/emadeldeenmarket/,4.0,910,Kafr El Sheikh,https://maps.app.goo.gl/VTfKvJecTpvpuunT7,4W9W+M7 Kafr Al Sheikh First,31.119188,30.945687,https://lh5.googleusercontent.com/p/AF1QipN08JMHyshhLkxyNh7TD2nVTtQwFZNDIOoTkKg,https://lh5.googleusercontent.com/p/AF1QipOI3UmWW9s7uqekv3QrmCkzRuBXcPiyxac5794,https://lh5.googleusercontent.com/p/AF1QipOyLfjfVKpvA0-h2j8bQOvXfYFr_urvabhkdSw,https://lh5.googleusercontent.com/p/AF1QipPHLHlntX81_trLnLWP9LisTI9CBemD8LTShfPa,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPFu_x-cqSEs4EgbAj9_ol6DOS1FS4RvdIO-5E,https://lh5.googleusercontent.com/p/AF1QipOvT_L1L8H3unRLDm4ewvs6upPu0ApNd879FMc,https://lh5.googleusercontent.com/p/AF1QipOe9w9olQUSpHdr3kq6Av-YVQGuNjbt7NX3Iu8,Malls,Kafr El Sheikh,Grocery store
Omar Effendi,"4W6R+R7X, El Gomhoria, Qism Kafr El-Shaikh, Kafr Al Sheikh First, Kafr El-Sheikh Governorate 6860506",not available,Not available,3.4,457,Kafr El Sheikh,https://maps.app.goo.gl/CkXkuxm4iyfjUVna8,not available,31.113750,30.941250,https://lh5.googleusercontent.com/p/AF1QipNzpM4dBgC5zW1oWuUbNja9FpJParRKk3tsZcnE,https://lh5.googleusercontent.com/p/AF1QipOguu1f-WDwqGn0mVVbz9p0sFcdKTSm6mjw-4at,https://lh5.googleusercontent.com/p/AF1QipP12cYaVKpMPEAFN9Elp-VegWmHXPzpXNHjCfTT,,,https://lh5.googleusercontent.com/p/AF1QipMZWw7Sc1gkBvfQvSuyLCHum8rTV8HpFUHYIeX-,https://lh5.googleusercontent.com/p/AF1QipNEsgd29rByZohYtC3J-LkK5eSwniL-9oKoXMAh,https://lh5.googleusercontent.com/p/AF1QipNjK_pfQ-BPqXsudM3dy7FlSYyUHuC8VGXunz-s,,,,,,,,,,,,,Malls,Kafr El Sheikh,Shopping mall
عالم الوليد,"4V4X+RMW, Reweinah, Kafr el-Sheikh, Kafr El-Sheikh Governorate 6873214",010 30052984,https://www.facebook.com/groups/248997930321980/?ref=share,4.5,2,Kafr El Sheikh,https://maps.app.goo.gl/zKB3LKVjG6aZgsW27,not available,31.107062,30.899188,,,,,,,,,,,,,,,,,,,,,Malls,Kafr El Sheikh,Shopping mall
مزلقا كفر الشيخ,"4W6Q+R7X, Qism Kafr El-Shaikh, Kafr Al Sheikh Second, Kafr El-Sheikh Governorate 6851001",not available,Not available,4.3,3,Kafr El Sheikh,https://maps.app.goo.gl/3Qo2oeCa9f4YZVBk8,not available,31.112063,30.938187,,,,,,,,,,,,,,,,,,,,,Malls,Kafr El Sheikh,Shopping mall
