Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Mercado de Luxor,"PJ3X+HCF, Abd El-Hameed Taha, Luxor City, قسم, Luxor Governorate 1362537",not available,Not available,4.1,30,Luxor,https://maps.app.goo.gl/J52YTcEF1tZsVpBF8,not available,25.703812,32.648313,https://lh5.googleusercontent.com/p/AF1QipNGDsp2GcU0O3Li0XmvRRumTl7PG0RYgAJscWAR,https://lh5.googleusercontent.com/p/AF1QipPbO70gRlDAr_Y36x1YtYNeYx50adEHCN8PNt_H,https://lh5.googleusercontent.com/p/AF1QipNdxYv4jTOpy0KTnWg09vNXZAEi3Tv4DmRBIxKp,https://lh5.googleusercontent.com/p/AF1QipNXcYrU2r64qYNqVgobQ9esGi24lYIDpqWSA7o,https://lh5.googleusercontent.com/p/AF1QipN-ygiqLskswBa2B6OdfnK0eJP76jvDfyKxJQM,,,,,,,,,,,,,,,,Malls,Luxor,Shopping mall
شركه الدلتا لمستحضرات التجميل,"MJQR+JCH امام بيتزا هوم, Television, Gazirat Al Awameyah, Luxor, Luxor Governorate 1362317",010 21221323,Not available,4.4,40,Luxor,https://maps.app.goo.gl/MF2qL2bqnKLnnQoE6,not available,25.689188,32.640812,https://lh5.googleusercontent.com/p/AF1QipO6ULA0NQLRc2qFrxwh1BJ1-CtjjZJesZvtKG2s,https://lh5.googleusercontent.com/p/AF1QipMhVIP_j54f3je5CYoFdrmJd03poY_NbabdFG4J,https://lh5.googleusercontent.com/p/AF1QipNdziyGgMmafuuIC8RQPIgCWC34tt_B7Woe6uCT,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPKgrhTTiZGs_7DoAwkfDr9w3ikrEWFouwW8WQS,https://lh5.googleusercontent.com/p/AF1QipPTq1u3YsfLJbS8rA3WbFGwIS1vW1UBXsEx3gRt,https://lh5.googleusercontent.com/p/AF1QipMeu6Z3BTxwH_vSPWhpkIedraUSo8-aVAzT_VHS,Malls,Luxor,Shopping mall
مركز النصر - ALNASSER SC,"Al Mahata, Street, Luxor, Luxor Governorate 85951",02 33336400,alnasser.eg,4.2,23,Luxor,https://maps.app.goo.gl/TUxymyaVF1eNWUpc8,MJXV+62 Luxor,25.698062,32.642562,https://lh5.googleusercontent.com/p/AF1QipMVElTC30rpxKi3MjrFlin1A3RCnOSLVyL_Yzbq,https://lh5.googleusercontent.com/p/AF1QipOrEeeTsFsAHG-d2k4oQaU0KuHfyx_0jgRtxHzH,https://lh5.googleusercontent.com/p/AF1QipMlFRwaqL1QKxbWkfP33hGRnYwFt8FTtzi-k6O_,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMkrykYG1kiHHx7_iBrhQKtiAe46lFIljMJWwrx,https://lh5.googleusercontent.com/p/AF1QipP6IA4KK_wla8KI-q8cHqHHzEwqxW-sCKxZikjH,https://lh5.googleusercontent.com/p/AF1QipM6O-G2cur4ys-ZeAhufknKLq5y2cWn051246_z,Malls,Luxor,Shopping mall
Al-Rashed shops for shoes,"الطيب بشارع التلفزيون, El-Tayeb، بالتلفزيون, Luxor, Luxor Governorate",not available,https://www.facebook.com/profile.php?id=100064316125102&mibextid=ZbWKwL,4.1,41,Luxor,https://maps.app.goo.gl/hDP8iGoFFqjNTLi79,MJQQ+QM Luxor,25.689437,32.639187,https://lh5.googleusercontent.com/p/AF1QipPxx3sZcwY3YUaXoNKMCQMbNq2WJhcLU5uOgk6f,https://lh5.googleusercontent.com/p/AF1QipMFcr_EmdZgjJ_QToBgJ28331eQ3EsXj8RLwPeY,https://lh5.googleusercontent.com/p/AF1QipPyQOGMqz-D0ZjBRSO-StVc0LWGCJXCCfBu_ZRl,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMOnPQImC0P_4EdAJvw3pN5nxQGntMKdUOufl72,https://lh5.googleusercontent.com/p/AF1QipMZPMxe_RpWOoKi5nXpupYdIYk8qgGSBGYHnQqI,https://lh5.googleusercontent.com/p/AF1QipMEi7sE2C1RAO_cvcjHfqi4YUM3Top-Sg0a1hfZ,https://lh5.googleusercontent.com/p/AF1QipNqqpd5HJIgZYRUBjhz3ojc3_MVxbf7GOaro82v,Malls,Luxor,Shopping mall
Caravanserai Luxor Egyptian Handicrafts From All Over Egypt,madinat habou road,012 23278771,https://www.facebook.com/Caravanserailuxor,4.7,33,Luxor,https://maps.app.goo.gl/MppuQVfdNGQtwXrm7,PJ93+JJ Al Qarna,25.719062,32.604062,https://lh5.googleusercontent.com/p/AF1QipNRuAfI4hyymSP-EBAqplbMFCKNC4jbix2xBUhr,https://lh5.googleusercontent.com/p/AF1QipMi5m1Ri4qwf8wGJHOOtklxm8Avn18_ZDMfPr7R,https://lh5.googleusercontent.com/p/AF1QipOsc-JNZtWqbO4YMRFt9RVn8p0jZLL2KFuyBH-a,https://lh5.googleusercontent.com/p/AF1QipMyyPxOR9KF4l84IFtYT7-_Y4rcGZcSbhaGt8Lb,https://lh5.googleusercontent.com/p/AF1QipObfKI-ItmuPijK3198kXxId4gZOIG4t5AJOqo,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMS12BGKvf6lMUU6WHgt3bSO8due6Es1AMu6x8,https://lh5.googleusercontent.com/p/AF1QipOEajpbsXLQE-XE2MRqrYFHtBBNbexXvjp0o8oG,https://lh5.googleusercontent.com/p/AF1QipPCku3DCdIOPYP2CJ4cdPM0DlSs_IwAkpZVw_tJ,https://lh5.googleusercontent.com/p/AF1QipM9Ai1Qa9qJplaI0aIM6UUWdLMPTrrTe7Ld7CZG,Malls,Luxor,Shopping mall
Tal der Könige Bazar,"PJW4+42، الظهير الصحراوى للقرنة, Luxor Governorate 1413101",not available,Not available,1.0,2,Luxor,https://maps.app.goo.gl/LNrJv9RQcBbYiwZs7,not available,25.745312,32.605063,,,,,,,,,,,,,,,,,,,,,Malls,Luxor,Shopping mall
Lotus Mall,"PJ2V+FHW, Mostafa Kamel, Luxor City, Luxor, Luxor Governorate 1362450",not available,Not available,3.8,24,Luxor,https://maps.app.goo.gl/y9cECdQyxGb6CwnJ7,not available,25.701563,32.643812,https://lh5.googleusercontent.com/p/AF1QipNgxf50FZ5GSVk1Tj2GG2ieP0T67BueU_QfIEDO,https://lh5.googleusercontent.com/p/AF1QipOWuT06p81jp3YzWhCpjIR94bHUewMI3FuZctGu,https://lh5.googleusercontent.com/p/AF1QipM-SgIiDgMc3Igyv8P4ajoHIeFS97t3gDFs828A,https://lh5.googleusercontent.com/p/AF1QipPIsbF7OkjgvBqi2Zq_9HIcDGHpgHkOLGI06qgf,,,,,,,,,,,,,,,,,Malls,Luxor,Shopping mall
محل البطل للمنظفات والورقيات,"MJVW+5HP, Luxor City, Luxor, Luxor Governorate 1364140",012 23619656,Not available,5.0,1,Luxor,https://maps.app.goo.gl/WXeDPKoXwgS4o3nq9,not available,25.692937,32.646438,,,,,,,,,,,,,,,,,,,,,Malls,Luxor,Shopping mall
مول أولاد أبوالقاسم للاجهزه الكهربائيه والأدوات الكهربائيه,"PJ2V+HMG, Luxor City, Luxor, Luxor Governorate 1362451",not available,Not available,5.0,1,Luxor,https://maps.app.goo.gl/q8fHLvXpYnG2VFr67,not available,25.701437,32.644188,,,,,,,,,,,,,,,,,,,,,Malls,Luxor,Shopping mall
Mini Mall Andrew,"Luxor City, Luxor, Luxor Governorate 85951",012 87887778,Not available,5.0,2,Luxor,https://maps.app.goo.gl/UnJ1V7iyPkhgDJLe7,MJXR+CM Luxor,25.698563,32.641688,,,,,,,,,,,,,,,,,,,,,Malls,Luxor,Shopping mall
