Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
COZY North Coast,"Next to Seashell, Alexandria - Marsa Matrouh Rd, North coast, Marsa Matrouh Governorate 51716",012 34555333,edgestonerei.com,4.3,21,Marsa Matrouh,https://maps.app.goo.gl/Ps27y9eTQ2w4EEZCA,XMRR+2J El Alamein,30.990063,28.691562,https://lh5.googleusercontent.com/p/AF1QipPW4cPfdCPy1tJQvD3ZIbVsLdFzhJEMgG5jEdC0,https://lh5.googleusercontent.com/p/AF1QipPaNtklGG-cs7itpIPmdlZ4W_tI9x_IwyB5IhyD,//:0,https://lh5.googleusercontent.com/p/AF1QipPE8HJYDvbOgE0o0b2kAAYXMhIJHa_U21Hv2ZlL,https://lh5.googleusercontent.com/p/AF1QipNbm5RomMdXjqcmYHGFzZsSe5JAlgJSqJlHVAyn,//:0,https://lh5.googleusercontent.com/p/AF1QipMoTQvXRvolFggQiCv_BHWYP0lQv3qw9k3atAYw,https://lh5.googleusercontent.com/p/AF1QipMCunsINVQFhZ6LPHpeW_hz1nAlbvyj9X9-FIR2,//:0,https://lh5.googleusercontent.com/p/AF1QipNpLKecHvVHPL6vYjqaT2Ough6z_ovpEVfmIF4a,https://lh5.googleusercontent.com/p/AF1QipPMDlxUU0yGd7aEpu98RV7Zjhi7oaCbYEa6ElJ5,//:0,https://lh5.googleusercontent.com/p/AF1QipPZRAPKa6YKZ1AnTUi2Aj-0s60i8s05DkxN8BBk,https://lh5.googleusercontent.com/p/AF1QipNXmeXftrIF9GKF3x-Gz7qPZRlKo6LbUVh3SYNZ,//:0,https://lh5.googleusercontent.com/p/AF1QipMg_ArxEL2ESsOnKrIB4ZuiQrrR4CKrtRiubOi8,https://lh5.googleusercontent.com/p/AF1QipO8t1HVCpFwSF45kCLSUIMPY578cm4BVHldAj5T,https://lh5.googleusercontent.com/p/AF1QipN1xNDrDdv8ZDFdcxF80VY6N32nVMGeYweLXRLU,https://lh5.googleusercontent.com/p/AF1QipNxetrgdYizwM771BQUiwmYi7EqZ-iB5TD5QhGL,https://lh5.googleusercontent.com/p/AF1QipMY59c8_vmVsCYebgXVS3czA7fQmOISffyUCo4i,Malls,Matrouh,Shopping mall
O Mall,"VX42+F6F, El Alamein, Marsa Matrouh Governorate 5080001",015 51667449,Not available,4.4,"2,414",Marsa Matrouh,https://maps.app.goo.gl/bndsisbnZSFC3zTn8,not available,30.856187,28.950563,https://lh5.googleusercontent.com/p/AF1QipOMUWc6EEqtgBPQ7L_NK9qxfTGriToIQrrTfn_R,https://lh5.googleusercontent.com/p/AF1QipMa2y1ezxB_wc4PhyUSjQQY8ptuf-pNtiyNRt9d,https://lh5.googleusercontent.com/p/AF1QipOAtu2AC0WJ7NZsbqDm8Bcn0k2OUSJXVR5g0YNE,//:0,https://lh5.googleusercontent.com/p/AF1QipNzNKVELHxnC2tyl27dHSr54obJ7esn6OzwUkVT,https://lh5.googleusercontent.com/p/AF1QipPSAgSuhmovAku3D0nedb_7gMaOHtVAJrFwZYS1,//:0,https://lh5.googleusercontent.com/p/AF1QipNp-mg9AmGoLd2Z9Z9L-ve1hAveKZQeTQ--6d_4,https://lh5.googleusercontent.com/p/AF1QipNc5gnQf7vWk0zGPC8_mp9a3m_u55GQyliYClZa,//:0,https://lh5.googleusercontent.com/p/AF1QipNRZv2EWRxseJUwGI3_UacyoCfcOjEO3V7m-HB9,https://lh5.googleusercontent.com/p/AF1QipNRyd8HMQl12EwwlmZgX4VGcAkoLLXZr6Q-t02C,//:0,https://lh5.googleusercontent.com/p/AF1QipM-_wH-5YTEWj5GqB_dWsmXks_ng8YvSZ3VwIzZ,https://lh5.googleusercontent.com/p/AF1QipNWJTmAFJkIhlxBsyZo4upUQ-mtW1LFNGKCvoe8,https://lh5.googleusercontent.com/p/AF1QipNYk1DUmXlMPoF1797rU48ziWWhEs1hKYsZbJDG,https://lh5.googleusercontent.com/p/AF1QipNluvotbhQdsnU1VuyyUiA-rZxrgZd1MlZRaMbD,https://lh5.googleusercontent.com/p/AF1QipPzLEnx-XhdnLqgg1ZzpPHsevCGcVWklcrIsDum,https://lh5.googleusercontent.com/p/AF1QipP12KiGClYNa8CeiIP8WLNxIjdnCuqkk1iBzq79,https://lh5.googleusercontent.com/p/AF1QipNpToJ6wTr9943ek9UMKsvEJeVL7awbybgHJcej,Malls,Matrouh,Shopping mall
سوق ليبيا مرسى مطروح - Marsa Matrouh,"Mersa Matruh, Marsa Matrouh Governorate 5052780",012 23814387,Not available,4.1,"13,287",Marsa Matrouh,https://maps.app.goo.gl/ZGwuDhL2Q1xNwQpc8,not available,31.350062,27.222938,https://lh5.googleusercontent.com/p/AF1QipNIvkUvt7bzOM0fFBmuWHv5-0q02PtQOv61aonz,https://lh5.googleusercontent.com/p/AF1QipNQoXMplAc8oMueUIp5PBxSisukm05JILbjCqNO,https://lh5.googleusercontent.com/p/AF1QipPj-Qzqv7vfbzjtNXVZcu6B7ow7bINqam60816h,//:0,https://lh5.googleusercontent.com/p/AF1QipNpkcSiYNMWzbGF0C0FeMDBNl0UuLlD3dJQc9hJ,https://lh5.googleusercontent.com/p/AF1QipOdzETb-QFxSpwBRYVSlmqskKxwLhjAlBGwMTA8,https://lh5.googleusercontent.com/p/AF1QipPnfYR18zGboqBtKYCuGRRUh3BrotAClZmAAQya,https://lh5.googleusercontent.com/p/AF1QipMTEDfIRb1XxEUttWOlQHP6SEfBh9EPQ-cVZ1LB,//:0,https://lh5.googleusercontent.com/p/AF1QipNarEWymj-gjUmZL5B46a4SztYGl6XOCUQ9Iq85,https://lh5.googleusercontent.com/p/AF1QipMJ3MoPn9LttMyxYL6zML9ZZPLOdbONMqtym3WJ,//:0,https://lh5.googleusercontent.com/p/AF1QipO59i8bzVSUuHVrXo8k47wZ-HYH63LGnXDNjJtN,https://lh5.googleusercontent.com/p/AF1QipOQ_Pu1NopNhcBlR_Y8_mt8ZKGjvlJnMFq2TLXF,//:0,https://lh5.googleusercontent.com/p/AF1QipMQGnowVf46lDzBRnDlKLaOStctg_3Yjdy8W2KG,https://lh5.googleusercontent.com/p/AF1QipNLdrMNe0wGQisLCdIOctoQDQjsHBKynpG8daae,https://lh5.googleusercontent.com/p/AF1QipOU1EIewYxXL2d4GYGItm9n9dXWMbSIax9KHUhE,https://lh5.googleusercontent.com/p/AF1QipNMi48BloX21U76vtP9LqO-vIMY9CjKC7fFV23X,https://lh5.googleusercontent.com/p/AF1QipMK9UmvZHnive1vWkb4DjYpB58ns1d009AoFfzn,Malls,Matrouh,Shopping mall
Dunes Mall,"XJXV+75C، الساحل الشمالى, طريق اسكندرية مطروح الصحراوى, Ghazal",012 21121154,Not available,4.6,75,Marsa Matrouh,https://maps.app.goo.gl/847q9eZ5h8K5Zb8w8,not available,30.205813,31.432812,https://lh5.googleusercontent.com/p/AF1QipMDK5r6Vr6clMZGEQRS1b8ffLiD-nIpv6AuGp2o,https://lh5.googleusercontent.com/p/AF1QipNUx9rSjw6FeZpUiYV--SONAfE4R7dB6pWpHoaz,https://lh5.googleusercontent.com/p/AF1QipMMsB03YMB4dCqFAV9icF_bR6tw2TJHFFciNY6E,//:0,https://lh5.googleusercontent.com/p/AF1QipP7MnDiJrDbu9FrQMX9ag-MRKWXrALgvhc2s2Mf,https://lh5.googleusercontent.com/p/AF1QipM5k54hfi3L-cgtq_yfjttnfs_QPabEyE9gWPZy,//:0,https://lh5.googleusercontent.com/p/AF1QipMZDKTVgP2_KLP5vIrDHE6d9g5UctfICvcLK2Ha,https://lh5.googleusercontent.com/p/AF1QipORESDWSNO8Fo5LqTJVn7FUkTXCMMXCJkpDU5bU,//:0,https://lh5.googleusercontent.com/p/AF1QipO589ZTDRJvMk9mzy5KmuUgUm3c3mHhMOmP9mCR,https://lh5.googleusercontent.com/p/AF1QipOUw_64Cb0GUjevTWd9LJqlHx_fkdbxdF_iiaIv,//:0,https://lh5.googleusercontent.com/p/AF1QipMGs3enBWocBSvctM-Y_HNcdr3s8z5ijshxNjMH,https://lh5.googleusercontent.com/p/AF1QipN6YqjJMExC17sBtUmApJ8Pn_RBav4MdhgY9kTt,https://lh5.googleusercontent.com/p/AF1QipMNzPB2gkXI6DjbdgA42i_8IwKZm1RY7Zg2MZhk,https://lh5.googleusercontent.com/p/AF1QipOQ1IwT-y3zq_nMPznPkUkhzGgJKFiiqtqfcb8U,https://lh5.googleusercontent.com/p/AF1QipMXvkpCZZaSI3Z-IwB-dTX5fMYWBuxaW2wP6wbd,https://lh5.googleusercontent.com/p/AF1QipOXNsFNKHk2xYddt-ghTsu9skpLG0GPD3HrQDQi,,Malls,Matrouh,Shopping mall
El Corte Mall,"XMW5+H3G, Alexandria - Marsa Matrouh Rd, El Alamein, Marsa Matrouh Governorate 5006403",not available,Not available,4.0,77,Marsa Matrouh,https://maps.app.goo.gl/XYbR5C8XSqQUFDBGA,not available,31.025,28.525,https://lh5.googleusercontent.com/p/AF1QipPaA3z_r6XAQgyXP0PaGrRHnTWhUzlFAGr9frbr,https://lh5.googleusercontent.com/p/AF1QipPv8VvWjE7eihpAkTwCogTtxJN1oh9l-2n6liky,https://lh5.googleusercontent.com/p/AF1QipMH5awLP0cKtJImDWtzCa78BDpdfaY2KnF5aiHx,//:0,https://lh5.googleusercontent.com/p/AF1QipOxjuxKkUq3AhKEIKEERGPxi-8e1IciyVWepIAX,https://lh5.googleusercontent.com/p/AF1QipNueXRMMySvEw0ya8BtVY8QqrI-TvBhh9ioKqoC,//:0,https://lh5.googleusercontent.com/p/AF1QipMaOuNov61F8Q6ndEsPCpigZiIuTL9dlOMkyAmn,https://lh5.googleusercontent.com/p/AF1QipO1XWS1EhFe47o_6DD8C6c7kksI1d08Ij9jmpNR,//:0,https://lh5.googleusercontent.com/p/AF1QipOMPl3Gf3RrCpFgD2toL0qUbMgKDlJ2-MFGM3s3,https://lh5.googleusercontent.com/p/AF1QipPxZ1divYJTLlzQVabzyt_ak1YOuiRoua7Fbupk,//:0,https://lh5.googleusercontent.com/p/AF1QipO-HXzWFpAHzhUap699U8-4EHeLq8ANtY-5njSi,https://lh5.googleusercontent.com/p/AF1QipOcbeasOzJ6tgLX_VzXY0qu1wh0j34QDzE47Hk1,//:0,https://lh5.googleusercontent.com/p/AF1QipOQPEQ2UM1qnhZ3aznjNLyLGzvmadSEbEHVvLzw,https://lh5.googleusercontent.com/p/AF1QipMC9Sk0BG2zjb4GV0JcycA5_ymjedZKOOwyNG0p,https://lh5.googleusercontent.com/p/AF1QipMGabPhKyPQ9cJ6BmC1sCSkpt8QoUcLMQTVyJhi,https://lh5.googleusercontent.com/p/AF1QipOC0t9RJXq63GXg9se4fSGGOu1RbRL298qXgi7V,Malls,Matrouh,Shopping mall
Porto Marina Mall,"R2G3+3GF، الساحل الشمالى، Marina Al Alameen, Marsa Matrouh Governorate 5081001",011 46583358,yellowpages.com.eg,4.4,"1,410",Marsa Matrouh,https://maps.app.goo.gl/6okWcCoFAPHfdTPA7,not available,30.825187,29.003813,https://lh5.googleusercontent.com/p/AF1QipNRVgvN4FC8mVfZiE10j3ivHSP_-hom_ASA8_xm,https://lh5.googleusercontent.com/p/AF1QipMOwng0kv9KR7uDnbKP2C51f4993k0nLq5eeVOv,https://lh5.googleusercontent.com/p/AF1QipPHGtpLX_Zlp8bRfF7JQviqZmb2m5o8VmJSd4Az,//:0,https://lh5.googleusercontent.com/p/AF1QipMaFoLq-cU5BygKn-0B7UbN7GMVgEgeyMQ1mBsi,https://lh5.googleusercontent.com/p/AF1QipOh-JOLkV8oP4ms_Q3u7DujfGSHlJGNV0EHnlgu,https://lh5.googleusercontent.com/p/AF1QipOWLZ0S2_e5575fZQ4l0KW5uAf5Qn9zxVsNf_u8,//:0,https://lh5.googleusercontent.com/p/AF1QipOxfGSUa8X45Jw26stoViau5_iTwaceI8A4FpOP,https://lh5.googleusercontent.com/p/AF1QipMnSWL_h0DrP6SXKUidZbspM8vx5mRJkFJEW1Bd,//:0,https://lh5.googleusercontent.com/p/AF1QipOkecK18tydJ0lRaaxiFGHWAqGHVePdi-zpDKuf,https://lh5.googleusercontent.com/p/AF1QipMXO81m7hpEAgmehB5AnGCQv3ygz4RwE5zgTpxt,//:0,https://lh5.googleusercontent.com/p/AF1QipPGr0l7KTKh65nA9diLz5QvDQzDKbZ2-XHGsk_z,https://lh5.googleusercontent.com/p/AF1QipNTTFjqJa_SMD8_dSTKIfnw6MLworcqBXMJdQih,https://lh5.googleusercontent.com/p/AF1QipM5t_dhhvIlRrilibIPfXdDybDR7mFfSVJ-hxNB,https://lh5.googleusercontent.com/p/AF1QipNFCk2YO1mwqxoRZTU49lzal4HZUIBdQQwYcPVa,https://lh5.googleusercontent.com/p/AF1QipMHmUXtyrHbVpYCiZ2XaDA0ucpIWk48rhHX24Fh,https://lh5.googleusercontent.com/p/AF1QipOzm2VMmwJPmhnPvGxEBSR6eAXXr7JZKJyTRRS6,Malls,Matrouh,Shopping mall
Almasa Mall,"VX32+72F, El Alamein, Marsa Matrouh Governorate 5080001",not available,Not available,4.5,"1,259",Marsa Matrouh,https://maps.app.goo.gl/YGoPuuKcNRBMeLfN8,not available,30.853187,28.950063,https://lh5.googleusercontent.com/p/AF1QipPakNWXyCBWp5gHS9J6NnpSuvOOATSlPBMDuf5C,https://lh5.googleusercontent.com/p/AF1QipM2lDTMNYoPF7wu7nAkBJoOwcAEyVvRMVrn3akL,//:0,https://lh5.googleusercontent.com/p/AF1QipO6ov3hafJ5OLD3NuPobIP34c9f8bP9eIbgyUX6,https://lh5.googleusercontent.com/p/AF1QipM2w7el_JTQ2RI5-XRIgpn6HcIMm6Tkj7QDKdHl,//:0,https://lh5.googleusercontent.com/p/AF1QipO5F2G4rFwRxWZjVOFDYHNey04i9rjtihOUkGBX,https://lh5.googleusercontent.com/p/AF1QipMuZHu-EIdNOqjrksFLfGDX4Shh0F2MGHWAGXLd,//:0,https://lh5.googleusercontent.com/p/AF1QipNS9qPZBUGgS98lATRHZils5TE0SXIEb-S2w233,https://lh5.googleusercontent.com/p/AF1QipMuEpYbacra9Zp8mxYGkKC7LX3TF1zBcNOdVMI1,//:0,https://lh5.googleusercontent.com/p/AF1QipOGyZ2G-ym-PejoDSub6w2DnxQ5-YmTwy4r_oAx,https://lh5.googleusercontent.com/p/AF1QipN6FM9s_KzFtBwjckJJZd9Tr_Ma-ozQ7BatMuyf,https://lh5.googleusercontent.com/p/AF1QipOWFsG9-8toKsy6_ForB80PZ-qc2WpLsQV3uRNR,//:0,https://lh5.googleusercontent.com/p/AF1QipMiYZu8_lODD9vFvUd2d2L4P7WBv6S5m_uLmZvg,https://lh5.googleusercontent.com/p/AF1QipOpWnRRpWXK9RRKXakNijjcj-XeOeCn8hfBcOuM,https://lh5.googleusercontent.com/p/AF1QipOHmmuE-x_LeE21VdmtPA-30vu9T3GsedMXwaPj,https://lh5.googleusercontent.com/p/AF1QipO0jQbzSBHbWNYICyrlGg0levW8YLSvU5f1cPii,Malls,Matrouh,Shopping mall
ايجار محلات وبارتيشنات فى الساحل الشمالى,"El Alamein, Marsa Matrouh Governorate 5062023",012 76101567,Not available,4.2,74,Marsa Matrouh,https://maps.app.goo.gl/uWAf5DPm84Vge7CL8,XMRH+5V El Alamein,30.990437,28.679688,https://lh5.googleusercontent.com/p/AF1QipMxOTlZWwbLoUBO9LpI7j97L89CEitDE_H890ic,https://lh5.googleusercontent.com/p/AF1QipObsP2Td1cP4XYD6biXOSYXs3FhCSgRjJSkS3Iv,https://lh5.googleusercontent.com/p/AF1QipMaqe9GbIyI54fzgnM-yReITV5_pgekwZzTQ6R1,https://lh5.googleusercontent.com/p/AF1QipMFg_DefVb3XUqnavSYiO5Cn9N34yxteoioJ-F_,https://lh5.googleusercontent.com/p/AF1QipMHOT41rvaXB9aNY1JW5GgnuUWHb9JVF2dSAMwr,//:0,https://lh5.googleusercontent.com/p/AF1QipM5PUtVhm3xAPv1XQdp-gmfeLLjHNJIAjmV68Ka,https://lh5.googleusercontent.com/p/AF1QipOuUIzvHemxKInDpmPHhv15I5kQxToCiLiIwRyS,https://lh5.googleusercontent.com/p/AF1QipMQtyzlcfP0g5NfABUZ0SSFyuZnqUXZw28gKdw8,//:0,https://lh5.googleusercontent.com/p/AF1QipPIYYD6-_ysYYouu5meO2RuawhGPnQ6m8zYn9Zx,https://lh5.googleusercontent.com/p/AF1QipMmpJpngB4wQkRsYlSn8T9BlEOS5-OaehIrMw9L,https://lh5.googleusercontent.com/p/AF1QipONjbFyzO7C_Y0Mp6Ja2UUGhKqcznYG6-_pUSaa,//:0,https://lh5.googleusercontent.com/p/AF1QipMJpTD8P7qQcZ2T_paD3F7pkzf-sbU0ES_WGwT9,https://lh5.googleusercontent.com/p/AF1QipN1Hn2ZTBRv-uZUElD__ikA4T4xfqivRY9I1X-T,https://lh5.googleusercontent.com/p/AF1QipPLFycrI8aMgnG2eqlHgyVSJLMScAJU1QUmYSL5,https://lh5.googleusercontent.com/p/AF1QipPcpuNeOGHrT59YtC0vC5dzmCbhnq3kTnTSVOWT,https://lh5.googleusercontent.com/p/AF1QipNrZWFGcfw_W0egIX31MpxkGjwFDca15LJxuqDE,https://lh5.googleusercontent.com/p/AF1QipNUf7e2YHhfUUweWQmH-SmYbStV1hePP-MApxm5,Malls,Matrouh,Shopping mall
North gate,"VV7Q+CH3, طريق الإسكندرية - مرسى مطروح، مدينة العلمين، العلمين، مطروح, Al Alameen City, El Alamein, الإسكندرية",012 23138525,vistamarina-eg.com,4.4,77,Marsa Matrouh,https://maps.app.goo.gl/RAAkRC2GzZZJadox9,not available,31.025,28.525,https://lh5.googleusercontent.com/p/AF1QipPlyjjBvVOCVJ1-0mYRGx3BzGfP9C-Ml2PAzU-e,https://lh5.googleusercontent.com/p/AF1QipMm6qmT9TbZ54H6XwWgx8R7_k8UZxUJg118RpV-,https://lh5.googleusercontent.com/p/AF1QipNg5HS0BrBzoegY2Dj393JuDz0cj1qP3gMDvBVv,https://lh5.googleusercontent.com/p/AF1QipMpuGH5KwHd_miIOuBqwlQlTUNuhRg7sSdvTQT8,https://lh5.googleusercontent.com/p/AF1QipMrx8M8DlLbt0KpYppRHXDRgcoDGm2Z5ZSVLD3G,//:0,https://lh5.googleusercontent.com/p/AF1QipP2ytAZ2HjLLFOA5TdtqQvgfK2uTv2HWWBqypzB,https://lh5.googleusercontent.com/p/AF1QipOsklD1_StXxTI5G-eXpBzR99rU6qUDYylKHX-s,https://lh5.googleusercontent.com/p/AF1QipOBik0yToex5pO20ZBQsApLduww75-v8xR7Ei45,//:0,https://lh5.googleusercontent.com/p/AF1QipM7vbLNiKEr8N2Pah9TzsLC4ZW2WPjhLnhLCHQv,https://lh5.googleusercontent.com/p/AF1QipMjCl9Qy_caYBHTa493M1XyGXotBVY6y9J1pl94,https://lh5.googleusercontent.com/p/AF1QipNTOlaicMly3tR1vJBvBUlfNezeg-WGSakbWAFD,//:0,https://lh5.googleusercontent.com/p/AF1QipNB2O5ddqrvL0YMSDxxMFPOrH2vfnoGTU8dcjZR,https://lh5.googleusercontent.com/p/AF1QipMmMVtFOSHfqi5l9Yxq_qj5xJvcKEgSRzIxNJE6,https://lh5.googleusercontent.com/p/AF1QipMoLYCMB2aBDLa5J28e0BgUhegcBmd4yQ923G8G,//:0,https://lh5.googleusercontent.com/p/AF1QipMpZRgNsIoC39P15uSKwWm5MVX-M2esIOCNez33,https://lh5.googleusercontent.com/p/AF1QipPGNtgjYucWeizKuCOrcg9zX731x3qnc8su_ofs,Malls,Matrouh,Shopping mall
Town centre,"Al Alameen City, El Alamein, Marsa Matrouh Governorate 5060335",not available,Not available,4.3,33,Marsa Matrouh,https://maps.app.goo.gl/qNTGmbU38SpR5Pxj7,RXC3+XP El Alamein,30.822437,28.954313,https://lh5.googleusercontent.com/p/AF1QipPQ6OjBaCUtglZ9b9sG4rkkb2ZMMhGcs8Jp_kBb,https://lh5.googleusercontent.com/p/AF1QipO0qD-JSL97QbC1vDysAv-KCD4pgfLiJmU4h12O,https://lh5.googleusercontent.com/p/AF1QipOaOtRdSEIWmXXJXNhCWG0_DGFaOKALWI7OqsbR,//:0,https://lh5.googleusercontent.com/p/AF1QipNzGI9rAoVqzX8_RoDwSlYsaqFzuu2bcE-3_dAo,https://lh5.googleusercontent.com/p/AF1QipP7yYa06YpGwqxVNZP8Ho-gcVEKBjGKPn4Q_Lmb,//:0,https://lh5.googleusercontent.com/p/AF1QipN8xoEIi-9UNs2sBGde9WbbTlom4f61szcBaw-x,https://lh5.googleusercontent.com/p/AF1QipMNYWL--Nkw_EDR1LW49whArh_3WvHY0Pnea445,//:0,https://lh5.googleusercontent.com/p/AF1QipO6bzSq08akt1BQll10J5E07SUn9JAOYp0DCOUA,https://lh5.googleusercontent.com/p/AF1QipPMKrh3tGu56LVkuUsmLtz9uLqDA5iI_P52IYx_,//:0,https://lh5.googleusercontent.com/p/AF1QipOSrpjJtwZFh6DoxTlaHe8vg9fcg3uf7eje4fTX,https://lh5.googleusercontent.com/p/AF1QipOsl2acUyw9UR1gDNMTfJzuhOMIwaZkLLVWmjf0,//:0,https://lh5.googleusercontent.com/p/AF1QipMO1dPf0wAMUsokLpY729kfGVPVRhVLB8gcXdcR,https://lh5.googleusercontent.com/p/AF1QipO9v4BDrvE75dmWjV22uKfIhbj0TlzPOwgL3XoY,https://lh5.googleusercontent.com/p/AF1QipN-aislZ9-l4ooj5DMCs1YIx0F1hBla1fG1wZsN,https://lh5.googleusercontent.com/p/AF1QipOVRk53ll_gJVkvc0a3TzcWAoC1UH6GVK9bkOoN,Malls,Matrouh,Shopping mall
