Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
مول بيراميدز - Pyramids Mall,"شارع جمال عبدالناصر، بجوار الشريط المميز، مدينة السادات،, Menofia Governorate",not available,https://www.facebook.com/Pyramids-260773314607207/,4.2,624,Monufia,https://maps.app.goo.gl/m8whjuFEfStZAwNj6,9GG4+HX El Sadat City,30.376438,30.507438,https://lh5.googleusercontent.com/p/AF1QipOnxi6mFeDzVO7yBiJG39uWMmiV0p1f1TGNIHek,https://lh5.googleusercontent.com/p/AF1QipMhM4fsd8e-_IYx3Ay3DoVSuBHIKP_ZSZb4YuDJ,https://lh5.googleusercontent.com/p/AF1QipNUxSRk7KEV4qzTTu1kSyuWm5ENz8WCQvhE6fij,https://lh5.googleusercontent.com/p/AF1QipOIUxTWifD4NrRlxKFTbr2yJimiWkCVYPhyGYqR,//:0,https://lh5.googleusercontent.com/p/AF1QipPPsvVtFOXyGyNnTwZiVoRFx0Fi6xd57PkZL9vG,https://lh5.googleusercontent.com/p/AF1QipNt4dEbNaWYJ3ZjTQPpzHe0YDzU-K6kOsJbTvXn,//:0,https://lh5.googleusercontent.com/p/AF1QipNgwpS-iIVW9LqHf48HOjZ7LlFBv9UUkzlxKwxL,https://lh5.googleusercontent.com/p/AF1QipMWcmjEMJVej2R3jcQvkC6sGsmpM_bFhZfuso5u,//:0,https://lh5.googleusercontent.com/p/AF1QipNQgBBAnGyFex-HwuNGC7ylFfU-4nIsbLA9-_Rh,https://lh5.googleusercontent.com/p/AF1QipPzY1TscfBhZUY0Jnf4e6-LXrC9jwZ7zEloQiCI,//:0,https://lh5.googleusercontent.com/p/AF1QipMq7DW7YTxC-08ZlBW8HwQAUY30Mx_bZoS13QgJ,https://lh5.googleusercontent.com/p/AF1QipMq7--HORBjNwjBeDxcPy5EU9dXjsEfA7p0lKWn,https://lh5.googleusercontent.com/p/AF1QipMFBVcWDb-xkYbHczU2eb4K2zRvFA3UkaCkLLRM,https://lh5.googleusercontent.com/p/AF1QipMP2Skq5zSa5Vcy-xIG6T1qpEEcIoCcQBvA8TJ5,https://lh5.googleusercontent.com/p/AF1QipMcMbYTTBHfOudhyhVPAh7KLPWxj6w6yciDazA2,https://lh5.googleusercontent.com/p/AF1QipNVYFleLhKgGs16PDlX-v2q-NA2dtQAeZ0GMcF-,Malls,Menofia,Shopping mall
City mall,"H294+JV4, Al Galaa al bahary st, Qism Shebeen El-Kom, Shibin el Kom, Menofia Governorate 6131571",010 09500699,https://www.facebook.com/citymallshibin/,4.3,116,Monufia,https://maps.app.goo.gl/8KGxGSfx4NL3pDsE7,not available,30.202937,31.069688,https://lh5.googleusercontent.com/p/AF1QipMEzsYzGkrC7qd287-9wV8sUWZD_jkKM-pTIDI,https://lh5.googleusercontent.com/p/AF1QipNpmkOm7f3sqK9UdG7Za3jPovFTu1Bab-WtjkQI,//:0,https://lh5.googleusercontent.com/p/AF1QipPPK3bm67QoTHMKg18mUZt_OuWVDyQkxdCRg21O,https://lh5.googleusercontent.com/p/AF1QipOuFsyfMo56ooz2szrmiennartyBfUzOl8fpXo,//:0,https://lh5.googleusercontent.com/p/AF1QipNcQs0dKfM9HmaNb1-Gv2fVlk38C2ct5R077DfT,https://lh5.googleusercontent.com/p/AF1QipMKC7Ai6Tsxr1ltKeew1aMxSTEzeNnPansnUY-C,//:0,https://lh5.googleusercontent.com/p/AF1QipMv28k9m4xjsAzev8kkQ2_-IFGb8Ulh7lXHv12a,https://lh5.googleusercontent.com/p/AF1QipNRcGhDv03OwAyFgXTDcgv5Gmz5NIcFr6eTq78,,//:0,https://lh5.googleusercontent.com/p/AF1QipOPKvuh4jrNVvliyU2BnHsATUgTojALauWUkZA,https://lh5.googleusercontent.com/p/AF1QipPJIyeQUIoSwxOU47dAUwRNaw7eBMn41wSc3SN1,//:0,https://lh5.googleusercontent.com/p/AF1QipNjsM3jVniFqkz8xWTDe5NMOekyefBef9gT9QjX,https://lh5.googleusercontent.com/p/AF1QipPcayvLwasu7q1UAvr7he-zh7khuFRkmPrO3t78,https://lh5.googleusercontent.com/p/AF1QipMO6P62kSCLoAN67Ryf_TSwGo9h2tNSGuKJXivD,https://lh5.googleusercontent.com/p/AF1QipP-m_qtKgK3biv5FPyrENt2CzAEzg9Gr8iialPE,Malls,Menofia,Shopping mall
Downtown Mall,"9FFX+2QH, El Sadat City, Menofia Governorate 6010230",not available,meamargroup.com,4.2,6,Monufia,https://maps.app.goo.gl/GcFtSw7pRxB8VAdS6,not available,30.372563,30.499437,https://lh5.googleusercontent.com/p/AF1QipOUCw6rK5gjFuliGAdV2xmoBax9Vam6_0m1lWA2,https://lh5.googleusercontent.com/p/AF1QipOQ0dOnO9Cly-GV9QwLCKwqlBUTuKjg2OKmYbWL,,,,,,,,,,,,,,,,,,,Malls,Menofia,Shopping mall
مول الماسة - Almasa Mall,"9G89+5H3, El Sadat City, Menofia Governorate 6010447",010 29251377,https://m.facebook.com/Elmasamall/,4.3,30,Monufia,https://maps.app.goo.gl/7imRpfewJJWgzfrW9,not available,30.365437,30.518937,https://lh5.googleusercontent.com/p/AF1QipM1vk-h_8opG3BzE2pBdQwQ43n6XMc_OV40dKpB,https://lh5.googleusercontent.com/p/AF1QipMw-pR-y4kTgVRTgUifayQLq3xCA85OCZ85ZxP0,https://lh5.googleusercontent.com/p/AF1QipOZQTLCWk29RqFzjBKWXFymh78sDJXPwjzfQowN,https://lh5.googleusercontent.com/p/AF1QipMAPu7BHL6AXeYfjUksNXdVC8VKbAu1nhmLy8Dx,//:0,https://lh5.googleusercontent.com/p/AF1QipO_mWg4qkYcBxYa49s0lcV3u_cWAN6SqaOIyuIe,https://lh5.googleusercontent.com/p/AF1QipP1Soz7BfWaTiNXmZ7C8HP_ffc3F6m6b4YZCAwG,https://lh5.googleusercontent.com/p/AF1QipNlIl5NMAQdAMjmEQfsAYCTYHt8ClW2D8WvycQj,https://lh5.googleusercontent.com/p/AF1QipP53COlCFORdyEucE8f6QnpJkIVqxKGDa4gHspj,,,,,,,,,,,,Malls,Menofia,Shopping mall
مول العاصمة capital mall,"G2X8+W8Q, Qism Shebeen El-Kom, Shebeen El-Kom, قسم شبين الكوم، شبين الكوم، المنوفية،, Shibin el Kom",not available,Not available,3.9,17,Monufia,https://maps.app.goo.gl/buVSH3w4vuVzUGCQ9,not available,30.549813,31.015813,https://lh5.googleusercontent.com/p/AF1QipMhLt0LAs9lHYPdZNOghWm9nMSHS-R54-_KNrc1,https://lh5.googleusercontent.com/p/AF1QipOyink-p6pmv47CoHKV4WqfonA_BSYTyL29gORN,https://lh5.googleusercontent.com/p/AF1QipMJJWw-OdY06t_Ni7vCfhegoO4-IA2CI2gGN3wd,//:0,https://lh5.googleusercontent.com/p/AF1QipM-i_ojbc5AADFOHznz3742WQPlxrmCTZ2EAvt7,https://lh5.googleusercontent.com/p/AF1QipMOjmE9JBE6lOTutZCmOzUPwZ2QUjYrjPj4gz2U,//:0,https://lh5.googleusercontent.com/p/AF1QipOm6EJvtrlAGnO6iI7XODpZLaNhihAJWmv20AW6,https://lh5.googleusercontent.com/p/AF1QipPXpImtfNghqR772eL8mDYFppod99ECxZMFfQAX,https://lh5.googleusercontent.com/p/AF1QipP_TuLmZgyv0VEi0OCQPS4l_Pbdy-L3CN7pxWUF,https://lh5.googleusercontent.com/p/AF1QipPOketo-jJvAqOOJhW42V7u9Bk4fGRmtjyy922j,,,,,,,,,,Malls,Menofia,Shopping mall
Abouhamar Mall,"بجوار التشغيل والصيانة, محور خدمات, El Sadat City, Menofia Governorate 32897",015 58899420,Not available,5.0,4,Monufia,https://maps.app.goo.gl/KcvgYZmAfsHRVsvN8,9G75+WH El Sadat City,30.364812,30.508938,https://lh5.googleusercontent.com/p/AF1QipPsB0TI8Sz23aQGr5c1dcrrb312GsWqnU6q6-cy,https://lh5.googleusercontent.com/p/AF1QipPaUGB6Xza77vdmk8xOGUJSxavR5yikH6VmwYv_,https://lh5.googleusercontent.com/p/AF1QipNc3asJzwlJSrO2zLf8jasaz_PzQebDPd-uApfG,https://lh5.googleusercontent.com/p/AF1QipNt-18LkMyAskqkUlt6N8Ow70Y15DrZ8YCVb2pf,//:0,https://lh5.googleusercontent.com/p/AF1QipNMp54DbvXsOCYf-9FCd_iHrjL2BGO5bnGu80so,https://lh5.googleusercontent.com/p/AF1QipMpUT2xPUQJIWV4EPvTqjB6-2vC42AYd4Mgjpwq,https://lh5.googleusercontent.com/p/AF1QipO4Xx-klLiulp1HrM8SpoVaTYfhgd4YZcpH9-_V,//:0,https://lh5.googleusercontent.com/p/AF1QipPXUpILiOdCD741Mo2rLZkPBwwY8dwznjfnRPub,https://lh5.googleusercontent.com/p/AF1QipPa8hR3bS-kUZWax5E1wBl4lh-JIf90F2yknx-l,https://lh5.googleusercontent.com/p/AF1QipM3MhXM4f71lUoBrnHtMzqeqBY8smDf6q7FFp2J,//:0,https://lh5.googleusercontent.com/p/AF1QipM5WPNTXjtpIvTobYDeF-zbGvwf0j3YRyIb7LxN,https://lh5.googleusercontent.com/p/AF1QipM6S3QnRjT9nnLxcPkubBcgxk6mNDIX9SoCPJi8,//:0,https://lh5.googleusercontent.com/p/AF1QipO67iJWiMlTH425-0fE5b-TZtoqneVTEqZSzyzO,https://lh5.googleusercontent.com/p/AF1QipOMM4-6L3JfN9z7Vf9PYgCMgDauFxdItX_9OQXF,https://lh5.googleusercontent.com/p/AF1QipMMHQ3sgQFR6MvOmPUq2cSaLayg8oBQUQ_GU95s,https://lh5.googleusercontent.com/p/AF1QipMecv-luSYE5VNTuku1zuKXVSmUqHgPH4Qw4mkL,Malls,Menofia,Shopping mall
مول الجامعه المنطقه ال 11,"شارع عباس العقاد, El Sadat City, Menofia Governorate 6011466",010 21960219,Not available,3.8,97,Monufia,https://maps.app.goo.gl/S4DZUoXAJgBVe3rK9,9GFW+P3 El Sadat City,30.374313,30.545187,https://lh5.googleusercontent.com/p/AF1QipOMNrjzIdYnLIOoG2s9xxQH94jGWOHMgfxBiBRb,https://lh5.googleusercontent.com/p/AF1QipMsh2jp2_YzIbupLJJuAtomEsn-nvJXzSOfN42I,//:0,https://lh5.googleusercontent.com/p/AF1QipPdKzHW05RsMsL4gWiblbjkmOGVYZwDLMYSKI6x,https://lh5.googleusercontent.com/p/AF1QipPKfbVSBZTOsBeH8BDFeejwK-sYIgn-_dbJsGpm,//:0,https://lh5.googleusercontent.com/p/AF1QipOxuheVWXXjV4QTaVmQfpI8KcLcITZftdE3gf-M,https://lh5.googleusercontent.com/p/AF1QipN91GciBEfi7phR4_mG8UjQ8M3HVm637lZc0gIO,//:0,https://lh5.googleusercontent.com/p/AF1QipN8XfjBh5AgPcmkCF0gC85JKyn3C4_OMEgrHnLM,https://lh5.googleusercontent.com/p/AF1QipP4hNc9qxoXlmbcc3er7Mi_C19W_WlcpgVsO-Kg,//:0,https://lh5.googleusercontent.com/p/AF1QipM91kOJ6hpxz4qqGqDK8N7L5JGLcYTEbeTtP6TQ,https://lh5.googleusercontent.com/p/AF1QipP7qapHzO0zx1T40fhboyCwHeVKEiblIoSKXsJi,//:0,https://lh5.googleusercontent.com/p/AF1QipP7ueKF4E_-tw20-MXvr6CCK4LGsFvf7K5ugq78,https://lh5.googleusercontent.com/p/AF1QipO3JGRoPQs0u-FUXQyg1qgxfYvn_67vJFUR9Th1,https://lh5.googleusercontent.com/p/AF1QipOTWlHhv3llF9POTuGjEhparhvj6CJ-TRgSBnue,https://lh5.googleusercontent.com/p/AF1QipNzkfFGQYlEaP9VWQbVuuemIfmvi6TbFNi_Unzt,https://lh5.googleusercontent.com/p/AF1QipNCwM9Nonyq37es9c1ePYqOWzkW5jdpFeaCt35F,Malls,Menofia,Shopping mall
النيل مول - The Nile Mall,"9GFF+47Q بجوار حضانة البسنت, El Sadat City, Menofia Governorate 6010740",not available,Not available,3.7,3,Monufia,https://maps.app.goo.gl/niPibXA8BDoeE2LS7,not available,30.372687,30.523562,,,,,,,,,,,,,,,,,,,,,Malls,Menofia,Shopping mall
Plaza international trade center,"El-Gomhoreya, Madinet Menuf, Menouf City, Menofia Governorate 6052162",not available,Not available,,,Monufia,https://maps.app.goo.gl/fbk91w2cwtWTq1zM7,FW6J+24 Menouf City,30.460062,30.930312,,,,,,,,,,,,,,,,,,,,,Malls,Menofia,Shopping mall
Dar Misr Mall,"El Sadat City, Menofia Governorate 6011121",not available,Not available,4.2,791,Monufia,https://maps.app.goo.gl/7v4ZdRQDUbG9uJPTA,9GPP+W2 El Sadat City,30.387313,30.535063,https://lh5.googleusercontent.com/p/AF1QipO-MAUuKqRG7REdJfJ-Qjc0m3BFQPCrX5sC4GuA,https://lh5.googleusercontent.com/p/AF1QipNNtp2Qe7i54XoN7J39gaIWE_Qb2Xjtc371ZS7S,https://lh5.googleusercontent.com/p/AF1QipPLifNYfjFDm7TwLgap_2lQXrXn0QmWMzjkdrF0,//:0,https://lh5.googleusercontent.com/p/AF1QipN_j3E8KaVa6-YmL1IBu759fin79J4gcQPPMYJE,https://lh5.googleusercontent.com/p/AF1QipMwZ-icNRka3Yfw_vcpmp_7ItfNgC4JAu73dKr8,//:0,https://lh5.googleusercontent.com/p/AF1QipNLp-MsHn4okO0xi82IX_sq3Wt_2-E7gVA1-aHj,https://lh5.googleusercontent.com/p/AF1QipNzPhZQqnYWiGuv9p9XujkQWkgCM-ARBaOTiHc5,https://lh5.googleusercontent.com/p/AF1QipP4vnrlvSBvRZPObxncCvRQ6XYcGYS8c8jtj6FN,//:0,https://lh5.googleusercontent.com/p/AF1QipNnoPvZV_DDp5xoWuJcN_L3MbryWz4u7ZJT8SrW,https://lh5.googleusercontent.com/p/AF1QipO8evw9H_J-jnTAKrUz0qLve-05gxC2tWIdkCia,//:0,https://lh5.googleusercontent.com/p/AF1QipOxmfgrMt4Z350LHlWpu5gUjz80urNzHfG6zGbB,https://lh5.googleusercontent.com/p/AF1QipOJ0VH9ByvJdmF_ZMZQ9CuIrvRfdKUiyck5EKs,//:0,https://lh5.googleusercontent.com/p/AF1QipNK3Z0AbdZLivV5drR780Jb1tZHg3OBMcCOU0KQ,https://lh5.googleusercontent.com/p/AF1QipMbreec7m0d6lMGZFsD9Hz4OqvFmmQqylWF3g8L,https://lh5.googleusercontent.com/p/AF1QipNIdgdxt71nnNh6e-pDmVX23UuIWztDCFxjf-Nr,Malls,Menofia,Shopping mall
