Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Capital Compound and Mall,"3RFG+X64، المنيا الجديدة, Qism Minya, Minya",not available,Not available,4.0,196,Minya,https://maps.app.goo.gl/ESJTEmDiey3iG66u7,not available,28.074937,30.825563,https://lh5.googleusercontent.com/p/AF1QipObBucu7xY7eCStTY5LqfrLwUkGuE9ENeEbmEuC,https://lh5.googleusercontent.com/p/AF1QipNs7D4DGcJNaWxubxQopqaUlT-z0MQVMrFxxFCi,https://lh5.googleusercontent.com/p/AF1QipMtTQnjKU7mlMHvS3GepkbtslGsiE4QU4v4FyPw,,,https://lh5.googleusercontent.com/p/AF1QipNbm9LBwplz22OmGDz3bfCCd7k9q8iwpMvxzbf2,https://lh5.googleusercontent.com/p/AF1QipN3UUMrwfdtlvHAXgdRSmmIfsw-1mPq0agTz3lG,https://lh5.googleusercontent.com/p/AF1QipOgL13I8AXYHapdxoaJJFZTnFhSBNKnpsTpM-f9,,,,,,,,,,,,,Malls,Minya,Shopping mall
ريمو كار أولاد شكري,"3QW4+FMV, Qism Minya, Minya, Minya Governorate 2451114",010 06254497,Not available,4.4,10,Minya,https://maps.app.goo.gl/G4k5rUrJhVF2uVPr5,not available,28.096187,30.756687,,,,,,,,,,,,,,,,,,,,,Malls,Minya,Shopping mall
Target Mall,"المنيا الجديدة، الحي المتميز، قسم المنيا،, Minya Governorate",086 2295211,Not available,3.5,622,Minya,https://maps.app.goo.gl/q8jbfEjUGYSCkg3g7,3QRX+PC New Minya,28.091813,30.798563,https://lh5.googleusercontent.com/p/AF1QipPbk0xldu_6_QxKIKL2jlhYBdpNPMH9YWYkfgfE,https://lh5.googleusercontent.com/p/AF1QipPrkn83FraW7GBGev2tQ_TSSDxGittXfw_h7CzH,https://lh5.googleusercontent.com/p/AF1QipPdCmy6XHqhz9FEWA7CSb01AKxqbAd5FVmANUC6,,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPL1kb0aqI7mlKcuNUACZpJIbQc8XpEhgbShGBr,https://lh5.googleusercontent.com/p/AF1QipNFbXC1keJcBVySzUXgul5eDrJH35vdHTcbN3xt,Malls,Minya,Shopping mall
Al Hayat Mall,"شارع ابن سينا، الحي الرابع، المنيا الجديدة، قسم المنيا،، المنيا،،, elminya, Qism Minya, Minya, Minya Governorate",011 00919201,https://www.facebook.com/AlhayatMall,3.6,746,Minya,https://maps.app.goo.gl/CKFSQXrk4WvyPSKH6,3RV6+3P Minya,28.092688,30.811813,https://lh5.googleusercontent.com/p/AF1QipOH87iRxfx1tJPE5G67rAXn7GGruHDmK0CLlCeR,https://lh5.googleusercontent.com/p/AF1QipPR97pt_2ReQTeqNToesQRVJKmqtYMKkGrIod2x,https://lh5.googleusercontent.com/p/AF1QipO5gxAwRdx7ZC_KWIYYMRoN3E0aT7lKSmdDvUYH,,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNJgUiatfEMJDrB72Xf9KWQo3x62fyM64uLGiA-,https://lh5.googleusercontent.com/p/AF1QipPW2vJ34EYMb8izbZHNX5Q5ByXukaUpE9w7_MkB,Malls,Minya,Shopping mall
Golden Mall Minya,"3QW4+JXH, Back, Qism Minya, First Al Minya, Minya Governorate 2451113",012 28291392,Not available,5.0,1,Minya,https://maps.app.goo.gl/fki8jLATfbatGXD68,not available,28.096938,30.757937,https://lh5.googleusercontent.com/p/AF1QipMa2_AS5EGuMJCuezKA9Z4IjQUVFD26tr9yYuuA,https://lh5.googleusercontent.com/p/AF1QipO_iZ8IHEMVhPKx7h4gv2emLTe7PoS21bC5b_nZ,https://lh5.googleusercontent.com/p/AF1QipMPQGKGcInNhGR6rkPKcewo-O2Zw1m1ja4bxcy6,,,,,,,,,,,,,,,,,,Malls,Minya,Shopping mall
الباترينة,"4Q42+PWH، طه حسين، قسم المنيا، مركز المنيا،, First Al Minya, Minya Governorate",010 93605542,https://www.facebook.com/Elbatrene_%D8%A7%D9%84%D8%A8%D8%A7%D8%AA%D8%B1%D9%8A%D9%86%D8%A9-2488705567913843/,5.0,3,Minya,https://maps.app.goo.gl/1hEVMVrWtZqXBSAR9,not available,30.251438,31.460563,https://lh5.googleusercontent.com/p/AF1QipM5i_RVaN2A3Ws1shVrVQGeybMJCoPkbfqWbrT_,https://lh5.googleusercontent.com/p/AF1QipMUWMIrcSdp0uTRo_5BlO3iQHFpy_iqOXrZR2bi,https://lh5.googleusercontent.com/p/AF1QipNBaWNnfJxaAwvLwdTvMJLkrtAageySFWr08ExP,,,https://lh5.googleusercontent.com/p/AF1QipOUF-0XDem86KhGXVTvQ0IATMku3YNy_H4bA_qK,https://lh5.googleusercontent.com/p/AF1QipM5NPxz8LM0-f6IyA81Cm_iDxriusOJ9dENR8eK,https://lh5.googleusercontent.com/p/AF1QipPVD72WOJ4yw-z1Ksv6uJPSdqhfEUG1AGSY2Ob1,,,,,,,,,,,,,Malls,Minya,Shopping mall
Outlet El minya,"18 El-Khalifa, Qism Minya, First Al Minya, Minya Governorate 2451142",not available,https://www.facebook.com/groups/1195232720599322/,5.0,2,Minya,https://maps.app.goo.gl/GA2MLk8cMgvMktXE8,"4P6X+6W Qism Minya, Minya",28.110563,30.749812,https://lh5.googleusercontent.com/p/AF1QipN5aIomXM5L7ePvP-sgUaEs3LOPNSgm_0YngYkW,https://lh5.googleusercontent.com/p/AF1QipOWvacsqN7-YE_bC0gLr76dcwU9qUsbXYPz4JtK,https://lh5.googleusercontent.com/p/AF1QipMq5ZBkFqIcJnFftQmdSbSTdGfDyNrSkYrW0aos,,,,,,,,,,,,,,,,,,Malls,Minya,Shopping mall
Mall Tiba Blaza,"Qism Minya, First Al Minya, Minya Governorate 2451120",not available,Not available,4.3,17,Minya,https://maps.app.goo.gl/PuNybR4WNPruekj57,3QX4+43 First Al Minya,28.097812,30.755187,https://lh5.googleusercontent.com/p/AF1QipO81O-hiqYgxmFUu21d71g1uBlUnj83QcwsV4aX,https://lh5.googleusercontent.com/p/AF1QipMoVzhuK051JxDcAWOvFvlp_1q_E3FBHv8TItw9,,,,,,,,,,,,,,,,,,,Malls,Minya,Shopping mall
MAX & CARROT menia,"4Q23+RQ9, Taha Hussein, Qism Minya, Minya, Minya Governorate 2451173",010 06007330,Not available,5.0,2,Minya,https://maps.app.goo.gl/oGAEDo1p4cx2ffFF9,not available,28.102938,30.753937,,,,,,,,,,,,,,,,,,,,,Malls,Minya,Shopping mall
Opal Silver Store,"Qism Minya, Minya, Minya Governorate 2451141",011 46862369,Not available,4.5,11,Minya,https://maps.app.goo.gl/XsZDTwyGus8nnnRv6,4Q52+X6 Minya,28.109938,30.750563,https://lh5.googleusercontent.com/p/AF1QipPG8jSVvWpYdQQq7Jw6xMiLFwBv3TXpCErwDaQx,https://lh5.googleusercontent.com/p/AF1QipN3bPq94lhQSuepSG7-DYMmns71XX7i3k8Jywxz,https://lh5.googleusercontent.com/p/AF1QipNB6B6oIgwY5E4M1uMxifHcQ-Rvf2u57Y83sV_e,https://lh5.googleusercontent.com/p/AF1QipMbL37VUVoGNopRiAH-nCxD1AooAZuR9V1qxt0s,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMiSolDcorkpEYHKy0Mlnupw2sUoHY-EDMvBfcd,https://lh5.googleusercontent.com/p/AF1QipNoknIwBCTCzKvPixLdsmpFBN_3zvzt7CepZvuI,https://lh5.googleusercontent.com/p/AF1QipO0XPyM31btN1Pz3TnKD2xDWpwSmzx-2M8iz3t1,Malls,Minya,Shopping mall
