Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
شركة جنة و ريتاج للمفروشات السورية و التركية,"37PC+CVH, سوق غزة للمفروشات،, Port Saeed, El-Zawya El-Hamraa, El Zawya El Hamra, Cairo Governorate",011 11241545,Not available,5.0,5,New Valley,https://maps.app.goo.gl/W7uhEtBLyWkHvR2c6,not available,30.118750,31.286250,https://lh5.googleusercontent.com/p/AF1QipMm2Qxs5EjYPxxJZVW5whYZLLdMd7irtUSFhO5b=w408-h544-k-no,,,,,,,,,,,,,,,,,,,,Malls,New Valley,Shopping mall
Almaza mall,"Passage Inside Almaza Airport, Sheraton Al Matar, El Nozha, Cairo Governorate 4472001",02 25998260,citycentrealmaza.com,4.6,"45,432",New Valley,https://maps.app.goo.gl/VG7STboDM8MfRNsx5,39J7+7X El Nozha,30.080687,31.364937,https://lh5.googleusercontent.com/p/AF1QipN8wyA8m87uJ1uMLB1zFOrOCJBj-B1sIVVly9cS,https://lh5.googleusercontent.com/p/AF1QipPL5GssHAekmboioMvoA8dBXnN5wedbNaBRcJJD,https://lh5.googleusercontent.com/p/AF1QipOiKK72CJKKlbP73lSAJ4m70VntqRmz0OJNl-0W,https://lh5.googleusercontent.com/p/AF1QipP3RyXhhSXfEwnk3nbVULm5Yfy9bFsCii3Odv-A,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOb8tt1-RIPAUVceYF4LcVRmKHjIW5UJS59GYi8,https://lh5.googleusercontent.com/p/AF1QipM9G0q_QW47o59PDaGrmSHRdkCyHwjlqQI6MRIZ,https://lh5.googleusercontent.com/p/AF1QipPkc67KnR2Y-wcHCSjKgt7Xr7Sd5yDJm-L4hRaX,https://lh5.googleusercontent.com/p/AF1QipOXeJSEWqZ9z2W9xBMb3erkOwNnaeZNaKBK6OYe,Malls,New Valley,Shopping mall
Citystars Mall,"City Stars, Masaken Al Mohandesin, Nasr City, Cairo Governorate 4451620",02 24800800,citystars-heliopolis.com.eg,4.5,"131,760",New Valley,https://maps.app.goo.gl/oMcWL4JfJ5RVhXgm6,38FW+56 Nasr City,30.072938,31.345562,https://lh5.googleusercontent.com/p/AF1QipNuz2_iEYFHtSCZA9DWVU7ikYM9NKlYZGLIdCFW,https://lh5.googleusercontent.com/p/AF1QipP2FABGrT8Astny7MBa6oqyHKxRiYANQyXGX83q,https://lh5.googleusercontent.com/p/AF1QipO3Yq5jm9uhq_q5Pg9sbjEEiRMjpZlI37tD82TN,,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOrtof5UDXUp5MiRbq3ycK49Jds9WyEVpuBbOgU,https://lh5.googleusercontent.com/p/AF1QipPA8PU55xVkoEkED7ZkiB-DrHcwZj0PTJ8n47a_,Malls,New Valley,Shopping mall
Genena Mall,"Al Manteqah Al Oula, Nasr City, Cairo Governorate 4450143",02 20820621,genena.com,4.2,"31,371",New Valley,https://maps.app.goo.gl/E1WH5b2b4P8GL7Cc6,386J+6Q Nasr City,30.060563,31.331938,https://lh5.googleusercontent.com/p/AF1QipPId1Q_x6l_Ivo0yZZvFGsEDTKXnBA-0YAEkLT4,https://lh5.googleusercontent.com/p/AF1QipOS_nkrZoMLilPv9vXiFQ-WhreXhfwCSLImTxDK,https://lh5.googleusercontent.com/p/AF1QipOp4ke1TFl85bJgqpuwrlVb2uu3-IoH5jSKMhgF,https://lh5.googleusercontent.com/p/AF1QipNtHeam7pKbzMdkePyt3Dk5-9avUcadZZwOEFcK,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPSPHOJD3v3eXwlp7klcgthAZ1iVL9Iib9SCPla,https://lh5.googleusercontent.com/p/AF1QipOECy5ERHyLIMKmpOZU28HknIWlDq7tUF1SnBUf,Malls,New Valley,Shopping mall
مركز عمو هاني,"Teraat Al Daker, الزاوية الحمراء،، قسم الزاوية الحمراء،، Cairo Governorate 4371421",011 11464764,Not available,5.0,2,New Valley,https://maps.app.goo.gl/CXQ3yunrkA2RwMoN8,4738+22 El Zawya El Hamra,30.102562,31.265062,https://lh5.googleusercontent.com/p/AF1QipNvMRsZrAOZG5VVR3TQ88njzhIjY-nDDASb86pe,https://lh5.googleusercontent.com/p/AF1QipP95d0eoqe1TldsrxSTkv3bU7WQWcNCLH1amri1,,,,,,,,,,,,,,,,,,,Malls,New Valley,Shopping mall
El Helal Stores,"5 Awni Abd Al Dayem, Hadaeq Al Qubbah, Hada'iq El Qobbah, Cairo Governorate 4381011",011 16333014,elhelal.com.eg,4.0,1,New Valley,https://maps.app.goo.gl/ZbmHLamKB5Kvp9Gx9,37QG+X3 Hada'iq El Qobbah,30.089937,31.275188,,,,,,,,,,,,,,,,,,,,,Malls,New Valley,Shopping mall
El Amir,"36HX+Q77, El Barad, El Sahel, Cairo Governorate 4352010",02 22024256,Not available,4.1,699,New Valley,https://maps.app.goo.gl/gqgxFUUpnt6LjJDp8,not available,30.079437,31.248188,https://lh5.googleusercontent.com/p/AF1QipNhxsuybWe0EuhmSMhUkfBZ1rWBY5zCEgxwkEk,https://lh5.googleusercontent.com/p/AF1QipONkh8JQ1DhVObiioMn3tfKbivxllprc2vR8RRv,https://lh5.googleusercontent.com/p/AF1QipMtP6Ri3m_KvLE4lknr7qCw6VZoHnBFsX97VhGu,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipP1E2kaiJ2x3eAItwclgm3WA-ihkNVujFYYz46C,https://lh5.googleusercontent.com/p/AF1QipMl51Jz_LLRmRPRreKQPsI133leyEKpCu2hKsIQ,https://lh5.googleusercontent.com/p/AF1QipOsiWYyFY0NfmsLl_P6f1EGH00xC6fGSfGUlpQF,https://lh5.googleusercontent.com/p/AF1QipP9RaFroOf9k8KeiTpKLzLQyAFRh-lJMd8EHAtW,Malls,New Valley,Shopping mall
كامل البلبيسي,"78 Teraat Al Daker, El-Zawya El-Hamraa, El Zawya El Hamra, Cairo Governorate 4371434",010 01352838,Not available,4.2,12,New Valley,https://maps.app.goo.gl/cdjMif7z8taydgoy5,4728+8V El Zawya El Hamra,30.100812,31.267187,https://lh5.googleusercontent.com/p/AF1QipMj--PR3Cuky28PLC1NzdzYQPjTswg3BWFUB1-B,https://lh5.googleusercontent.com/p/AF1QipM8T5a21cz9oKkBWRdfUPlCTWm-HyRPDRnAMzfD,,,,,,,,,,,,,,,,,,,Malls,New Valley,Shopping mall
شركة الإيمان التجارية للجلود و الأرضيات(أيمن حسن),"29 Ibn Khaldoun, As Sakakeni, Daher, Cairo Governorate 4336025",010 12215000,Not available,4.7,12,New Valley,https://maps.app.goo.gl/DMyBseCNNZiTpEAJA,3789+66 Daher,-37.934438,145.268062,,,,,,,,,,,,,,,,,,,,,Malls,New Valley,Shopping mall
بلبل افندي,"19 Iskandar Mina, Masaken Al Amireyah Al Ganoubeyah, Hada'iq El Qobbah, Cairo Governorate 4382164",010 30517351,Not available,3.6,37,New Valley,https://maps.app.goo.gl/tz5eRi2ajPVpv4Mf9,37WJ+M2 Hada'iq El Qobbah,30.096688,31.280062,https://lh5.googleusercontent.com/p/AF1QipNXjD4XiVnag7qka2p6_Ydg7ke-zSJ4SBexGMnn,https://lh5.googleusercontent.com/p/AF1QipNRAjUChU6Mday1h029jX6KUt8qOc-zYhXWnFap,https://lh5.googleusercontent.com/p/AF1QipMa30mvY1ZsLyP1OMetEC9wFubLTvecR24qnr5D,,,,,,,,,,,,,,,,,,Malls,New Valley,Shopping mall
