Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Senzo Mall,"Hurghada 1, Red Sea 1961530",3RWC+6Q Hurghada 1,senzomall.com,4.4,"22,998",North Sinai,https://maps.app.goo.gl/74vKa5L4EhbjbVVJ7,3RWC+6Q Hurghada 1,27.095562,33.821938,https://lh5.googleusercontent.com/p/AF1QipMMz1pT9y6NUeba0LgFxWAKhgSwrAFjwiIy8yVV,https://lh5.googleusercontent.com/p/AF1QipNAyB3BVKBquki_Bh5z1mPtx0wIkheIbz_v9yLr,https://lh5.googleusercontent.com/p/AF1QipNKdUjXP03ZcLpBRFJgIE5BEZHIpK48srNgdn8,https://lh5.googleusercontent.com/p/AF1QipOkBzFyXmNw1HzBZGk4Ed9E-uKxqf97PCuxL_f6,https://lh5.googleusercontent.com/p/AF1QipM21Se1CWSGWzTzpYwAAX0rp84ZpZ79qw-WGYJq,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNvbZGWyvACcmC71AMRWQ7N3V8KtR6I0XHnbnpV,https://lh5.googleusercontent.com/p/AF1QipOUEed3jCGyy_3rhK2M_u_twXi9JbOvA1j-XqSS,https://lh5.googleusercontent.com/p/AF1QipOfXc8ygTf4SDDxvw7wdLHFsoZL1KX6ormqGkJg,https://lh5.googleusercontent.com/p/AF1QipM4tW92K33ECbMAuSrO224c1YiN6lN94wuQUY4K,Malls,North Sinai,Shopping mall
Hurghada City Center,"Arabia Cornish road - Adjacent to Hilton Plaza hotel, Hurghada, Red Sea Governorate 84300",7R4H+FG Hurghada 2,hurghadacitycenter.com,4.4,"7,274",North Sinai,https://maps.app.goo.gl/rxHjWWBBqW4xpQRp8,7R4H+FG Hurghada 2,27.256250,33.828750,https://lh5.googleusercontent.com/p/AF1QipPOxHJgpYGUCnebQ8tASoSSylYSMg504Y7UUaZa,https://lh5.googleusercontent.com/p/AF1QipPeY7Y50UcBKlfFhiYgAnJUiikkrq_PjXwqMFnn,https://lh5.googleusercontent.com/p/AF1QipN9Cy0Yx8Rm7aeJGp9qypGAHqEAw68m94bCg8Db,https://lh5.googleusercontent.com/p/AF1QipMlnvQPzEpixsk9x_EaPz0ifBiJRuo4JIKRnpHN,https://lh5.googleusercontent.com/p/AF1QipOxDp4_-esoDqyLubldP4q7VX0Ib68VGjkwCndf,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipN-Xg7f0MtDklpk9xWa4hC31YqqLq3bfGQnXpLA,https://lh5.googleusercontent.com/p/AF1QipMpX0uv56pa-vliuw3yX0HQ7vdF1LWWYqsDGYpT,https://lh5.googleusercontent.com/p/AF1QipO_OQB41p7fNIm8qxZv-6cnsVRkcwspIZ1n5Dm3,https://lh5.googleusercontent.com/p/AF1QipM8wnKDOf-EmjvrBRizBS7YcYtWje3vnH8rGGnv,Malls,North Sinai,Shopping mall
دهب مول الغردقة,"7R28+Q54, DAHAR HURGHADA،, ثان الغردقة، البحر الأحمر،, Hurghada 2",012 28689406,Not available,3.8,52,North Sinai,https://maps.app.goo.gl/sc3jMNvS8ZMEMGSFA,not available,27.251937,33.815438,https://lh5.googleusercontent.com/p/AF1QipP5VIuPP0hmTiK3fMU4sCPwYJXNkLHjl9SHo0A,https://lh5.googleusercontent.com/p/AF1QipO0CCn2jQqmmJ3mbdpTn2Ffe8eMch0Qbmkjf9U,https://lh5.googleusercontent.com/p/AF1QipM7wbZ7Q2-HYP_LOyndnh5CS6jI9I_rQcK2m7o,https://lh5.googleusercontent.com/p/AF1QipM_SspnHP24TMr0AjyEp0WnJupMeJeTC4dkzBk,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNFpIL5ow0fewXewZv7qWI7YiRAeNil4a0mJ64,https://lh5.googleusercontent.com/p/AF1QipNYAWGVisr_QFQ6SMjAL60XVGofBBgRyGtNrvAP,https://lh5.googleusercontent.com/p/AF1QipOrMsakgP9N6246T5ZYXo8kOAj5BY5JikD7SNOd,https://lh5.googleusercontent.com/p/AF1QipPZiEeVblZVT2y7YJJwuAwlqvb9XtmDb-PrWtwL,Malls,North Sinai,Shopping mall
Esplanada Mall,"Touristic Villages, Hurghada, Red Sea Governorate 1962810",not available,esplanada1.ru,4.0,143,North Sinai,https://maps.app.goo.gl/dz9ZKHH53bsTHNa86,5RQM+MH Hurghada 1,27.189188,33.833938,https://lh5.googleusercontent.com/p/AF1QipPFcSPQKdoAroxYxv0hFPzZBqLXfaWOvyQ8c5M6,https://lh5.googleusercontent.com/p/AF1QipNPlZD0tQQoVXf2vowYryxR6iVkm_EdN0GcI9X9,https://lh5.googleusercontent.com/p/AF1QipOEazSNZQfHx8OxpNIvKmBxb9xHCKVP841g7GDc,,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNV6hzvJtM_H53Q1YRmbR_2J6_Ky2yOM3IdCUiB,https://lh5.googleusercontent.com/p/AF1QipNt8MoiJQvIksv5gYvbM5yKQCN-aTJrYLSZggti,Malls,North Sinai,Shopping mall
Cleopatra Bazar Mamsha Mall,"El Mamsha El Siahy, In front of Staigenberger Hotel, Hurghada 1, Red Sea Governorate 84517",5R8F+93 Hurghada 1,cleopatrabazar.com,4.4,550,North Sinai,https://maps.app.goo.gl/UJRipyStW5cEHVqq8,5R8F+93 Hurghada 1,27.165937,33.822688,https://lh5.googleusercontent.com/p/AF1QipOcTD5j9f7P6ggKNuJiR1HXqPPWiNIDMplFbE8e,https://lh5.googleusercontent.com/p/AF1QipPZNVFhvI4oJXEtAx4rE9ZvqqUQlVspnaWu0yoU,https://lh5.googleusercontent.com/p/AF1QipMReNNfrquzibkDD_XZsqTm8IMJUI1SFwCUZhF8,https://lh5.googleusercontent.com/p/AF1QipOH2ICOBNDs1pgWNISYCEpQzvzCPXXGsPNRtyMI,https://lh5.googleusercontent.com/p/AF1QipM35-gr_DsO1T6z7sF-nlbQ1H3z_qHbJzQMCcVw,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNTPxjeGgOpdmUs0Fv0uGYSB7KtvPjMLyeUA1_l,https://lh5.googleusercontent.com/p/AF1QipMtaZzibeoBTz2DRxJwXkKTtXWttnoxYbbm55md,https://lh5.googleusercontent.com/p/AF1QipPEAPzUjpG6VaH5pvrk8WeFagNhd-SPcuXakiuf,Malls,North Sinai,Shopping mall
Cleopatra Bazar Sun City Branch,"In front of Crystal Bay Hotel, Magawish Road, Hurghada 1, Red Sea Governorate 84517",4R2F+JX Hurghada 1,cleopatrabazar.com,4.2,"1,314",North Sinai,https://maps.app.goo.gl/rPUBzoL6u7NLKASF7,4R2F+JX Hurghada 1,27.101563,33.824938,https://lh5.googleusercontent.com/p/AF1QipNR6_lR3lNChocPPj40P3JxUYlMpxNly2EZVklq,https://lh5.googleusercontent.com/p/AF1QipOJJybakkQNf9GTbMJwDg-w5sQ5Igb7rSQLX4O_,https://lh5.googleusercontent.com/p/AF1QipMsBCXVO3AJO7VZO14AOE-xra3Qv4_rnmnk6IPO,https://lh5.googleusercontent.com/p/AF1QipN6ZxJOUqEt_T4U_0Zz1PWMrciSlLGwpJvcphfH,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipN5X59dmXmLxwv1qhH3jpyIIAC629n0NpgcIqHj,https://lh5.googleusercontent.com/p/AF1QipO3QM_R7U9oUbIgLW27VLhfUtdfvFoOwfuwcMKQ,https://lh5.googleusercontent.com/p/AF1QipOXyQOuev6Mn50w9mEoxvlGdHsP2sLtrAkwoDrV,Malls,North Sinai,Shopping mall
Overseas Mall - Hurghada Museum,"El-Nasr, Street, Hurghada 1, Red Sea Governorate 84511",5R5C+PH Hurghada 1,Not available,3.7,41,North Sinai,https://maps.app.goo.gl/vWNQRnqQgmZifyoG7,5R5C+PH Hurghada 1,27.159312,33.821438,https://lh5.googleusercontent.com/p/AF1QipPf2DJbu7acnCd9J9QDSeHZ7GzutIbhgBQyOEQ-,https://lh5.googleusercontent.com/p/AF1QipMg5JKK31gxKTOIryRtW_wMuK6UZg_4xiEN3gEK,https://lh5.googleusercontent.com/p/AF1QipOFqom3h_yxwQTeC8NhU_kX6iGn4h4cV-69mvZg,https://lh5.googleusercontent.com/p/AF1QipOBhY8BdzfmubC-_upKsSuuot2PUs4yvJ2198DG,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPp1PNuiAaJy_TgG_EU8bnaFv_oks3JTP7-oyWN,https://lh5.googleusercontent.com/p/AF1QipM4Gtk9CWI4eyoMcAax3jWox9yB-5z1JSNEASFr,https://lh5.googleusercontent.com/p/AF1QipNdmL_F9Xi0t-tAwXNp2OHDVwVE2JlvOc6y-UqM,Malls,North Sinai,Shopping mall
ALDAU Village Mall,"5RWP+5GJ، ALDAU Heights, Elmohamadi Hweidak square, Red Sea Governorate",not available,aldaudevelopment.com,4.2,236,North Sinai,https://maps.app.goo.gl/XhgQfW4ZhwGeNnot9,not available,24.195437,33.836312,https://lh5.googleusercontent.com/p/AF1QipMLS9LzOQbW3ecS5rWwNYhmRqLVacBBJIiFyt8l,https://lh5.googleusercontent.com/p/AF1QipN8cNwiElsf0ItGjTglsfVZGTCVIr9PYoi1KaWO,https://lh5.googleusercontent.com/p/AF1QipNa7B4NDlrPfS2ur0V2K7756_T8Do1Ni8n7sYa8,https://lh5.googleusercontent.com/p/AF1QipN5DAO1dZjU2xnNofCm3QwiLx1vt_fzTa_z-36O,https://lh5.googleusercontent.com/p/AF1QipOKNQIJm-oL4SXMHViCOYop_rRvIgDXVeTzJL5G,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipO3fe92TpyQNOmisMF0JpKR8BhEG_48JUG9N2m8,https://lh5.googleusercontent.com/p/AF1QipO96QQ2F_zXoogV4gcC6BfGh2w4T12O_-eCQbBU,https://lh5.googleusercontent.com/p/AF1QipMDaq9lhX0tUuXY7YCg2WnuBIMjNKhC19Bmnojn,Malls,North Sinai,Shopping mall
Cleopatra Bazar Corniche Branch,"Arabia Road, Hurghada, Red Sea Governorate 84517",6RQV+QV Hurghada 1,cleopatrabazar.com,4.4,739,North Sinai,https://maps.app.goo.gl/HtUdVJiLMbjTmhRD8,6RQV+QV Hurghada 1,27.239438,33.844687,https://lh5.googleusercontent.com/p/AF1QipN5i65wvlR9xd2VnwaIoTQ4pN-vOZoXQ8HciRnW,https://lh5.googleusercontent.com/p/AF1QipMJBAhqpEen7qSM_2BA4dkM7hHf-dokBLaRU2Uv,,,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPGw41P4UfnCTPs0G0_vMEg1vY1oz66f3Qh7WeX,https://lh5.googleusercontent.com/p/AF1QipPGKv7yJx-a1AhNZOY0SJ5m6P829iyUF_zIRS10,Malls,North Sinai,Shopping mall
Shoping Arkaden,"5R6G+HW8, Touristic Villages, Hurghada 1, Red Sea Governorate 1962607",not available,Not available,4.3,11,North Sinai,https://maps.app.goo.gl/3eTZSoU3SzBLa65r7,not available,27.161437,33.827313,https://lh5.googleusercontent.com/p/AF1QipNXEqZs09l1mCcXxP0LGpORo7Q373Z1JYGSYQK3,https://lh5.googleusercontent.com/p/AF1QipNI3JzYXPsb0FbqPCR_GgAaHGW3T9P5iqS3FGSZ,https://lh5.googleusercontent.com/p/AF1QipNUm1QiKrHfFEef9v8wLui7yJvycNm3qRrM1W08,https://lh5.googleusercontent.com/p/AF1QipOGKLk1IlbR5Q9CHhLLbm4iH78VNxxMV4qKg25J,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMWoSxD4gQ2XVNAdTh9u8HBtjUj3VmH0ztJsD8T,https://lh5.googleusercontent.com/p/AF1QipNTPaSySehnPpsjU__FakTcOtO0W5IrxZQ7lYpW,https://lh5.googleusercontent.com/p/AF1QipMLdSmHIYnkXBnazgqCj-Z-rWBi_GWiXBtlyoBG,Malls,North Sinai,Shopping mall
