Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Sun Mall,"ش 23يوليو صن مولل الدور الثانى بورسعيد، 42512",012 24807901,Not available,3.7,899,Port Said,https://maps.app.goo.gl/rgjJQsg3VBDPRnrT7,779X+HV Al Arab,31.268937,32.299688,https://lh5.googleusercontent.com/p/AF1QipPPVlOrJICt9n5qu6QhANLKzbpm_8ctdttiM4uj,https://lh5.googleusercontent.com/p/AF1QipP0m9hzs2buChXz3brgFGByA6B8GpwOWQQ_5WY2,https://lh5.googleusercontent.com/p/AF1QipMETsJswUEW-ENmFvOjM47KMRGNbNstIcJYo5X1,//:0,https://lh5.googleusercontent.com/p/AF1QipN13H2F8BKJ8WN0fOx3bYA0PLBTyphiE8i7MToU,https://lh5.googleusercontent.com/p/AF1QipNeWHApWQKkeA0GOvQU0dkD-kMExYDOqDUhFl2s,//:0,https://lh5.googleusercontent.com/p/AF1QipM7fJz-OLW-XJzx3CeAGZzX-F7SisLJ9FhmKBI5,https://lh5.googleusercontent.com/p/AF1QipNuF40I65H_w3BXApPz2Y68yvuH938vRXl2_mbU,//:0,https://lh5.googleusercontent.com/p/AF1QipPzQDklMFUKzngPg5pljdDpgriYQIoyqMHQxv4l,https://lh5.googleusercontent.com/p/AF1QipOxfS4wMlnddL-zIqAdjqVfv0uyU5iwayS46wn0,https://lh5.googleusercontent.com/p/AF1QipNpLj3AUtIRjzP0RoWAuFHnmA-Unxhb4TANa6g7,//:0,https://lh5.googleusercontent.com/p/AF1QipP6Cewjm4H0oKBGEmQHH8jv5tnMSM79i8B-UdwS,https://lh5.googleusercontent.com/p/AF1QipMzBnPhtdFzegwamLi-o3EWtQV6gcIXwywGZkD-,//:0,https://lh5.googleusercontent.com/p/AF1QipPX5XYld6uHZ076UzityMzsb7IOnjKvTxmhltZz,https://lh5.googleusercontent.com/p/AF1QipN123iDMgBN9-OUN-GKK8HoX-nIrwlhpEbofkWE,https://lh5.googleusercontent.com/p/AF1QipMclSvVrRvwbQszp5lFqhofWMuHEx4a2NSW25sU,Malls,Port Said,Shopping mall
Hollywood downtown portsaid,"77FJ+6Q5، سعد زغلول، قسم العرب،، بور سعيد،, El Manakh",not available,Not available,4.1,481,Port Said,https://maps.app.goo.gl/NFToYot498RpYL9o8,not available,30.239187,31.468438,https://lh5.googleusercontent.com/p/AF1QipPKX_5rHaEEsIOUvHzCik6kP28RZM6TRhMII3P0,https://lh5.googleusercontent.com/p/AF1QipNCPpmjgMmaPdR-mmRI9ckXrFCeKvzocJrdIRVh,https://lh5.googleusercontent.com/p/AF1QipMdDnnF9U2GOIfnSMfKfkPD7abDIw8wfiZ1aEs6,//:0,https://lh5.googleusercontent.com/p/AF1QipMjrkE1raFucFWxcB4NK18PetLX2OrHhYuV2vUG,https://lh5.googleusercontent.com/p/AF1QipNivJwLmgy6vVL7NqniOklTB_qSNfojdnrOKJyh,https://lh5.googleusercontent.com/p/AF1QipPgRuE9L91asEuWdCMOLRY4NVH4ZgiskM25yEfZ,//:0,https://lh5.googleusercontent.com/p/AF1QipPs0-CF2M8zB4J-hZXi-DmgZJTkzdtHvzODLW1f,https://lh5.googleusercontent.com/p/AF1QipMGWtPju_qzeiL931shydrzi9hwj8IIcbkgD6Hu,//:0,https://lh5.googleusercontent.com/p/AF1QipOs-QQDWJ2Qumh6YJ7IWKAwQgvo90VAfTEN_jFm,https://lh5.googleusercontent.com/p/AF1QipM5e0llvGRrLv_ph78iq_3QjIAsyShpKAqn4-us,//:0,https://lh5.googleusercontent.com/p/AF1QipMdirxsou6m5Vpvr_NOYbh5k-YwFe7a9O_C6ca0,https://lh5.googleusercontent.com/p/AF1QipNgmyWabtKAYfhdV8yTYXzWG44f-nq_ETe9ENM0,//:0,https://lh5.googleusercontent.com/p/AF1QipMRYYuXSyLtjuEWYflzix5i5xaoVFewGolC9jTP,https://lh5.googleusercontent.com/p/AF1QipPqxGZz4YJzzjqel7Dh5hN6g4ls25uBMv3SefBV,https://lh5.googleusercontent.com/p/AF1QipN1vAtJBKmIYGs5mj5k4eFf0Jh-wOo9diZJLxwf,Malls,Port Said,Shopping mall
Elsok El.togary,"777X+MXH, Mohammed Farid Bek, Al Arab, Port Said Governorate 8566531",012 89860730,Not available,4.0,"3,931",Port Said,https://maps.app.goo.gl/3U4VkNmUmcvDnsTv5,not available,31.26625,32.29375,https://lh5.googleusercontent.com/p/AF1QipOKGTgpwtEF7ZgqVOUlw2eQgc8wKv2rz09i3uN6,https://lh5.googleusercontent.com/p/AF1QipPIddTYJ0qisb2ICdQB4YWJCmgftyXXF7aTY9SN,https://lh5.googleusercontent.com/p/AF1QipNc9SammdjGr0XIKUVaFukStrIzZOlcxqjmjlDS,https://lh5.googleusercontent.com/p/AF1QipMRoHf_RWpB_J73tvjeBSwpm4_ppJESMqT8YYh2,//:0,https://lh5.googleusercontent.com/p/AF1QipNY8SOsgQpANmNEB2hhMQRgnOeoJxI5R7rqYKOr,https://lh5.googleusercontent.com/p/AF1QipPff_nY5M7fZOHM76sbZUvq9_FXDq3SoZTfyY8o,https://lh5.googleusercontent.com/p/AF1QipO6Cmz-U1JoNY_hrcLyk_5H7SsID1yxbuJXpKI1,//:0,https://lh5.googleusercontent.com/p/AF1QipNpoUJQOW-GKQJ2THQc0TztjnZAUX_ZyizVS98G,https://lh5.googleusercontent.com/p/AF1QipMQ9WMSbxs8xK5InS52Mm-AmkVVbvypO_Xo3qAt,//:0,https://lh5.googleusercontent.com/p/AF1QipPW_lfowDjaErkffEueptaSm36WNdOCjrciUQM1,https://lh5.googleusercontent.com/p/AF1QipPkpnILsVUFB0bCb07mRLLY0XUgvGpfomTz9_xy,//:0,https://lh5.googleusercontent.com/p/AF1QipNtHTcBU0EJ2Tqn-aeG8eSSBhmBEOEGjCh6IEE,https://lh5.googleusercontent.com/p/AF1QipPsUianAxdDx9sqmm8reu3XxGfLg5NrWRsKTnWI,https://lh5.googleusercontent.com/p/AF1QipP6drasmHQNmNhTzIHCrEZS5RKFLUvcLxnARSJT,https://lh5.googleusercontent.com/p/AF1QipOKRktgL8x-nMGwML1y6rKPlHQAAvAt76VQkws,https://lh5.googleusercontent.com/p/AF1QipOlB9S_xWp0FDc16cRMytKxXprcxG6_gzBRWX4l,Malls,Port Said,Shopping mall
El-Noras Grand Mall النورس جراند مول,"78C6+82R, Port Fouad City, Port Said Governorate 8575101",010 90165100,https://m.facebook.com/Magico-furniture-%D8%AC%D8%B1%D8%A7%D9%86%D8%AF-%D9%85%D9%88%D9%84-%D8%A7%D9%84%D9%86%D9%88%D8%B1%D8%B3-217596605341638/,3.6,389,Port Said,https://maps.app.goo.gl/u46gJptDKi8yii7b6,not available,31.270812,32.310063,https://lh5.googleusercontent.com/p/AF1QipNQDeD5vBt86B8vBvtoYj_yTlRdPPjjdmzBJXUG,https://lh5.googleusercontent.com/p/AF1QipMRaEZfu2upVBxyuAynv3ZfCU4Wad2Y4tQUx5Be,https://lh5.googleusercontent.com/p/AF1QipMFIIQLJHcWBPdugYE9qXWSxHcHUPZveCOWIW_J,https://lh5.googleusercontent.com/p/AF1QipNEjcbhYsr5oOUnRxdvfh4JGL715_3oeawI3gFR,//:0,https://lh5.googleusercontent.com/p/AF1QipOy87MQW9euOWh2d3hbkOJHvSK8te9fF9aWzYcn,https://lh5.googleusercontent.com/p/AF1QipPmTHuRaBCOytQozFZvn-N9HJSlgDuK0f7P3pqb,//:0,https://lh5.googleusercontent.com/p/AF1QipPv9tW4H4pAct1hj_Fx9LsNavxI8-5OxUTMpTau,https://lh5.googleusercontent.com/p/AF1QipNgtj5ltKjW4oCUSrstv8VkeHhz-_6A_ayYkoMY,//:0,https://lh5.googleusercontent.com/p/AF1QipOSb-k1MQzeGJDL97BxgYK_Xbun7icOKJqdqS6-,https://lh5.googleusercontent.com/p/AF1QipPMsP9zCREm7GrbOPgiIQdk9RmGRLxP482-786W,//:0,https://lh5.googleusercontent.com/p/AF1QipN0usPY8yamWkay3VXurYJmValATPOVmEhQNPrk,https://lh5.googleusercontent.com/p/AF1QipM7uLgZGNJ4pykpGHVRpvKf3Ny9sY-mdPYICg2O,https://lh5.googleusercontent.com/p/AF1QipNC-Rz0xSYIdIuzeibquHe5uElUNwPL83PVI1dN,https://lh5.googleusercontent.com/p/AF1QipOdaeMV_0Wyao7vSULOzOray8DvlNaY-H_rFc8l,https://lh5.googleusercontent.com/p/AF1QipPepUvu81Eo-ktbEEOOqyRNvZDb77OSvufJDT9M,https://lh5.googleusercontent.com/p/AF1QipMbyN98HlGoVxec-O-vXzXVXt1vSYz2PLiTh4oI,Malls,Port Said,Outlet mall
Grand Mall Port Said,"78C2+96J, Askandaria, Port Fouad City, Port Said Governorate 8567231",not available,Not available,3.5,10,Port Said,https://maps.app.goo.gl/w4npmYybSo7m829X8,not available,31.26625,32.29875,https://lh5.googleusercontent.com/p/AF1QipOBXB5bcMxTIJVMUyIdcBia1Ww9w3ustozkYqDa,https://lh5.googleusercontent.com/p/AF1QipPPV0gvka78LCM3-cu6isufSv5pe3BuYND2TVO5,https://lh5.googleusercontent.com/p/AF1QipOfVgRkQu8Bcv2n03EFhVis-DQxwwLNN0bHl_Zs,https://lh5.googleusercontent.com/p/AF1QipMiCQoVityE2oEn4HKotzC8GC1gDoUYzzm8xyX1,//:0,https://lh5.googleusercontent.com/p/AF1QipP0PGnqm5lspCD56RhBHsZ2MykJp0IB0BPldaBs,https://lh5.googleusercontent.com/p/AF1QipN_tI9yvNeI65M5Re06g-dJGNoVlmC28LJuYccW,//:0,https://lh5.googleusercontent.com/p/AF1QipNGQTQo_1J7hBrbmjgZ7Dyt5t3x4ZlGP3qUJJbU,https://lh5.googleusercontent.com/p/AF1QipOEP_rL5dtYDEImuDpbKj96tj9yewblc_gNzY3x,https://lh5.googleusercontent.com/p/AF1QipOCbyKrZChPiJMqMKoLz-SyK1pbDXsjLhT_uny_,,,,,,,,,,Malls,Port Said,Shopping mall
Farma mall مول الفرما,"7862+R39, Port Said - Port Fouad, Port Fouad City, Port Said Governorate 42511",not available,Not available,4.2,93,Port Said,https://maps.app.goo.gl/zKUfW9se2p2Y57fQA,not available,31.262062,32.300187,https://lh5.googleusercontent.com/p/AF1QipPVcDIujl2nafgLkLAFdcPgOs130MB4D_GUNxC8,https://lh5.googleusercontent.com/p/AF1QipNKgvkWJWKaWFe0wquD3NuT31RCUro6rU2h5CDA,https://lh5.googleusercontent.com/p/AF1QipM6iFSsGRPxFEWQ-JKcUCL3iAAljNy9ajBj354o,https://lh5.googleusercontent.com/p/AF1QipPK7Nn9cDRaA2jhsPqm65aujZvLKvHu3tCFa6Mi,//:0,https://lh5.googleusercontent.com/p/AF1QipPHS1J2qApOdmPTMF1fLHvWTRPMQKYyiovG-DzW,https://lh5.googleusercontent.com/p/AF1QipOr1dA_PgspQeGieGG2gS5Nf1A0PYunZ2gtmkPk,//:0,https://lh5.googleusercontent.com/p/AF1QipOyenY4ZB22V053D8_4QbvMm6JCb-S-lYxRMxmy,https://lh5.googleusercontent.com/p/AF1QipPs_X5Xd4OX0mr1z36mkmEowc0Re9I3tM_iF69v,https://lh5.googleusercontent.com/p/AF1QipNax__tL52agcyipbrb7oLKfA1goxSajscjWaSQ,//:0,https://lh5.googleusercontent.com/p/AF1QipMhsOL79-IjSsx23PuKvAIPkLSt-d7JksK_J8w6,https://lh5.googleusercontent.com/p/AF1QipP_tvqKMJE6uPjpKu2qsMeG4PPNYJGC-ALHQvHf,//:0,https://lh5.googleusercontent.com/p/AF1QipNxt6PnNiPbVszVP1Y5E_3IFGfasWG8CWkK6sDt,https://lh5.googleusercontent.com/p/AF1QipNNrzQ5wklEgDvwKh1weRdKXYMWaTxNh8K3zGdM,https://lh5.googleusercontent.com/p/AF1QipNeXIEGYmKwGpbEcfgRunZEZb8B9yf4Huhzw5-_,https://lh5.googleusercontent.com/p/AF1QipOnTZPNSUiL8HbiIXz-fmDgvUqnDe0YdpGvaNs3,https://lh5.googleusercontent.com/p/AF1QipO5mBlkFN3LLXTtABQnDiLuprk_9n4EI7sD9nCZ,Malls,Port Said,Shopping mall
Samaa Center Port Said,"7872+R68, Tolon Rd, Port Fouad City, Port Said Governorate 8566535",010 97775700,Not available,4.0,2,Port Said,https://maps.app.goo.gl/cE9uEFaaSChUVGBR7,not available,31.26375,32.29875,https://lh5.googleusercontent.com/p/AF1QipPVe2kW2Ew71ngz3dEQRd0wj6mC9pmy2YCF3htD,https://lh5.googleusercontent.com/p/AF1QipPnbMpMedEAGElVo4IYtn3DeOeeJdtmqxj7ixTJ,,,,,,,,,,,,,,,,,,,Malls,Port Said,Shopping mall
Chic outlet,"68V9+XGW, Street 12, Port Fouad City, Port Said Governorate 8584130",not available,Not available,5.0,1,Port Said,https://maps.app.goo.gl/uuvACcUeiy1mGYN39,not available,31.244312,32.320188,,,,,,,,,,,,,,,,,,,,,Malls,Port Said,Shopping mall
Abu Ismail Commercial Complex,"7872+8WP, Saad Zaghloul, El Sharq, Port Said Governorate 8572021",012 86253003,Not available,3.5,376,Port Said,https://maps.app.goo.gl/rupHML8feVbmmUcJ6,not available,31.263813,32.302188,https://lh5.googleusercontent.com/p/AF1QipM54X0xMBQKBetNRkCLgNoJbKxZ5-43X8ENOYlq,https://lh5.googleusercontent.com/p/AF1QipOuGEz-sh9zBge7_s3pujvUXuVUHhn_jLjMBZUE,https://lh5.googleusercontent.com/p/AF1QipP2RLgjL7MEs2bnPcwoCKGG1UOFym2EV7do5tVJ,https://lh5.googleusercontent.com/p/AF1QipOI1GF9T4PhLqP6Hbl6eTkXnwAT3CvyHYmtwZTR,//:0,https://lh5.googleusercontent.com/p/AF1QipMVg4CLs0gc08rcKWZBcCiy-_F_wEhrn_TxqSR6,https://lh5.googleusercontent.com/p/AF1QipOjTnopbr67NG6CrHZhzpUDcHEeW05hxWEhrKaC,//:0,https://lh5.googleusercontent.com/p/AF1QipMih_RJ_owmMHTMZjOB7MQBYt5u2LrLq_gklFBa,https://lh5.googleusercontent.com/p/AF1QipOf4C4JeF0nIGPYDAzw0rNNmQbudYBtCgfxoBkG,https://lh5.googleusercontent.com/p/AF1QipPQ48TQoL1STVjrdrwJY0_ElGjaHKeDOcfth13X,//:0,https://lh5.googleusercontent.com/p/AF1QipNiFGHFDBnnnIR1qEI8E266LN7sW2wOmhw2FM3G,https://lh5.googleusercontent.com/p/AF1QipPzoBREhQ8LrKFjCf0YXzDXaDBl4Xkz8zJoDtn7,https://lh5.googleusercontent.com/p/AF1QipOlxp7N5Phs8Qf0z6nVRQXLlcLw3d6igVluzYnD,https://lh5.googleusercontent.com/p/AF1QipPI8eMEKqzrPXxWlgg19qrrt4O9f06e-wlgfHb7,https://lh5.googleusercontent.com/p/AF1QipNKUKiJQuOezGqw3VW5zqejwXWFfw8pU9HdUMqo,https://lh5.googleusercontent.com/p/AF1QipPwrewN1bXa0Ob94zzpLrgWa2jcOglFFNtJv7Zf,https://lh5.googleusercontent.com/p/AF1QipMIkmmxrKAZSiS8LEr8qJatgyNrRw7Js6vHU4dg,https://lh5.googleusercontent.com/p/AF1QipOVj_KC4UVVoJPWxDMPFmaf36gjFWMYexS8_iqq,Malls,Port Said,Shopping mall
مول أوت لت,"فودافون, ارض العزب - ش النصر و الدقهليه - اعلى, النصر، العزب، قسم العرب،، بور سعيد،",not available,Not available,4.4,11,Port Said,https://maps.app.goo.gl/NmECGLz2fL6v12beA,776V+5C Al Arab,31.260438,32.293563,https://lh5.googleusercontent.com/p/AF1QipMwOpvkq2wWRQHzoFZ5hco_cLYX65gbrNokmCKY,,,,,,,,,,,,,,,,,,,,Malls,Port Said,Shopping mall
