Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Al Kamal Mall - الكمال مول,"Al Gomhoureya, Qism Qena, Qena, Qena Governorate 1461064",010 12500400,https://www.facebook.com/AlKamalMallQena,4.2,33,Qena,https://maps.app.goo.gl/yqvVa6ShfC7j8nLn9,5P6G+C7 Qena,26.161062,32.725687,https://lh5.googleusercontent.com/p/AF1QipOHsRBHoszHueS3JBEoa9k62q4LNtqKNtyDZ-7E,https://lh5.googleusercontent.com/p/AF1QipM5CPht8ne1zKM_SAEXtIyRrsuBK4AxTsJnmOly,https://lh5.googleusercontent.com/p/AF1QipOsZ_F0gaKNVEPpBbPgmCGmnWWgTbDDWNfhHXva,,,,,,https://lh5.googleusercontent.com/p/AF1QipPSJf8ZF651agiazkNb8ZsGiIiNQQcHQNfZKisL,https://lh5.googleusercontent.com/p/AF1QipO5ahbO69dV3jqlziRinUm2TxdpB-WMwJ8zEBDK,https://lh5.googleusercontent.com/p/AF1QipNVdxetpdRq-pcLDM845QiUbyTedBBLViwTWPI_,,,,,,,,,,Malls,Qena,Shopping mall
مول الصين العظيم,"5P5F+W74, Al Amrossya, Qism Qena, قسم قنا، قنا،, Qena Governorate 1461058",011 15630309,Not available,3.9,497,Qena,https://maps.app.goo.gl/VxG1jJczdaE3KeLS6,not available,26.159687,32.723687,https://lh5.googleusercontent.com/p/AF1QipM04SdbZsoUUfs_Vg5IyofQjJ7mCnn-yZaavAzH,https://lh5.googleusercontent.com/p/AF1QipOKUVBm016eZOTapM9YerawtzI7soe6qEz-nH5Y,https://lh5.googleusercontent.com/p/AF1QipMy9bvAgd8Ry1ImDJR7kgPRzEYOwY27tJ1cjBiw,,https://lh5.googleusercontent.com/p/AF1QipNYEA1-ApU-wZqozXL1_xTjo6se--QRbZ7Za_yn,https://lh5.googleusercontent.com/p/AF1QipPEbq6xe6IwflXh-2iiIKTUF4F_R9Pfj3926M9B,https://lh5.googleusercontent.com/p/AF1QipOpIV4kPRTlEHDh9ikfs96oECCv17axk6K4L-mD,,,,,,,,,,,,,,Malls,Qena,Shopping mall
Jungle Qena,"23 Jul, Qism Qena, Qena, Qena Governorate 83511",015 55455311,http://www.facebook.com/JungleQena,3.2,6,Qena,https://maps.app.goo.gl/7MwMdAs5uiQiEXNaA,5P59+99 Qena,26.158437,32.718438,https://lh5.googleusercontent.com/p/AF1QipPwdnAbZuDMJIliZjvCeIaDG7GMXgYBLrLseCcz,https://lh5.googleusercontent.com/p/AF1QipPkjxky_VMczKG53DhoRDiF3ueil4bwytEaQord,,,,,,,,,,,,,,,,,,,Malls,Qena,Pet store
Golden mall qena,"الجميل سابقاً, Al Gomhoureya, Qism Qena, Qena, Qena Governorate 1461057",010 09220128,Not available,3.0,2,Qena,https://maps.app.goo.gl/MausLYsQvQdxvdhQ7,5P5C+PX Qena,26.159312,32.722437,https://lh5.googleusercontent.com/p/AF1QipPCodUMbtNx03BaEGnRvTmcL28OJXWJx_Dm6KiG,https://lh5.googleusercontent.com/p/AF1QipOTcfue9GXrkin_1kbWF7JD2pqAMU0Pt9LiTURt,https://lh5.googleusercontent.com/p/AF1QipOPraJ9CrBYXy7W6JMmV9GID_MPjVqpXcWinoVB,https://lh5.googleusercontent.com/p/AF1QipPWdptCsbB2IQPH-VmOI0OGUVHoC3la-wQ_aPZv,,,,,,,,,,,,,,,,,Malls,Qena,Shopping mall
المصطفى لاندمارك مول Almostafa Landmark Mall,"Al Gomhoureya, Qism Qena, Qena, Qena Governorate 1461057",015 54638446,https://www.facebook.com/AlMostafaLandMark/,5.0,1,Qena,https://maps.app.goo.gl/puom7xgFTAGXrXne6,5P5C+MW Qena,26.159188,32.722313,https://lh5.googleusercontent.com/p/AF1QipMs6cpalEsP6Sm7GoseN1Czk286L2ISP0PmUcbn,https://lh5.googleusercontent.com/p/AF1QipNarbkXr7weUcHHUz3A1mvhra4vhc7fPtYU62kJ,https://lh5.googleusercontent.com/p/AF1QipNANLaHa0XiJc4g7QriHmEjHVZXkIXi5NgHESVp,https://lh5.googleusercontent.com/p/AF1QipM9EzxIkkxg3HvZNeFE60EBg6kCTtOB-xwVmFQR,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPsj-VsG-2wCB8YcUZUm9fVUOHymqPvU-6D5Odd,https://lh5.googleusercontent.com/p/AF1QipPczSOzL4W4kfqX5qcjYPAK3FeDCDqEVZUWQcTL,https://lh5.googleusercontent.com/p/AF1QipPyAgrnUNPQaxyQv729IxiSAPRg_bOvrcT3MxNu,Malls,Qena,Shopping mall
مول روكسي,"5P5C+HVM، قنا, وسط البلد، قسم قنا، قنا،, Qena",not available,Not available,4.5,4,Qena,https://maps.app.goo.gl/gFtkWEyymAde3ue47,not available,26.158938,32.722188,https://lh5.googleusercontent.com/p/AF1QipP1Dufb9ysgIvdCVUTDTnLoSH__5bjWoK2vIag1=w408-h544-k-no,,,,,,,,,,,,,,,,,,,,Malls,Qena,Shopping mall
بلازما قنا / موزع و مركز خدمة معتمد لدى شارب العربى,"كوبرى الشيخ يونس، قنا . طريق مصر أسوان، أمام",010 03465275,https://www.facebook.com/pg/plasma.qena808,4.2,11,Qena,https://maps.app.goo.gl/uZZr9APokfCtjYweA,5P8C+9X Qena,26.165937,32.722437,https://lh5.googleusercontent.com/p/AF1QipMcxxM3UeacDKjWMpognj3TV8gNzuoSRP8yiVfb,https://lh5.googleusercontent.com/p/AF1QipN5EhyzeOE7GFR53Bxi4KIRAawszFMcZg0LO9Nl,https://lh5.googleusercontent.com/p/AF1QipMpO6TGuwdF5b6kTvwp0PKV_WEHeY5hZ07I_FUt,https://lh5.googleusercontent.com/p/AF1QipNGd3nzB1pPWjJmS8rE8API3rIGAfT8dmX25hEh,https://lh5.googleusercontent.com/p/AF1QipM7SfijlKxoaHZtsHR4OshyfaMnJeehYeE--qAL,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOrjGw_MhMNoNXbAIWY0QhRDpE352ZaF0kcMsk0,https://lh5.googleusercontent.com/p/AF1QipOKAg3vOewb3ZGZ28cjUfuTzzH1H_kS9CeKYyCl,https://lh5.googleusercontent.com/p/AF1QipPzRHz-TOZX6dV-Jfd1FtOMhJxXRPEklnSOvmN8,,Malls,Qena,Shopping mall
محل تكبير للملابس,"5P5F+J36, Qism Qena, Qena, Qena Governorate 1461057",010 05346390,Not available,4.1,18,Qena,https://maps.app.goo.gl/mQdBNNGNrDhHhgqE6,not available,26.159062,32.722687,https://lh5.googleusercontent.com/p/AF1QipNtJhgjQv3XSjHcxJ3pJjDX4dEzLZWwVcNVZiyB,https://lh5.googleusercontent.com/p/AF1QipMRTrALIG9lHdlz_Cq_GRSo_yRWrYAJSIrPBfAq,https://lh5.googleusercontent.com/p/AF1QipNDUsDPEKmiVOt5sy3MX4G1ZQObCGwfIlQFxtPU,,,,,,,,,,,,,,,,,,Malls,Qena,Outlet mall
سنتر الطاحونة للملابس و المفروشات,"5P5C+WV3، جودى, Qism Qena, Qena, Qena Governorate 1461105",not available,Not available,5.0,1,Qena,https://maps.app.goo.gl/2JYuYWNZrVej9y2o8,not available,26.159813,32.722313,,,,,,,,,,,,,,,,,,,,,Malls,Qena,Shopping mall
سنتر الشورق,"5P6F+2VJ، جودى, Qism Qena, Qena, Qena Governorate 1461059",010 00151810,Not available,5.0,1,Qena,https://maps.app.goo.gl/HPHTGTWLzYXzwRee6,not available,26.160063,32.724688,,,,,,,,,,,,,,,,,,,,,Malls,Qena,Shopping mall
