Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Golf City Mall,"5FFG+P8M, مدخل مدينة العبور،, طريق مصر اسماعيلية, Al-Qalyubia Governorate",02 44833140,Not available,4.3,"18,941",Qalyubia,https://maps.app.goo.gl/Tf2XbkhTXLXcfvNt5,not available,30.187312,31.483938,https://lh5.googleusercontent.com/p/AF1QipPz-rk-_NW7JH_zzAIrcdhX6GLRrPbxtbTU-_5X,https://lh5.googleusercontent.com/p/AF1QipPhKAVnNKsKAu5tXKZxVv-tAlWPx5QiDE0kU2DP,https://lh5.googleusercontent.com/p/AF1QipPW7PhTP5Dw2BPWH3U7-QSj9NmpLO6cngzmqgrI,https://lh5.googleusercontent.com/p/AF1QipOkVG_ppc_cGp9vJ5nzIt-JqKpxyXarcQuZBnad,//:0,https://lh5.googleusercontent.com/p/AF1QipPbUsmfrPD1tr9gPbFQiHv6SMzclZnyTQVGinbp,https://lh5.googleusercontent.com/p/AF1QipOdPL78bScexClK2juGpprwu28L5Cc1MRUu02fn,//:0,https://lh5.googleusercontent.com/p/AF1QipMx7t_9qHm6lB_aQB1UoAO66M2PdKLLd9O2FDW-,https://lh5.googleusercontent.com/p/AF1QipOufWPQIZTKmBqbdsRak1QiE8ItNsuSdNG3LWBj,https://lh5.googleusercontent.com/p/AF1QipNx0cmcwCknOKQzIMkDFQhwdCmqjxcoDngcagea,//:0,https://lh5.googleusercontent.com/p/AF1QipOdYEcxTw-SevVflSz29404hz4v6f_NgOHd35pP,https://lh5.googleusercontent.com/p/AF1QipMrAnG_qoRMbP9C-8QuJh1IVtOE3kDsETE9G2wy,//:0,https://lh5.googleusercontent.com/p/AF1QipMg5RaMdy2LHypNmOsNbX11YSb3CpYdWZXA28mb,https://lh5.googleusercontent.com/p/AF1QipPf6Odd-R6y7WzbJUKOdqjJ5Os9i7tiKSYm0p2D,https://lh5.googleusercontent.com/p/AF1QipOsdnBJmBwh7PKTrS2uYxD505RYOxd4CcUNW_hr,https://lh5.googleusercontent.com/p/AF1QipPrtDiSTmhV-yT1D2LytvKndYtMUcGtXAvjjyBz,https://lh5.googleusercontent.com/p/AF1QipOdqj0Yr-ErOL_4wOITB_JYegLMses4reGPAf-3,Malls,Qualyubia,Shopping mall
أفينو مول,"6F24+W4R, Street 100, Al Obour, Cairo Governorate 6360136",not available,Not available,4.4,283,Qalyubia,https://maps.app.goo.gl/ekyAAgqmyDCnyL998,not available,30.201937,31.454937,https://lh5.googleusercontent.com/p/AF1QipOe0KBOISo-zs69ckDdDO514uaWcX7J-tGEHrLI,https://lh5.googleusercontent.com/p/AF1QipOThwWVWZTPW545v2AVfiFm8i_OcinjABbggITJ,https://lh5.googleusercontent.com/p/AF1QipMLECj9vuRtShjBU_K7IaNGVbkuQ1glrbzj-lZ-,https://lh5.googleusercontent.com/p/AF1QipNjymWe_Wz5lxQceTPzKyZxSLQrVUecwrEIiOKn,//:0,https://lh5.googleusercontent.com/p/AF1QipP1HuBqccfYmcHBhDxj7UPAeIJcpdRD5B2MwUua,https://lh5.googleusercontent.com/p/AF1QipOaRGJYr8qiV6aDXQUeoHrGGznAprA4uVWUWZRW,https://lh5.googleusercontent.com/p/AF1QipOw3A9p-XEvBdAjaUi2Zgw9sgeQi1BNRO6kHSMQ,https://lh5.googleusercontent.com/p/AF1QipMxss5Z1TXAjqeL7EWk9uoSFk7AuiuKjlnHAIBI,//:0,https://lh5.googleusercontent.com/p/AF1QipP0JXZ636hs4mfbQ7yEYD35SRNE_TomDfIIxHw6,https://lh5.googleusercontent.com/p/AF1QipN0vL6uMt5onPdgW0QCWO2eVMlkfvyQUwHnAV1W,//:0,https://lh5.googleusercontent.com/p/AF1QipP1sK18A8quApBPd2cM43EoPWoVT1AYtaU43aa2,https://lh5.googleusercontent.com/p/AF1QipOCs71VY9TSTQkgLrm3Wb1sHadpPEun1xPz7zy0,https://lh5.googleusercontent.com/p/AF1QipNnm1kuCuJWqBp8f6yL7NnXLSmh6YYTIZD740U8,https://lh5.googleusercontent.com/p/AF1QipOpbLb3T2a_KFbz4t5wNY-7snziLLLGT0fI17pX,https://lh5.googleusercontent.com/p/AF1QipMllnGoSREzK4I0QX_wCeKnutQqjr4I9Lt1ypt6,https://lh5.googleusercontent.com/p/AF1QipMkPGSX0s6afH_G5QJnQFaswtMuK0zeN4MeEoOy,https://lh5.googleusercontent.com/p/AF1QipOPJeyE99sY6U69_l8YIzAwGh9QK7xVAv1GQZL6,Malls,Qualyubia,Outlet mall
بلازا مول خلف الجولف,"مدينة العبور، محافظة القاهرة‬،, Al Obour",not available,Not available,4.1,447,Qalyubia,https://maps.app.goo.gl/QD6NK8U2EuKCD24S8,5FQH+2Q Al Obour,30.187562,31.479438,https://lh5.googleusercontent.com/p/AF1QipMVvch_aMNOOsOFRL9cdwBzrUvpurqThih4zi96,https://lh5.googleusercontent.com/p/AF1QipMZkiv8TsjRBO9xFNs4DN_O5FtJnXlfT792RJrp,https://lh5.googleusercontent.com/p/AF1QipOWCVCHUsBCEvDOuBQKcOZM9L9vYYVIRe11Iz6k,https://lh5.googleusercontent.com/p/AF1QipOuJbfnmf3yKSCVAiChoRPO443xV5ck9cCZIcY,https://lh5.googleusercontent.com/p/AF1QipNKjnVJZnHMLtf5umLF9NOmqTMNkMVuFzzdu_gO,https://lh5.googleusercontent.com/p/AF1QipOFIYIsA7WpI24rk4gCb6LlopDeTtfwSn54Yvav,https://lh5.googleusercontent.com/p/AF1QipNcwIo1ekSyd3TYkWADZomnIhszlAnlwBJYSoR9,https://lh5.googleusercontent.com/p/AF1QipOG_uASL3iT74qyII6YKEi--dC9aCUgS6joYauD,https://lh5.googleusercontent.com/p/AF1QipOeco800S38313yqQvHHegbT4wzBeCuMqmVeK1R,,,,,,,,,,,,Malls,Qualyubia,Shopping mall
كريتيف مول,"Al Obour, Al-Qalyubia Governorate 6362044",010 97111911,Not available,4.3,216,Qalyubia,https://maps.app.goo.gl/gxNZBiVjcfQ7dwWk6,7G32+JG Al Obour,30.254062,31.501312,https://lh5.googleusercontent.com/p/AF1QipM7BmsC10cNZIPFSYxAOG9OWGKt_rW386kuqLNc,https://lh5.googleusercontent.com/p/AF1QipMd3CbuQt1amOqD182Ob71WCs2AeJTH-zWst_kY,https://lh5.googleusercontent.com/p/AF1QipM8K9vJu0JmOMHrVdbGEGzQbmLgKJUq40GrGy4e,https://lh5.googleusercontent.com/p/AF1QipPJ7_E5HoX-sQKamx9cZaIjmzdVaA8KWwR2xicE,//:0,https://lh5.googleusercontent.com/p/AF1QipNc3vFrwRgErOrgSd1I-6OJkZ2XFzmHMpeRPPiB,https://lh5.googleusercontent.com/p/AF1QipOR74bsbrrA5DMEwtH98mmozd0ojMUFfsrGijn1,https://lh5.googleusercontent.com/p/AF1QipOM0rFU-c9KTjD9QLDv1tjPMyaHTnlbO6mto6Cq,https://lh5.googleusercontent.com/p/AF1QipNwAERLpXkFIFX_eJgATUFp6ooP-0DuaYGtcyIU,https://lh5.googleusercontent.com/p/AF1QipOovCu5V7W88Nr9n2bxMPz1HBA0pcMMH-DyvCZd,https://lh5.googleusercontent.com/p/AF1QipP4qK1-QKbKuJ-IjHy4SnJfDfur8oDbfw_H4MkW,https://lh5.googleusercontent.com/p/AF1QipPW33b8HKQgA-mvj7-Fi4p8ruYBMWPIGKaTMVsq,,,,,,,,,Malls,Qualyubia,Shopping mall
The Hub Mall,"5FHF+P4Q, مدينة العبور, محور العبور، Al-Qalyubia Governorate",not available,Not available,4.5,204,Qalyubia,https://maps.app.goo.gl/RFZrzP7QHBbkXhah8,not available,30.21125,31.45625,https://lh5.googleusercontent.com/p/AF1QipMELncI8ZvVJAXo-uX30cucNJY0FcHtZLqwpAl_,https://lh5.googleusercontent.com/p/AF1QipMWwOwb3vC6QjSJrp9939HJK7PMTfH7ySnYU260,https://lh5.googleusercontent.com/p/AF1QipNuIl4flFsnk6bmAHZhkwQjiksAzY9szid8mojX,https://lh5.googleusercontent.com/p/AF1QipNumeGVHj1SDD5fjUYByN7GJWXp2kZac1x5fhDn,https://lh5.googleusercontent.com/p/AF1QipO8WiQEYA7xJGoEizmKXXh0RwKUSMReBHPJdrKF,//:0,https://lh5.googleusercontent.com/p/AF1QipOoEGhvDqYGGf574NCapJDbvseU_jVkQZnBC3VD,https://lh5.googleusercontent.com/p/AF1QipMbOqTwz5ZDiLt-Oo6hcYNG92kFJ9-EPU1fhyh6,https://lh5.googleusercontent.com/p/AF1QipPG3dQzzfvOB7Uv2uILYFHYDelAkTBka7lQrmB8,//:0,https://lh5.googleusercontent.com/p/AF1QipOFkVHjKChFrntCZfXayGvMc_bdK85VZ_xlcK-n,https://lh5.googleusercontent.com/p/AF1QipObs0LWiR8Gbp7RvM7LkhcaxlbkhxzJFD8MGKoP,https://lh5.googleusercontent.com/p/AF1QipPfKk0z8ZH9_0rxESA513nCzR9tskT-ItDVDJbO,//:0,https://lh5.googleusercontent.com/p/AF1QipNKPseqAoo6WSlBvHEXGrfUPP9d8GIqWt8Y35AA,https://lh5.googleusercontent.com/p/AF1QipMio83aRIYrjV1gu69Q2OveQOcpgVhU8RaRTpjr,//:0,https://lh5.googleusercontent.com/p/AF1QipMFqt79wRflNGc48VHVxwWdOojvmI9gaS7rySZo,https://lh5.googleusercontent.com/p/AF1QipO34crPAcNgfDL8di7io1lTbiYU85SNcS2V5Qxk,https://lh5.googleusercontent.com/p/AF1QipN7ct5cxlKIICJdmjwaPPuPZ37QdIif8Z-nJ1hE,Malls,Qualyubia,Shopping mall
كريتڤ مول,"6FPJ+R5C, El-Sadat Rd, Al Obour, Al-Qalyubia Governorate 6361467",not available,Not available,4.5,22,Qalyubia,https://maps.app.goo.gl/MdJkPJdQ1F2ULMv88,not available,30.237313,31.480063,https://lh5.googleusercontent.com/p/AF1QipO57XL3070zhrQmRSVpRLTX1v17OT1GVQv5eyIH,https://lh5.googleusercontent.com/p/AF1QipPvWUtQGXUWaTGJUR_yqEeJzdt6TIPYmpVonuhJ,https://lh5.googleusercontent.com/p/AF1QipO3ZnHev2TSe_4I9LzfLtcK-CrImY9kOU_AO5UW,//:0,https://lh5.googleusercontent.com/p/AF1QipMYqf1R3ik3vrZ_W7b_IYaS2EAt7ACeE84jo4LB,https://lh5.googleusercontent.com/p/AF1QipOyxnZKnzHF1n5pgC5Num7d-W1gxCP72368alI,,//:0,https://lh5.googleusercontent.com/p/AF1QipOtPsrIObrDjYcSvh5_f84Eewb9ygPCeAotSORl,https://lh5.googleusercontent.com/p/AF1QipNcbDWelD4F0p-2-FXyIx6d8EJGPLa__E7_TF_1,https://lh5.googleusercontent.com/p/AF1QipOwq7Mc3B7UmMBeqlOYmMU65DC8jkLOsQiiWFDx,https://lh5.googleusercontent.com/p/AF1QipOKUSPJL3fjGqqlGYjmcEwbFBBnlKq3z5w0KFoc,,,,,,,,,Malls,Qualyubia,Shopping mall
Rida Mall,"7F3C+58P, El Shabab St, Al Obour, Al-Qalyubia Governorate 11846",not available,Not available,4.0,788,Qalyubia,https://maps.app.goo.gl/s9d1b9dRo8ampGny5,not available,30.26125,31.47375,https://lh5.googleusercontent.com/p/AF1QipNtaykiPoS0AdNDnOfW-Mdc8ujYKw0BgFN1iARb,https://lh5.googleusercontent.com/p/AF1QipM4m3tptK4CppPNHY2ffk18SCgxL-wFaUgf53kK,https://lh5.googleusercontent.com/p/AF1QipOl9uq7y0uU5Ngq7R4pMaUX00jycwzwycCHp3_9,https://lh5.googleusercontent.com/p/AF1QipNO2IK-KIo5yAtYygDFDObLUpp7C-nuI6BO6nZH,https://lh5.googleusercontent.com/p/AF1QipPvA1LW-udKro4UqBlJCe-hOTfp23iID7cQ-Wvd,//:0,https://lh5.googleusercontent.com/p/AF1QipNGkp2c9VHYJ9wrl22-qv0V2HUsYFKwvWcyvbyM,https://lh5.googleusercontent.com/p/AF1QipN5cSKCLej4R7mSaCNLc2hW4QrwD4cmQ_0MCCFO,https://lh5.googleusercontent.com/p/AF1QipPq7zl26r1pSMN5tqdwZ1_lk-TIfbacKWOzY3Tq,//:0,https://lh5.googleusercontent.com/p/AF1QipO6tyrmOxpDZotqH3C4ZS-JxBLqB-k5wI2qSlo7,https://lh5.googleusercontent.com/p/AF1QipN0QVOVR01tSZ5lckvLMPRDd11p7pAl0NHm4gI4,https://lh5.googleusercontent.com/p/AF1QipNPEJ8hfk8_nGNbm6QtmqyOLFfT4A53PIVn6fC1,//:0,https://lh5.googleusercontent.com/p/AF1QipPFGunj-o8sjMwCetrhNlKw4R3E0WZCnxUWj_h3,https://lh5.googleusercontent.com/p/AF1QipPkns0mofKFJYpdUzePfKmyDcWTnL_tKSd0d_ko,//:0,https://lh5.googleusercontent.com/p/AF1QipMgjbMzy4SNbEEhwE-LN83Ii-nYQjgcu05z5jYL,https://lh5.googleusercontent.com/p/AF1QipNdDR_nMlC8TLXHLQsnXLVxFMk_IuWrbzilvg4v,https://lh5.googleusercontent.com/p/AF1QipN1OGdJEjKHseDFoPxLhRGJtU2x87NTGdeS5Dv3,Malls,Qualyubia,Shopping mall
مول المدينة الحي الثامن العبور,"بجوارموقف التبيس, Al Obour, Al-Qalyubia Governorate 6361276",010 96379923,Not available,3.9,440,Qalyubia,https://maps.app.goo.gl/aKUovdcF3Cq1p4Lc7,6FHH+8X Al Obour,30.228313,31.479937,https://lh5.googleusercontent.com/p/AF1QipMVU2hlf9mMHTPAbZ0Hk_mTCYWN9vmqXckHeWmx,https://lh5.googleusercontent.com/p/AF1QipM1b9f148ZN7S9nPcaCvgw-TjnEGzd1m4jDckod,https://lh5.googleusercontent.com/p/AF1QipOjJFSgj5BCEZi6fQKWX9jN6e1tJ-I3gWF2hPlO,,//:0,https://lh5.googleusercontent.com/p/AF1QipOXOjXJ3bjxxQ1LsTDjt_GFZn3LtmZys0CzIini,https://lh5.googleusercontent.com/p/AF1QipMFLYQtJm_ahhzGRJLCFvFGcp8tgc6x8B0TCGEy,//:0,https://lh5.googleusercontent.com/p/AF1QipMDHlOkKgX0Eeb0hu6ZgCdZBbCr2KHB1nZ5Z5bt,https://lh5.googleusercontent.com/p/AF1QipNli02y7E53pmcM6D3ggDDQHZ6RO_VGoGU5N1c-,https://lh5.googleusercontent.com/p/AF1QipOlNa4AlA7TEnyRJMYB_O5vyfmp153eqCrEQ3W1,//:0,https://lh5.googleusercontent.com/p/AF1QipO5ZJNpiSabNxNb9uUGmrbG5P4SGHvVCCbFQ_ke,https://lh5.googleusercontent.com/p/AF1QipOEMN3OCpDLCb7FVFMrdtqPFz30ajutoA3HhMzt,https://lh5.googleusercontent.com/p/AF1QipMt3sJuMb-nAgV9srgPiD10DbBvL7_vJs9U8ftL,//:0,https://lh5.googleusercontent.com/p/AF1QipN7ndN6CEPsaZPoYrNLvyYJ76gNMhhD5jPwlPn3,https://lh5.googleusercontent.com/p/AF1QipMIqOFAoLoettV_PBDtgC_kWzfeeCpkuZ2bOaT5,https://lh5.googleusercontent.com/p/AF1QipNzdrTywLSBAnw6m1yDNirhfN2GB3M3J6TF8LSM,https://lh5.googleusercontent.com/p/AF1QipM6k0CWm8U1CaodxbSYXIxMOttOiq9XDeJk3wg2,Malls,Qualyubia,Outlet mall
شارع مصر الحي التاسع مدينة العبور,"مدينة العبور، العبور،, Al Obour",not available,Not available,4.4,496,Qalyubia,https://maps.app.goo.gl/6r5buv5u9MicTfmF9,6FG3+P2 Al Obour,30.226813,31.452562,https://lh5.googleusercontent.com/p/AF1QipOlcOTmqPGmUMr_dDTu08L9RHMg5ScC3gpDH8w-,https://lh5.googleusercontent.com/p/AF1QipOW2a3ZrOa-iFzeXG-rPVchevPhMDkX6wZT--vp,https://lh5.googleusercontent.com/p/AF1QipN7CXgLuMr8iYkvpmMA-jBRTwT2OdH9CZgyeN7n,https://lh5.googleusercontent.com/p/AF1QipP4wV7IlPi7rMiKbgfxXMpLFCsHO94ImxjOiVVA,//:0,https://lh5.googleusercontent.com/p/AF1QipO294Af1R6011KEiMC3qxMtVv1SwErThc2AKIT5,https://lh5.googleusercontent.com/p/AF1QipNg4h40ngmN10V80RoCWKCqrrftf0h5PhWSwkHW,https://lh5.googleusercontent.com/p/AF1QipMcs07e3HxE7gmSwp-GiukAwecY7psimeTdrwEC,//:0,https://lh5.googleusercontent.com/p/AF1QipPEWAAqoorgXOXLZsAgJtQJ50a_h3r8IfRsKVAr,https://lh5.googleusercontent.com/p/AF1QipNNc3DsOtP3cz1acesDovUpV-mm_mImQTDPWLEc,//:0,https://lh5.googleusercontent.com/p/AF1QipNE-pV2IC3oZKKsXVfz1SN04yJJ_z1vVHJjXUtq,https://lh5.googleusercontent.com/p/AF1QipMm0AgRMWgrOo79ypKl6Sf8_d_52wmBDO6MhGIl,//:0,https://lh5.googleusercontent.com/p/AF1QipOgW72aVXota1ul2Qog3W9Q23-YbkC9k8L4r1gC,https://lh5.googleusercontent.com/p/AF1QipOpuWhpoKTLBtCYcdzGhtYh9eCJtAbhFajRb16s,https://lh5.googleusercontent.com/p/AF1QipMu4FkBdEM0grhXKhHtyzHdhcOU1WmtF56tNGO2,https://lh5.googleusercontent.com/p/AF1QipOCpUnDF1wKFfJt854nrBc6FbxbR7hbAT6TJ5OO,https://lh5.googleusercontent.com/p/AF1QipMCo9oReKehHHwVSTazECvMNZm9jRB0cpnVjFvQ,Malls,Qualyubia,Shopping mall
Automove mall,"6FH4+RPM, Al Obour, Al-Qalyubia Governorate 6360223",010 00362828,Not available,4.8,4,Qalyubia,https://maps.app.goo.gl/CFSFqopSV8ubPfSr8,not available,30.229563,31.456812,https://lh5.googleusercontent.com/p/AF1QipMqX3chINu3khT0ze3WuRq48l83bfT1TNSUcp0H,https://lh5.googleusercontent.com/p/AF1QipPW_YO9N4BJp0_5br7Hm7HnPSfgpbEZyeuzFdRD,https://lh5.googleusercontent.com/p/AF1QipPZkPGRVTtteThufPXlWwh2LsgH_hj2tTnp8snt,https://lh5.googleusercontent.com/p/AF1QipM4zdUYRtM6g03IzkSSAjnjjvaaKhXWx8buR_tE,https://lh5.googleusercontent.com/p/AF1QipNaiaoRIvXp__bfdg0XeBs1YVnRPOCnODZiJceX,//:0,https://lh5.googleusercontent.com/p/AF1QipM-tVVxehGVJ7lPBKI5Xs414LCNX88SHtym2uRz,https://lh5.googleusercontent.com/p/AF1QipPeuFaW1xk_rdXgq4rLgNKbwPixdJFfnvac-mBA,https://lh5.googleusercontent.com/p/AF1QipOhXmOjgIpbeID611B1YuCHxsVuwWmwUPU5VFcg,https://lh5.googleusercontent.com/p/AF1QipMSgr0CrDc9XFFAF5l66VK0rNu4ixWEoPpFyfEg,https://lh5.googleusercontent.com/p/AF1QipOKnz1nGF8eXbkMqCZATHq6NAzv-uFR_helwJJx,https://lh5.googleusercontent.com/p/AF1QipO4_9xR57ZHLNiqRGIg_9bMHdEyDzB_WefexJX3,,,,,,,,,Malls,Qualyubia,Shopping mall
