Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Hurghada City Center,"Arabia Cornish road - Adjacent to Hilton Plaza hotel, Hurghada, Red Sea Governorate 84300",7R4H+FG Hurghada 2,hurghadacitycenter.com,4.4,"7,274",Red Sea,https://maps.app.goo.gl/1jxKUmSqRAZuKHsK7,7R4H+FG Hurghada 2,27.256250,33.828750,https://lh5.googleusercontent.com/p/AF1QipPOxHJgpYGUCnebQ8tASoSSylYSMg504Y7UUaZa,https://lh5.googleusercontent.com/p/AF1QipPeY7Y50UcBKlfFhiYgAnJUiikkrq_PjXwqMFnn,https://lh5.googleusercontent.com/p/AF1QipN9Cy0Yx8Rm7aeJGp9qypGAHqEAw68m94bCg8Db,https://lh5.googleusercontent.com/p/AF1QipMlnvQPzEpixsk9x_EaPz0ifBiJRuo4JIKRnpHN,https://lh5.googleusercontent.com/p/AF1QipOxDp4_-esoDqyLubldP4q7VX0Ib68VGjkwCndf,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipN-Xg7f0MtDklpk9xWa4hC31YqqLq3bfGQnXpLA,https://lh5.googleusercontent.com/p/AF1QipMpX0uv56pa-vliuw3yX0HQ7vdF1LWWYqsDGYpT,https://lh5.googleusercontent.com/p/AF1QipO_OQB41p7fNIm8qxZv-6cnsVRkcwspIZ1n5Dm3,https://lh5.googleusercontent.com/p/AF1QipM8wnKDOf-EmjvrBRizBS7YcYtWje3vnH8rGGnv,Malls,Red Sea,Shopping mall
Esplanada Mall,"Touristic Villages, Hurghada, Red Sea Governorate 1962810",not available,esplanada1.ru,4.0,143,Red Sea,https://maps.app.goo.gl/sRfMhXo6grPKtqMr9,5RQM+MH Hurghada 1,27.189188,33.833938,https://lh5.googleusercontent.com/p/AF1QipPFcSPQKdoAroxYxv0hFPzZBqLXfaWOvyQ8c5M6,https://lh5.googleusercontent.com/p/AF1QipNPlZD0tQQoVXf2vowYryxR6iVkm_EdN0GcI9X9,https://lh5.googleusercontent.com/p/AF1QipOEazSNZQfHx8OxpNIvKmBxb9xHCKVP841g7GDc,,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNV6hzvJtM_H53Q1YRmbR_2J6_Ky2yOM3IdCUiB,https://lh5.googleusercontent.com/p/AF1QipNt8MoiJQvIksv5gYvbM5yKQCN-aTJrYLSZggti,Malls,Red Sea,Shopping mall
Cleopatra Bazar Mamsha Mall,"El Mamsha El Siahy, In front of Staigenberger Hotel, Hurghada 1, Red Sea Governorate 84517",5R8F+93 Hurghada 1,cleopatrabazar.com,4.4,550,Red Sea,https://maps.app.goo.gl/NBBykU3SEUTT7dXr6,5R8F+93 Hurghada 1,27.165937,33.822688,https://lh5.googleusercontent.com/p/AF1QipOcTD5j9f7P6ggKNuJiR1HXqPPWiNIDMplFbE8e,https://lh5.googleusercontent.com/p/AF1QipPZNVFhvI4oJXEtAx4rE9ZvqqUQlVspnaWu0yoU,https://lh5.googleusercontent.com/p/AF1QipMReNNfrquzibkDD_XZsqTm8IMJUI1SFwCUZhF8,https://lh5.googleusercontent.com/p/AF1QipOH2ICOBNDs1pgWNISYCEpQzvzCPXXGsPNRtyMI,https://lh5.googleusercontent.com/p/AF1QipM35-gr_DsO1T6z7sF-nlbQ1H3z_qHbJzQMCcVw,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNTPxjeGgOpdmUs0Fv0uGYSB7KtvPjMLyeUA1_l,https://lh5.googleusercontent.com/p/AF1QipMtaZzibeoBTz2DRxJwXkKTtXWttnoxYbbm55md,https://lh5.googleusercontent.com/p/AF1QipPEAPzUjpG6VaH5pvrk8WeFagNhd-SPcuXakiuf,Malls,Red Sea,Shopping mall
The Grand Mall,"5RFF+HM9, Touristic Villages, Hurghada 1, Red Sea Governorate 1962541",not available,sv-se.facebook.com,3.0,30,Red Sea,https://maps.app.goo.gl/LXiX7aVcds88M6qMA,not available,27.173938,33.824188,https://lh5.googleusercontent.com/p/AF1QipORtdNcCNR-s86scrKln4jD_Vwi8Hj0rqi6YYdq,https://lh5.googleusercontent.com/p/AF1QipMbt3X-BkeUCjJGNO2pCS9OQxuZ7qWlaneZ2qk,https://lh5.googleusercontent.com/p/AF1QipOg2nh0OQbl8pV3dtB3ADE9s7fbc44p1gE0ofoY,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipORf-icF2psTpM66JDqLsGTwupAQ5RbOlV6giA,https://lh5.googleusercontent.com/p/AF1QipN3hr32vNPXvKvnQj4tDvr-IOMYcfCwyCVcVJw,https://lh5.googleusercontent.com/p/AF1QipPshlhnG_B8E9PdIwusFehCsg5loPeEA1ka5q0,Malls,Red Sea,Shopping mall
Roots RedSea,"Hurghada, tourist villages, Hurghada, the, Red Sea Governorate",5RWF+42 Hurghada 1,roots-redsea.com,2.6,10,Red Sea,https://maps.app.goo.gl/vCaz5ymrsKpYrK6A7,5RWF+42 Hurghada 1,27.195313,33.822563,https://lh5.googleusercontent.com/p/AF1QipO_dupWG0RlBK6TibpMnnwLw1adlLcMmQ8MnnRN,https://lh5.googleusercontent.com/p/AF1QipNuw2XAvvaWFeQ8nu3ktGVWzS3EzbK_goRBaXjg,https://lh5.googleusercontent.com/p/AF1QipNKaj_MwUgGjXVKD-35OTC-_h2NwtgiUL2itLVu,https://lh5.googleusercontent.com/p/AF1QipM8pBO4oMyA1_9r_2CuFjqV2sV3f2vTrYzgCOfl,https://lh5.googleusercontent.com/p/AF1QipNur9TTftSZgR4CdXCl5Fd6tvMDSfh1ShlOGnM3,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNuKF6KKTlJcBO_JzQ9pwzAHea7qiasyPiTDZZr,https://lh5.googleusercontent.com/p/AF1QipMkJ-jeBDD-8E7Eqk7aTYMuQAKBQiOwT0qniDA2,https://lh5.googleusercontent.com/p/AF1QipM20gCd5BNpy06B0yuZOGjqhER-teUCgWof4p20,https://lh5.googleusercontent.com/p/AF1QipN-eg-uJ7u12WH1SnT_AcuIlA9Vr8bCVnAVzjhA,https://lh5.googleusercontent.com/p/AF1QipNkpylYDpxOZT6arp3jpzDlTgVkt2xdFVYMrU7e,Malls,Red Sea,Shopping mall
ALDAU Village Mall,"5RWP+5GJ، ALDAU Heights, Elmohamadi Hweidak square, Red Sea Governorate",not available,aldaudevelopment.com,4.2,236,Red Sea,https://maps.app.goo.gl/5GaEJXJRjPVVAm7w8,not available,24.195437,33.836312,https://lh5.googleusercontent.com/p/AF1QipMLS9LzOQbW3ecS5rWwNYhmRqLVacBBJIiFyt8l,https://lh5.googleusercontent.com/p/AF1QipN8cNwiElsf0ItGjTglsfVZGTCVIr9PYoi1KaWO,https://lh5.googleusercontent.com/p/AF1QipNa7B4NDlrPfS2ur0V2K7756_T8Do1Ni8n7sYa8,https://lh5.googleusercontent.com/p/AF1QipN5DAO1dZjU2xnNofCm3QwiLx1vt_fzTa_z-36O,https://lh5.googleusercontent.com/p/AF1QipOKNQIJm-oL4SXMHViCOYop_rRvIgDXVeTzJL5G,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipO3fe92TpyQNOmisMF0JpKR8BhEG_48JUG9N2m8,https://lh5.googleusercontent.com/p/AF1QipO96QQ2F_zXoogV4gcC6BfGh2w4T12O_-eCQbBU,https://lh5.googleusercontent.com/p/AF1QipMDaq9lhX0tUuXY7YCg2WnuBIMjNKhC19Bmnojn,Malls,Red Sea,Shopping mall
Makadi Mall,"2W24+JH3, Hurghada 1, Red Sea Governorate 1960540",not available,Not available,3.7,187,Red Sea,https://maps.app.goo.gl/69b2CFLUJETxqNru9,not available,27.001562,33.906437,https://lh5.googleusercontent.com/p/AF1QipPQojlwJR8AOMWwMCrJw7xqTxKz0M5wwso6oojR,https://lh5.googleusercontent.com/p/AF1QipM_6oE3sfYuVUPaQu1St5lpLsXEoXmei3T9x6Au,https://lh5.googleusercontent.com/p/AF1QipM5jbuRbFx30mKFJEabG_DvBNBu-B6A0Fc_6xs_,https://lh5.googleusercontent.com/p/AF1QipPq3mnQewfAyuRTks57-NF1XqXOMq14vmQQDYQa,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOzGw5XHinu1p9qVmkMH6lfcpwIybsw5m7DtZi5,https://lh5.googleusercontent.com/p/AF1QipPM_pPZ8YqdMNYdfhcwxvJvaBw5PCPx_7mLiM3d,https://lh5.googleusercontent.com/p/AF1QipMhAva8RCZ0fUoYLxVYCAmts6aOrJwvzEHnDGVN,https://lh5.googleusercontent.com/p/AF1QipMiL5kf4a-PH-qveOfJGXvkuFQ6THpOZUdEXqzb,Malls,Red Sea,Shopping mall
Shopping street,"3RWJ+7PR, Unnamed Road, Touristic Villages, Hurghada 1, Red Sea Governorate 1961630",not available,Not available,3.9,59,Red Sea,https://maps.app.goo.gl/6imqniH8QidqWqeu5,not available,27.095687,33.831812,https://lh5.googleusercontent.com/p/AF1QipOO1KudGZJzvSMSXYST9Ls71UBQws-GpYzZGI34,https://lh5.googleusercontent.com/p/AF1QipMwGM2FBn0NikRoX2t--UUWRNHNKSMNgZEQNu1B,https://lh5.googleusercontent.com/p/AF1QipMkjhPwayn5NSsDecY7lLGGk54NpHRIk7d_BCoV,https://lh5.googleusercontent.com/p/AF1QipP7Jt1vtIK0CwGCNtMsYVRIvRHDcwf_ZvE3IqxP,,,,,,https://lh5.googleusercontent.com/p/AF1QipOw9LYqWrjAvHgNyCF7H-cEyxInu3c6HRzJQsv8,https://lh5.googleusercontent.com/p/AF1QipPth-OjNYb-9ALu4yxCKnf1NR3tpE_czzflDhiN,https://lh5.googleusercontent.com/p/AF1QipND3w1VEtK60F8feDz04xZOLDiDZESH_wOzN3_l,https://lh5.googleusercontent.com/p/AF1QipOKN4Oem8lnSlK2b9vsVCnxFm9uOYY-egxbwC5F,,,,,,,,Malls,Red Sea,Shopping mall
مارينا مول,"77MR+4GF, Asyut Al Gadida City, Red Sea Governorate, الجديدة، أسيوط،",not available,Not available,3.5,6,Red Sea,https://maps.app.goo.gl/ejhRd22LGgCD8Eji6,not available,27.282812,31.291313,https://lh5.googleusercontent.com/p/AF1QipMwT3fxbY7d653fAUVgDrWJll1emmjTe4pa-4QS=w408-h306-k-no,,,,,,,,,,,,,,,,,,,,Malls,Red Sea,Shopping mall
El Souk Mall,"Hurghada, Red Sea Governorate 1964712",6R9Q+25 Hurghada 1,Not available,4.0,122,Red Sea,https://maps.app.goo.gl/R5zL8T6wbVY4x83s9,6R9Q+25 Hurghada 1,27.217562,33.837937,https://lh5.googleusercontent.com/p/AF1QipMSYahkMZq43rcrD2UC0f-vxNWN78sJtiNDueVd,https://lh5.googleusercontent.com/p/AF1QipPs_-Oo3BLOGZDOpDEAOEQ2m_A5MdB4mdT77r2b,https://lh5.googleusercontent.com/p/AF1QipPfRyGmS7i8ze1BDX1s52bETk3MxTPR7ci7D131,https://lh5.googleusercontent.com/p/AF1QipM6ZYz8b0eVgXtlKEYekCB5TSxc_Xhenyy82OPi,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNVwLL6TmSbDQq-l4aYnT-cZlWNNxrI6-SrQLDj,https://lh5.googleusercontent.com/p/AF1QipN02MWLmayz27kdMS--bvVzT8qkumDUQ0UDCPp-,https://lh5.googleusercontent.com/p/AF1QipP-ek02zFtY-1Uj41fqvT8g080AaoXuoyJ5x9mR,https://lh5.googleusercontent.com/p/AF1QipNj9-r1v_FAsgs9cIy0tTJ4inFUmeUYaMUkTumm,Malls,Red Sea,Shopping mall
