Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Town Center Cairo,"El-Salam Sharkeya, Al Salam First, Cairo Governorate 4645101",015 54969827,https://www.facebook.com/towncentercairo/,4.4,"3,141",Sharqia,https://maps.app.goo.gl/hUdxNaFSWHLtrG2L8,4CXC+X3 Al Salam First,30.149938,31.420187,https://lh5.googleusercontent.com/p/AF1QipOdWbflt48d1JhILn57UY3asc9PQVpqlc9r1PV3,https://lh5.googleusercontent.com/p/AF1QipNy5ljBLY3TktEwluNiI7hhXfgJyQK24gkXSUQ,https://lh5.googleusercontent.com/p/AF1QipNXiYgS90YglbuDlZ7z2SBgeKMD1gXohm5-b56l,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPRiQ_EdCYthlkWB3aACWf641ory4xZUgyrGnxp,https://lh5.googleusercontent.com/p/AF1QipNcpyMw_IswWQKcAjqkgfioEQLZ-kwliTntpahh,https://lh5.googleusercontent.com/p/AF1QipO63bGWealMXxP2NxxdINfqVpUbTg1hcqPZdvF-,Malls,Sharqia,Shopping mall
Golf City Mall,"5FFG+P8M, مدخل مدينة العبور،, طريق مصر اسماعيلية, Al-Qalyubia Governorate",02 44833140,Not available,4.3,"19,042",Sharqia,https://maps.app.goo.gl/STMDsU88VevdYiVu7,not available,30.170687,31.528438,https://lh5.googleusercontent.com/p/AF1QipPz-rk-_NW7JH_zzAIrcdhX6GLRrPbxtbTU-_5X,https://lh5.googleusercontent.com/p/AF1QipPhKAVnNKsKAu5tXKZxVv-tAlWPx5QiDE0kU2DP,https://lh5.googleusercontent.com/p/AF1QipPPYQ2h6Q_JrSPQLe6nGb5OtLwztNSSlOupM6O2,,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMOSijWa5QwdvPwX8fTJsE0c62MR3V1LH_VBiNX,https://lh5.googleusercontent.com/p/AF1QipM8H7DHv810MUrTVb-IINoBXoiIK33NBT401Hcb,Malls,Sharqia,Shopping mall
CMB فرع السلام,"3 El-Hag Abd El-Rahman, El-Salam Sharkeya, Al Salam First, Cairo Governorate 4645003",not available,Not available,5.0,1,Sharqia,https://maps.app.goo.gl/tV7Uh5jLhTJN9wB78,5C54+F6 Al Salam First,30.158687,31.405563,https://lh5.googleusercontent.com/p/AF1QipOsF9_j908_1MDbarDzhRZJ4RYegAb8kkDY4Atm,https://lh5.googleusercontent.com/p/AF1QipND5DAUDGcXOiXnCAVejZxuIhFpS1ScaLMDYW4E,,,,,,,,,,,,,,,,,,,Malls,Sharqia,Shopping mall
Mostafa Elsallab Town Center Elsalm,"Town Center Mall، السلام, El-Salam Sharkeya, Al Salam First, Cairo Governorate 11341",02 22750505,elsallab.org,4.5,116,Sharqia,https://maps.app.goo.gl/juyRwaGHqkcTysYA8,4CX9+XG Al Salam First,30.149938,31.418813,https://lh5.googleusercontent.com/p/AF1QipN0dm7j9Gcs9wGcNJvFFzf4I5cFjyLRJFo3rPsQ,https://lh5.googleusercontent.com/p/AF1QipNlzkpDbvQ8DlN_YZ4PFB7GPeOLAMIB5Pu7-XSu,https://lh5.googleusercontent.com/p/AF1QipOlIRexfzU5PlAuF8hWpqpjD4ffEtOd5cdie_Pj,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPiqwKEht1Uu_L-FDJ49pyueoKBGloPjVTU7kc1,https://lh5.googleusercontent.com/p/AF1QipMp2MBaFo_3izDTLxSfdxUxdM3DUXN5THqLmjwh,https://lh5.googleusercontent.com/p/AF1QipPzP6HPY_9Ojcz4ZjYeZ3IkMy0AHfnDxqtcWKPr,https://lh5.googleusercontent.com/p/AF1QipMgosOn1poSHJ1fGwZDZhb3NyPQJha1tB--hWcx,Malls,Sharqia,Shopping mall
Tony,"Masaken Sbeko, As Salam Al Gharbeyah, Al Salam First, Cairo Governorate 11788",010 02947473,Not available,5.0,1,Sharqia,https://maps.app.goo.gl/2FjDQeusfLtz3sxU9,5CJ6+PW Al Salam First,30.181812,31.412312,,,,,,,,,,,,,,,,,,,,,Malls,Sharqia,Shopping mall
خالد الابيض قطع غيار السيارات,"بلوك 11 شارع احمد ممدوح، محطه الجامع مدينة، الحرفيين نقطة شرطة،",010 02636094,Not available,4.8,20,Sharqia,https://maps.app.goo.gl/aC7E1gFnLaiFeo2C6,592X+3V Al Salam First,30.150188,31.399687,https://lh5.googleusercontent.com/p/AF1QipNnGijkAB3EFC3QZ2KE5huaVufC8QxED_ZJIPw3,https://lh5.googleusercontent.com/p/AF1QipN4PhDHtY32cay-Ot5lkWVL60PtKn8hV4QgemQ_,https://lh5.googleusercontent.com/p/AF1QipN16vQS8LUFIW0Bkjat_OCSLRK9mWRN_DTs54Vw,,,,,,,,,,,,,,,,,,Malls,Sharqia,Shopping mall
سنتر خالد بن الوليد,"5C7F+637، السلام الشرقية، قسم السلام،, Al Salam First, Cairo Governorate",not available,Not available,5.0,5,Sharqia,https://maps.app.goo.gl/FJizctFGTGxskRpR6,not available,30.163063,31.422688,,,,,,,,,,,,,,,,,,,,,Malls,Sharqia,Shopping mall
البقال,"El-Salam Sharkeya, Al Salam First, Cairo Governorate 4645046",012 07963894,Not available,3.0,2,Sharqia,https://maps.app.goo.gl/6z1CeFdgTPNkbJF87,5C67+RW Al Salam First,30.162062,31.414813,https://lh5.googleusercontent.com/p/AF1QipMmTG0fZWxA3LEco3Z-6FsBRjZJMjOBfzfSaN3h=w408-h306-k-no,,,,,,,,,,,,,,,,,,,,Malls,Sharqia,Outlet mall
maged matrix,"5CH9+6Q9, El-Salam Sharkeya, Al Salam First, Cairo Governorate 4645404",not available,Not available,3.4,83,Sharqia,https://maps.app.goo.gl/YjaenGLynx5veLjT8,not available,30.178063,31.419438,https://lh5.googleusercontent.com/p/AF1QipPfyuJPkbCWkpr6CIx-41Mh7anbFU2BiZrOnUld,https://lh5.googleusercontent.com/p/AF1QipPU7U0gtQC9lr9sg9Z2Yb0vP--BiQu3wXxmslUn,https://lh5.googleusercontent.com/p/AF1QipM0HWIOsCAt28JBHVe4KOA07-YH8yjNDY4ErOXe,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipP-pjIjH1WW3ZxdBtLWCziwqObjZY7YsZIznLdC,https://lh5.googleusercontent.com/p/AF1QipMBSaA4V4kmAj-cDdyC09803LFNKWvJZTmmrTqo,https://lh5.googleusercontent.com/p/AF1QipOS5t48FoEL8O9H3u_hwDSFmAM-osudvkMXm2__,,,,,,Malls,Sharqia,Shopping mall
شارع الأمل خلف ملف العبد الجديد,"شارع الأمل خلف ملف, El-Abd El-Gadid, As Salam Al Gharbeyah, Al Salam First, Cairo Governorate 4644104",not available,Not available,3.8,40,Sharqia,https://maps.app.goo.gl/2wp3v4TNX5FZ6E6b6,5CC4+PH Al Salam First,30.171813,31.406438,https://lh5.googleusercontent.com/p/AF1QipOydDqXHQE6XpKM9KZA_HdXwahn5-Nt-NEFINlH=w408-h306-k-no,,,,,,,,,,,,,,,,,,,,Malls,Sharqia,Shopping mall
CMB مركز الراعي الصالح,"5F72+M3J, Unnamed Road, El-Nahda, Al Salam First, Cairo Governorate",012 82821662,Not available,3.7,3,Sharqia,https://maps.app.goo.gl/uAQ5dhQzZUhTo3Bn9,not available,30.164187,31.450187,https://lh5.googleusercontent.com/p/AF1QipO9VAIevhAI-idtgTfDaoCxW2I_3FgLGaw5LqGz=w426-h240-k-no,,,,,,,,,,,,,,,,,,,,Malls,Sharqia,Shopping mall
