Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
الجمهوريه مول,"HM6X+V2H, Al Kabsh, Sohag 2, Sohag Governorate 1683034",not available,Not available,3.8,51,Sohag,https://maps.app.goo.gl/FAXy76erViVoSxgR9,not available,26.562188,31.697563,https://lh5.googleusercontent.com/p/AF1QipM4aLr6HngmtnuUsM3EBFVUvL1sY3S0LvJ6UF31,,,https://lh5.googleusercontent.com/p/AF1QipOdvmVwNcCa-jCp_D_k66rQnDvXZl08JtgfhrjS,,,,,,,,,,,,,,,,,Malls,Sohag,Shopping mall
محلات الحاج سعد الجزيري للدراجات والموتوسيكلات,"HP22+24C، شارع المحطةا لورشة, El-Khouly, Sohag 1, Sohag Governorate 1674081",010 04014600,gazery.com,3.5,99,Sohag,https://maps.app.goo.gl/suTJaMMG8777jVk57,not available,26.550063,31.700313,,https://lh5.googleusercontent.com/p/AF1QipPvhvObP8MKXJKdiuIJg1GQnwmxZ-Bm8d135iQR,,https://lh5.googleusercontent.com/p/AF1QipN7NQMEcZ-JoGQT83u0RbIwRB3A5R1Ff8A2HVaJ,https://lh5.googleusercontent.com/p/AF1QipNrKBPAuMR7mBZOgCnR6YW056udO6d9auTpIH4M,,,,,,,,,,,,,,,,Malls,Sohag,Shopping mall
Gox on line sohag,"GPX3+355, Kornish Al Nile, Sohag 1, Sohag Governorate 82511",015 58590033,Not available,,,Sohag,https://maps.app.goo.gl/x3uhgyzUSkWJiEg77,not available,26.549687,31.701687,,,,,,,,,,,,,,,,,,,,,Malls,Sohag,Shopping mall
مول التوحيد,"شارع مسجد التوحيد, Sohag 2, Sohag Governorate 1684096",not available,Not available,3.3,43,Sohag,https://maps.app.goo.gl/JRX3Ro32FkfeUA5J8,HP66+M8 Akhmim,26.561687,31.710813,https://lh5.googleusercontent.com/p/AF1QipMm3Bha2r79aCJiff-__bzBLxxm5EUMexEwb8-h,https://lh5.googleusercontent.com/p/AF1QipNeR9DNzguEypRe8SCsnUhJX3KybiMo9Rc0IkA,,,,,,,,,,,,,,,,,,,Malls,Sohag,Shopping mall
Venus Mall,"امتداد، شارع 15، مركز سوهاج، سوهاج،",HM7W+V5 Sohag 2,https://www.facebook.com/Venusmallsohag?mibextid=ZbWKwL,4.1,153,Sohag,https://maps.app.goo.gl/p2wgaaLvs2tZXjwB9,HM7W+V5 Sohag 2,26.564687,31.695437,https://lh5.googleusercontent.com/p/AF1QipPvyJVNBS2nhtBtJF0i8ui9ob2hxtVRWPJhrQTx,https://lh5.googleusercontent.com/p/AF1QipMU_r3BDCRXPB2JFkrj4ExfgicCNyIPD1z-_ujT,https://lh5.googleusercontent.com/p/AF1QipPvi-p0h2lb57hbgi8dDzgnlglzfXqteKPI4fSa,https://lh5.googleusercontent.com/p/AF1QipNRWR1rM9btihuV0hyNVOl5FeKG2sc96cpBc_nz,https://lh5.googleusercontent.com/p/AF1QipOJsUnP-ESMresvP2MRYAlxPYeWBkHAQA9xjjZc,https://lh5.googleusercontent.com/p/AF1QipMZ0veJeneP0ufrmV0WvVntBLQITyU8tpDV8vuX,https://lh5.googleusercontent.com/p/AF1QipOJiW_EIJy1BYoX1wDQp9qFdYOZYxbbBoG1fhgY,,,,,,,,,,,,,,Malls,Sohag,Shopping mall
جراند سيتى مول (GRAND CITY MALL),"شارع سيتى, Qelfaw, Sohag, Sohag Governorate 1697070",012 72435624,Not available,3.9,189,Sohag,https://maps.app.goo.gl/j4mhUgPkDJKejFz29,HMCQ+Q4 Sohag,26.571937,31.687812,https://lh5.googleusercontent.com/p/AF1QipP_AXY33vN-kVkzsjGvZ02gJ1hraYyxibhV947g,https://lh5.googleusercontent.com/p/AF1QipOuF4Q66X72ElgJy7CVutTz6j177gURFQxnCz0E,https://lh5.googleusercontent.com/p/AF1QipPrsYYtKNg5yFCwqgp7lgJNjTn7wiBIgIF03hTB,https://lh5.googleusercontent.com/p/AF1QipPttXZa4Gw_wxLlk0Fuz85JBmn41ADI8uNMHiGZ,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNu37fnRZoRmUReMT3Q9HaIcgaFp5dDFScmdXyD,https://lh5.googleusercontent.com/p/AF1QipPhZnqRzCJJZXI6_a0NZpo7d9wFBDQPm0VTTmsi,https://lh5.googleusercontent.com/p/AF1QipPV6Lx4wsQ0sKd_FpKqWVctgvgDBkM1assfG6FU,https://lh5.googleusercontent.com/p/AF1QipNvXyCe_55vRWE5F8EfQtdb-glVw635kj07dygA,https://lh5.googleusercontent.com/p/AF1QipPK2NyVSV3D8b4wJYENwvp4XMvuK8RfYoaAq5xm,Malls,Sohag,Shopping mall
E ف T K A س A - افتكاسة لاكسسوار المحمول,"عبد المحسن, ش محمود خلف ابو حجي",HM7Q+6F Sohag 2,https://www.facebook.com/EftkasaGdeda/,5.0,1,Sohag,https://maps.app.goo.gl/wQPeEFniYufRREzH6,HM7Q+6F Sohag 2,26.563063,31.688688,https://lh5.googleusercontent.com/p/AF1QipPUPTWN_y8Qk6S1DZSK_mouI2TVlKCWqhuSBwam,https://lh5.googleusercontent.com/p/AF1QipPPDxTmWGUUrFoxQm45BfvECZl6cyLxTJX6iEzA,,,,,,,,,,,,,,,,,,,Malls,Sohag,Shopping mall
شوادر الكوامل بسوهاج,"GMG4+H2W, Nagaa Al Dear Al Abied Al Bahri - Nagaa Hamed, Awlad Azaz, Sohag, Sohag Governorate 1690156",not available,Not available,3.8,102,Sohag,https://maps.app.goo.gl/rdN263qfrbrrB6ys7,not available,26.526938,31.655062,https://lh5.googleusercontent.com/p/AF1QipNbQ0oSGAm3FAYonhEYcF6z5c1qMdps44OhZkJE,https://lh5.googleusercontent.com/p/AF1QipOMbV0FBHggVGHVsANJfkErBh77n0ByUQtZ7hZZ,https://lh5.googleusercontent.com/p/AF1QipOOqZ3j_ybMVP5UtFfu0A2Zq6jyKBzov3I-bwgm,,,,,,,,,,,,,,,,,,Malls,Sohag,Shopping mall
معرض العروبة للأجهزة الكهربائية,"HM3V+HR7, Al Moinshaa - Souhag Rd, El-Khouly, Sohag 1, Sohag Governorate 1674222",093 2161437,Not available,4.4,18,Sohag,https://maps.app.goo.gl/dbTVSeiYiKffwWhU7,not available,26.550937,31.694187,https://lh5.googleusercontent.com/p/AF1QipMYrSFSppF_wF2GMEGuD1eHox2DOYzbHVZyIVlG=w426-h240-k-no,,,,,,,,,,,,,,,,,,,,Malls,Sohag,Shopping mall
Omar Effendi,"HM5X+P2V، شارع النهضة, El-Khouly, Sohag 2, Sohag Governorate 1683032",not available,Not available,3.5,290,Sohag,https://maps.app.goo.gl/aqs2aubXBXHHvnR49,not available,26.559438,31.697688,https://lh5.googleusercontent.com/p/AF1QipMlPtz0PzU1_J8NYhitP8fN3WLL9ZUCB2cIxerh,https://lh5.googleusercontent.com/p/AF1QipNg4pFtD_d7bZMUduL4GBKw-00fdzy0n3zR-1-v,https://lh5.googleusercontent.com/p/AF1QipPhk6fOWXC09jpj3P6QexutL3YcSUgnU9AzaV98,,,,https://lh5.googleusercontent.com/p/AF1QipP5BLoVhmt0E0Ggy_tQVE1dfZAUA-MFouIreZr8,https://lh5.googleusercontent.com/p/AF1QipNskupQOqfLrCNftRMnNUeSEZxOYu2SGer7ncJ1,,,,,,,,,,,,,Malls,Sohag,Shopping mall
العماد مول,"شارع الجلاء, Al Kabsh, Sohag 2, Sohag Governorate 1683021",HM6W+9H Sohag 2,Not available,3.7,137,Sohag,https://maps.app.goo.gl/NoZkVetN45A6czYC9,HM6W+9H Sohag 2,26.560938,31.696438,,,,,https://lh5.googleusercontent.com/p/AF1QipO5Q_0Z4nI0Zvxo_bryix1XZqKcnF7bkcD-N2Fb,https://lh5.googleusercontent.com/p/AF1QipOclHgO7xmEbh9S0MoEe9kS4YUCuwsvusCYE6ST,https://lh5.googleusercontent.com/p/AF1QipM832hSMjxTLsYuDvtmLDfYt1Od9jKho7Gnr3Q,,,,,,,,,,,,,,Malls,Sohag,Shopping mall
شركه عرام,"GPX2+PP9, Kornish Al Nile, Al Kabsh, Sohag 2, Sohag Governorate 1671010",093 2100523,Not available,5.0,3,Sohag,https://maps.app.goo.gl/EPKrgotEDQyy39uD9,not available,26.548750,31.703750,https://lh5.googleusercontent.com/p/AF1QipO_mtukYXxfG1UmgaD6m1QqDsVX1we74fY3ysVy=w575-h240-k-no,,,,,,,,,,,,,,,,,,,,Malls,Sohag,Shopping mall
