Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
SOHO Square Sharm El Sheikh,"SOHO Square, South Sinai Governorate 46628",010 00109109,soho-sharm.com,4.6,"38,843",South Sinai,https://maps.app.goo.gl/LLGv8EZ4Fkxi642UA,X96V+XF Sharm Al Shiekh,27.962438,34.393687,https://lh5.googleusercontent.com/p/AF1QipPVO1CTB5mReQzHRi00HIzNbYA7PBzHD3Sslxog,https://lh5.googleusercontent.com/p/AF1QipPFxfi5Vdk8q9ZYdaJhIt7gzpZjlTds7ht5b_No,https://lh5.googleusercontent.com/p/AF1QipMCn43ZT1QmimxXznlWos9_6OA63_0CLAIn0MU8,https://lh5.googleusercontent.com/p/AF1QipOecXoUk151uzXlmS6YCmNAyuJPza3Ov0_hvxlH,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOEjFMjYBb0Jhl2Vqa8q8JZPByp5ZkFbagejw3J,https://lh5.googleusercontent.com/p/AF1QipOoJVdcCWVuGj8OSh1NIKbQKrBxK6gaZJ-JSRzi,Malls,South Sinai,Shopping mall
306 Sinai,"6JQ8+WVJ, El Tor, South Sinai Governorate 8701030",not available,Not available,4.2,105,South Sinai,https://maps.app.goo.gl/o8t4Z2airBuhD1c7A,not available,28.239812,33.617188,https://lh5.googleusercontent.com/p/AF1QipOMEQgp4wxvIjozRZUWvdGrWTwTykzIwbBi__ET,https://lh5.googleusercontent.com/p/AF1QipNfjy2cN6n1ozpqiu2iuKKoaBjw5VZNB5gXp1Lz,https://lh5.googleusercontent.com/p/AF1QipPqLM_9DNdmQ-xZIY9SvBOHLmri1ibY-R9UFwmY,https://lh5.googleusercontent.com/p/AF1QipPePJuWYD7CHoi5NIxv2GZDIfu1fHLnfZjHSwoz,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPm8JyognaMbPW2LA9zjNrZinVQVteujNgdPT65,https://lh5.googleusercontent.com/p/AF1QipN_D1CeSh-3vWIPxV1dZ9aJlO07jdRCCEbeEuUJ,https://lh5.googleusercontent.com/p/AF1QipMU0oNnnllenOzcj-nIKH1-0yqaUyXJsBH_a6aR,https://lh5.googleusercontent.com/p/AF1QipP-GULvSdXqeThmqkQVxzBz1H2bnwtAwb-il9MT,Malls,South Sinai,Shopping mall
Dahab Center,"Sharm Al Shiekh, South Sinai Governorate 8762501",010 08655444,hmd-amir.com,4.1,"1,319",South Sinai,https://maps.app.goo.gl/jzdpNRqFtAYpSXio7,V833+X9 Sharm Al Shiekh,27.854937,34.303438,https://lh5.googleusercontent.com/p/AF1QipMKWKelmYd86bexFekRVl3i7hLWJhqf0SincpA,https://lh5.googleusercontent.com/p/AF1QipNTc3E-P39egjx76PRz9l0pnaemBte4RbO1iyZA,https://lh5.googleusercontent.com/p/AF1QipNp5hOrznAa1XD4jYatSdvLEQY7b4ID9wcTQPV0,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOQ4uYPrrrG2LGuN-zR42uoGjwmObUK6Nm7CJ7l,https://lh5.googleusercontent.com/p/AF1QipO_SPucJWvma6pvjv0obd44gy1kGlP1EkttmZsf,https://lh5.googleusercontent.com/p/AF1QipNPXgSR_p272qNk1XoBTf0VeLduAQCAXEaCAqk,Malls,South Sinai,Shopping mall
IL Mercato Shopping Arcade - Sharm El Sheikh - Sinai/Торговый центр IL Mercato - Шарм-эль-Шейх - Синай,"Hadabet Om el Seed Sharm eleisa St, Al Fanar, St, South Sinai Governorate 46619",010 01001262,Not available,3.9,105,South Sinai,https://maps.app.goo.gl/HjLzejZ8TAAfX4yD9,V876+82 Sharm Al Shiekh,27.863312,34.310063,https://lh5.googleusercontent.com/p/AF1QipPhD5zGD0BIn-S70Xn11X8prqTroX4wfgqfxI0I,https://lh5.googleusercontent.com/p/AF1QipOFxI3zDed_ffW3U4SuhS1ynsKG6ZMwjXins_3j,https://lh5.googleusercontent.com/p/AF1QipMyUI2QTGJSDRhiSeJEGdzFpOOz9H_VPoX5TfBO,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPhtdS05VDpTnN1BxKg3YvNBdUM7Ks49wYiaxiR,https://lh5.googleusercontent.com/p/AF1QipPVjAN6qZGe5KqPJlz1asXC9grTkVCueWrn_6v9,https://lh5.googleusercontent.com/p/AF1QipMSVadEl037wiS-PyWmPnGMYS5XFPXzxreYIVs0,Malls,South Sinai,Shopping mall
𝓛𝓾𝓬𝓲𝓪𝓷𝓸 𝓛'𝓲𝓷𝓭𝓲𝓪𝓷𝓸,"السوق القديم, Sharm Al Shiekh, South Sinai Governorate 8761130",010 60323200,Not available,3.7,3,South Sinai,https://maps.app.goo.gl/xkiyr8UQC8TxtjER9,V78V+4Q Sharm Al Shiekh,27.865313,34.294438,https://lh5.googleusercontent.com/p/AF1QipNv7LQSjCd0IeE7oUprmrep7ACd8PHUpt6AJ7E,https://lh5.googleusercontent.com/p/AF1QipPw1csc4-0NCMKU09wdB3qEIWYdTqD_MPzfiqA,https://lh5.googleusercontent.com/p/AF1QipOmMVdKQseBz45fz4iHr21v_wEQvocLMRmA1wU,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPhMA-PrsrA2Y7aUOOcTEMPTgz_97x2yKMZRm4,https://lh5.googleusercontent.com/p/AF1QipNIp-yW5BQZT6he4GacEIAG4XQGJmvAdecjVvs,https://lh5.googleusercontent.com/p/AF1QipM_Hb9ZZIzZd60Q9Vtk6hKYwTn0HmosRFbm-xI,Malls,South Sinai,Shopping mall
Genena City,"جنينه سيتى, Sharm Al Shiekh, South Sinai Governorate 8763011",010 08000830,genenacity.com,4.1,"6,937",South Sinai,https://maps.app.goo.gl/FPGZX34NmWjZMJcN8,W859+6W Sharm Al Shiekh,27.908062,34.319812,https://lh5.googleusercontent.com/p/AF1QipNdXjjJM-zg51ds9NIe8hkaePJqnI_CHvJUuVOM,https://lh5.googleusercontent.com/p/AF1QipPd7BIODEhgSMn0lp9YdVEQHJTYa8jD913fkoYt,https://lh5.googleusercontent.com/p/AF1QipP5NOoVzBk9DOrIDD_FhnJdqkX2emHSKUN8Md_C,https://lh5.googleusercontent.com/p/AF1QipMdCXQziB9-jwh-fsvUSdtE2qNcZyarleqqhz8m,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOMAFjgp1jiCv73ms-qVZfWqEuFdvaY1E_4-N4,https://lh5.googleusercontent.com/p/AF1QipM5VVhBCzJ7VZwzj898I_zcW3RpKBCSGGDJ0vc,Malls,South Sinai,Shopping mall
Viva Mall,"V8W3+3RG, Sharm Al Shiekh, South Sinai Governorate 8761313",not available,Not available,4.4,17,South Sinai,https://maps.app.goo.gl/spK7LTLdsqC4qqrG7,not available,27.895187,34.304563,https://lh5.googleusercontent.com/p/AF1QipOr-Oox5U7VH0Iebd3EI5f-7_M_t2GQ5hIpTrvF=w408-h306-k-no,,,,,,,,,,,,,,,,,,,,Malls,South Sinai,Shopping mall
سوهو سكوير شرم الشيخ,"X97V+7GX, Second Sharm Al Shiekh, South Sinai Governorate 8765012",not available,Not available,4.6,"5,599",South Sinai,https://maps.app.goo.gl/qu7NBj3FnEKoqago9,not available,27.963188,34.393812,https://lh5.googleusercontent.com/p/AF1QipPZqtdzTbVFruy55nwtSv9aljVZ_K8YCMO-src0,https://lh5.googleusercontent.com/p/AF1QipNiaPm3HMBWJS8bQz8e_3YeAgUWiyaD_lQ0Yfg,https://lh5.googleusercontent.com/p/AF1QipNsEmXHrslJCGBuKWq2cWRDHFL4lfuMyggCO09S,https://lh5.googleusercontent.com/p/AF1QipMW2iFyAwBFceE-zgO5PsgBt73cE862HxqL4QAG,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMcz4QCniKIq4F1piDLv7-KE1qUn0TzaQemuXs,https://lh5.googleusercontent.com/p/AF1QipNuoKOQpc2sWgFnVhgXWAP2Dmx8vhDNyW244ywL,https://lh5.googleusercontent.com/p/AF1QipMNrumBUkZ1AqdZbjVHiRGanzWQrpVpRQmuB2wh,Malls,South Sinai,Shopping mall
Ghazia Mall,"V832+FGV, Sharm Al Shiekh, South Sinai Governorate 8762004",not available,Not available,3.0,3,South Sinai,https://maps.app.goo.gl/zxADD9qbkGAcbis8A,not available,27.853750,34.301250,https://lh5.googleusercontent.com/p/AF1QipOvL8ZHtG8_TeLk3X7qelrnAMgGa9xa96gHTH8Z,https://lh5.googleusercontent.com/p/AF1QipMechrEumkGYScs09qmoWLCvgcVjGwFuwJGc5vN,,,,,,,,,,,,,,,,,,,Malls,South Sinai,Shopping mall
Kennedy Mall,"V79X+6VC, El-Salam, Sharm Al Shiekh, South Sinai Governorate 8762101",not available,online-gate.com,4.2,48,South Sinai,https://maps.app.goo.gl/1jtAtYsrUifFWz1W7,not available,27.866250,34.298750,https://lh5.googleusercontent.com/p/AF1QipNz8cw2QCh-Jx17KFthjgpuPpsuQKhUjxYC7odz,https://lh5.googleusercontent.com/p/AF1QipNvCgU2ygOR4xWEs1WMO73q_2tDxOzajvBDomTA,https://lh5.googleusercontent.com/p/AF1QipOVt3FdOT96slDjqHzTRncbCHmWFgnJLC3VFelq,https://lh5.googleusercontent.com/p/AF1QipNfDXFlRaJj-0vkMf9w1EOXBiXA7Hl6BhKK0WQc,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPU6P3r6qTNjtGjTfqTOisOA9jkrrLe4_gkoS5e,https://lh5.googleusercontent.com/p/AF1QipO4gI3szpf8Vtj_EmxGYopZ-l8zEJcYwpKHFNdz,https://lh5.googleusercontent.com/p/AF1QipMyGeI-SaNomZXxbkiQCq0Ytx7L-H5_HFKm4RnA,https://lh5.googleusercontent.com/p/AF1QipOxjCECCJ9o_zstZ9EhTl2H1SrYHl3iDvHGqikh,Malls,South Sinai,Shopping mall
