Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
مكتبه المهندس,"Faisal, suez government, شارع, عمر بن الخطاب",010 01718837,Not available,5.0,2,Suez Canal,https://maps.app.goo.gl/N3RBExZGS1zbDAmn7,XGJ9+MH Faisal,19.981687,75.518937,,,,,,,,,,,,,,,,,,,,,Malls,Suez Canal,Shopping mall
عطور ومستحضرات تجميل الخليج,Unnamed Road,012 21412515,Not available,5.0,1,Suez Canal,https://maps.app.goo.gl/3QHMUQ2PQaKKnjERA,XGRC+4X Faisal,24.990313,67.522437,https://lh5.googleusercontent.com/p/AF1QipMkZXVKK1aPu4T-WUXk4H-7p83ZCarfhDOF5qn6,https://lh5.googleusercontent.com/p/AF1QipOrwSOC727I8PWv6DXJGV191_yWNor2Y9fals94,https://lh5.googleusercontent.com/p/AF1QipPPLtWlzq8P0YoFNhwPgh8R6MAxB99G3zwgkeqD,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMVt6OYUnipojq3Y62wuAain4mUJfo46ztBXRQl,https://lh5.googleusercontent.com/p/AF1QipNjeQNrVzSWuxXTdVjGHFtH2vKA2vQhrs1dXxQF,https://lh5.googleusercontent.com/p/AF1QipN4q-SlFpUGpUJACh5SVloPqEF2-aYFY2Ad_2AM,Malls,Suez Canal,Shopping mall
٥٠٠٠ صنف,"XG8R+57P, Unnamed Road, Suez, Suez Governorate",012 24003863,Not available,4.0,2,Suez Canal,https://maps.app.goo.gl/W1WWDEX43AKH31Pk7,not available,29.965438,32.540688,https://lh5.googleusercontent.com/p/AF1QipOKhHWlIgChG1eV5up8Jx-GZaqAAMLhJDrR3XVI=w537-h240-k-no,,,,,,,,,,,,,,,,,,,,Malls,Suez Canal,Shopping mall
ماثيو سنتر,"XG84+JMH، شارع رشاد علام، السويس،, Suez, Suez Governorate 8150354",012 73822998,Not available,5.0,1,Suez Canal,https://maps.app.goo.gl/QpD7Km8LMFXLXuVW9,not available,29.966437,32.506563,https://lh5.googleusercontent.com/p/AF1QipPjzT8AYoa-CAUoNz-rfLUR488nujYKKR2E9EWY,https://lh5.googleusercontent.com/p/AF1QipOp1QmhOB80rRMiBrNZ8tKowg16wnP6-svjCwph,https://lh5.googleusercontent.com/p/AF1QipNEL8_xLfDWDQuajt7xpGTpVxfUuNk4bG71BDy3,,,,,,,,,,,,,,,,,,Malls,Suez Canal,Shopping mall
4BED Elgamal,"XGFG+XP8، Unnamed Road،, Suez",010 06358117,Not available,3.4,5,Suez Canal,https://maps.app.goo.gl/cPKNnT2EANyenko16,not available,29.974938,32.526812,,,,,,,,,,,,,,,,,,,,,Malls,Suez Canal,Shopping mall
Coop Store Suez,"Salah Nseem, Suez, Suez Governorate 8140006",010 05336130,Not available,4.7,3,Suez Canal,https://maps.app.goo.gl/oGsW7pfA2hvTxgew6,XF3W+7H Suez,29.953187,32.496437,https://lh5.googleusercontent.com/p/AF1QipOt6mmFXF61WO6g5AIeB-aEmCQLh05qWxCXcW6V,https://lh5.googleusercontent.com/p/AF1QipMEcaSzSAXay7CLfbddj5SE_BTVJRwMIAjK_DRP,https://lh5.googleusercontent.com/p/AF1QipPZK844ye7biaeSHfd1NX6HJknh7F6XivoE1EUN,https://lh5.googleusercontent.com/p/AF1QipOUGt0gHTofQZ6PgNMkreCdHZegWYHEz96_0vZA,https://lh5.googleusercontent.com/p/AF1QipOptObMbSxbynItIjq3dmqWfwm40AaL9V4SiHKB,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNO_QLKzK15dFBW88nBKX_0NtbsaC-yxWe7vqQR,https://lh5.googleusercontent.com/p/AF1QipMly9nn7Fyj0weYQMzQhuKFYmLgnEcLDrr-ZH4A,https://lh5.googleusercontent.com/p/AF1QipOTpBTcG2DOYOlsPti1xk0zrFzAat0GmUqh9fUJ,https://lh5.googleusercontent.com/p/AF1QipOsYZxDSkxTsH8Rxy20riE_ukQMSdb0745nIc6l,Malls,Suez Canal,Shopping mall
ميرو بلاستيك,"XGGJ+4M5, Arbaeen, Suez Governorate 8161310",010 07781316,Not available,4.0,4,Suez Canal,https://maps.app.goo.gl/pGAcQ9MkLxZFLMvt5,not available,29.975313,32.531688,,,,,,,,,,,,,,,,,,,,,Malls,Suez Canal,Shopping mall
Suez mall,"الجيش، 43514",not available,Not available,3.4,916,Suez Canal,https://maps.app.goo.gl/rDnicZgsdD8Dh27k8,XH83+GH Suez,29.966313,32.553938,https://lh5.googleusercontent.com/p/AF1QipOzvzcpS_SaqLyX21RHK7-ywgZ5yIfDDPA9f4Dt,https://lh5.googleusercontent.com/p/AF1QipOgaXUh0_umT19sTi1tIOF8qut31pVPVvQV3s2W,https://lh5.googleusercontent.com/p/AF1QipOKO48smYjXgbTNCQ2ju507ThLMrH-DnoFurPta,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNw2nYY9CnHzBg5q1hTAuGBRiG_wJJwNj8Lddks,https://lh5.googleusercontent.com/p/AF1QipNT3lOHrjWiTzpxZ3Gekqvalpkx6v7TcyQNc0fk,https://lh5.googleusercontent.com/p/AF1QipOL8IQho84z8mynm6QCtHR-SGAhfM5Ky4Hd9Kze,https://lh5.googleusercontent.com/p/AF1QipM47SJSRvq75Pxm_taRHjBoTlhzakHsxiNQwZ55,Malls,Suez Canal,Shopping mall
engineer yahya,"XFFM+CMM, Al Semad, Attaka, Suez Governorate 8136654",not available,Not available,5.0,1,Suez Canal,https://maps.app.goo.gl/wP4FGBirubrkcb889,not available,29.973562,32.484188,,,,,,,,,,,,,,,,,,,,,Malls,Suez Canal,Shopping mall
El Amal Market,"XGG6+RMV, Suez, Suez Governorate 8151102",not available,Not available,3.8,218,Suez Canal,https://maps.app.goo.gl/oxTZErqse2csqBTU6,not available,29.977063,32.511688,https://lh5.googleusercontent.com/p/AF1QipPFBtUBLhKI6vY-ustPkXdhZR6joo0niZ6c1BCa,https://lh5.googleusercontent.com/p/AF1QipP3bwxgG2TRXlE6z9boHIyZPWrH2X2TdTknEdjh,https://lh5.googleusercontent.com/p/AF1QipOEDpjia_qXITWkPNCHXkkXVEKjDZuPJd8e3zyU,https://lh5.googleusercontent.com/p/AF1QipPYL6ykh2D7gbpAQSme9rCqw6kalTAv2ap_vCfm,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPMCaq0WnL3TWmO3aU9zgAsuJ_HswqQXGNjgyuN,https://lh5.googleusercontent.com/p/AF1QipOBXU4q3XbDRQGstRoq7oLpJnkNKdMKm16VjHsA,https://lh5.googleusercontent.com/p/AF1QipOn15c4kjRVAzRB8IJWfnhgx0HZQcAEtzWtoz2L,https://lh5.googleusercontent.com/p/AF1QipOV1h9Do0kRGkZtCX-cpBqsWhPJ_MFdcdmhUtwj,Malls,Suez Canal,Shopping mall
