Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
السلطان ابو العلا,"Belbes, Bilbeis, Al-Sharqia Governorate 7042737",012 22234770,Not available,4.2,24,Sharqia,https://maps.app.goo.gl/2JmcRLNh5MjEQoS38,CH95+48 Bilbeis,30.417813,31.558312,https://lh5.googleusercontent.com/p/AF1QipMSz9Czg4WfNdvjQzdHaRu8JbbTKDq8hHB9mW95=w408-h392-k-no,,,,,,,,,,,,,,,,,,,,restaurant,Al-Sharqia,Mongolian barbecue restaurant
Elshamy Cafe And Restaurant,"CHH7+V6H, طريق, Kafr Ayoub Soliman, Bilbeis, Al-Sharqia Governorate 7045301",012 85851127,instagram.com,4.0,325,Sharqia,https://maps.app.goo.gl/6CQs7PBKmdBPpGsu7,not available,30.429688,31.563063,https://lh5.googleusercontent.com/p/AF1QipMI8eitqG-IXsDPkhD2YzcYIXWogWk0wAYAj9ak,https://lh5.googleusercontent.com/p/AF1QipMdOCYPIlUJKDBc5pDuw6FZnqWm41GHGQRlaBF0,,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipO41Hw4OFU7k-AX2un10RrcadkZ12tqOXAH-EdD,https://lh5.googleusercontent.com/p/AF1QipP0Fcc-KRm4q198FVxqeD50_2qR7SSQESjVEeBH,https://lh5.googleusercontent.com/p/AF1QipP-pG0_IX7UgyVd_8-9Ca00tsjOBvZIVWkdFdnJ,restaurant,Al-Sharqia,Izakaya restaurant
SUPER FOOD,"CGJQ+PQ6, Mit Haml, Bilbeis, Al-Sharqia Governorate 7036715",not available,Not available,4.0,4,Sharqia,https://maps.app.goo.gl/UYPijGDtYx1Mj8UDA,not available,30.431812,31.539437,https://lh5.googleusercontent.com/p/AF1QipOR35xuFqmAKBWO_dn4OL018SVUQxeQ6uuAIrOw=w408-h724-k-no,,,,,,,,,,,,,,,,,,,,restaurant,Al-Sharqia,Restaurant
Awlad Elbes Resturant,"CHF9+V9X, Kafr Bani Alim, Bilbeis, Al-Sharqia Governorate 7043550",not available,Not available,3.0,3,Sharqia,https://maps.app.goo.gl/ZxEjF5bezvZRoZD68,not available,30.424687,31.568438,,,,,,,,,,,,,,,,,,,,,restaurant,Al-Sharqia,Restaurant
Monginis Bilbees,طريق عبد المنعم رياض بجوار المطافى الجديدة بلبيس طريق الزقازيق السلام طريق السلام صحراوي شرقيه بلبيس الشرقيه,011 02816895,Not available,4.0,429,Sharqia,https://maps.app.goo.gl/DVCXwFHD7TgvoTvH8,CHG9+66 Bilbeis,30.425562,31.568062,https://lh5.googleusercontent.com/p/AF1QipP1F1unMk0XgkxG5wKocR_AcDCqX6_1-BBo65ZS,https://lh5.googleusercontent.com/p/AF1QipME9jwff0LaMzpMWTCFX6dBl7A4I7YT08ZZRu5v,https://lh5.googleusercontent.com/p/AF1QipMuKjNBtk6_pVd1PZtALlL77efzdXTSXPwFFsvF,https://lh5.googleusercontent.com/p/AF1QipPe23dazx-dhxu9Mg22FNUrkd3jjQ3h68eTAefu,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPx6wVqJTbMIqtIr_W4LaePNUASe3LAg6T0k7Oz,https://lh5.googleusercontent.com/p/AF1QipMaOhPxmgraUffz6un0S7xJ08hjrCnfipUWnUe9,https://lh5.googleusercontent.com/p/AF1QipOVolLSV-6W00byQRZpgBNdjQAoGHZeLlm9PGU1,restaurant,Al-Sharqia,Restaurant
مطعم الشايب الدمشقي,"شارع بور سعيد، بلبيس، مركز بلبيس،, Al-Sharqia Governorate",015 01907799,http://www.facebook.com/alshayb.syria,4.3,289,Sharqia,https://maps.app.goo.gl/v5vdUgqahvcsHvrj8,CH97+G4 Bilbeis,30.418813,31.562812,https://lh5.googleusercontent.com/p/AF1QipMCy3maEmxoL76HF89cuH6wSpxgBzU3FNxUhIDU,https://lh5.googleusercontent.com/p/AF1QipN3Ug6FqXcY7gD17W_NaADcdSNKiWPOJ6CksSEy,https://lh5.googleusercontent.com/p/AF1QipP303zvcPmrETj1UX1K7XrdqladadabNpytgDL8,https://lh5.googleusercontent.com/p/AF1QipOSy7TMC_8Wacd6JZH_gP6yhTUZT_R0T16FiLmY,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOawkkkfL9c_dsoocGYqUNusCiQYYf2B1YAxFqI,https://lh5.googleusercontent.com/p/AF1QipNKjwN4-BOwBcGAUU5rV5vAWVkDLaPniI9BMCcM,https://lh5.googleusercontent.com/p/AF1QipNPn63SlzOopxY8Ox4UuGMH3uIL7_HpTSEDnP_C,restaurant,Al-Sharqia,Chicken restaurant
Asian station restaurant,"اخر شارع معرض, Hasan Ayoub, Kafr Ayoub Soliman, Bilbeis, Al-Sharqia Governorate 44621",012 88371676,https://www.facebook.com/profile.php?id=61550068447421&mibextid=opq0tG,,,Sharqia,https://maps.app.goo.gl/noRRnMzWE2fe73Q38,CHC7+X8 Bilbeis,30.422438,31.563313,https://lh5.googleusercontent.com/p/AF1QipPSu2vDgDUaopqO3PYpzyRaElMgM3xC_DkcIxyF,https://lh5.googleusercontent.com/p/AF1QipN-oFN2vB79twK-5q15_UMTRlQS5AfjlTG63v6k,https://lh5.googleusercontent.com/p/AF1QipNyQQPsdWkLL0MV7Wr96qZu_voJgRwcEzd40q-5,https://lh5.googleusercontent.com/p/AF1QipNMW3aQPHZ1uUINvpQ2XUZMQb4vroLOfydv1jZi,https://lh5.googleusercontent.com/p/AF1QipOBjlEo9iFrkyEXyTsXRt-x5mCUBHGNGGHj_SRd,,,,,,,,,,,,,,,,restaurant,Al-Sharqia,Restaurant
مشويات سامي,"CHG4+6Q5, Belbes, Bilbeis, Al-Sharqia Governorate 44621",010 18503700,https://www.facebook.com/profile.php?id=100089385697725&mibextid=ZbWKwL,3.9,10,Sharqia,https://maps.app.goo.gl/2k7RNdKWdFAFEn5h7,not available,30.425562,31.556938,https://lh5.googleusercontent.com/p/AF1QipM89nYkbaboQmMddAv_cYkAXfxf5DIEk9BHqf0e,https://lh5.googleusercontent.com/p/AF1QipMf0stGz9MlUQ-QwBq6Z5eq1p0MvawPNEq8mM5Q,https://lh5.googleusercontent.com/p/AF1QipP_FMMsARKMDNoTGkZ17Zd1ndnDaj-jAyEOVhpa,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMUxOXZO5azTToJl83JGrxjJ_ar_uFSA-RzUENK,https://lh5.googleusercontent.com/p/AF1QipMvo5CQQyh8Y1emA27q-PrwJ2TwgT9JOU32RMZ8,https://lh5.googleusercontent.com/p/AF1QipN2JwguOwP0bbfA0DHvyNleKl1F7gR2pT7cdlsJ,https://lh5.googleusercontent.com/p/AF1QipMEGGN_3AJg6KmN3Cnr5sEanc8oWjI18AaLWp9m,,,,,,,,restaurant,Al-Sharqia,Restaurant
بيسان_Bissan,"القديم_ بجوار موقف عبود _بلبيس, Port Saeed St, Belbes, Bilbeis, Al-Sharqia Governorate 44621",010 98820231,business.site,,,Sharqia,https://maps.app.goo.gl/pU3RDjo7EakJLx7n7,CH89+5M Bilbeis,30.415438,31.569187,,,,,,,,,,,,,,,,,,,,,restaurant,Al-Sharqia,Restaurant
الشيف - elchef,"Belbes, Bilbeis, Al-Sharqia Governorate 44621",011 02161251,Not available,,,Sharqia,https://maps.app.goo.gl/pe3FJjL1AZ7mmJTBA,CH96+VQ Bilbeis,30.419688,31.561937,https://lh5.googleusercontent.com/p/AF1QipPAXlx8ukSGR3SZ9ZijwGx7Kw2lpX310yTc_2bN,https://lh5.googleusercontent.com/p/AF1QipOMC94sg_yjp8bpAlr8CTdqHK7cX_USvHxVjSJ-,https://lh5.googleusercontent.com/p/AF1QipPFuwwK2pMxM8IlpOVH6PzeV53Iof6aQqnFo-5i,,,,,,,,,,,,,,,,,,restaurant,Al-Sharqia,Fast food restaurant
