Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Bella Vita Restaurant,"Golden Jewel party complex، سيدي جابر،،, سيدي جابر، الإسكندرية،، 6WHQ+Q5G, Sidi Gaber, 5434023",011 17111659,Not available,4.3,202,Alexandria,https://maps.app.goo.gl/qHJG69bKrTg7akt68,6WHP+JX Sidi Gaber,31.229062,29.937438,https://lh5.googleusercontent.com/p/AF1QipMetbN73vGPzlb3w89IRrlmDHI00WpXgsJMS85K,https://lh5.googleusercontent.com/p/AF1QipMV46nrtl7WDDWnKTbwInKTTVp4WgPFsyr3lqMS,https://lh5.googleusercontent.com/p/AF1QipO3mqQDR8SRxffyHdx_QKQ4B4huejuCAUfpZ5mM,https://lh5.googleusercontent.com/p/AF1QipM_BLUCYPS2n6xDn_1I7BO6gT0MOCzMkVow_udN,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOmiXF0owzvBdQ1f0VIpZK9hMVrtF6iBaBVg5l_,https://lh5.googleusercontent.com/p/AF1QipNer7U-xCN30oIF3kk7SHqvObStoJV359lWHtbV,https://lh5.googleusercontent.com/p/AF1QipPoH683N-B-r7fCQRDVOBE23VrlNLvTuJe85Yvm,restaurant,Alexandria,Restaurant
Baci restaurant & cafe,"Sidi Gaber, Alexandria Governorate",010 70013402,Not available,3.9,41,Alexandria,https://maps.app.goo.gl/b2kwehXktKAuMTrs9,6WHP+7Q Sidi Gaber,31.228187,29.936937,https://lh5.googleusercontent.com/p/AF1QipMvjBj85OTSO_UFrAJBzT_CMmwLI6Afp616puFg,https://lh5.googleusercontent.com/p/AF1QipPw8E8eQ9kjTxaLD8_bwA_X3LK8E0srR1gtwOtw,https://lh5.googleusercontent.com/p/AF1QipOBqDVcssGIIJKhEkIdzKTqen9syflO9wmgN_2B,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipP9V3x54dSMazTkwWkS1bKlOisD_gtg9RGRhENR,https://lh5.googleusercontent.com/p/AF1QipPIWdOTyXJ9UO2kvCmuD2mIP3EAlLsgNQJ6N111,https://lh5.googleusercontent.com/p/AF1QipOpQjE5ixZlFhgIsTuy91rO513mMBUyTYr9xpO6,restaurant,Alexandria,Restaurant
Sunrise restaurant,"240 El-Gaish Rd, Mustafa Kamel WA Bolkli, Sidi Gaber, Alexandria Governorate 5434050",not available,Not available,3.7,3,Alexandria,https://maps.app.goo.gl/VmtFm1PWobvWiYyM6,6WMW+MM Sidi Gaber,31.234187,29.946688,https://lh5.googleusercontent.com/p/AF1QipMtj7-Z4RDr987aZze8SJ0ODDlrOOinz3r8WCJe,https://lh5.googleusercontent.com/p/AF1QipOAVJ7p7Ox5iQXiCM5uH9bYCzQNCKKUA-xUo3uQ,https://lh5.googleusercontent.com/p/AF1QipMHRuBjGpXBZgkkToT0rL_1Noiq7GoHcDqVQkxW,https://lh5.googleusercontent.com/p/AF1QipPdouNvrO2JXAqyylEpt86uiG7rfmqcEyFVOJSV,https://lh5.googleusercontent.com/p/AF1QipNvcQtad3Z73y3e4cgBpe819hdgLEvanZMOEqkD,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOsWzydMkUwMVezdftSCn9e020EUgBiOmkwOnpO,https://lh5.googleusercontent.com/p/AF1QipOQ01uOKACOdgwRARV8D7mP0RIHqaXLfaZVMJlE,https://lh5.googleusercontent.com/p/AF1QipP9ZyZyzYgXbhbBaHDSFg_r2jcWX1457S56vs0N,https://lh5.googleusercontent.com/p/AF1QipNhNHFg60CGGYzN2No9B8E98aROJRDbtVDMOETU,https://lh5.googleusercontent.com/p/AF1QipN8v7DK8ItsGqLdTwyz_4HyB72I9V5iO7j0uXXf,restaurant,Alexandria,Restaurant
Murano Restaurant & Cafe,"259 El-Gaish Rd, Fleming, El Raml 1, Alexandria Governorate 5452003",6WMX+MP El Raml 1,Not available,4.1,368,Alexandria,https://maps.app.goo.gl/F8GT9U2VF63pGzCf7,6WMX+MP El Raml 1,31.234187,29.949312,https://lh5.googleusercontent.com/p/AF1QipO4AqRJxs10cxHLpU30ZokfKRY78qh_kZcsmnCT,https://lh5.googleusercontent.com/p/AF1QipO7ZlmHG9zVSCOMXvRXQgHgIozjxoU5NPAdm8i0,https://lh5.googleusercontent.com/p/AF1QipP4Dxx9Kw3jHoxPHW707OtLRRb2OpHnj1QGmXS5,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOMrFpI5-QLR0D0LXY3cknmnbA8R96I3iotLsdf,https://lh5.googleusercontent.com/p/AF1QipNgC-bNEK-yfVSlqf9zaFkUUjl0ZfjKy1HFUbja,https://lh5.googleusercontent.com/p/AF1QipPks4Y30TawL9-sZS2leNXHTOisGejGwWaPjiAx,https://lh5.googleusercontent.com/p/AF1QipPuOcOkX_pBVsDZOMvmvrmBnUrDbWnK354nhUii,restaurant,Alexandria,Restaurant
Adrenaline Restaurant,"Beside Olympic Club Gate and Hambaka cafe، 11 Ahmed Zewail Square, Bab Sharqi WA Wabour Al Meyah, Bab Sharqi, Alexandria Governorate 21500",03 4265856,https://www.facebook.com/AdrenalineRestaurant?mibextid=ZbWKwL,5.0,3,Alexandria,https://maps.app.goo.gl/Uvgnr4Y6E8iBgx6F6,6W29+27 Bab Sharqi,31.200063,29.918188,https://lh5.googleusercontent.com/p/AF1QipNqHREKIR-dcFfmHbZ4bEIivyYOeIyhffBsRcrE,https://lh5.googleusercontent.com/p/AF1QipMNRv5x_XCNlyY4kACzcecvCRHisRnA92I-pa9x,,,,,,,,,,,,,,,,,,,restaurant,Alexandria,American restaurant
True Mama - American Restaurant,"٢٦ شارع الإسماعيلية، شارع الحكمة, Abu an Nawatir، kafr abdo, Alexandria Governorate",03 5454252,instagram.com,4.4,44,Alexandria,https://maps.app.goo.gl/9My4Sf41pkZmULN2A,"6XF3+Q7 Abu an Nawatir, Sidi Gaber",31.224438,29.953187,https://lh5.googleusercontent.com/p/AF1QipOa9jJRue4rYFQQGPcbzCIkXt6g1sqjKJmMoQ0,https://lh5.googleusercontent.com/p/AF1QipNBdKEQSHf2M6vkJrh3vIZyleOsmP_5vQ6nrQOq,https://lh5.googleusercontent.com/p/AF1QipMPuso786u6FK6h5E4kfYi_t8WWAtnFcVghRA7e,https://lh5.googleusercontent.com/p/AF1QipMQ2qK0ozj34MC48-f6IbQTMKanacA765pbqh2Z,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNi1jbQeiN_tlSc3zOoTKX85Jzj9dgko7l77cXA,https://lh5.googleusercontent.com/p/AF1QipNTxB-Tftz6EbT-_TSAqWHPZN9fl0lbu31xE9_0,https://lh5.googleusercontent.com/p/AF1QipO0t215ngRP2wog3qiYyzBHRIuBr5CxzQ1EY5Hv,,,,restaurant,Alexandria,American restaurant
Cap D’or Bar and Restaurant,"4 Adib Bek Ashak, المنشية، Al Attarin, Alexandria Governorate 5372010",012 22649184,Not available,4.0,948,Alexandria,https://maps.app.goo.gl/3JQkEHUDiwoQmK8Q8,5VWW+W8 Al Attarin,31.197313,29.895812,https://lh5.googleusercontent.com/p/AF1QipOYKScl49Fe25Rr_2fw6D1X0pjUKA5ktydlsBAZ,https://lh5.googleusercontent.com/p/AF1QipPbBMeCD3e_Bg2YDxDjqBXRViHEmc7kAcQBjB45,https://lh5.googleusercontent.com/p/AF1QipPLJRhycfaRTPmKTYoZ7IDLJcpNDpz-le_E4QXi,https://lh5.googleusercontent.com/p/AF1QipNWaXn2e742wZcihYLJTv7SSOlFxP2al2-8Ruhc,https://lh5.googleusercontent.com/p/AF1QipOFRUZiQwoVpTyqnMfoIFhCTyvWncKP7mvIH4bt,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOYZTFdsM3ZfgGih9DYzp6-xzl41Bnttlkk3ECZ,https://lh5.googleusercontent.com/p/AF1QipOrd0_OWYBbNO4hU4hP41a0O6UVA5MPloKlE3NJ,https://lh5.googleusercontent.com/p/AF1QipO6U9W-XslNXeSQ4MA7syJ57EqOjfNXetGI-5uL,restaurant,Alexandria,Restaurant
Pablo Cafe & Restaurant,"2 شارع زكى بدوى محمد، 267 El-Gaish Rd، ستانلى, El Raml 1",6XM2+M4 El Raml 1,pablocafe.net,4.2,"3,931",Alexandria,https://maps.app.goo.gl/1jNCqdLZoBsYhsMg8,6XM2+M4 El Raml 1,31.234187,29.950313,https://lh5.googleusercontent.com/p/AF1QipMxhCvkZex1JzUExwy0atxHKHTGTSg38WKQEHPf,https://lh5.googleusercontent.com/p/AF1QipPGQBT84tSKoN2PL6J1O2IGr5UtEeLy8ZB4ATnA,https://lh5.googleusercontent.com/p/AF1QipOyFZsthXRkv-yrq3Uwq_dmGe289jJ8Cj0iRNze,https://lh5.googleusercontent.com/p/AF1QipNQJY3PzOAt_TS5seGNkLEgO3kJEhaeZ79m2RKF,https://lh5.googleusercontent.com/p/AF1QipOdQQwvMesgwSwDpMog8PEW8Bti04umOhnWdkiu,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPV7doGxMrUSGRVtOzGAzQqtaaRUskwj0VoE8Pd,https://lh5.googleusercontent.com/p/AF1QipMcsavELJGSyrPTKHDW3A8pshj8wvWnMhl8zH5I,https://lh5.googleusercontent.com/p/AF1QipMCKeOuUKdl43-x39viNXQyQy_YbwpvdIraadmW,restaurant,Alexandria,Izakaya restaurant
Sidi Restaurant سيدى مأكولات بحرية,"43 El-Sayed Mohammed Karim, As Sayalah Sharq, Al Gomrok, Alexandria Governorate 5321382",not available,instagram.com,4.7,253,Alexandria,https://maps.app.goo.gl/miywUPn97aNP7Ce47,6V4M+G4 Al Gomrok,31.206313,29.882813,https://lh5.googleusercontent.com/p/AF1QipOAIdMm4fgzY9av2PgkDXDXpANj8p3bzFcbmCtw,https://lh5.googleusercontent.com/p/AF1QipMBOmeWJC3SdztObAGDey4me_MjJoP0P0bqzxML,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPKXY3mCCb1dvPpRTuSrPIYU9UC-LVlCUplQqo9,https://lh5.googleusercontent.com/p/AF1QipOVPXJhMeSfkHqMSQBmbwyW8cewdYGInKWo-rQq,https://lh5.googleusercontent.com/p/AF1QipPN8BB9k1WRLhaar2Yrc4FAlncHDsQIr2_QasQV,https://lh5.googleusercontent.com/p/AF1QipNVmMCiOj-qxNvWU9_lwAp4K9rNGiMGKhZhBoNG,restaurant,Alexandria,Seafood restaurant
La Noche Cafe & Restaurant,"6WHP+MXP, Elgish road, Sidi Gaber, Alexandria Governorate",012 73878724,Not available,3.9,22,Alexandria,https://maps.app.goo.gl/iUENcGnYWbw8rvjW9,not available,31.229188,29.937438,https://lh5.googleusercontent.com/p/AF1QipObcgYM2GAuYk-bC33nKOweHNrMRbCjW8BC4S5Z,https://lh5.googleusercontent.com/p/AF1QipP6Cx7QTHSkkvXwy7x5MunnYuuyYTO2wCt9WIKF,https://lh5.googleusercontent.com/p/AF1QipPaO-bx6WIcMcw7CkWgDPeG5m6QNRAJ93mMFfCI,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPWOdR_BQsf0nIfTWw-DwOkPMZZ4GEUDTL0apt_,https://lh5.googleusercontent.com/p/AF1QipM1bIlIMc4ZEQcHLKzXMpDtIbHqOcXmbRDGe1pv,https://lh5.googleusercontent.com/p/AF1QipPAj_LfcQtcPCyim5zx8qK17_-QtzouiWrN4Ukx,https://lh5.googleusercontent.com/p/AF1QipPTKpBYM8XaYGzPdqrwR3rN8ahkbFt3mWHI8IUz,restaurant,Alexandria,Restaurant
