Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Makani Restaurant,"Imam Al Daaeri, Sheyakhah Oula, Aswan, Aswan Governorate 1240836",010 09183661,http://www.facebook.com/MakaniAswanFB,4.3,"1,812",Aswan,https://maps.app.goo.gl/zVpNVxbZrrrTvp9F6,"3VPR+37 Sheyakhah Oula, Aswan",24.085187,32.890687,https://lh5.googleusercontent.com/p/AF1QipM5wftMah-YtzkBeTbxOw35--oX79aNeFWthJP5,https://lh5.googleusercontent.com/p/AF1QipPNEc0QCYXdc3_gm4wKakOs1-6p4JQOzmW3KHOa,https://lh5.googleusercontent.com/p/AF1QipO20T_fgvIaEzIfLYa_Hn5507Xp9hmacPkGEb-c,https://lh5.googleusercontent.com/p/AF1QipNAbyLuQ1n6xdnMRE2REmWhCUvBEiwtyZWA3gpI,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNgS16Cxmk8FrJrZffzigCGUvFyI-s2FR2yf__K,https://lh5.googleusercontent.com/p/AF1QipM9ctUWRHNs6uCHNdrledZW5aurpvIQtLC2SKGf,https://lh5.googleusercontent.com/p/AF1QipPbRoo0OGjcHUjMgEBsmsHuQtiANlnKER8pplT6,https://lh5.googleusercontent.com/p/AF1QipNPF-0i2JiOCKMx6J8uLo716nwBi2qhDzSSn9_6,restaurant,Aswan,Izakaya restaurant
El Dokka Resturant,"Eissa Island, كورنيش النيل, وسط البلد, Aswan 1, Aswan Governorate 1240861",3VMM+3V Aswan 1,https://www.facebook.com/eldokka.egy,4.2,887,Aswan,https://maps.app.goo.gl/54mGdL4mr7zgHJEH7,3VMM+3V Aswan 1,24.082687,32.884687,https://lh5.googleusercontent.com/p/AF1QipOJWsAze8UzKJn9W_8NT-r5SgwbfrF46BKV5r7L,https://lh5.googleusercontent.com/p/AF1QipP3Bm6W9i7J4d0g1EFAoJQi_Cc2377BQnd87pXi,https://lh5.googleusercontent.com/p/AF1QipNKjWI9ewlfa1ySfeMeITSeLcUKjAMXqJfsrdjC,,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOciS_PGCm1zOARswhUKpdfn4_ky_DBa5ttybRR,https://lh5.googleusercontent.com/p/AF1QipN3ndAQ_K5cO3Bvl6uwRZl0hVCDtju2wml6POFG,restaurant,Aswan,Barbecue restaurant
Mezze Restaurant,"Elephantine Island 0, Sheyakhah Oula, Aswan 1, Aswan Governorate 1240881",3VVR+8J Aswan 1,movenpick.accor.com,4.5,45,Aswan,https://maps.app.goo.gl/jNGXn3QK78V3x5U48,3VVR+8J Aswan 1,24.093313,32.891562,https://lh5.googleusercontent.com/p/AF1QipNsz6EcVPQ25MKn3-R89eZ_Avd82U8T0WManm3W,https://lh5.googleusercontent.com/p/AF1QipMhdGWhQ8ZbQcC2ndlSQahOV3sleugDoMcVRZxE,https://lh5.googleusercontent.com/p/AF1QipMRA0jUWVPjFGMTb61D2Te2RixlVabjr_ymu06b,https://lh5.googleusercontent.com/p/AF1QipMNI_H0RowVs92_LLe0sfoIM_B1vZvg0tVGufig,https://lh5.googleusercontent.com/p/AF1QipM0bM2sbIpWU9izji2AJpo2Zk9LLqRx5duVhZbf,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMkPcKvwXpp1xgGVpJe12WOSCv3mX-xrr8P8VVI,https://lh5.googleusercontent.com/p/AF1QipOP2QmsGvr2BnLVBT4cLJoYuXMfqZ6KbKrzOBAb,https://lh5.googleusercontent.com/p/AF1QipNeuElxn_qsRFpVMldFuHoF62ibqQyIt55eKWBZ,https://lh5.googleusercontent.com/p/AF1QipNkllei_BN2PazZTJvwy6j45H-HZTPwGXYQdvY4,restaurant,Aswan,Egyptian restaurant
Saraya,"3VJQ+W2Q, Abtal El Tahrir Street, Sheyakhah Oula, Aswan 1, Aswan Governorate 1240836",010 22229071,Not available,4.3,76,Aswan,https://maps.app.goo.gl/qrFtukYh7uRZBVXGA,not available,24.082313,32.887563,https://lh5.googleusercontent.com/p/AF1QipPdxpotH5SI12TInDRLkySPyNy_aUCT7c87JeJC,https://lh5.googleusercontent.com/p/AF1QipPyzDyHu2hCYaEW1mwKs5d_Kr6h5Awhhha1bG84,https://lh5.googleusercontent.com/p/AF1QipMustO-6FesMG0ov-IBwoPXhSS0tzY8SmBpORPg,https://lh5.googleusercontent.com/p/AF1QipPztiCTT5F6KxapdBdQE3Tu9I4DTl3wbpEkSejk,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipM3PvzP696_-btNMhEQxakKsgfZDMx5e0WLcxhm,https://lh5.googleusercontent.com/p/AF1QipMdclvRSRWWCkvF3PPCHAgDPZhgRo9lR6WWsWLM,https://lh5.googleusercontent.com/p/AF1QipN_jllKPuShaGgl1t3Bd9OsTEZRkrOa1MYxogs5,https://lh5.googleusercontent.com/p/AF1QipPXgoVrhngaGyLSPmrJce3PN5AJ72E3MmkLyzZ_,restaurant,Aswan,Restaurant
Sabaha kato,"Unnamed Road, شياخة أولى، قسم أسوان،،, Sheyakhah Oula, Aswan 1, Aswan Governorate",3VQP+8J Aswan 1,booking.com,4.9,86,Aswan,https://maps.app.goo.gl/qLYx97GUM55W9qC36,3VQP+8J Aswan 1,24.088313,32.886562,https://lh5.googleusercontent.com/p/AF1QipOMrAkwrDK54TJfKjmDQjpx5uKHs9epUIrijKRy,https://lh5.googleusercontent.com/p/AF1QipMm453_9O8bBxEJ0zJN5yacdontAOCQnmA8Pulw,https://lh5.googleusercontent.com/p/AF1QipMgp4wZmnAA1CHg9fmhPvhf349kpsYc7bpXBVWY,https://lh5.googleusercontent.com/p/AF1QipOYojH7iJM_Z1lr511NdJToRwFgCU_2JMr4QwkM,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipM6mhRG01kw_ogg1DpTvvpoLKnmAXjtQwz5kNwz,https://lh5.googleusercontent.com/p/AF1QipNe1mAlHIlZLa7ckQjxRj4egoVxy3DUb0oZRiH2,https://lh5.googleusercontent.com/p/AF1QipNDJuS2xqgNAcUXhs07QK0uZTLKi4Zafjn9-lKd,https://lh5.googleusercontent.com/p/AF1QipMjA8QvgV22IDN_7J27-yH0ljAFNWFfEMqy46GE,restaurant,Aswan,Family restaurant
King Jamaica restaurant & Cafe and breakfast ( Ayman jamaica ) ايمن جاميكا,"Elephantine Island, Sheyakhah Oula, Aswan 1, Aswan Governorate 81111",3VQR+PC Aswan 1,restaurantguru.com,4.8,871,Aswan,https://maps.app.goo.gl/Rm323PiDqBLs5SAw5,3VQR+PC Aswan 1,24.089312,32.891063,https://lh5.googleusercontent.com/p/AF1QipOunNVaUsM3dp4nD2yNhN-oziBQ156hQiFZihKB,https://lh5.googleusercontent.com/p/AF1QipMsOYHZAssI92pHW__J6LqlrUc2hDqtgChd-_jX,https://lh5.googleusercontent.com/p/AF1QipOlzzeYfE64tJ5tjnyg9I9ZNaPt1Z-egdEu3BuB,https://lh5.googleusercontent.com/p/AF1QipMq3DRjL1DyCH3edu9KT5ow9Ok04ciWl3h5zEAL,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNzrm7Ajw-07EVpEUwBZ8uZlIk-nsAilZcU50kf,https://lh5.googleusercontent.com/p/AF1QipOq4yvgzkckqEqxw0fWTuD1kyQ-cS5op3q4fZtW,https://lh5.googleusercontent.com/p/AF1QipNGsKqDYtYVqW8rCbGQCXW9hRue2cxNxrE_kDXT,restaurant,Aswan,Restaurant
Elmabroka Restaurant And Cafe,"kornish elnil aswan near, kfc, Aswan 1, Aswan Governorate",3VQV+96 Aswan 1,Not available,4.1,31,Aswan,https://maps.app.goo.gl/kEDbvHrbac1CEibHA,3VQV+96 Aswan 1,24.088437,32.893062,https://lh5.googleusercontent.com/p/AF1QipPCwnZXkCB1Kto7S8bSNYGcs37QEhbkfAiho-Zd,https://lh5.googleusercontent.com/p/AF1QipMn3m6NaGfnbFyeW3gnQcxMMMXNZ14R8LkLW6WH,https://lh5.googleusercontent.com/p/AF1QipNnAQ8_JcRkHlcO7gq0UB7DmEcGubyqHiNRNI9l,https://lh5.googleusercontent.com/p/AF1QipNULa7xso89f_lTTqzEU2S0Un1zv_4bIofDNpQ_,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPIXZImnRjA0VI2x-wQUBPymt08nc3EDNtHHjhz,https://lh5.googleusercontent.com/p/AF1QipM58LO19XW6nEY04U9Vdr3-Rz4gHPhddqe-NkBH,restaurant,Aswan,Oyster bar restaurant
Osiris,"3VRW+R53، ش كورنيش النيل، الكورنيش، اسوان, Aswan Governorate 1240892",097 2315100,obeliskhotels.com,4.5,32,Aswan,https://maps.app.goo.gl/cqa9cqs1uTYiVRY79,not available,30.235062,31.490063,https://lh5.googleusercontent.com/p/AF1QipP4kRN29CP8nJN2CtNprPHKI9dkxpcmZCVIrMCG,https://lh5.googleusercontent.com/p/AF1QipNF5129EWiwq0SVExlqRu1mJhFPmDC3YTpk1XfD,https://lh5.googleusercontent.com/p/AF1QipNWFiuKGhJROc90lhiDsrk5tbkunE_pNJ_xsxY5,https://lh5.googleusercontent.com/p/AF1QipOUjesoK5qUlRxo82Uwi1WHNwHSSAmE2m5VAePR,https://lh5.googleusercontent.com/p/AF1QipObChDJd9NDaKTFtWjewoSqrh9gNBeimReRkXua,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPFxDnF9PjF2D1BKRgF0-uvYa2lAYM5ceUa5O9Q,https://lh5.googleusercontent.com/p/AF1QipNUY6uOOS_QdxnEcM3X57pQNCFXFcuAxqMr3ioS,https://lh5.googleusercontent.com/p/AF1QipMIYRYmP-SjhOzyzuRGYVcATGDQpuCo9IHXPW06,https://lh5.googleusercontent.com/p/AF1QipPgfsNc8vseDKsRBd3jlvoD75konvD5sQ4Xd-bj,restaurant,Aswan,Izakaya restaurant
Strawberry Restaurant,"Unnamed Road Strawberry Restaurant, Elephantine island, Aswan, Egypt, 81511 Elephantine Island, Aswan Governorate 81511",3VRQ+HF Aswan 1,Not available,3.9,15,Aswan,https://maps.app.goo.gl/ETRHNkZbbEooZd1XA,3VRQ+HF Aswan 1,24.091437,32.888688,https://lh5.googleusercontent.com/p/AF1QipPVD_6SZb_2QjOrSQzdedmZzZuDnJcWVRSaWGRZ,https://lh5.googleusercontent.com/p/AF1QipOPeF4oL31dntT0yVuNB9M6ES3HM1CAz3jpVvpY,https://lh5.googleusercontent.com/p/AF1QipMtMStECtEk6sGngaHfpl4NNrBQoKoy2ig-QRP6,https://lh5.googleusercontent.com/p/AF1QipNuF3jQPR_rze53D9izu2OvTzMwnSSsmGeaAl7k,,,,,,https://lh5.googleusercontent.com/p/AF1QipOnf-epi96cfQKuMIqFAgUXb0Bxu21HuzUJClon,https://lh5.googleusercontent.com/p/AF1QipPynQfWkRyYQQUTgxGnkp7SZMQSJS4vZPme_yMO,https://lh5.googleusercontent.com/p/AF1QipOQZVnIwLICuwLtnAO6T2Vzn-eXpMduGhopOrpB,,,,,,,,,restaurant,Aswan,Meat dish restaurant
أنو كاتو بيت نوبى,"4V5R+45J شارع كنج توتو, Gharb Aswan, Aswan, Aswan Governorate 81518",011 26172268,business.site,4.9,14,Aswan,https://maps.app.goo.gl/2oY1NyY4uFhLoGNP6,not available,24.107813,32.890438,https://lh5.googleusercontent.com/p/AF1QipO3Al3HnaoEwaL58qO4uTzoWPKSGXk-hBPqQYgQ,https://lh5.googleusercontent.com/p/AF1QipMIlTqCRg_eW1WbEfPktfDj65jI3mfKHreJAma9,https://lh5.googleusercontent.com/p/AF1QipPzxZ-y3ttpRxFvewdSRqsVJy4gQrseQ3AUpocP,https://lh5.googleusercontent.com/p/AF1QipP0y4qA6u-f7mtYGlYK5n73idU0PPtbzjnTCtWl,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPUA2aMfgi4xuPb50ZW0KAINdtvAUa-QmGyc6kE,https://lh5.googleusercontent.com/p/AF1QipPXiZgOW4P5QqOrAFBYjeGEQ4kyjlTKIU3UT1aA,https://lh5.googleusercontent.com/p/AF1QipNSiyZpOj20H0TGk7qZCwljND8KQ-WmhcK7ZODU,restaurant,Aswan,Restaurant
