Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
كونكادورو Conca D'oro,"شركه فريال, شارع محمود رشوان امام مستشفي الحياه, ،, Asyut 2, Assiut Governorate 71111",55RJ+FC Asyut 2,https://www.facebook.com/ConcaDoroo/,4.6,79,Asyut,https://maps.app.goo.gl/Xs8XtLdNJRR7aR6p6,55RJ+FC Asyut 2,27.191187,31.181063,https://lh5.googleusercontent.com/p/AF1QipOLTodPhweBAGNK3ARu-eFxE9nVBDDa0Wnkpb8T,https://lh5.googleusercontent.com/p/AF1QipP6_7cp38kl4YdJBWVcJfHNE0Zcvf8h_2cOGf3c,https://lh5.googleusercontent.com/p/AF1QipNxcJ62gZGMBpzKu3fxxLm3AD9PEA6GIPwRnM2E,https://lh5.googleusercontent.com/p/AF1QipON-u-L-fFc6D7k3JrTG85VkhR1t0Zhn9n4FhGa,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOMPMhAAbbI_Bj0kRkg-FtMiSAFGt5WOOGYnHlp,https://lh5.googleusercontent.com/p/AF1QipMeKj5s1W6pLCNv7oxztkxxfV6B1SGmXAQTagVC,https://lh5.googleusercontent.com/p/AF1QipO15D28GG0VRnmIFsgdBxMYthXpgrTKEbvOAa2G,https://lh5.googleusercontent.com/p/AF1QipM_CmK3zeAx2O7268PjDXc4q35T20TehUIQ3ckJ,restaurant,Asyut,Pizza restaurant
مطعم لقمة شهية,"55QH+55W, Assiut University Bank Gate front of HSBC Bank",010 66857741,Not available,4.3,3,Asyut,https://maps.app.goo.gl/29Mbkb1H8Yfp9Dp89,not available,27.187937,31.177937,https://lh5.googleusercontent.com/p/AF1QipMJ4bi2-Gyz1_0CwskL8IXxSzWIC411NIqka9qr,https://lh5.googleusercontent.com/p/AF1QipPhf1NaIEE3NXA6abhZiP9pfVWoszdpDbcZEjmk,https://lh5.googleusercontent.com/p/AF1QipPLSJHNFtey32_oJCoQnoRgEi4BHgV6l6RRVGW0,https://lh5.googleusercontent.com/p/AF1QipMpvvPkGoIqJh7vsDVme3-YwnXl5F8t5b7xX5Pa,https://lh5.googleusercontent.com/p/AF1QipOxQo7XJglmP1cy1cMdgHYETj8OE0MQfCvF6tr-,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPlwHSo-omtWo0erNmjbAFM288Xs-C1qER5i8YI,https://lh5.googleusercontent.com/p/AF1QipNgeQu3xLrhavjG9UPa3uROfe_eXUYhRNm0TGnF,https://lh5.googleusercontent.com/p/AF1QipP9PtLobNGW8hs1m2YO2ALUY-k06duszJnr-SA7,https://lh5.googleusercontent.com/p/AF1QipPszZo_VYsWO_qPOJCI4YbZmmhwJMVu9Q5h3wRq,https://lh5.googleusercontent.com/p/AF1QipNbMnRVdcQRfF6EaO3Abcw9EpMM2XqqtIew_nB3,restaurant,Asyut,Restaurant
Restaurant talaat,"55QP+9G7, Khaled Ibn Al Walid, Al Hamraa Ath Thaneyah, Asyut 2, Assiut Governorate 2090361",088 2063336,Not available,4.1,"1,056",Asyut,https://maps.app.goo.gl/HZgCmocby6D2fgTk7,not available,27.188187,31.184438,https://lh5.googleusercontent.com/p/AF1QipN-zVuRpzA6aMMn7C-QKxnhqHaSLj4MZFpbTrIp,https://lh5.googleusercontent.com/p/AF1QipPQ33xU3C-HspcAlWSrjXBAgNWbIi3ZkxW2vk4v,https://lh5.googleusercontent.com/p/AF1QipN0zw6pYnLc0MVg7LiDyz8-UyY7Wxl01OD4nGKT,https://lh5.googleusercontent.com/p/AF1QipP6k07qRei-BAhjsXcgZYKva7hINLnIeNcR9ANl,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipO-QMMXhb7Euzk4qtwQBVvXwvDf-ZehojNVrJgX,https://lh5.googleusercontent.com/p/AF1QipP4FhqOwlCUlwM7Eh0r3cEFb_Ho6vCYaSna6H3E,https://lh5.googleusercontent.com/p/AF1QipNjWxvYWjMjtaKJBESQiI23FSse192jgbo5sHpw,https://lh5.googleusercontent.com/p/AF1QipO96wWYIxsQIRo0a4ATDnb69YLHhtoi1yJTXUW2,restaurant,Asyut,Barbecue restaurant
Sella Lounge,"بجوار مستشفي الحياه, Mahmoud Rashwan Near Al Hayat Hospital, شارع محمود رشوان، Assiut Governorate 71151",55RJ+99 Asyut 2,Not available,4.4,121,Asyut,https://maps.app.goo.gl/A8QvQbG7xdiyoqDk8,55RJ+99 Asyut 2,27.190937,31.180937,https://lh5.googleusercontent.com/p/AF1QipMfPaHGiVu4jJuNMpV1mUFwldRuLGibKIHZyTaQ,https://lh5.googleusercontent.com/p/AF1QipMmGuYvXVIqWyV9wvm3jqoi1pFCs4Jx3rFCHREV,https://lh5.googleusercontent.com/p/AF1QipPPBLjlslQ0ke_dt0ULy0YYHY2N7mOGcdl6QCeX,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipM9VItgECRoXdeQTkA-Tx2XMqY2gHPjpanujp6m,https://lh5.googleusercontent.com/p/AF1QipOkcmdqmj2WmnB2o__gzLRKCKmfEfEsTq1jb4Jx,https://lh5.googleusercontent.com/p/AF1QipO89xtzbPaPW1OQCyh2aqZSMdl-rfirZ9AARyWt,restaurant,Asyut,Restaurant
Abou Shakhra,"أرض الملاعب محافظة أسيوط، مجمع أبراج نيل بلازا, Ahmed Ali Al-Oba, الثورة،،, حي شرق،, Assiut Governorate",55VQ+25 Asyut 2,Not available,4.1,336,Asyut,https://maps.app.goo.gl/J8YtwmHf9zPf4en68,55VQ+25 Asyut 2,27.192563,31.187937,https://lh5.googleusercontent.com/p/AF1QipOakRX8E5dughe3eHmhcttk3tk6t4kiC5mUa8TN,https://lh5.googleusercontent.com/p/AF1QipMNJJMJfmLyHRU6fz2YJYDmS6ifOzllppv9BCce,https://lh5.googleusercontent.com/p/AF1QipNIgCvTlALq_XeDnRZX6EBIm-rwCV2iQRfme87T,,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipO_KtHUuOrKanfQkDZAv0C75Rn3caVZZoXdY974,https://lh5.googleusercontent.com/p/AF1QipNe2296it3SqYyIpA0fJBMNW1OVNF82TBzVmgl8,restaurant,Asyut,Barbecue restaurant
Gourmet lounge,"55WG+WC2, Al Walideyah Al Westaneyah, Asyut 2, Assiut Governorate 2091203",010 68888961,https://m.facebook.com/gourmetloungeeg/,4.1,375,Asyut,https://maps.app.goo.gl/4jiDhpPG5awMXUJh7,not available,27.197313,31.176063,https://lh5.googleusercontent.com/p/AF1QipPz-9VL9Ll3an4lu2Ii4tA0-cANQC8D0cB3e4cP,https://lh5.googleusercontent.com/p/AF1QipOUpug_rEh-Eh0PEjCujFhXdalKi7Q8E5eA3P9N,https://lh5.googleusercontent.com/p/AF1QipMBtFm8Qmdf-eG2581vcC_GpEhQrkamL6idJB8x,,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPA8l7HmcTYSStr3W3UgdcDzI3X2tXbLEvrE64U,https://lh5.googleusercontent.com/p/AF1QipOo5O6PKZBe0crhL9nb3AuZscVPFJ7oCV_5t-p8,restaurant,Asyut,Izakaya restaurant
Oxygen Pizza,"مستشفى الحياة, اسيوط فريال ميدان العطيفي خلف, Assiut Governorate 71111",55RJ+7M Asyut 2,oxygen-mart.com,3.8,231,Asyut,https://maps.app.goo.gl/fwjAnSc3Xej7cJyZ6,55RJ+7M Asyut 2,27.190688,31.181688,https://lh5.googleusercontent.com/p/AF1QipM0fcc0JbwPlQj_1XWI2Ngy3Iim1C-8UvaX4S0F,https://lh5.googleusercontent.com/p/AF1QipPS8lohTkURTU9yIDhsLFgicGSUvEULeWGBiop8,https://lh5.googleusercontent.com/p/AF1QipO2ajZBS-_M1gwVTnTyTDGHzVW0eq3pYPtWGBrk,https://lh5.googleusercontent.com/p/AF1QipO9q8aEy8pKFaZdksNmQzPVhK4FijCxlh7w2NSs,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNMi4c-MAHKKSzCLMsuGpXp_UmBLPjamp5-Dsh2,https://lh5.googleusercontent.com/p/AF1QipMAnYePM_DQk8tsMvekyffBSezeQvEKeV3TwKCt,https://lh5.googleusercontent.com/p/AF1QipM8nOwfChUTvBLcLx0vYt9tPzIivQ7vm_DAFYME,restaurant,Asyut,Pizza restaurant
Freekeh,"Asyut 2, Assiut Governorate 2090240",55PR+QC Asyut 2,Not available,4.2,143,Asyut,https://maps.app.goo.gl/ahB7G4t7vaFGmxhA9,55PR+QC Asyut 2,27.186937,31.191063,https://lh5.googleusercontent.com/p/AF1QipPOVTUTOnVUtYm1Mn6qv1V3cLMIo0cfQLztxPgD,https://lh5.googleusercontent.com/p/AF1QipO05A-OgXYAzP7jmEcMSgoVAxwxkBfr3VbIuE3_,,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipP3z-CV91xi_MSb79wmu84BGtt-dTvdaFTEX-Vl,https://lh5.googleusercontent.com/p/AF1QipNYoEXQrsrN1YGcxrJbV3YVkudCJOVMe0wvRq8e,https://lh5.googleusercontent.com/p/AF1QipOcl-di0JuFgcfYTcEd2LM9i1bqtjC6BO8s_zpz,restaurant,Asyut,Syrian restaurant
مطعم ومقهى أونيونز,"ش الجلاء - فريال،, El-Maamoun, Al Walideyah Al Qebleyah, Asyut 2, Assiut Governorate 71111",55PJ+RF Asyut 2,bosla-assiut.com,4.1,834,Asyut,https://maps.app.goo.gl/QyHmMtpaPEbYd8AB7,55PJ+RF Asyut 2,27.187063,31.181188,https://lh5.googleusercontent.com/p/AF1QipN7ybmsQHlyAGE8p0q-mfT9obhXsxccG5Mphe3u,https://lh5.googleusercontent.com/p/AF1QipO4PWxXSkCAXIyT78WYrBe6F8kx2A4jCZY_Gspg,https://lh5.googleusercontent.com/p/AF1QipNK3T5hy-fZpKpFABAdTOUxaZc0p0W4OU-b58Z4,https://lh5.googleusercontent.com/p/AF1QipPhkqIvwzXVoX5A3q4M1C-94TEeBbEKJwww8GKd,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMzm7BAJgrOiewTLMiEewTCSRYNQKyzsfJjd7Vf,https://lh5.googleusercontent.com/p/AF1QipMUdEez-8MQ_6_Ore9z-GsThPqA8Te7buJ3U05a,restaurant,Asyut,Fast food restaurant
Salsa Restaurant,"أمام النساجون الشرقيون، شارع النميس، حي شرق،, Al Hamraa Ath Thaneyah, Asyut 2, Assiut Governorate",55PQ+32 Asyut 2,https://www.facebook.com/salsaAssiut/,3.7,630,Asyut,https://maps.app.goo.gl/NVUtjcyTkcmifTSf6,55PQ+32 Asyut 2,27.185187,31.187562,https://lh5.googleusercontent.com/p/AF1QipPraQFsvB5MaPKfDQrn9eL36LOklL9z4TDiPlFW,https://lh5.googleusercontent.com/p/AF1QipOpCBYd269nKoZnSlfweFn3Epvz_iRwnYO_B026,https://lh5.googleusercontent.com/p/AF1QipPcltlAnqejrCQ48Tgx86NaoZcG-Ul6SPJb_4M6,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOwbPydlSDmJES7SFGJRRWIFphvZ1f6mVaVjM0u,https://lh5.googleusercontent.com/p/AF1QipPfCFDBBF5maIyyRkDnC_L8HxmTG1DSIXAzPTWX,https://lh5.googleusercontent.com/p/AF1QipPVqHBzx7kSPDjEhJhZz4wMpMCTE-g1POtpZS72,restaurant,Asyut,Fast food restaurant
