Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Pianto,"2FRC+R5V, Sudan, Tamous, Damanhour, Beheira Governorate 5845005",010 69080950,https://www.facebook.com/pianto123456789?mibextid=ZbWKwL,3.8,421,Beheira,https://maps.app.goo.gl/TWZvXTxfV2rAMmUUA,not available,31.041438,30.469812,https://lh5.googleusercontent.com/p/AF1QipMcNaAoI6MvD6QDryEPwRUN7Z1cbB-7wsx1W70o,https://lh5.googleusercontent.com/p/AF1QipPoqRef_-_s-mte2pOu2fSNuck3uFJgt-Bhvka1,https://lh5.googleusercontent.com/p/AF1QipOMs_YRGTXCGInTC43H9_lJLjccANy9k8XxLg-4,https://lh5.googleusercontent.com/p/AF1QipNmE-nxDUE8HuJZCiXWHDpA-GkMPD3hgMxjXL_3,https://lh5.googleusercontent.com/p/AF1QipNCfP8qVfKcI7sm1q6Ip9-UHeHjVlKsjg2UWJBB,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOvHqwpiaQphksQqG_NHMO-4gQVpZIlC0B0pp37,https://lh5.googleusercontent.com/p/AF1QipNZO3WBNtrcTYCJBkfJVk1846PmAkmFVRBLh9SW,https://lh5.googleusercontent.com/p/AF1QipO2Q_o6_8vDd2JXvPMUOpad6cJu5LuVF_KsU3I4,restaurant,Beheira,Izakaya restaurant
Abu Rabie Restaurant,"2FV9+36H, Naqraha, Damanhour, Beheira Governorate 5844023",045 3311663,Not available,3.5,290,Beheira,https://maps.app.goo.gl/wZuBchXRzKCqxEiN7,not available,31.042687,30.468063,https://lh5.googleusercontent.com/p/AF1QipPuuixeAro1O3K5ZLHnZx39i14LkzUiKVUa9JqN,https://lh5.googleusercontent.com/p/AF1QipM3mow8pOuJn9l66QxAsqQ8C7gzZ9_Ss73voArG,https://lh5.googleusercontent.com/p/AF1QipPlsVq8byr_Hv-jaeNlme38w2CV9y_8-uwP3N8k,https://lh5.googleusercontent.com/p/AF1QipONctNGDOV142WnCPTojd6wfd84wi2f6AG7EPwB,https://lh5.googleusercontent.com/p/AF1QipPx17U0i-UWh23z4P5J0013ojGLVoeAf9dlk6mF,,https://lh5.googleusercontent.com/p/AF1QipMLTdej9HfvqzIC4Zb8J-IjasZh6kMxCXfFO4QG,https://lh5.googleusercontent.com/p/AF1QipNavDB3PrMQpuneO_vl65l2-gVTzpF0AH749Vtx,https://lh5.googleusercontent.com/p/AF1QipPZgGMmsgiilt6N83ui4105VTSjnR027FN349dI,https://lh5.googleusercontent.com/p/AF1QipOwGeWn4IhBHhcO0Hq0j8trdGG2uOs5w6AbiciT,,,,,,,,,,,restaurant,Beheira,Restaurant
Restaurant and sale Adco Fish and Rasheed,"2FVC+R5C, Naqraha, Damanhour, Beheira Governorate 5845013",045 3305555,Not available,4.0,683,Beheira,https://maps.app.goo.gl/LNJuF7pqXQJoiC5u7,not available,31.044562,30.470438,https://lh5.googleusercontent.com/p/AF1QipNlMEqwy6gZ3cAn7OhLrZqk-OESYukXquhO0WqE,https://lh5.googleusercontent.com/p/AF1QipPxfP15EmCynKbdJ12WYpok0Nd7bl58sXUDAtsu,https://lh5.googleusercontent.com/p/AF1QipMjPjWFONRrvtnkEGEE4U6UKfK-1DUirVHoZnU8,https://lh5.googleusercontent.com/p/AF1QipM7cqnW02rAWNLklKh0ui9Cm4BOtxClkHt0N2-k,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipM4VHNreUzyZ5PFkVn_iXSCLNo_VbokJdy-_n5B,https://lh5.googleusercontent.com/p/AF1QipOa0iDdlgvkD9Y12QRNpz6xgVSyEyd-rOPfnqfC,https://lh5.googleusercontent.com/p/AF1QipMUVSbMKmIXMBZRDVTXFr53fSHbqx4vlibs_mG1,restaurant,Beheira,Seafood restaurant
Pizza Ranch,"طور سيناء، قرطسا، قسم دمنهور، البحيرة،, Damanhour, Beheira Governorate 22599",045 3194756,Not available,4.5,52,Beheira,https://maps.app.goo.gl/JDEcxrBPU1Z1ASNZ7,2FM4+WH Damanhour,31.034813,30.456437,https://lh5.googleusercontent.com/p/AF1QipPD4eFs_p1zTpkBR1RqmObwbpmMy0DVus2DIvzA,https://lh5.googleusercontent.com/p/AF1QipMBsSBTZ7Msl96xzSp_xaDoD9oPoKmwY3JMQsGE,https://lh5.googleusercontent.com/p/AF1QipOYNzrqneYfK55WBC4reYcTSTdA6r-jl23hNDN1,https://lh5.googleusercontent.com/p/AF1QipNAl9-CcHvoQu53UExNqZaoYUMRzM-uL5WjRi_F,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOh9B9Hbyv72lj4EdC6SJ3WBoVm2MF0_dX3m3ky,https://lh5.googleusercontent.com/p/AF1QipOB3QKo5R5uV2U52--Rw5ky1sF8HPve5vmcgHyF,https://lh5.googleusercontent.com/p/AF1QipPLef47VXWPq-90UZ07MXNrlAiq98Cl6_l0e9vu,restaurant,Beheira,Restaurant
Sahlla,"2FW8+575, Naqraha, Damanhour, Beheira Governorate 5844035",045 3319205,Not available,4.1,216,Beheira,https://maps.app.goo.gl/9BxzZuCNDNWJiKVx5,not available,31.045437,30.465688,https://lh5.googleusercontent.com/p/AF1QipNtFATzfzSzXHmKUPjTzD-Bq5GlWKMnH1A2d6w,https://lh5.googleusercontent.com/p/AF1QipO1Yg4w8tUe0NHbMxAHn_x_Zbeu4eSCugusqIyB,https://lh5.googleusercontent.com/p/AF1QipNMv4qkmGGfZ9dxLvXCzi_m7OpVIs83tx1JXDg,,https://lh5.googleusercontent.com/p/AF1QipNeQg_IBeTx81gnkAZuYolRRrQW2VIFdLqDB1g,https://lh5.googleusercontent.com/p/AF1QipNS0KhPLGcK4VqJm50mXGyhJuxawk_I9bgvQwtC,https://lh5.googleusercontent.com/p/AF1QipME266-qj9YQ-pMu67wD8RASz5c7PQG7oYYa1SG,,,,,,,,,,,,,,restaurant,Beheira,Restaurant
Space Roof - Restaurant - Cafe,"Qortasa, Damanhour, Beheira Governorate 5841060",010 30070032,Not available,3.9,197,Beheira,https://maps.app.goo.gl/E2z6ByuAAEq7n6cF9,2FM3+RX Damanhour,31.034562,30.454937,https://lh5.googleusercontent.com/p/AF1QipNvMlVDuXIZYXN3g08RaSNoUJZkCQJFF6G-xBGr,https://lh5.googleusercontent.com/p/AF1QipOE4Avr89p4YNh1YUNLXBuMrZL3-jJ5PtA1ZDVt,https://lh5.googleusercontent.com/p/AF1QipPmiplNDHiNQ6rCTvpjgfy5MZNNw54A4H7mF44U,https://lh5.googleusercontent.com/p/AF1QipO52e2BqgfDxmVzC4nJgTpn_Ubh-11Mx6-sUB_-,https://lh5.googleusercontent.com/p/AF1QipPU9yIoKNBUdU5_d5CJeqQOfeS6Pab9akAv5_yW,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipP6expav5657CRGRu4TkVDJdAEgOjKio7TAyyr_,https://lh5.googleusercontent.com/p/AF1QipOSBDwm37FZmNR1CNM_XxoYaMqZtkKQjqH4PLhr,https://lh5.googleusercontent.com/p/AF1QipPRKGyRsoOc4CS56YOE0tE7_s_7omU2A7YxYirK,https://lh5.googleusercontent.com/p/AF1QipO4LO1BYVlU8WOtrAlCkyPDCwt6zCta-HNIRcjY,https://lh5.googleusercontent.com/p/AF1QipPZvjkwHjkHKGefCmBf7u0AzQsTIhQcALQDnyFT,restaurant,Beheira,Restaurant
"Molokhia Restaurant, damanhour","Naqraha, Damanhour, Beheira Governorate 5841347",045 3353720,Not available,4.0,"1,829",Beheira,https://maps.app.goo.gl/hgFx9eMW1WBwpBBb7,2FV6+8R Damanhour,31.043312,30.462063,https://lh5.googleusercontent.com/p/AF1QipMCSXTC73fnQH3qXS6Ud1Tjv5Fhnsy1bHhE-3xD,https://lh5.googleusercontent.com/p/AF1QipMKJ1e8MGpVadi_guiGN1aa2fFfsiciomEoBat7,https://lh5.googleusercontent.com/p/AF1QipPT66dCQ1QMFxr4ouLoi6RlhDIY-zMye6Q8uWCv,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMbOkihXs_wAYdJK5DnOzBUzjAMYOR3pZkOK8HH,https://lh5.googleusercontent.com/p/AF1QipMe5_MBR8qA-IOBkYpubh6OojLhg1yLhMnlUu4e,https://lh5.googleusercontent.com/p/AF1QipPbhCDDifRrI8l51ppAdPzGrv_QytNU7hN5sL1l,restaurant,Beheira,Fast food restaurant
KFC,"Abd El-Salam El-Shazly, Tamous, Damanhour, Beheira Governorate 5844027",not available,egypt.kfc.me,3.4,"1,810",Beheira,https://maps.app.goo.gl/VnvVxbSaiZFaUEbD9,2FV8+PW Damanhour,31.044313,30.467312,https://lh5.googleusercontent.com/p/AF1QipP00nMQgFZbNZn6t4hSOjmH2B3MEo5UEuwfVtve,https://lh5.googleusercontent.com/p/AF1QipMcagNSaWFVgJ14gJSVEE5oHUczxOxwXkxZLHRL,https://lh5.googleusercontent.com/p/AF1QipOZ6oxWhbMceeo1RCGUx7aM61zXzCxhD8S4c6FR,https://lh5.googleusercontent.com/p/AF1QipMVlENObU2zE3noQnfUtUkSaAmojGTfaqwPY0VP,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipM7VR9BPwztnGLV6QwAehsZQPdG-Rt4mPT9Lfxk,https://lh5.googleusercontent.com/p/AF1QipPkyqwNyYtpdkyVMLdGCsP5t5MeeRQFZp1YE5wl,https://lh5.googleusercontent.com/p/AF1QipOsMPeXhfVD2oGbSQ7pnjGCyCCzOE9YE8QIoAIf,https://lh5.googleusercontent.com/p/AF1QipOlOK-r0glvKoO0rUFOtFFOZK8iLWXpVvu1tnCo,restaurant,Beheira,Fast food restaurant
McDonald's,"Abdel Salam el Shazly, Abd El-Salam El-Shazly",02 21600377,mcdonalds.eg,4.1,295,Beheira,https://maps.app.goo.gl/PMG531PMSKWLYRY97,2FV8+QG Damanhour,31.044438,30.466313,https://lh5.googleusercontent.com/p/AF1QipP3LSLNm0lLrfT9Npy321UZNSwiq-6Wh3W1aRiS,https://lh5.googleusercontent.com/p/AF1QipOUpQwUzkGOM2pSMDX73O8ZxiAD573lhmFv7KBR,https://lh5.googleusercontent.com/p/AF1QipMqJNJxhSOKFfjD2WfieNXxy6y3vkRP4qoHwi53,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipM5gqE82SvxNTe_dn_WTrOO-MxWsiBlHh2Jlnax,https://lh5.googleusercontent.com/p/AF1QipOcHUKHK1GDzGr_wmve9UHSD_Mx8lC-FlUsXxxa,https://lh5.googleusercontent.com/p/AF1QipPAJUxcf3WSuNgyQgO7Uxd0Ocnd1pA_Fb6M_609,restaurant,Beheira,Fast food restaurant
بيتزا روما Pizza Roma,"الراهبات, Gawad Housny, Damanhour, Beheira Governorate",045 3222313,http://www.facebook.com/PizzaRomaStar,4.2,504,Beheira,https://maps.app.goo.gl/TY5fMPTaQRRdsggx8,2FW7+85 Damanhour,31.045813,30.462938,https://lh5.googleusercontent.com/p/AF1QipOzrR3-_WpHx_NuMjO8Q7n0L2AQn4lPFMw8e6Pk,https://lh5.googleusercontent.com/p/AF1QipOoQv63L6EDH9Va3HIaKgv5p-L3jhLebdYOKFux,https://lh5.googleusercontent.com/p/AF1QipP2DlKn2nkoA5d--N7TzfTgYugnj4KrqloO9m9A,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOZhsHUHxqjCe03EZwrh7_y5Ijl_I_0wY7a3jgj,https://lh5.googleusercontent.com/p/AF1QipOIVwVHcn_T6OETVN8r2rlGhGjqic8kYU3YHVxz,https://lh5.googleusercontent.com/p/AF1QipOC7sil5wcjZW2bdmWJ6yE6qwyRizuh2TjSUOyZ,restaurant,Beheira,Fast food restaurant
