Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
bolivar,"اعلى المصرف المتحد, كورنيش النيل، Qism Bani Sweif, Beni Suef, Beni Suef Governorate 62511",011 00529988,http://www.facebook.com/Bolivar.Resturant.Cofee,4.2,535,Beni Suef,https://maps.app.goo.gl/nZnQq9tF8zBq3Ddj8,3495+5X Beni Suef,29.067937,31.109938,https://lh5.googleusercontent.com/p/AF1QipPrOOT3xEletqr8nuycqZz8tYdg3-V_zgY2LMEc,https://lh5.googleusercontent.com/p/AF1QipP-Gva1NHxXu37FAL5HtenpavR8ZHpcLbjtvTZN,https://lh5.googleusercontent.com/p/AF1QipP_vp5500atxy2zLYAaBDXYyZOJCbOow2iw3Bbt,https://lh5.googleusercontent.com/p/AF1QipNcnqOzdzpCNlonCgcVkFLrO8eTpNnfQKdzRPhm,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMvVVNZXt6IVboQ4FwLENxydJIn3E4s38IMNVV2,https://lh5.googleusercontent.com/p/AF1QipP9HLxUFCyzVb0C-Rkr-P9Hp-NBjyl53RJoFtKf,https://lh5.googleusercontent.com/p/AF1QipPy7qm6eyHGQYbO5VzMWN5oKsZDZ3-7eWKjQKU8,https://lh5.googleusercontent.com/p/AF1QipOD6Lr9AnUbebZFJyqryqq9kys9OiCHx9kiYvED,restaurant,Beni Suef,Restaurant
Ariika,"24WC+X6J, Unnamed Road, بياض العرب، بني سويف،،, New Bani Suef City, New Bani Suef, Beni Suef Governorate",012 10772141,https://www.facebook.com/AriikaCafe/,4.2,388,Beni Suef,https://maps.app.goo.gl/zcd2CP4Ybt6seKYH6,not available,29.047438,31.120562,https://lh5.googleusercontent.com/p/AF1QipOyH_FvX-P1D4cdms2zsffo_ns9_aH8F5u_sSQ6,https://lh5.googleusercontent.com/p/AF1QipMgBr048wTzzrUmQvaKbozJbHQl2Utj2xaJEVHU,https://lh5.googleusercontent.com/p/AF1QipMVNgZzbxyvHaHaAF-O3U9uufUPdlRQaMyB5JYU,https://lh5.googleusercontent.com/p/AF1QipPmtil6mkDP3-epOnmZCh6Tct-uQYqSlJyD1Y-0,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOjrfn26QMBuHfHA2m_AGbDUwyi3HfLYQkmyLDX,https://lh5.googleusercontent.com/p/AF1QipNlt7S5ybJVubE74YYcNtCAjztIy3OYo9tHBesU,https://lh5.googleusercontent.com/p/AF1QipNej36qhE6argsbwSfmFwFSqOg7ZIpFTKcxAA,restaurant,Beni Suef,Restaurant
كبابجي الباشا ElBasha Kebab,"New, beni suef city, Beni Suef Governorate 2730403",010 92828037,https://www.facebook.com/Kbabgi.Elbasha,3.8,100,Beni Suef,https://maps.app.goo.gl/VGzmt7W1ZpdNvNcaA,24Q6+CW New Bani Suef,29.038562,31.112313,https://lh5.googleusercontent.com/p/AF1QipM28k_cosX5B2vb3rxUl3pLa1ufo364BLCOyrDm,https://lh5.googleusercontent.com/p/AF1QipN-kBvGF14GwqTnQ-M1JGZ32gjevzqIOiDPFbJQ,https://lh5.googleusercontent.com/p/AF1QipNFPlZydD26CMZRz_F2YvQ5z_rfGGG0gylPttGr,,,,,,https://lh5.googleusercontent.com/p/AF1QipOI-woJKpmjuciJhXHNYNXQktlSMw4NVrEVY-BV,https://lh5.googleusercontent.com/p/AF1QipMEr0K1vc8l1esvDij3LYXUrSRbSuJAgtoyQORT,https://lh5.googleusercontent.com/p/AF1QipMdsZMsgGXAjcqV32FwDD7a1PDxBUzOKemBoJNa,https://lh5.googleusercontent.com/p/AF1QipOfwQoCLaYVVpzt5cfSCLzzWC5wNDuJcjqhrzbK,https://lh5.googleusercontent.com/p/AF1QipMAs6ejqtpY80Whte2Gdk-Rxu5T5PN7iDtoLMB4,,,,,,,,restaurant,Beni Suef,Barbecue restaurant
Buon Gusto EG,"كورنيش النيل بجوار مستشفي التأمين الصحي, Beni Suef Governorate",010 61541545,https://www.facebook.com/BuonGustoEgy,4.2,193,Beni Suef,https://maps.app.goo.gl/WQjVns4BVHPyxbsz7,34F8+R4 Beni Suef,29.074562,31.115313,https://lh5.googleusercontent.com/p/AF1QipO6ZKz53M7fjiMqdYtVSn53XyYAsqRUpyz2h-jP,https://lh5.googleusercontent.com/p/AF1QipMKvkkj91gCtdG58FAbwi7ofwd-dSrfirq5qV8A,https://lh5.googleusercontent.com/p/AF1QipPUE5nl9bSusNfSgMB0-mITzAYKT7RYCqzyhqZa,https://lh5.googleusercontent.com/p/AF1QipPAuWK9mxzQG6PJk2-M6kDiyq3wqhyLF8gVIpF2,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNTqOHhiPXylap5VfoYQNUHshE3z8wm3tvimfRe,https://lh5.googleusercontent.com/p/AF1QipOdvapAhK_thAyOZQL3EHbQsAlRDZ6mJ2FLILmb,https://lh5.googleusercontent.com/p/AF1QipO2G6mJ9FSrf7odtWYBgR9n-hk-p9LqwL46si6U,restaurant,Beni Suef,Italian restaurant
امبابى - Embaby,"Kordy elgbaly streat, Qism Bani Sweif, Beni Suef, Beni Suef Governorate 2721107",010 10029153,Not available,4.3,26,Beni Suef,https://maps.app.goo.gl/n4N8bWtY3Whb78nL9,34C3+CH Beni Suef,29.071063,31.103938,https://lh5.googleusercontent.com/p/AF1QipNlg_ZqJbTcOhwb3l3dcJe9d9GeJf32_AFg8BFI,https://lh5.googleusercontent.com/p/AF1QipMtfTLBp1bX3-Z4Nr8HLedmF1NSQVUWiES2jr3q,https://lh5.googleusercontent.com/p/AF1QipMKiHi_EBJ76y0tbVpUIzWBUuDg9DF6UpYjJ_Pk,https://lh5.googleusercontent.com/p/AF1QipMQQlGilz5l_PlYjZ9Eth6OITs3kdFe_1iW2Gst,https://lh5.googleusercontent.com/p/AF1QipN-HlanyehADSvILhzxEqymG-zUWGGTfeXxWsbP,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNKVpvyS9W0ePn_Z2X0xdwOD8MiKYyfiIXQABn0,https://lh5.googleusercontent.com/p/AF1QipP9uyZgetmjmUAMcVPf9NVNIT32P57oLHz_BcWK,https://lh5.googleusercontent.com/p/AF1QipMThiPPIPwjJgAdrsyQcgpc4ZzMEnjjAKafxZpR,restaurant,Beni Suef,Restaurant
مطعم فول أولاد جنيدي,"Waheed, Qism Bani Sweif, Beni Suef, Beni Suef Governorate 2721534",not available,Not available,4.2,234,Beni Suef,https://maps.app.goo.gl/RhqP6ksQprTXLw5m7,"34G2+CF Qism Bani Sweif, Beni Suef",29.076062,31.101188,https://lh5.googleusercontent.com/p/AF1QipPN1GSlG-orAUUenPqGzP5DH1kGpZFGiqeSHjOh,https://lh5.googleusercontent.com/p/AF1QipM3krmKDkP7qOToukcTSolWwv9T69GOASd2rb8w,https://lh5.googleusercontent.com/p/AF1QipNBuBa-gEFh-5tO4-pLGkDSgs-cFQI4IeDHg0xc,https://lh5.googleusercontent.com/p/AF1QipPUL5b2BEQU-KjO6RD2E5OvizUYZtuGgK_9gpaA,,,,https://lh5.googleusercontent.com/p/AF1QipNeLA2o4HxLSlupioWYSP3gPU9YnlLGTQYJP4Ji,https://lh5.googleusercontent.com/p/AF1QipP__i7GcMUzNW3oSd1IpBE5ISxfxvk7qtbCKr_-,https://lh5.googleusercontent.com/p/AF1QipMAVaYX1VC-otAnApUkhYCuLvXn0O6bquPbQ6v5,,,,,,,,,,,restaurant,Beni Suef,Falafel restaurant
كافيار,"23 ش Aziz Moqbel, مقبل، Beni Suef, Beni Suef Governorate 2721537",011 44212428,Not available,4.2,"1,177",Beni Suef,https://maps.app.goo.gl/9y8PSjaBXrtnQz6n7,34G2+WP Beni Suef,29.077312,31.101813,https://lh5.googleusercontent.com/p/AF1QipNr0J-oxUpgQNCzLuq60oeF2VUc3LAWQ7f8P_bm,https://lh5.googleusercontent.com/p/AF1QipOCIn5q51xNHdWwEFQHx0Q3aSQrQriNn4gXDu2k,https://lh5.googleusercontent.com/p/AF1QipOeqiOxelkmY0LaQ0q9MzbG_Q0craBX68O_RJRz,https://lh5.googleusercontent.com/p/AF1QipNJ7Ylv2hDBjd9uUs3QaqY63AclGpIDQeKKcnqS,https://lh5.googleusercontent.com/p/AF1QipONPR2Jf6BojbdInLuJQU7m9UgmKRY7uurviGvZ,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipP7TUXas9L8m4RJB3VJ9UBSaRSDMRqBFCIVyq4C,https://lh5.googleusercontent.com/p/AF1QipP-zjvBUtGYr9jId4RhumDXZudHsfRQYzwmq41e,restaurant,Beni Suef,Seafood restaurant
Kaza Meza Restaurant,"الجيار متفرع من, 34 Abd El-Salam Aref, Qism Bani Sweif, بني سويف, Beni Suef Governorate 62511",010 06781356,yellowpages.com.eg,4.0,506,Beni Suef,https://maps.app.goo.gl/6yJUqUVk6oTVG5F77,34C2+PW Beni Suef,29.071813,31.102313,https://lh5.googleusercontent.com/p/AF1QipOMdh1_sa9FlrwC-JYONWA-ZmZLAP7kY_M0e-5S,https://lh5.googleusercontent.com/p/AF1QipOc73cnEJlj3m620aQ7jC1Ne7kwRNwlbYqOdiAT,https://lh5.googleusercontent.com/p/AF1QipOOkHlR4NFNV9O-g4ij4wHv8pM9Zr0cOYf5U911,,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMTYcW8Ti0DV1QuXQYhktpIChTIUEy9BfC-H0bY,https://lh5.googleusercontent.com/p/AF1QipNGngWyjhoBwxj3T6Z0oWEAFL2Rh25eM7qA-dMI,restaurant,Beni Suef,Takeout restaurant
مطعم كافيه سيدي عبدالرحمن,"Bayad Al Arab, Beni Suef, Beni Suef Governorate 2731002",010 07171842,Not available,4.0,720,Beni Suef,https://maps.app.goo.gl/sLDYv2nyxNYUWawVA,24R6+9R Beni Suef,29.040937,31.112063,https://lh5.googleusercontent.com/p/AF1QipML8cnnU15945e9aDWHGzAddagfMD-r6HSsqFEO,https://lh5.googleusercontent.com/p/AF1QipOkrUTY7ecpUsSWG14DdlPLHwgBUJTdPnP8hoIL,https://lh5.googleusercontent.com/p/AF1QipO8nyFS1wESGUnj4om_KKE7v34JMBPn89mph2Nm,https://lh5.googleusercontent.com/p/AF1QipPczAmV5Zof7_3VL1woBGaxhMMwHtApq_1ycAto,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNPUV6uIrotJzXy9nOJB1bZaHxe2g3P2u5s8FMU,https://lh5.googleusercontent.com/p/AF1QipPawIr8M74gHs1Y7oX2_c0LpsTUiBJi3J2-xB4m,restaurant,Beni Suef,Cafe
Ali Baba Restaurant,"Qism Bani Sweif, Beni Suef, Beni Suef Governorate 2721128",010 23162357,Not available,3.9,782,Beni Suef,https://maps.app.goo.gl/dysrBRbYKJ5pq87Z8,34C7+QJ Beni Suef,29.071937,31.114063,https://lh5.googleusercontent.com/p/AF1QipNygcwVPSI8c3Z9GWQF3kIffA7BGV1SLeyG5QAT,https://lh5.googleusercontent.com/p/AF1QipNCUrh04_9n_DsoXYJNinQgfbBN51aXMnG4SA0j,,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMYnY3e6gAGtrjruaVCuWPv00JmYRP48dM7RWwo,https://lh5.googleusercontent.com/p/AF1QipNd3xgqEOimi_Qb9EQEMCHO2zph4u-D1Ku9O32_,https://lh5.googleusercontent.com/p/AF1QipM2mso7IQ8AQmg8J28mrPGZG4rUf77D5h9EzduV,restaurant,Beni Suef,Meat dish restaurant
