Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
El Bait Baitak Restaurant,"Ain Shams Sharkeya, Ain Shams, Cairo Governorate 4543070",010 18456635,matamak.com,2.0,3,Cairo,https://maps.app.goo.gl/NN2bCSmb9uxZvkyr6,not available,30.127938,31.330062,,,,,,,,,,,,,,,,,,,,,restaurant,Ain-Shams,Restaurant
طباخ افراح ومناسبات,"عين شمس،",012 77327368,business.site,5.0,1,Cairo,https://maps.app.goo.gl/EmA2NnMi4Qufa6aw7,48HJ+52 Ain Shams,30.127938,31.330062,https://lh5.googleusercontent.com/p/AF1QipOvs9vbta-4NYICi0yQ4SmKIcZN8rWnfjs-Ymvv,https://lh5.googleusercontent.com/p/AF1QipNQ_p5mVmx5uEg351LIZZy25jfy1ywLesD7yU9h,https://lh5.googleusercontent.com/p/AF1QipOslM22tBSDhBde2HfmjxE12UiRYqGKgU1JmQeC,https://lh5.googleusercontent.com/p/AF1QipPDgH3_uHSZHW5ZcAGlPw8s2ny5kO5VucJ_KLda,//:0,https://lh5.googleusercontent.com/p/AF1QipNyAEZhaN-DWxh17cCCjCnEWxyRuvnldV20K4cX,https://lh5.googleusercontent.com/p/AF1QipM8juvwH2hPee8sAjIkBKqfIFjPhL4keB15KwHM,//:0,https://lh5.googleusercontent.com/p/AF1QipPSbt2HOZfssc30Yo1nCgk-UQs9-iJ3jRjEBG8X,https://lh5.googleusercontent.com/p/AF1QipMVKU1UkVNSdcH6YFlQ7slmGBLkT4ZiKqJOUpPk,//:0,https://lh5.googleusercontent.com/p/AF1QipPODTyeTeiYVjTHLGVpcWQGvaWUFKqLZAAXcN_R,https://lh5.googleusercontent.com/p/AF1QipMUeLKfdnpeHKTOczRdZqG50n2qIxHQQzPwiRho,//:0,https://lh5.googleusercontent.com/p/AF1QipPylFwoNB3b1n9IBo2OhRMVl0BvNCW0B2BkXvn3,https://lh5.googleusercontent.com/p/AF1QipPSj1oSfTrXqI4wnZyGNtDwFjT632i-cNMFVXt6,https://lh5.googleusercontent.com/p/AF1QipNoG9lf3jq2sl97BkRgzG9TcxSgsNevSI2TGkbK,https://lh5.googleusercontent.com/p/AF1QipP_8FPrz5CcaaM3M2R5Xer9gUiDsiRFomoaVXSb,https://lh5.googleusercontent.com/p/AF1QipM0uGgSUXWr5-HaR9a-QjDaemB2XhD1TCuKQszL,https://lh5.googleusercontent.com/p/AF1QipPkyW14c8EiusmbFnGANfkRx0WbcL_ZGFo4hmrD,restaurant,Ain-Shams,Izakaya restaurant
كبده ومخ أبو سعده الشرقاوى,"١شارع منشية التحرير --،، قسم عين شمس،, Cairo Governorate",02 27792801,Not available,4.1,13,Cairo,https://maps.app.goo.gl/HyKjhTLiW478WFYJ7,not available,30.071438,31.369687,https://lh5.googleusercontent.com/p/AF1QipPUmwIsq9UFszvzviJ4tIl5JuhAkGU5BbB9qi4l,,,,,,,,,,,,,,,,,,,,restaurant,Ain-Shams,Restaurant
Al Zahraa Pizza restaurant,"6 El-Zahraa, Ain Shams Sharkeya, Ain Shams, Cairo Governorate 4543061",02 24972456,yellowpages.com.eg,3.7,237,Cairo,https://maps.app.goo.gl/nrra4saoXp8M6UNQ9,48JH+G7 Ain Shams,30.131312,31.328187,https://lh5.googleusercontent.com/p/AF1QipNd9JayTlrNJvuaJ7ISmE437zMSZ2tQTc85TYBu,https://lh5.googleusercontent.com/p/AF1QipOkjz738GSE6Xxp_D8N6PMuC5ulvAPAEObhP8-6,https://lh5.googleusercontent.com/p/AF1QipOlJqjqs3u0udXrCgjv2f9yfkmFITA2S3HJPRnJ,https://lh5.googleusercontent.com/p/AF1QipPrrYemqc8rW6B0QQMqmdrpDwjeW9ZGjrepZxcp,//:0,https://lh5.googleusercontent.com/p/AF1QipMtWbvB_Ovy5wHDa2tJJzeP4loY05MWmDcnE9S3,https://lh5.googleusercontent.com/p/AF1QipOCamgZlXtbaKdjyBrqhTDdZtleJcognSpay4Sy,https://lh5.googleusercontent.com/p/AF1QipMzPYUSJP9B3PVgM0pYcoVxmuf2YtdzxnGtaGNV,//:0,//lh5.googleusercontent.com/GBglLOI6TgBNldmGo8GK16WcSciH3_1UaPgJLa9BIMbXL1OJoluNQPCeJKS6B1YS,https://lh5.googleusercontent.com/p/AF1QipNiQyNoaNBnIj7EExnl-7q8Nv0JoQrfH-TldNjl,https://lh5.googleusercontent.com/p/AF1QipO3hv6GlUzJL7tDrNvsuAP27QinMviIXy4jppkM,//:0,https://lh5.googleusercontent.com/p/AF1QipMeH0T6EbBHMzqd3v2LoBsRqHk4bCTi_WU_5b0I,https://lh5.googleusercontent.com/p/AF1QipN7G1Iv-tc2bypd4iE-FqvzHAucLA_ftv5oxcJb,https://lh5.googleusercontent.com/p/AF1QipM-5sellBOsGPq6y1oDvISLDqhQhXXjirxoV_qn,https://lh5.googleusercontent.com/p/AF1QipP__SiWnBXtDU8h1zBCvGOLFXC-c9JGssDpjakS,https://lh5.googleusercontent.com/p/AF1QipNNFYtUKSYbkNxTnackkW0pj0DSynZ50puWrijO,https://lh5.googleusercontent.com/p/AF1QipOnbN0NW58TMEnI0es9fd6mFCu3qzpyF1ZRpSgA,//lh4.googleusercontent.com/Ke4PAhWHcgo5jVZyXWuvsxDb5ByAS1rqS9kpk-Hkceb0HCXiJ8RGiW7DxUijmprIgA,restaurant,Ain-Shams,Pizza restaurant
Ahmed Nada,"86 Ahmed Esmat, Ain Shams Sharkeya, Ain Shams, Cairo Governorate 4543020",012 05312222,shikhalbalad.com,3.9,"1,482",Cairo,https://maps.app.goo.gl/KbjUc5mLWiS2N8uS6,48GH+PG Ain Shams,30.126812,31.328812,//lh6.googleusercontent.com/4DTCCGaZkKtrQJDZtnCyuYtrL-UTVOdgggzKAqVbNFH2ds5s-4VhSW5sbB1oxqc,https://lh5.googleusercontent.com/p/AF1QipOdd09flPBcyEty9I1tCMHwDVnPSMA-BK6Kt-f0,https://lh5.googleusercontent.com/p/AF1QipN73SrYnns2fUgjUG8iS_8Jzg_oHZ9_MqZRfGDV,https://lh5.googleusercontent.com/p/AF1QipOkdDa_nngG1T674rjMJWinW8ytlD4YLGgkl-Vj,//:0,https://lh5.googleusercontent.com/p/AF1QipNZKYM54kmo-DipGf6xmsHaIKVy7sBNTWnnWhqI,https://lh5.googleusercontent.com/p/AF1QipOX9vckZ1WZdkdHRbPSgggxJLSA0mbZzcXFoYE,//:0,https://lh5.googleusercontent.com/p/AF1QipMAJ0k7B5W2QuCr7XN7Nt9vY_g3CxBvLG2cxjU,https://lh5.googleusercontent.com/p/AF1QipOgbBANqzkvL4nwPUA6mQSH4iXjB7VwyVmnX9ES,//:0,https://lh5.googleusercontent.com/p/AF1QipOS761q9-cPUmHWXGFVh9zfUNg_poyWjl_0mpM,https://lh5.googleusercontent.com/p/AF1QipOczKVmIplhzTj2MecLMVjXiD8T6z2WNCYW5GjM,//:0,https://lh5.googleusercontent.com/p/AF1QipNQ-yXMPrXqt_fDFB10SB5E0mm4uvtLIwqE4kcV,https://lh5.googleusercontent.com/p/AF1QipM2ISkprhN6GRuT71ZmC-Kn5NR9pEp88VtNcYU8,https://lh5.googleusercontent.com/p/AF1QipMXrrdV8Nk1LFOdBSxsi25wVvA_DiuQ7v-wPESX,https://lh5.googleusercontent.com/p/AF1QipP1hF0HJD3VDZwAG5qa2oX7uvg2bmzkc0TSGY7_,https://lh5.googleusercontent.com/p/AF1QipMcieMSB5oe5s5faY0wgEZb3jRAkiXOJydKEKXR,https://lh5.googleusercontent.com/p/AF1QipNaPqKoJkbk2Wc2NKOIhcQWfq7Mkf9f_Tn-cM3p,restaurant,Ain-Shams,Barbecue restaurant
مطعم أم عماد,"48GH+QH7، شارع إبراهيم الدسوقى، عين شمس،, Ain Shams, Cairo Governorate",012 25909939,Not available,4.0,1,Cairo,https://maps.app.goo.gl/NN8kZzhu6Pe79U5H8,not available,30.128062,31.329563,//lh4.googleusercontent.com/RsT8UtxbcdDGOzNMenY1_DPe0CxdwVdHwO55CKGJjPhn_8AV65B5B_k0H989dJ0,//lh3.googleusercontent.com/lJyjF_BnIydhvwZE0IFv17UzUl3riugpoygCOnBSQZT1BQi-flNloWXsM_HXLwJ4Nw,//lh6.googleusercontent.com/yr1-14IIUlBlkMvL-M9HEuge0SzaZ4nFpHtwZMryq0m_ZKnAvuFmB26PZTpvge2I,//lh6.googleusercontent.com/2y6NTbVKTgtPBev6hvddxdMvNmpwjuABDJf2j7Ohx_bIEWO8ufW6irgLBV2emYT7,//lh6.googleusercontent.com/FFqjRIDEQfkvoE0bYC_RG5KWsJZIWDJQXHPnFAYTUlMcN8GvAr0EiHvGam3O4XSn,,,,,,,,,,,,,,,,restaurant,Ain-Shams,Egyptian restaurant
Awlad Sadeq,"12 النعام, Ain Shams Sharkeya, Ain Shams, Cairo Governorate 4543022",02 24919920,dalil140.com,4.3,231,Cairo,https://maps.app.goo.gl/tXiqU7cVKBWdBkLB9,48GJ+H4 Ain Shams,30.126438,31.330312,https://lh5.googleusercontent.com/p/AF1QipMrDPj54flEi0gXcplqcxghLN0aWBinRgC0VMCk,https://lh5.googleusercontent.com/p/AF1QipOV_KE8xkurnv6c9I8DcdA5nNyVEtpZOYtuw1SZ,//lh4.googleusercontent.com/weqgO7vP3rl5OqQEx9WbaWd8NgJH-Q8hQN3gza5buV83tx3_nCUks2VBjxB8mF_2,https://lh5.googleusercontent.com/p/AF1QipO53d_5weNFJUpy5fR-RPipeMCvD8wDWyVb8AGm,//:0,//lh3.googleusercontent.com/ZQjb4GxBGICqYZVmB1f9_f-lnqoGW9nTEaS4DQqDVszZTZXMZcXHA8H-4eWOYus,//lh6.googleusercontent.com/hMz2N4SJ_UjJc_gDmlJLScpKoe0PqUgqtt2i7zYXFdbTwXeAs14nE4hzopcV87A,https://lh5.googleusercontent.com/p/AF1QipOWCF3sW8bm4m3ngB_av6BShyUSd1bpVEuN-Zu9,//lh5.googleusercontent.com/NLVZ9UXz0qLtQUcloD8FLlc-6JZ-UUiJhZ_83qT1dVWnfTaEi5gHYNaasgc44inpzw,//lh4.googleusercontent.com/E4r-7yGHclopNBCKnMEXoW2iX-A_uquWoNdAuLX3BkP2X-lIIPE46m2j81mSv2M,,,,,,,,,,,restaurant,Ain-Shams,Restaurant
Pizza Abdel Razeq,"72 el eshreen st.، AIN SHAMS EL SHARKEYA, Ain Shams, Cairo Governorate 4543344",02 24902296,Not available,,,Cairo,https://maps.app.goo.gl/jUZYP2cL1EcdruWN7,not available,30.134563,31.338313,,,,,,,,,,,,,,,,,,,,,restaurant,Ain-Shams,Pizza restaurant
مخللات ولعه,"48GG+XFQ, Ahmed Esmat, Ain Shams Sharkeya, Ain Shams, Cairo Governorate 4542227",02 24941422,https://www.facebook.com/%D9%85%D8%AE%D9%84%D9%84%D8%A7%D8%AA-%D9%88%D9%84%D8%B9%D9%87-101256345397220/,5.0,5,Cairo,https://maps.app.goo.gl/zkpQDx2SGbFh62Ki6,not available,30.12625,31.32875,https://lh5.googleusercontent.com/p/AF1QipPAqqaipE3-xM8l6hi5aUNibV5ZvOGRHI11nuil,https://lh5.googleusercontent.com/p/AF1QipPhvj8bERYke-FAClwwxm11LuyZvuz6CR6iMs3I,https://lh5.googleusercontent.com/p/AF1QipNubH32U5yEIUWhciDg7sahmQYRsvgkUNXfVJPy,,,,,,,,,,,,,,,,,,restaurant,Ain-Shams,Restaurant
KFC,"Ain Shams Sharkeya, Ain Shams, Cairo Governorate 4542201",0219019,egypt.kfc.me,3.6,"1,830",Cairo,https://maps.app.goo.gl/1T2igWAPpZSD9M237,48GC+M5 Ain Shams,30.126688,31.320437,https://lh5.googleusercontent.com/p/AF1QipNyV5jE2pEqsv-3xSCZL395u7iH80knx2OJmXGO,https://lh5.googleusercontent.com/p/AF1QipOODbBYw6lRhbpiIVB4IhXTvml8mp2x7Mw_P9hS,https://lh5.googleusercontent.com/p/AF1QipOjDUJWukT-VusECZlU93ECa1A8iz6tjqnpx3n3,https://lh5.googleusercontent.com/p/AF1QipO8fg6cHU55hTaVp5eKHtYfA89wl0QgtOQxftqV,https://lh5.googleusercontent.com/p/AF1QipNVaTRFolmpCgmCk6X0xvbKhZpXOqJblXMZ6zU,//:0,https://lh5.googleusercontent.com/p/AF1QipN9QOceWwhfTYZoX0-_z2V5hFn3-4vPU146ZNA,https://lh5.googleusercontent.com/p/AF1QipNM2R6vdOv9MUlbrVxUkjAGTKCU4wKbIUq2ZB0R,https://lh5.googleusercontent.com/p/AF1QipNRCj4pij5Xn8PvA7nQE7h8gjE7IK47BCuU154l,//:0,https://lh5.googleusercontent.com/p/AF1QipPRsyn2EbeonwzsxZMh_5RDl9VS_XeAEGGEdD_7,https://lh5.googleusercontent.com/p/AF1QipNe-jMNYAovaUSfQyE4QKvylL_OWW6kon2ebSA,//:0,https://lh5.googleusercontent.com/p/AF1QipMe2stFIjUJsnr9eE04sPzcQGBsbkvpVXy47ctW,https://lh5.googleusercontent.com/p/AF1QipPv-7V_7cHLeO7eUwoL-iOYiwJcyKQrnafPkK7V,//:0,https://lh5.googleusercontent.com/p/AF1QipMnwW3Os-xqrvbEXAK_KgxuMVAp-0mJF0N1mI8,https://lh5.googleusercontent.com/p/AF1QipNKSwfgi1cRl2-shsEO7OaeAXO76zT26huenU0l,https://lh5.googleusercontent.com/p/AF1QipPl21NdCQmszvEcxOLwk6yse2jYVT651HY2CbYy,https://lh5.googleusercontent.com/p/AF1QipMoo9vC1r0YoZ0CC1-RKmsTQ8QWSGpmrIhUXOGM,restaurant,Ain-Shams,Fast food restaurant
