Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Mam's kitchen,"3928+82P, Al Asherah, Nasr City, Cairo Governorate 4442416",010 02449124,Not available,,,Cairo,https://maps.app.goo.gl/jNm8YLuLTEy3va8HA,not available,30.050812,31.365063,,,,,,,,,,,,,,,,,,,,,restaurant,East of Nasr city,Family restaurant
Bistro Restaurant - Nasr City,"16 Abou Dawoud Al Zaheri, Al Manteqah as Sadesah, Nasr City, Cairo Governorate 4450455",012 00007090,http://facebook.com/bistro.egypt,4.2,"3,305",Cairo,https://maps.app.goo.gl/zJadKecWwR2Ft5jz6,"3962+GM Al Manteqah as Sadesah, Nasr City",30.061312,31.351687,https://lh5.googleusercontent.com/p/AF1QipPwnWbb7C1wDIktjnMy4iWgVB3ZVRB6NrwSILK5,https://lh5.googleusercontent.com/p/AF1QipPLjB9tk9Dk9mvrH0-LL-pwKkUM4kr03e4giwPl,https://lh5.googleusercontent.com/p/AF1QipOOhC8YOxbQKOPcmDTHz-nzlwUYRPvfu5PPYEm4,https://lh5.googleusercontent.com/p/AF1QipP8cBdUC5kcBlgI9mpfJkUlS_oPie9-nMpJsdIa,//:0,https://lh5.googleusercontent.com/p/AF1QipMQORNAj_PDLmqKE4N21OXl3Qvcvc8PKrVHqmd0,https://lh5.googleusercontent.com/p/AF1QipPduYteSy_nuZYl7WlnhTyljQ4tAplOGCfn0ppE,//:0,https://lh5.googleusercontent.com/p/AF1QipOqMfclzUZujoWU18YeQK1VVcUGoGHQIl1MnaQQ,https://lh5.googleusercontent.com/p/AF1QipPD3NjOhXq0GEcQUft96miQTx4uZZq2rtT9jZYb,//:0,https://lh5.googleusercontent.com/p/AF1QipNp9pKQfcxFJ-gFvoc6WU6HdsivtlJ2WTpRhnQW,https://lh5.googleusercontent.com/p/AF1QipOTO_wIrXdIkuIfVOJYBrhz4Bgo_R53D8J-JFLD,https://lh5.googleusercontent.com/p/AF1QipPVosm5U0EcMVWK-H5B9ZcOyu_U26UtdRSUYi-Z,//:0,https://lh5.googleusercontent.com/p/AF1QipOySQpdSwO63ItEDfWiJ-7K-erP_qoDf3T8NiwA,https://lh5.googleusercontent.com/p/AF1QipOy_DGxdWOvgdNmsYU1b6OqGYyIBE61ISRJ1laf,https://lh5.googleusercontent.com/p/AF1QipNrrQTKCTGhUvQGD1SFHkp7jEK9oqsdpf32oE9K,https://lh5.googleusercontent.com/p/AF1QipMAQz3OmXrOuFeNkUvhz1-IwqQwttWti3JkXtVU,https://lh5.googleusercontent.com/p/AF1QipM1NjPXjO917IZGpMj1Xl8KDIWukfu6YBHsH-78,restaurant,East of Nasr city,Italian restaurant
Tag food&drink,"كوبري مصطفي النحاس تقاطع شارع الطيران, امام مسجد نوري خطاب, Nasr City, Cairo Governorate",015 56807773,Not available,,,Cairo,https://maps.app.goo.gl/ovRi7ZWGT9Fepqmp8,382G+WG Nasr City,30.052312,31.326313,https://lh5.googleusercontent.com/p/AF1QipN7k-VKN__QzzeOV_MLpVUz0LbBuYBuF_5E0MmN,https://lh5.googleusercontent.com/p/AF1QipOB-sFhHwkfOPuEkn9JF-1q8LqFMMeWFMolAHEY,,,,,,,,,,,,,,,,,,,restaurant,East of Nasr city,Restaurant
Azhari Restaurant,"28QP+R68, Abou Hayan Al Tawhid, Al Hadiqah Ad Dawleyah, Nasr City, Cairo Governorate 4441233",011 11462700,Not available,4.3,95,Cairo,https://maps.app.goo.gl/kA4YgT2tfQ6v3hJF6,not available,30.039687,31.335687,https://lh5.googleusercontent.com/p/AF1QipPd9i0zpXnToKLZ-5v7_JP5wcM1Aag5P8FeDbKj,https://lh5.googleusercontent.com/p/AF1QipMZOKwjaV44XHIQ28bDH-et-bhxCz9ryhzeQkCE,https://lh5.googleusercontent.com/p/AF1QipOVLSLIG9uAGQSFNreo2eeNr1g9S0OWucNq6Gtr,//:0,https://lh5.googleusercontent.com/p/AF1QipMLg9mOGwryQtwCo3UGdN443u5Ez4h5reF95Efr,https://lh5.googleusercontent.com/p/AF1QipNSKsc9Q2uETHmptVDfEch9os82apKez6DYN7rh,https://lh5.googleusercontent.com/p/AF1QipMIVxXw9bFEcoNRndzqj54qpTbLS_SXJs7swIgC,https://lh5.googleusercontent.com/p/AF1QipNyxUMamJAtUiKfLwKtE6kZndm8rrcMFG0nL8Vy,//:0,https://lh5.googleusercontent.com/p/AF1QipMvtnaF1nJZqVkxwLBCRZFFbdDylq80TClBJMSG,https://lh5.googleusercontent.com/p/AF1QipPVrSKgXBy5ChQMDSeNv6AePcjyEsE-1rx-1toz,//:0,https://lh5.googleusercontent.com/p/AF1QipPKs0I7h3qjr4OvJ16EOvhskwpwVsK1jfUI6WRP,//lh6.googleusercontent.com/xWui87yoy89XOF58Bmx6Va1pKLdtg8RGHzR5zylOgzUAPvpW21BxJ6yF9NYqD4I_4Q,//:0,https://lh5.googleusercontent.com/p/AF1QipPMZiVdGZ6UhRMzykbhaJPnH1QfiGMPeGz9N6q1,https://lh5.googleusercontent.com/p/AF1QipO9zHQkQe8b8JDnxa9TvnJyORGCdGsTQnFaejLT,//:0,https://lh5.googleusercontent.com/p/AF1QipP9uGwJUIURRIjKrkVxEEeIF0LxNRWD3vOuX7_o,https://lh5.googleusercontent.com/p/AF1QipOqmBQiPOFyLE3lYcPJTTSLajKHCmnsL3FcwqJ2,restaurant,East of Nasr city,Southeast Asian restaurant
Somali Restaurant and cafee,"24 Dr Naguib Mahfouz St, Al Manteqah Ath Thamenah, Nasr City, Cairo Governorate 4441515",not available,Not available,5.0,1,Cairo,https://maps.app.goo.gl/iRoB1oPZmoyRDg4bA,28XV+PF Nasr City,30.049312,31.343688,https://lh5.googleusercontent.com/p/AF1QipPoqzlF4602gky5yok7p2jbAKgV-W-Qepzx2HHM,https://lh5.googleusercontent.com/p/AF1QipOoBdBMyH_AEz7h4sz5zGCTaW7W2cHd_75jPYRv,https://lh5.googleusercontent.com/p/AF1QipOlF32hx3Z-ikQ_I6XrGzIF5TP65jCHy5VryQwO,https://lh5.googleusercontent.com/p/AF1QipPMON40RAawAjuA6you9Xh6eawpyohJIEDUDUY2,https://lh5.googleusercontent.com/p/AF1QipNjz3hQGx8EG5UuuItpXQQbmxfPt2PnZprjq6oT,//:0,https://lh5.googleusercontent.com/p/AF1QipNHry0nRfJ_f8d_8s4XeZevoCIqZ8AUPUek3xLO,https://lh5.googleusercontent.com/p/AF1QipOWcoP56fVZGKzMqUTRXzoZ2MzEr-W4uGeDpVk_,https://lh5.googleusercontent.com/p/AF1QipOJeEbobsyc3IRL-31-FjCVy5s1TF2JfRG_G9Ig,,,,,,,,,,,,restaurant,East of Nasr city,Family restaurant
Mousa Seafood,"City Center 6, 603A Makram Ebeid, Al Manteqah as Sadesah, Nasr City, Cairo Governorate 11765",015493,Not available,4.5,125,Cairo,https://maps.app.goo.gl/BZRRSJZYFoinF5jh7,389W+7G Nasr City,30.068188,31.346312,https://lh5.googleusercontent.com/p/AF1QipP9z0oSzJTEkAfQyv1fBOBE1h2Ii8q5vzEuNBaJ,https://lh5.googleusercontent.com/p/AF1QipNWVtuGOHA1fQ4yK4lzEFvv80k_jnGZW4ml-pQ7,https://lh5.googleusercontent.com/p/AF1QipN_Ahsitz8vC7rfVgpmXTUMtr9JFEvMIjrSX1kz,https://lh5.googleusercontent.com/p/AF1QipMj9tHliGI8wO7SKcZ0XGc6hRYn-UA5NfrSGM_F,https://lh5.googleusercontent.com/p/AF1QipPB8QAuBF2hIdO4jCkpR_XYTk97SVuOg3uO5tXs,//:0,https://lh5.googleusercontent.com/p/AF1QipNdvyZaHNmcG81ttB1xawklHI7p3eelmyk2NjTO,https://lh5.googleusercontent.com/p/AF1QipN0jcRFAdLHEZC4Jq9SFagkFXqE4r7psYwP9vhN,https://lh5.googleusercontent.com/p/AF1QipNVmAnIkdvD96knWNy8vKrurbfXvKBQQa84bza2,//:0,https://lh5.googleusercontent.com/p/AF1QipPV68ulJqp3UqyFk0R7RpXOzD3nbiY32WqiBNLr,https://lh5.googleusercontent.com/p/AF1QipPgrtJS8Ks-eVOM711pfFEnyBRXnPl_GiAG2Hkd,//:0,https://lh5.googleusercontent.com/p/AF1QipMPBkGofdjgBZfcAPz1J-BnLf7Tn7-rVIfSzmhS,https://lh5.googleusercontent.com/p/AF1QipMEIb45mngcCBu5qZvEt8Y1Mo1Z9vEmb35V61Ii,https://lh5.googleusercontent.com/p/AF1QipOko_QszYttzKHCxVZOwn0YSnuKGBPucj2T0Y49,https://lh5.googleusercontent.com/p/AF1QipP0gJopzZAc36gDbrhu2KCdfTjDCSxc4AoFxZNw,https://lh5.googleusercontent.com/p/AF1QipOjLdpLmIStLrgYBFi-gQ588KSYETH0ySEogLwe,https://lh5.googleusercontent.com/p/AF1QipM7T0cSu2DD2aIPXqidebW5GjmgV9pa3RhLiQlE,https://lh5.googleusercontent.com/p/AF1QipNGgZXMJSxaFp-nGVHkE_jcV95IQhm-9wDqPwVx,restaurant,East of Nasr city,Seafood restaurant
Asian Corner - Rafale Food court,"22 Ahmed Tayseer, Al Golf, Nasr City, Cairo Governorate 4451114",215282,asiancorner.asia,4.1,93,Cairo,https://maps.app.goo.gl/LLg3Sy2LaWbPkMS17,38HG+JC Nasr City,30.079062,31.326062,https://lh5.googleusercontent.com/p/AF1QipNhByce84_vQlqGALSDKzWjJEwlPVw3ZqHEBrXZ,https://lh5.googleusercontent.com/p/AF1QipOuK_ORZZqA4sMFkmVcypRgtyVKyZzL27bTUEgO,https://lh5.googleusercontent.com/p/AF1QipP1TCETfqVMdqxcQv_PGmMU1zfbsOdHhdGb-_uo,https://lh5.googleusercontent.com/p/AF1QipNVbfNMdkeJ2ioySnff0CcoemK6o3NdQvrwp5C_,//:0,https://lh5.googleusercontent.com/p/AF1QipNCFyi9wViC7S4rv8F_aZdp9ZwzgU_wI79XSgJb,https://lh5.googleusercontent.com/p/AF1QipPFnpfNjqtN7bIXEXY9dToYYBtfvH8_VMFZyRN3,https://lh5.googleusercontent.com/p/AF1QipMSOIVIaoQctrLmrvFfayNDZkeTTVbuSWwayUg,//:0,https://lh5.googleusercontent.com/p/AF1QipO1lSa91SB79UJsLHRbD_s6xXSuqjAnMkn9RkHs,https://lh5.googleusercontent.com/p/AF1QipPXd-Z2X2JDkIjSzRqkG-xjSg-S-V2G-fWyCF-Q,//:0,https://lh5.googleusercontent.com/p/AF1QipNDzB3aymeZggPmhuCnJq5ZxQIzoyxh7KN5cL6R,https://lh5.googleusercontent.com/p/AF1QipOxJHGJHRQs3u1fflVIzJR_w_jJQboZ1ib7hVzV,//:0,https://lh5.googleusercontent.com/p/AF1QipOElSDfxdFR9Jf3e1C1QOI7a1N6glczn418__P0,https://lh5.googleusercontent.com/p/AF1QipMZoR1wgSQymHDN27biQyInngqbDq7rvT-EMzYB,https://lh5.googleusercontent.com/p/AF1QipNZt3B3K4_VKkIs5VeOj9DMc1x-QKKNmAQaRvvA,https://lh5.googleusercontent.com/p/AF1QipOu0QBIabBwbKAbrIeEz5shAP-1c9dvJT2zcJWl,https://lh5.googleusercontent.com/p/AF1QipPkhkWlwMAZ3N-lBP7f0OXKf3U56DIddOcZEgYF,restaurant,East of Nasr city,Asian restaurant
Roof Garden,"35 Ahmed Fakhry, Masaken Al Mohandesin, Nasr City, Cairo Governorate 4451611",not available,Not available,4.0,1,Cairo,https://maps.app.goo.gl/q6hHDNtskqh51iJp8,38CW+4V Nasr City,30.070313,31.347187,https://lh5.googleusercontent.com/p/AF1QipN9xpAqLdPcOukw2ljMj56dp8hHhnQVZ8L9utyD,https://lh5.googleusercontent.com/p/AF1QipOQ7fR0xCO7-etKAEhHGm9iXkUTtets7kLMWRb7,https://lh5.googleusercontent.com/p/AF1QipPKAMP0NdVe_38-1ZEeifPNkGiKQz3P_8eIr5u8,//:0,https://lh5.googleusercontent.com/p/AF1QipNOLta-Fmjke6pFYMPnVp5U9oTNyAKFZ0F0vZQy,https://lh5.googleusercontent.com/p/AF1QipOkoGMBjA-aNHf8ivZDp_EOm_B_0OyJOOqaU3qQ,https://lh5.googleusercontent.com/p/AF1QipOe03ijLU6KjJbjNwNlH5Y76lBPQhMJPj8mDtAM,,//:0,https://lh5.googleusercontent.com/p/AF1QipNzG6WGHKgFeOfulhNj8H5d9OrquWKVV4dNf_Jx,https://lh5.googleusercontent.com/p/AF1QipNfNTNVa4EcIJHzXPJfJLNUZMGyd-Pmz61wLSNv,https://lh5.googleusercontent.com/p/AF1QipPj0TNUjhbH7J1eGkZu0qb-wiOCf70CJ8KlVlpc,https://lh5.googleusercontent.com/p/AF1QipNLuPOCV1F-t2E6HekQ9RedH5898sv_5oF9qxEG,,,,,,,,restaurant,East of Nasr city,Family restaurant
Gfdddd,"عند سور حديقه الطفل، مدينه نصر ابو داوود الظاهري، متفرع من Makram Ebeid, Nasr City, Cairo Governorate 11765",010 94408884,Not available,,,Cairo,https://maps.app.goo.gl/4BgWefT1QNAEeCRg9,386W+97 Nasr City,30.060938,31.345687,,,,,,,,,,,,,,,,,,,,,restaurant,East of Nasr city,Restaurant
مطعم مسلم صين مصر,"382M+565, Al Hadiqah Ad Dawleyah, Nasr City, Cairo Governorate 11435",010 92067880,Not available,,,Cairo,https://maps.app.goo.gl/YFjteCpRvMZETPxc9,not available,30.050438,31.333062,,,,,,,,,,,,,,,,,,,,,restaurant,East of Nasr city,Chinese restaurant
Storia Restaurant and Café,"104 Abbas El-Akkad, Al Manteqah Al Oula, Nasr City, Cairo Governorate 4450303",02 26702680,storia-eg.com,4.4,373,Cairo,https://maps.app.goo.gl/a3EE4mnzveBaxkfX7,384Q+2F Nasr City,30.055062,31.338687,//lh4.googleusercontent.com/rdwGpVhWW4PjPAaVkXjT8I_9RHVtTH4WOFc8UuYkKEQrJwpmpheLyixjKGgXN50p5w,https://lh5.googleusercontent.com/p/AF1QipNHApstfcFzSQ4JaN7OzYf_eAt6z6nvhrQiLxOD,https://lh5.googleusercontent.com/p/AF1QipNKNMAXt2bXk446FLYkCu3UdqZ1AYh-hfWFsPMR,https://lh5.googleusercontent.com/p/AF1QipOG5PUzHsKCGXV7kJsoKEgv-4rnA9olcnmtz41X,//:0,https://lh5.googleusercontent.com/p/AF1QipM_DZwWeIJghqx9KuvW_VjrAssYQW8yM0EIb58k,https://lh5.googleusercontent.com/p/AF1QipN3SnPKDpofiL1pj9G-YnEyyDJJw0tP-Sy04RU1,//:0,https://lh5.googleusercontent.com/p/AF1QipMtr73IzIWYGWJWj2R_7EBwxs4d1FYp7wmpWmFM,https://lh5.googleusercontent.com/p/AF1QipOPZZFUEdLM1pSYltjDzfTb6Z6HQxC1-WnnkLE_,//:0,https://lh5.googleusercontent.com/p/AF1QipNCvSPsPFQ65KDGdCT2RzavfRU8Dmeklrc60pze,https://lh5.googleusercontent.com/p/AF1QipNwA2kXq6RMIAKm_7GBaOQqJsjFqQpEaTwjgqEH,//:0,https://lh5.googleusercontent.com/p/AF1QipOPbd8Fpd4EWa-GwSkf_mzCNyXbqeL8sNLfEcoS,https://lh5.googleusercontent.com/p/AF1QipN972hrSDikAzR84Z_VTrXYCGQ1oKpFXJTdAlfP,https://lh5.googleusercontent.com/p/AF1QipNBIh8QN_uI5GGt-4tIfomFPtAC9vn2TmGhUvzz,https://lh5.googleusercontent.com/p/AF1QipOV4T0GfEFXbt8zvvVUZ_GF9JzXh-TIAV_vqmT7,https://lh5.googleusercontent.com/p/AF1QipO3PdUMSqmYpBRoc6_h3ohyDz7lrXfipjY9DDSJ,https://lh5.googleusercontent.com/p/AF1QipNgtERCMrfeCO3Cvtos_FqoCftIWv1ty6ibdRXh,restaurant,East of Nasr city,Izakaya restaurant
مطعم القاضي elqady restaurant,"2 Ahmed El-Sayfy, Al Manteqah Ath Thamenah, Nasr City, Cairo Governorate 4441534",not available,Not available,4.7,3,Cairo,https://maps.app.goo.gl/Ah2p4x4TWfS9nPVW8,383R+CX Nasr City,30.053562,31.342438,,,,,,,,,,,,,,,,,,,,,restaurant,East of Nasr city,Family restaurant
Sitting hawa,"18 ezzat salama, Abbas El-Akkad, Nasr City, Cairo Governorate",010 23399419,Not available,,,Cairo,https://maps.app.goo.gl/Jvd4uQSYnAs8JRVe7,384R+2V Nasr City,30.055062,31.342188,,,,,,,,,,,,,,,,,,,,,restaurant,East of Nasr city,Restaurant
