Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
الدمياطى,"582P+R7X, Al Marg Al Qebleyah, El Marg, Cairo Governorate 4621010",not available,Not available,,,Cairo,https://maps.app.goo.gl/8QMcqhrspJ3PevP97,not available,30.152062,31.335687,,,,,,,,,,,,,,,,,,,,,restaurant,El-Marg,Pizza restaurant
Fasakhany El Awwamy,"Kafr El-Shorafa, El Marg, Cairo Governorate 4621010",011 29651746,Not available,5.0,3,Cairo,https://maps.app.goo.gl/BSGuer7qQFSu2nFeA,not available,30.152313,31.336062,https://lh5.googleusercontent.com/p/AF1QipPZwUhj3gYbuaaxmtHqgJs60-wqQMOyA78G9vHF,,,,,,,,,,,,,,,,,,,,restaurant,El-Marg,Restaurant
Moamen Restaurant,"Kafr El-Shorafa, El Marg, Cairo Governorate 4621010",010 07929177,Not available,4.0,2,Cairo,https://maps.app.goo.gl/ArJEimAWgoaszyMj9,not available,30.152313,31.336062,,,,,,,,,,,,,,,,,,,,,restaurant,El-Marg,Restaurant
المهندس,"Mahetet Al Maerg, Al Marg Al Qebleyah, El Marg, Cairo Governorate 11781",010 63160394,https://m.facebook.com/PizzaElmohands/?ref=bookmarks,4.5,29,Cairo,https://maps.app.goo.gl/a1UdLPwMi1DyFCBC8,582P+W5 El Marg,30.152313,31.335437,https://lh5.googleusercontent.com/p/AF1QipNT9DBA95ztIhCaTBvthT2m0s3Q0-c9Ldu4Arx3,https://lh5.googleusercontent.com/p/AF1QipO9MulVj49RXSrNVmkQL7bf7X4SDS_sZIiXekhv,https://lh5.googleusercontent.com/p/AF1QipM4q0qDZ6Epde7Ko07PJ89ohbaLDxwtmnH1AzPM,https://lh5.googleusercontent.com/p/AF1QipMo-k_mUhpTAtxn9kHv-_uKxtPB6-YH0VPZESDh,//:0,https://lh5.googleusercontent.com/p/AF1QipPrNvvrn6C2dI9o9s2FY_-I1AL0UXjV7XmxY--M,https://lh5.googleusercontent.com/p/AF1QipOAaBTH4D-W485kz3ywRb3_91wZ34QBPFb75LKD,,//:0,https://lh5.googleusercontent.com/p/AF1QipNSru6cRVj1i08ZSqniA8hwy5E6ywitpE5LXtav,https://lh5.googleusercontent.com/p/AF1QipMNWUxQOuY2zhDoWyLlAZI-rYWVrMpZbgK54MrP,//:0,https://lh5.googleusercontent.com/p/AF1QipOjYd42bxbFWLoTc3BctvBg5JLz5zzKFP5WO4J0,https://lh5.googleusercontent.com/p/AF1QipMQqvMirrfGmhWAeOvlRsKRhyvROmqp2rP141NH,,//:0,https://lh5.googleusercontent.com/p/AF1QipMxfTKduw88gT3byiv-pMxAi40x_8NLAfmty7HD,https://lh5.googleusercontent.com/p/AF1QipN55iRN_zuuOtV_01j22-Vd4n_cyzQYpNztNkNW,https://lh5.googleusercontent.com/p/AF1QipNPytL4Kc8Ss4xO74uI1G_hzhnH8-0Nd59Fats2,https://lh5.googleusercontent.com/p/AF1QipOlU0RQs72thFffLkaL7CLAfZ7D3Z4deCcWkzzJ,restaurant,El-Marg,Pizza restaurant
بيتزا وكريب أبو زين,"582P+G3R, الشيخ منصور, El Marg, Cairo Governorate 4611427",011 49130803,Not available,1.0,1,Cairo,https://maps.app.goo.gl/DswjMSP2XP6y6zR97,not available,30.151562,31.334562,https://lh5.googleusercontent.com/p/AF1QipMixA6-4ETU-UjsfKgZWl7MQp6KsLgipyNsbdpA,https://lh5.googleusercontent.com/p/AF1QipOsonUlP88JaLVlTCnciqbMiQnCdLU1w8TRy_Rm,https://lh5.googleusercontent.com/p/AF1QipOP7rCPKcEZwIJOjXlwYKEqHmJOsG6OE-y-zeMz,https://lh5.googleusercontent.com/p/AF1QipNQwhaHMqgjKhRNqmVlMu77UlXHQO7pvm4J6HEC,https://lh5.googleusercontent.com/p/AF1QipNwvA-y7QnknAoVkgJ14NQL8PkzLeEofMK8vOPG,https://lh5.googleusercontent.com/p/AF1QipPgukqnRV4N0ZI2-bIdxjyS_X2U2eKFCaYNi_sx,https://lh5.googleusercontent.com/p/AF1QipPnIe06-6BGBCFslgRmzCR9GoXUljzd1x5ixP-l,,,,,,,,,,,,,,restaurant,El-Marg,Pizza restaurant
Marey El Omda B.B.Q,"Kafr El-Shorafa, El Marg, Cairo Governorate 4621010",011 44486148,Not available,,,Cairo,https://maps.app.goo.gl/E6aGrfzV6CrMMVR76,not available,30.152313,31.336062,,,,,,,,,,,,,,,,,,,,,restaurant,El-Marg,Barbecue restaurant
Zamzam Koshary,"Kafr El-Shorafa, El Marg, Cairo Governorate 4621010",02 29896390,Not available,3.8,45,Cairo,https://maps.app.goo.gl/PKuK3zvGdFtFBvqY9,not available,30.152313,31.336062,https://lh5.googleusercontent.com/p/AF1QipMWjnRYJQRwmLFfRl9awAjGvEmAzXLuM4dET03a,https://lh5.googleusercontent.com/p/AF1QipMC4-NnWnIK_OKiQPVii0XLN-e-tKy8nzvBAt_J,,,,,,,,,,,,,,,,,,,restaurant,El-Marg,Koshari restaurant
مطاعم العجيب,"582P+P9F, Kafr El-Shorafa, El Marg, Cairo Governorate 4621001",010 04962447,Not available,4.0,1,Cairo,https://maps.app.goo.gl/kbYXi5mhRfcbTasu8,not available,30.151812,31.335938,,,,,,,,,,,,,,,,,,,,,restaurant,El-Marg,Restaurant
الريس زكريا الخصوص,"Mahetet, المرج القبلية،، قسم المرج،، Cairo Governorate 4621010",011 29115560,Not available,,,Cairo,https://maps.app.goo.gl/KgibhJaJvJVuTa4s7,582P+Q6 El Marg,30.151938,31.335563,https://lh5.googleusercontent.com/p/AF1QipNercPmXpNU9hWvJ0YKyYmYH2Z6uAS6Gf7SMb48,,,,,,,,,,,,,,,,,,,,restaurant,El-Marg,Western restaurant
Trix,"47 El-Iman Bellah, Kafr El-Shorafa, El Marg, Cairo Governorate 4620162",not available,Not available,,,Cairo,https://maps.app.goo.gl/8gksJ5Rh1wJTk9pE8,48WQ+RX El Marg,30.147062,31.339937,,,,,,,,,,,,,,,,,,,,,restaurant,El-Marg,Western restaurant
