Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
مطعم كوكو,"6 Ezzat Basha, Shagret Mariem, El Matareya, Cairo Governorate 4533202",011 24847830,Not available,3.6,28,Cairo,https://maps.app.goo.gl/ym8SrCrGxzGeNZSWA,48F6+6G El Matareya,30.123063,31.311312,https://lh5.googleusercontent.com/p/AF1QipMHRYyT36yDcDVp0-yznPQgehKqlbjbQQn53oJE,https://lh5.googleusercontent.com/p/AF1QipP5wsMKyNoKeaFX69IJoI2bxTP-2PUXCLz7V8jK,,,,,,,,,,,,,,,,,,,restaurant,El Matareya,Restaurant
شاورما الريم المطريه,"داخل بنزينه شيل اوت, El-Horeya, Al Izab, El Matareya, Cairo Governorate 11753",02 26313200,Not available,4.0,86,Cairo,https://maps.app.goo.gl/3a38D4vScWjzG7SV8,4893+98 El Matareya,30.118437,31.303312,https://lh5.googleusercontent.com/p/AF1QipPzcDl6IHdeJ0-5gU3_gqvJXyaNg8HeC_8aGr6k,https://lh5.googleusercontent.com/p/AF1QipMpoeGRcYXyIvYencaGp30IrfDvFj6zG2FMs5gN,https://lh5.googleusercontent.com/p/AF1QipOVNVZDTXBfA08rUQZvRvodWx2qXoysf8HH1os,https://lh5.googleusercontent.com/p/AF1QipOpqzV-E--CjARHE2JAjPVsB_DP5pko_BnWaoFU,https://lh5.googleusercontent.com/p/AF1QipO8b-Tgc85K3ahdR0e_uweMb86iFPHJTHUHX9IT,https://lh5.googleusercontent.com/p/AF1QipOBW_hj5byb45rmDOZ_sw0djLQShaAHUab02MvW,,,,,,,,,,,,,,,restaurant,El Matareya,Restaurant
مطعم ابوخاطر,"1 Suleiman Al Refaei, Al Izab, El Matareya, Cairo Governorate 4532220",011 44423700,Not available,4.0,"2,250",Cairo,https://maps.app.goo.gl/kqpVKvFYKgLKeh7X8,47GX+F9 El Matareya,30.126188,31.298437,https://lh5.googleusercontent.com/p/AF1QipN2SW_YUk2wqInJTeUG9lkX9dcw6xTCONg8ui-j,https://lh5.googleusercontent.com/p/AF1QipM6xFi8xNVZF1BY_7gz5svEwCR_vgmBMY1lyg8G,https://lh5.googleusercontent.com/p/AF1QipMRtDWOf-dN4ktBxTin5YTZ6H79q6yz9xO1QdOM,https://lh5.googleusercontent.com/p/AF1QipMyaiR2nbt5omtN6qR5zOVu3Ab-EvGFKxQBaoUF,//:0,https://lh5.googleusercontent.com/p/AF1QipNaqsaV604Jcx-IagboI1FPnSNgusTAQDs7Clv7,https://lh5.googleusercontent.com/p/AF1QipNiUCK7hFpky8v9ffUQHTrB4E1gCnA86o4Km9b4,//:0,https://lh5.googleusercontent.com/p/AF1QipN-W1DBLXas94PLaWCs_UAJ4fAC7JSInyDGO5Ph,https://lh5.googleusercontent.com/p/AF1QipPyoDSdSN75DoxmiK1SJrk-J7kzzex2EROx5q7Z,https://lh5.googleusercontent.com/p/AF1QipM8w3e42muYWn2lMwA8W6dMssweCbfxVFu5e3s4,//:0,https://lh5.googleusercontent.com/p/AF1QipMAW-e31T_P-GpJnLyesyS4-QgtPokJqpdaklyC,//lh5.googleusercontent.com/1lVVsI33m-AkN1YB22ih6a5d5KVWajULu1o5hgJuFMoYwrVsXG8caAgDp8ieTNU,https://lh5.googleusercontent.com/p/AF1QipMx4uW02RQYy23SDT-2rKSRf14J--r_E9HC1Grc,//:0,https://lh5.googleusercontent.com/p/AF1QipOdLrr7aBmFAmdZvXUktmDmSEjN3mYrIk1mM3Na,https://lh5.googleusercontent.com/p/AF1QipMaLHvfTwlFG51JDaOYkDx25ppMvg8hD3EPT1ZF,https://lh5.googleusercontent.com/p/AF1QipPGZefonR43FBjoZC1hZtUuSe79v1EK9EEAFlSz,https://lh5.googleusercontent.com/p/AF1QipNj76c1hKoMFBGyuOgQ7g_uNJ0Oq-O3JfN0dcJD,restaurant,El Matareya,Egyptian restaurant
مشويات بيتنا,"71 Taha Hussein, النزهة الجديدة, El Matareya, Cairo Governorate 4533341",02 21928103,yellowpages.com.eg,,,Cairo,https://maps.app.goo.gl/HBifzpsCAMCSrcvW9,48H5+6F El Matareya,30.128062,31.308687,,,,,,,,,,,,,,,,,,,,,restaurant,El Matareya,Restaurant
مطعم تشيكس,"40 El-Malek El-Moez, Shagret Mariem, El Matareya, Cairo Governorate 11757",011 46373787,Not available,4.5,10,Cairo,https://maps.app.goo.gl/DPg4yTNiYYUqzwTT8,48G6+89 El Matareya,30.125813,31.310938,https://lh5.googleusercontent.com/p/AF1QipO0_qKZv3-De6oSvkF-dvFJ_IPY9436eV656-Up,https://lh5.googleusercontent.com/p/AF1QipONr3n9qDub3WWizbynfaK0YP3_DJIFWz561eQV,https://lh5.googleusercontent.com/p/AF1QipPs_1fptaw-7YxJSQsIOfWeIbbL3tjbhUzuk-4u,//:0,https://lh5.googleusercontent.com/p/AF1QipOh9sVcV8JP6S0PmOVGNZRo-_E2Ci0MSBNYjiSh,https://lh5.googleusercontent.com/p/AF1QipN-ITZyIkzi0KILk35rYqFtYASH4wHkAuXn1lfa,//:0,https://lh5.googleusercontent.com/p/AF1QipNuqrmCP6-jKqsTJyRkv2pXpVxOgy7JZwqzCIDl,https://lh5.googleusercontent.com/p/AF1QipNSbOq7RXeMQqDQKH9Ys7iX2Ul6XgDLRXd5Fcmt,//:0,https://lh5.googleusercontent.com/p/AF1QipMbhK9ajkrqgXZbuX9uAiHKMVyXX94QDohe_kc9,https://lh5.googleusercontent.com/p/AF1QipMXd_fKkQoYWqLPXzD_ihWGIIg2MwmpanaaHteK,//:0,https://lh5.googleusercontent.com/p/AF1QipPQRcO6ZcmYjv4bx7Ju7GbSC1IOZLKpNapTJZ79,https://lh5.googleusercontent.com/p/AF1QipPfbD8sF005D_Ar_itoMbSRJSAld4UOKIiyFMGY,https://lh5.googleusercontent.com/p/AF1QipPLVNMLoSRtA9R4FKKEGHIjmIUMPWLPXW3sukNt,//:0,https://lh5.googleusercontent.com/p/AF1QipNjRIZ60-NBQ026163IV3eaaoDCUo9IOIb0ivRe,https://lh5.googleusercontent.com/p/AF1QipMVHxNdhA9nN87LK8orCy6wQDGnXmhDPwLA-_-v,https://lh5.googleusercontent.com/p/AF1QipMXQJN5AOjxPU7xVPR1KRRSrO2-PbSdW4EcWxVv,restaurant,El Matareya,American restaurant
El Gomhoria,"48C7+H5G, Shagret Mariem, El Matareya, Cairo Governorate 4533191",02 22554555,https://www.facebook.com/7aty.algomuria/,4.4,138,Cairo,https://maps.app.goo.gl/zepzPfNbJfrTrdB16,not available,30.121437,31.312937,https://lh5.googleusercontent.com/p/AF1QipMiN_j8y5GMRU3FOakzrAJWRXeGwRbtse5aGkWt,https://lh5.googleusercontent.com/p/AF1QipN32B4uRPXV-Enmwx-YcwtSDdJyWDHHHc7NdOPW,//lh4.googleusercontent.com/42FWRhxgqHsarCaOvLOKhFpoT0sunleZ_Ragn_APb36w_LIPHcX5lLCC31ZOqEjslw,https://lh5.googleusercontent.com/p/AF1QipNYxwSabv45S387EqPni9jrbtTX4l1sz25JlRkf,//:0,//lh4.googleusercontent.com/afBjyTkI_U4HKZmdLl27yensmY3DAb9Nr2RGzNOl0Tc7T_mfnWUaMdVzh3rrSaETDw,https://lh5.googleusercontent.com/p/AF1QipOb6ZV1J5h7b2kpQeMjlQcmvg4Z-LNqUeFh-nct,https://lh5.googleusercontent.com/p/AF1QipMK6kx0zC_y_eI_iMRU2lLJhakGy_Zu07rZml72,//:0,//lh4.googleusercontent.com/3lc7Hkts1cwGg7jsIr205PhC3wZmzXVJhG2HqLAivDz9jOdRGG4l52X-rHr33ONL,https://lh5.googleusercontent.com/p/AF1QipOTzEXgK7JhWeOTRemGIWmiE1lpbf82n7V2xpXN,//:0,https://lh5.googleusercontent.com/p/AF1QipOZcsMbsTOQ3NemUJedU6Tuc8GDzCWnLJ3bN0Ze,https://lh5.googleusercontent.com/p/AF1QipOqA_v--CT_lAIfIPOpbcMIFCX2KyErNAVDYxxf,https://lh5.googleusercontent.com/p/AF1QipMpit-V16Kw_u7rBhyUKcyQuueGztw_UH4pbjlS,https://lh5.googleusercontent.com/p/AF1QipPWE5IyOUs-NNw8a5F1rob0SfMMRvk4FiLv9us4,//lh4.googleusercontent.com/4Ai-b2qCY7Clun_92nr32SaHiLDlnOZiq6jpLgz8kqbaYu4vw3kxYwQCcUXtUqK6,,,,restaurant,El Matareya,Barbecue restaurant
الطوخي,"Shagret Mariem, El Matareya, Cairo Governorate 4532333",015 54342275,Not available,3.6,283,Cairo,https://maps.app.goo.gl/9pcKDLMCRVyVBmJQ6,48F4+5R El Matareya,30.122937,31.307063,https://lh5.googleusercontent.com/p/AF1QipORZzEYoJ8qehhRZdYaWLSqgPZtqIPfXtbPKWvi,https://lh5.googleusercontent.com/p/AF1QipMP2w2m4iT9PCbpXOhplXVPvBsI7ZHV608uT-u3,https://lh5.googleusercontent.com/p/AF1QipOp_TGXxiZjfzrt5qXuP6YXZuDRJ0Yb0NZmyuWQ,//:0,https://lh5.googleusercontent.com/p/AF1QipNufKppsRPFb3D-hTTW4eSFI8rc9UGs5BAUO0gV,https://lh5.googleusercontent.com/p/AF1QipNGdecT2vtLtB6P7IEcpPIVacy6HDGQo1Su_cgk,//:0,https://lh5.googleusercontent.com/p/AF1QipMR3K5NvGGe-s8pDCsV_0EmfLEexiBn7KuUsrXl,https://lh5.googleusercontent.com/p/AF1QipOk5wivZfZM_jmBcMwZqF9yJyGtMLjGGUk1WOLj,//:0,https://lh5.googleusercontent.com/p/AF1QipNUqQa5cri-0nsoFCiU3IviiHNVt9uKFIZh4FDL,https://lh5.googleusercontent.com/p/AF1QipN60QV4Qe38pMsL2OQ7y81Vtp7tc9EPZb0KPoDm,//:0,https://lh5.googleusercontent.com/p/AF1QipPHt-EL0mr7ixWdHNFSThytuPMaX9iva46I5MkJ,https://lh5.googleusercontent.com/p/AF1QipOGFvaYRrDChFz_7ohd3tji486CyxXdvfP0x52r,//:0,https://lh5.googleusercontent.com/p/AF1QipPV8DzZtS9cv1ljPSN9ehXmElvxToVAZF8Gtr4R,https://lh5.googleusercontent.com/p/AF1QipMYNHT0Zr_twqVSlwkifKD2PWbPlDpRMkR9cPFG,https://lh5.googleusercontent.com/p/AF1QipMB_kgNZzADl97pSNN9txbz4WlqEpS_wWPRxhV6,https://lh5.googleusercontent.com/p/AF1QipMEWvYRr-sFUUPgDoMv93S_BkK0qIYlH8QdEbRz,restaurant,El Matareya,Offal pot cooking restaurant
كبدة الشرقاوي,"شارع ترعة الجبل،, Ein Shams Al Gharbeyah, El Matareya, Cairo Governorate 4533253",010 08848581,Not available,4.5,4,Cairo,https://maps.app.goo.gl/NMkcx6UxBvBktunK7,48G8+PC El Matareya,30.126812,31.316063,https://lh5.googleusercontent.com/p/AF1QipMOqfSGv1I-92d4T41r4yhGitO9TCXy1lIm5II2,,,,,,,,,,,,,,,,,,,,restaurant,El Matareya,Fast food restaurant
#تفويله,"43 شارع جعفر وإلي خارجه المطريه بجوار عصير تبارك شارع عزت، تقاطع شارع جعفر, Cairo Governorate 11753",011 12651272,Not available,,,Cairo,https://maps.app.goo.gl/iJ1rS5HUxjsrXA4r5,48F6+W7 El Matareya,30.124812,31.310688,,,,,,,,,,,,,,,,,,,,,restaurant,El Matareya,Restaurant
تحابيش,"48F2+CQ2, Trolley St, Shagret Mariem, El Matareya, Cairo Governorate 4532106",011 50955750,Not available,5.0,5,Cairo,https://maps.app.goo.gl/nS6Mz2uo7mS7uXXU6,not available,30.12375,31.30375,https://lh5.googleusercontent.com/p/AF1QipP_xGGY2RABFxsBG94WdPH4fss2DNY9euy8yydH,https://lh5.googleusercontent.com/p/AF1QipOxJ_cBMnu3dZpSMHlnQDwZefWnQmulCUy9PRr6,https://lh5.googleusercontent.com/p/AF1QipObC59kYArBUpklmrh18ON2GfbRROWL8_Lm3EkH,https://lh5.googleusercontent.com/p/AF1QipO_hi2QIk6xGpGrUbRntFLPXNJZuc3F41TkoKb7,https://lh5.googleusercontent.com/p/AF1QipMUzQFVOr14zkzA3vJyUL8YOB7Ogt7dEGN5XmX6,https://lh5.googleusercontent.com/p/AF1QipOYNmuZe8adl8etmTRm6Gt-Qj6phwyrva2Yn9Lr,,,,,,,,,,,,,,,restaurant,El Matareya,Fast food restaurant
Azaz,"25 Hafez Ali Ln, Al Matareyah Al Gharbeyah, El Matareya, Cairo Governorate 4532301",not available,Not available,4.0,70,Cairo,https://maps.app.goo.gl/Gi7xbCJHQm6Tbzmm9,4894+R6 El Matareya,30.119563,31.305563,https://lh5.googleusercontent.com/p/AF1QipNjXy8g61rp9omK1kKx0BlB3RdkjYjStP6GeRfz,https://lh5.googleusercontent.com/p/AF1QipNW25T1MPr7dCmriYr_84U3QjDOtlZwXTw03YlV,https://lh5.googleusercontent.com/p/AF1QipPNXWaJesdsKR-tlxZrzU6M1zcV3bZycR-l1rBf,https://lh5.googleusercontent.com/p/AF1QipNo81MeyJHZ30-LwBw-jZkf0CQLFVGlOqmy0z7s,https://lh5.googleusercontent.com/p/AF1QipN4kL6vNhOjjudssjaMZVyKYxCFWSjkCOLO2ewD,//:0,https://lh5.googleusercontent.com/p/AF1QipMHGinf1Y2_iV52qQvr0_K1KXbxcj0AOOuoZF5N,https://lh5.googleusercontent.com/p/AF1QipN9LaTXX5eLsBtP-RvAQdT7o_GLsuWJkUUgpkOH,https://lh5.googleusercontent.com/p/AF1QipPYU7iUxfKZpfB2uspjyL1N4dcTmZkhtKhJfYXu,,,,,,,,,,,,restaurant,El Matareya,Fast food restaurant
لقمة الباشا,"1 Gobyan, Teraat Al Gabal, Cairo Governorate 11111",011 23866650,Not available,4.1,383,Cairo,https://maps.app.goo.gl/zWCqhPnb6Gu3wgMg6,48G8+98 Ain Shams,30.125937,31.315812,https://lh5.googleusercontent.com/p/AF1QipNGd_hsQPaWdqd6XMxxplySCGPPCGRWWFYP0u_8,https://lh5.googleusercontent.com/p/AF1QipPoJ4chSW6ZZ0Wtyq2fvwDwnEj8kOgKzAklIM-k,https://lh5.googleusercontent.com/p/AF1QipMUQbwy97d3DAQKWpYJUyoi2RLMFciHF_RowIlx,https://lh5.googleusercontent.com/p/AF1QipM2UZTBvNiNqDAeBwDW-cBcOgZVZyqsSz97Vv2c,//:0,https://lh5.googleusercontent.com/p/AF1QipNJme-tnPgsXpqZsZuf37xnbHR50VlPUPqc2QX-,https://lh5.googleusercontent.com/p/AF1QipNYp5wg9SrXi0mqIAyRnP3Wm-RW1X8G-uoUF3Rc,https://lh5.googleusercontent.com/p/AF1QipNH4ySwPquutJtwJJp49BjN3vhUdUUU6lO0KXc3,https://lh5.googleusercontent.com/p/AF1QipO5PBfulefMNvSTO5_OD-Jrx6QMuEa9tQh2Fnc6,//:0,https://lh5.googleusercontent.com/p/AF1QipOidI4-MImvBS0K0IUVLgCAKDlPOokAaD5ssLdR,https://lh5.googleusercontent.com/p/AF1QipPCM8e5ozDoaNiaxxZG3xUfRG-AeKfHtBQtSAYa,//:0,https://lh5.googleusercontent.com/p/AF1QipO2evlghrQA3apUlSBoJhO4EEIHey4PD5zvGneX,https://lh5.googleusercontent.com/p/AF1QipP4zVPeEx9nBizDB8fA6nPm9c50jGvaaiGo-3dO,https://lh5.googleusercontent.com/p/AF1QipOrC2cQ8XhqAlKnanOKiqtCNP-BPp2nyietVWHo,//:0,https://lh5.googleusercontent.com/p/AF1QipNkdjTuW64Zv60Jb-ISthWzdtoJTOJXArwUlzg6,https://lh5.googleusercontent.com/p/AF1QipNZ4UqDFjA_cy8G8x2V8qrhnPA2bZo_3G15rf5G,https://lh5.googleusercontent.com/p/AF1QipM0GUb_sPJLkAwRGnI9Txa65QC6by5l0WXw7h-t,restaurant,El Matareya,Fast food restaurant
